9709d4e36cd19791c75f61b84651299ec6db0b302c9e54212d2ec21d0823895e,68338574d2196a1c40a715bc6029bf3e967facbbc5b71fef4cd5c3a82427600c,849dfedf6bbbd5b5d83fd808443b7fd54dbfe886d1cc83c5eaaca5ec0829e36a,98a470978a4f3ccb0d16127e6e3400368e99799bce745764b5523c7db82afc68,7aaeb6708e937abdf4147c5cb1091b4652b04b599f7dd634a1ec3d2eba72c688,e76a38fc2e630c0355726742c9232073a4b6c55ceff8753eb8a5b5bf39c720d9,15d4d04eff9e1098789272694c817cdd5fb99aff6ee6e0430bad55838f248f14,10815b96b038b4a76cb4018c27d6b023dd7ca828c799b8e17470fcc371d249d1,3400348d8b464cbf2a5809dcb84f811c330ebe04a9eb42fd5b86624b65e8b39b,01b7e221df4bd227a6569108bc1d8d16b02414545504694f1ff9495d07682da3,0258206f8e67a8351dfb63bb998a87d5abe46283e9e8e3c8b1bc04d0390691c2,35b7e72fe7595dc8631867ed56ef7b297c024a8831ed90d335b299e7bfa17637
"vo_abd","2","0","56","0","5154062","0","0","vo_abd_0111","515406256","0","0"
"0","1","0.3","57","0","5154062","0","0","0","515406257","11","60"
"0","4","0","58","0","5154062","1.2","1","0","515406258","0","0"
"0","1","1","59","60","5154062","0","0","0","515406259","11","315"
"0","4","0","1","0","5154063","0.8","1","0","515406301","0","0"
"vo_abd","2","0","2","0","5154063","0","0","vo_abd_0201","515406302","0","0"
"0","1","1.5","3","0","5154063","0","0","0","515406303","1","350"
"0","4","0","4","0","5154063","2.25","1","0","515406304","0","0"
"vo_abd","2","0","5","0","5154063","0","0","vo_abd_0202","515406305","0","0"
"0","1","1.8","6","0","5154063","0","0","0","515406306","2","390"
"0","4","0","7","0","5154063","3","1","0","515406307","0","0"
"vo_abd","2","0","8","0","5154063","0","0","vo_abd_0203","515406308","0","0"
"0","1","1.5","9","0","5154063","0","0","0","515406309","3","330"
"0","4","0","10","0","5154063","1.8","1","0","515406310","0","0"
"vo_abd","2","0","11","0","5154063","0","0","vo_abd_0204","515406311","0","0"
"0","1","1.3","12","0","5154063","0","0","0","515406312","4","300"
"0","4","0","13","0","5154063","2.5","1","0","515406313","0","0"
"vo_abd","2","0","14","0","5154063","0","0","vo_abd_0205","515406314","0","0"
"0","1","1.5","15","0","5154063","0","0","0","515406315","5","360"
"0","4","0","16","0","5154063","2","1","0","515406316","0","0"
"vo_abd","2","0","17","0","5154063","0","0","vo_abd_0206","515406317","0","0"
"0","1","1.8","18","0","5154063","0","0","0","515406318","6","310"
"0","4","0","19","0","5154063","3","1","0","515406319","0","0"
"vo_abd","2","0","20","0","5154063","0","0","vo_abd_0207","515406320","0","0"
"0","1","1.2","21","0","5154063","0","0","0","515406321","8","138"
"0","4","0","22","0","5154063","1.6","1","0","515406322","0","0"
"0","1","0.45","23","138","5154063","0","0","0","515406323","8","400"
"0","4","0","24","0","5154063","0.45","1","0","515406324","0","0"
"vo_abd","2","0","25","0","5154063","0","0","vo_abd_0208","515406325","0","0"
"0","1","1.1","26","0","5154063","0","0","0","515406326","9","360"
"0","4","0","27","0","5154063","1.6","1","0","515406327","0","0"
"vo_abd","2","0","28","0","5154063","0","0","vo_abd_0209","515406328","0","0"
"0","1","0.5","29","0","5154063","0","0","0","515406329","10","280"
"0","4","0","30","0","5154063","0.5","1","0","515406330","0","0"
"vo_abd","2","0","31","0","5154063","0","0","vo_abd_0210","515406331","0","0"
"0","1","1","32","0","5154063","0","0","0","515406332","11","360"
"0","4","0","1","0","5154064","0.8","1","0","515406401","0","0"
"vo_abd","2","0","2","0","5154064","0","0","vo_abd_0301","515406402","0","0"
"0","1","2","3","0","5154064","0","0","0","515406403","1","400"
"0","4","0","4","0","5154064","2.8","1","0","515406404","0","0"
"vo_abd","2","0","5","0","5154064","0","0","vo_abd_0302","515406405","0","0"
"0","1","2","6","0","5154064","0","0","0","515406406","2","400"
"0","4","0","7","0","5154064","3.5","1","0","515406407","0","0"
"vo_abd","2","0","8","0","5154064","0","0","vo_abd_0303","515406408","0","0"
"0","1","2.8","9","0","5154064","0","0","0","515406409","3","425"
"0","4","0","10","0","5154064","3.5","1","0","515406410","0","0"
"vo_abd","2","0","11","0","5154064","0","0","vo_abd_0304","515406411","0","0"
"0","1","3","12","0","5154064","0","0","0","515406412","4","450"
"0","4","0","13","0","5154064","4","1","0","515406413","0","0"
"vo_abd","2","0","14","0","5154064","0","0","vo_abd_0305","515406414","0","0"
"0","1","0.2","15","0","5154064","0","0","0","515406415","5","63"
"0","4","0","16","0","5154064","1.05","1","0","515406416","0","0"
"0","1","2","17","63","5154064","0","0","0","515406417","5","420"
"0","4","0","18","0","5154064","3.5","1","0","515406418","0","0"
"vo_abd","2","0","19","0","5154064","0","0","vo_abd_0306","515406419","0","0"
"0","1","1","20","0","5154064","0","0","0","515406420","6","151"
"0","4","0","21","0","5154064","1.7","1","0","515406421","0","0"
"0","1","1","22","151","5154064","0","0","0","515406422","6","260"
"0","4","0","23","0","5154064","2.8","1","0","515406423","0","0"
"0","1","0.8","24","0","5154064","0","0","0","515406424","7","48"
"0","4","0","25","0","5154064","0.96","1","0","515406425","0","0"
"vo_abd","2","0","26","0","5154064","0","0","vo_abd_0307","515406426","0","0"
"0","1","1.5","27","48","5154064","0","0","0","515406427","7","360"
"0","4","0","28","0","5154064","1.7","1","0","515406428","0","0"
"0","1","0.8","29","360","5154064","0","0","0","515406429","7","360"
"0","4","0","30","0","5154064","2","1","0","515406430","0","0"
"vo_abd","2","0","31","0","5154064","0","0","vo_abd_0308","515406431","0","0"
"0","1","1","32","0","5154064","0","0","0","515406432","8","254"
"0","4","0","33","0","5154064","2","1","0","515406433","0","0"
"0","1","0.3","34","254","5154064","0","0","0","515406434","8","254"
"0","4","0","35","0","5154064","1.5","1","0","515406435","0","0"
"0","1","0.8","36","254","5154064","0","0","0","515406436","8","400"
"0","4","0","37","0","5154064","2","1","0","515406437","0","0"
"vo_abd","2","0","38","0","5154064","0","0","vo_abd_0309","515406438","0","0"
"0","1","2","39","0","5154064","0","0","0","515406439","9","96"
"0","4","0","40","0","5154064","2.65","1","0","515406440","0","0"
"0","1","1","41","96","5154064","0","0","0","515406441","9","425"
"0","4","0","42","0","5154064","2","1","0","515406442","0","0"
"vo_abd","2","0","43","0","5154064","0","0","vo_abd_0310","515406443","0","0"
"0","1","2.5","44","0","5154064","0","0","0","515406444","10","400"
"0","4","0","45","0","5154064","4","1","0","515406445","0","0"
"vo_abd","2","0","46","0","5154064","0","0","vo_abd_0311","515406446","0","0"
"0","1","1.2","47","0","5154064","0","0","0","515406447","11","115"
"0","4","0","48","0","5154064","2","1","0","515406448","0","0"
"0","1","1","49","115","5154064","0","0","0","515406449","11","295"
"0","4","0","50","0","5154064","2.5","1","0","515406450","0","0"
"0","1","0.5","51","295","5154064","0","0","0","515406451","11","430"
"0","4","0","1","0","5154065","0.8","1","0","515406501","0","0"
"vo_abd","2","0","2","0","5154065","0","0","vo_abd_0401","515406502","0","0"
"0","1","2","3","0","5154065","0","0","0","515406503","1","400"
"0","4","0","4","0","5154065","3.2","1","0","515406504","0","0"
"vo_abd","2","0","5","0","5154065","0","0","vo_abd_0402","515406505","0","0"
"0","1","2","6","0","5154065","0","0","0","515406506","2","420"
"0","4","0","7","0","5154065","3.7","1","0","515406507","0","0"
"vo_abd","2","0","8","0","5154065","0","0","vo_abd_0403","515406508","0","0"
"0","1","2","9","0","5154065","0","0","0","515406509","3","400"
"0","4","0","10","0","5154065","3","1","0","515406510","0","0"
"vo_abd","2","0","11","0","5154065","0","0","vo_abd_0404","515406511","0","0"
"0","1","1","12","0","5154065","0","0","0","515406512","4","188"
"0","4","0","13","0","5154065","1.15","1","0","515406513","0","0"
"0","1","1","14","188","5154065","0","0","0","515406514","4","425"
"0","4","0","15","0","5154065","2.5","1","0","515406515","0","0"
"vo_abd","2","0","16","0","5154065","0","0","vo_abd_0405","515406516","0","0"
"0","1","2.4","17","0","5154065","0","0","0","515406517","5","450"
"0","4","0","18","0","5154065","2.9","1","0","515406518","0","0"
"vo_abd","2","0","19","0","5154065","0","0","vo_abd_0407","515406519","0","0"
"0","1","1","20","0","5154065","0","0","0","515406520","6","300"
"0","4","0","21","0","5154065","1.5","1","0","515406521","0","0"
"vo_abd","2","0","22","0","5154065","0","0","vo_abd_0408","515406522","0","0"
"0","1","1","23","0","5154065","0","0","0","515406523","7","320"
"0","4","0","24","0","5154065","1","1","0","515406524","0","0"
"vo_abd","2","0","25","0","5154065","0","0","vo_abd_0409","515406525","0","0"
"0","1","1","26","320","5154065","0","0","0","515406526","7","320"
"0","4","0","27","0","5154065","2","1","0","515406527","0","0"
"vo_abd","2","0","28","0","5154065","0","0","vo_abd_0410","515406528","0","0"
"0","1","0.2","29","0","5154065","0","0","0","515406529","8","70"
"0","4","0","30","0","5154065","0.7","1","0","515406530","0","0"
"0","1","1.5","31","70","5154065","0","0","0","515406531","8","350"
"0","4","0","32","0","5154065","2.5","1","0","515406532","0","0"
"vo_abd","2","0","33","0","5154065","0","0","vo_abd_0411","515406533","0","0"
"0","1","0.2","34","0","5154065","0","0","0","515406534","9","75"
"0","4","0","35","0","5154065","1.08","1","0","515406535","0","0"
"0","1","0.3","36","75","5154065","0","0","0","515406536","9","340"
"0","4","0","37","0","5154065","0.9","1","0","515406537","0","0"
"0","1","1.5","38","0","5154065","0","0","0","515406538","10","200"
