516bf920d14893754cc84acf53a38e8895ce52abc420f9004451bbc755611189,abf5d700ff30deb0c218761caf9d2ffbec1cd3794150886f11cc568733c94484,65637f5ac8303200dc475ac1b78725463f27cd5d2405ffa14d7de16e96665476,a7f787983ba966a4b02a6e6958f7ca6183db39f02f8d52dbbbddc4f94e3074a6,f82e08e6f559c3ac8f0d7b8c90f2dbf1a7de79664b70941498150a7032b426c9,9558402a1e0e2cb40c24d4584f8d0df4cc61d89ed41ad0cb0d25f957726a067b,ae8a04fe056141d99f8019fc62f0237b9046222a0a0793404d11eaeb3abdc26c,169501a2da5a72b296bdbb3b7509382d82df730a0e4ea65b12fbb18d0ad9b18b,19999ac95a598b8d9974c9c4027668bbd2783c4eebf75911361d9ac2d66d863c,1498c3b33f93ba4ce7c040488ce607019fd94429b644f3c31f20d7c665073fd2,b57536664eeef581182279d6ba4c19b5215d9d81743f7dea7aab9099a799b141
"1010020015","0","","","travel_exdrama_r_100_idle","0","0","3","1000002","1002","1"
"1010020016","0","","","travel_exdrama_r_100_idle","0","0","3","1000003","1002","1"
"1010020017","0","","","travel_exdrama_r_100_idle","0","0","3","1000004","1002","1"
"1010020018","0","","","travel_exdrama_r_100_idle","0","0","3","1000005","1002","1"
"1010020019","-160","-100","travel_exdrama_r_100_raiseup","1","0","1.46","5","1","1002","11"
"1010020020","0","0","","0","","0","93","0.4","1002","0"
"1010020021","0","","","1","","","32","10000","1002",""
"1010020022","","","","0","","","93","0.6","1002",""
"1010020023","0","","","","","0.12","6","1000001","1002",""
"1010020024","0","","","","","0.12","6","1000002","1002",""
"1010020025","0","","","","","0.12","6","1000003","1002",""
"1010020026","0","","","","","0.12","6","1000004","1002",""
"1010020027","0","","","","","0.12","6","1000005","1002",""
"1010020028","0","","","","","0.12","6","1","1002",""
"1010020029","","","","0","","","93","0.12","1002",""
"1010020030","","","","","","","91","0","1002",""
"1010110001","1","5","","10100","","1","31","10100","1011","-350"
"1010110002","1","50","","10002","","0","31","10002","1011","-525"
"1010110003","1","-121","","10101","","1","31","10101","1011","-184"
"1010110004","1","5","","10102","","0","31","10102","1011","-350"
"1010110005","1","5","","10103","","0","31","10103","1011","-350"
"1010110006","1","5","","10104","","0","31","10104","1011","-350"
"1010110007","-200","-470","travel_exdrama_r_101_walk","1000001","0","1.46","1","1","1011","11"
"1010110008","-150","-320","travel_exdrama_r_101_walk","1000002","0","1.46","1","1","1011","1"
"1010110009","-200","-470","travel_exdrama_r_101_walk","1","0","1.46","5","1","1011","12"
"1010110010","-150","-320","travel_exdrama_r_101_walk","2","0","1.46","5","1","1011","2"
"1010120001","","","","se_travel_finish_cave_rare","","","23","se_travel","1012","0"
"1010120002","0","0.1","","-500","","","2","1000001","1012","-200"
"1010120003","0","0.1","","-350","","","2","1000002","1012","-150"
"1010120004","0","0.1","","-500","","","2","1","1012","-200"
"1010120005","0","0.1","","-350","","","2","2","1012","-150"
"1010120006","1","travel_exdrama_r_101_walk","","travel_exdrama_r_101_joy","0.2","0.2","3","1000001","1012","0"
"1010120007","1","travel_exdrama_r_101_walk","","travel_exdrama_r_101_joy","0.2","0.2","3","1000002","1012","0"
"1010120008","1","travel_exdrama_r_101_walk","","travel_exdrama_r_101_joy","0.2","0.2","3","1","1012","0"
"1010120009","1","travel_exdrama_r_101_walk","","travel_exdrama_r_101_joy","0.2","0.2","3","2","1012","0"
"1010120010","","","","0","","","32","10101","1012","0"
"1010120011","","","","1","","","32","10102","1012","0"
"1010120012","","","","0","","","93","1.66","1012",""
"1010120013","","","","1","","","32","10101","1012","0"
"1010120014","","","","0","","","32","10102","1012","0"
"1010120015","0","0.2","","-470","","","2","1000001","1012","-200"
"1010120016","0","0.2","","-320","","","2","1000002","1012","-150"
"1010120017","0","0.2","","-470","","","2","1","1012","-200"
"1010120018","0","0.2","","-320","","","2","2","1012","-150"
"1010130001","","","","se_travel_finish_cave_event","","","23","se_travel","1013","0"
"1010130002","1","travel_exdrama_r_101_walk","","travel_exdrama_r_101_panic_A","0","0.2","3","1000001","1013","0"
"1010130003","1","travel_exdrama_r_101_walk","","travel_exdrama_r_101_panic_B","0","0.2","3","1000002","1013","0"
"1010130004","1","travel_exdrama_r_101_walk","","travel_exdrama_r_101_panic_A","0","0.2","3","1","1013","0"
"1010130005","1","travel_exdrama_r_101_walk","","travel_exdrama_r_101_panic_B","0","0.2","3","2","1013","0"
"1010130006","","","","1","","","32","10002","1013",""
"1010130007","","","","1","","","32","10103","1013",""
"1010130008","","","","0","","","93","3","1013",""
"1010130009","","","","0","","","32","10002","1013",""
"1010130010","","","","0","","","32","10103","1013",""
"1010140001","0","0.1","","-500","0","0","2","1000001","1014","-200"
"1010140002","0","0.1","","-350","0","0","2","1000002","1014","-150"
"1010140003","0","0.1","","-500","0","0","2","1","1014","-200"
"1010140004","0","0.1","","-350","0","0","2","2","1014","-150"
"1010140005","0","","","travel_exdrama_r_finish_B_hand","0","0","3","1000001","1014","0"
"1010140006","0","","","travel_exdrama_r_finish_B_hand","0","0","3","1000002","1014","0"
"1010140007","0","","","travel_exdrama_r_101_finish","0","0","3","1","1014","0"
"1010140008","0","","","travel_exdrama_r_101_finish","0","0","3","2","1014","0"
"1010140009","","","","0","","","32","10101","1014","0"
"1010140010","","","","1","","","32","10104","1014","0"
"1010210001","1","5","","10200","","1","31","10200","1021","-350"
"1010210002","1","5","","10201","","0","31","10201","1021","-350"
"1010210003","1","5","","10202","","0","31","10202","1021","-350"
"1010210004","1","86","","10203","","0","31","10203","1021","-490"
"1010210005","1","105","","10204","","0","31","10204","1021","-200"
"1010210006","1","50","","10001","","0","31","10001","1021","-525"
"1010210007","-180","-490","travel_exdrama_r_102_book","1000001","0","1.46","1","1","1021","1"
"1010210008","-180","-200","travel_exdrama_r_102_loupe","1000002","0","1.46","1","1","1021","2"
"1010210009","-180","-490","travel_exdrama_r_102_book","1","0","1.46","5","1","1021","11"
"1010210010","-180","-200","travel_exdrama_r_102_loupe","2","0","1.46","5","1","1021","12"
"1010210011","-136","-339","reliclight_none","5","0","2","5","5","1021","13"
"1010220001","","","","se_travel_finish_ruins_rare","","","23","se_travel","1022","0"
"1010220002","1","travel_exdrama_r_102_book","","travel_exdrama_r_102_bookFind_A","0.2","0.2","3","1000001","1022","0"
"1010220003","1","travel_exdrama_r_102_loupe","","travel_exdrama_r_102_loupeFind_A","0.2","0.2","3","1000002","1022","0"
"1010220004","1","travel_exdrama_r_102_book","","travel_exdrama_r_102_bookFind_A","0.2","0.2","3","1","1022","0"
"1010220005","1","travel_exdrama_r_102_loupe","","travel_exdrama_r_102_loupeFind_A","0.2","0.2","3","2","1022","0"
"1010220006","","","","1","","","32","10202","1022",""
"1010220007","","","","1","","","32","10203","1022",""
"1010220008","","","","1","","","32","10204","1022",""
"1010220009","","","","0","","","93","1.66","1022",""
"1010220010","","","","0","","","32","10202","1022",""
"1010220011","","","","0","","","32","10203","1022",""
"1010220012","","","","0","","","32","10204","1022",""
"1010230001","","","","se_travel_finish_ruins_event","","","23","se_travel","1023","0"
"1010230002","1","travel_exdrama_r_102_book","","travel_exdrama_r_102_bookFind_B","0","0.2","3","1000001","1023","0"
"1010230003","1","travel_exdrama_r_102_loupe","","travel_exdrama_r_102_loupeFind_B","0","0.2","3","1000002","1023","0"
"1010230004","1","travel_exdrama_r_102_book","","travel_exdrama_r_102_bookFind_B","0","0.2","3","1","1023","0"
"1010230005","1","travel_exdrama_r_102_loupe","","travel_exdrama_r_102_loupeFind_B","0","0.2","3","2","1023","0"
"1010230006","","","","reliclight_on","","","3","5","1023","0"
"1010230007","","","","1","","","32","10201","1023",""
"1010230008","","","","1","","","32","10001","1023",""
"1010230009","","","","0","","","93","3","1023",""
"1010230010","","","","0","","","32","10201","1023",""
"1010230011","","","","0","","","32","10001","1023",""
"1010230012","","","","reliclight_none","","","3","5","1023","0"
"1010240001","0","","","1","0","0","4","1000002","1024","0"
"1010240002","0","","","1","0","0","4","2","1024","0"
"1010240003","0","","","travel_exdrama_r_finish_A","0","0","3","1000001","1024","0"
"1010240004","0","","","travel_exdrama_r_finish_A_front","0","0","3","1000002","1024","0"
"1010240005","0","","","travel_exdrama_r_102_book_finish","0","0","3","1","1024","0"
"1010240006","0","","","travel_exdrama_r_102_loupe_finish","0","0","3","2","1024","0"
"1010240007","","","","reliclight_none","","","3","5","1024","0"
"1010310001","1","5","","10300","","1","31","10300","1031","-350"
"1010310002","1","5","","10301","","0","31","10301","1031","-350"
"1010310003","1","5","","10302","","0","31","10302","1031","-350"
"1010310004","1","50","","10002","","0","31","10002","1031","-525"
"1010310005","-200","-510","travel_exdrama_r_103_dig_A","1000001","0","1.46","1","1","1031","5"
"1010310006","-175","-400","travel_exdrama_r_103_dig_B","1000002","0","1.46","1","1","1031","3"
"1010310007","-140","-190","travel_exdrama_r_103_map","1000003","0","1.46","1","1","1031","1"
"1010310008","-200","-510","travel_exdrama_r_103_dig_A","1","0","1.46","5","1","1031","6"
"1010310009","-175","-400","travel_exdrama_r_103_dig_B","2","0","1.46","5","1","1031","4"
"1010310010","-140","-190","travel_exdrama_r_103_map","3","0","1.46","5","1","1031","2"
"1010320001","","","","se_travel_finish_dig_rare","","","23","se_travel","1032","0"
"1010320002","1","travel_exdrama_r_103_dig_A","","travel_exdrama_r_103_surprise_A","0.2","0.2","3","1000001","1032","0"
"1010320003","1","travel_exdrama_r_103_dig_B","","travel_exdrama_r_103_surprise_A","0.2","0.2","3","1000002","1032","0"
"1010320004","1","travel_exdrama_r_103_map","","travel_exdrama_r_103_mapSurprise_A","0.2","0.2","3","1000003","1032","0"
"1010320005","1","travel_exdrama_r_103_dig_A","","travel_exdrama_r_103_surprise_A","0.2","0.2","3","1","1032","0"
"1010320006","1","travel_exdrama_r_103_dig_B","","travel_exdrama_r_103_surprise_A","0.2","0.2","3","2","1032","0"
"1010320007","1","travel_exdrama_r_103_map","","travel_exdrama_r_103_mapSurprise_A","0.2","0.2","3","3","1032","0"
"1010320008","","","","1","","","32","10302","1032",""
"1010320009","","","","0","","","93","1.25","1032",""
"1010320010","","","","0","","","32","10302","1032",""
"1010330001","","","","se_travel_finish_dig_event","","","23","se_travel","1033","0"
"1010330002","1","travel_exdrama_r_103_dig_A","","travel_exdrama_r_103_surprise_B","0","0.2","3","1000001","1033","0"
"1010330003","1","travel_exdrama_r_103_dig_B","","travel_exdrama_r_103_surprise_B","0","0.2","3","1000002","1033","0"
"1010330004","1","travel_exdrama_r_103_map","","travel_exdrama_r_103_mapSurprise_B","0","0.2","3","1000003","1033","0"
"1010330005","1","travel_exdrama_r_103_dig_A","","travel_exdrama_r_103_surprise_B","0","0.2","3","1","1033","0"
"1010330006","1","travel_exdrama_r_103_dig_B","","travel_exdrama_r_103_surprise_B","0","0.2","3","2","1033","0"
"1010330007","1","travel_exdrama_r_103_map","","travel_exdrama_r_103_mapSurprise_B","0","0.2","3","3","1033","0"
"1010330008","","","","1","","","32","10301","1033",""
"1010330009","","","","1","","","32","10002","1033",""
"1010330010","","","","0","","","93","3","1033",""
"1010330011","","","","0","","","32","10301","1033",""
"1010330012","","","","0","","","32","10002","1033",""
"1010340001","","","","1","","","4","1000003","1034",""
"1010340002","","","","1","","","4","3","1034",""
"1010340003","0","","","travel_exdrama_r_finish_B","0","0","3","1000001","1034","0"
"1010340004","0","","","travel_exdrama_r_finish_B","0","0","3","1000002","1034","0"
"1010340005","0","","","travel_exdrama_r_finish_A_front","0","0","3","1000003","1034","0"
"1010340006","0","","","travel_exdrama_r_103_shovel","0","0","3","1","1034","0"
"1010340007","0","","","travel_exdrama_r_103_shovel","0","0","3","2","1034","0"
"1010340008","0","","","travel_exdrama_r_103_map_finish","0","0","3","3","1034","0"
"1010410001","1","5","","10400","","1","31","10400","1041","-350"
"1010410002","1","5","","10401","","1","31","10401","1041","-350"
"1010410003","1","5","","10402","","0","31","10402","1041","-350"
"1010410004","1","5","","10403","","0","31","10403","1041","-350"
"1010410005","1","50","","10001","","0","31","10001","1041","-525"
"1010410006","-150","-450","travel_exdrama_r_104_fishingIdle","1000001","0","1.46","1","1","1041","12"
"1010410007","-125","-200","travel_exdrama_r_104_idle_B","1000002","0","1.46","1","1","1041","10"
"1010410008","-150","-450","travel_exdrama_r_104_fishingIdle","1","0","1.46","5","2","1041","11"
"1010410009","-150","-350","none","10","0","1","5","4","1041","20"
"1010420001","","","","se_travel_finish_bridge_rare","","","23","se_travel","1042","0"
"1010420002","1","travel_exdrama_r_104_fishingIdle","","travel_exdrama_r_104_fishingCatch","0.2","0.2","3","1000001","1042","0"
"1010420003","1","travel_exdrama_r_104_idle_B","","travel_exdrama_r_104_glad_B","0.2","0.2","3","1000002","1042","0"
"1010420004","1","travel_exdrama_r_104_fishingIdle","","travel_exdrama_r_104_fishingCatch","0.2","0.2","3","1","1042","0"
"1010420005","1","none","","fish","0","0","3","10","1042","0"
"1010420006","","","","1","","","32","10402","1042",""
"1010420007","","","","0","","","93","1.25","1042",""
"1010420008","","","","0","","","32","10402","1042",""
"1010430001","","","","se_travel_finish_bridge_event","","","23","se_travel","1043","0"
"1010430002","1","travel_exdrama_r_104_fishingIdle","","travel_exdrama_r_104_fishingBig","0","0","3","1000001","1043","0"
"1010430003","1","travel_exdrama_r_104_idle_B","","travel_exdrama_r_104_surprise_B","0","0","3","1000002","1043","0"
"1010430004","1","travel_exdrama_r_104_fishingIdle","","travel_exdrama_r_104_fishingBig","0","0","3","1","1043","0"
"1010430005","","","","1","","","32","10403","1043",""
"1010430006","","","","1","","","32","10001","1043",""
"1010430007","","","","0","","","93","3","1043",""
"1010430008","","","","0","","","32","10403","1043",""
"1010430009","","","","0","","","32","10001","1043",""
"1010440001","","","","1","","","4","1000002","1044",""
"1010440002","0","","","travel_exdrama_r_104_fishing_finish","0","0","3","1000001","1044","0"
"1010440003","0","","","travel_exdrama_r_finish_A_front","0","0","3","1000002","1044","0"
"1010440004","0","","","travel_exdrama_r_104_fishing_finish","0","0.2","3","1","1044","0"
"1010510001","1","5","","10500","","1","31","10500","1051","-350"
"1010510002","1","-200","","10501","","0","31","10501","1051","-350"
"1010510003","1","50","","10001","","0","31","10001","1051","-525"
"1010510004","-200","-470","travel_exdrama_r_105_netSearch","1000001","0","1.46","1","1","1051","1"
"1010510005","-220","-200","travel_exdrama_r_105_binoculars","1000002","0","1.46","1","1","1051","2"
"1010510006","-200","-470","travel_exdrama_r_105_netSearch","1","0","1.46","5","1","1051","5"
"1010510007","-220","-200","travel_exdrama_r_105_binoculars","2","0","1.46","5","1","1051","3"
"1010510008","-230","-350","idle","10","0","1.46","5","3","1051","4"
"1010520001","1","travel_exdrama_r_105_netSearch","","travel_exdrama_r_105_netFind_A","0.1","0.2","3","1000001","1052","0"
"1010520002","1","travel_exdrama_r_105_binoculars","","travel_exdrama_r_105_binocularsFind_A","0.2","0.2","3","1000002","1052","0"
"1010520003","1","travel_exdrama_r_105_netSearch","","travel_exdrama_r_105_netFind_A","0.1","0.2","3","1","1052","0"
"1010520004","1","travel_exdrama_r_105_binoculars","","travel_exdrama_r_105_binocularsFind_A","0.2","0.2","3","2","1052","0"
"1010520005","1","idle","","beetle","0.2","0.2","3","10","1052","0"
"1010520006","","","","1","","","32","10501","1052",""
"1010520007","","","","0","","","93","1.2","1052",""
"1010520008","","","","0","","","32","10501","1052",""
"1010530001","","","","se_travel_finish_insects_event","","","23","se_travel","1053","0"
"1010530002","1","travel_exdrama_r_105_netSearch","","travel_exdrama_r_105_netFind_B","0","0.2","3","1000001","1053","0"
"1010530003","1","travel_exdrama_r_105_binoculars","","travel_exdrama_r_105_binocularsFind_B","0","0.2","3","1000002","1053","0"
"1010530004","1","travel_exdrama_r_105_netSearch","","travel_exdrama_r_105_netFind_B","0","0.2","3","1","1053","0"
"1010530005","1","travel_exdrama_r_105_binoculars","","travel_exdrama_r_105_binocularsFind_B","0","0.2","3","2","1053","0"
"1010530006","1","idle","","butterfly","0","0.2","3","10","1053","0"
"1010530007","","","","1","","","32","10501","1053",""
"1010530008","","","","1","","","32","10001","1053",""
"1010530009","","","","0","","","93","2.6","1053",""
"1010530010","","","","0","","","32","10501","1053",""
"1010530011","","","","1","","","32","10501","1053",""
"1010530012","","","","0","","","93","0.4","1053",""
"1010530013","","","","0","","","32","10501","1053",""
"1010530014","","","","0","","","32","10001","1053",""
"1010540001","","","","1","","","4","1000002","1054",""
"1010540002","","","","1","","","4","2","1054",""
"1010540003","0","","","travel_exdrama_r_finish_B_hand","0","0","3","1000001","1054","0"
"1010540004","0","","","travel_exdrama_r_finish_B","0","0","3","1000002","1054","0"
"1010540005","0","","","travel_exdrama_r_105_net_finish","0","0","3","1","1054","0"
"1010540006","0","","","travel_exdrama_r_105_binoculars_finish","0","0","3","2","1054","0"
"1010540007","0","","","stop","0","0","3","10","1054","0"
"1010610001","1","5","","10600","","1","31","10600","1061","-350"
"1010610002","1","5","","10601","","0","31","10601","1061","-350"
"1010610003","1","5","","10602","","0","31","10602","1061","-350"
"1010610004","1","5","","10603","","0","31","10603","1061","-350"
"1010610005","1","5","","10604","","1","31","10604","1061","-350"
"1010610006","1","5","","10605","","1","31","10605","1061","-350"
"1010610007","1","50","","10001","","0","31","10001","1061","-525"
"1010610008","-224","-497","travel_exdrama_r_106_idle_A","1000001","0","1.46","1","1","1061","18"
"1010610009","-116","-208","travel_exdrama_r_106_idle_B","1000002","0","1.46","1","1","1061","2"
"1010610010","-224","-497","travel_exdrama_r_106_idle_A","1","0","1.46","5","1","1061","30"
"1010610011","-116","-208","travel_exdrama_r_000_none","2","0","1.46","5","1","1061","3"
"1010620001","","","","se_travel_finish_beach_rare","","","23","se_travel","1062","0"
"1010620002","1","travel_exdrama_r_106_idle_A","","travel_exdrama_r_106_rare_A","0.2","0","3","1000001","1062","0"
"1010620003","1","travel_exdrama_r_106_idle_B","","travel_exdrama_r_106_rare_B","0.2","0","3","1000002","1062","0"
"1010620004","1","travel_exdrama_r_106_idle_A","","travel_exdrama_r_106_rare_A","0.2","0","3","1","1062","0"
"1010620005","0","travel_exdrama_r_000_none","","travel_exdrama_r_106_rare_B","0.2","0","3","2","1062","0"
"1010620006","","","","1","","","32","10603","1062",""
"1010620007","","","","0","","","93","1.2","1062",""
"1010620008","","","","0","","","32","10603","1062",""
"1010630001","","","","se_travel_finish_beach_event","","","23","se_travel","1063","0"
"1010630002","1","travel_exdrama_r_106_idle_A","","travel_exdrama_r_106_memory_A","0","0","3","1000001","1063","0"
"1010630003","1","travel_exdrama_r_106_idle_B","","travel_exdrama_r_106_memory_B","0","0","3","1000002","1063","0"
"1010630004","1","travel_exdrama_r_106_idle_A","","travel_exdrama_r_106_memory_A","0","0","3","1","1063","0"
"1010630005","","","","1","","","32","10601","1063",""
"1010630006","","","","1","","","32","10602","1063",""
"1010630007","","","","1","","","32","10001","1063",""
"1010630008","","","","0","","","93","3","1063",""
"1010630009","","","","0","","","32","10601","1063",""
"1010630010","","","","0","","","32","10602","1063",""
"1010630011","","","","0","","","32","10001","1063",""
"1010640001","","","","1","","","4","1000002","1064",""
"1010640002","","","","1","","","4","1000001","1064",""
"1010640003","","","","1","","","4","2","1064",""
"1010640004","","","","travel_exdrama_r_106_finish_A","0","0","3","1000001","1064","0"
"1010640005","","","","travel_exdrama_r_106_finish_B","0","0","3","1000002","1064","0"
"1010640006","","","","travel_exdrama_r_106_rare_A","0","0","3","1","1064","0"
"1010640007","","","","travel_exdrama_r_000_none","0","0","3","2","1064","0"
"1010710001","1","5","","10700","","1","31","10700","1071","-350"
"1010710002","1","5","","10701","","1","31","10701","1071","-350"
"1010710003","1","5","","10702","","0","31","10702","1071","-350"
"1010710004","1","5","","10703","","0","31","10703","1071","-350"
"1010710005","1","50","","10001","","0","31","10001","1071","-525"
"1010710006","-170","-470","travel_exdrama_r_107_dig_A","1000001","0","1.46","1","1","1071","32"
"1010710007","-170","-215","travel_exdrama_r_107_dig_B","1000002","1","1.46","1","1","1071","30"
"1010710008","-170","-470","travel_exdrama_r_107_dig_A","1","0","1.46","5","1","1071","33"
"1010710009","-170","-215","travel_exdrama_r_107_dig_B","10","1","1.46","5","1","1071","31"
"1010720001","","","","se_travel_finish_raredrop","","","23","se_travel","1072","0"
"1010720002","1","travel_exdrama_r_107_dig_A","","travel_exdrama_r_107_joy","0.2","0.2","3","1000001","1072","0"
"1010720003","1","travel_exdrama_r_107_dig_B","","travel_exdrama_r_107_joy","0.2","0.2","3","1000002","1072","0"
"1010720004","1","travel_exdrama_r_107_dig_A","","travel_exdrama_r_107_joy","0.2","0.2","3","1","1072","0"
"1010720005","1","travel_exdrama_r_107_dig_B","","travel_exdrama_r_107_joy","0.2","0.2","3","10","1072","0"
"1010720006","","","","0","","","32","10701","1072",""
"1010720007","","","","1","","","32","10702","1072",""
"1010720008","","","","0","","","93","1.4","1072",""
"1010720009","","","","1","","","32","10701","1072",""
"1010720010","","","","0","","","32","10702","1072",""
"1010730001","","","","se_travel_finish_memory_event","","","23","se_travel","1073","0"
"1010730002","1","travel_exdrama_r_107_dig_A","","travel_exdrama_r_107_surprise_A","0","0.2","3","1000001","1073","0"
"1010730003","1","travel_exdrama_r_107_dig_B","","travel_exdrama_r_107_surprise_B","0","0.2","3","1000002","1073","0"
"1010730004","1","travel_exdrama_r_107_dig_A","","travel_exdrama_r_107_surprise_A","0","0.2","3","1","1073","0"
"1010730005","1","travel_exdrama_r_107_dig_B","","travel_exdrama_r_107_surprise_B","0","0.2","3","10","1073","0"
"1010730006","","","","1","","","32","10703","1073",""
"1010730007","","","","1","","","32","10001","1073",""
"1010730008","","","","0","","","32","10701","1073",""
"1010730009","","","","0","","","93","3","1073",""
"1010730010","","","","0","","","32","10703","1073",""
"1010730011","","","","0","","","32","10001","1073",""
"1010730012","","","","1","","","32","10701","1073",""
"1010740001","","","","1","","","4","1000002","1074",""
"1010740002","","","","1","","","4","10","1074",""
"1010740003","0","","","travel_exdrama_r_finish_B_hand","0","0","3","1000001","1074","0"
"1010740004","0","","","travel_exdrama_r_finish_B_hand","0","0","3","1000002","1074","0"
"1010740005","0","","","travel_exdrama_r_107_finish_A","0","0","3","1","1074","0"
"1010740006","0","","","travel_exdrama_r_107_finish_A","0","0","3","10","1074","0"
"1010740007","","","","0","","","32","10701","1074",""
"1010810001","1","5","","10800","","1","31","10800","1081","-350"
"1010810002","1","5","","10401","","1","31","10401","1081","-350"
"1010810003","1","5","","10402","","0","31","10402","1081","-350"
"1010810004","1","5","","10403","","0","31","10403","1081","-350"
"1010810005","1","50","","10001","","0","31","10001","1081","-525"
"1010810006","-150","-450","travel_exdrama_r_104_fishingIdle","1000001","0","1.46","1","1","1081","12"
"1010810007","-125","-200","travel_exdrama_r_104_idle_B","1000002","0","1.46","1","1","1081","10"
"1010810008","-150","-450","travel_exdrama_r_104_fishingIdle","1","0","1.46","5","2","1081","11"
"1010810009","-150","-350","none","10","0","1","5","4","1081","20"
"1010820001","","","","se_travel_finish_bridge_rare","","","23","se_travel","1082","0"
"1010820002","1","travel_exdrama_r_104_fishingIdle","","travel_exdrama_r_104_fishingCatch","0.2","0.2","3","1000001","1082","0"
"1010820003","1","travel_exdrama_r_104_idle_B","","travel_exdrama_r_104_glad_B","0.2","0.2","3","1000002","1082","0"
"1010820004","1","travel_exdrama_r_104_fishingIdle","","travel_exdrama_r_104_fishingCatch","0.2","0.2","3","1","1082","0"
"1010820005","1","none","","fish","0","0","3","10","1082","0"
"1010820006","","","","1","","","32","10402","1082",""
"1010820007","","","","0","","","93","1.25","1082",""
"1010820008","","","","0","","","32","10402","1082",""
"1010830001","","","","se_travel_finish_bridge_event","","","23","se_travel","1083","0"
"1010830002","1","travel_exdrama_r_104_fishingIdle","","travel_exdrama_r_104_fishingBig","0","0","3","1000001","1083","0"
"1010830003","1","travel_exdrama_r_104_idle_B","","travel_exdrama_r_104_surprise_B","0","0","3","1000002","1083","0"
"1010830004","1","travel_exdrama_r_104_fishingIdle","","travel_exdrama_r_104_fishingBig","0","0","3","1","1083","0"
