0e9c8359498e472b442adc0895a636a1092cf04f5e7c90bfabeecb8dae6fe39c,24b8c68231750955f43f0fcea6e112fd009e77b2409523101d01e202b21cb486,dba5e972fc0add903903efed0ca5df5a9641c7e4f55bef5b69ce0c3a8331e7aa,c4dcae057a3695d4e24d8304f54aeb124fa15dd01a8b6471eaa6b46f4bae8bcc,c2eeb743cc22ef84b33d70504c750a19b4eaf585e2618b62cc1419f1600ee692,d3630d3aa1f94eca68226f0d76b059eb7217dc9c7ae378443d9841db8d7b92b7,d6dce9c149ce10c87a9793449dac42c125dc9f9b0829fa5baed377dba63c2146,00a0cf78c54c086156dbd2cc6eda023a944894b28e8a7f149366034df16dcc92,bcf62aed6b297ab6ec9aa90e34f25a00ddf1e2f1ecf023b97d2dcb83243b20da
"100707","100700007","21","1","累積獲得21個★","1007","7","21","4101"
"100708","100700008","24","0","累積獲得24個★","1007","8","24","4101"
"100709","100700009","27","1","累積獲得27個★","1007","9","27","4101"
"100710","100700010","30","0","累積獲得30個★","1007","10","30","4101"
"100711","100700011","33","0","累積獲得33個★","1007","11","33","4101"
"100712","100700012","36","1","累積獲得36個★","1007","12","36","4101"
"100713","100700013","39","0","累積獲得39個★","1007","13","39","4101"
"100714","100700014","42","0","累積獲得42個★","1007","14","42","4101"
"100715","100700015","45","1","累積獲得45個★","1007","15","45","4101"
"100716","100700016","48","0","累積獲得48個★","1007","16","48","4101"
"100717","100700017","51","1","累積獲得51個★","1007","17","51","4101"
"100718","100700018","54","0","累積獲得54個★","1007","18","54","4101"
"100801","100800001","3","0","累積獲得3個★","1008","1","3","4101"
"100802","100800002","6","0","累積獲得6個★","1008","2","6","4101"
"100803","100800003","9","1","累積獲得9個★","1008","3","9","4101"
"100804","100800004","12","0","累積獲得12個★","1008","4","12","4101"
"100805","100800005","15","0","累積獲得15個★","1008","5","15","4101"
"100806","100800006","18","0","累積獲得18個★","1008","6","18","4101"
"100807","100800007","21","1","累積獲得21個★","1008","7","21","4101"
"100808","100800008","24","0","累積獲得24個★","1008","8","24","4101"
"100809","100800009","27","1","累積獲得27個★","1008","9","27","4101"
"100810","100800010","30","0","累積獲得30個★","1008","10","30","4101"
"100811","100800011","33","0","累積獲得33個★","1008","11","33","4101"
"100812","100800012","36","1","累積獲得36個★","1008","12","36","4101"
"100813","100800013","39","0","累積獲得39個★","1008","13","39","4101"
"100814","100800014","42","0","累積獲得42個★","1008","14","42","4101"
"100815","100800015","45","1","累積獲得45個★","1008","15","45","4101"
"100816","100800016","48","0","累積獲得48個★","1008","16","48","4101"
"100817","100800017","51","1","累積獲得51個★","1008","17","51","4101"
"100818","100800018","54","0","累積獲得54個★","1008","18","54","4101"
"100901","100900001","3","0","累積獲得3個★","1009","1","3","4101"
"100902","100900002","6","0","累積獲得6個★","1009","2","6","4101"
"100903","100900003","9","1","累積獲得9個★","1009","3","9","4101"
"100904","100900004","12","0","累積獲得12個★","1009","4","12","4101"
"100905","100900005","15","0","累積獲得15個★","1009","5","15","4101"
"100906","100900006","18","0","累積獲得18個★","1009","6","18","4101"
"100907","100900007","21","1","累積獲得21個★","1009","7","21","4101"
"100908","100900008","24","0","累積獲得24個★","1009","8","24","4101"
"100909","100900009","27","1","累積獲得27個★","1009","9","27","4101"
"100910","100900010","30","0","累積獲得30個★","1009","10","30","4101"
"100911","100900011","33","0","累積獲得33個★","1009","11","33","4101"
"100912","100900012","36","1","累積獲得36個★","1009","12","36","4101"
"100913","100900013","39","0","累積獲得39個★","1009","13","39","4101"
"100914","100900014","42","0","累積獲得42個★","1009","14","42","4101"
"100915","100900015","45","1","累積獲得45個★","1009","15","45","4101"
"100916","100900016","48","0","累積獲得48個★","1009","16","48","4101"
"100917","100900017","51","1","累積獲得51個★","1009","17","51","4101"
"100918","100900018","54","0","累積獲得54個★","1009","18","54","4101"
"101001","101000001","3","0","累積獲得3個★","1010","1","3","4101"
"101002","101000002","6","0","累積獲得6個★","1010","2","6","4101"
"101003","101000003","9","1","累積獲得9個★","1010","3","9","4101"
"101004","101000004","12","0","累積獲得12個★","1010","4","12","4101"
"101005","101000005","15","0","累積獲得15個★","1010","5","15","4101"
"101006","101000006","18","0","累積獲得18個★","1010","6","18","4101"
"101007","101000007","21","1","累積獲得21個★","1010","7","21","4101"
"101008","101000008","24","0","累積獲得24個★","1010","8","24","4101"
"101009","101000009","27","1","累積獲得27個★","1010","9","27","4101"
"101010","101000010","30","0","累積獲得30個★","1010","10","30","4101"
"101011","101000011","33","0","累積獲得33個★","1010","11","33","4101"
"101012","101000012","36","1","累積獲得36個★","1010","12","36","4101"
"101013","101000013","39","0","累積獲得39個★","1010","13","39","4101"
"101014","101000014","42","0","累積獲得42個★","1010","14","42","4101"
"101015","101000015","45","1","累積獲得45個★","1010","15","45","4101"
"101016","101000016","48","0","累積獲得48個★","1010","16","48","4101"
"101017","101000017","51","1","累積獲得51個★","1010","17","51","4101"
"101018","101000018","54","0","累積獲得54個★","1010","18","54","4101"
"101101","101100001","3","0","累積獲得3個★","1011","1","3","4101"
"101102","101100002","6","0","累積獲得6個★","1011","2","6","4101"
"101103","101100003","9","1","累積獲得9個★","1011","3","9","4101"
"101104","101100004","12","0","累積獲得12個★","1011","4","12","4101"
"101105","101100005","15","0","累積獲得15個★","1011","5","15","4101"
"101106","101100006","18","0","累積獲得18個★","1011","6","18","4101"
"101107","101100007","21","1","累積獲得21個★","1011","7","21","4101"
"101108","101100008","24","0","累積獲得24個★","1011","8","24","4101"
"101109","101100009","27","1","累積獲得27個★","1011","9","27","4101"
"101110","101100010","30","0","累積獲得30個★","1011","10","30","4101"
"101111","101100011","33","0","累積獲得33個★","1011","11","33","4101"
"101112","101100012","36","1","累積獲得36個★","1011","12","36","4101"
"101113","101100013","39","0","累積獲得39個★","1011","13","39","4101"
"101114","101100014","42","0","累積獲得42個★","1011","14","42","4101"
"101115","101100015","45","1","累積獲得45個★","1011","15","45","4101"
"101116","101100016","48","0","累積獲得48個★","1011","16","48","4101"
"101117","101100017","51","1","累積獲得51個★","1011","17","51","4101"
"101118","101100018","54","0","累積獲得54個★","1011","18","54","4101"
"101201","101200001","3","0","累積獲得3個★","1012","1","3","4101"
"101202","101200002","6","0","累積獲得6個★","1012","2","6","4101"
"101203","101200003","9","1","累積獲得9個★","1012","3","9","4101"
"101204","101200004","12","0","累積獲得12個★","1012","4","12","4101"
"101205","101200005","15","0","累積獲得15個★","1012","5","15","4101"
"101206","101200006","18","0","累積獲得18個★","1012","6","18","4101"
"101207","101200007","21","1","累積獲得21個★","1012","7","21","4101"
"101208","101200008","24","0","累積獲得24個★","1012","8","24","4101"
"101209","101200009","27","1","累積獲得27個★","1012","9","27","4101"
"101210","101200010","30","0","累積獲得30個★","1012","10","30","4101"
"101211","101200011","33","0","累積獲得33個★","1012","11","33","4101"
"101212","101200012","36","1","累積獲得36個★","1012","12","36","4101"
"101213","101200013","39","0","累積獲得39個★","1012","13","39","4101"
"101214","101200014","42","0","累積獲得42個★","1012","14","42","4101"
"101215","101200015","45","1","累積獲得45個★","1012","15","45","4101"
"101216","101200016","48","0","累積獲得48個★","1012","16","48","4101"
"101217","101200017","51","1","累積獲得51個★","1012","17","51","4101"
"101218","101200018","54","0","累積獲得54個★","1012","18","54","4101"
"101301","101300001","3","0","累積獲得3個★","1013","1","3","4101"
"101302","101300002","6","0","累積獲得6個★","1013","2","6","4101"
"101303","101300003","9","1","累積獲得9個★","1013","3","9","4101"
"101304","101300004","12","0","累積獲得12個★","1013","4","12","4101"
"101305","101300005","15","0","累積獲得15個★","1013","5","15","4101"
"101306","101300006","18","0","累積獲得18個★","1013","6","18","4101"
"101307","101300007","21","1","累積獲得21個★","1013","7","21","4101"
"101308","101300008","24","0","累積獲得24個★","1013","8","24","4101"
"101309","101300009","27","1","累積獲得27個★","1013","9","27","4101"
"101310","101300010","30","0","累積獲得30個★","1013","10","30","4101"
"101311","101300011","33","0","累積獲得33個★","1013","11","33","4101"
"101312","101300012","36","1","累積獲得36個★","1013","12","36","4101"
"101313","101300013","39","0","累積獲得39個★","1013","13","39","4101"
"101314","101300014","42","0","累積獲得42個★","1013","14","42","4101"
"101315","101300015","45","1","累積獲得45個★","1013","15","45","4101"
"101316","101300016","48","0","累積獲得48個★","1013","16","48","4101"
"101317","101300017","51","1","累積獲得51個★","1013","17","51","4101"
"101318","101300018","54","0","累積獲得54個★","1013","18","54","4101"
"101401","101400001","3","0","累積獲得3個★","1014","1","3","4101"
"101402","101400002","6","0","累積獲得6個★","1014","2","6","4101"
"101403","101400003","9","1","累積獲得9個★","1014","3","9","4101"
"101404","101400004","12","0","累積獲得12個★","1014","4","12","4101"
"101405","101400005","15","0","累積獲得15個★","1014","5","15","4101"
"101406","101400006","18","0","累積獲得18個★","1014","6","18","4101"
"101407","101400007","21","1","累積獲得21個★","1014","7","21","4101"
"101408","101400008","24","0","累積獲得24個★","1014","8","24","4101"
"101409","101400009","27","1","累積獲得27個★","1014","9","27","4101"
"101410","101400010","30","0","累積獲得30個★","1014","10","30","4101"
"101411","101400011","33","0","累積獲得33個★","1014","11","33","4101"
"101412","101400012","36","1","累積獲得36個★","1014","12","36","4101"
"101413","101400013","39","0","累積獲得39個★","1014","13","39","4101"
"101414","101400014","42","0","累積獲得42個★","1014","14","42","4101"
"101415","101400015","45","1","累積獲得45個★","1014","15","45","4101"
"101416","101400016","48","0","累積獲得48個★","1014","16","48","4101"
"101417","101400017","51","1","累積獲得51個★","1014","17","51","4101"
"101418","101400018","54","0","累積獲得54個★","1014","18","54","4101"
"101501","101500001","3","0","累積獲得3個★","1015","1","3","4101"
"101502","101500002","6","0","累積獲得6個★","1015","2","6","4101"
"101503","101500003","9","1","累積獲得9個★","1015","3","9","4101"
"101504","101500004","12","0","累積獲得12個★","1015","4","12","4101"
"101505","101500005","15","0","累積獲得15個★","1015","5","15","4101"
"101506","101500006","18","0","累積獲得18個★","1015","6","18","4101"
"101507","101500007","21","1","累積獲得21個★","1015","7","21","4101"
"101508","101500008","24","0","累積獲得24個★","1015","8","24","4101"
"101509","101500009","27","1","累積獲得27個★","1015","9","27","4101"
"101510","101500010","30","0","累積獲得30個★","1015","10","30","4101"
"101511","101500011","33","0","累積獲得33個★","1015","11","33","4101"
"101512","101500012","36","1","累積獲得36個★","1015","12","36","4101"
"101513","101500013","39","0","累積獲得39個★","1015","13","39","4101"
"101514","101500014","42","0","累積獲得42個★","1015","14","42","4101"
"101515","101500015","45","1","累積獲得45個★","1015","15","45","4101"
"101516","101500016","48","0","累積獲得48個★","1015","16","48","4101"
"101517","101500017","51","1","累積獲得51個★","1015","17","51","4101"
"101518","101500018","54","0","累積獲得54個★","1015","18","54","4101"
"101601","101600001","3","0","累積獲得3個★","1016","1","3","4101"
"101602","101600002","6","0","累積獲得6個★","1016","2","6","4101"
"101603","101600003","9","1","累積獲得9個★","1016","3","9","4101"
"101604","101600004","12","0","累積獲得12個★","1016","4","12","4101"
"101605","101600005","15","0","累積獲得15個★","1016","5","15","4101"
"101606","101600006","18","0","累積獲得18個★","1016","6","18","4101"
"101607","101600007","21","1","累積獲得21個★","1016","7","21","4101"
"101608","101600008","24","0","累積獲得24個★","1016","8","24","4101"
"101609","101600009","27","1","累積獲得27個★","1016","9","27","4101"
"101610","101600010","30","0","累積獲得30個★","1016","10","30","4101"
"101611","101600011","33","0","累積獲得33個★","1016","11","33","4101"
"101612","101600012","36","1","累積獲得36個★","1016","12","36","4101"
"101613","101600013","39","0","累積獲得39個★","1016","13","39","4101"
"101614","101600014","42","0","累積獲得42個★","1016","14","42","4101"
"101615","101600015","45","1","累積獲得45個★","1016","15","45","4101"
"101616","101600016","48","0","累積獲得48個★","1016","16","48","4101"
"101617","101600017","51","1","累積獲得51個★","1016","17","51","4101"
"101618","101600018","54","0","累積獲得54個★","1016","18","54","4101"
"101701","101700001","3","0","累積獲得3個★","1017","1","3","4101"
"101702","101700002","6","0","累積獲得6個★","1017","2","6","4101"
"101703","101700003","9","1","累積獲得9個★","1017","3","9","4101"
"101704","101700004","12","0","累積獲得12個★","1017","4","12","4101"
"101705","101700005","15","0","累積獲得15個★","1017","5","15","4101"
"101706","101700006","18","0","累積獲得18個★","1017","6","18","4101"
"101707","101700007","21","1","累積獲得21個★","1017","7","21","4101"
"101708","101700008","24","0","累積獲得24個★","1017","8","24","4101"
"101709","101700009","27","1","累積獲得27個★","1017","9","27","4101"
"101710","101700010","30","0","累積獲得30個★","1017","10","30","4101"
"101711","101700011","33","0","累積獲得33個★","1017","11","33","4101"
"101712","101700012","36","1","累積獲得36個★","1017","12","36","4101"
"101713","101700013","39","0","累積獲得39個★","1017","13","39","4101"
"101714","101700014","42","0","累積獲得42個★","1017","14","42","4101"
"101715","101700015","45","1","累積獲得45個★","1017","15","45","4101"
"101716","101700016","48","0","累積獲得48個★","1017","16","48","4101"
"101717","101700017","51","1","累積獲得51個★","1017","17","51","4101"
"101718","101700018","54","0","累積獲得54個★","1017","18","54","4101"
"101801","101800001","3","0","累積獲得3個★","1018","1","3","4101"
"101802","101800002","6","0","累積獲得6個★","1018","2","6","4101"
"101803","101800003","9","1","累積獲得9個★","1018","3","9","4101"
"101804","101800004","12","0","累積獲得12個★","1018","4","12","4101"
"101805","101800005","15","0","累積獲得15個★","1018","5","15","4101"
"101806","101800006","18","0","累積獲得18個★","1018","6","18","4101"
"101807","101800007","21","1","累積獲得21個★","1018","7","21","4101"
"101808","101800008","24","0","累積獲得24個★","1018","8","24","4101"
"101809","101800009","27","1","累積獲得27個★","1018","9","27","4101"
"101810","101800010","30","0","累積獲得30個★","1018","10","30","4101"
"101811","101800011","33","0","累積獲得33個★","1018","11","33","4101"
"101812","101800012","36","1","累積獲得36個★","1018","12","36","4101"
"101813","101800013","39","0","累積獲得39個★","1018","13","39","4101"
"101814","101800014","42","0","累積獲得42個★","1018","14","42","4101"
"101815","101800015","45","1","累積獲得45個★","1018","15","45","4101"
"101816","101800016","48","0","累積獲得48個★","1018","16","48","4101"
"101817","101800017","51","1","累積獲得51個★","1018","17","51","4101"
"101818","101800018","54","0","累積獲得54個★","1018","18","54","4101"
