fda95f022cd37b1547df4952c17ed6fb63411b6d137dc48d30982a1247bc9820,03aa8695937f56351ce207114dd07c633867df1e304ee207a20c347805f140ff,8906b09916f261a15ea0e0d2c942a610818722f2bb19b084e5b414c1febc06d9,8f31f97f5b4cf3ee2841b4012f5e0773547e4476e6c4d771325991a5cf504e95,a2e2708704211d96565a002db2084ad74838c62b4ad8e1474e963b674f764dc7,3de58feb1513e66b30e2ccb471d624008a7238f44253b49e3b797198ec32d869,7f7a9674f0c6ac2a80b5066ba38006fd498ca9ed3b898fbaacd3c6a415f69b27,eebcdd1ea2261d00794b46347ee5e28df05d78757a0df371bb2a80bed194ea21,a6b1fd40176ab2de36e395aef23415f42219c01a0dbc1542041d3e36fe3a4af5,c48fbda622e3df7a12ec3b682e27f02c783d53949a70a81a23287b5040ab4d51,e3e8ea5887f9d15186a188b3822a021e08b516f8bc36dd71264d3222d296cc2b
"cgg_idle_surprise1","cgg_surprise1","","101","0","1","1","0","3","0.2","101036"
"","4","","101","","1","","1.4","12","0.2","101037"
"","0","","101","","3","","","93","","101038"
"","0","","101","","101026","","","101","","101039"
"","0.5","","101","","0","","","22","","101040"
"1","1","","101","0","1","0","1","6","0.1","101041"
"1","1","","101","0","105811","0","1","6","0.1","101042"
"1","1","","101","0","106011","0","1","6","0.1","101043"
"","0","","101","","0.1","","","93","","101044"
"","cgg_idle_normal","","101","","1","","1","3","0","101045"
"","cgg_idle_def","","101","","105811","","1","3","0","101046"
"","cgg_idle_def","","101","","106011","","1","3","0","101047"
"-420","1","cgg_idle_normal","102","0","1","-230","100","5","160","102001"
"375","105911","cgg_idle_def","102","1","1","-230","100","1","1.6","102002"
"490","106411","cgg_idle_def","102","1","1","-230","101","1","1.6","102003"
"1","1","","102","0","1","1","1","6","0.1","102004"
"1","1","","102","0","105911","1","1","6","0.1","102005"
"1","1","","102","0","106411","1","1","6","0.1","102006"
"","0","","102","","0.2","","","93","","102007"
"0","vo_minigame_1007_top_talk_2_003","","102","","vo_minigame_1007","","0","21","","102008"
"0","我們抵達\n演唱會會場了，\n這裡非常大，\n非常開闊呢……","0","102","0","105911","0","5","11","0","102009"
"","cgg_idle_surprise1","","102","","1","","1","3","0.2","102010"
"","cgg_lookup","","102","","105911","","0","3","0.2","102011"
"","0","","102","","2.6","","","93","","102012"
"","cgg_talk_wish_surprise","","102","","105911","","1","3","0.2","102013"
"","","","102","","102009","","","91","","102014"
"","cgg_idle_def","","102","","105911","","1","3","0.4","102015"
"0","vo_minigame_1007_top_talk_2_004","","102","","vo_minigame_1007","","0","21","","102016"
"0","慈樂之音的演唱會……\n呵呵，真令人期待呢。\n啊，我可以\n去看一下周邊嗎？","0","102","0","106411","0","4","11","0","102017"
"","cgg_idle_reaction1","","102","","1","","1","3","0.2","102018"
"","cgg_talk_surprise1","","102","","106411","","1","3","0.2","102019"
"","0","","102","","2.6","","","93","","102020"
"cgg_idle_nod","cgg_talk_nod","","102","0","1","1","0","3","0.2","102021"
"","cgg_talk_joy3_blink","","102","","106411","","1","3","0.2","102022"
"","0","","102","","3.2","","","93","","102023"
"","cgg_idle_reaction5","","102","","1","","1","3","0.2","102024"
"","cgg_talk_normal","","102","","106411","","1","3","0.2","102025"
"","","","102","","102017","","","91","","102026"
"","0","","102","","0.5","","","93","","102027"
"","cgg_idle_def","","102","","106411","","1","3","0.2","102028"
"","cgg_idle_normal","","102","","1","","1","3","0.2","102029"
"","cgg_talk_joy3_blink","","102","","105911","","1","3","0.2","102030"
"","10","","102","","105911","","1.4","12","0.2","102031"
"","0","","102","","3","","","93","","102032"
"","cgg_idle_def","","102","","105911","","1","3","0.2","102033"
"","cgg_talk_joy1","","102","","106411","","1","3","0.2","102034"
"","11","","102","","106411","","1.4","12","0.2","102035"
"","0","","102","","3","","","93","","102036"
"","cgg_idle_def","","102","","106411","","1","3","0.2","102037"
"","cgg_idle_surprise3","","102","","1","","1","3","0.2","102038"
"","6","","102","","1","","1.4","12","0.2","102039"
"","0","","102","","3","","","93","","102040"
"","0","","102","","102029","","","101","","102041"
"","0.5","","102","","0","","","22","","102042"
"1","1","","102","0","1","0","1","6","0.1","102043"
"1","1","","102","0","105911","0","1","6","0.1","102044"
"1","1","","102","0","106411","0","1","6","0.1","102045"
"","0","","102","","0.1","","","93","","102046"
"","cgg_idle_normal","","102","","1","","1","3","0","102047"
"","cgg_idle_def","","102","","105911","","1","3","0","102048"
"","cgg_idle_def","","102","","106411","","1","3","0","102049"
"-420","1","cgg_idle_normal","103","0","1","-230","100","5","160","103001"
"375","100211","cgg_idle_def","103","1","1","-230","100","1","1.6","103002"
"490","100111","cgg_idle_def","103","1","1","-230","101","1","1.6","103003"
"1","1","","103","0","1","1","1","6","0.1","103004"
"1","1","","103","0","100211","1","1","6","0.1","103005"
"1","1","","103","0","100111","1","1","6","0.1","103006"
"","0","","103","","0.2","","","93","","103007"
"0","vo_minigame_1007_top_talk_3_005","","103","","vo_minigame_1007","","0","21","","103008"
"0","下次會抽到什麼呢？\n讓人很期待呢，\n日和。","0","103","0","100211","0","5","11","0","103009"
"","cgg_idle_surprise1","","103","","1","","1","3","0.2","103010"
"","cgg_talk_wish","","103","","100211","","1","3","0.2","103011"
"","0","","103","","2.4","","","93","","103012"
"","cgg_talk_joy3","","103","","100211","","1","3","0.2","103013"
"","","","103","","103009","","","91","","103014"
"","cgg_idle_def","","103","","100211","","1","3","0.2","103015"
"0","vo_minigame_1007_top_talk_3_006","","103","","vo_minigame_1007","","0","21","","103016"
"0","就是說啊，優衣！\n好～\n來盡情地抽吧～！\n轉轉轉～♪","0","103","0","100111","0","4","11","0","103017"
"","cgg_idle_reaction5","","103","","1","","1","3","0.2","103018"
"","cgg_talk_joy1","","103","","100111","","1","3","0.2","103019"
"","0","","103","","2.5","","","93","","103020"
"cgg_idle_guts","cgg_talk_guts_NoBlink","","103","0","100111","1","0","3","0.2","103021"
"","0","","103","","4","","","93","","103022"
"cgg_idle_reaction3","cgg_joy","","103","0.2","1","1","0","3","0.2","103023"
"","cgg_talk_joy2","","103","","100111","","1","3","0.2","103024"
"","","","103","","103017","","","91","","103025"
"","0","","103","","0.7","","","93","","103026"
"","cgg_idle_normal","","103","","1","","1","3","0.2","103027"
"","cgg_idle_def","","103","","100111","","1","3","0.2","103028"
"","cgg_idle_bitter3","","103","","100211","","1","3","0.2","103029"
"","1","","103","","100211","","1.4","12","0.2","103030"
"","0","","103","","3","","","93","","103031"
"","cgg_idle_def","","103","","100211","","1","3","0.2","103032"
"cgg_idle_reaction1","cgg_talk_handsup","","103","0.2","1","1","0","3","0.2","103033"
"","10","","103","","1","","1.4","12","0.2","103034"
"","0","","103","","3","","","93","","103035"
"","cgg_idle_normal","","103","","1","","1","3","0.2","103036"
"","cgg_idle_joy3","","103","","100111","","1","3","0.2","103037"
"","6","","103","","100111","","1.4","12","0.2","103038"
"","0","","103","","3","","","93","","103039"
"","0","","103","","103028","","","101","","103040"
"","0.5","","103","","0","","","22","","103041"
"1","1","","103","0","1","0","1","6","0.1","103042"
"1","1","","103","0","100211","0","1","6","0.1","103043"
"1","1","","103","0","100111","0","1","6","0.1","103044"
"","0","","103","","0.1","","","93","","103045"
"","cgg_idle_normal","","103","","1","","1","3","0","103046"
"","cgg_idle_def","","103","","100211","","1","3","0","103047"
"","cgg_idle_def","","103","","100111","","1","3","0","103048"
"-420","1","cgg_idle_normal","104","0","1","-230","100","5","160","104001"
"375","100111","cgg_idle_def","104","1","1","-230","100","1","1.6","104002"
"490","100311","cgg_idle_def","104","1","1","-230","101","1","1.6","104003"
"1","1","","104","0","1","1","1","6","0.1","104004"
"1","1","","104","0","100111","1","1","6","0.1","104005"
"1","1","","104","0","100311","1","1","6","0.1","104006"
"","0","","104","","0.2","","","93","","104007"
"0","vo_minigame_1007_top_talk_4_007","","104","","vo_minigame_1007","","0","21","","104008"
"0","那個那個～怜，\n我可以再抽一次嗎？","0","104","0","100111","0","4","11","0","104009"
"","cgg_idle_reaction2","","104","","1","","1","3","0.2","104010"
"","cgg_talk_joy3_dere","","104","","100111","","1","3","0.2","104011"
"","0","","104","","2.7","","","93","","104012"
"cgg_idle_guts2","cgg_talk_guts2","","104","0","1","1","0","3","0.2","104013"
"","cgg_talk_normal_dere2","","104","","100111","","1","3","0.2","104014"
"","","","104","","104009","","","91","","104015"
"0","vo_minigame_1007_top_talk_4_008","","104","","vo_minigame_1007","","0","21","","104016"
"0","不可以喔，日和。\n因為接下來輪到我了。\n……呵呵，這意外地\n令人著迷呢。","0","104","0","100311","0","5","11","0","104017"
"","cgg_idle_reaction2","","104","","1","","1","3","0.2","104018"
"cgg_idle_def","cgg_No","","104","0","100311","1","0","3","0.2","104019"
"","0","","104","","0.8","","","93","","104020"
"","cgg_idle_surprise2","","104","","100111","","1","3","0.2","104021"
"","0","","104","","0.9","","","93","","104022"
"cgg_idle_surprise2","cgg_surprise2","","104","0","1","1","0","3","0.2","104023"
"cgg_idle_arm_crossed2","cgg_talk_arm_crossed2","","104","0","100311","1","0","3","0.2","104024"
"","0","","104","","2.5","","","93","","104025"
"","cgg_idle_bitter","","104","","100311","","1","3","0.2","104026"
"","0","","104","","2","","","93","","104027"
"cgg_idle_nod","cgg_talk_nod","","104","0","1","1","0","3","0.2","104028"
"","","","104","","104017","","","91","","104029"
"","0","","104","","0.5","","","93","","104030"
"","cgg_idle_def","","104","","100311","","1","3","0.2","104031"
"","cgg_idle_normal","","104","","1","","1","3","0.2","104032"
"","cgg_idle_anger","","104","","100111","","1","3","0.2","104033"
"","17","","104","","100111","","1.4","12","0.2","104034"
"","0","","104","","3","","","93","","104035"
"","cgg_idle_def","","104","","100111","","1","3","0.2","104036"
"","cgg_idle_bitter4","","104","","100311","","1","3","0.2","104037"
"","2","","104","","100311","","1.4","12","0.2","104038"
"","0","","104","","3","","","93","","104039"
"","cgg_idle_def","","104","","100311","","1","3","0.2","104040"
"","cgg_idle_surprise2","","104","","1","","1","3","0.2","104041"
"","1","","104","","1","","1.4","12","0.2","104042"
"","0","","104","","3","","","93","","104043"
"","0","","104","","104032","","","101","","104044"
"","0.5","","104","","0","","","22","","104045"
"1","1","","104","0","1","0","1","6","0.1","104046"
"1","1","","104","0","100111","0","1","6","0.1","104047"
"1","1","","104","0","100311","0","1","6","0.1","104048"
"","0","","104","","0.1","","","93","","104049"
"","cgg_idle_normal","","104","","1","","1","3","0","104050"
"","cgg_idle_def","","104","","100111","","1","3","0","104051"
"","cgg_idle_def","","104","","100311","","1","3","0","104052"
"-420","1","cgg_idle_normal","105","0","1","-230","100","5","160","105001"
"375","100211","cgg_idle_def","105","1","1","-230","100","1","1.6","105002"
"490","105811","cgg_idle_def","105","1","1","-230","101","1","1.6","105003"
"1","1","","105","0","1","1","1","6","0.1","105004"
"1","1","","105","0","100211","1","1","6","0.1","105005"
"1","1","","105","0","105811","1","1","6","0.1","105006"
"","0","","105","","0.2","","","93","","105007"
"0","vo_minigame_1007_top_talk_5_009","","105","","vo_minigame_1007","","0","21","","105008"
"0","因為周邊有很多種類，\n在集齊所有種類之前，\n我們要加油喔！","0","105","0","100211","0","6","11","0","105009"
"","cgg_idle_reaction1","","105","","1","","1","3","0.2","105010"
"","cgg_talk_normal","","105","","100211","","1","3","0.2","105011"
"","0","","105","","2.4","","","93","","105012"
"","cgg_talk_joy3","","105","","100211","","1","3","0.2","105013"
"","0","","105","","1.1","","","93","","105014"
"cgg_idle_reaction1","cgg_talk_handsup","","105","0.2","1","1","0","3","0.2","105015"
"","","","105","","105009","","","91","","105016"
"","cgg_idle_def","","105","","100211","","1","3","0.2","105017"
"0","vo_minigame_1007_top_talk_5_010","","105","","vo_minigame_1007","","0","21","","105018"
"0","蒐集到的周邊能裝飾\n在櫃子上，之後再來\n仔細鑑賞喔♪\n太讚了吧☆","0","105","0","105811","0","6","11","0","105019"
"cgg_idle_arm_crossed","cgg_talk_arm_crossed","","105","0","1","0","0","3","0.2","105020"
"","cgg_talk_joy1","","105","","105811","","1","3","0.2","105021"
"","0","","105","","5","","","93","","105022"
"cgg_idle_guts2","cgg_talk_guts2","","105","0","1","1","0","3","0.2","105023"
"cgg_idle_def","cgg_jump_def_N","","105","0.2","105811","1","0","3","0.2","105024"
"","","","105","","105019","","","91","","105025"
"","0","","105","","0.5","","","93","","105026"
"","cgg_idle_normal","","105","","1","","1","3","0.2","105027"
"","cgg_talk_joy3","","105","","100211","","1","3","0.2","105028"
"","10","","105","","100211","","1.4","12","0.2","105029"
"","0","","105","","3","","","93","","105030"
"","cgg_idle_def","","105","","100211","","1","3","0.2","105031"
"cgg_idle_guts_anger","cgg_talk_guts_anger","","105","0","105811","1","0","3","0.2","105032"
"","4","","105","","105811","","1.4","12","0.2","105033"
"","0","","105","","3","","","93","","105034"
"","cgg_idle_def","","105","","105811","","1","3","0.2","105035"
"cgg_idle_guts2","cgg_talk_guts2","","105","0","1","1","0","3","0.2","105036"
"","7","","105","","1","","1.4","12","0.2","105037"
"","0","","105","","3","","","93","","105038"
"","0","","105","","105027","","","101","","105039"
"","0.5","","105","","0","","","22","","105040"
"1","1","","105","0","1","0","1","6","0.1","105041"
"1","1","","105","0","100211","0","1","6","0.1","105042"
"1","1","","105","0","105811","0","1","6","0.1","105043"
"","0","","105","","0.1","","","93","","105044"
"","cgg_idle_normal","","105","","1","","1","3","0","105045"
"","cgg_idle_def","","105","","100211","","1","3","0","105046"
"","cgg_idle_def","","105","","105811","","1","3","0","105047"
"-420","1","cgg_idle_normal","106","0","1","-230","100","5","160","106001"
"420","110911","cgg_idle_def","106","1","1","-230","100","1","1.6","106002"
"1","1","","106","0","1","1","1","6","0.1","106003"
"1","1","","106","0","110911","1","1","6","0.1","106004"
"","0","","106","","0.2","","","93","","106005"
"0","vo_minigame_1007_top_talk_6_011","","106","","vo_minigame_1007","","0","21","","106006"
"0","咦……騙人的吧，\n學長……你居然還沒\n完全收齊慈樂之音的\n周邊，太扯了吧。","0","106","0","110911","0","5","11","0","106007"
"","cgg_idle_reaction2","","106","","1","","1","3","0.2","106008"
"","cgg_shock","","106","","110911","","0","3","0.2","106009"
"","0","","106","","1","","","93","","106010"
"","cgg_idle_bitter2","","106","","110911","","1","3","0.2","106011"
"","0","","106","","4.2","","","93","","106012"
"cgg_idle_shock","cgg_shock","","106","0","1","1","0","3","0.2","106013"
"","","","106","","106007","","","91","","106014"
"0","vo_minigame_1007_top_talk_6_012","","106","","vo_minigame_1007","","0","21","","106015"
"0","請你差不多一點，\n既然有空悠哉地和\n一般美少女聊天，\n還不趕快繼續抽啊！","0","106","0","110911","0","5","11","0","106016"
"","cgg_talk_tsun_pain","","106","0","110911","1","1","3","0.2","106017"
"","0","","106","","0.7","","","93","","106018"
"cgg_idle_surprise2","cgg_surprise2","","106","0","1","1","0","3","0.2","106019"
"","0","","106","","1.3","","","93","","106020"
"","cgg_talk_joy1_sad","","106","0","110911","1","1","3","0.2","106021"
"","0","","106","","3","","","93","","106022"
"cgg_idle_guts_anger","cgg_talk_guts_anger","","106","","110911","1","0","3","0.2","106023"
"","0","","106","","0.7","","","93","","106024"
"cgg_idle_guts2","cgg_talk_guts2","","106","0","1","1","0","3","0.2","106025"
"","","","106","","106016","","","91","","106026"
"","0","","106","","0.5","","","93","","106027"
"","cgg_idle_def","","106","","110911","","1","3","0.2","106028"
"cgg_idle_doya","cgg_talk_doya","","106","0","1","1","0","3","0.2","106029"
"","6","","106","","1","","1.4","12","0.2","106030"
"","0","","106","","3","","","93","","106031"
"","cgg_idle_normal","","106","","1","","1","3","0.2","106032"
"cgg_idle_guts_anger","cgg_talk_guts_anger","","106","0","110911","1","0","3","0.2","106033"
"","11","","106","","110911","","1.4","12","0.2","106034"
"","0","","106","","3","","","93","","106035"
"","cgg_idle_def","","106","","110911","","1","3","0.2","106036"
"cgg_idle_surprise1","cgg_surprise1","","106","0","1","1","0","3","0.2","106037"
"","4","","106","","1","","1.4","12","0.2","106038"
"","0","","106","","3","","","93","","106039"
"","cgg_idle_normal","","106","","1","","1","3","0.2","106040"
"","cgg_talk_joy3_blink","","106","","110911","","1","3","0.2","106041"
"","10","","106","","110911","","1.4","12","0.2","106042"
"","0","","106","","3","","","93","","106043"
"","0","","106","","106028","","","101","","106044"
"","0.5","","106","","0","","","22","","106045"
"1","1","","106","0","1","0","1","6","0.1","106046"
"1","1","","106","0","110911","0","1","6","0.1","106047"
"","0","","106","","0.1","","","93","","106048"
"","cgg_idle_normal","","106","","1","","1","3","0","106049"
"","cgg_idle_def","","106","","110911","","1","3","0","106050"
"-420","1","cgg_idle_normal","201","0","1","-230","100","5","160","201001"
"420","100411","cgg_idle_def","201","1","1","-230","100","1","1.6","201002"
"1","1","","201","0","1","1","1","6","0.1","201003"
"1","1","","201","0","100411","1","1","6","0.1","201004"
"","0","","201","","0.2","","","93","","201005"
"0","vo_minigame_1007_top_talk_7_013","","201","","vo_minigame_1007","","0","21","","201006"
"0","那個那個，哥哥！\n你蒐集到差不多\n一半的周邊囉！\n只差一點了呢！","0","201","0","100411","0","6","11","0","201007"
"","cgg_idle_reaction2","","201","","1","","1","3","0.2","201008"
"","cgg_talk_joy1_normal","","201","","100411","","1","3","0.2","201009"
"","0","","201","","1.3","","","93","","201010"
"cgg_idle_doya","cgg_talk_doya","","201","0","1","1","0","3","0.2","201011"
"","cgg_talk_surprise_kira","","201","","100411","","1","3","0.2","201012"
"","0","","201","","2.7","","","93","","201013"
"cgg_idle_reaction1","cgg_talk_handsup","","201","0.2","1","1","0","3","0.2","201014"
"cgg_idle_guts","cgg_talk_guts","","201","0","100411","1","0","3","0.2","201015"
"","","","201","","201007","","","91","","201016"
"","0","","201","","0.5","","","93","","201017"
"","cgg_idle_def","","201","","100411","","1","3","0.2","201018"
"","cgg_idle_surprise3","","201","","1","","1","3","0.2","201019"
"","6","","201","","1","","1.4","12","0.2","201020"
"","0","","201","","3","","","93","","201021"
"","cgg_idle_normal","","201","","1","","1","3","0.2","201022"
"","cgg_talk_surprise_kira","","201","","100411","","1","3","0.2","201023"
"","7","","201","","100411","","1.4","12","0.2","201024"
"","0","","201","","3","","","93","","201025"
"","cgg_idle_def","","201","","100411","","1","3","0.2","201026"
"cgg_idle_reaction1","cgg_talk_handsup","","201","0","1","1","0","3","0.2","201027"
"","11","","201","","1","","1.4","12","0.2","201028"
"","0","","201","","3","","","93","","201029"
"","cgg_idle_normal","","201","","1","","1","3","0.2","201030"
"","cgg_talk_joy1","","201","","100411","","1","3","0.2","201031"
"","10","","201","","100411","","1.4","12","0.2","201032"
"","0","","201","","3","","","93","","201033"
"","0","","201","","201018","","","101","","201034"
"","0.5","","201","","0","","","22","","201035"
"1","1","","201","0","1","0","1","6","0.1","201036"
"1","1","","201","0","100411","0","1","6","0.1","201037"
"","0","","201","","0.1","","","93","","201038"
"","cgg_idle_normal","","201","","1","","1","3","0","201039"
"","cgg_idle_def","","201","","100411","","1","3","0","201040"
"-420","1","cgg_idle_normal","202","0","1","-230","100","5","160","202001"
"420","102011","cgg_idle_def","202","1","1","-230","100","1","1.6","202002"
"1","1","","202","0","1","1","1","6","0.1","202003"
"1","1","","202","0","102011","1","1","6","0.1","202004"
"","0","","202","","0.2","","","93","","202005"
"0","vo_minigame_1007_top_talk_8_014","","202","","vo_minigame_1007","","0","21","","202006"
"0","好厲害喔～♪\n真想看看\n全部收齊的樣子～♪","0","202","0","102011","0","4","11","0","202007"
"","cgg_idle_reaction1","","202","","1","","1","3","0.2","202008"
"","cgg_talk_joy3","","202","","102011","","1","3","0.2","202009"
"","0","","202","","2","","","93","","202010"
"","cgg_idle_nod","","202","","1","","1","3","0.2","202011"
"","cgg_talk_wish","","202","","102011","","1","3","0.2","202012"
"","","","202","","202007","","","91","","202013"
"","0","","202","","0.5","","","93","","202014"
"","cgg_idle_def","","202","","102011","","1","3","0.2","202015"
"","cgg_idle_reaction3","","202","","1","","1","3","0.2","202016"
"","6","","202","","1","","1.4","12","0.2","202017"
"","0","","202","","3","","","93","","202018"
"","cgg_idle_normal","","202","","1","","1","3","0.2","202019"
"","cgg_talk_joy1_normal","","202","","102011","","1","3","0.2","202020"
"","11","","202","","102011","","1.4","12","0.2","202021"
"","0","","202","","3","","","93","","202022"
"","cgg_idle_def","","202","","102011","","1","3","0.2","202023"
"cgg_idle_guts2","cgg_talk_guts2","","202","0","1","1","0","3","0.2","202024"
"","11","","202","","1","","1.4","12","0.2","202025"
"","0","","202","","3","","","93","","202026"
"","cgg_idle_normal","","202","","1","","1","3","0.2","202027"
"","cgg_talk_joy3","","202","","102011","","1","3","0.2","202028"
"","7","","202","","102011","","1.4","12","0.2","202029"
"","0","","202","","3","","","93","","202030"
"","0","","202","","202015","","","101","","202031"
"","0.5","","202","","0","","","22","","202032"
"1","1","","202","0","1","0","1","6","0.1","202033"
"1","1","","202","0","102011","0","1","6","0.1","202034"
"","0","","202","","0.1","","","93","","202035"
"","cgg_idle_normal","","202","","1","","1","3","0","202036"
"","cgg_idle_def","","202","","102011","","1","3","0","202037"
"-420","1","cgg_idle_normal","203","0","1","-230","100","5","160","203001"
"420","103611","cgg_idle_def","203","1","1","-230","100","1","1.6","203002"
"1","1","","203","0","1","1","1","6","0.1","203003"
"1","1","","203","0","103611","1","1","6","0.1","203004"
"","0","","203","","0.2","","","93","","203005"
"0","vo_minigame_1007_top_talk_9_015","","203","","vo_minigame_1007","","0","21","","203006"
"0","只差一點了呢。\n要是全部集齊，\n我會誇獎你的。\n……請你加油。","0","203","0","103611","0","6","11","0","203007"
"cgg_idle_arm_crossed","cgg_talk_arm_crossed","","203","0","1","1","0","3","0.2","203008"
"","cgg_talk_normal","","203","","103611","","1","3","0.2","203009"
"","0","","203","","1.9","","","93","","203010"
"","cgg_idle_surprise1","","203","","1","","1","3","0.2","203011"
"","cgg_talk_joy3_blink","","203","","103611","","1","3","0.2","203012"
"","0","","203","","3.1","","","93","","203013"
"cgg_idle_guts2","cgg_talk_guts2","","203","0","1","1","0","3","0.2","203014"
"","cgg_talk_surprise_dere","","203","","103611","","1","3","0.2","203015"
"","","","203","","203007","","","91","","203016"
"","0","","203","","0.5","","","93","","203017"
"","cgg_idle_def","","203","","103611","","1","3","0.2","203018"
"cgg_idle_nod","cgg_talk_nod","","203","0","1","1","0","3","0.2","203019"
"","6","","203","","1","","1.4","12","0.2","203020"
"","0","","203","","3","","","93","","203021"
"","cgg_idle_normal","","203","","1","","1","3","0.2","203022"
"","cgg_talk_joy1","","203","","103611","","1","3","0.2","203023"
"","10","","203","","103611","","1.4","12","0.2","203024"
"","0","","203","","3","","","93","","203025"
"","cgg_idle_def","","203","","103611","","1","3","0.2","203026"
"cgg_idle_guts1","cgg_talk_guts1","","203","0","1","1","0","3","0.2","203027"
"","4","","203","","1","","1.4","12","0.2","203028"
"","0","","203","","3","","","93","","203029"
"","cgg_idle_normal","","203","","1","","1","3","0.2","203030"
"","cgg_talk_joy3_dere","","203","","103611","","1","3","0.2","203031"
"","7","","203","","103611","","1.4","12","0.2","203032"
"","0","","203","","3","","","93","","203033"
"","0","","203","","203018","","","101","","203034"
"","0.5","","203","","0","","","22","","203035"
"1","1","","203","0","1","0","1","6","0.1","203036"
"1","1","","203","0","103611","0","1","6","0.1","203037"
"","0","","203","","0.1","","","93","","203038"
"","cgg_idle_normal","","203","","1","","1","3","0","203039"
"","cgg_idle_def","","203","","103611","","1","3","0","203040"
"-420","1","cgg_idle_normal","204","0","1","-230","100","5","160","204001"
"420","102811","cgg_idle_def","204","1","1","-230","100","1","1.6","204002"
"1","1","","204","0","1","1","1","6","0.1","204003"
"1","1","","204","0","102811","1","1","6","0.1","204004"
"","0","","204","","0.2","","","93","","204005"
"0","vo_minigame_1007_top_talk_10_016","","204","","vo_minigame_1007","","0","21","","204006"
"0","你蒐集到這麼多\n周邊了？真厲害……\n我要不要\n也來試試呢？","0","204","0","102811","0","6","11","0","204007"
"cgg_idle_doya","cgg_talk_doya","","204","0","1","1","0","3","0.2","204008"
"cgg_talk_surprise1","cgg_surprise","","204","0","102811","1","0","3","0.2","204009"
"","0","","204","","2.5","","","93","","204010"
"","cgg_idle_reaction5","","204","","1","","1","3","0.2","204011"
"","cgg_talk_bitter","","204","","102811","","1","3","0.2","204012"
"","","","204","","204007","","","91","","204013"
"","0","","204","","0.5","","","93","","204014"
"","cgg_idle_def","","204","","102811","","1","3","0.2","204015"
"cgg_idle_doya","cgg_talk_doya","","204","0","1","1","0","3","0.2","204016"
"","6","","204","","1","","1.4","12","0.2","204017"
"","0","","204","","3","","","93","","204018"
"","cgg_idle_normal","","204","","1","","1","3","0.2","204019"
