eca2d8e795a39e64cb502cf5e196f0a811abc8aae288f0f3876409ecd60a7c94,42bd94a3f4dae59de93d3713cb14f3e195f14d7fbfed22042375b517f3ccf4a0,f2dcfc469c1738814308d1a3bd8ce46b2ff12cf7079ed991900fa135b483fbf9,00df3a288d0d7e31a02c45fe644933456a987697f5edd8078859baad04ee3cf5,0cbe89560d8215c4c957eee4ccc7e5d694f01a3354794da6012e0926e5013290,56fe0ce881bf15a28fc4a7d63a7f3458c3133d13cd5e2795ac01a32e37f78d9f,75e7872d40779ddec76e0ae070c17a258c13f7ecbf0ce448fa4a8b6b141e8823,6fd2790184afe84d6be9443b74975b2de65c2260e6051485623a37d9285e5e2e,8feb3ffb333e47c0347495ff898948f98fbcf0d962dea06da2dcce86e8e2ff7a,90cec81f948ad38f73411f16d0b49ad667e74f9b71b56125e1f371fdf7cea602,c8e57bdc4e8af0018cad50fea2897f7a722396edde7995f0acb8f81455123d1d,d85c09a07597d267aaf3b6bcf942515b3de6180e9ccc195d9fcd8fa5c7546a53
"1","100580204","4","1005802","0","1.689","0","0","0","0","4","0"
"0","100580205","1","1005802","0","0","1.13","1","202","370","5","0"
"1","100580206","4","1005802","0","2.883","0","0","0","0","6","0"
"0","100580207","2","1005802","vo_ske","0","0","0","0","0","7","vo_ske_0202"
"0","100580208","1","1005802","0","0","1.057","2","0","249","8","0"
"1","100580209","4","1005802","0","1.962","0","0","0","0","9","0"
"0","100580210","1","1005802","0","0","1.166","2","249","367","10","0"
"1","100580211","4","1005802","0","1.747","0","0","0","0","11","0"
"0","100580212","1","1005802","0","0","1.216","3","0","78","12","0"
"1","100580213","4","1005802","0","1.216","0","0","0","0","13","0"
"0","100580214","1","1005802","0","0","1.868","3","78","389","14","0"
"1","100580215","4","1005802","0","3.78","0","0","0","0","15","0"
"0","100580216","2","1005802","vo_ske","0","0","0","0","0","16","vo_ske_0203"
"0","100580217","1","1005802","0","0","0.655","4","0","252","17","0"
"1","100580218","4","1005802","0","1.632","0","0","0","0","18","0"
"0","100580219","1","1005802","0","0","1.586","4","252","366","19","0"
"1","100580220","4","1005802","0","2.357","0","0","0","0","20","0"
"0","100580221","1","1005802","0","0","0.386","4","366","366","21","0"
"1","100580222","4","1005802","0","0.386","0","0","0","0","22","0"
"0","100580223","1","1005802","0","0","0.872","5","0","0","23","0"
"1","100580224","4","1005802","0","3.189","0","0","0","0","24","0"
"0","100580225","2","1005802","vo_ske","0","0","0","0","0","25","vo_ske_0204"
"0","100580226","1","1005802","0","0","1.065","5","0","137","26","0"
"1","100580227","4","1005802","0","1.882","0","0","0","0","27","0"
"0","100580228","1","1005802","0","0","0.888","5","137","400","28","0"
"1","100580229","4","1005802","0","0.888","0","0","0","0","29","0"
"0","100580230","1","1005802","0","0","0.607","6","0","0","30","0"
"1","100580231","4","1005802","0","1.21","0","0","0","0","31","0"
"0","100580232","1","1005802","0","0","0.933","6","0","53","32","0"
"1","100580233","4","1005802","0","2.332","0","0","0","0","33","0"
"0","100580234","1","1005802","0","0","1.649","6","53","360","34","0"
"1","100580235","4","1005802","0","4.223","0","0","0","0","35","0"
"0","100580236","2","1005802","vo_ske","0","0","0","0","0","36","vo_ske_0205"
"0","100580237","1","1005802","0","0","0.349","7","0","81","37","0"
"1","100580238","4","1005802","0","1.46","0","0","0","0","38","0"
"0","100580239","1","1005802","0","0","1.532","7","81","350","39","0"
"1","100580240","4","1005802","0","2.11","0","0","0","0","40","0"
"0","100580241","1","1005802","0","0","0.341","7","350","350","41","0"
"1","100580242","4","1005802","0","0.341","0","0","0","0","42","0"
"0","100580243","1","1005802","0","0","1.202","8","0","0","43","0"
"1","100580244","4","1005802","0","3.101","0","0","0","0","44","0"
"0","100580245","2","1005802","vo_ske","0","0","0","0","0","45","vo_ske_0206"
"0","100580246","1","1005802","0","0","0.706","8","0","49","46","0"
"1","100580247","4","1005802","0","1.796","0","0","0","0","47","0"
"0","100580248","1","1005802","0","0","1.854","8","49","377","48","0"
"1","100580249","4","1005802","0","2.709","0","0","0","0","49","0"
"0","100580250","1","1005802","0","0","1.202","9","0","55","50","0"
"1","100580251","4","1005802","0","3.52","0","0","0","0","51","0"
"0","100580252","2","1005802","vo_ske","0","0","0","0","0","52","vo_ske_0207"
"0","100580253","1","1005802","0","0","0.754","9","55","100","53","0"
"1","100580254","4","1005802","0","1.291","0","0","0","0","54","0"
"0","100580255","1","1005802","0","0","0.505","9","100","350","55","0"
"1","100580256","4","1005802","0","2.624","0","0","0","0","56","0"
"0","100580257","2","1005802","vo_ske","0","0","0","0","0","57","vo_ske_0208"
"0","100580258","1","1005802","0","0","1.061","10","0","220","58","0"
"1","100580259","4","1005802","0","1.6","0","0","0","0","59","0"
"0","100580260","1","1005802","0","0","1.645","10","220","380","60","0"
"1","100580261","4","1005802","0","2.3","0","0","0","0","61","0"
"0","100580262","1","1005802","0","0","1.616","11","0","240","62","0"
"1","100580263","4","1005802","0","3.913","0","0","0","0","63","0"
"0","100580264","2","1005802","vo_ske","0","0","0","0","0","64","vo_ske_0209"
"0","100580265","1","1005802","0","0","1.258","12","0","128","65","0"
"1","100580266","4","1005802","0","3.579","0","0","0","0","66","0"
"0","100580267","2","1005802","vo_ske","0","0","0","0","0","67","vo_ske_0210"
"0","100580268","1","1005802","0","0","1.496","13","0","280","68","0"
"1","100580269","4","1005802","0","3.996","0","0","0","0","69","0"
"1","100580301","4","1005803","0","0.8","0","0","0","0","1","0"
"0","100580302","2","1005803","vo_ske","0","0","0","0","0","2","vo_ske_0301"
"0","100580303","1","1005803","0","0","1.797","1","0","160","3","0"
"1","100580304","4","1005803","0","2.514","0","0","0","0","4","0"
"0","100580305","1","1005803","0","0","0.612","1","160","339","5","0"
"1","100580306","4","1005803","0","0.612","0","0","0","0","6","0"
"0","100580307","1","1005803","0","0","0.464","2","0","163","7","0"
"1","100580308","4","1005803","0","0.889","0","0","0","0","8","0"
"0","100580309","1","1005803","0","0","1.164","2","163","163","9","0"
"1","100580310","4","1005803","0","2.59","0","0","0","0","10","0"
"0","100580311","2","1005803","vo_ske","0","0","0","0","0","11","vo_ske_0302"
"0","100580312","1","1005803","0","0","1.185","2","163","421","12","0"
"1","100580313","4","1005803","0","1.185","0","0","0","0","13","0"
"0","100580314","1","1005803","0","0","0.952","3","0","0","14","0"
"1","100580315","4","1005803","0","1.747","0","0","0","0","15","0"
"0","100580316","1","1005803","0","0","0.961","3","0","295","16","0"
"1","100580317","4","1005803","0","2.398","0","0","0","0","17","0"
"0","100580318","2","1005803","vo_ske","0","0","0","0","0","18","vo_ske_0303"
"0","100580319","1","1005803","0","0","1.401","4","0","150","19","0"
"1","100580320","4","1005803","0","1.935","0","0","0","0","20","0"
"0","100580321","1","1005803","0","0","1.288","4","150","356","21","0"
"1","100580322","4","1005803","0","2.418","0","0","0","0","22","0"
"0","100580323","2","1005803","vo_ske","0","0","0","0","0","23","vo_ske_0304"
"0","100580324","1","1005803","0","0","0.619","5","0","0","24","0"
"1","100580325","4","1005803","0","1.407","0","0","0","0","25","0"
"0","100580326","1","1005803","0","0","2.1","5","0","0","26","0"
"1","100580327","4","1005803","0","4.561","0","0","0","0","27","0"
"0","100580328","2","1005803","vo_ske","0","0","0","0","0","28","vo_ske_0305"
"0","100580329","1","1005803","0","0","2.309","5","0","318","29","0"
"1","100580330","4","1005803","0","3.378","0","0","0","0","30","0"
"0","100580331","1","1005803","0","0","0.664","6","0","101","31","0"
"1","100580332","4","1005803","0","1.555","0","0","0","0","32","0"
"0","100580333","1","1005803","0","0","1.706","6","101","366","33","0"
"1","100580334","4","1005803","0","4.399","0","0","0","0","34","0"
"0","100580335","2","1005803","vo_ske","0","0","0","0","0","35","vo_ske_0306"
"0","100580336","1","1005803","0","0","2.137","7","0","209","36","0"
"1","100580337","4","1005803","0","3.014","0","0","0","0","37","0"
"0","100580338","1","1005803","0","0","0.788","7","209","382","38","0"
"1","100580339","4","1005803","0","2.288","0","0","0","0","39","0"
"0","100580340","2","1005803","vo_ske","0","0","0","0","0","40","vo_ske_0307"
"0","100580341","1","1005803","0","0","2.054","8","0","290","41","0"
"1","100580342","4","1005803","0","2.931","0","0","0","0","42","0"
"0","100580343","1","1005803","0","0","0.801","8","290","410","43","0"
"1","100580344","4","1005803","0","1.48","0","0","0","0","44","0"
"0","100580345","1","1005803","0","0","2.75","9","0","347","45","0"
"1","100580346","4","1005803","0","5.052","0","0","0","0","46","0"
"0","100580347","2","1005803","vo_ske","0","0","0","0","0","47","vo_ske_0308"
"0","100580348","1","1005803","0","0","0.527","10","0","60","48","0"
"1","100580349","4","1005803","0","1.38","0","0","0","0","49","0"
"0","100580350","1","1005803","0","0","1.473","10","60","230","50","0"
"1","100580351","4","1005803","0","1.759","0","0","0","0","51","0"
"0","100580352","1","1005803","0","0","0.68","10","230","354","52","0"
"1","100580353","4","1005803","0","1.838","0","0","0","0","53","0"
"0","100580354","2","1005803","vo_ske","0","0","0","0","0","54","vo_ske_0309"
"0","100580355","1","1005803","0","0","0.477","11","0","71","55","0"
"1","100580356","4","1005803","0","1.108","0","0","0","0","56","0"
"0","100580357","1","1005803","0","0","2.144","11","71","323","57","0"
"1","100580358","4","1005803","0","3.802","0","0","0","0","58","0"
"0","100580359","2","1005803","vo_ske","0","0","0","0","0","59","vo_ske_0310"
"0","100580360","1","1005803","0","0","1.251","12","0","93","60","0"
"1","100580361","4","1005803","0","2.672","0","0","0","0","61","0"
"0","100580362","1","1005803","0","0","0.65","12","93","247","62","0"
"1","100580363","4","1005803","0","1.349","0","0","0","0","63","0"
"0","100580364","1","1005803","0","0","0.589","12","247","375","64","0"
"1","100580365","4","1005803","0","3.089","0","0","0","0","65","0"
"1","100580401","4","1005804","0","0.8","0","0","0","0","1","0"
"0","100580402","2","1005804","vo_ske","0","0","0","0","0","2","vo_ske_0401"
"0","100580403","1","1005804","0","0","1.769","1","0","186","3","0"
"1","100580404","4","1005804","0","3.723","0","0","0","0","4","0"
"0","100580405","2","1005804","vo_ske","0","0","0","0","0","5","vo_ske_0402"
"0","100580406","1","1005804","0","0","0.818","2","0","106","6","0"
"1","100580407","4","1005804","0","1.553","0","0","0","0","7","0"
"0","100580408","1","1005804","0","0","1.87","2","106","258","8","0"
"1","100580409","4","1005804","0","2.537","0","0","0","0","9","0"
"0","100580410","1","1005804","0","0","0.487","2","258","410","10","0"
"1","100580411","4","1005804","0","0.487","0","0","0","0","11","0"
"0","100580412","1","1005804","0","0","0.822","3","0","77","12","0"
"1","100580413","4","1005804","0","2.459","0","0","0","0","13","0"
"0","100580414","1","1005804","0","0","1.696","3","77","400","14","0"
"1","100580415","4","1005804","0","2.551","0","0","0","0","15","0"
"0","100580416","1","1005804","0","0","0.688","3","400","400","16","0"
"1","100580417","4","1005804","0","1.121","0","0","0","0","17","0"
"0","100580418","1","1005804","0","0","1.807","4","0","0","18","0"
"1","100580419","4","1005804","0","4.87","0","0","0","0","19","0"
"0","100580420","2","1005804","vo_ske","0","0","0","0","0","20","vo_ske_0403"
"0","100580421","1","1005804","0","0","0.78","4","0","93","21","0"
"1","100580422","4","1005804","0","2.288","0","0","0","0","22","0"
"0","100580423","1","1005804","0","0","1.497","4","93","324","23","0"
"1","100580424","4","1005804","0","3.177","0","0","0","0","24","0"
"0","100580425","2","1005804","vo_ske","0","0","0","0","0","25","vo_ske_0404"
"0","100580426","1","1005804","0","0","0.729","5","0","114","26","0"
"1","100580427","4","1005804","0","1.799","0","0","0","0","27","0"
"0","100580428","1","1005804","0","0","0.823","5","114","192","28","0"
"1","100580429","4","1005804","0","1.447","0","0","0","0","29","0"
"0","100580430","1","1005804","0","0","0.982","5","192","287","30","0"
"1","100580431","4","1005804","0","1.587","0","0","0","0","31","0"
"0","100580432","1","1005804","0","0","0.639","5","287","430","32","0"
"1","100580433","4","1005804","0","0.639","0","0","0","0","33","0"
"0","100580434","1","1005804","0","0","1.712","6","0","0","34","0"
"1","100580435","4","1005804","0","3.735","0","0","0","0","35","0"
"0","100580436","2","1005804","vo_ske","0","0","0","0","0","36","vo_ske_0405"
"0","100580437","1","1005804","0","0","0.793","6","0","201","37","0"
"1","100580438","4","1005804","0","2.073","0","0","0","0","38","0"
"0","100580439","1","1005804","0","0","0.405","6","201","201","39","0"
"1","100580440","4","1005804","0","1.081","0","0","0","0","40","0"
"0","100580441","1","1005804","0","0","0.962","6","201","293","41","0"
"1","100580442","4","1005804","0","3.994","0","0","0","0","42","0"
"0","100580443","2","1005804","vo_ske","0","0","0","0","0","43","vo_ske_0406"
"0","100580444","1","1005804","0","0","0.869","7","0","259","44","0"
"1","100580445","4","1005804","0","2.298","0","0","0","0","45","0"
"0","100580446","2","1005804","vo_ske","0","0","0","0","0","46","vo_ske_0407"
"0","100580447","1","1005804","0","0","1.07","7","259","389","47","0"
"1","100580448","4","1005804","0","2.401","0","0","0","0","48","0"
"0","100580449","2","1005804","vo_ske","0","0","0","0","0","49","vo_ske_0408"
"0","100580450","1","1005804","0","0","0.939","8","0","167","50","0"
"1","100580451","4","1005804","0","0.939","0","0","0","0","51","0"
"0","100580452","1","1005804","0","0","0.816","8","167","167","52","0"
"1","100580453","4","1005804","0","2.428","0","0","0","0","53","0"
"0","100580454","2","1005804","vo_ske","0","0","0","0","0","54","vo_ske_0409"
"0","100580455","1","1005804","0","0","0.626","8","167","211","55","0"
"1","100580456","4","1005804","0","1.776","0","0","0","0","56","0"
"0","100580457","1","1005804","0","0","1.439","8","211","390","57","0"
"1","100580458","4","1005804","0","1.439","0","0","0","0","58","0"
"0","100580459","1","1005804","0","0","0.447","9","0","60","59","0"
"1","100580460","4","1005804","0","2.012","0","0","0","0","60","0"
"0","100580461","2","1005804","vo_ske","0","0","0","0","0","61","vo_ske_0410"
"0","100580462","1","1005804","0","0","0.504","9","60","155","62","0"
"1","100580463","4","1005804","0","1.659","0","0","0","0","63","0"
"0","100580464","1","1005804","0","0","0.488","9","155","335","64","0"
"1","100580465","4","1005804","0","3.099","0","0","0","0","65","0"
"0","100580466","2","1005804","vo_ske","0","0","0","0","0","66","vo_ske_0411"
"0","100580467","1","1005804","0","0","0.743","10","0","93","67","0"
"1","100580468","4","1005804","0","1.683","0","0","0","0","68","0"
"0","100580469","1","1005804","0","0","2.16","10","93","319","69","0"
"1","100580470","4","1005804","0","3.689","0","0","0","0","70","0"
"0","100580471","1","1005804","0","0","1.846","11","0","284","71","0"
"1","100580472","4","1005804","0","4.239","0","0","0","0","72","0"
"0","100580473","2","1005804","vo_ske","0","0","0","0","0","73","vo_ske_0412"
"0","100580474","1","1005804","0","0","0.584","12","0","90","74","0"
"1","100580475","4","1005804","0","1.837","0","0","0","0","75","0"
"0","100580476","1","1005804","0","0","1.393","12","90","330","76","0"
"1","100580477","4","1005804","0","3.893","0","0","0","0","77","0"
"1","100580501","4","1005805","0","0.8","0","0","0","0","1","0"
"0","100580502","2","1005805","vo_ske","0","0","0","0","0","2","vo_ske_0501"
"0","100580503","1","1005805","0","0","1.013","1","0","136","3","0"
"1","100580504","4","1005805","0","1.598","0","0","0","0","4","0"
"0","100580505","1","1005805","0","0","1.062","1","136","399","5","0"
"1","100580506","4","1005805","0","2.428","0","0","0","0","6","0"
"0","100580507","2","1005805","vo_ske","0","0","0","0","0","7","vo_ske_0502"
"0","100580508","1","1005805","0","0","1.244","2","0","137","8","0"
"1","100580509","4","1005805","0","1.839","0","0","0","0","9","0"
"0","100580510","1","1005805","0","0","1.989","2","137","357","10","0"
"1","100580511","4","1005805","0","3.898","0","0","0","0","11","0"
"0","100580512","2","1005805","vo_ske","0","0","0","0","0","12","vo_ske_0503"
"0","100580513","1","1005805","0","0","1.43","3","0","220","13","0"
"1","100580514","4","1005805","0","1.915","0","0","0","0","14","0"
"0","100580515","1","1005805","0","0","0.906","3","220","365","15","0"
"1","100580516","4","1005805","0","2.75","0","0","0","0","16","0"
"0","100580517","2","1005805","vo_ske","0","0","0","0","0","17","vo_ske_0504"
"0","100580518","1","1005805","0","0","1.11","4","0","100","18","0"
"1","100580519","4","1005805","0","1.656","0","0","0","0","19","0"
"0","100580520","1","1005805","0","0","1.445","4","100","320","20","0"
"1","100580521","4","1005805","0","1.899","0","0","0","0","21","0"
"0","100580522","1","1005805","0","0","0.574","4","320","408","22","0"
"1","100580523","4","1005805","0","2.491","0","0","0","0","23","0"
"0","100580524","2","1005805","vo_ske","0","0","0","0","0","24","vo_ske_0505"
"0","100580525","1","1005805","0","0","1.192","5","0","167","25","0"
"1","100580526","4","1005805","0","1.943","0","0","0","0","26","0"
"0","100580527","1","1005805","0","0","0.864","5","167","316","27","0"
"1","100580528","4","1005805","0","1.47","0","0","0","0","28","0"
"0","100580529","1","1005805","0","0","0.713","5","316","376","29","0"
"1","100580530","4","1005805","0","3.073","0","0","0","0","30","0"
"0","100580531","2","1005805","vo_ske","0","0","0","0","0","31","vo_ske_0506"
"0","100580532","1","1005805","0","0","1.159","6","0","139","32","0"
"1","100580533","4","1005805","0","1.779","0","0","0","0","33","0"
"0","100580534","1","1005805","0","0","1.634","6","139","391","34","0"
"1","100580535","4","1005805","0","5.206","0","0","0","0","35","0"
"0","100580536","2","1005805","vo_ske","0","0","0","0","0","36","vo_ske_0507"
"0","100580537","1","1005805","0","0","1.363","7","0","202","37","0"
"1","100580538","4","1005805","0","2.334","0","0","0","0","38","0"
"0","100580539","1","1005805","0","0","1.128","7","202","343","39","0"
"1","100580540","4","1005805","0","3.267","0","0","0","0","40","0"
"0","100580541","2","1005805","vo_ske","0","0","0","0","0","41","vo_ske_0508"
"0","100580542","1","1005805","0","0","2.341","8","0","319","42","0"
"1","100580543","4","1005805","0","3.817","0","0","0","0","43","0"
"0","100580544","1","1005805","0","0","0.614","8","319","413","44","0"
"1","100580545","4","1005805","0","1.798","0","0","0","0","45","0"
"0","100580546","1","1005805","0","0","1.942","9","0","286","46","0"
"1","100580547","4","1005805","0","4.447","0","0","0","0","47","0"
"0","100580548","2","1005805","vo_ske","0","0","0","0","0","48","vo_ske_0509"
"0","100580549","1","1005805","0","0","0.441","10","0","95","49","0"
"1","100580550","4","1005805","0","1.691","0","0","0","0","50","0"
"0","100580551","1","1005805","0","0","2.177","10","95","382","51","0"
"1","100580552","4","1005805","0","4.215","0","0","0","0","52","0"
"0","100580553","2","1005805","vo_ske","0","0","0","0","0","53","vo_ske_0510"
"0","100580554","1","1005805","0","0","1.116","11","0","154","54","0"
"1","100580555","4","1005805","0","2.252","0","0","0","0","55","0"
"0","100580556","1","1005805","0","0","2.025","11","154","380","56","0"
"1","100580557","4","1005805","0","4.486","0","0","0","0","57","0"
"0","100580558","2","1005805","vo_ske","0","0","0","0","0","58","vo_ske_0511"
"0","100580559","1","1005805","0","0","0.473","12","0","93","59","0"
"1","100580560","4","1005805","0","1.015","0","0","0","0","60","0"
"0","100580561","1","1005805","0","0","0.759","12","93","164","61","0"
"1","100580562","4","1005805","0","2.172","0","0","0","0","62","0"
"0","100580563","1","1005805","0","0","2.606","13","0","362","63","0"
"1","100580564","4","1005805","0","5.313","0","0","0","0","64","0"
"0","100580565","2","1005805","vo_ske","0","0","0","0","0","65","vo_ske_0512"
"0","100580566","1","1005805","0","0","1.072","14","0","113","66","0"
"1","100580567","4","1005805","0","2.416","0","0","0","0","67","0"
"0","100580568","1","1005805","0","0","1.331","14","113","362","68","0"
"1","100580569","4","1005805","0","3.831","0","0","0","0","69","0"
"1","100590101","4","1005901","0","0.8","0","0","0","0","1","0"
"0","100590102","2","1005901","vo_ske","0","0","0","0","0","2","vo_ske_0601"
"0","100590103","1","1005901","0","0","1.86","1","0","320","3","0"
"1","100590104","4","1005901","0","2.5","0","0","0","0","4","0"
"0","100590105","1","1005901","0","0","1.2","1","320","380","5","0"
"1","100590106","4","1005901","0","3.1","0","0","0","0","6","0"
"0","100590107","2","1005901","vo_ske","0","0","0","0","0","7","vo_ske_0602"
"0","100590108","1","1005901","0","0","2.2","2","0","287","8","0"
"1","100590109","4","1005901","0","3.3","0","0","0","0","9","0"
"0","100590110","1","1005901","0","0","0.9","2","287","410","10","0"
"1","100590111","4","1005901","0","1.5","0","0","0","0","11","0"
"0","100590112","1","1005901","0","0","1.5","3","0","288","12","0"
"1","100590113","4","1005901","0","3.7","0","0","0","0","13","0"
"0","100590114","2","1005901","vo_ske","0","0","0","0","0","14","vo_ske_0603"
"0","100590115","1","1005901","0","0","1.5","3","288","410","15","0"
"1","100590116","4","1005901","0","1.5","0","0","0","0","16","0"
"0","100590117","1","1005901","0","0","0.3","4","0","87","17","0"
"1","100590118","4","1005901","0","1.5","0","0","0","0","18","0"
"0","100590119","1","1005901","0","0","0.8","4","87","246","19","0"
"1","100590120","4","1005901","0","1.5","0","0","0","0","20","0"
"0","100590121","1","1005901","0","0","1.9","4","246","378","21","0"
"1","100590122","4","1005901","0","4.5","0","0","0","0","22","0"
"0","100590123","2","1005901","vo_ske","0","0","0","0","0","23","vo_ske_0604"
"0","100590124","1","1005901","0","0","2.3","5","0","171","24","0"
"1","100590125","4","1005901","0","3.3","0","0","0","0","25","0"
"0","100590126","1","1005901","0","0","1.1","5","171","309","26","0"
"1","100590127","4","1005901","0","1.1","0","0","0","0","27","0"
"0","100590128","1","1005901","0","0","1.1","5","309","410","28","0"
"1","100590129","4","1005901","0","3.9","0","0","0","0","29","0"
"0","100590130","2","1005901","vo_ske","0","0","0","0","0","30","vo_ske_0605"
"0","100590131","1","1005901","0","0","0.5","6","0","52","31","0"
"1","100590132","4","1005901","0","1.7","0","0","0","0","32","0"
"0","100590133","1","1005901","0","0","1.2","6","52","109","33","0"
"1","100590134","4","1005901","0","1.9","0","0","0","0","34","0"
"0","100590135","1","1005901","0","0","0.9","6","109","292","35","0"
"1","100590136","4","1005901","0","2.6","0","0","0","0","36","0"
"0","100590137","2","1005901","vo_ske","0","0","0","0","0","37","vo_ske_0606"
"0","100590138","1","1005901","0","0","1.6","7","0","180","38","0"
"1","100590139","4","1005901","0","2","0","0","0","0","39","0"
"0","100590140","1","1005901","0","0","1","7","180","350","40","0"
"1","100590141","4","1005901","0","1","0","0","0","0","41","0"
"0","100590142","1","1005901","0","0","1.3","8","0","0","42","0"
"1","100590143","4","1005901","0","2.2","0","0","0","0","43","0"
"0","100590144","1","1005901","0","0","1.4","8","0","372","44","0"
"1","100590145","4","1005901","0","4","0","0","0","0","45","0"
"0","100590146","2","1005901","vo_ske","0","0","0","0","0","46","vo_ske_0607"
"0","100590147","1","1005901","0","0","1.1","9","0","130","47","0"
"1","100590148","4","1005901","0","1.8","0","0","0","0","48","0"
"0","100590149","1","1005901","0","0","1","9","130","253","49","0"
"1","100590150","4","1005901","0","2.3","0","0","0","0","50","0"
"0","100590151","1","1005901","0","0","1.4","9","253","400","51","0"
