b0a3e8005c533b3c209cfec90b0a033a1424004a0a688dc5759fedc923873a37,cc8ccad92944f9b8c73b61431ec45c1db8ea1333ec26cf5c060b419cb1d4cf54,210b89da7e555dee8948423a10c304bae5105619e0acddcafc84463f64964453,36ef08a027390d5e155906d3d0140bab417e48b72827e49317bf0da7b11efcb7,ec06cb49e0d44ad13a37783b647d6c7489b3c0319c62db15e88e3075dae29b69
"20004","400","221","100810","2"
"90008","1500","222","100811","2"
"91002","40","223","100812","8"
"25001","9","224","100812","2"
"94002","1000000","225","100813","12"
"20004","400","226","100813","2"
"90008","1500","227","100814","2"
"41000","1","228","100815","2"
"94002","1000000","229","100816","12"
"20004","500","230","100816","2"
"91002","40","231","100817","8"
"90008","1500","232","100817","2"
"94002","2000000","233","100818","12"
"90008","2000","234","100818","2"
"94002","3000000","235","100901","12"
"20004","300","236","100901","2"
"90008","1000","237","100902","2"
"23003","150","238","100902","2"
"25001","12","239","100903","2"
"94002","1000000","240","100904","12"
"20004","300","241","100904","2"
"90008","1000","242","100905","2"
"23003","150","243","100905","2"
"25001","10","244","100906","2"
"91002","40","245","100907","8"
"94002","1000000","246","100907","12"
"20004","300","247","100907","2"
"90008","1000","248","100908","2"
"23003","200","249","100908","2"
"41000","1","250","100909","2"
"25001","10","251","100909","2"
"94002","1000000","252","100910","12"
"20004","400","253","100910","2"
"90008","1500","254","100911","2"
"91002","40","255","100912","8"
"25001","9","256","100912","2"
"94002","1000000","257","100913","12"
"20004","400","258","100913","2"
"90008","1500","259","100914","2"
"41000","1","260","100915","2"
"94002","1000000","261","100916","12"
"20004","500","262","100916","2"
"91002","40","263","100917","8"
"90008","1500","264","100917","2"
"94002","2000000","265","100918","12"
"90008","2000","266","100918","2"
"94002","3000000","267","101001","12"
"20004","300","268","101001","2"
"90008","1000","269","101002","2"
"23003","150","270","101002","2"
"25001","12","271","101003","2"
"94002","1000000","272","101004","12"
"20004","300","273","101004","2"
"90008","1000","274","101005","2"
"23003","150","275","101005","2"
"25001","10","276","101006","2"
"91002","40","277","101007","8"
"94002","1000000","278","101007","12"
"20004","300","279","101007","2"
"90008","1000","280","101008","2"
"23003","200","281","101008","2"
"41000","1","282","101009","2"
"25001","10","283","101009","2"
"94002","1000000","284","101010","12"
"20004","400","285","101010","2"
"90008","1500","286","101011","2"
"91002","40","287","101012","8"
"25001","9","288","101012","2"
"94002","1000000","289","101013","12"
"20004","400","290","101013","2"
"90008","1500","291","101014","2"
"41000","1","292","101015","2"
"94002","1000000","293","101016","12"
"20004","500","294","101016","2"
"91002","40","295","101017","8"
"90008","1500","296","101017","2"
"94002","2000000","297","101018","12"
"90008","2000","298","101018","2"
"94002","3000000","299","101101","12"
"20004","300","300","101101","2"
"90008","1000","301","101102","2"
"23003","150","302","101102","2"
"25001","12","303","101103","2"
"94002","1000000","304","101104","12"
"20004","300","305","101104","2"
"90008","1000","306","101105","2"
"23003","150","307","101105","2"
"25001","10","308","101106","2"
"91002","40","309","101107","8"
"94002","1000000","310","101107","12"
"20004","300","311","101107","2"
"90008","1000","312","101108","2"
"23003","200","313","101108","2"
"41000","1","314","101109","2"
"25001","10","315","101109","2"
"94002","1000000","316","101110","12"
"20004","400","317","101110","2"
"90008","1500","318","101111","2"
"91002","40","319","101112","8"
"25001","9","320","101112","2"
"94002","1000000","321","101113","12"
"20004","400","322","101113","2"
"90008","1500","323","101114","2"
"41000","1","324","101115","2"
"94002","1000000","325","101116","12"
"20004","500","326","101116","2"
"91002","40","327","101117","8"
"90008","1500","328","101117","2"
"94002","2000000","329","101118","12"
"90008","2000","330","101118","2"
"94002","3000000","331","101201","12"
"20004","300","332","101201","2"
"90008","1000","333","101202","2"
"23003","150","334","101202","2"
"25001","12","335","101203","2"
"94002","1000000","336","101204","12"
"20004","300","337","101204","2"
"90008","1000","338","101205","2"
"23003","150","339","101205","2"
"25001","10","340","101206","2"
"91002","40","341","101207","8"
"94002","1000000","342","101207","12"
"20004","300","343","101207","2"
"90008","1000","344","101208","2"
"23003","200","345","101208","2"
"41000","1","346","101209","2"
"25001","10","347","101209","2"
"94002","1000000","348","101210","12"
"20004","400","349","101210","2"
"90008","1500","350","101211","2"
"91002","40","351","101212","8"
"25001","9","352","101212","2"
"94002","1000000","353","101213","12"
"20004","400","354","101213","2"
"90008","1500","355","101214","2"
"41000","1","356","101215","2"
"94002","1000000","357","101216","12"
"20004","500","358","101216","2"
"91002","40","359","101217","8"
"90008","1500","360","101217","2"
"94002","2000000","361","101218","12"
"90008","2000","362","101218","2"
"94002","3000000","363","101301","12"
"20004","300","364","101301","2"
"90008","1000","365","101302","2"
"23003","150","366","101302","2"
"25001","12","367","101303","2"
"94002","1000000","368","101304","12"
"20004","300","369","101304","2"
"90008","1000","370","101305","2"
"23003","150","371","101305","2"
"25001","10","372","101306","2"
"91002","40","373","101307","8"
"94002","1000000","374","101307","12"
"20004","300","375","101307","2"
"90008","1000","376","101308","2"
"23003","200","377","101308","2"
"41000","1","378","101309","2"
"25001","10","379","101309","2"
"94002","1000000","380","101310","12"
"20004","400","381","101310","2"
"90008","1500","382","101311","2"
"91002","40","383","101312","8"
"25001","9","384","101312","2"
"94002","1000000","385","101313","12"
"20004","400","386","101313","2"
"90008","1500","387","101314","2"
"41000","1","388","101315","2"
"94002","1000000","389","101316","12"
"20004","500","390","101316","2"
"91002","40","391","101317","8"
"90008","1500","392","101317","2"
"94002","2000000","393","101318","12"
"90008","2000","394","101318","2"
"94002","3000000","395","101401","12"
"20004","300","396","101401","2"
"90008","1000","397","101402","2"
"23003","150","398","101402","2"
"25001","12","399","101403","2"
"94002","1000000","400","101404","12"
"20004","300","401","101404","2"
"90008","1000","402","101405","2"
"23003","150","403","101405","2"
"25001","10","404","101406","2"
"91002","40","405","101407","8"
"94002","1000000","406","101407","12"
"20004","300","407","101407","2"
"90008","1000","408","101408","2"
"23003","200","409","101408","2"
"41000","1","410","101409","2"
"25001","10","411","101409","2"
"94002","1000000","412","101410","12"
"20004","400","413","101410","2"
"90008","1500","414","101411","2"
"91002","40","415","101412","8"
"25001","9","416","101412","2"
"94002","1000000","417","101413","12"
"20004","400","418","101413","2"
"90008","1500","419","101414","2"
"41000","1","420","101415","2"
"94002","1000000","421","101416","12"
"20004","500","422","101416","2"
"91002","40","423","101417","8"
"90008","1500","424","101417","2"
"94002","2000000","425","101418","12"
"90008","2000","426","101418","2"
"94002","3000000","427","101501","12"
"20004","300","428","101501","2"
"90008","1000","429","101502","2"
"23003","150","430","101502","2"
"25001","12","431","101503","2"
"94002","1000000","432","101504","12"
"20004","300","433","101504","2"
"90008","1000","434","101505","2"
"23003","150","435","101505","2"
"25001","10","436","101506","2"
"91002","40","437","101507","8"
"94002","1000000","438","101507","12"
"20004","300","439","101507","2"
"90008","1000","440","101508","2"
"23003","200","441","101508","2"
"41000","1","442","101509","2"
"25001","10","443","101509","2"
"94002","1000000","444","101510","12"
"20004","400","445","101510","2"
"90008","1500","446","101511","2"
"91002","40","447","101512","8"
"25001","9","448","101512","2"
"94002","1000000","449","101513","12"
"20004","400","450","101513","2"
"90008","1500","451","101514","2"
"41000","1","452","101515","2"
"94002","1000000","453","101516","12"
"20004","500","454","101516","2"
"91002","40","455","101517","8"
"90008","1500","456","101517","2"
"94002","2000000","457","101518","12"
"90008","2000","458","101518","2"
