40d67ec5d5615710e5947879e2efcf37c287e3b7b40cf9ff8424f736cc6299e8,eea69d6e071fc8da6ad43eaa24c22c94e552c315a74a6d9fd173cc64e376b1a2,d7acb5c10b890a970e4144e5f13a7c14feb038691f0a50ca737b639b60c4cf9d,557975570e2e8af9570661e48fb8fd4e1301e327cc4bff42e8b2dbaa398b9084,dad9befad4c294baed3e10578bed716213267ee09f02a74cd8eab709f36b96f5,8d7315f9e94d7568e7243ee821d43bf521f612fca9a3ba72d3d75bf9f40e880f,b828fb7489791a42edce2ee2f9f8ffb091e29da64a79c7d9b01a2e69b3555c65,039b92d860763a0c1c1409657a9b9e9055470ef0400366d45ab95f7a1eb87724,ba9ac7f1cf3f5043c11ad1b27ec74fdf7bd6e05800863692efec0cfd35480171,35eff5732c9ad49326ae3b40e2df1b270dcd9a16564139e2a9abbd419a41de6d,2cfeb097623a7d7eacc34b0e1118245da574a25ae7f5af7193786aab2e150821
"285001045","25021","2","45","25015","2","91002","29","8","10","130"
"285001046","25021","2","46","25015","2","91002","30","8","10","132"
"285001047","25021","2","47","25015","2","91002","30","8","10","135"
"285001048","25021","2","48","25015","2","91002","31","8","10","137"
"285001049","25021","2","49","25015","2","91002","31","8","10","139"
"285001050","25021","2","50","25015","2","91002","31","8","30","142"
"285001051","25021","2","51","25015","2","91002","32","8","10","144"
"285001052","25021","2","52","25015","2","91002","32","8","10","146"
"285001053","25021","2","53","25015","2","91002","32","8","10","149"
"285001054","25021","2","54","25015","2","91002","33","8","10","152"
"285001055","25021","2","55","25015","2","91002","33","8","10","155"
"285001056","25021","2","56","25015","2","91002","33","8","10","157"
"285001057","25021","2","57","25015","2","91002","34","8","10","160"
"285001058","25021","2","58","25015","2","91002","34","8","10","163"
"285001059","25021","2","59","25015","2","91002","34","8","10","166"
"285001060","25021","2","60","25015","2","91002","35","8","30","169"
"285001061","25021","2","61","25015","2","91002","35","8","10","171"
"285001062","25021","2","62","25015","2","91002","35","8","10","174"
"285001063","25021","2","63","25015","2","91002","36","8","10","177"
"285001064","25021","2","64","25015","2","91002","36","8","10","180"
"285001065","25021","2","65","25015","2","91002","36","8","10","182"
"285001066","25021","2","66","25015","2","91002","37","8","10","185"
"285001067","25021","2","67","25015","2","91002","37","8","10","187"
"285001068","25021","2","68","25015","2","91002","37","8","10","190"
"285001069","25021","2","69","25015","2","91002","38","8","10","193"
"285001070","25021","2","70","25015","2","91002","38","8","30","196"
"285001071","25021","2","71","25015","2","91002","39","8","10","200"
"285001072","25021","2","72","25015","2","91002","39","8","10","204"
"285001073","25021","2","73","25015","2","91002","40","8","10","208"
"285001074","25021","2","74","25015","2","91002","40","8","10","212"
"285001075","25021","2","75","25015","2","91002","41","8","10","216"
"285001076","25021","2","76","25015","2","91002","41","8","10","220"
"285001077","25021","2","77","25015","2","91002","42","8","10","224"
"285001078","25021","2","78","25015","2","91002","42","8","10","228"
"285001079","25021","2","79","25015","2","91002","43","8","10","232"
"285001080","25021","2","80","25015","2","91002","43","8","30","236"
"285001081","25021","2","81","25015","2","91002","44","8","10","240"
"285001082","25021","2","82","25015","2","91002","44","8","10","244"
"285001083","25021","2","83","25015","2","91002","45","8","10","248"
"285001084","25021","2","84","25015","2","91002","45","8","10","252"
"285001085","25021","2","85","25015","2","91002","46","8","10","256"
"285001086","25021","2","86","25015","2","91002","46","8","10","260"
"285001087","25021","2","87","25015","2","91002","47","8","10","264"
"285001088","25021","2","88","25015","2","91002","47","8","10","268"
"285001089","25021","2","89","25015","2","91002","48","8","10","272"
"285001090","25021","2","90","25015","2","91002","48","8","30","276"
"285001091","25021","2","91","25015","2","91002","49","8","10","280"
"285001092","25021","2","92","25015","2","91002","49","8","10","284"
"285001093","25021","2","93","25015","2","91002","50","8","10","288"
"285001094","25021","2","94","25015","2","91002","50","8","10","292"
"285001095","25021","2","95","25015","2","91002","51","8","10","296"
"285001096","25021","2","96","25015","2","91002","51","8","10","300"
"285001097","25021","2","97","25015","2","91002","52","8","10","304"
"285001098","25021","2","98","25015","2","91002","52","8","10","308"
"285001099","25021","2","99","25015","2","91002","53","8","10","312"
"285001100","25021","2","100","25015","2","91002","53","8","30","316"
