e8d9647ab155d214d19ab46e4fc314360addb5b4dd8b5d89394ac0a949400193,1065485a0fc1631b090607ad6d49376a8bc64f5216cc1b9a304cf784c6a6d1c2,1c41d763dfac5eafce556f4340ac8b83dfca8855dff21a0a73b4caeb9bf3d6a7,40273514123c73612929cef51236c4181a4221e1e6043717ae5536134787b393,61c631e0efe6695036818b37b9705234697b7e6d91c528cec042f7f2970d6677,c94bd65102a2037e006fe881bbf2c2f39469e1e1272310ee28cd2e332c34bc53,07f783f27db3d4c0deb68d7b97fc89d1ba91726e5899382ef4cf16206f1126df
"5","2","10","11","0","1","5"
"6","2","12","11","0","1","6"
"1","1","4","11","0","1","7"
"11","1","0","11","0","1","8"
"6","1","0","11","0","1","9"
"1","2","10","11","0","1","10"
"6","1","11","11","0","1","11"
"1","2","12","11","0","1","12"
"5","2","6","11","0","1","13"
"10","1","7","11","0","1","14"
"4","2","7","11","0","1","15"
"11","2","4","12","0","1","1"
"1","1","5","12","0","1","2"
"6","2","10","12","0","1","3"
"5","2","10","12","0","1","4"
"11","1","0","12","0","1","5"
"6","2","0","12","0","1","6"
"12","2","17","12","0","1","7"
"5","1","1","12","0","1","8"
"1","1","2","12","0","1","9"
"6","2","10","12","0","1","10"
"4","2","10","12","0","1","11"
"1","1","0","12","0","1","12"
"5","1","13","12","0","1","13"
"11","2","8","12","0","1","14"
"8","1","10","12","0","1","15"
"11","1","10","13","0","1","1"
"11","3","8","13","0","1","2"
"6","2","0","13","0","1","3"
"11","1","10","13","0","1","4"
"11","2","7","13","0","1","5"
"2","3","6","13","0","1","6"
"1","3","0","13","1500","1","7"
"11","1","5","13","0","3","8"
"5","3","10","13","0","1","9"
"1","2","4","13","0","1","10"
"1","1","4","13","0","1","11"
"6","3","6","13","0","1","12"
"4","1","6","13","0","1","13"
"9","1","10","13","0","3","14"
"8","3","10","13","0","1","15"
"4","1","6","13","0","1","16"
"1","3","0","13","0","1","17"
"8","2","8","13","0","1","18"
"11","1","0","14","0","1","1"
"2","1","13","14","0","2","2"
"11","3","10","14","0","1","3"
"1","1","10","14","0","1","4"
"4","1","10","14","0","2","5"
"11","2","0","14","0","1","6"
"1","2","0","14","0","1","7"
"1","1","10","14","0","1","8"
"12","3","12","14","0","1","9"
"12","3","12","14","0","1","10"
"5","3","0","14","0","1","11"
"5","1","12","14","0","1","12"
"10","1","6","14","0","2","13"
"11","1","10","14","0","1","14"
"10","1","6","14","0","3","15"
"11","1","10","14","0","1","16"
"2","1","6","14","0","3","17"
"10","1","6","14","0","2","18"
"11","1","4","14","0","1","19"
"8","2","10","14","0","1","20"
"8","1","4","14","0","3","21"
"12","2","10","15","0","1","1"
"12","1","12","15","0","1","2"
"11","3","12","15","0","1","3"
"11","1","6","15","0","1","4"
"12","2","12","15","0","1","5"
"5","2","0","15","0","1","6"
"11","1","12","15","0","1","7"
"1","1","0","15","0","1","8"
"5","1","0","15","0","1","9"
"12","1","12","15","0","2","10"
"11","3","0","15","0","1","11"
"12","3","11","15","0","1","12"
"1","2","9","15","0","1","13"
"1","1","12","15","0","1","14"
"12","1","0","15","0","1","15"
"12","1","9","15","0","1","16"
"11","2","4","15","0","1","17"
"11","1","4","15","0","3","18"
"5","2","12","15","0","1","19"
"12","2","0","15","0","1","20"
"12","2","7","15","0","1","21"
"12","1","12","15","0","3","22"
"1","1","7","15","0","3","23"
"4","3","0","15","0","1","24"
"4","1","10","15","0","3","25"
"8","2","0","15","0","1","26"
"11","1","0","15","0","1","27"
"11","2","0","15","0","1","28"
"6","1","0","16","0","1","1"
"11","2","10","16","0","1","2"
"12","3","0","16","0","1","3"
"4","2","0","16","0","1","4"
"6","1","12","16","0","1","5"
"6","1","0","16","0","1","6"
"4","2","4","16","0","1","7"
"5","3","4","16","0","1","8"
"1","3","0","16","0","1","9"
"12","1","17","16","0","1","10"
"11","2","0","16","0","1","11"
"1","3","10","16","0","1","12"
"11","2","11","16","0","1","13"
"11","3","0","16","0","1","14"
"12","1","12","16","0","1","15"
"11","1","10","16","0","1","16"
"11","1","10","16","0","1","17"
"6","1","6","16","0","1","18"
"11","2","6","16","0","1","19"
"1","3","8","16","0","1","20"
"5","3","8","16","0","1","21"
"4","1","9","16","0","1","22"
"11","1","10","16","0","1","23"
"11","1","4","17","0","1","1"
"4","1","10","17","0","3","2"
"11","1","4","17","0","1","3"
"1","1","0","17","0","1","4"
"1","1","10","17","0","2","5"
"11","2","4","17","0","1","6"
"1","1","10","17","0","2","7"
"11","2","4","17","0","1","8"
"1","3","0","17","0","1","9"
"8","1","10","17","0","2","10"
"12","1","12","17","0","1","11"
"11","3","4","17","0","1","12"
"1","1","4","17","0","3","13"
"11","1","10","17","0","1","14"
"1","1","0","17","0","2","15"
"11","1","4","17","0","2","16"
"8","1","7","17","0","2","17"
"11","1","0","17","0","1","18"
"2","1","6","17","0","3","19"
"10","1","10","17","0","1","20"
"11","2","10","17","0","1","21"
"8","3","7","17","0","1","22"
"11","1","4","18","0","1","1"
"5","1","13","18","0","2","2"
"4","1","10","18","0","1","3"
"4","2","10","18","0","1","4"
"11","3","10","18","0","1","5"
"5","1","7","18","0","3","6"
"11","1","10","18","0","1","7"
"4","3","10","18","0","1","8"
"11","2","10","18","0","1","9"
"5","1","6","18","0","3","10"
"11","1","10","18","0","1","11"
"11","2","10","18","0","1","12"
"4","3","10","18","0","1","13"
"5","1","8","18","0","2","14"
"6","1","6","18","0","2","15"
"10","3","0","18","0","1","16"
"10","2","0","18","0","1","17"
"10","1","0","18","0","1","18"
"10","1","7","18","0","2","19"
"8","1","10","18","0","1","20"
"11","1","10","18","0","1","21"
"2","1","9","18","0","2","22"
"13","1","0","19","0","2","1"
"4","1","8","19","0","2","2"
"8","1","0","19","0","2","3"
"14","1","10","20","0","2","1"
"8","1","0","20","0","2","2"
"15","1","13","21","0","2","1"
"15","1","0","22","0","2","1"
"13","1","0","22","0","2","2"
"42","1","0","23","0","2","1"
"72","1","0","23","0","2","2"
"43","1","0","24","0","2","1"
"44","1","0","25","0","2","1"
"45","1","0","26","0","2","1"
"46","1","0","27","0","2","1"
"47","1","0","28","0","2","1"
"14","1","0","29","0","2","1"
"15","1","0","30","0","1","1"
"8","2","0","30","0","1","2"
"10","1","13","30","0","1","3"
"10","2","13","30","0","1","4"
"12","2","9","30","0","1","5"
"72","1","6","30","0","1","6"
"2","1","8","30","0","2","7"
"13","1","0","30","0","2","8"
"4","1","8","31","0","1","1"
"1","2","0","31","0","1","2"
"10","1","6","31","0","1","3"
"4","2","0","31","0","1","4"
"9","1","7","31","0","1","5"
"1","2","0","31","0","1","6"
"10","1","6","32","0","1","1"
"10","2","13","32","0","1","2"
"1","3","0","32","0","1","3"
"2","2","11","32","0","1","4"
"2","1","8","32","0","1","5"
"1","3","0","32","0","1","6"
"72","3","7","32","0","1","7"
"6","3","0","33","0","1","1"
"10","1","13","33","0","3","2"
"3","3","3","33","0","1","3"
"72","1","0","33","0","3","4"
"12","3","2","33","0","1","5"
"4","1","6","34","0","2","1"
"5","1","7","34","0","1","2"
"1","2","0","34","0","1","3"
"12","2","8","34","0","1","4"
"1","1","0","34","0","1","5"
"15","1","0","34","0","2","6"
"8","1","0","35","0","2","1"
"72","1","10","35","0","2","2"
"13","1","0","35","0","2","3"
"4","1","0","36","0","2","1"
"6","1","6","36","0","1","2"
"1","1","0","36","0","1","3"
"72","2","10","36","0","1","4"
"9","2","0","36","0","1","5"
"2","2","7","36","0","2","6"
"8","1","7","37","0","2","1"
"4","1","0","37","0","1","2"
"5","2","0","37","0","1","3"
"13","1","6","37","0","2","4"
"13","1","10","38","0","2","1"
"5","1","8","38","0","1","2"
"6","2","7","38","0","1","3"
"1","1","0","38","0","1","4"
"9","2","7","38","0","1","5"
"15","2","13","38","0","1","6"
"8","1","0","38","0","2","7"
"4","1","6","39","0","2","1"
"6","1","13","39","0","1","2"
"72","2","10","39","0","1","3"
"13","1","6","39","0","2","4"
