102071ff9fd000d78a3a790cf28fbe55fe370524233e73af2288bfd2de4d6145,f66fa1bbf41594ee4968f6f26d875c24507464493953e89e2439b28fd13066a1,bf11319ca76e231c27cd01c57aaa14f323c2139b2786bd4af7f63280a069f243,76df65d101f090425e4785eb97c0b6dbb6180688fa7690c60908c68b37b50103,4c3be26172df0d64f137675484cb08e4d85c3b17da3ebb5ec342e928a992ceb8
"-19.3","2","-14.8","2","30020088"
"-24.5","2","-12.7","3","30020089"
"-23.5","2","-11.5","1","30020090"
"-19.4","2","-13.1","3","30020091"
"-20","2","-11.5","1","30020092"
"-25","2","-9.6","3","30020093"
"-25","2","-8","1","30020094"
"-25","2","-6.2","3","30020095"
"-18.5","2","-9.4","2","30020096"
"-17","2","-8.5","2","30020097"
"-18.5","2","-7.4","2","30020098"
"-17","2","-6.8","2","30020099"
"-23.7","2","-4","1","30020100"
"-21.6","2","-2","1","30020101"
"-19.5","2","-2","1","30020102"
"-17.7","2","-2","1","30020103"
"-16.1","2","-3.4","3","30020104"
"-15","2","-4","3","30020105"
"-16.2","2","-10.8","3","30020106"
"-15","2","-11.3","3","30020107"
"-13.7","2","-10.8","3","30020108"
"-10.5","2","-6","1","30020109"
"-9.3","2","-5","1","30020110"
"-11.9","2","-5.1","3","30020111"
"-8.3","2","-6","3","30020112"
"-12","2","-10.4","3","30020113"
"-10.8","2","-11.8","1","30020114"
"-9","2","-11.8","1","30020115"
"-7","2","-10","3","30020116"
"3.9","2","-8","2","30020119"
"-4.9","2","-8.8","2","30020121"
"-4","2","-7.7","2","30020122"
"-3","2","-8.9","2","30020123"
"-14.2","2","-2.6","3","30020125"
"-14.2","2","-1","1","30020126"
"-13.1","2","0.2","3","30020127"
"-11.8","2","1.1","1","30020128"
"-7.4","2","1.2","1","30020131"
"-10.5","2","2.2","3","30020132"
"-8.5","2","2.2","3","30020133"
"-9.5","2","1.1","1","30020134"
"-6","2","0","3","30020135"
"-4.5","2","1.3","1","30020136"
"2.8","2","-1","1","30020141"
"0.4","2","-10.2","2","30020142"
"6.2","2","-2.8","1","30020143"
"8","2","-2.7","1","30020145"
"6.9","2","-4.3","1","30020146"
"3.8","2","0.9","3","30020147"
"6.2","2","0.9","3","30020148"
"8","2","0.5","3","30020149"
"10.4","2","0.5","3","30020150"
"8","2","-9.5","3","30020151"
"8.7","2","-8","3","30020152"
"3","2","-4.1","1","30020153"
"2.3","2","-12","2","30020154"
"3.8","2","-12.5","2","30020155"
"5.5","2","-12","2","30020156"
"11.9","2","-1.1","1","30020157"
"13","2","-2.5","1","30020158"
"13","2","-3.7","1","30020159"
"15","2","-3.5","3","30020160"
"15","2","-1.9","3","30020161"
"15","2","-9","2","30020162"
"16","2","-7.6","2","30020163"
"17","2","-9.1","2","30020164"
"18.1","2","-7.6","2","30020165"
"18.7","2","-9.1","2","30020166"
"16.5","2","-1.1","1","30020167"
"18.2","2","0","1","30020168"
"19.5","2","-0.8","1","30020169"
"21","2","1","3","30020170"
"23","2","1","3","30020171"
"10","2","-10","3","30020172"
"11.5","2","-10.8","3","30020173"
"13","2","-10","3","30020174"
"17.4","2","-11.3","1","30020176"
"16","2","-12","3","30020177"
"14.4","2","-11.3","1","30020178"
"10.1","2","-13.9","2","30020179"
"8.5","2","-13.2","2","30020180"
"-10.2","2","-9.2","991003","30020189"
"-10.2","2","-8.7","991004","30020190"
"2.8","2","-9.4","991003","30020193"
"2.8","2","-8.3","991004","30020194"
"9.9","2","-5.7","991001","30020197"
"10.3","2","-5.7","991002","30020198"
"16","2","-6.5","990001","30020199"
"11.8","2","-16.6","991001","30020204"
"12.2","2","-16.6","991002","30020205"
"-8.2","2","-20.6","991003","30020209"
"-11","2","-4.5","990001","30020213"
"-3.2","2","-2.11","991003","30020214"
"-3.2","2","-1.7","991004","30020215"
"-3","2","1.9","3","30020216"
"-1.2","2","1.2","1","30020217"
"1.3","2","0.9","3","30020218"
"-4.5","2","-6.1","2","30020219"
"-3.7","2","-4.7","2","30020220"
"-22.2","2","-15.2","991001","30020221"
"-21.8","2","-15.2","991002","30020222"
"-0.2","2","-18.6","991001","30020223"
"0.2","2","-18.6","991002","30020224"
"21.5","2","-8.6","991001","30020225"
"22.5","2","-8.6","991002","30020226"
"21.4","2","-16.6","991003","30020227"
"22.6","2","-15.3","991002","30020228"
"20.7","2","-4.1","991003","30020229"
"21","2","-3.6","991002","30020230"
"-15.7","2","-8","991003","30020231"
"-14.3","2","-7.3","991002","30020232"
"-22.7","2","-10.6","991001","30020233"
"-21.3","2","-10.6","991002","30020234"
"7","3","-23.6","11","30030001"
"16","3","-20.7","12","30030003"
"6.4","3","-21.8","13","30030005"
"8.4","3","-21.8","13","30030006"
"4","3","-21","11","30030007"
"1.6","3","-15.7","11","30030008"
"3.5","3","-16.7","11","30030009"
"1.5","3","-21.9","13","30030010"
"2.7","3","-23.7","13","30030011"
"-3","3","-23.7","13","30030012"
"-5.9","3","-22.8","12","30030018"
"-10.5","3","-21.6","11","30030019"
"-11.5","3","-19.7","13","30030020"
"-13.5","3","-19.7","13","30030021"
"-9.5","3","-19.7","13","30030022"
"-16.1","3","-23.8","12","30030023"
"-18.7","3","-23.8","11","30030024"
"-21","3","-21.8","11","30030025"
"-19.4","3","-16.1","12","30030027"
"-11.1","3","-3.8","13","30030036"
"-14.9","3","-3.7","13","30030037"
"-10.4","3","-11.7","12","30030043"
"-10.4","3","-13.6","12","30030044"
"-15.1","3","-4.8","12","30030045"
"-8.9","3","-8.4","13","30030046"
"-8.9","3","-4.7","13","30030048"
"-10.1","3","1.3","11","30030054"
"-5.1","3","-3.2","13","30030058"
"4.1","3","-6.3","12","30030062"
"13","3","-4","11","30030064"
"11.9","3","-2.6","11","30030065"
"15.3","3","-6.4","13","30030067"
"16.4","3","-9.7","13","30030068"
"18.8","3","-5.7","13","30030069"
"16","3","-23.8","11","30030073"
"17.9","3","-19.5","13","30030076"
"17.9","3","-17.8","13","30030077"
"21.4","3","-10.8","990002","30030079"
"5","3","-23.7","990001","30030080"
"-14.1","3","-9.4","990001","30030081"
"6.9","3","-9.6","990001","30030082"
"1.8","3","-13","11","30030083"
"8.5","3","-12.7","13","30030085"
"8.5","3","-16.7","13","30030086"
"11.5","3","-13.8","12","30030087"
"9.8","3","-13.7","12","30030088"
"-0.5","3","-3.7","13","30030089"
"0.6","3","-3.7","13","30030090"
"-6.5","3","-7.3","12","30030091"
"-5.4","3","-6.1","12","30030092"
"-6.5","3","-6.2","13","30030093"
"-5.5","3","-7.5","13","30030094"
"-11.1","3","-5.8","13","30030095"
"-11.1","3","-7.2","11","30030097"
"-20","3","-11.4","12","30030098"
"-20.1","3","-9.2","12","30030099"
"-17.5","3","-9.7","13","30030100"
"-15.5","3","-9.7","13","30030101"
"-17.5","3","-21.5","13","30030102"
"-16.1","3","-20.1","13","30030103"
"-17.5","3","-20.1","12","30030104"
"-2.1","3","-21.9","13","30030106"
"15.8","3","-18.6","11","30030107"
"18.8","3","-22.2","11","30030108"
"22.2","3","-15.8","12","30030109"
"20.1","3","-15.8","12","30030110"
"17.9","3","-15.8","12","30030111"
"16.8","3","-1.8","12","30030115"
"1","3","-10.6","11","30030116"
"2.5","3","-10.6","11","30030117"
"9","3","0.1","13","30030118"
"7.5","3","0.1","13","30030119"
"4.8","3","-0.6","11","30030120"
"19.4","3","-1.8","12","30030121"
"21.7","3","-1.8","12","30030122"
"20.5","3","-1.7","13","30030123"
"18.1","3","-1.7","13","30030124"
"15.7","3","1.2","11","30030125"
"18.5","3","0.3","13","30030126"
"20.1","3","0.3","13","30030127"
"21.5","3","0.3","13","30030128"
"20","3","-11.5","13","30030130"
"-4","3","-10.1","11","30030132"
"-8","3","-22.8","12","30030135"
"-13.2","3","-15.8","11","30030137"
"-11.2","3","-15.7","11","30030138"
"-4","3","-12","12","30030139"
"10.4","3","-16.7","13","30030140"
"-12.6","3","-21.6","11","30030141"
"-22","3","-16.4","11","30030144"
"-22","3","-18.7","11","30030145"
"-5.1","3","-1.9","13","30030146"
"-5.1","3","-0.4","13","30030147"
"-7","3","-0.8","11","30030148"
"-7","3","-2.4","11","30030149"
"13.6","3","1.3","11","30030150"
"8.5","3","-1.7","11","30030151"
"10","3","-2.6","11","30030152"
"13","3","-6.2","12","30030153"
"13.1","3","-9","13","30030154"
"13.1","3","-7.6","13","30030155"
"17.5","3","-5.8","12","30030156"
"20.1","3","-5.8","12","30030157"
"21.5","3","-5.6","11","30030158"
"23","3","-5.6","11","30030159"
"20","3","-12.8","12","30030160"
"5.5","3","-18.8","12","30030161"
"7.5","3","-18.7","11","30030162"
"9.5","3","-18.8","12","30030163"
"11.5","3","-18.6","11","30030164"
"12.5","3","-18.7","13","30030165"
"14.1","3","-18.7","13","30030166"
"-16.1","3","-21.3","12","30030167"
"-6","3","-14.8","13","30030168"
"-4.5","3","-14.8","12","30030169"
"-3","3","-14.8","13","30030170"
"-1.5","3","-14.8","12","30030171"
"-17.5","3","-16.6","11","30030172"
"-14.9","3","-16.6","11","30030174"
"-18.5","3","-6.9","11","30030175"
"-16.5","3","-6.9","11","30030176"
"-9.1","3","-6.6","12","30030177"
"-14.9","3","-6.1","13","30030178"
"-21.8","3","-20.6","13","30030179"
"-21.9","3","-14.9","13","30030180"
"10","3","-23.6","11","30030181"
"19","3","-15.7","13","30030182"
"21.1","3","-15.7","13","30030183"
"23.8","3","-11.8","11","30030184"
"23.8","3","-13.7","11","30030185"
"-8","4","-4.6","990001","30040001"
"-6.6","4","2.9","990002","30040002"
"11","4","-21.6","990001","30040003"
"-4","4","-21.6","990001","30040004"
"-9.8","4","-21.7","991001","30040005"
"-12.2","4","-16","991001","30040006"
"-11.8","4","-16","991002","30040007"
"-15.2","4","-12.6","991003","30040008"
"-15.2","4","-11.1","991004","30040009"
"-14.8","4","-8.7","991003","30040010"
"-14.8","4","-7.1","991004","30040011"
"-17.2","4","-1","991001","30040012"
"-16.8","4","-1","991002","30040013"
"-17.8","4","6","991004","30040015"
"-16.2","4","5.3","991002","30040016"
"-0.8","4","3.4","991003","30040019"
"0.8","4","3.9","991002","30040020"
"10.8","4","-2.7","991001","30040021"
"11.2","4","-2.7","991002","30040022"
"10.3","4","-6.1","991001","30040023"
"11.8","4","-6.1","991002","30040024"
"10.2","4","-13.1","991001","30040025"
"11.8","4","-13.7","991003","30040026"
"5.1","4","-21.7","991001","30040027"
"6.9","4","-20","991004","30040028"
"4.8","4","-11","991001","30040029"
"5.2","4","-11","991002","30040030"
"-3.2","4","-11.7","991001","30040031"
"-2.8","4","-11.7","991002","30040032"
"-3.8","4","-15.1","991001","30040033"
"-2.1","4","-15.1","991002","30040034"
"-11.2","4","-22","11","30040035"
"-10.1","4","-17.9","11","30040037"
"-7.4","4","-19","11","30040038"
"-15.6","4","-15.4","12","30040040"
"-8.4","4","-15.4","12","30040041"
"-10","4","-11.9","11","30040042"
"-13.6","4","-10.8","13","30040043"
"-16.9","4","-13.8","11","30040044"
"-19.2","4","-13.6","11","30040045"
"-19.7","4","-12.9","11","30040046"
"-21.3","4","-11","11","30040047"
"-21.3","4","-9.1","12","30040048"
"-18","4","-9","11","30040049"
"-18.7","4","-6.5","13","30040050"
"-16.4","4","-8.8","11","30040051"
"-12.4","4","-7.9","13","30040052"
"-11.5","4","-9.8","11","30040053"
"-9.5","4","-9.3","11","30040054"
"-6.2","4","-9.1","11","30040055"
"-7.4","4","-9","12","30040056"
"-4.6","4","-7.7","11","30040057"
"-7.3","4","-6.5","13","30040058"
"-9.1","4","-4.9","11","30040061"
"-16.5","4","-5.3","11","30040062"
"-10.5","4","-5","12","30040063"
"-12.5","4","-5","12","30040064"
"-14.5","4","-5","12","30040065"
"-18.3","4","-3.9","11","30040066"
"-19.4","4","-3","11","30040067"
"-18.2","4","-2.9","13","30040068"
"-18.4","4","0.4","11","30040069"
"-15.3","4","1.9","11","30040070"
"-17","4","1.9","12","30040071"
"-21.4","4","-0.5","11","30040072"
"-21.2","4","1.2","11","30040073"
"-21.5","4","2.9","11","30040074"
"-19.6","4","4.8","11","30040075"
"-15.6","4","4.4","13","30040076"
"-13","4","-2.7","13","30040077"
"-18.3","4","7.2","11","30040078"
"-16.9","4","8.9","11","30040079"
"-12.1","4","8.1","12","30040080"
"-14.7","4","9","11","30040081"
"-8.1","4","6.6","11","30040082"
"-8.3","4","4.2","11","30040083"
"-7.6","4","1.7","11","30040084"
"-7.6","4","-0.6","13","30040085"
"-3.9","4","2.1","12","30040088"
"-4","4","5","11","30040089"
"-6.8","4","8","11","30040090"
"-4.5","4","8.6","11","30040091"
"-3.6","4","8.1","11","30040092"
"-0.7","4","8","11","30040093"
"-1.3","4","4.9","12","30040094"
"-1.6","4","1.9","11","30040095"
"-0.3","4","0.1","13","30040096"
"0.8","4","0.1","11","30040097"
"7.1","4","1","11","30040099"
"4.4","4","0.9","13","30040100"
"5.8","4","0.9","11","30040101"
"2.2","4","5.1","11","30040102"
"8.7","4","0.8","11","30040106"
"12.8","4","5.4","11","30040108"
"10.5","4","6","12","30040109"
"13.4","4","2.9","11","30040110"
"13","4","0.8","11","30040111"
"11.1","4","-3.8","13","30040112"
"7.6","4","-2.4","11","30040113"
"8.1","4","-5.8","11","30040114"
"7.5","4","-4.5","12","30040115"
"14.2","4","-5.8","12","30040116"
"14.5","4","-2.9","13","30040117"
"8.8","4","-8.6","11","30040118"
"9.5","4","-10.6","13","30040119"
"13.7","4","-9.4","13","30040120"
"15","4","-10","11","30040121"
"15.5","4","-12.1","11","30040122"
"13.1","4","-14.7","11","30040123"
"12.8","4","-16.5","13","30040124"
"13.4","4","-17.8","13","30040125"
"8.5","4","-14.3","11","30040126"
"8.1","4","-16.4","11","30040127"
"9","4","-19","11","30040128"
"9","4","-12.1","11","30040129"
"9.7","4","-22.1","11","30040130"
"13","4","-22","11","30040131"
"12.7","4","-19.9","13","30040132"
"7.3","4","-22.1","12","30040133"
"3.7","4","-22.3","11","30040134"
"2.4","4","-22","11","30040135"
"0.5","4","-19.9","11","30040136"
"3.4","4","-19.4","13","30040137"
"4.7","4","-18.4","13","30040138"
"3.8","4","-17.5","13","30040139"
"0","4","-18","11","30040140"
"1","4","-15","11","30040141"
"2.3","4","-13.8","11","30040142"
"3.4","4","-13.1","12","30040143"
"1","4","-13","13","30040144"
"0.4","4","-10.9","13","30040145"
"5","4","-9.7","12","30040146"
"3.3","4","-9.3","13","30040147"
"0.4","4","-9.3","11","30040148"
"2","4","-6","11","30040149"
"3.4","4","-5.2","11","30040150"
"1.3","4","-4.5","13","30040151"
"-1","4","-3","11","30040154"
"-6.5","4","-11.3","11","30040155"
"-6.5","4","-13.8","12","30040156"
"-5.6","4","-17.1","12","30040157"
"-5.5","4","-18.6","11","30040158"
"-2.3","4","-22.4","11","30040159"
"-6.8","4","-22.2","12","30040160"
"-5","4","-22.5","11","30040161"
"-1.5","4","-20.2","13","30040162"
"-15.5","4","-18.8","11","30040163"
"-15","4","-21","11","30040164"
"-16","4","-20","13","30040165"
"4","4","5.8","11","30040166"
"9","4","6","11","30040167"
"7","4","6.4","13","30040168"
"5.2","4","6.2","13","30040169"
"1.5","4","-1","11","30040170"
"4.4","4","-2.3","13","30040171"
"2.8","4","-3.9","11","30040172"
"17.1","5","-22.5","990001","30050013"
"-8.2","5","-19","991004","30050074"
"-16","5","-22.5","990001","30050076"
"2.8","5","-9.4","991003","30050193"
"2.8","5","-8.3","991004","30050194"
"11.8","5","-16.6","991001","30050204"
"12.2","5","-16.6","991002","30050205"
"-8.2","5","-20.6","991003","30050209"
"-11","5","-4.5","990001","30050213"
"-6.4","5","1.7","991003","30050214"
"-6.4","5","2.2","991004","30050215"
"-22.2","5","-15.2","991001","30050221"
"-21.8","5","-15.2","991002","30050222"
"-0.2","5","-18.6","991001","30050223"
"0.2","5","-18.6","991002","30050224"
"-22.7","5","-10.6","991001","30050233"
"-21.3","5","-10.6","991002","30050234"
"12","5","-2.7","990001","30050235"
"-4.2","5","-16.7","991006","30050236"
"-5.7","5","-16.7","991006","30050237"
"-25.5","5","24.3","13","30050238"
"-25.2","5","24.5","11","30050239"
"8.2","5","-22.8","13","30050240"
"7.1","5","-22.7","11","30050241"
"5","5","-22.7","11","30050242"
"4.8","5","-21.5","13","30050243"
"6","5","-22.8","13","30050244"
"-25.4","5","24.4","12","30050245"
"4.5","5","-19.2","12","30050246"
"9","5","-17","13","30050247"
"9","5","-16","13","30050248"
"9","5","-18","13","30050249"
"2.9","5","-15.6","11","30050250"
"3","5","-17.8","11","30050251"
"7.5","5","-14.1","12","30050252"
"7.5","5","-11.9","12","30050253"
"5.4","5","-11.7","13","30050254"
"3.5","5","-11.7","13","30050255"
"1.5","5","-10.9","11","30050256"
"-0.5","5","-10.9","11","30050257"
"3.5","5","-14.4","12","30050258"
"1.5","5","-14.3","12","30050259"
"1.6","5","-21.3","12","30050260"
"1.6","5","-22.8","11","30050261"
"-0.5","5","-24","12","30050262"
"-2.7","5","-24","12","30050263"
"-4","5","-16","13","30050264"
"-5","5","-16","13","30050265"
"-6","5","-16","13","30050266"
"-4","5","-18","13","30050267"
"-5","5","-18","13","30050268"
"-6","5","-18","13","30050269"
"-7","5","-21","11","30050270"
"-5.5","5","-19.8","12","30050271"
"-9.3","5","-17.1","12","30050272"
"-10.6","5","-16.3","12","30050273"
"-12.2","5","-17.2","12","30050274"
"-10","5","-22","11","30050275"
"-12","5","-22","11","30050276"
"-14.4","5","-16.8","12","30050277"
"-16.6","5","-15.9","11","30050278"
"-19.5","5","-16","11","30050279"
"-18.1","5","-16","12","30050280"
"-19","5","-14","12","30050281"
"-17","5","-13","12","30050282"
"-16.6","5","-14.7","12","30050283"
"-24.1","5","-13.5","11","30050284"
"-24","5","-15.7","11","30050285"
"-23.5","5","-20.4","11","30050286"
"-23.5","5","-17.8","11","30050287"
"-20","5","-22","12","30050288"
"-22","5","-22","12","30050289"
"-23.2","5","-19.3","13","30050290"
"-23","5","-13","13","30050291"
"-23","5","-11.8","12","30050292"
"-23","5","-11","13","30050293"
"-20.1","5","-12.4","11","30050294"
"-20","5","-11","11","30050295"
"-19.3","5","-9.5","11","30050296"
"-19.3","5","-8.4","12","30050297"
"-19.1","5","-6.8","11","30050299"
"-20.4","5","-6.5","13","30050300"
"-19.2","5","-4.2","12","30050301"
"-20.6","5","-4.1","12","30050302"
"-23.4","5","-5.9","12","30050303"
"-23.4","5","-4.1","11","30050304"
"-23.4","5","-1.4","11","30050305"
"-21.8","5","-1","11","30050306"
