484ee0a0057bea2888746c328f594230ebbea449a7b99098c64f302c417ba6d9,b56578f060309e99f39e593f2216bf397287a2271a6dc797701979174e38c1ab,443817d0e7251f716cfd89c6fb1de7f38020a018558c675bb7f11bce84c4863f,9d995e3033df8b65a0f534d81ab220049c952aea075d22ecd49c097193617587,6e1b034b5b418f8fc801c969f6a97b96fb7945be750c3bf8463d0d23cdb06a13,87302f60593970b605be578f5dad3667a6075fa1e17ec18d47240484f15e4109
"3","60000042","1","4","122341","10011002"
"3","60000043","1","4","122342","10011002"
"3","60000044","1","4","122371","10011002"
"3","60000045","1","4","122372","10011002"
"3","60000046","1","4","122401","10011002"
"3","60000047","1","4","122431","10011002"
"3","60000048","1","4","122432","10011002"
"3","60000049","1","4","122491","10011002"
"3","60000050","1","4","122493","10011002"
"3","60000051","1","4","122521","10011002"
"3","60000052","1","4","122613","10011002"
"3","60000053","1","4","122614","10011002"
"2","60000054","1","4","113011","10011003"
"2","60000055","1","4","113012","10011003"
"2","60000056","1","4","113013","10011003"
"2","60000057","1","4","113071","10011003"
"2","60000058","1","4","113101","10011003"
"2","60000059","1","4","113131","10011003"
"2","60000060","1","4","113162","10011003"
"2","60000061","1","4","113191","10011003"
"2","60000062","1","4","113221","10011003"
"2","60000063","1","4","113222","10011003"
"2","60000064","1","4","113252","10011003"
"3","60000065","1","4","113283","10011003"
"3","60000066","1","4","113342","10011003"
"3","60000067","1","4","113372","10011003"
"3","60000068","1","4","113401","10011003"
"3","60000069","1","4","113431","10011003"
"3","60000070","1","4","113521","10011003"
"3","60000071","1","4","113522","10011003"
"3","60000072","1","4","113551","10011003"
"3","60000073","1","4","113552","10011003"
"3","60000074","1","4","113553","10011003"
"3","60000075","1","4","113581","10011003"
"3","60000076","1","4","113611","10011003"
"3","60000077","1","4","113614","10011003"
"2","60000078","1","4","123041","10011003"
"2","60000079","1","4","123042","10011003"
"2","60000080","1","4","123072","10011003"
"2","60000081","1","4","123132","10011003"
"2","60000082","1","4","123161","10011003"
"2","60000083","1","4","123192","10011003"
"2","60000084","1","4","123193","10011003"
"2","60000085","1","4","123251","10011003"
"3","60000086","1","4","123281","10011003"
"3","60000087","1","4","123282","10011003"
"3","60000088","1","4","123311","10011003"
"3","60000089","1","4","123341","10011003"
"3","60000090","1","4","123343","10011003"
"3","60000091","1","4","123371","10011003"
"3","60000092","1","4","123432","10011003"
"3","60000093","1","4","123461","10011003"
"3","60000094","1","4","123491","10011003"
"3","60000095","1","4","123582","10011003"
"3","60000096","1","4","123583","10011003"
"3","60000097","1","4","123612","10011003"
"2","60000098","1","4","114011","10011004"
"2","60000099","1","4","114012","10011004"
"2","60000100","1","4","114041","10011004"
"2","60000101","1","4","114072","10011004"
"2","60000102","1","4","114102","10011004"
"2","60000103","1","4","114132","10011004"
"2","60000104","1","4","114162","10011004"
"2","60000105","1","4","114191","10011004"
"2","60000106","1","4","114221","10011004"
"2","60000107","1","4","114222","10011004"
"2","60000108","1","4","114252","10011004"
"3","60000109","1","4","114281","10011004"
"3","60000110","1","4","114282","10011004"
"3","60000111","1","4","114312","10011004"
"3","60000112","1","4","114341","10011004"
"3","60000113","1","4","114371","10011004"
"3","60000114","1","4","114372","10011004"
"3","60000115","1","4","114432","10011004"
"3","60000116","1","4","114461","10011004"
"3","60000117","1","4","114522","10011004"
"3","60000118","1","4","114551","10011004"
"3","60000119","1","4","114581","10011004"
"2","60000120","1","4","114611","10011004"
"2","60000121","1","4","124042","10011004"
"2","60000122","1","4","124071","10011004"
"2","60000123","1","4","124101","10011004"
"2","60000124","1","4","124131","10011004"
"2","60000125","1","4","124161","10011004"
"2","60000126","1","4","124192","10011004"
"2","60000127","1","4","124251","10011004"
"3","60000128","1","4","124311","10011004"
"3","60000129","1","4","124342","10011004"
"3","60000130","1","4","124401","10011004"
"3","60000131","1","4","124431","10011004"
"3","60000132","1","4","124491","10011004"
"3","60000133","1","4","124521","10011004"
"100","60000134","1","2","31012","10012098"
"100","60000135","1","2","31038","10012099"
"100","62001045","1","2","60001","62001045"
"100","62001046","3","2","60002","62001046"
