1d09420c7a07291e47feeb2a854424207ff7f1344ebde98543b3d7074bebad00,e0d1b322b5c3e2ae64b349b0cdb62ab0077b8b34eac16320fce9f40bb228a69a,77f365216bd3cca7c4d7df3e20499f143734132d456e1a3fc9c80c71aa5e22fd,d250881ed7b734a5c6059009bbf82a52989f472213dd5f5eef0f403a633ab7ec,810ed15699f0b3da175df37eea72357e4c7987231909db20a791422290ea2624,cc1a65a504fe6d5212e43c53fe342fa728d920c36d96d22b40fde34afbd1ce61,5e4876744acae6b69742b6d5e69d7377c7fecd8e543445602582033a0f634655
"10","2","1","12","2","0","8"
"5","1","1","12","3","0","8"
"12","1","1","5","4","0","8"
"10","2","1","1","5","0","8"
"12","1","1","5","6","0","8"
"12","1","1","5","7","0","8"
"10","2","1","1","8","0","8"
"9","2","1","8","9","0","8"
"9","1","2","4","10","0","8"
"8","1","1","4","1","0","9"
"10","1","1","5","2","0","9"
"7","2","1","4","3","0","9"
"8","2","1","6","4","0","9"
"10","1","1","1","5","0","9"
"11","1","1","11","6","0","9"
"6","1","1","1","7","0","9"
"8","2","1","5","8","0","9"
"7","2","1","8","9","0","9"
"6","1","1","4","10","0","9"
"10","2","1","11","1","0","10"
"7","1","1","1","2","0","10"
"8","1","2","8","3","0","10"
"9","2","1","5","4","0","10"
"8","1","1","10","5","0","10"
"7","1","2","1","6","0","10"
"6","1","2","2","7","0","10"
"10","1","1","11","8","0","10"
"10","2","1","8","9","0","10"
"8","1","1","9","1","0","11"
"0","2","1","5","2","0","11"
"12","2","1","6","3","0","11"
"5","1","1","1","4","0","11"
"10","2","1","5","5","0","11"
"12","2","1","6","6","0","11"
"4","1","1","1","7","0","11"
"0","1","1","11","8","0","11"
"0","1","1","6","9","0","11"
"10","2","1","1","10","0","11"
"11","1","1","6","11","0","11"
"12","2","1","1","12","0","11"
"6","2","1","5","13","0","11"
"7","1","1","10","14","0","11"
"7","2","1","4","15","0","11"
"4","2","1","11","1","0","12"
"5","1","1","1","2","0","12"
"10","2","1","6","3","0","12"
"10","2","1","5","4","0","12"
"0","1","1","11","5","0","12"
"0","2","1","6","6","0","12"
"17","2","1","12","7","0","12"
"1","1","1","5","8","0","12"
"2","1","1","1","9","0","12"
"10","2","1","6","10","0","12"
"10","2","1","4","11","0","12"
"0","1","1","1","12","0","12"
"13","1","1","5","13","0","12"
"8","2","1","11","14","0","12"
"10","1","1","8","15","0","12"
"10","1","1","11","1","0","13"
"8","3","1","11","2","0","13"
"0","2","1","6","3","0","13"
"10","1","1","11","4","0","13"
"7","2","1","11","5","0","13"
"6","3","1","2","6","0","13"
"0","3","1","1","7","1500","13"
"5","1","3","11","8","0","13"
"10","3","1","5","9","0","13"
"4","2","1","1","10","0","13"
"4","1","1","1","11","0","13"
"6","3","1","6","12","0","13"
"6","1","1","4","13","0","13"
"10","1","3","9","14","0","13"
"10","3","1","8","15","0","13"
"6","1","1","4","16","0","13"
"0","3","1","1","17","0","13"
"8","2","1","8","18","0","13"
"0","1","1","11","1","0","14"
"13","1","2","2","2","0","14"
"10","3","1","11","3","0","14"
"10","1","1","1","4","0","14"
"10","1","2","4","5","0","14"
"0","2","1","11","6","0","14"
"0","2","1","1","7","0","14"
"10","1","1","1","8","0","14"
"12","3","1","12","9","0","14"
"12","3","1","12","10","0","14"
"0","3","1","5","11","0","14"
"12","1","1","5","12","0","14"
"6","1","2","10","13","0","14"
"10","1","1","11","14","0","14"
"6","1","3","10","15","0","14"
"10","1","1","11","16","0","14"
"6","1","3","2","17","0","14"
"6","1","2","10","18","0","14"
"4","1","1","11","19","0","14"
"10","2","1","8","20","0","14"
"4","1","3","8","21","0","14"
"10","2","1","12","1","0","15"
"12","1","1","12","2","0","15"
"12","3","1","11","3","0","15"
"6","1","1","11","4","0","15"
"12","2","1","12","5","0","15"
"0","2","1","5","6","0","15"
"12","1","1","11","7","0","15"
"0","1","1","1","8","0","15"
"0","1","1","5","9","0","15"
"12","1","2","12","10","0","15"
"0","3","1","11","11","0","15"
"11","3","1","12","12","0","15"
"9","2","1","1","13","0","15"
"12","1","1","1","14","0","15"
"0","1","1","12","15","0","15"
"9","1","1","12","16","0","15"
"4","2","1","11","17","0","15"
"4","1","3","11","18","0","15"
"12","2","1","5","19","0","15"
"0","2","1","12","20","0","15"
"7","2","1","12","21","0","15"
"12","1","3","12","22","0","15"
"7","1","3","1","23","0","15"
"0","3","1","4","24","0","15"
"10","1","3","4","25","0","15"
"0","2","1","8","26","0","15"
"0","1","1","11","27","0","15"
"0","2","1","11","28","0","15"
"0","1","1","6","1","0","16"
"10","2","1","11","2","0","16"
"0","3","1","12","3","0","16"
"0","2","1","4","4","0","16"
"12","1","1","6","5","0","16"
"0","1","1","6","6","0","16"
"4","2","1","4","7","0","16"
"4","3","1","5","8","0","16"
"0","3","1","1","9","0","16"
"17","1","1","12","10","0","16"
"0","2","1","11","11","0","16"
"10","3","1","1","12","0","16"
"11","2","1","11","13","0","16"
"0","3","1","11","14","0","16"
"12","1","1","12","15","0","16"
"10","1","1","11","16","0","16"
"10","1","1","11","17","0","16"
"6","1","1","6","18","0","16"
"6","2","1","11","19","0","16"
"8","3","1","1","20","0","16"
"8","3","1","5","21","0","16"
"9","1","1","4","22","0","16"
"10","1","1","11","23","0","16"
"4","1","1","11","1","0","17"
"10","1","3","4","2","0","17"
"4","1","1","11","3","0","17"
"0","1","1","1","4","0","17"
"10","1","2","1","5","0","17"
"4","2","1","11","6","0","17"
"10","1","2","1","7","0","17"
"4","2","1","11","8","0","17"
"0","3","1","1","9","0","17"
"10","1","2","8","10","0","17"
"12","1","1","12","11","0","17"
"4","3","1","11","12","0","17"
"4","1","3","1","13","0","17"
"10","1","1","11","14","0","17"
"0","1","2","1","15","0","17"
"4","1","2","11","16","0","17"
"7","1","2","8","17","0","17"
"0","1","1","11","18","0","17"
"6","1","3","2","19","0","17"
"10","1","1","10","20","0","17"
"10","2","1","11","21","0","17"
"7","3","1","8","22","0","17"
"4","1","1","11","1","0","18"
"13","1","2","5","2","0","18"
"10","1","1","4","3","0","18"
"10","2","1","4","4","0","18"
"10","3","1","11","5","0","18"
"7","1","3","5","6","0","18"
"10","1","1","11","7","0","18"
"10","3","1","4","8","0","18"
"10","2","1","11","9","0","18"
"6","1","3","5","10","0","18"
"10","1","1","11","11","0","18"
"10","2","1","11","12","0","18"
"10","3","1","4","13","0","18"
"8","1","2","5","14","0","18"
"6","1","2","6","15","0","18"
"0","3","1","10","16","0","18"
"0","2","1","10","17","0","18"
"0","1","1","10","18","0","18"
"7","1","2","10","19","0","18"
"10","1","1","8","20","0","18"
"10","1","1","11","21","0","18"
"9","1","2","2","22","0","18"
"0","1","2","13","1","0","19"
"8","1","2","4","2","0","19"
"0","1","2","8","3","0","19"
"10","1","2","14","1","0","20"
"0","1","2","8","2","0","20"
"13","1","2","15","1","0","21"
"0","1","2","15","1","0","22"
"0","1","2","13","2","0","22"
"0","1","2","42","1","0","23"
"0","1","2","72","2","0","23"
"0","1","2","43","1","0","24"
"0","1","2","44","1","0","25"
"0","1","2","45","1","0","26"
"0","1","2","46","1","0","27"
"0","1","2","47","1","0","28"
"0","1","2","14","1","0","29"
"0","1","1","15","1","0","30"
"0","2","1","8","2","0","30"
"13","1","1","10","3","0","30"
"13","2","1","10","4","0","30"
"9","2","1","12","5","0","30"
"6","1","1","72","6","0","30"
"8","1","2","2","7","0","30"
"0","1","2","13","8","0","30"
"8","1","1","4","1","0","31"
"0","2","1","1","2","0","31"
"6","1","1","10","3","0","31"
"0","2","1","4","4","0","31"
"7","1","1","9","5","0","31"
"0","2","1","1","6","0","31"
"6","1","1","10","1","0","32"
"13","2","1","10","2","0","32"
"0","3","1","1","3","0","32"
"11","2","1","2","4","0","32"
"8","1","1","2","5","0","32"
"0","3","1","1","6","0","32"
"7","3","1","72","7","0","32"
"0","3","1","6","1","0","33"
"13","1","3","10","2","0","33"
"3","3","1","3","3","0","33"
"0","1","3","72","4","0","33"
"2","3","1","12","5","0","33"
"6","1","2","4","1","0","34"
"7","1","1","5","2","0","34"
"0","2","1","1","3","0","34"
"8","2","1","12","4","0","34"
"0","1","1","1","5","0","34"
"0","1","2","15","6","0","34"
"0","1","2","8","1","0","35"
"10","1","2","72","2","0","35"
"0","1","2","13","3","0","35"
"0","1","2","4","1","0","36"
"6","1","1","6","2","0","36"
"0","1","1","1","3","0","36"
"10","2","1","72","4","0","36"
"0","2","1","9","5","0","36"
"7","2","2","2","6","0","36"
"7","1","2","8","1","0","37"
"0","1","1","4","2","0","37"
"0","2","1","5","3","0","37"
"6","1","2","13","4","0","37"
"10","1","2","13","1","0","38"
"8","1","1","5","2","0","38"
"7","2","1","6","3","0","38"
"0","1","1","1","4","0","38"
"7","2","1","9","5","0","38"
"13","2","1","15","6","0","38"
"0","1","2","8","7","0","38"
"6","1","2","4","1","0","39"
"13","1","1","6","2","0","39"
"10","2","1","72","3","0","39"
"6","1","2","13","4","0","39"
