0ce98d349def67a98ba8604de2f55de68899efd2e1a0720d8a9c764c407b8ed0,74cbb960878eb9dec6272d606c34c809ec6b5a1759c87d87fb121ab8109ab8e8,aeaea2129ece2a7bf6238bd13f4a0d53a67f1398709cd2fd23e16ba30d48afa4,bfe4a8b348e5a5d56784e4ae42a786ae54982e0fa7d3f49f776e6ee90974bf28,e162c6e897439c629e5e815905f311a3dea9d64ef5104839b78735ed7fc541a0,9ae6c14821325edf907c1bb5f4a79d4f30c8afe72729d3157339e770677e68ce,7887859df03d2e9554cb9453e7ce0dca26d11d18735cd861df40e646fc382417,5b6b031e24ae3852f4c13be038f55654cdbcb628af8e43015164606af02ce200,a720e178b57c18e4946dc8be23d6cbb42c0a3f82f0a4dabe23611485c56a1d57,82ae0923ba3c2fe061fc71e521abf9a730ae6c70d346739a87fad6f7312333ad,4881273620226e1335c74e6402e407b12a49731fbb0cc8d4337ae58ad6dcde87,e6d10834eb9cf35f6f01b1ed07cfc11e6a82c7cd955140a4213fe36f49b34431
"36","1010036","0","0","0","0","1","0.907","1","4","0","0"
"37","1010037","9","315","1.107","63","0","0","1","1","0","0"
"38","1010038","0","0","0","0","1","1.107","1","4","0","0"
"39","1010039","10","162","1.107","0","0","0","1","1","0","0"
"40","1010040","0","0","0","0","1","1.455","1","4","0","0"
"41","1010041","10","162","1.65","162","0","0","1","1","0","0"
"42","1010042","0","0","0","0","1","2.654","1","4","0","0"
"43","1010043","0","0","0","0","0","0","1","2","vo_minigame_1005_nikki01_003","vo_minigame_1005"
"44","1010044","10","262","0.685","162","0","0","1","1","0","0"
"45","1010045","0","0","0","0","1","1.036","1","4","0","0"
"46","1010046","10","397","0.378","262","0","0","1","1","0","0"
"47","1010047","0","0","0","0","1","0.378","1","4","0","0"
"48","1010048","11","377","2.438","0","0","0","1","1","0","0"
"49","1010049","0","0","0","0","1","3.395","1","4","0","0"
"50","1010050","0","0","0","0","0","0","1","2","vo_minigame_1005_nikki01_004","vo_minigame_1005"
"51","1010051","12","102","0.642","0","0","0","1","1","0","0"
"52","1010052","0","0","0","0","1","1.061","1","4","0","0"
"53","1010053","12","187","0.539","102","0","0","1","1","0","0"
"54","1010054","0","0","0","0","1","0.877","1","4","0","0"
"55","1010055","12","316","1.135","187","0","0","1","1","0","0"
"56","1010056","0","0","0","0","1","2.635","1","4","0","0"
"1","1020001","0","0","0","0","3","1","2","4","0","0"
"2","1020002","0","0","0","0","0","0","2","2","vo_minigame_1005_nikki02_000","vo_minigame_1005"
"3","1020003","1","345","2.91","0","0","0","2","1","0","0"
"4","1020004","0","0","0","0","1","3.814","2","4","0","0"
"5","1020005","0","0","0","0","0","0","2","2","vo_minigame_1005_nikki02_001","vo_minigame_1005"
"6","1020006","2","239","1.67","0","0","0","2","1","0","0"
"7","1020007","0","0","0","0","1","2.19","2","4","0","0"
"8","1020008","3","314","2.455","0","0","0","2","1","0","0"
"9","1020009","0","0","0","0","1","3.527","2","4","0","0"
"10","1020010","0","0","0","0","0","0","2","2","vo_minigame_1005_nikki02_002","vo_minigame_1005"
"11","1020011","4","104","0.454","0","0","0","2","1","0","0"
"12","1020012","0","0","0","0","1","0.874","2","4","0","0"
"13","1020013","4","392","2.154","104","0","0","2","1","0","0"
"14","1020014","0","0","0","0","1","3.373","2","4","0","0"
"15","1020015","0","0","0","0","0","0","2","2","vo_minigame_1005_nikki02_003","vo_minigame_1005"
"16","1020016","5","125","0.895","0","0","0","2","1","0","0"
"17","1020017","0","0","0","0","1","1.311","2","4","0","0"
"18","1020018","5","265","1.114","125","0","0","2","1","0","0"
"19","1020019","0","0","0","0","1","1.181","2","4","0","0"
"20","1020020","5","340","0.497","265","0","0","2","1","0","0"
"21","1020021","0","0","0","0","1","0.497","2","4","0","0"
"22","1020022","6","189","1.37","0","0","0","2","1","0","0"
"23","1020023","0","0","0","0","1","2.407","2","4","0","0"
"24","1020024","0","0","0","0","0","0","2","2","vo_minigame_1005_nikki02_004","vo_minigame_1005"
"25","1020025","7","295","1.616","0","0","0","2","1","0","0"
"26","1020026","0","0","0","0","1","2.035","2","4","0","0"
"27","1020027","8","68","0.951","0","0","0","2","1","0","0"
"28","1020028","0","0","0","0","1","1.322","2","4","0","0"
"29","1020029","8","258","1.924","68","0","0","2","1","0","0"
"30","1020030","0","0","0","0","1","2.98","2","4","0","0"
"31","1020031","0","0","0","0","0","0","2","2","vo_minigame_1005_nikki02_005","vo_minigame_1005"
"32","1020032","9","83","0.93","0","0","0","2","1","0","0"
"33","1020033","0","0","0","0","1","1.24","2","4","0","0"
"34","1020034","9","257","0.879","83","0","0","2","1","0","0"
"35","1020035","0","0","0","0","1","1.877","2","4","0","0"
"36","1020036","0","0","0","0","0","0","2","2","vo_minigame_1005_nikki02_006","vo_minigame_1005"
"37","1020037","10","164","1.148","0","0","0","2","1","0","0"
"38","1020038","0","0","0","0","1","1.541","2","4","0","0"
"39","1020039","10","367","1.145","164","0","0","2","1","0","0"
"40","1020040","0","0","0","0","1","2.645","2","4","0","0"
"1","1030001","0","0","0","0","3","1","3","4","0","0"
"2","1030002","0","0","0","0","0","0","3","2","vo_minigame_1005_nikki03_000","vo_minigame_1005"
"3","1030003","1","340","2.61","0","0","0","3","1","0","0"
"4","1030004","0","0","0","0","1","3.007","3","4","0","0"
"5","1030005","2","233","1.47","0","0","0","3","1","0","0"
"6","1030006","0","0","0","0","1","2.171","3","4","0","0"
"7","1030007","0","0","0","0","0","0","3","2","vo_minigame_1005_nikki03_001","vo_minigame_1005"
"8","1030008","3","322","2.1","0","0","0","3","1","0","0"
"9","1030009","0","0","0","0","1","2.579","3","4","0","0"
"10","1030010","4","370","2.298","0","0","0","3","1","0","0"
"11","1030011","0","0","0","0","1","3.18","3","4","0","0"
"12","1030012","0","0","0","0","0","0","3","2","vo_minigame_1005_nikki03_002","vo_minigame_1005"
"13","1030013","5","101","1.262","0","0","0","3","1","0","0"
"14","1030014","0","0","0","0","1","1.993","3","4","0","0"
"15","1030015","0","0","0","0","0","0","3","2","vo_minigame_1005_nikki03_003","vo_minigame_1005"
"16","1030016","5","142","0.373","101","0","0","3","1","0","0"
"17","1030017","0","0","0","0","1","0.69","3","4","0","0"
"18","1030018","5","362","1.045","142","0","0","3","1","0","0"
"19","1030019","0","0","0","0","1","2.131","3","4","0","0"
"20","1030020","0","0","0","0","0","0","3","2","vo_minigame_1005_nikki03_004","vo_minigame_1005"
"21","1030021","6","289","2.147","0","0","0","3","1","0","0"
"22","1030022","0","0","0","0","1","2.618","3","4","0","0"
"23","1030023","7","350","1.445","0","0","0","3","1","0","0"
"24","1030024","0","0","0","0","1","2.552","3","4","0","0"
"25","1030025","0","0","0","0","0","0","3","2","vo_minigame_1005_nikki03_005","vo_minigame_1005"
"26","1030026","8","103","0.876","0","0","0","3","1","0","0"
"27","1030027","0","0","0","0","1","1.252","3","4","0","0"
"28","1030028","8","407","2.625","103","0","0","3","1","0","0"
"29","1030029","0","0","0","0","1","4.056","3","4","0","0"
"30","1030030","0","0","0","0","0","0","3","2","vo_minigame_1005_nikki03_006","vo_minigame_1005"
"31","1030031","9","383","2.728","0","0","0","3","1","0","0"
"32","1030032","0","0","0","0","1","3.023","3","4","0","0"
"33","1030033","10","104","0.91","0","0","0","3","1","0","0"
"34","1030034","0","0","0","0","1","1.977","3","4","0","0"
"35","1030035","0","0","0","0","0","0","3","2","vo_minigame_1005_nikki03_007","vo_minigame_1005"
"36","1030036","10","245","0.558","104","0","0","3","1","0","0"
"37","1030037","0","0","0","0","1","0.973","3","4","0","0"
"38","1030038","10","392","1.35","245","0","0","3","1","0","0"
"39","1030039","0","0","0","0","1","2.103","3","4","0","0"
"40","1030040","0","0","0","0","0","0","3","2","vo_minigame_1005_nikki03_008","vo_minigame_1005"
"41","1030041","11","150","0.935","0","0","0","3","1","0","0"
"42","1030042","0","0","0","0","1","2.435","3","4","0","0"
"1","1040001","0","0","0","0","3","1","4","4","0","0"
"2","1040002","0","0","0","0","0","0","4","2","vo_minigame_1005_nikki04_000","vo_minigame_1005"
"3","1040003","1","222","1.597","0","0","0","4","1","0","0"
"4","1040004","0","0","0","0","1","1.881","4","4","0","0"
"5","1040005","2","239","1.46","0","0","0","4","1","0","0"
"6","1040006","0","0","0","0","1","2.457","4","4","0","0"
"7","1040007","0","0","0","0","0","0","4","2","vo_minigame_1005_nikki04_001","vo_minigame_1005"
"8","1040008","3","184","1.208","0","0","0","4","1","0","0"
"9","1040009","0","0","0","0","1","1.578","4","4","0","0"
"10","1040010","3","303","0.673","184","0","0","4","1","0","0"
"11","1040011","0","0","0","0","1","1.009","4","4","0","0"
"12","1040012","3","370","0.65","303","0","0","4","1","0","0"
"13","1040013","0","0","0","0","1","0.729","4","4","0","0"
"14","1040014","4","182","0.976","0","0","0","4","1","0","0"
"15","1040015","0","0","0","0","1","1.993","4","4","0","0"
"16","1040016","0","0","0","0","0","0","4","2","vo_minigame_1005_nikki04_002","vo_minigame_1005"
"17","1040017","4","242","0.396","182","0","0","4","1","0","0"
"18","1040018","0","0","0","0","1","0.864","4","4","0","0"
"19","1040019","4","360","0.74","242","0","0","4","1","0","0"
"20","1040020","0","0","0","0","1","1.855","4","4","0","0"
"21","1040021","0","0","0","0","0","0","4","2","vo_minigame_1005_nikki04_003","vo_minigame_1005"
"22","1040022","5","84","0.437","0","0","0","4","1","0","0"
"23","1040023","0","0","0","0","1","0.497","4","4","0","0"
"24","1040024","5","289","1.776","84","0","0","4","1","0","0"
"25","1040025","0","0","0","0","1","2.233","4","4","0","0"
"26","1040026","6","163","1.29","0","0","0","4","1","0","0"
"27","1040027","0","0","0","0","1","1.638","4","4","0","0"
"28","1040028","6","400","1.137","163","0","0","4","1","0","0"
"29","1040029","0","0","0","0","1","2.3","4","4","0","0"
"30","1040030","0","0","0","0","0","0","4","2","vo_minigame_1005_nikki04_004","vo_minigame_1005"
"31","1040031","7","65","0.336","0","0","0","4","1","0","0"
"32","1040032","0","0","0","0","1","0.826","4","4","0","0"
"33","1040033","7","203","1.223","65","0","0","4","1","0","0"
"34","1040034","0","0","0","0","1","1.223","4","4","0","0"
"35","1040035","7","325","0.994","203","0","0","4","1","0","0"
"36","1040036","0","0","0","0","1","1.487","4","4","0","0"
"37","1040037","8","312","0.89","0","0","0","4","1","0","0"
"38","1040038","0","0","0","0","1","1.567","4","4","0","0"
"39","1040039","0","0","0","0","0","0","4","2","vo_minigame_1005_nikki04_005","vo_minigame_1005"
"40","1040040","9","151","0.74","0","0","0","4","1","0","0"
"41","1040041","0","0","0","0","1","1.731","4","4","0","0"
"42","1040042","0","0","0","0","0","0","4","2","vo_minigame_1005_nikki04_006","vo_minigame_1005"
"43","1040043","10","278","1.937","0","0","0","4","1","0","0"
"44","1040044","0","0","0","0","1","2.435","4","4","0","0"
"45","1040045","11","66","0.822","0","0","0","4","1","0","0"
"46","1040046","0","0","0","0","1","1.376","4","4","0","0"
"47","1040047","11","203","0.576","66","0","0","4","1","0","0"
"48","1040048","0","0","0","0","1","0.923","4","4","0","0"
"49","1040049","11","353","0.785","203","0","0","4","1","0","0"
"50","1040050","0","0","0","0","1","2.285","4","4","0","0"
"1","1050001","0","0","0","0","3","1","5","4","0","0"
"2","1050002","0","0","0","0","0","0","5","2","vo_minigame_1005_nikki05_000","vo_minigame_1005"
"3","1050003","1","183","1.419","0","0","0","5","1","0","0"
"4","1050004","0","0","0","0","1","1.662","5","4","0","0"
"5","1050005","2","265","1.614","0","0","0","5","1","0","0"
"6","1050006","0","0","0","0","1","2.394","5","4","0","0"
"7","1050007","0","0","0","0","0","0","5","2","vo_minigame_1005_nikki05_001","vo_minigame_1005"
"8","1050008","3","394","2.658","0","0","0","5","1","0","0"
"9","1050009","0","0","0","0","1","3.202","5","4","0","0"
"10","1050010","0","0","0","0","0","0","5","2","vo_minigame_1005_nikki05_002","vo_minigame_1005"
"11","1050011","4","298","1.745","0","0","0","5","1","0","0"
"12","1050012","0","0","0","0","1","2.545","5","4","0","0"
"13","1050013","0","0","0","0","0","0","5","2","vo_minigame_1005_nikki05_003","vo_minigame_1005"
"14","1050014","5","84","0.964","0","0","0","5","1","0","0"
"15","1050015","0","0","0","0","1","1.34","5","4","0","0"
"16","1050016","5","394","1.919","84","0","0","5","1","0","0"
"17","1050017","0","0","0","0","1","2.719","5","4","0","0"
"18","1050018","0","0","0","0","0","0","5","2","vo_minigame_1005_nikki05_004","vo_minigame_1005"
"19","1050019","6","103","0.434","0","0","0","5","1","0","0"
"20","1050020","0","0","0","0","1","0.903","5","4","0","0"
"21","1050021","6","250","0.8","103","0","0","5","1","0","0"
"22","1050022","0","0","0","0","1","0.8","5","4","0","0"
"23","1050023","7","25","0.262","0","0","0","5","1","0","0"
"24","1050024","0","0","0","0","1","0.968","5","4","0","0"
"25","1050025","7","309","2.473","25","0","0","5","1","0","0"
"26","1050026","0","0","0","0","1","3.315","5","4","0","0"
"27","1050027","0","0","0","0","0","0","5","2","vo_minigame_1005_nikki05_005","vo_minigame_1005"
"28","1050028","8","28","0.509","0","0","0","5","1","0","0"
"29","1050029","0","0","0","0","1","0.988","5","4","0","0"
"30","1050030","8","364","1.775","28","0","0","5","1","0","0"
"31","1050031","0","0","0","0","1","2.507","5","4","0","0"
"32","1050032","0","0","0","0","0","0","5","2","vo_minigame_1005_nikki05_006","vo_minigame_1005"
"33","1050033","9","201","1.139","0","0","0","5","1","0","0"
"34","1050034","0","0","0","0","1","2.066","5","4","0","0"
"35","1050035","0","0","0","0","0","0","5","2","vo_minigame_1005_nikki05_007","vo_minigame_1005"
"36","1050036","10","60","0.665","0","0","0","5","1","0","0"
"37","1050037","0","0","0","0","1","1.144","5","4","0","0"
"38","1050038","10","282","1.389","60","0","0","5","1","0","0"
"39","1050039","0","0","0","0","1","1.789","5","4","0","0"
"40","1050040","10","376","0.823","282","0","0","5","1","0","0"
"41","1050041","0","0","0","0","1","2.023","5","4","0","0"
