1f03eee69ab36e9fab00085ccdebd040dd27847e11f9def9c70515c1c7671290,619df022b83319a8003773fe6daa30f22352a408622a7412fbc70d2292e2a736,a608cda6aa24d7ee54ca2989d9e6423c9cf79fdb522863f943dc0e7253ce745e
"27","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法防禦力"
"28","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理暴擊率"
"29","[3C404E]所有角色的狀態異常命中能力提升[-][FFBB00,CE4F00]30[-][3C404E][-]","全角色 強化狀態異常命中"
"30","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法暴擊率"
"31","[3C404E]挑戰開始時，可追加獲得與所選擇之公會對應的[-][FFBB00,CE4F00]迷宮遺物[-][3C404E][-]","追加挑戰開始時的迷宮遺物"
"32","[3C404E]所有角色的物理暴擊傷害提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理暴擊傷害"
"33","[3C404E]所有角色的增益強化能力提升[-][FFBB00,CE4F00]15[-][3C404E]（※目標的強化效果與職階專精共通）[-]","全角色 強化增益"
"34","[3C404E]所有角色的魔法暴擊傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化魔法暴擊傷害"
"35","[3C404E]所有角色物理造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化物理造成的傷害"
"36","[3C404E]所有角色的減益強化能力提升[-][FFBB00,CE4F00]15[-][3C404E]（※目標的弱化效果與職階專精共通）[-]","全角色 強化減益"
"37","[3C404E]所有角色魔法造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化魔法造成的傷害"
"38","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ"
"39","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","強化屬性獎勵"
"40","[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ"
"41","[3C404E]戰鬥勝利時的始源盧幣獲得量增加[-][FFBB00,CE4F00]50％[-][3C404E][-]","增加戰鬥勝利時的獎勵"
