ee3d69dbd54bc3c60432a8e1cfe647dd22fe556256d5f5828e8fa0d1841919b2,3c236d072b31d83b86a30a16ebf5f4ad0868e01218271b8b578b95da463ddc0f,83aaea29af1b1a670639dc7b749337332c00a287d23e67730e2ad2ff9b8316de,bc5defc47519fe3f6ee223fa17608a0b5d913cf5819d7e5e87eaa4e55f083727,a6a4810df5a746d6c7a25e414391add2954156c6619fd5371e5e91f2b0c93ba9,6e4d0748d601726959c7e8652ee921c4d096eeef5d28a8a2f31c470d2a0a8f54
"2146096","203","114","1","803100268","300606"
"2146097","204","111","1","803100268","300607"
"2146098","203","114","1","803100268","300608"
"2146099","202","113","1","803100268","300609"
"2146100","105","102","0","803100268","300610"
"2147011","203","114","1","803100269","300611"
"2147012","106","103","0","803100269","300612"
"2147013","203","114","1","803100269","300613"
"2147014","204","111","1","803100269","300614"
"2147015","212","110","1","803100269","300615"
"2147016","203","114","1","803100269","300616"
"2147017","105","102","0","803100269","300617"
"2147018","106","103","0","803100269","300618"
"2147021","204","111","1","803100270","300701"
"2147022","104","100","0","803100270","300702"
"2147023","107","101","0","803100270","300703"
"2147024","202","113","1","803100270","300704"
"2147025","203","114","1","803100270","300705"
"2147026","105","102","0","803100270","300706"
"2147027","205","112","1","803100270","300707"
"2147028","204","111","1","803100270","300708"
"2147029","104","100","0","803100270","300709"
"2147030","107","101","0","803100270","300710"
"2147031","202","113","1","803100271","300711"
"2147032","203","114","1","803100271","300712"
"2147033","105","102","0","803100271","300713"
"2147034","205","112","1","803100271","300714"
"2147035","110","107","0","803100271","300715"
"2147036","204","111","1","803100271","300716"
"2147037","104","100","0","803100271","300717"
"2147038","107","101","0","803100271","300718"
