f053414e123fda10f71a8be0ed20ab9b01a270cf7de692a905808a8a9278c9ce,abb291ff21796c847b1a4d23f514585c9ffca16e74497f05106177e9dcb7d714,b81ef1afee3eb7c125f4f5d457c3a569e0844aa466543505e7cf0d7ea5d3a877,2651805e6c44cf2e4b41101da1323112e85a59cd2cf5c5970d9af15da6df1826,4e2f20306c55f5a5418525306f989680f6b27afddd96f57ee7dec04ea1d0fb58,404ea14c3c0e4c98a5b5ac6d2b9af72d5e9823c5339b9298335ad4d5b09c3c98,48c1611a613a1ef44037261b73971ae0476df95e14a1598f6e274f4359e1f23f,9a15ef77cf37830253e9861c5de38f7c2be24099ec7a4d857e0207857e3650ed,20a7e8088726208ccf07ac2a042ccf90b9513045bd60a833fbc7c326f0dcb3c8,590bf60f567b95d886a8822d02b4bbbad59b25c1c0f951822f185c61388c6a9f,0cf37df91799813817d3a24d98a0ccfcc56934c60b1de7c6446bc50a300104d7
"0","","1030005","01_uek_03_kyaru_loop","01_uek_03_kyaru","0","3","","3","106031",""
"10","","1030006","0","小凱留！\n妳快看，\n景色很棒哦☆","","3","","11","105831",""
"","","1030007","","","","3","","91","0",""
"10","","1030008","0","喂，妳幹嘛啦！\n不要拉我啦！\n會掉下去的！","","3","","11","106031",""
"","","1030009","","","","3","","91","0",""
"0","","1030010","01_uek_cmn_idol_def_N","01_uek_03_kokkoro","1","3","","3","105931",""
"10","","1030011","0","呵呵，在這上面應該\n還有更棒的景色\n在等著我們。","","3","","11","105931",""
"100","0","1040001","-120","101131","-30","4","1.3","1","1","02_uek_cmn_idol_def_N"
"100","1","1040002","20","104931","-5","4","1.3","1","1","02_uek_cmn_idol_def_N"
"1","","1040003","","02_uek_talk_joy2","","4","","3","101131",""
"10","","1040004","0","千萬行星也要\n始於腳下！\n我會加油的！","","4","","11","101131",""
"","","1040005","","","","4","","91","0",""
"1","","1040006","","02_uek_cmn_idol_def_N","","4","0.2","3","101131",""
"1","","1040007","","02_uek_04_shizuru","","4","0.2","3","104931",""
"10","","1040008","0","妳要說的應該是\n千里之行始於\n足下喔，璃乃。","","4","","11","104931",""
"","","1040009","","","","4","","91","0",""
"1","","1040010","","02_uek_cmn_idol_def_N","","4","0.2","3","104931",""
"100","0","1050001","-70","105031","0","5","1.3","1","1","02_uek_cmn_idol_def_N"
"100","1","1050002","70","101631","1","5","1.3","1","1","02_uek_cmn_idol_def_N"
"0","","1050003","02_uek_05_misaki_loop","02_uek_05_misaki","-15","5","","3","105031",""
"0","","1050004","02_uek_05_suzuna_loop","02_uek_05_suzuna","0","5","","3","101631",""
"10","","1050005","0","我要登上大人\n的階梯了～！","","5","","11","105031",""
"","","1050006","","","0","5","","91","0",""
"10","","1050007","0","人家也要成為\n超級巨星名模囉！","","5","","11","101631",""
"100","1","1060001","120","100531","25","6","1.3","1","1","02_uek_cmn_idol_def_N"
"100","0","1060002","-20","103731","5","6","1.3","1","1","02_uek_cmn_idol_def_N"
"1","","1060003","","02_uek_cmn_pose04","","6","","3","100531",""
"10","","1060004","0","如果因為這點高度\n而軟腳的話，\n就不配當英雄了！","","6","","11","100531",""
"","","1060005","","","","6","","91","0",""
"1","","1060006","","02_uek_talk_normal","","6","0.2","3","103731",""
"10","","1060007","0","嗯，感覺會是\n不錯的訓練呢。\n我越來越期待了。","","6","","11","103731",""
"","","1060008","","","","6","","91","0",""
"1","","1060009","","02_uek_cmn_idol_def_N","","6","0.2","3","103731",""
"100","0","1070001","-60","103831","-20","7","1.3","1","1","02_uek_cmn_idol_def_N"
"1","","1070002","","02_uek_07_shiori","","7","0.2","3","103831",""
"10","","1070003","","奇怪……姊姊她\n跑去哪裡了？\n……姊姊～？","","7","","11","103831",""
"100","0","1080001","90","104531","40","8","1.3","1","1","02_uek_08_kuka_loop"
"90","","1080002","60","2","1","8","1","31","2",""
"10","","1080003","0","啊，藤蔓纏住\n腳的觸感\n真叫人受不了～～！","0","8","","11","104531",""
"","","1080004","","","","8","","91","0",""
"100","0","1090001","-195","105831","-35","9","0.9","1","2","05_idle"
"1000","0","1090002","150","302102","-30","9","1.2","1","2","302102_idle"
"150","","1090003","50","15","1","9","1","31","102",""
"150","","1090004","400","16","1","9","1","31","103",""
"100","0","1100001","-160","112531","-25","10","1.3","1","1","01_uek_cmn_idol_def_N"
"100","1","1100002","-40","112431","-5","10","1.3","1","1","01_uek_cmn_idol_def_N"
"100","1","1100003","125","112631","20","10","1.3","1","1","01_uek_cmn_idol_def_N"
"1","","1100004","","01_uek_talk_surprise2","0","10","","3","112631",""
"10","","1100005","0","嗚呀……！\n腳下變成了雲朵，\n這是怎麼回事！？","0","10","","11","112631",""
"","","1100006","","","","10","","91","0",""
"1","","1100007","","01_uek_cmn_idol_def_N","0","10","0.2","3","112631",""
"1","","1100008","","01_uek_talk_joy1","","10","","3","112431",""
"10","","1100009","0","有一種不可思議的\n觸感呢～\n軟綿綿的耶♪","0","10","","11","112431",""
"","","1100010","","","","10","","91","0",""
"1","","1100011","","01_uek_cmn_idol_def_N","","10","0.2","3","112431",""
"1","","1100012","","01_uek_talk_normal","","10","","3","112531",""
"10","","1100013","0","雖然好像不會掉下去\n……不過還是邊注意\n腳下邊前進吧。","0","10","","11","112531",""
"","","1100014","","","","10","","91","0",""
"1","","1100015","","01_uek_cmn_idol_def_N","","10","0.2","3","112531",""
"","","1100016","","","","10","","91","0",""
"100","0","1110001","-135","104731","-20","11","1.3","1","1","03_uek_cmn_idol_def_N"
"100","1","1110002","100","107131","5","11","1.3","1","1","03_uek_cmn_idol_def_N"
"0","","1110003","03_uek_11_jun_loop","03_uek_11_jun","1","11","0","3","104731",""
"0","0.2","1110004","03_uek_cmn_idol_def_N","03_uek_11_chris","1","11","0","3","107131",""
"10","","1110005","","唔，視野一片白……\n小克莉絲，\n妳要小心！","0","11","","11","104731",""
"","","1110006","","","","11","","91","0",""
"10","","1110007","0","哈哈哈，鎧甲的重量\n讓妳沉下去囉團長☆\n嘿咻，釣到大魚了！","0","11","","11","107131",""
"","","1110008","","","","11","","93","1.5",""
"0","","1110009","1.5","-135","1","11","","2","104731",""
"","","1110010","","","","11","","91","1110007",""
"100","0","1120001","-120","101031","-20","12","1.3","1","1","03_uek_cmn_idol_def_N"
"100","1","1120002","10","101431","-5","12","1.3","1","1","03_uek_cmn_idol_def_N"
"1","","1120003","","03_uek_talk_joy1","0","12","","3","101031",""
"10","","1120004","0","好可愛的雲呀，\n真想一起\n帶回去啊♪","0","12","","11","101031",""
"","","1120005","","","","12","","91","0",""
"1","","1120006","","03_uek_cmn_idol_def_N","0","12","0.2","3","101031",""
"1","","1120007","","03_uek_talk_normal","0","12","","3","101431",""
"10","","1120008","0","再怎麼說\n那未免也\n太困難了吧……？","0","12","","11","101431",""
"","","1120009","","","","12","","91","0",""
"1","","1120010","","03_uek_cmn_idol_def_N","0","12","0.2","3","101431",""
"100","0","1130001","-165","105831","-45","13","1.3","1","1","01_uek_cmn_idol_def_N"
"100","0","1130002","-45","105931","-20","13","1.3","1","1","01_uek_cmn_idol_def_N"
"100","1","1130003","120","106031","-5","13","1.3","1","1","01_uek_cmn_idol_def_N"
"1","","1130004","","01_uek_talk_normal","1","13","","3","105931",""
"10","","1130005","0","已經爬到滿高的\n地方來了呢……","0","13","","11","105931",""
"","","1130006","","","","13","","91","0",""
"0","","1130007","01_uek_cmn_idol_def_N","01_uek_13_kokkoro","1","13","0.2","3","105931",""
"0","","1130008","01_uek_13_kyaru_loop","01_uek_13_kyaru","1","13","","3","106031",""
"10","","1130009","0","根本完全\n看不見頂端啊！\n到底有多高啊！","0","13","","11","106031",""
"","","1130010","","","","13","","91","0",""
"1","","1130011","","01_uek_13_peco_loop","0","13","","3","105831",""
"10","","1130012","0","有什麼關係嘛。\n運動後吃的東西\n會格外美味哦☆","0","13","","11","105831",""
"","","1130013","","","","13","","91","0",""
"100","0","1140001","-86","104031","-25","14","1.3","1","1","03_uek_cmn_idol_def_N"
"0","","1140002","250","1","1","14","1","31","1",""
"0","","1140003","03_uek_14_aoi_loop","03_uek_14_aoi","1","14","","3","104031",""
"10","","1140004","0","嗚嗚，這風是\n對邊緣人的\n猛烈排擠嗎！？","0","14","","11","104031",""
"100","0","1150001","-75","100731","-20","15","1.3","1","1","03_uek_cmn_idol_def_N"
"100","1","1150002","65","103131","10","15","1.3","1","1","03_uek_15_father"
"1","","1150003","","03_uek_15_miyako","0","15","","3","100731",""
"10","","1150004","0","天上好舒服哦～\n這就是所謂的\n幸福到快升天嗎？","0","15","","11","100731",""
"","","1150005","","","","15","","91","0",""
"1","","1150006","","03_uek_15_father","0","15","","3","103131",""
"10","","1150007","0","小鬼妳也是嗎？\n本大爺的身體也\n變得好輕啊！","0","15","","11","103131",""
"","","1150008","","","","15","","91","0",""
"1","","1150009","","03_uek_talk_normal","0","15","","3","103131",""
"10","","1150010","0","宮子\n妳可不能\n真的升天哦……？","0","15","","11","103131",""
"","","1150011","","","","15","","91","0",""
"1","","1150012","","03_uek_cmn_idol_def_N","0","15","0.2","3","103131",""
"100","0","1160001","-110","112431","-45","16","1.3","1","1","01_uek_cmn_idol_def_N"
"100","1","1160002","40","105831","-15","16","1.3","1","1","01_uek_cmn_idol_def_N"
"100","1","1160003","140","105931","10","16","1.3","1","1","01_uek_cmn_idol_def_N"
"0","","1160004","01_uek_cmn_idol_def_N","01_uek_01_kokkoro","0","16","","3","105931",""
"0","","1160005","01_uek_cmn_idol_def_N","01_uek_01_uduki","1","16","","3","112431",""
"0","","1160006","01_uek_cmn_idol_def_N","01_uek_01_peko","1","16","","3","105831",""
"","","1160007","","","","16","","91","0",""
"1","","1160008","","01_uek_talk_normal","1","16","","3","105931",""
"10","","1160009","0","卯月小姐。前路似乎\n還很漫長，\n您不休息沒問題嗎？","0","16","","11","105931",""
"","","1160010","","","","16","","91","0",""
"1","","1160011","","01_uek_cmn_idol_def_N","1","16","","3","105931",""
"1","","1160012","","01_uek_talk_joy1","","16","","3","112431",""
"10","","1160013","0","嗯，沒問題！\n我很樂在其中，\n太讚了吧☆","0","16","","11","112431",""
"","","1160014","","","","16","","93","1.5",""
"0","","1160015","01_uek_16_uduki_loop","01_uek_16_uduki","1","16","0.2","3","112431",""
"","","1160016","","","","16","","91","1160013",""
"1","","1160017","","01_uek_talk_joy1","","16","","3","105831",""
"10","","1160018","0","妳很有活力呢！\n卯月，我們\n一起加油吧～☆","0","16","","11","105831",""
"","","1160019","","","","16","","93","2.2",""
"0","","1160020","01_uek_16_uduki_loop","01_uek_16_peco","1","16","0.2","3","105831",""
"","","1160021","","","","16","","91","1160018",""
"300","1","1170001","150","102331","10","17","1.3","1","1","03_uek_cmn_idol_def_N"
"100","0","1170002","-100","102131","-15","17","1.3","1","1","03_uek_cmn_idol_def_N"
"20","","1170003","10","3","1.3","17","0","31","3",""
"0","0.2","1170004","03_uek_17_ayane_loop","03_uek_17_ayane","1","17","0.2","3","102331",""
"0","","1170005","03_uek_cmn_idol_def_N","03_uek_cmn_pose05","1","17","0.2","3","102131",""
"","","1170006","","1","","17","","32","3",""
"10","","1170007","0","妳看妳看！\n我用雲做出了\n噗吉哦～！","0","17","","11","102331",""
"","","1170008","","","","17","","91","0",""
"1","","1170009","","03_uek_talk_joy1","","17","0.2","3","102131",""
"10","","1170010","0","哇，好厲害～！\n我也想\n做點什麼呢……♪","0","17","","11","102131",""
"","","1170011","","","","17","","91","0",""
"1","","1170012","","03_uek_cmn_idol_def_N","","17","0.2","3","102131",""
"100","0","1180001","229","112631","45","18","1.3","1","1","01_uek_cmn_idol_def_N"
"110","0","1180002","170","105831","20","18","1.3","1","1","01_uek_cmn_idol_def_N"
"100","0","1180003","-85","105931","-10","18","1.3","1","1","01_uek_cmn_idol_def_N"
"0","","1180004","01_uek_18_mio_loop","01_uek_18_mio","1","18","","3","112631",""
"10","","1180005","0","已經爬了很高呢～\n來看看底下的\n景色吧！","0","18","","11","112631",""
"","","1180006","","","","18","","91","0",""
"0","","1180007","01_uek_18_mio_loop","01_uek_18_mio","1","18","","3","105831",""
"10","","1180008","0","是啊！\n嗯，我看看…\n唔，哇哇哇哇！","0","18","","11","105831",""
"","","1180009","","","","18","","93","3",""
"5","","1180010","2","170","1","18","","2","105831",""
"","","1180011","","","","18","","91","1180008",""
"0","","1180012","01_uek_cmn_idol_def_N","01_uek_18_kokkoro","1","18","","3","105931",""
"10","","1180013","0","呵呵，兩位\n嬉嬉鬧鬧的，\n好像很開心呢。","0","18","","11","105931",""
"100","0","1190001","402","101231","110","19","1.3","1","1","02_uek_19_hatsune"
"100","0","1190002","166","103831","30","19","1.3","1","1","02_uek_talk_surprise2"
"1","","1190003","","02_uek_talk_surprise2","0","19","0.2","3","103831",""
"10","","1190004","0","啊！姊姊！\n在這種地方睡著\n很危險的！","0","19","","11","103831",""
"","","1190005","","","","19","","91","0",""
"10","","1190006","0","我好像聽到了\n小栞的聲音……\n呼嚕……☆","0","19","","11","101231",""
"100","0","1200001","-195","105831","-35","20","0.9","1","2","05_idle"
"1000","0","1200002","150","304602","30","20","1.4","1","2","304602_idle"
"150","","1200003","50","17","1","20","1","31","102",""
"150","","1200004","400","18","1","20","1","31","103",""
"110","0","1210001","185","105931","25","21","1.3","1","1","01_uek_21_kokkoro_loop"
"120","0","1210002","65","112531","-5","21","1.3","1","1","01_uek_21_rin_loop"
"100","0","1210003","-140","106031","-35","21","1.3","1","1","01_uek_cmn_idol_def_N"
"10","","1210004","0","風吹得好舒服呢。\n像在溫柔地對我們\n輕聲呢喃一樣。","0","21","","11","105931",""
"","","1210005","","","","21","","91","0",""
"10","","1210006","0","說不定蒼風有什麼話\n想對向上邁進的\n我們說呢……","0","21","","11","112531",""
"","","1210007","","","","21","","91","0",""
"0","","1210008","01_uek_cmn_idol_def_N","01_uek_21_kyaru","1","21","","3","106031",""
"10","","1210009","0","……妳們好像\n在奇妙的地方\n同步了呢。","0","21","","11","106031",""
"","","1210010","","","","21","","91","0",""
"100","0","1220001","180","105831","40","22","1.3","1","1","01_uek_cmn_idol_def_N"
"420","","1220002","250","4","1.3","22","1","31","4",""
"1","","1220003","","01_uek_cmn_pose03","","22","0.2","3","105831",""
"10","","1220004","0","像飯糰的雲\n會是什麼味道呢\n……流口水☆","0","22","","11","105831",""
"","","1220005","","","","22","","91","0",""
"100","0","1230001","33","105231","5","23","1.3","1","1","03_uek_cmn_idol_def_N"
"1010","0","1230002","200","102631","40","23","1.3","1","1","03_uek_23_rin"
"100","0","1230003","-110","103331","-25","23","1.3","1","1","03_uek_cmn_idol_def_N"
"220","","1230004","32","5","1","23","1","31","5",""
"1","","1230005","","03_uek_23_rin","","23","0.2","3","102631",""
"10","","1230006","0","這朵雲軟綿綿的\n好舒服～\n好像能睡得很熟～","0","23","","11","102631",""
"","","1230007","","","","23","","91","0",""
"40","","1230008","45","1100","0","23","","2","102631",""
"32","","1230009","45","1120","0","23","","33","5",""
"1","","1230010","","03_uek_cmn_pose04","","23","0.2","3","105231",""
"1","","1230011","","03_uek_talk_surprise2","","23","0.2","3","103331",""
"10","","1230012","0","鈴睡在上面的\n那朵雲飄走了！\n怎、怎麼辦！","0","23","","11","105231",""
"","","1230013","","","","23","","91","0",""
"10","","1230014","0","乾草比這\n更軟的啦！\n快點回來啦！","0","23","","11","103331",""
"","","1230015","","","","23","","91","0",""
"10","0","1240001","-240","105531","-45","24","1.3","1","1","03_uek_24_ayumi"
"1","","1240002","","03_uek_24_ayumi","0","24","","3","105531",""
"10","","1240003","0","啊，\n前輩在那裡，\n盯……………","0","24","","11","105531",""
"100","1","1250001","175","103631","15","25","1.3","1","1","03_uek_cmn_idol_def_N"
"100","0","1250002","-36","100431","-10","25","1.3","1","1","03_uek_cmn_idol_def_N"
"100","0","1250003","-158","102031","-45","25","1.3","1","1","03_uek_cmn_idol_def_N"
"1","","1250004","","03_uek_cmn_pose06","0","25","","3","102031",""
"10","","1250005","0","在天上玩耍\n真的很舒服呢。\n嚕啦啦～♪","0","25","","11","102031",""
"","","1250006","","","","25","","91","0",""
"0","","1250007","03_uek_25_misogi_loop","03_uek_25_misogi","1","25","","3","100431",""
"10","","1250008","0","對啊！鏡華也\n這樣覺得吧？\n……哇！","0","25","","11","100431",""
"1","","1250009","03_uek_25_kyouka_loop","03_uek_25_kyouka","0","25","","3","103631",""
"","","1250010","","","","25","","91","0",""
"10","","1250011","0","慢著，禊！\n掉下去會很危險，\n妳不要嚇我啦！","0","25","","11","103631",""
"","","1250012","","","","25","","91","0",""
"100","0","1270001","-179","104831","-43","27","1.3","1","1","01_uek_cmn_idol_def_N"
"100","0","1270002","0","104631","-14","27","1.3","1","1","01_uek_27_tamaki_loop"
"100","1","1270003","200","103231","24","27","1.3","1","1","01_uek_cmn_idol_def_N"
"10","","1270004","0","呼呼……\n到、到極限了喵……\n我想回去喵……","0","27","","11","104631",""
"","","1270005","","","","27","","91","0",""
"0","","1270006","01_uek_talk_normal","01_uek_cmn_pose02","1","27","","3","104831",""
"10","","1270007","0","步行只要有效率地\n分配體力，\n這點程度不算什麼。","0","27","","11","104831",""
"","","1270008","","","","27","","91","0",""
"1","","1270009","","01_uek_cmn_idol_def_N","0","27","0.3","3","104831",""
"1","","1270010","","01_uek_27_akino_loop","0","27","","3","103231",""
"10","","1270011","0","喔――呵呵呵！\n風景真不錯！\n之後景色真讓人期待","0","27","","11","103231",""
"110","0","1280001","0","102931","-10","28","1.3","1","1","04_uek_cmn_idol_def_N"
"120","0","1280002","-120","104231","-30","28","1.3","1","1","04_uek_cmn_idol_def_N"
"100","0","1280003","120","105431","10","28","1.3","1","1","04_uek_cmn_idol_def_N"
"35","","1280004","10","6","1.3","28","0","31","6",""
"-85","","1280005","-10","9","1.3","28","0","31","6",""
"155","","1280006","30","10","1.3","28","0","31","6",""
"1","","1280007","","04_uek_28_nozomi","","28","0.2","3","102931",""
"1","","1280008","","04_uek_28_chika","","28","0.2","3","104231",""
"1","","1280009","","04_uek_28_tsumugi","","28","0.2","3","105431",""
"","","1280010","","1","","28","","32","6",""
"","","1280011","","1","","28","","32","9",""
"","","1280012","","1","","28","","32","10",""
"10","","1280013","0","就算在天空上\n慈樂之音也要…\n站上舞台！","0","28","","11","102931",""
"","","1280014","","","","28","","91","0",""
"10","","1280015","0","風吹得真舒服……！\n精靈們好像\n也很開心！","0","28","","11","104231",""
"","","1280016","","","","28","","91","0",""
"10","","1280017","0","太棒了呢！\n就一路嗨到\n安可吧！","0","28","","11","105431",""
"","","1280018","","","","28","","91","0",""
"100","0","1290001","-40","101531","-10","29","1.3","1","1","03_uek_cmn_idol_def_N"
"100","1","1290002","95","101831","10","29","1.3","1","1","03_uek_cmn_idol_def_N"
"1","","1290003","","03_uek_talk_joy1","0","29","","3","101831",""
"10","","1290004","0","真是宜人的地方呢，\n要不要在遠足的時候\n帶學生們來這裡呢？","0","29","","11","101831",""
"","","1290005","","","","29","","91","0",""
"1","","1290006","","03_uek_cmn_idol_def_N","0","29","0.3","3","101831",""
"1","","1290007","","03_uek_talk_joy1","0","29","0.3","3","101531",""
"10","","1290008","0","哎呀哎呀～那還真想\n讓村裡的孩子們\n也一起來呢～","0","29","","11","101531",""
"","","1290009","","","","29","","91","0",""
"1","","1290010","","03_uek_cmn_idol_def_N","0","29","0.3","3","101531",""
"100","0","1300001","-195","105831","-35","30","0.9","1","2","05_idle"
"1000","0","1300002","150","307505","-50","30","1.5","1","2","307505_idle"
"150","","1300003","50","19","1","30","1","31","102",""
"150","","1300004","400","20","1","30","1","31","103",""
"0","","1300005","307505_idle","307505_awake","1","30","0","3","307505",""
"110","0","1310001","140","105831","10","31","1.3","1","1","01_uek_cmn_idol_def_N"
"110","0","1310002","20","105931","0","31","1.3","1","1","01_uek_cmn_idol_def_N"
"110","0","1310003","-200","106031","-55","31","1.3","1","1","01_uek_26_kyaru_loop"
"","","1310004","","","","31","","93","1",""
"","","1310005","","1","","31","","4","105831",""
"1","","1310006","","01_uek_cmn_pose04","","31","0","3","105831",""
"10","","1310007","","妳們快看！\n是星星的世界！\n好棒的景色呢☆","","31","","11","105831",""
"","","1310008","","","","31","","93","2.3",""
"0","","1310009","","01_uek_cmn_idol_def_N","0","31","0.2","3","105831",""
"","","1310010","","","","31","","91","1310007",""
"1","","1310011","","01_uek_cmn_idol_def_N","0","31","0.2","3","105831",""
"1","","1310012","","01_uek_talk_normal","","31","","3","105931",""
"10","","1310013","","真的是\n很棒的地方呢，\n我們好好享受吧。","","31","","11","105931",""
"","","1310014","","","","31","","91","0",""
"1","","1310015","","01_uek_cmn_idol_def_N","","31","0.2","3","105931",""
"10","","1310016","","妳們也太冷靜了吧！\n這一切都\n太奇怪了吧……！","","31","","11","106031",""
"100","1","1320001","255","104531","91","32","1.3","1","1","02_uek_32_kuka_loop"
"100","0","1320002","-97","105331","-29","32","1.3","1","1","02_uek_cmn_idol_def_N"
"100","0","1320003","50","103031","0","32","1.3","1","1","02_uek_cmn_idol_def_N"
"0","","1320004","","02_uek_32_kuka","0","32","0.5","3","104531",""
"0","","1320005","02_uek_talk_surprise2","02_uek_cmn_shock_def_N","1","32","0.5","3","105331",""
"0","","1320006","02_uek_talk_surprise2","02_uek_cmn_shock_def_N","1","32","0.5","3","103031",""
"","","1320007","","","","32","","91","0",""
"1","","1320008","","02_uek_talk_surprise2","0","32","0.5","3","103031",""
"10","","1320009","0","好不容易找到的\n空花\n又要飛走了！","0","32","","11","103031",""
"","","1320010","","","","32","","91","0",""
"1","","1320011","","02_uek_talk_surprise2","0","32","0.5","3","105331",""
"10","","1320012","0","她果然\n很開心的樣子！？","0","32","","11","105331",""
"100","1","1330001","0","100831","0","33","1.3","1","1","02_uek_cmn_idol_def_N"
"-120","","1330002","130","7","1.3","33","1","31","7",""
"0","","1330003","02_uek_33_yuki_loop","02_uek_33_yuki","1","33","0.2","3","100831",""
"10","","1330004","0","沐浴在星星的\n光輝之下，讓我\n顯得更加美麗了…","0","33","","11","100831",""
"","","1330005","","","","33","","91","0",""
"110","1","1340001","10","100931","0","34","1.3","1","1","02_uek_cmn_idol_def_N"
"110","1","1340002","180","101331","10","34","1.3","1","1","02_uek_cmn_idol_def_N"
"","","1340003","","","","34","","93","1",""
"1","0.2","1340004","02_uek_cmn_idol_def_N","02_uek_cmn_pose01","1","34","0.2","3","101331",""
"10","","1340005","0","來到宇宙啦！\n人家超嗨\n爆嗨的啦！","0","34","","11","101331",""
"","","1340006","","","","34","","91","0",""
"0","0","1340007","02_uek_34_anna_loop","02_uek_34_anna","1","34","0.2","3","100931",""
"10","","1340008","0","呵呵呵……我強烈地\n感受到星星之力了！\n覺醒的時刻近了…！","0","34","","11","100931",""
"100","1","1350001","-200","100231","-60","35","1.3","1","1","01_uek_cmn_idol_def_N"
"100","1","1350002","0","100331","10","35","1.3","1","1","01_uek_cmn_idol_def_N"
"100","1","1350003","200","100131","20","35","1.3","1","1","01_uek_cmn_idol_def_N"
"0","","1350004","270","8","1","35","1","31","8",""
"0","0.2","1350005","01_uek_35_yui_loop","01_uek_35_yui","1","35","0.2","3","100231",""
"0","0.2","1350006","01_uek_35_rei_loop","01_uek_35_rei","1","35","0.2","3","100331",""
"1","","1350007","","01_uek_cmn_pose03","","35","0.2","3","100131",""
"10","","1350008","0","快看，是流星…！\n大家一起\n許願吧！","0","35","","11","100231",""
"","","1350009","","","","35","","91","0",""
"10","","1350010","0","嗯，是呀。\n這個情境\n很適合我們呢。","0","35","","11","100331",""
"","","1350011","","","","35","","91","0",""
"10","","1350012","0","贊成！\n那麼我要許……\n嗯、嗯……！","0","35","","11","100131",""
"","","1350013","","","","35","","91","0",""
"110","0","1360001","105","102531","5","36","1.3","1","1","03_uek_cmn_idol_def_N"
