6ffd5043ebd1890a4aecdcc8dc6af9070a63264792f0eb407fac0881b793d91a,fcbc311d30a300d0f53e2ad432b2843c783feef8f9a2b557b6c11373c450484c,5e8b2f77bf0aa53a3f15b7ef5c555464a2559d169118129b4cfe76886b14d380,0d230db5928b410db6ef902f28d489a49d85a9a3f3422ef0d833eb47fafdb41c,032de4d6102acca49106ec811c11e773318eb17ccf25089dc4eac9bfe7ab4b74,2f1d70f1fc899dcf402d92a4fc9fe274b9ed9c6da43636e367fd4f15ecabefc4,5b31e9c598f86f5043d7929e6ad31bf4af1ede5ff40c37553fbbcd62e1b12707,d87ffc7d879cd681a417b958270eb8abf9804f9ae4e0ce02dacaf9472ab27db5,7fbad3549a4f38b5806448c706f7ee4614b7080c34395de66b1abfebd888a4d5,09f960a1dec3810e020394981291f885e4187a0e37d67e52fa68a4b017d24f0d,58dc26dbaf4f1a51ca3daa22e51f7cd873914810c301edd2c04af68a9a2cb412,b84b5fad410bfd8473fd3d3e735256b8d53ff799d108a1e9d348f52ae488513f,4839b7ff389ff730b659b7daee127fc244611d7935964b8526700e644e0762a1,c3612a8930c2083bfff4ad3b87a8162e3f6392ae753e6bccf0d4c36603bba76c
"歡迎光臨\n用巡遊幣在這裡進行交換吧","2002","0","1","10011","2024/04/16 16:00:00","1","涅妃‧涅羅","1","-470","3","0","2024/07/23 15:59:59","129701"
"話說回來，\n要花多少錢才能買到你呢？\n──呵呵，開玩笑的","2002","0","2","10012","2024/04/16 16:00:00","2","涅妃‧涅羅","1","-470","3","6.2","2024/07/23 15:59:59","129701"
"歡、歡迎光臨！\n……唔……本小姐\n竟然要顧店……真是屈辱。","2002","0","3","10013","2024/07/16 16:00:00","1","華音","5","-470","4","3.1","2024/10/23 15:59:59","130301"
"哎呀，你需要我嗎？\n真遺憾，用那點錢\n……就可以買了嗎！？","2002","0","3","10014","2024/07/16 16:00:00","2","華音","2","-470","4","6.15","2024/10/23 15:59:59","130301"
"歡迎光臨～♪\n聽說可以交換\n巡遊幣──？","2002","0","2","10015","2024/07/16 16:00:00","1","拿娜","2","-470","4","0","2024/10/23 15:59:59","130401"
"要是給我甜食，\n就給你拿娜撿到的\n松果作為謝禮喔！","2002","0","2","10016","2024/07/16 16:00:00","2","拿娜","1","-470","4","3.35","2024/10/23 15:59:59","130401"
"歡迎光臨本店。\n就由本鳳凰\n為大家獻上祝福吧。","2002","0","1","10017","2024/10/16 16:00:00","1","鳳凰","1","-470","5","0","2025/01/23 15:59:59","130502"
"我可沒有對外販售\n喊小鳳的權利哦？\n這是騎士先生的特別待遇！","2002","0","2","10018","2024/10/16 16:00:00","2","鳳凰","1","-470","5","3.18","2025/01/23 15:59:59","130502"
"唔啊啊啊！\n又變成這副模樣了！\n拜託捐贈點什麼吧～！","2002","0","4","10019","2024/10/16 16:00:00","3","鳳凰","4","-470","5","0","2025/01/23 15:59:59","130503"
"你好～♪\n什麼都可以交換～\n小卡里莎除外。","2002","0","1","10020","2024/10/16 16:00:00","1","涅婭","2","-470","5","4.9","2025/01/23 15:59:59","123301"
"順便問一下，\n小騎士要多少盧幣呀？\n說‧真‧的♡","2002","0","1","10021","2024/10/16 16:00:00","2","涅婭","2","-470","5","4.8","2025/01/23 15:59:59","123301"
"哼，為什麼我得當\n店員……別過來，黃的，\n我可不是商品啊！","2002","0","3","10022","2025/01/16 16:00:00","1","卡里莎","1","-470","6","4.922","2025/04/24 15:59:59","133301"
"一、一定要說不可嗎？\n「……歡迎光臨……」\n可惡，不准笑！","2002","0","3","10023","2025/01/16 16:00:00","2","卡里莎","5","-470","6","9.638","2025/04/24 15:59:59","133301"
"歡迎光臨商店～\n就由有如涅羅殿下之心腹的\n我來擔任店員～","2002","0","1","10024","2025/01/16 16:00:00","1","米亞","2","-470","6","2.88","2025/04/24 15:59:59","133401"
"我蛻下的空殼\n會有人想要嗎～\n我是在說笑的啦！","2002","0","5","10025","2025/01/16 16:00:00","2","米亞","1","-470","6","4.818","2025/04/24 15:59:59","133401"
"歡迎光臨。\n好啦騎士氏。你想要什麼東西\n當下地獄的伴手禮呢？","2002","0","2","10026","2025/04/17 16:00:00","1","格蕾斯","1","-470","7","1.78","2025/07/23 15:59:59","133002"
"每次購買商品時，\n都會給你小格蕾點數。\n我開玩笑的啦。","2002","0","1","10027","2025/04/17 16:00:00","2","格蕾斯","7","-470","7","6.15","2025/07/23 15:59:59","133002"
"歡迎光臨。\n……接待客人\n是像這樣子做就可以了嗎？","2002","0","6","10028","2025/04/17 16:00:00","1","薇歐莉特","2","-470","7","4.28","2025/07/23 15:59:59","133102"
"因為這裡沒有\n潮濕的商品，\n所以請放心選購。","2002","0","1","10029","2025/04/17 16:00:00","2","薇歐莉特","1","-470","7","0","2025/07/23 15:59:59","133102"
