0632804e8781182884a98645183aab9a98262e57ffa95069a6d0ab060c52c7c3,3858a5e28dbdffe1a32d211fc8ed054f4ef30c24bac78e117f5dfd3c9672ddf7,82e56872ba118e77b6548b1b33f1311ab76f32aa3f46420422ff5d08f3278af6,4e68061fb046a7b7cb4c7fcc8dadb42c3110d580284f86d07ed24078217da2c7,c6f01b345898e15b4acb97e0347588495bc02f93493c08915673b8469c2faebf,576da4bcd14bb2d54a2530a0bbccab726b9a4b4b635ee07893b57382bae3437e
"134301","2","0","501202","可可蘿的故鄉_夜晚","蘭法（祭服）"
"134401","2","0","501220","可可蘿的故鄉_神廟裡_白天","千歌（祭服）"
"134501","4","0","501670","吉歐‧提格尼亞_街道_白天","克蘿茜（航空）"
"134601","2","0","500140","普拉諾平原","碧（駕駛員）"
"134701","2","0","502080","吉歐‧格黑納_平原_白天","鳳凰"
"134801","4","0","502070","吉歐‧格黑納_叢林_白天","紡希（吉歐‧格黑納）"
"134901","4","0","502110","吉歐‧格黑納_鬼岩要塞_居住區_白天","華音"
"135001","2","0","501030","祈願海岸","厄莉絲（夏日）"
"135101","2","0","501030","祈願海岸","雪菲（夏日）"
"135201","2","0","500690","海邊的店_白天","普蕾西亞（夏日）"
"135301","4","0","501030","祈願海岸","可璃亞（夏日）"
"135401","2","0","501030","祈願海岸","安涅默涅（夏日）"
"135501","2","0","502650","薩拉薩利亞_中央大馬路_白天","埃拉"
"135601","2","0","502630","東國_城鎮_大馬路_白天","志那都"
"135701","4","0","502520","薩拉薩利亞_中央廣場_白天","日和（薩拉薩利亞）"
"135801","4","0","502420","吉歐‧尼布爾黑爾_久遠冰河","雪野"
"135901","2","0","502640","吉歐‧尼布爾黑爾_夜叉山巔_鬼族村莊","剎鬼"
"136001","2","0","502080","吉歐‧格黑納_平原_白天","阿剌克涅"
"136101","4","0","500030","蘭德索爾 鬧區","櫻"
"136201","4","0","502110","吉歐‧格黑納_鬼岩要塞_居住區_白天","拿娜"
"136301","4","0","500945","蘭德索爾_貴族街_聖誕節_夜晚","美空（聖誕節）"
"136401","2","0","500036","蘭德索爾_鬧區_聖誕節_白天","優衣（聖誕節）"
"136501","2","0","502630","東國_城鎮_大馬路_白天","靜流（新年）"
"136901","4","0","502830","吉歐‧尼布爾黑爾_深邃庭園_胞子森林","璐璐伊"
"137101","4","0","501030","祈願海岸","妮諾（夏日）"
"137401","2","0","501990","魔族的城鎮_儀式場_中午","霞（修女）"
"137601","20","0","501202","可可蘿的故鄉_夜晚","可可蘿（嚮導幼君）"
"137901","2","0","502630","東國_城鎮_大馬路_白天","璃乃（新年）"
"138001","4","0","502460","吉歐‧尼布爾黑爾_巨鯨城_大廳","薇歐莉特（黃泉鯨命）"
"138101","4","0","501720","吉歐‧提格尼亞_帕菲之城_王座之廳_白天","萊拉耶爾（完美帕菲）"
"138201","2","0","502170","吉歐‧格黑納_鬼岩城塞_王座之廳_白天","涅妃‧涅羅（鬼面佛心）"
"138301","2","0","500100","蘭德索爾王城_王座之廳","貪吃佩可（阿斯特賴亞）"
"138701","4","0","502220","墨丘利度假村_泳池區域_白天","若菜（冬日）"
"138801","20","0","502220","墨丘利度假村_泳池區域_白天","栞（冬日）"
"138901","4","0","500190","精靈之森","格蕾斯（兔女郎）"
"139001","4","0","502460","吉歐‧尼布爾黑爾_巨鯨城_大廳","鏡華（哥德）"
"139101","2","0","500140","普拉諾平原","凱留（霸瞳天星）"
"139201","2","0","500140","普拉諾平原","美穗（少戰）"
"139301","2","0","501430","珊托魯斯_街坊","真穗（少戰）"
"139401","2","0","501200","可可蘿的故鄉_白天","艾麗卡（少戰）"
"180101","2","0","500130","埃斯特雷拉街道","日和（公主）"
"180201","4","0","500130","埃斯特雷拉街道","優衣（公主）"
"180301","3","0","500130","埃斯特雷拉街道","怜（公主）"
"180401","4","0","500130","埃斯特雷拉街道","貪吃佩可（公主）"
"180501","2","0","500130","埃斯特雷拉街道","可可蘿（公主）"
"180601","18","0","500130","埃斯特雷拉街道","凱留（公主）"
"180701","2","0","501370","瀑布潭_白天","初音＆栞"
"180801","2","0","500194","精靈之森_祕密基地","禊＆美美＆鏡華"
"180901","2","0","500140","普拉諾平原","秋乃＆咲戀"
"181001","2","0","500213","山腰_白天","安＆古蕾婭"
"181101","2","0","500010","蘭德索爾 市中心_白天","靜流＆璃乃"
"181201","2","0","500130","埃斯特雷拉街道","雪菲（公主）"
