d6647cbeb2c916a4fb1348db3d45ed78b0bc56d717547631cc5c82b52c9b218c,c08a915fbe64027e3e74ae022c19a1843f3821877c161dece7f188f8196f9c25,beef00883481d2f5ef14edb5321510e46d81e647759f25494dd0a54bd15a32e7,77694746595a6f5991f3ad70973de4ed0c16a8f6f54b5b698463ff558193caf6,1a97f96ba8bdee4f100cbeefb37d688dc4b72314c3f6caff1af367ae27b55606,0eea78e2b1cabfd7c1b70f8edec38a073928959da211b67b64f925a6a0346710,c6026e01d261bd7b55158d2a7aaaaf16e1b270df41315f35112676c75e389784
"13","bgm_M139","大胃王","bgm_M139_juke","戰隊競賽\n\n時間 / 01:07\n作曲 / 江原大介\n編曲 / 江原大介","01:07","00:00"
"14","bgm_M135","不給布丁就搗蛋！約定的萬聖節派對","bgm_M135_juke","故事劇情主題曲\n-「還要！兩人的派～對～夜～」編曲-\n\n時間 / 01:01\n作曲 / TAKT\n編曲 / 西村真吾","01:01","00:00"
"15","bgm_M138","傑克南瓜布丁","bgm_M138_juke","故事劇情頭目戰\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:26","00:00"
"16","bgm_M161","還要！兩人的派～對～夜～","bgm_M161","角色歌曲\n\n時間 / 01:21\n演唱　 / 忍（大坪由佳）\n　　　宮子（雨宮天）\n作詞 / 亀井博之（Cygames）\n作曲 / TAKT\n編曲 / TAKT","01:21","00:46"
"17","bgm_M140","閃耀的冰晶","bgm_M140_juke","主線冒險\n\n時間 / 01:31\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:31","00:00"
"18","bgm_M150","Shining Future","bgm_M150","角色歌曲\n\n時間 / 02:01\n演唱　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戸衣吹）\n作詞 / 莊野ジュリ\n作曲 / 武田城以\n編曲 / TAKT","02:01","01:00"
"19","bgm_M143","向風起誓","bgm_M143","角色歌曲\n\n時間 / 01:31\n演唱　 / 千歌（福原綾香）\n作詞 / 野村イクミ\n作曲 / 內海孝彰\n編曲 / 內海孝彰","01:31","00:37"
"20","bgm_M144","因為想看到你的笑容","bgm_M144","角色歌曲\n\n時間 / 01:47\n演唱　 / 望（日笠陽子）\n作詞 / Manami\n作曲 / 內海孝彰\n編曲 / 岡野裕次郎","01:47","00:54"
"21","bgm_M148","無法坦率的心！","bgm_M148","角色歌曲\n\n時間 / 01:34\n演唱　 / 紡希（木戸衣吹）\n作詞 / 磯谷佳江\n作曲 / 磯谷佳江\n編曲 / 內海孝彰","01:34","00:48"
"22","bgm_M42","向詭譎氣氛挺身而出的鬥志","bgm_M42_juke","主線冒險\n\n時間 / 01:46\n作曲 / 本田晃弘（Cygames）\n編曲 / 岡出莉菜","01:46","00:00"
"23","bgm_M104","野豬雙胞胎","bgm_M104_juke","戰隊競賽\n\n時間 / 01:07\n作曲 / 西木康智\n編曲 / 西木康智","01:07","00:00"
"24","bgm_M106","吸血鬼獵人with伊莉亞","bgm_M106_juke","故事劇情主題曲\n-「Peaceful*沖繩雜炒」編曲-\n\n時間 / 00:54\n作曲 / 小野貴光\n編曲 / 東大路憲太","00:54","00:00"
"25","bgm_M109","加爾格","bgm_M109_juke","故事劇情頭目戰\n\n時間 / 03:18\n作曲 / 東大路憲太\n編曲 / 東大路憲太","03:18","00:00"
"26","bgm_M151","Peaceful*沖繩雜炒","bgm_M151","角色歌曲\n\n時間 / 01:30\n演唱　 / 真步（内田真礼）\n　　　香織（高森奈津美）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","01:30","00:44"
"27","bgm_M166","天蠍毒者","bgm_M166_juke","戰隊競賽\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:12","00:00"
"28","bgm_M162","暮光破壞者","bgm_M162_juke","故事劇情主題曲\n-「最強對吧，對吧？」編曲-\n\n時間 / 01:30\n作曲 / Heart's Cry\n編曲 / 多田彰文","01:30","00:00"
"29","bgm_M165","奧拉姆","bgm_M165_juke","故事劇情頭目戰\n\n時間 / 02:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:02","00:00"
"30","bgm_M176","最強對吧，對吧？","bgm_M176","角色歌曲\n\n時間 / 01:22\n演唱　 / 杏奈（髙野麻美）\n　　　七七香（佳村はるか）\n作詞 / Heart's Cry\n作曲 / Heart's Cry\n編曲 / Heart's Cry","01:22","00:42"
"31","bgm_M141","冰海之地","bgm_M141_juke","主線冒險\n\n時間 / 02:05\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:05","00:00"
"32","bgm_M58","冰天雪地","bgm_M58_juke","主線冒險\n\n時間 / 01:08\n作曲 / 西村真吾\n編曲 / 西村真吾","01:08","00:00"
"33","bgm_M101","涼爽的風","bgm_M101_juke","主線冒險\n\n時間 / 01:05\n作曲 / 加藤慶\n編曲 / 加藤慶","01:05","00:00"
"34","bgm_M115","加爾基諾司","bgm_M115_juke","戰隊競賽\n\n時間 / 01:02\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","01:02","00:00"
"35","bgm_M112","危險的假期海岸邊的美食家公主","bgm_M112_juke","故事劇情主題曲\n-「充滿笑容的家」編曲-\n\n時間 / 01:05\n作曲 / Lucas\n編曲 / 西村真吾","01:05","00:00"
"36","bgm_M116","天塔帕斯","bgm_M116_juke","故事劇情頭目戰\n\n時間 / 02:10\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:10","00:00"
"37","bgm_M147","充滿笑容的家","bgm_M147","角色歌曲\n\n時間 / 01:40\n演唱　 / 咲戀（堀江由衣）\n　　　鈴莓（悠木碧）\n作詞 / Mitsu\n作曲 / Lucas\n編曲 / Lucas","01:40","01:00"
"38","bgm_M175","人馬座","bgm_M175_juke","戰隊競賽\n\n時間 / 00:45\n作曲 / 庄司真吾（Cygames）\n編曲 / 庄司真吾（Cygames）","00:45","00:00"
"39","bgm_M171","忘却的頌歌","bgm_M171_juke","故事劇情主題曲\n-「Ding Dong Holy Night♪」編曲-\n\n時間 / 00:55\n作曲 / 馬淵直純\n編曲 / 中村早織（Cygames）","00:55","00:00"
"40","bgm_M172","霧奇","bgm_M172_juke","故事劇情頭目戰\n\n時間 / 02:57\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:57","00:00"
"41","bgm_M187","Ding Dong Holy Night♪","bgm_M187","角色歌曲\n\n時間 / 01:28\n演唱　 / 綾音（芹澤優）\n　　　胡桃（植田佳奈）\n作詞 / 磯谷佳江\n作曲 / 馬淵直純\n編曲 / 馬淵直純","01:28","00:42"
"42","bgm_M93","險峻枯原","bgm_M93_juke","主線冒險\n\n時間 / 00:57\n作曲 / 多田彰文\n編曲 / 多田彰文","00:57","00:00"
"43","bgm_M119","奧爾獅","bgm_M119_juke","戰隊競賽\n\n時間 / 01:06\n作曲 / 庄司真吾（Cygames）\n編曲 / 西村真吾","01:06","00:00"
"44","bgm_M121","珠希和美冬的無人島0盧幣生活","bgm_M121_juke","故事劇情主題曲\n-「閃亮亮☆Happiness！」編曲-\n\n時間 / 01:10\n作曲 / 齊藤裕也\n編曲 / 西村真吾","01:10","00:00"
"45","bgm_M124","島鯨","bgm_M124_juke","故事劇情頭目戰\n\n時間 / 02:35\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:35","00:00"
"46","bgm_M146","閃亮亮☆Happiness！","bgm_M146","角色歌曲\n\n時間 / 01:20\n演唱　 / 珠希（沼倉愛美）\n　　　美冬（田所あずさ）\n　　　秋乃（松嵜麗）\n　　　優花梨（今井麻美）\n作詞 / joru\n作曲 / 齊藤裕也\n編曲 / 齊藤裕也","01:20","00:42"
"47","bgm_M179","新的出航","bgm_M179_juke","主線冒險\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:20","00:00"
"48","bgm_M181","阿爾珈提","bgm_M181_juke","戰隊競賽\n\n時間 / 00:58\n作曲 / 加藤慶\n編曲 / 加藤慶","00:58","00:00"
"49","bgm_M182","新春破曉之星大危機！","bgm_M182_juke","故事劇情主題曲\n-「TwinkleStars」編曲-\n\n時間 / 00:58\n作曲 / 石濱翔（MONACA）\n編曲 / 東大路憲太","00:58","00:00"
"50","bgm_M183","邪餅神鏡餅","bgm_M183_juke","故事劇情頭目戰\n\n時間 / 02:32\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:32","00:00"
"51","bgm_M202","TwinkleStars","bgm_M202","角色歌曲\n\n時間 / 01:24\n演唱　 / 優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n作詞 / 野村イクミ（Cygames）\n作曲 / 石濱翔（MONACA）\n編曲 / 石濱翔（MONACA）","01:24","00:45"
"52","bgm_M94","酷熱沙漠","bgm_M94_juke","主線冒險\n\n時間 / 01:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:26","00:00"
"53","bgm_M132","美杜莎","bgm_M132_juke","戰隊競賽\n\n時間 / 01:25\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:25","00:00"
"54","bgm_M128","黑鐵的亡靈（Nightmare）","bgm_M128_juke","故事劇情主題曲\n-｢Aloofness Code｣編曲-\n\n時間 / 01:29\n作曲 / 小野貴光\n編曲 / 多田彰文","01:29","00:00"
"55","bgm_M131","亡靈鎧甲","bgm_M131_juke","故事劇情頭目戰\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:28","00:00"
"56","bgm_M154","Aloofness Code","bgm_M154","角色歌曲\n\n時間 / 01:20\n歌　 / 純（川澄綾子）\n　　　克莉絲提娜（たかはし智秋）\n　　　智（茅原実里）\n　　　茉莉（下田麻美）\n作詞 / a*mu\n作曲 / 小野貴光\n編曲 / 玉木千尋","01:20","00:46"
"57","bgm_M214","Absolute Secret","bgm_M214","角色歌曲\n\n時間 / 01:13\n歌　 / 凱留（立花理香）\n作詞 / corochi（Cygames）\n作曲 / 馬淵直純\n編曲 / 馬淵直純","01:13","00:44"
"58","bgm_M186","水之里歐斯","bgm_M186_juke","戰隊競賽\n\n時間 / 01:00\n作曲 / 加藤慶\n編曲 / 加藤慶","01:00","00:00"
"59","bgm_M189","情人節之戰！正中紅心的甜蜜戰鬥","bgm_M189_juke","故事劇情主題曲\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 01:02\n作曲 / 山崎真吾\n編曲 / 藤原宏惠","01:02","00:00"
"60","bgm_M192","醜陋可愛","bgm_M192_juke","故事劇情頭目戰\n\n時間 / 02:24\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:24","00:00"
"61","bgm_M200","SUPER CHOCOLATE","bgm_M200","角色歌曲\n\n時間 / 01:15\n歌　 / 靜流（生天目仁美）\n　　　璃乃（阿澄佳奈）\n作詞 / 坂井龍二\n作曲 / 山崎真吾\n編曲 / 山崎真吾","01:15","00:40"
"62","bgm_M118","砂海綠洲","bgm_M118_juke","主線冒險\n\n時間 / 01:07\n作曲 / 石塚玲衣\n編曲 / 石塚玲衣","01:07","00:00"
"63","bgm_M180","不可思議的森林","bgm_M180_juke","主線冒險\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:20","00:00"
"64","bgm_M205","托爾披頓","bgm_M205_juke","戰隊競賽\n\n時間 / 01:00\n作曲 / 中村早織（Cygames）\n編曲 / 中村早織（Cygames）","01:00","00:00"
"65","bgm_M206","王都的名偵探　嘆息的追緝者","bgm_M206_juke","故事劇情主題曲\n-｢未解明的心意｣編曲-\n\n時間 / 00:39\n作曲 / 出口遼\n編曲 / 庄司真吾（Cygames）","00:39","00:00"
"66","bgm_M209","哀嘆之女神","bgm_M209_juke","故事劇情頭目戰\n\n時間 / 02:09\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","02:09","00:00"
"67","bgm_M222","未解明的心意","bgm_M222","角色歌曲\n\n時間 / 01:22\n歌　 / 真琴（小松未可子）\n　　　霞（水瀨いのり）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太","01:22","00:38"
"68","bgm_M219","機械莉瑪來襲！王都毀滅前的倒數","bgm_M219_juke","愚人節活動\n\n時間 / 01:27\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:27","00:00"
"69","bgm_M220","機械莉瑪","bgm_M220_juke","愚人節活動\n\n時間 / 01:38\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:38","00:00"
"70","bgm_M221","機械莉瑪~終焉~","bgm_M221_juke","愚人節活動\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:12","00:00"
"71","bgm_M215","在阿斯特朗盛開的雙輪之花","bgm_M215_juke","故事劇情主題曲\n-｢Crossing Destiny｣編曲-\n\n時間 / 00:55\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","00:55","00:00"
"72","bgm_M218","元核‧巨靈","bgm_M218_juke","故事劇情頭目戰\n\n時間 / 01:45\n作曲 / 中村博\n編曲 / 中村博","01:45","00:00"
"73","bgm_M235","Crossing Destiny","bgm_M235","角色歌曲\n\n時間 / 01:30\n歌　 / 安（日笠陽子）\n　　　古蕾婭（福原綾香）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","01:30","00:54"
"74","bgm_M232","潛入岩峰","bgm_M232_juke","主線冒險\n\n\n\n時間 / 00:55\n作曲 / 西村真吾\n編曲 / 西村真吾","00:55","00:00"
"75","bgm_M223","將軍道中記　白翼的武士","bgm_M223_juke","故事劇情主題曲\n-「白翼的榮耀」編曲-\n\n\n\n時間 / 00:59\n作曲 / 渡部チェル\n編曲 / 中村博","00:59","00:00"
"76","bgm_M226","惡代官","bgm_M226_juke","故事劇情頭目戰\n\n時間 / 01:58\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:58","00:00"
"77","bgm_M236","白翼的榮耀","bgm_M236","角色歌曲\n\n時間 / 01:13\n歌　 / 莫妮卡（辻あゆみ）\n　　　雪（大空直美）\n　　　妮諾（佐藤聡美）\n　　　空花（長妻樹里）\n　　　步未（大関英里）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","01:13","00:42"
"78","bgm_M95","火山山麓","bgm_M95_juke","主線冒險\n\n時間 / 01:20\n作曲 / 伊藤翼\n編曲 / 伊藤翼","1:20","00:00"
"79","bgm_M96","險惡荒地","bgm_M96_juke","主線冒險\n\n時間 / 01:02\n作曲 / 伊藤翼\n編曲 / 伊藤翼","1:02","00:00"
"80","bgm_M231","怠惰的狂人","bgm_M231_juke","故事劇情頭目戰\n\n時間 / 02:33\n作曲 / 松尾早人\n編曲 / 松尾早人","2:33","00:00"
"81","bgm_M233","鼓聲響動的森林","bgm_M233_juke","主線冒險\n\n時間 / 01:08\n作曲 / 東大路憲太\n編曲 / 東大路憲太","1:08","00:00"
"82","bgm_M237","鈴奈的彩虹舞臺！","bgm_M237_juke","故事劇情主題曲\n-｢踮腳尖的First Kiss｣編曲-\n\n時間 / 00:52\n作曲 / 設樂哲也\n\n編曲 / 庄司真吾（Cygames）","0:52","00:00"
"83","bgm_M240","雨神大人","bgm_M240_juke","故事劇情頭目戰\n\n時間 / 02:47\n作曲 / 澤下葵\n編曲 / 東大路憲太","2:47","00:00"
"84","bgm_M252","踮腳尖的First Kiss","bgm_M252","角色歌曲\n\n時間 / 01:19\n演唱　 / 伊緒（伊藤静）\n　　　鈴奈（上坂すみれ）\n　　　美咲（久野美咲）\n作詞 / 野村イクミ&瀧沢和也（Cygames）\n作曲 / 設樂哲也\n\n編曲 / 設樂哲也\n","1:19","00:45"
"85","bgm_M199","哥哥爭奪戰！　幫忙靜流","bgm_M199_juke","小遊戲\n-｢SUPER CHOCOLATE｣編曲-\n\n時間 / 00:31\n作曲 / 山崎真吾\n編曲 / 中村早織（Cygames）","00:31","00:00"
"86","bgm_M198","哥哥爭奪戰！　幫忙惠理子","bgm_M198_juke","小遊戲\n-｢SUPER CHOCOLATE｣編曲-\n\n時間 / 00:34\n作曲 / 山崎真吾\n編曲 / 庄司真吾（Cygames）","00:34","00:00"
"87","bgm_M245","盛夏的真步真步王國　浪花拍岸的靈魂之夏！","bgm_M245_juke","故事劇情主題曲\n-｢We Are Golden｣編曲-\n\n時間 / 00:57\n作曲 / TAKU INOUE\n編曲 / 伊禮完（Cygames）","00:57","00:00"
"88","bgm_M248","奄美魔物","bgm_M248_juke","故事劇情頭目戰\n\n時間 / 02:03\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:03","00:00"
"89","bgm_M263","We Are Golden","bgm_M263","角色歌曲\n\n時間 / 01:18\n演唱　 / 真步（内田真礼）\n　　　真琴（小松未可子）\n　　　香織（高森奈津美）\n作詞 / MCTC\n作曲 / TAKU INOUE\n編曲 / TAKU INOUE","01:18","00:44"
"90","bgm_M227","空花大迴轉","bgm_M227_juke","小遊戲\n-｢白翼的榮耀｣編曲-\n\n時間 / 00:30\n作曲 / 渡部チェル\n編曲 / 中村早織（Cygames）","0:30","0:00"
"91","bgm_M254","森林的膽小鬼與神聖學院的問題兒童","bgm_M254_juke","故事劇情主題曲\n-｢好朋友新感覺｣編曲-\n\n時間 / 00:57\n作曲 / 大久保薰\n編曲 / 中村早織（Cygames）","0:57","0:00"
"92","bgm_M257","劇毒曼德拉草","bgm_M257_juke","故事劇情頭目戰\n\n時間 / 02:45\n作曲 / 澤下葵\n編曲 / 東大路憲太","2:45","0:00"
"93","bgm_M272","好朋友新感覺","bgm_M272","角色歌曲\n\n時間 / 01:20\n歌　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種﨑敦美）\n　　　優妮（小原好美）\n作詞 / 磯谷佳江\n作曲 / 大久保薰\n編曲 / 大久保薰","01:20","00:47"
"94","bgm_M260","跨越危險之根","bgm_M260_juke","主線冒險\n\n時間 / 01:00\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","1:00","0:00"
"95","bgm_M249","香織的靈魂式空手道場","bgm_M249_juke","小遊戲\n-｢We Are Golden｣編曲-\n\n時間 / 00:34\n作曲 / TAKU INOUE\n編曲 / 中村早織（Cygames）","0:34","0:00"
"96","bgm_M265","小小勇敢的萬聖節之夜！","bgm_M265_juke","故事劇情主題曲\n-｢惡作劇狂熱｣編曲-\n\n時間 / 00:52\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","0:52","0:00"
"97","bgm_M268","幻影男爵","bgm_M268_juke","故事劇情頭目戰\n\n時間 / 02:50\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","2:50","0:00"
"98","bgm_M280","惡作劇狂熱","bgm_M280","角色歌曲\n\n時間 / 01:24\n演唱　 / 鏡華（小倉唯）\n　　　禊（諸星すみれ）\n　　　美美（日高里菜）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","1:24","0:46"
"99","bgm_M278","泥濘森林的前方","bgm_M278_juke","主線冒險\n\n時間 / 01:14\n作曲 / 東大路憲太\n編曲 / 東大路憲太","1:14","0:00"
"100","bgm_M277","大激戰！龍人們的接龍競賽","bgm_M277_juke","小遊戲\n-｢in flames｣編曲-\n\n時間 / 00:48\n作曲 / R・O・N\n編曲 / 東大路憲太","0:48","0:00"
"101","bgm_M273","龍的探索者們","bgm_M273_juke","故事劇情主題曲\n-｢in flames｣編曲-\n\n時間 / 01:07\n作曲 / R・O・N\n編曲 / 東大路憲太","1:07","0:00"
"102","bgm_M276","似龍生物","bgm_M276_juke","故事劇情頭目戰\n\n時間 / 02:29\n作曲 / 澤下葵\n編曲 / 東大路憲太","2:29","0:00"
"103","bgm_M291","in flames","bgm_M291","角色歌曲\n\n時間 / 01:28\n歌　 / 祈梨（藤田茜）\n　　　嘉夜（小市眞琴）\n　　　帆稀（大西沙織）\n作詞 / eNu\n作曲 / R・O・N\n編曲 / R・O・N","1:28","0:56"
"104","bgm_M259","獲得全新力量的試煉","bgm_M259_juke","解放冒險\n\n時間 / 01:13\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","1:13","0:00"
"105","bgm_M281","禮物大恐慌！　蘭德索爾的聖誕老人們","bgm_M281_juke","故事劇情主題曲\n-｢Call Me Darling！｣編曲\n\n時間 / 00:58\n作曲 / 池田健仁(Cygames)\n編曲 / 中村早織(Cygames)","0:58","0:00"
"106","bgm_M284","復仇者馴鹿","bgm_M284_juke","故事劇情頭目戰\n\n時間 / 01:48\n作曲 / 伊禮完(Cygames)\n編曲 / 伊禮完(Cygames)","1:48","0:00"
"107","bgm_M285","Call Me Darling！","bgm_M285","角色歌曲\n\n時間 / 01:30\n歌　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戸衣吹）\n作詞 / 野村イクミ(Cygames)\n作曲 / 池田健仁(Cygames)\n編曲 / 池田健仁(Cygames)","1:30","0:54"
"108","bgm_M300","王都終末決戰","bgm_M300_juke","王都終末決戰\n\n時間 / 01:45\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","1:45","0:00"
"109","bgm_M301","與侍奉皇帝之徒的戰鬥","bgm_M301_juke","王都終末決戰Boss戰\n\n時間 / 02:15\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","2:15","0:00"
"110","bgm_M299","與神的決戰","bgm_M299_juke","王都終末決戰Boss戰\n-｢Lost Princess｣「真正的皇帝」編曲-\n\n時間 / 02:45\n作曲 / 田中公平、西木康智\n編曲 / 東大路憲太","2:45","0:00"
"111","bgm_M294","狂奔！　蘭德索爾的公會競速賽","bgm_M294_juke","故事劇情主題曲\n-｢SAI＊KOU起跑衝刺｣編曲-\n\n時間 / 01:08\n作曲 / 奧井康介\n編曲 / 伊禮完（Cygames）","1:08","0:00"
"112","bgm_M297","山神大人","bgm_M297_juke","故事劇情Boss戰\n\n時間 / 02:00\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","2:00","0:00"
"113","bgm_M327","SAI＊KOU起跑衝刺","bgm_M327","角色歌曲\n\n時間 / 01:25\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　凱留（立花理香）\n　　　可可蘿（伊藤美来）\n　　　鈴莓（悠木碧）\n作詞 / KOCHO\n作曲 / 奧井康介\n編曲 / 奧井康介","1:25","1:00"
"114","bgm_M293","遙望著大海","bgm_M293_juke","主線冒險\n\n時間 / 01:25\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","1:25","0:00"
"115","bgm_M316","魔法少女　兩人是Misty&Purely","bgm_M316_juke","故事劇情主題曲\n-｢枝葉流光下的蒙太奇｣編曲-\n\n時間 / 01:06\n作曲 / 渡部チェル\n編曲 / 加藤慶久(Cygames)","1:06","0:00"
"116","bgm_M319","反逆獸","bgm_M319_juke","故事劇情Boss戰\n\n時間 / 01:28\n作曲 / 中村博\n編曲 / 中村博","1:28","0:00"
"117","bgm_M340","枝葉流光下的蒙太奇","bgm_M340","角色歌曲\n\n時間 / 01:32\n演唱　 / 霞（水瀨いのり）\n　　　栞（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","1:32","0:50"
"118","bgm_M330","目標成為偶像！","bgm_M330_juke","故事劇情主題曲\n\n時間 / 00:51\n作曲 / 中村早織(Cygames)\n編曲 / 中村早織(Cygames)","0:51","0:00"
"119","bgm_M333","回憶的足跡","bgm_M333_juke","回憶地圖\n\n時間 / 01:34\n作曲 / 東大路憲太\n編曲 / 東大路憲太","1:34","0:00"
"120","bgm_M57","公主騎士","bgm_M57_juke","主線劇情\n\n時間 / 02:24\n作曲 / 西木康智\n編曲 / 西木康智","2:24","0:00"
"121","bgm_M343","恩賜的財團與神聖學院的問題兒童","bgm_M343_juke","故事劇情主題曲\n-｢青春翻轉家｣アレンジ-\n\n時間 / 01:07\n作曲 / 睦月周平\n編曲 / 澤下葵","1:07","0:00"
"122","bgm_M346","好朋友X","bgm_M346_juke","故事劇情BOSS戰\n\n時間 / 02:43\n作曲 / 加藤慶久（Cygames）\n編曲 / 加藤慶久（Cygames）","2:43","0:00"
"123","bgm_M359","青春翻轉家","bgm_M359","角色歌曲\n\n時間 / 01:20\n演唱　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種﨑敦美）\n　　　優妮（小原好美）\n作詞 / ミズノゲンキ\n作曲 / 睦月周平\n編曲 / 睦月周平","1:20","0:51"
"124","bgm_M339","密林暗處潛伏者","bgm_M339_juke","主線冒險\n\n時間 / 02:00\n作曲 / 加藤慶久（Cygames）\n編曲 / 加藤慶久（Cygames）","2:00","0:00"
