218e5bcced1dfbb944679f44c5d6c7a065d35bd0b10704651673a377a194f482,ae3249ba2d94827394bde54886ba8934e75cceab968b9d5637e3c9796a46a34c,47f6252f6078cff1e514f97098b9b0c9bb6194fe005b3aee3590c9d86ea0822e,982cb83e9d1bab476ad01e5ba88ec5f1604d16826517dfb8e68948a818ab5c55,abc08117cc15eb55630249281b9c488cff1bb13f22aca0e2f64189904dbf1672,dd4fb60a403e2430991b70ec2745665036a1c206054cf7d29579d2f9414501a5,7dbf3a232f88cdc60272bba85312867b8251773af00345e53202cf062ebf4f88
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","111601","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72020021","20020","26"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","112101","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72021021","20021","27"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","112301","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72022021","20022","28"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","113001","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72025021","20025","29"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","113201","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72026021","20026","30"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","113501","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72027021","20027","31"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","114101","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72029021","20029","32"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","114601","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72031021","20031","33"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","114701","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72032021","20032","34"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","115601","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72033021","20033","35"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","115801","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72035021","20035","36"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","116801","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72038021","20038","37"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","117401","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72040021","20040","38"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","117801","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72042021","20042","39"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","119201","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72044021","20044","40"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","120801","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72045021","20045","41"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","121201","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72047021","20047","42"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","122101","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72051021","20051","43"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","122401","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72052021","20052","44"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","122801","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72053021","20053","45"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","123501","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72055021","20055","46"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","124101","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72057021","20057","47"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","124701","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72058021","20058","48"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","124901","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72059021","20059","49"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","125701","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72063021","20063","50"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","126701","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72065021","20065","51"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","127001","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72066021","20066","52"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","128801","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72067021","20067","53"
