563c579ba9d1b23643cfb9236b44b1da6c48cbc920421fa3033566137a221918,21783c7ca8448c6c99343906418f59e480ab3f0a9f4472b0f5c9e8b8764a66fd,b4fa550b0b6045114e92eee76b6a41c6b3ebabb496c81810cf027744de83bc0b,75f0b59ef7bb7ffe9330e09fc7b838e102c7f15fa0e7beda455a93bbe58ebe5e,c2d26c35f853eceefcfd860643921ffb8a43399f99b7dad186029a2160e4efa6,06a64050f13cfd9d9c3da69c90a79819e36b280b9cabdc57bed6c152ab489631,8fda9b6190c1cac7c94a9552a5a88beac7a964f83792fbef5ee66047469c54b9,99f47af46457139d130fdd3e0b65dca3d1eb39b3ff808168c534e1e12727b0f2,1d65522501f7055f4545a7e774bcea9411ad31b8ae03575fd9c3b17489e26f6f,c625e7b29ee60ec54fca93d78f5139821a44c72d1d4af52ac1a4fc0c32a7d9f4,448a48f993a80aa1a2b52712da9d04e59dbc9d9f99989989cd2ce19a09933bc0
"1","5","4006","0","4","0","129811","0.3","11","真要說的話，\n因為我也是個感覺派，\n所以有點不擅長\n教別人東西呢。","0"
"","","4007","","4","","0","","91","",""
"","1","4008","0.2","4","","129811","","3","drama_idle_doya_shy",""
"drama_talk_wish_loop","0","4009","0.2","4","","129911","","3","drama_talk_wish_in","1"
"0","0","4010","","4","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_4_001",""
"1","4","4011","0","4","0","129911","0.5","11","只要彼此互相信賴，\n不用言語也能傳達。\n就像我\n與那位大人一樣……","0"
"","","4012","","4","","0","","91","",""
"","1","4013","0.2","4","","129911","","3","drama_idle_wish",""
"","1","4014","0.2","4","","129811","","3","drama_idle_thinking_shy","0"
"0","0","4015","","4","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_4_002",""
"1","7","4016","0","4","0","129811","0","11","（原來如此，那樣的話\n我也能好好傳達\n給他……呃，我在\n胡思亂想什麼啊～！）","0"
"","","4017","","4","","0","","91","",""
"","1","4018","0.2","4","","129911","","3","drama_idle",""
"","1","4019","0.2","4","","129811","","3","drama_idle",""
"167","100","5001","1.65","5","1","1","drama_idle","1","129811","-224"
"-49","100","5002","1.65","5","0","1","drama_idle","1","129911","-224"
"","1","5003","0.2","5","","129811","","3","drama_idle",""
"","1","5004","0.2","5","","129911","","3","drama_talk_thinking",""
"0","0","5005","","5","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_5_000",""
"1","5","5006","0","5","0","129911","0.8","11","只要透過訓練交出成果\n勳章也會大大\n增添光彩……\n真是太棒了。","0"
"","","5007","","5","","0","","91","",""
"","1","5008","0.2","5","","129911","","3","drama_idle_thinking",""
"drama_talk_wonder_loop","0","5009","0.2","5","","129811","","3","drama_talk_wonder_in","1"
"0","0","5010","","5","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_5_001",""
"1","5","5011","0","5","0","129811","0.3","11","雖然動機不單純，\n但妳作為教官\n果然很優秀呢～\n真不可思議啊。","0"
"","","5012","","5","","0","","91","",""
"","1","5013","0.2","5","","129811","","3","drama_idle_wonder",""
"","1","5014","0.2","5","","129911","","3","drama_talk_memory",""
"0","0","5015","","5","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_5_002",""
"1","4","5016","0","5","0","129911","0.5","11","「不愧是惠理子呢！\n身為伴侶的我\n也感到非常自豪喔」\n這種話……嘻嘻嘻……","0"
"","","5017","","5","","0","","91","",""
"","1","5018","0.2","5","","129811","","3","drama_idle",""
"","1","5019","0.2","5","","129911","","3","drama_idle",""
"167","100","6001","1.65","6","1","1","drama_idle","1","129811","-224"
"-49","100","6002","1.65","6","0","1","drama_idle","1","129911","-224"
"","1","6003","0.2","6","","129911","","3","drama_idle",""
"","1","6004","0.2","6","","129811","","3","drama_talk_thinking_shy",""
"0","0","6005","","6","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_6_000",""
"1","6","6006","0","6","0","129811","0.3","11","要是我也努力完成\n教官的工作，\n那傢伙也會\n感到高興嗎……","0"
"","","6007","","6","","0","","91","",""
"","1","6008","0.2","6","","129811","","3","drama_idle_thinking_shy",""
"drama_talk_doubt_loop","0","6009","0.2","6","","129911","","3","drama_talk_doubt_in","1"
"0","0","6010","","6","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_6_001",""
"1","4","6011","0","6","0","129911","0.8","11","真琴？\n怎麼了嗎？\n我好像感覺到\n一股危險的氣息。","0"
"","","6012","","6","","0","","91","",""
"","1","6013","0.2","6","","129911","","3","drama_idle_doubt",""
"drama_talk_surprise_loop_shy","0","6014","0.2","6","","129811","","3","drama_talk_surprise_in_shy","1"
"0","0","6015","","6","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_6_002",""
"1","7","6016","0","6","0","129811","0.3","11","沒、沒事，沒什麼！\n我才沒在思考\n奇怪的事情！\n重要的是訓練！","0"
"","","6017","","6","","0","","91","",""
"","1","6018","0.2","6","","129911","","3","drama_idle",""
"","1","6019","0.2","6","","129811","","3","drama_idle",""
"167","100","7001","1.65","7","1","1","drama_idle","1","129811","-224"
"-49","100","7002","1.65","7","0","1","drama_idle","1","129911","-224"
"","1","7003","0.2","7","","129811","","3","drama_idle",""
"drama_talk_arm_crossed_loop","0","7004","0.2","7","","129911","","3","drama_talk_arm_crossed_in","1"
"0","0","7005","","7","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_7_000",""
"1","5","7006","0","7","0","129911","0.3","11","我班上的所有人\n看來也依舊勤奮地\n進行訓練呢。\n值得讚賞。","0"
"","","7007","","7","","0","","91","",""
"","1","7008","0.2","7","","129911","","3","drama_idle_arm_crossed",""
"drama_talk_guts2_loop","0","7009","0.2","7","","129811","","3","drama_talk_guts2_in","1"
"0","0","7010","","7","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_7_001",""
"1","5","7011","0","7","0","129811","0","11","惠理子班的急遽成長\n在騎士團中也\n成了話題呢。\n真是群厲害的傢伙。","0"
"","","7012","","7","","0","","91","",""
"","1","7013","0.2","7","","129811","","3","drama_idle_guts2",""
"","1","7014","0.2","7","","129911","","3","drama_talk_thinking",""
"0","0","7015","","7","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_7_002",""
"1","5","7016","0","7","0","129911","0.5","11","正因為他們順從於我，\n努力不懈，\n才有如此有所收穫……\n……得好好感謝他們。","0"
"","","7017","","7","","0","","91","",""
"","1","7018","0.2","7","","129811","","3","drama_idle",""
"","1","7019","0.2","7","","129911","","3","drama_idle",""
"167","100","8001","1.65","8","1","1","drama_idle","1","129811","-224"
"-49","100","8002","1.65","8","0","1","drama_idle","1","129911","-224"
"","1","8003","0.2","8","","129911","","3","drama_idle",""
"drama_talk_doya_loop_smile","0","8004","0.2","8","","129811","","3","drama_talk_doya_in_smile","1"
"0","0","8005","","8","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_8_000",""
"1","6","8006","0","8","0","129811","0.3","11","真琴班的所有人\n似乎也很認真努力。\n我身為教官\n感到非常高興喔。","0"
"","","8007","","8","","0","","91","",""
"","1","8008","0.2","8","","129811","","3","drama_idle_doya_smile",""
"drama_talk_arm_crossed_loop","0","8009","0.2","8","","129911","","3","drama_talk_arm_crossed_in","1"
"0","0","8010","","8","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_8_001",""
"1","4","8011","0","8","0","129911","0.8","11","訓練也順利完成，\n簡直是優等生呢。\n雖然你們的成績\n不如我的班就是了。","0"
"","","8012","","8","","0","","91","",""
"","1","8013","0.2","8","","129911","","3","drama_idle_arm_crossed",""
"","1","8014","0.2","8","","129811","","3","drama_talk_anger",""
"0","0","8015","","8","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_8_002",""
"1","7","8016","0","8","0","129811","0.3","11","唔，被妳這麼一說，\n感覺真不甘心……！\n那麼，我就用這場\n行軍訓練逆轉戰局！","0"
"","","8017","","8","","0","","91","",""
"","1","8018","0.2","8","","129811","","3","drama_idle",""
"","1","8019","0.2","8","","129911","","3","drama_idle",""
"167","100","30001","1.65","30","1","1","drama_idle","1","129811","-224"
"-49","100","30002","1.65","30","0","1","drama_idle","1","129911","-224"
"","1","30003","0.2","30","","129811","","3","drama_idle",""
"","1","30004","0.2","30","","129911","","3","drama_idle",""
"","","30005","","30","","0.5","","93","0",""
"","","30006","","30","","2","","26","",""
"1.2","1.2","30007","3","30","","-80","","121","10","0.9"
"","0","30008","0.2","30","0.2","129911","","3","drama_joy_eriko",""
"","0","30009","","30","","1","","140","1",""
"167","100","31001","1.65","31","1","1","drama_idle","1","129811","-224"
"-49","100","31002","1.65","31","0","1","drama_idle","1","129911","-224"
"","1","31003","0.2","31","","129811","","3","drama_idle",""
"","1","31004","0.2","31","","129911","","3","drama_idle",""
"","","31005","","31","","0.5","","93","0",""
"","","31006","","31","","2","","26","",""
"1.2","1.2","31007","3","31","","-80","","121","10","0.9"
"","0","31008","0.2","31","0.2","129811","","3","drama_joy_makoto",""
"","0","31009","","31","","1","","140","2",""
"320","1","32001","0.28","32","1","0","drama_talk_1","5","1","28"
"228","0","32002","0.28","32","0","0","drama_talk_2","5","2","28"
"45","90","32003","0.26","32","1","0","drama_swing","5","3","64"
"-187","91","32004","0.3","32","0","0","drama_streach","5","4","-23"
"","","32005","","32","","1","","93","0",""
"","0","32006","0.2","32","","1","","3","drama_joy",""
"","0","32007","0.2","32","","2","","3","drama_joy",""
"","0","32008","0.2","32","","3","","3","drama_joy",""
"","0","32009","0.2","32","","4","","3","drama_joy",""
"","","32010","","32","","1.5","","93","0",""
"320","1","33001","0.28","33","1","0","drama_talk_1","5","1","28"
"228","0","33002","0.28","33","0","0","drama_talk_2","5","2","28"
"45","90","33003","0.26","33","1","0","drama_swing","5","3","64"
"-187","91","33004","0.3","33","0","0","drama_streach","5","4","-23"
