f3a2210bdb811b7391704a4b2cdad3f931777b748711ae740d553673726f19a8,408fd463b41e01eed99a262e0a3c31d398049bce5c85983eecd9262317c5ada4,22028a79141ae56e9cc8513c6a54c73f541f8efd37691de8854ada6143f42e50,13790c9cfa358a84ee947ebbed5e11f05a835938874036b8b591f74f100bd591,dac7c4869da35dcd0c002537496059edc9199a958a08cf46b9dfac8e71e4f2b1,5fab2da512b43e40ca3b7d91b86321b4db899c83c6c1923121ed112677bb8c21,70aee5852c7ab119e63fbc8c403686bc80b8cdd3954b6b1ab4d8928c54951c44,fc0092cbb666983de91475f6da9ad847ba16427481df35f149bdf897b02cde6c,24e3308a95c028063e1b63cd4f8fa4a3d47901f33e4e263b548e10fcd7577b35,df129dfbe525e33b4a77874b5f9a9e2d7648eb6be022a4b12a29158593215722,6c97ae7968c09583d72ac5b8b81d827d5b6e7aaf7452b71cb9cb2b666925f11e,56ea4ba7cfe3521498a245817ddddfad0a76239562779daa7bd0d615611f805b,31b498e152e20f7cb611124c55e0f2f07fc7be643aa2b8bd70de74f5e270ac99,8d9b00be92b19966d563fb04374ea789a7890e7592b4a7c04e9d9ff9ba46e4da,fac9bee81a93d5608f38f2894767a7e53988e62bf9598d8d95b687ae2e682090,5f9d88ad8a81bbe2ff5452640e782f095fc7f0a43f36c0953e94dd8baac124b4,a7721406296f8c4b1c8e51514e0ca006fa557e8809190d150ddddf5827f27318,86a0c04a3519b9fc0f80870bd67ead0d940d0bfb332dd9e00f7c8a6729bcfacf,cc982a1dd35f727548b540b7cc0858c330bf9988adef5c5d3f1017e443094bbd,8bfe8fc0d3a40c721f6c51d5654f499fdd092bae11619affc9c1b973cea605be,7f73d7db2fad83629e3d7475751d78085ef1cb41ef55b74632b57334ed9b08e5,7eae52c935b44acc0224f93e9645077af2e8fbdffb86f78732c5f4289879beaa
"200","-10","1","1007","0","1","0","101161","1","101201","-30","3","0.8","-10","1.1","65","100","bgm_M64","-15","10070103","3","1"
"200","0","1","1007","0","1","0","101161","1","101201","-30","4","0.9","190","1.2","-110","100","bgm_M64","0","10070104","4","1"
"250","-45","1","1007","-50","1","10","101162","1","101202","-30","5","1","475","1.45","-30","270","bgm_M55","-20","10070105","5","1"
"210","-30","1","1008","0","1","10","101161","0.7","101291","-30","1","0.6","-480","0.8","-120","250","bgm_M64","0","10080101","1","1"
"240","0","1","1008","0","1","10","101161","1","101291","-30","2","0.9","-260","1.2","-120","120","bgm_M64","0","10080102","2","1"
"200","-10","1","1008","0","1","0","101161","1","101291","-30","3","0.8","-40","1.1","65","100","bgm_M64","-15","10080103","3","1"
"200","0","1","1008","0","1","0","101161","1.3","101291","-30","4","0.9","150","1.3","-110","100","bgm_M64","0","10080104","4","1"
"230","30","1","1008","15","1","30","101162","1.3","101292","-30","5","1.1","490","1.45","-15","45","bgm_M55","-20","10080105","5","1"
"210","-30","1","1009","0","1","10","101161","0.7","101301","-30","1","0.6","-480","0.8","-120","250","bgm_M64","0","10090101","1","1"
"200","0","1","1009","0","1","10","101161","1","101301","-30","2","0.75","-260","1.2","-120","120","bgm_M64","0","10090102","2","1"
"200","-10","1","1009","0","1","0","101161","2.2","101301","-30","3","1.55","-50","2.3","100","100","bgm_M64","-15","10090103","3","1"
"200","0","1","1009","15","1","0","101161","1.3","101301","-30","4","1","180","1.3","-100","100","bgm_M64","0","10090104","4","1"
"270","-30","1","1009","-15","1","10","101162","1.1","101302","-30","5","1","470","1.2","-55","200","bgm_M55","-20","10090105","5","1"
"210","-30","1","1010","-25","1","10","101161","0.9","101441","-30","1","0.575","-450","1","-130","170","bgm_M64","0","10100101","1","1"
"200","0","1","1010","0","1","10","101161","1","101441","-30","2","0.75","-250","1.2","-120","120","bgm_M64","0","10100102","2","1"
"200","-10","1","1010","0","1","0","101161","1","101441","-30","3","0.8","-10","1.1","50","100","bgm_M64","-15","10100103","3","1"
"200","0","1","1010","-30","1","0","101161","1","101441","-30","4","0.9","180","1.3","-100","0","bgm_M64","0","10100104","4","1"
"270","-30","1","1010","-35","1","10","101162","1.1","101442","-30","5","0.95","470","1.2","-70","200","bgm_M55","-20","10100105","5","1"
"210","-30","1","1011","-25","1","10","101451","0.9","101451","-30","1","0.575","-450","1","-130","170","bgm_M64","0","10110101","1","1"
"200","0","1","1011","0","1","10","101451","1","101451","-30","2","0.75","-250","1.2","-120","120","bgm_M64","0","10110102","2","1"
"200","-10","1","1011","-30","1","0","101451","1","101451","-30","3","0.9","-20","1.4","50","100","bgm_M64","-15","10110103","3","1"
"220","0","1","1011","20","1","0","101451","0.8","101451","-30","4","0.65","200","0.9","-100","100","bgm_M64","0","10110104","4","1"
"290","-50","1","1011","-35","1","0","101452","1.4","101452","-30","5","1.25","510","1.55","-70","200","bgm_M55","0","10110105","5","1"
"210","-30","1","1012","-25","1","10","101451","0.9","101561","-30","1","0.575","-450","1","-130","170","bgm_M64","0","10120101","1","1"
"240","0","1","1012","0","1","0","101451","1","101561","-30","2","0.9","-240","1.2","-120","120","bgm_M64","0","10120102","2","1"
"200","-10","1","1012","0","1","5","101451","0.8","101561","-30","3","0.6","-30","0.9","60","100","bgm_M64","-5","10120103","3","1"
"200","0","1","1012","-30","1","0","101451","1.2","101561","-30","4","0.9","180","1.5","-100","100","bgm_M64","0","10120104","4","1"
"290","-50","1","1012","-60","1","0","101452","1.35","101562","-30","5","1.25","460","1.55","-70","400","bgm_M55","0","10120105","5","1"
"210","-30","1","1013","0","1","10","101001","0.7","101001","-30","1","0.6","-480","0.8","-120","250","bgm_M64","0","10130101","1","1"
"200","0","1","1013","0","1","10","101001","1","101001","-30","2","0.75","-260","1.2","-120","0","bgm_M64","0","10130102","2","1"
"200","-10","1","1013","0","1","0","101001","1","101001","-30","3","0.7","-40","1.1","0","100","bgm_M64","-13","10130103","3","1"
"200","0","1","1013","0","1","0","101001","1","101001","-30","4","0.7","240","1.2","-50","0","bgm_M64","0","10130104","4","1"
"250","0","1","1013","0","1","0","101011","1","101011","-30","5","1.2","480","1.3","-40","200","bgm_M55","0","10130105","5","1"
"210","-30","1","1014","-25","1","10","101041","0.9","101041","-30","1","0.575","-450","1","-130","170","bgm_M64","0","10140101","1","1"
"200","0","1","1014","0","1","10","101041","1","101041","-30","2","0.75","-250","1.2","-120","120","bgm_M64","0","10140102","2","1"
"200","-10","1","1014","0","1","0","101041","2.2","101041","-30","3","1.55","-50","2.3","100","100","bgm_M64","-15","10140103","3","1"
"200","0","1","1014","0","1","0","101041","1","101041","-30","4","0.7","190","1","-70","0","bgm_M64","0","10140104","4","1"
"250","0","1","1014","0","1","0","101042","1.6","101042","-30","5","1.4","440","1.8","0","200","bgm_M55","0","10140105","5","1"
"210","-30","1","1015","0","1","10","101161","0.7","101041","-30","1","0.6","-470","0.8","-125","250","bgm_M64","0","10150101","1","1"
"200","0","1","1015","0","1","10","101161","1","101041","-30","2","0.75","-210","1.2","-95","120","bgm_M64","0","10150102","2","1"
"200","-10","1","1015","-30","1","0","101161","1","101041","-30","3","0.9","50","1.4","-120","100","bgm_M64","-15","10150103","3","1"
"200","0","1","1015","43","1","0","101162","1","101041","-30","4","0.7","195","1","35","150","bgm_M64","0","10150104","4","1"
"210","0","1","1015","-50","1","0","101161","1.35","101042","-30","5","1.1","450","1.8","-55","150","bgm_M55","0","10150105","5","1"
"210","0","1","1016","0","1","10","101451","0.85","101161","-30","1","0.6","-480","0.8","-120","250","bgm_M64","0","10160101","1","1"
"200","0","1","1016","0","1","10","101451","1.1","101161","-30","2","0.75","-260","1.2","-100","0","bgm_M64","0","10160102","2","1"
"200","-10","1","1016","0","1","0","101451","1","101161","-30","3","0.8","-10","1.1","65","100","bgm_M64","-15","10160103","3","1"
"200","0","1","1016","0","1","0","101451","0.85","101161","-30","4","0.8","190","1","-110","0","bgm_M64","0","10160104","4","1"
"280","-45","1","1016","-50","1","-10","101452","1","101162","-30","5","0.9","485","1.15","-70","270","bgm_M55","0","10160105","5","1"
"210","-30","1","1017","0","1","10","101171","0.7","101171","-30","1","0.6","-480","0.8","-120","200","bgm_M64","0","10170101","1","1"
"240","0","1","1017","0","1","10","101171","0.7","101171","-30","2","0.6","-260","1","-120","200","bgm_M64","0","10170102","2","1"
"200","-10","1","1017","-30","1","0","101171","1","101171","-30","3","0.9","-10","1.4","65","200","bgm_M64","-15","10170103","3","1"
"200","0","1","1017","-30","1","0","101171","1","101171","-30","4","0.9","190","1.3","-110","200","bgm_M64","0","10170104","4","1"
"250","0","1","1017","-50","1","10","101172","1","101172","-30","5","1","475","1.45","-30","200","bgm_M55","-20","10170105","5","1"
"210","-30","1","1018","0","1","10","101171","0.7","101191","-30","1","0.6","-480","0.8","-120","100","bgm_M64","0","10180101","1","1"
"200","0","1","1018","0","1","10","101171","1","101191","-30","2","0.8","-260","1.2","-100","100","bgm_M64","0","10180102","2","1"
"200","-10","1","1018","0","1","5","101171","0.8","101191","-30","3","0.6","-10","0.9","65","100","bgm_M64","-5","10180103","3","1"
"200","0","1","1018","0","1","0","101171","1","101191","-30","4","0.9","190","1.2","-110","100","bgm_M64","-30","10180104","4","1"
"280","-45","1","1018","-50","1","-10","101172","1","101192","-30","5","1.1","485","1.3","-70","100","bgm_M55","0","10180105","5","1"
"210","0","1","1019","0","1","10","101161","0.85","101201","-30","1","0.6","-480","0.8","-120","100","bgm_M64","0","10190101","1","1"
"240","0","1","1019","0","1","10","101161","1.1","101201","-30","2","0.75","-260","1.2","-120","100","bgm_M64","0","10190102","2","1"
"200","-10","1","1019","0","1","0","101161","1","101201","-30","3","0.8","-10","1.1","65","100","bgm_M64","-15","10190103","3","1"
"200","0","1","1019","43","1","0","101161","1","101201","-30","4","0.7","190","1","-110","100","bgm_M64","0","10190104","4","1"
"250","-45","1","1019","-50","1","10","101162","1","101202","-30","5","1","475","1.45","-30","100","bgm_M55","-20","10190105","5","1"
"210","0","1","1020","0","1","10","101161","0.85","101291","-30","1","0.6","-480","0.8","-120","100","bgm_M64","0","10200101","1","1"
"240","0","1","1020","0","1","10","101161","1.1","101291","-30","2","0.75","-260","1.2","-120","100","bgm_M64","0","10200102","2","1"
"200","-10","1","1020","0","1","0","101161","1","101291","-30","3","0.8","-40","1.1","65","100","bgm_M64","-15","10200103","3","1"
"200","0","1","1020","-30","1","0","101161","1","101291","-30","4","0.8","150","1.5","-110","100","bgm_M64","0","10200104","4","1"
"230","30","1","1020","15","1","30","101162","1","101292","-30","5","1.1","490","1.45","-15","100","bgm_M55","-20","10200105","5","1"
"210","-30","1","1021","0","1","10","101161","0.7","101301","-30","1","0.58","-480","0.8","-120","100","bgm_M64","0","10210101","1","1"
"200","0","1","1021","0","1","10","101161","1","101301","-30","2","0.9","-260","1.2","-120","100","bgm_M64","0","10210102","2","1"
"200","-10","1","1021","-30","1","-10","101161","1","101301","-30","3","0.93","-50","1.4","100","200","bgm_M64","0","10210103","3","1"
"200","0","1","1021","15","1","0","101161","1.3","101301","-30","4","0.9","180","1.3","-100","100","bgm_M64","0","10210104","4","1"
"270","-30","1","1021","-15","1","10","101162","1.1","101302","-30","5","1","470","1.2","-55","100","bgm_M55","-20","10210105","5","1"
"210","0","1","1022","0","1","10","101161","0.85","101441","-30","1","0.575","-450","0.8","-130","100","bgm_M64","0","10220101","1","1"
"200","0","1","1022","0","1","10","101161","1.1","101441","-30","2","0.75","-250","1.2","-120","100","bgm_M64","0","10220102","2","1"
"200","-10","1","1022","0","1","0","101161","1.1","101441","-30","3","0.8","-10","1.2","50","100","bgm_M64","-15","10220103","3","1"
"200","0","1","1022","15","1","0","101161","1.3","101441","-30","4","0.9","180","1.3","-100","100","bgm_M64","0","10220104","4","1"
"230","-30","1","1022","-35","1","10","101162","1.1","101442","-30","5","0.95","470","1.2","-70","100","bgm_M55","-20","10220105","5","1"
"210","-30","1","1023","0","1","10","101451","0.7","101451","-30","1","0.58","-450","0.8","-130","100","bgm_M64","0","10230101","1","1"
"200","0","1","1023","0","1","10","101451","1","101451","-30","2","0.9","-250","1.2","-120","100","bgm_M64","0","10230102","2","1"
"200","-10","1","1023","-30","1","0","101451","1","101451","-30","3","0.9","-20","1.4","50","100","bgm_M64","-15","10230103","3","1"
"200","0","1","1023","0","1","0","101451","0.85","101451","-30","4","0.8","200","1","-100","100","bgm_M64","0","10230104","4","1"
"290","-50","1","1023","-35","1","0","101452","1.4","101452","-30","5","1.25","510","1.55","-70","100","bgm_M55","0","10230105","5","1"
"210","-30","1","1024","0","1","10","101451","0.7","101561","-30","1","0.58","-450","0.8","-130","100","bgm_M64","0","10240101","1","1"
"240","0","1","1024","0","1","0","101451","1.1","101561","-30","2","0.75","-240","1.2","-120","100","bgm_M64","0","10240102","2","1"
"200","-10","1","1024","0","1","5","101451","1","101561","-30","3","0.65","-30","1.1","60","100","bgm_M64","-5","10240103","3","1"
"200","0","1","1024","0","1","0","101451","1","101561","-30","4","0.7","180","1.2","-100","100","bgm_M64","0","10240104","4","1"
"290","-50","1","1024","-60","1","0","101452","1.35","101562","-30","5","1.25","460","1.55","-70","400","bgm_M55","0","10240105","5","1"
"210","-30","1","1025","0","1","10","101451","0.7","101001","-30","1","0.58","-480","0.8","-120","100","bgm_M64","0","10250101","1","1"
"200","0","1","1025","0","1","10","101451","1.1","101001","-30","2","0.75","-260","1.2","-120","100","bgm_M64","0","10250102","2","1"
"200","-10","1","1025","0","1","0","101451","0.8","101001","-30","3","0.6","-40","0.9","0","100","bgm_M64","-13","10250103","3","1"
"200","0","1","1025","-30","1","0","101451","1","101001","-30","4","0.8","240","1.5","-50","100","bgm_M64","0","10250104","4","1"
"250","0","1","1025","0","1","0","101452","1","101011","-30","5","1.2","480","1.3","-40","100","bgm_M55","0","10250105","5","1"
"210","-30","1","1026","-25","1","10","101021","0.9","101021","-30","1","0.575","-450","1","-130","170","bgm_M64","0","10260101","1","1"
"200","0","1","1026","0","1","10","101021","1","101021","-30","2","0.75","-250","1.2","-120","120","bgm_M64","0","10260102","2","1"
"200","-10","1","1026","0","1","0","101021","2.2","101021","-30","3","1.55","-50","2.3","100","100","bgm_M64","-15","10260103","3","1"
"200","0","1","1026","43","1","0","101021","1","101021","-30","4","0.7","190","1","-70","150","bgm_M64","0","10260104","4","1"
"220","0","1","1026","0","1","0","101031","1.6","101031","-30","5","1.4","440","1.8","0","200","bgm_M55","0","10260105","5","1"
"210","-30","1","1027","0","1","10","101161","0.7","101041","-30","1","0.6","-470","0.8","-125","250","bgm_M64","0","10270101","1","1"
"200","0","1","1027","0","1","10","101161","1","101041","-30","2","0.75","-210","1.2","-95","120","bgm_M64","0","10270102","2","1"
"200","-10","1","1027","-10","1","10","101161","1","101041","-30","3","0.75","50","1.2","-120","100","bgm_M64","-15","10270103","3","1"
"200","0","1","1027","20","1","0","101162","1","101041","-30","4","0.7","195","1.1","35","100","bgm_M64","0","10270104","4","1"
"210","0","1.3","1027","-50","1","0","101161","1.35","101042","-30","5","1.1","450","1.8","-55","150","bgm_M55","0","10270105","5","1"
"210","0","1","1028","0","1","10","101161","0.85","101161","-30","1","0.6","-480","0.8","-120","250","bgm_M64","0","10280101","1","1"
"200","0","1","1028","0","1","10","101161","1.1","101161","-30","2","0.75","-260","1.2","-100","0","bgm_M64","0","10280102","2","1"
"200","-10","1","1028","0","1","5","101161","1","101161","-30","3","0.65","-10","1.1","65","100","bgm_M64","-5","10280103","3","1"
"200","0","1","1028","0","1","0","101161","1.3","101161","-30","4","0.9","190","1.35","-110","100","bgm_M64","0","10280104","4","1"
"280","-45","1.3","1028","-50","1","-10","101162","1","101162","-30","5","0.9","485","1.15","-70","270","bgm_M55","-40","10280105","5","1"
"210","-30","1","1029","0","1","10","101171","0.7","101171","-30","1","0.6","-480","0.8","-120","200","bgm_M64","0","10290101","1","1"
"240","0","1","1029","0","1","10","101171","0.7","101171","-30","2","0.6","-260","1","-120","200","bgm_M64","0","10290102","2","1"
"200","-10","1","1029","-30","1","0","101171","1","101171","-30","3","0.9","-10","1.4","65","200","bgm_M64","-15","10290103","3","1"
"200","0","1","1029","-30","1","0","101171","1","101171","-30","4","0.9","190","1.3","-110","200","bgm_M64","0","10290104","4","1"
"250","0","1","1029","-50","1","10","101172","1","101172","-30","5","1","475","1.45","-30","200","bgm_M55","-20","10290105","5","1"
"210","-30","1","1030","0","1","10","101171","0.7","101191","-30","1","0.6","-480","0.8","-120","100","bgm_M64","0","10300101","1","1"
"200","0","1","1030","0","1","10","101171","1","101191","-30","2","0.8","-260","1.2","-100","100","bgm_M64","0","10300102","2","1"
"200","-10","1","1030","0","1","5","101171","0.8","101191","-30","3","0.6","-10","0.9","65","100","bgm_M64","-5","10300103","3","1"
"200","0","1","1030","0","1","0","101171","1","101191","-30","4","0.9","190","1.2","-110","100","bgm_M64","0","10300104","4","1"
"280","-45","1","1030","-50","1.2","-10","101172","1","101192","-30","5","1.1","485","1.3","-70","200","bgm_M55","0","10300105","5","1"
"210","0","1","1031","0","1","10","101161","0.85","101201","-30","1","0.6","-480","0.8","-120","100","bgm_M64","0","10310101","1","1"
"240","0","1","1031","0","1","10","101161","1.1","101201","-30","2","0.75","-260","1.2","-120","100","bgm_M64","0","10310102","2","1"
"200","-10","1","1031","0","1","0","101161","1","101201","-30","3","0.8","-10","1.1","65","100","bgm_M64","-15","10310103","3","1"
"200","0","1","1031","43","1","0","101161","1","101201","-30","4","0.7","190","1","-110","100","bgm_M64","0","10310104","4","1"
"250","-45","1","1031","-50","1","10","101162","1","101202","-30","5","1","475","1.45","-30","100","bgm_M55","-20","10310105","5","1"
"210","0","1","1032","0","1","10","101291","0.85","101291","-30","1","0.6","-480","0.8","-120","100","bgm_M64","0","10320101","1","1"
"240","0","1","1032","0","1","10","101291","1.1","101291","-30","2","0.75","-260","1.2","-120","100","bgm_M64","0","10320102","2","1"
"200","-10","1","1032","0","1","0","101291","1","101291","-30","3","0.9","-40","1.3","65","100","bgm_M64","-15","10320103","3","1"
"200","0","1","1032","-30","1","0","101291","1","101291","-30","4","0.8","150","1.3","-110","100","bgm_M64","0","10320104","4","1"
"230","30","1","1032","15","1","30","101292","1","101292","-30","5","1.1","490","1.45","-15","100","bgm_M55","-20","10320105","5","1"
"210","-30","1","1033","0","1","10","101301","0.7","101301","-30","1","0.58","-480","0.8","-120","100","bgm_M64","0","10330101","1","1"
"200","0","1","1033","0","1","10","101301","1","101301","-30","2","0.9","-260","1.2","-120","100","bgm_M64","0","10330102","2","1"
"200","-10","1","1033","-30","1","-10","101301","1","101301","-30","3","0.93","-50","1.4","100","200","bgm_M64","0","10330103","3","1"
"200","0","1","1033","15","1","0","101301","1","101301","-30","4","0.9","100","1.3","-100","100","bgm_M64","0","10330104","4","1"
"270","-30","1","1033","-15","1","10","101302","1.1","101302","-30","5","1","470","1.2","-55","100","bgm_M55","-20","10330105","5","1"
"210","0","1","1034","0","1","10","101161","0.85","101441","-30","1","0.575","-450","0.8","-130","100","bgm_M64","0","10340101","1","1"
"200","0","1","1034","0","1","10","101161","0.7","101441","-30","2","0.75","-250","1","-120","200","bgm_M64","0","10340102","2","1"
"200","-10","1","1034","0","1","0","101161","1.1","101441","-30","3","0.8","-10","1.2","50","100","bgm_M64","-15","10340103","3","1"
"200","0","1","1034","43","1","0","101161","1","101441","-30","4","0.9","180","1","-100","150","bgm_M64","0","10340104","4","1"
"230","-30","1","1034","-35","1","10","101162","1.1","101442","-30","5","0.95","470","1.2","-70","100","bgm_M55","-20","10340105","5","1"
"210","-30","1","1035","0","1","10","101451","0.7","101451","-30","1","0.58","-450","0.8","-130","100","bgm_M64","0","10350101","1","1"
"200","0","1","1035","0","1","10","101451","1","101451","-30","2","0.9","-250","1.2","-120","100","bgm_M64","0","10350102","2","1"
"200","-10","1","1035","-30","1","0","101451","1","101451","-30","3","0.9","-20","1.4","50","100","bgm_M64","-15","10350103","3","1"
"200","0","1","1035","0","1","0","101451","0.85","101451","-30","4","0.8","200","1","-100","100","bgm_M64","0","10350104","4","1"
"290","-50","1","1035","-35","1.2","0","101452","1.4","101452","-30","5","1.25","510","1.55","-70","100","bgm_M55","0","10350105","5","1"
"210","-30","1","1036","0","1","10","101451","0.7","101561","-30","1","0.58","-450","0.8","-130","100","bgm_M64","0","10360101","1","1"
"240","0","1","1036","0","1","0","101451","1.1","101561","-30","2","0.75","-240","1.2","-120","100","bgm_M64","0","10360102","2","1"
"200","-10","1","1036","0","1","5","101451","1","101561","-30","3","0.65","-30","1.1","60","100","bgm_M64","-5","10360103","3","1"
"200","0","1","1036","0","1","0","101451","1","101561","-30","4","1.1","180","1.2","-100","100","bgm_M64","0","10360104","4","1"
"290","-50","1","1036","-60","1.4","0","101452","1.35","101562","-30","5","1.25","460","1.55","-70","400","bgm_M55","0","10360105","5","1"
"210","-30","1","1037","0","1","10","101451","0.7","101001","-30","1","0.58","-480","0.8","-120","100","bgm_M64","0","10370101","1","1"
"200","0","1","1037","0","1","10","101451","1.1","101001","-30","2","0.75","-260","1.2","-120","100","bgm_M64","0","10370102","2","1"
"200","-60","1","1037","-50","1.4","0","101451","0.55","101001","-30","3","0.6","-40","0.9","0","150","bgm_M64","-13","10370103","3","1"
"200","0","1","1037","-30","1","0","101451","1","101001","-30","4","0.8","240","1.3","-50","100","bgm_M64","0","10370104","4","1"
"250","0","1","1037","0","1.2","0","101452","1","101011","-30","5","1.2","480","1.3","-40","100","bgm_M55","0","10370105","5","1"
"210","-30","1","1038","-25","1","10","101021","0.9","101021","-30","1","0.575","-450","1","-110","170","bgm_M64","0","10380101","1","1"
"200","0","1","1038","0","1","10","101021","1","101021","-30","2","0.75","-250","1.2","-120","120","bgm_M64","0","10380102","2","1"
"200","-10","1","1038","0","1","0","101021","1.1","101021","-30","3","0.8","-50","1.2","100","100","bgm_M64","-15","10380103","3","1"
