89fec7d3e439b05dbc5dbd53e846f3b9eb3a837c859c0170130d675ea41b6a51,8ad3c89491c3ae63ef9b3d3a3e71a97b2cc00a20858ec9ee132878609e128cba,5912e58fa1c1a88a40a758184a08c8eeda9fc94dabb91316b3e6b06d239edd3c,81d6f078bd3bd96d007f2075f42d2f1e69b15da922a676021b68844fc7e38fd9,b73cf6f71dd2da4227087e1b59f46a5afb9267aa194f191ff353680be935bddc
"31061","9106102","2","96","10"
"31018","9101802","2","97","10"
"31013","9101302","2","98","10"
"31011","9101102","2","99","10"
"31001","9100102","2","100","10"
"31030","9103002","2","101","10"
"31060","9106002","2","102","10"
"31015","9101502","2","103","10"
"31054","9105402","2","104","10"
"31109","9110902","2","105","10"
"31180","9118002","2","106","10"
"31010","9101002","2","107","10"
"31066","9106602","2","108","10"
"31028","9102802","2","109","10"
"31008","9100802","2","110","10"
"31049","9104902","2","111","10"
"31047","9104702","2","112","10"
"31014","9101402","2","113","10"
"31094","9109402","2","114","10"
"31038","9103802","2","115","10"
"31048","9104802","2","116","10"
"31045","9104502","2","117","10"
"31022","9100602","2","118","10"
"31006","9100602","2","119","10"
"31005","9100502","2","120","10"
"31092","9109202","2","122","10"
"31025","9102502","2","123","10"
"31031","9103102","2","124","10"
"31012","9101202","2","125","10"
"31026","9102602","2","126","10"
"31050","9105002","2","127","10"
"31003","9100302","2","128","10"
"31007","9100702","2","129","10"
"31029","9102902","2","130","10"
"31036","9103602","2","131","10"
"31093","9109302","2","132","10"
"31071","9107102","2","133","10"
"31110","9111002","2","134","10"
"31046","9104602","2","135","10"
"31033","9103302","2","136","10"
"31051","9105102","2","137","10"
"31057","9105702","2","138","10"
"31032","9103202","2","139","10"
"31052","9105202","2","140","10"
"31034","9103402","2","141","10"
"31070","9107002","2","142","10"
"31058","9105803","2","143","10"
"31020","9102003","2","144","10"
"31002","9100203","2","145","10"
"31055","9105503","2","146","10"
"31016","9101603","2","147","10"
"31067","9106703","2","148","10"
"31044","9104403","2","149","10"
"31023","9102303","2","150","10"
"31059","9105903","2","151","10"
"31042","9104203","2","152","10"
"31040","9104003","2","153","10"
"31021","9102103","2","154","10"
"31063","9106303","2","155","10"
"31065","9106503","2","156","10"
"31009","9100903","2","157","10"
"31017","9101703","2","158","10"
"31056","9105603","2","159","10"
"31068","9106803","2","160","10"
"31053","9105303","2","161","10"
"31027","9102703","2","162","10"
"31108","9110803","2","163","10"
"31043","9104303","2","164","10"
"31004","9100403","2","165","10"
"31037","9103703","2","166","10"
"31061","9106103","2","167","10"
"31018","9101803","2","168","10"
"31013","9101303","2","169","10"
"31011","9101103","2","170","10"
"31001","9100103","2","171","10"
"31030","9103003","2","172","10"
"31060","9106003","2","173","10"
"31015","9101503","2","174","10"
"31054","9105403","2","175","10"
"31185","9118503","2","176","10"
"31109","9110903","2","177","10"
"31180","9118003","2","178","10"
"31010","9101003","2","179","10"
"31066","9106603","2","180","10"
"31028","9102803","2","181","10"
"31008","9100803","2","182","10"
"31049","9104903","2","183","10"
"31047","9104703","2","184","10"
"31038","9103803","2","185","10"
"31014","9101403","2","186","10"
"31094","9109403","2","187","10"
"31048","9104803","2","188","10"
"31045","9104503","2","189","10"
"31022","9100603","2","190","10"
"31006","9100603","2","191","10"
"31005","9100503","2","192","10"
"31092","9109203","2","193","10"
"31025","9102503","2","194","10"
"31064","9106403","2","195","10"
"31031","9103103","2","196","10"
"31012","9101203","2","197","10"
"31181","9118103","2","198","10"
"31026","9102603","2","199","10"
"31050","9105003","2","200","10"
"31003","9100303","2","201","10"
"31007","9100703","2","202","10"
"31029","9102903","2","203","10"
"31036","9103603","2","204","10"
"31093","9109303","2","205","10"
"31071","9107103","2","206","10"
"31230","9123003","2","207","10"
"31110","9111003","2","208","10"
"31046","9104603","2","209","10"
"31033","9103303","2","210","10"
"31051","9105103","2","211","10"
"31057","9105703","2","212","10"
"31032","9103203","2","213","10"
"31052","9105203","2","214","10"
"31034","9103403","2","215","10"
"31070","9107003","2","216","10"
