999453a01a0f44b1b2d57ab355d0b3875d3f5d4fb55af80057192ad79abc8177,c7abc05184ce2d73e88b838acff5f9b939819c18a7e782f0dd365ad8b0cddc60,7a7907d620c12303fe6ea7d2fe3ae184495ffae5f6767434458b5279e87c308c,29f0a12376b43ffde2e91badb4e2093e5b74df14da4733ced710c3b0168ae72f,8f34b1834e404379a5c752c0dc4db6fca9c6143834388d83b39b3e0a5711f5d3,3e2d277050605cdd800eb8b3102bc4b8c3adb25771d54ba97d8dac57cb8a75f3
"20028","0","2002801","2002802","20028115","20028201"
"20028","2002801","2002802","2002803","0","0"
"20028","2002802","2002803","0","0","0"
"20029","0","2002901","2002902","20029115","20029201"
"20029","2002901","2002902","2002903","0","0"
"20029","2002902","2002903","0","0","0"
"20030","0","2003001","2003002","20030115","20030201"
"20030","2003001","2003002","2003003","0","0"
"20030","2003002","2003003","0","0","0"
"20031","0","2003101","2003102","20031115","20031201"
"20031","2003101","2003102","2003103","0","0"
"20031","2003102","2003103","0","0","0"
"20032","0","2003201","2003202","20032115","20032201"
"20032","2003201","2003202","2003203","0","0"
"20032","2003202","2003203","0","0","0"
"20033","0","2003301","2003302","20033115","20033201"
"20033","2003301","2003302","2003303","0","0"
"20033","2003302","2003303","0","0","0"
"20034","0","2003401","2003402","20034115","20034201"
"20034","2003401","2003402","2003403","0","0"
"20034","2003402","2003403","0","0","0"
"20035","0","2003501","2003502","20035115","20035201"
"20035","2003501","2003502","2003503","0","0"
"20035","2003502","2003503","0","0","0"
"20036","0","2003601","2003602","20036115","20036201"
"20036","2003601","2003602","2003603","0","0"
"20036","2003602","2003603","0","0","0"
"20037","0","2003701","2003702","20037115","20037201"
"20037","2003701","2003702","2003703","0","0"
"20037","2003702","2003703","0","0","0"
"20038","0","2003801","2003802","20038115","20038201"
"20038","2003801","2003802","2003803","0","0"
"20038","2003802","2003803","0","0","0"
"20039","0","2003901","2003902","20039115","20039201"
"20039","2003901","2003902","2003903","0","0"
"20039","2003902","2003903","0","0","0"
"20040","0","2004001","2004002","20040115","20040201"
"20040","2004001","2004002","2004003","0","0"
"20040","2004002","2004003","0","0","0"
"20041","0","2004101","2004102","20041115","20041201"
"20041","2004101","2004102","2004103","0","0"
"20041","2004102","2004103","0","0","0"
"20042","0","2004201","2004202","20042115","20042201"
"20042","2004201","2004202","2004203","0","0"
"20042","2004202","2004203","0","0","0"
"20043","0","2004301","2004302","20043115","20043201"
"20043","2004301","2004302","2004303","0","0"
"20043","2004302","2004303","0","0","0"
"20044","0","2004401","2004402","20044115","20044201"
"20044","2004401","2004402","2004403","0","0"
"20044","2004402","2004403","0","0","0"
"20045","0","2004501","2004502","20045115","20045201"
"20045","2004501","2004502","2004503","0","0"
"20045","2004502","2004503","0","0","0"
"20046","0","2004601","2004602","20046115","20046201"
"20046","2004601","2004602","2004603","0","0"
"20046","2004602","2004603","0","0","0"
"20047","0","2004701","2004702","20047115","20047201"
"20047","2004701","2004702","2004703","0","0"
"20047","2004702","2004703","0","0","0"
"20048","0","2004801","2004802","20048115","20048201"
"20048","2004801","2004802","2004803","0","0"
"20048","2004802","2004803","0","0","0"
"20049","0","2004901","2004902","20049115","20049201"
"20049","2004901","2004902","2004903","0","0"
"20049","2004902","2004903","2004904","0","0"
"20050","0","2005001","2005002","20050115","20050201"
"20050","2005001","2005002","2005003","0","0"
"20050","2005002","2005003","0","0","0"
"20051","0","2005101","2005102","20051115","20051201"
"20051","2005101","2005102","2005103","0","0"
"20051","2005102","2005103","0","0","0"
"20052","0","2005201","2005202","20052115","20052201"
"20052","2005201","2005202","2005203","0","0"
"20052","2005202","2005203","0","0","0"
"20053","0","2005301","2005302","20053115","20053201"
"20053","2005301","2005302","2005303","0","0"
"20053","2005302","2005303","0","0","0"
"20054","0","2005401","2005402","20054115","20054201"
"20054","2005401","2005402","2005403","0","0"
"20054","2005402","2005403","0","0","0"
"20055","0","2005501","2005502","20055115","20055201"
"20055","2005501","2005502","2005503","0","0"
"20055","2005502","2005503","0","0","0"
"20056","0","2005601","2005602","20056115","20056201"
"20056","2005601","2005602","2005603","0","0"
"20056","2005602","2005603","0","0","0"
"20057","0","2005701","2005702","20057115","20057201"
"20057","2005701","2005702","2005703","0","0"
"20057","2005702","2005703","0","0","0"
"20058","0","2005801","2005802","20058115","20058201"
"20058","2005801","2005802","2005803","0","0"
"20058","2005802","2005803","0","0","0"
"20059","0","2005901","2005902","20059115","20059201"
"20059","2005901","2005902","2005903","0","0"
"20059","2005902","2005903","0","0","0"
"20060","0","2006001","2006002","20060115","20060201"
"20060","2006001","2006002","2006003","0","0"
"20060","2006002","2006003","0","0","0"
"20061","0","2006101","2006102","20061115","20061201"
"20061","2006101","2006102","2006103","0","0"
"20061","2006102","2006103","0","0","0"
"20062","0","2006201","2006202","20062115","20062201"
"20062","2006201","2006202","2006203","0","0"
"20062","2006202","2006203","0","0","0"
"20063","0","2006301","2006302","20063115","20063201"
"20063","2006301","2006302","2006303","0","0"
"20063","2006302","2006303","0","0","0"
"20064","0","2006401","2006402","20064115","20064201"
"20064","2006401","2006402","2006403","0","0"
"20064","2006402","2006403","0","0","0"
"20065","0","2006501","2006502","20065115","20065201"
"20065","2006501","2006502","2006503","0","0"
"20065","2006502","2006503","0","0","0"
"20066","0","2006601","2006602","20066115","20066201"
"20066","2006601","2006602","2006603","0","0"
"20066","2006602","2006603","0","0","0"
"20067","0","2006701","2006702","20067110","20067201"
"20067","2006701","2006702","2006703","0","0"
"20067","2006702","2006703","0","0","0"
"20068","0","2006801","2006802","20068110","20068201"
"20068","2006801","2006802","2006803","0","0"
"20068","2006802","2006803","0","0","0"
"20069","0","2006901","2006902","20069115","20069201"
"20069","2006901","2006902","2006903","0","0"
"20069","2006902","2006903","0","0","0"
