4d529b5b431ecb37f4a20de7894b6f133588dbee4182f824b812da4f0b9ddea4,8e610eb37a46209ffde9bde988ee5e27300e7a292ffdc45f65a1c8cac0fcdb4f,49489c5b71182fc5f77ca0693544b6ea1c0575043a6da8772cbbb17cdbe84460,a4a17898efe4fae7bf9453ec4c5b556fa348787ba0d252b4e71a947da07262b9,f6f24b5d43774916040e4694a8a105cb2c3289c14bc4f453a55d845cdd05e0c9,b5a65c847b9680cdccb35981deb8442670a4a57fbec46174f2ed6c75c690a6f4,6a9bc1e10d10989542b4cd08da100ffd42040afe403b5723d12bdb56be8553bc,3b6e7e2ea053febe1d6f4070242458397fb056fec9bde7e0b2b7a800d45a2ad6,3fd3c2efbcd2dd92bcc4b80649b0118889cd0a306dc5743a7c425b70fad8aadb,2aa042549d9d514a160c3ad4e7df5c555d9846e564e3fc55790a9375c637ac6c,cf14fb6af8daec4e581794e0f9ee82cf40edbeb48a9be04b16b2ac88f85e9dbe,1d376d352ba6ed9c41785011752f4858e8bf43bfbfcd3f4aa5ed1ea615f8eaba,34747e0db08b2f4b95d3363d3bdf8f8ded873c33be9373850d8bfae76d20a0f1
"8","小幅度提升攻擊力跟攻擊速度","克蘿茜","10001101","2211101","0","100011","2","0","提升攻擊力10％，\n戰鬥開始３秒內，提升攻擊速度15％。","126411","0","0"
"9","中幅度提升攻擊力","萊拉耶爾","0","2211201","0","100012","3","0","戰鬥開始３秒內，\n提升攻擊力25％。","126511","0","0"
"10","提升攻擊速度跟攻擊力","琳德","0","2211301","0","100013","2","0","戰鬥開始３秒內，提升攻擊速度10％，\n然後提升攻擊力25％。","127711","0","0"
"11","降低自身的攻擊速度與敵人的攻擊力","烏爾姆","0","2211401","0","100014","2","0","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降25％。","127811","0","0"
"12","小幅度提升COST上限跟HP","庫露露","10001501","0","0","100015","3","10001502","提升COST上限25％、\n提升HP15％。","130911","0","0"
"13","小幅度降低對方的攻擊力跟攻擊速度","安涅默涅","0","2211601","0","100016","2","0","降低敵人的攻擊力跟攻擊速度10％。","129611","0","0"
"14","大幅度降低對方的移動速度","涅妃‧涅羅","0","2211701","0","100017","3","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降50％。","129711","0","0"
"0","射出斬擊攻擊敵人","倭","0","3110101","0","101001","1","0","剩餘HP在50％以下時發動。\n在３秒間射出斬擊，造成大幅度傷害。","130011","0","1"
"0","尖刺兄弟撞飛敵人","若菜","0","3110201","0","101002","1","0","剩餘HP在70％以下時發動。\n尖刺兄弟會出現，要是撞到敵人\n會造成小幅度傷害，將其擊飛。","130111","0","1"
"0","封鎖敵人的移動與攻擊１秒","布武機","0","2110301","0","101003","1","0","戰鬥開始３秒後發動。\n封鎖敵人的移動與攻擊１秒。","130211","0","1"
"0","提升最大HP","貪吃佩可","20101001","0","0","201010","2","0","提升最大HP15％。","105811","0","1"
"0","降低敵方的移動速度","凱留","0","2220201","0","201020","2","0","戰鬥開始３秒內，\n使敵人的移動速度下降15％。","106011","0","1"
"0","提升COST上限","可可蘿","20103001","0","0","201030","2","0","提升COST上限50％。","105911","0","1"
"0","提升移動速度","雪菲","0","2220401","0","201040","3","0","提升移動速度15％。","106411","0","1"
"0","提升攻擊力跟移動速度","莉莉","20105001","2220501","0","201050","2","0","提升攻擊力25％、\n提升移動速度10％。","131311","0","1"
"0","提升最大HP跟移動速度","可璃亞","20106001","2220601","0","201060","2","0","提升最大HP25％、\n提升移動速度10％。","131411","0","1"
"0","提升COST上限跟移動速度","普蕾西亞","20107001","2220701","0","201070","2","0","提升COST上限25％、\n提升移動速度10％。","131511","0","1"
"0","提升攻擊力跟攻擊速度","克蘿茜","20108001","2220801","0","201080","2","0","提升攻擊力25％，\n戰鬥開始３秒內，提升攻擊速度15％。","126411","0","1"
"0","提升攻擊力","萊拉耶爾","0","2220901","0","201090","3","0","戰鬥開始３秒內，\n提升攻擊力25％。","126511","0","1"
"0","提升攻擊速度跟攻擊力","琳德","0","2221001","0","201100","2","0","戰鬥開始３秒內，提升攻擊速度10％，\n然後提升攻擊力15％。","127711","0","1"
"0","降低自身的攻擊速度與敵人的攻擊力","烏爾姆","0","2221101","0","201110","2","0","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降15％。","127811","0","1"
"0","提升COST上限跟HP","庫露露","20112001","0","0","201120","3","20112002","提升COST上限25％、\n提升HP50％。","130911","0","1"
"0","降低對方的攻擊力跟攻擊速度","安涅默涅","0","2221301","0","201130","2","0","降低敵人的攻擊力跟攻擊速度10％。","129611","0","1"
"0","降低對方的移動速度","涅妃‧涅羅","0","2221401","0","201140","3","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降25％。","129711","0","1"
"0","提升最大HP","貪吃佩可","20115001","0","0","201150","2","0","提升最大HP３0％。","105811","0","1"
"0","降低敵方的移動速度","凱留","0","2221601","0","201160","2","0","戰鬥開始３秒內，\n使敵人的移動速度下降20％。","106011","0","1"
"0","提升COST上限","可可蘿","20117001","0","0","201170","2","0","提升COST上限75％。","105911","0","1"
"0","提升移動速度","雪菲","0","2221801","0","201180","3","0","提升移動速度20％。","106411","0","1"
"0","提升攻擊力跟移動速度","莉莉","20119001","2221901","0","201190","2","0","提升攻擊力50％、\n提升移動速度15％。","131311","0","1"
"0","提升最大HP跟移動速度","可璃亞","20120001","2222001","0","201200","2","0","提升最大HP50％、\n提升移動速度15％。","131411","0","1"
"0","提升COST上限跟移動速度","普蕾西亞","20121001","2222101","0","201210","2","0","提升COST上限３0％、\n提升移動速度15％。","131511","0","1"
"0","提升攻擊力跟攻擊速度","克蘿茜","20122001","2222201","0","201220","2","0","提升攻擊力50％，\n戰鬥開始３秒內，提升攻擊速度20％。","126411","0","1"
"0","提升攻擊力","萊拉耶爾","0","2222301","0","201230","3","0","戰鬥開始３秒內，\n提升攻擊力３0％。","126511","0","1"
"0","提升攻擊速度跟攻擊力","琳德","0","2222401","0","201240","2","0","戰鬥開始３秒內，提升攻擊速度15％，\n然後提升攻擊力20％。","127711","0","1"
"0","降低自身的攻擊速度與敵人的攻擊力","烏爾姆","0","2222501","0","201250","2","0","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降20％。","127811","0","1"
"0","提升COST上限跟HP","庫露露","20126001","0","0","201260","3","20126002","提升COST上限３0％、\n提升HP50％。","130911","0","1"
"0","降低對方的攻擊力跟攻擊速度","安涅默涅","0","2222701","0","201270","2","0","降低敵人的攻擊力跟攻擊速度15％。","129611","0","1"
"0","降低對方的移動速度","涅妃‧涅羅","0","2222801","0","201280","3","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降３5％。","129711","0","1"
"0","提升攻擊力跟移動速度","莉莉","20129001","2222901","0","201290","2","0","提升攻擊力50％、\n提升移動速度20％。","131311","0","1"
"0","提升攻擊速度跟攻擊力","琳德","0","2223001","0","201300","2","0","戰鬥開始３秒內，提升攻擊速度20％，\n然後提升攻擊力50％。","127711","0","1"
"0","提升最大HP","貪吃佩可","20131001","0","0","201310","2","0","提升最大HP50％。","105811","0","1"
"0","降低敵方的移動速度","凱留","0","2223201","0","201320","2","0","戰鬥開始３秒內，\n使敵人的移動速度下降25％。","106011","0","1"
"0","提升COST上限","可可蘿","20133001","0","0","201330","2","0","提升COST上限100％。","105911","0","1"
"0","提升移動速度","雪菲","0","2223401","0","201340","3","0","提升移動速度25％。","106411","0","1"
"0","提升攻擊力跟移動速度","莉莉","20135001","2223501","0","201350","2","0","提升攻擊力50％、\n提升移動速度20％。","131311","0","1"
"0","提升最大HP跟移動速度","可璃亞","20136001","2223601","0","201360","2","0","提升最大HP50％、\n提升移動速度20％。","131411","0","1"
"0","提升COST上限跟移動速度","普蕾西亞","20137001","2223701","0","201370","2","0","提升COST上限50％、\n提升移動速度20％。","131511","0","1"
"0","提升攻擊力跟攻擊速度","克蘿茜","20138001","2223801","0","201380","2","0","提升攻擊力50％，\n戰鬥開始３秒內，提升攻擊速度25％。","126411","0","1"
"0","提升攻擊力","萊拉耶爾","0","2223901","0","201390","3","0","戰鬥開始３秒內，\n提升攻擊力３5％。","126511","0","1"
"0","提升攻擊速度跟攻擊力","琳德","0","2224001","0","201400","2","0","戰鬥開始３秒內，提升攻擊速度20％，\n然後提升攻擊力25％。","127711","0","1"
"0","降低自身的攻擊速度與敵人的攻擊力","烏爾姆","0","2224101","0","201410","2","0","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降25％。","127811","0","1"
"0","提升COST上限跟HP","庫露露","20142001","0","0","201420","3","20142002","提升COST上限50％、\n提升HP50％。","130911","0","1"
"0","降低對方的攻擊力跟攻擊速度","安涅默涅","0","2224301","0","201430","2","0","降低敵人的攻擊力跟攻擊速度20％。","129611","0","1"
"0","降低對方的移動速度","涅妃‧涅羅","0","2224401","0","201440","3","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降75％。","129711","0","1"
"0","提升最大HP","貪吃佩可","20145001","0","0","201450","2","0","提升最大HP100％。","105811","0","1"
"0","提升COST上限","可可蘿","20146001","0","0","201460","2","0","提升COST上限100％。","105911","0","1"
"0","提升攻擊力跟移動速度","莉莉","20147001","2224701","0","201470","2","0","提升攻擊力75％、\n提升移動速度３0％。","131311","0","1"
"0","提升攻擊力","萊拉耶爾","0","2224801","0","201480","3","0","戰鬥開始３秒內，\n提升攻擊力75％。","126511","0","1"
"0","降低對方的移動速度","涅妃‧涅羅","0","2224901","0","201490","3","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降90％。","129711","0","1"
"0","提升最大HP","貪吃佩可","20150001","0","0","201500","2","0","提升最大HP200％。","105811","0","1"
