277f31c468ef444838336e9d2a8c4444130040370010b70dfc80175e531ebb60,e64aed32d4efae587dff3a289bebb5d4d73a15c0426589a3ce18876f33bbfb80,65578f82c64878ad0d8fafb6f9ab0154afdca3d3c0c80a1117c40f741f16d6c9,e934d6ddd81897da27c54eea23f61c941bcbc3652e760d893d3b24a52af08644,e8e675cbf07fc7a6d3218ebf0acb332b13da0db5bdbe2fa52fd54c150cb4e0d8,385b5b146c4fac3b24affcc23251abbc933d4f3e66c089b861218ea93e5cfa53,a59c16f663273e3e6459f6a7a2a6642297eefde5249a8609389fb4affc07831b,40445cf50860fa6637b1e86ab8848ce95eee05161c497d72a38c33665c1cb679,0becd04176ff948f041d05bb40bad895917400ee8c3c94ad5563e5df4791d0f7,50bed4ed0564f5049f0a58245374aea7f88056cb969d055c513172490285a12e,2ba7ab8e857f26ed2ea28c107dea2ace49f5384bf1965216e50632b8ea5e8a56
"3","1007003","","1","1","113411","1007003076","","0.2","svd_idle_wish",""
"101","1007003","","","","1007003061","1007003077","","","",""
"6","1007003","1","1","0","333","1007003078","0","1","1",""
"4","1007003","","","","113511","1007003079","","","1",""
"3","1007003","","1","","113511","1007003080","","0.2","svd_run",""
"2","1007003","0.8","-300","0","113511","1007003081","","","-750",""
"4","1007003","","","","113411","1007003082","","","0",""
"3","1007003","","1","","113411","1007003083","","0.2","svd_run",""
"2","1007003","0.8","-300","0","113411","1007003084","","","750",""
"93","1007003","","","","0.6","1007003085","","","",""
"6","1007003","1","1","0","113511","1007003086","0","0.2","1",""
"6","1007003","1","1","0","113411","1007003087","0","0.2","1",""
"91","1007003","","","","0","1007003088","","","",""
"5","1007004","-250","100","-560","1","1007004001","0","2.08","113511","svd_idle_normal"
"5","1007004","250","100","-560","2","1007004002","1","2.08","113411","svd_idle_normal"
"5","1007004","0","0","0","3","1007004003","0","1","333","svd_white_loop"
"6","1007004","1","1","0","333","1007004004","0","0","1",""
"6","1007004","1","1","0","113511","1007004005","0","0","1",""
"6","1007004","1","1","0","113411","1007004006","0","0","1",""
"93","1007004","","","","1","1007004007","","","",""
"6","1007004","1","1","0.4","333","1007004008","0","0.8","1",""
"3","1007004","svd_idle_normal","0","1","113511","1007004009","0.2","0.2","svd_jump1",""
"3","1007004","svd_idle_normal","0","1","113411","1007004010","0.2","0.2","svd_jump1",""
"93","1007004","","","","0.3","1007004011","","","",""
"2","1007004","0.75","-300","0","113511","1007004012","","","-250",""
"2","1007004","0.75","-300","0","113411","1007004013","","","250",""
"6","1007004","1","1","1","113511","1007004014","0","0.4","1",""
"6","1007004","1","1","1","113411","1007004015","0","0.4","1",""
"93","1007004","","","","1.2","1007004016","","","",""
"91","1007004","","","","0","1007004017","","","",""
"3","1007004","","1","","113411","1007004018","","0.2","svd_idle_normal",""
"3","1007004","","1","","113511","1007004019","","0.2","svd_talk_joy1",""
"21","1007004","0","0","","vo_svd","1007004020","","","vo_svd_0421",""
"11","1007004","0","6","0","113511","1007004021","0","0","月光學院的大家\n都是好孩子呢！\n校園生活也感覺很有趣──","1"
"91","1007004","","","","0","1007004022","","","",""
"3","1007004","","1","","113511","1007004023","","0.2","svd_idle_joy1",""
"3","1007004","","1","","113411","1007004024","","0.2","svd_talk_thinking",""
"21","1007004","0","0","","vo_svd","1007004025","","","vo_svd_0422",""
"11","1007004","0","6","0","113411","1007004026","0","0","有小伊緒這名\n優秀的老師教導，\n有點讓人羨慕呢……","1"
"91","1007004","","","","0","1007004027","","","",""
"3","1007004","","1","","113411","1007004028","","0.2","svd_idle_thinking",""
"3","1007004","","1","","113511","1007004029","","0.2","svd_talk_normal",""
"21","1007004","0","0","","vo_svd","1007004030","","","vo_svd_0423",""
"11","1007004","0","7","0","113511","1007004031","0","0","欸欸，我們兩個……\n也進去就讀怎麼樣？","1"
"91","1007004","","","","0","1007004032","","","",""
"3","1007004","","1","","113511","1007004033","","0.2","svd_idle_joy1",""
"3","1007004","svd_talk_joy1","0","1","113411","1007004034","0.2","0.2","svd_surprise",""
"21","1007004","0","0","","vo_svd","1007004035","","","vo_svd_0424",""
"11","1007004","0","6","0","113411","1007004036","0","0","……！真是個好主意！\n那就快去拿\n入學申請書吧！","1"
"91","1007004","","","","0","1007004037","","","",""
"3","1007004","","1","","113411","1007004038","","0.2","svd_idle_joy1",""
"102","1007004","","","","","1007004039","","","",""
"93","1007004","","","","1","1007004040","","","",""
"12","1007004","","1","","113511","1007004041","0","0","7",""
"3","1007004","","1","","113511","1007004042","","0.2","svd_talk_normal",""
"93","1007004","","","","3","1007004043","","","",""
"3","1007004","","1","","113511","1007004044","","0.2","svd_idle_normal",""
"12","1007004","","1","","113411","1007004045","0","0","6",""
"3","1007004","","1","1","113411","1007004046","","0.2","svd_talk_joy1",""
"93","1007004","","","","3","1007004047","","","",""
"3","1007004","","1","1","113411","1007004048","","0.2","svd_idle_joy1",""
"12","1007004","","1","","113511","1007004049","0","0","10",""
"3","1007004","","1","","113511","1007004050","","0.2","svd_talk_joy2",""
"93","1007004","","","","3","1007004051","","","",""
"3","1007004","","1","","113511","1007004052","","0.2","svd_idle_joy2",""
"12","1007004","","1","","113411","1007004053","0","0","10",""
"3","1007004","svd_idle_joy1","0","1","113411","1007004054","0.2","0.2","svd_cmn_smile3",""
"93","1007004","","","","3","1007004055","","","",""
"3","1007004","","1","1","113411","1007004056","","0.2","svd_idle_joy1",""
"101","1007004","","","","1007004041","1007004057","","","",""
"6","1007004","1","1","0","333","1007004058","0","1","1",""
"4","1007004","","","","113511","1007004059","","","1",""
"3","1007004","","1","","113511","1007004060","","0.2","svd_run",""
"2","1007004","0.8","-300","0","113511","1007004061","","","-750",""
"4","1007004","","","","113411","1007004062","","","0",""
"3","1007004","","1","","113411","1007004063","","0.2","svd_run",""
"2","1007004","0.8","-300","0","113411","1007004064","","","750",""
"93","1007004","","","","0.6","1007004065","","","",""
"6","1007004","1","1","0","113511","1007004066","0","0.2","1",""
"6","1007004","1","1","0","113411","1007004067","0","0.2","1",""
"91","1007004","","","","0","1007004068","","","",""
"5","1007005","-700","110","-300","1","1007005001","0","2.08","113511","svd_idle_normal"
"5","1007005","-550","100","-300","2","1007005002","0","2.08","113411","svd_idle_normal"
"5","1007005","0","0","0","3","1007005003","0","1","333","svd_white_loop"
"6","1007005","1","1","0","333","1007005004","0","0","1",""
"31","1007005","60","-630","1.3","3","1007005005","","0","13",""
"6","1007005","1","1","0","113511","1007005006","0","0","1",""
"6","1007005","1","1","0","113411","1007005007","0","0","1",""
"93","1007005","","","","1","1007005008","","","",""
"6","1007005","1","1","0.4","333","1007005009","0","0.8","1",""
"3","1007005","","1","","113511","1007005010","","0.2","svd_walk_glad",""
"2","1007005","2","-300","0","113511","1007005011","","","-250",""
"3","1007005","","1","","113411","1007005012","","0.2","svd_walk_glad2",""
"2","1007005","2.2","-300","0","113411","1007005013","","","-50",""
"6","1007005","1","1","1","113511","1007005014","0","0.4","1",""
"6","1007005","1","1","1","113411","1007005015","0","0.4","1",""
"32","1007005","","","","13","1007005016","","","1",""
"33","1007005","2","60","0","13","1007005017","","","-180",""
"93","1007005","","","","2","1007005018","","","",""
"32","1007005","","","","13","1007005019","","","0",""
"3","1007005","","1","","113511","1007005020","","0.2","svd_idle_normal",""
"93","1007005","","","","0.2","1007005021","","","",""
"4","1007005","","","","113411","1007005022","","","1",""
"3","1007005","","1","","113411","1007005023","","0.2","svd_idle_normal",""
"93","1007005","","","","0.5","1007005024","","","",""
"12","1007005","","0.5","","113511","1007005025","0","0","10",""
"12","1007005","","0.5","","113411","1007005026","0","0","10",""
"3","1007005","svd_idle_normal","0","1","113511","1007005027","0.2","0.2","svd_wink",""
"3","1007005","svd_idle_normal","0","1","113411","1007005028","0.2","0.2","svd_wink",""
"93","1007005","","","","1.5","1007005029","","","",""
"4","1007005","","","","113411","1007005030","","","0",""
"3","1007005","","1","","113411","1007005031","","0.2","svd_walk",""
"2","1007005","1","-300","0","113411","1007005032","","","250",""
"93","1007005","","","","1","1007005033","","","",""
"3","1007005","svd_idle_normal","0","1","113411","1007005034","0","0.4","svd_idle_normal",""
"93","1007005","","","","0","1007005035","","","",""
"4","1007005","","","","113411","1007005036","","","1",""
"93","1007005","","","","0.6","1007005037","","","",""
"3","1007005","","1","","113511","1007005038","","0.2","svd_talk_joy1",""
"21","1007005","0","0","","vo_svd","1007005039","","","vo_svd_0521",""
"11","1007005","0","5","0","113511","1007005040","0","0","和弟弟在平靜的島上生活……\n這裡真的是天堂呢。","1"
"91","1007005","","","","0","1007005041","","","",""
"3","1007005","","1","","113511","1007005042","","0.2","svd_idle_memory",""
"3","1007005","","1","","113411","1007005043","","0.2","svd_talk_memory",""
"21","1007005","0","0","","vo_svd","1007005044","","","vo_svd_0522",""
"11","1007005","0","6","0","113411","1007005045","0","0","如果這都不算幸福，\n還有什麼能\n稱得上是幸福……","1"
"91","1007005","","","","0","1007005046","","","",""
"3","1007005","","1","","113411","1007005047","","0.2","svd_idle_memory",""
"3","1007005","","1","","113511","1007005048","","0.2","svd_talk_memory",""
"21","1007005","0","0","","vo_svd","1007005049","","","vo_svd_0523",""
"11","1007005","0","6","0","113511","1007005050","0","0","從早到晚\n都能和弟弟\n待在一起……","1"
"91","1007005","","","","0","1007005051","","","",""
"3","1007005","","1","","113511","1007005052","","0.2","svd_idle_memory",""
"3","1007005","","1","","113411","1007005053","","0.2","svd_talk_memory",""
"21","1007005","0","0","","vo_svd","1007005054","","","vo_svd_0524",""
"11","1007005","0","4","0","113411","1007005055","0","0","無論是剛睡醒的可愛一面\n還是祥和的睡臉\n都能看個夠……","1"
"91","1007005","","","","0","1007005056","","","",""
"3","1007005","","1","","113411","1007005057","","0.2","svd_idle_memory",""
"3","1007005","","1","","113511","1007005058","","0.2","svd_talk_joy2",""
"21","1007005","0","0","","vo_svd","1007005059","","","vo_svd_0525",""
"11","1007005","0","8","0","113511","1007005060","0","0","為了回報這份幸福之恩，\n我們來做一棟最棒的房子吧！\n惠理子！","1"
"93","1007005","","","","4","1007005061","","","",""
"3","1007005","svd_idle_guts","0","1","113511","1007005062","0.2","0.2","svd_talk_guts",""
"91","1007005","","","","1007005060","1007005063","","","",""
"3","1007005","","1","","113511","1007005064","","0.2","svd_idle_guts",""
"3","1007005","svd_idle_guts2","0","1","113411","1007005065","0.2","0.2","svd_talk_guts2",""
"21","1007005","0","0","","vo_svd","1007005066","","","vo_svd_0526",""
"11","1007005","0","6","0","113411","1007005067","0","0","那當然！","1"
"91","1007005","","","","0","1007005068","","","",""
"102","1007005","","","","","1007005069","","","",""
"93","1007005","","","","1","1007005070","","","",""
"12","1007005","","1","","113511","1007005071","0","0","9",""
"3","1007005","","1","","113511","1007005072","","0.2","svd_talk_memory",""
"93","1007005","","","","3","1007005073","","","",""
"3","1007005","","1","","113511","1007005074","","0.2","svd_idle_memory",""
"12","1007005","","1","","113411","1007005075","0","0","7",""
"3","1007005","","1","1","113411","1007005076","","0.2","svd_talk_thinking",""
