8f7f9fe453b5a83c3ee8208d6b40697637071eedb79e72534fbaf5b975fac26b,3f54e08ecb204f69cd5c7b6b6a3a055f3fb8f785bcce897b0ae796c94923f755,2b802eb8c2f4f736b63e0548377f1350979f3bc1fc7f5d88536388b74324b544,b1096ace5df32966d7a29b75e27f90aec0829928e8c4c4873d7a6a2c1ea04134,a5f347e4d0a9b2091d8d7255c17b486a1cf280a23ad4d40509b908f542ada681,e12e312a5e5d0cdec6578a8aa6f03e6d41ecd8ff56e4463d87e7dca5e110b508,f7a5e9c5eee15d6a54a3288ad54b31aaf7e6b1bfe2430724a28661301deb1e3e
"46","810104601","810104604","810104605","810104602","810010461","810104603"
"47","810104701","810104704","810104705","810104702","810010471","810104703"
"48","810104801","810104804","810104805","810104802","810010481","810104803"
"49","810104901","810104904","810104905","810104902","810010491","810104903"
"50","810105001","0","0","0","810010501","0"
"51","820100101","820100104","820100105","820100102","820010011","820100103"
"52","820100201","820100204","820100205","820100202","820010021","820100203"
"53","820100301","820100304","820100305","820100302","820010031","820100303"
"54","820100401","820100404","820100405","820100402","820010041","820100403"
"55","820100501","820100504","820100505","820100502","820010051","820100503"
"56","820100601","820100604","820100605","820100602","820010061","820100603"
"57","820100701","820100704","820100705","820100702","820010071","820100703"
"58","820100801","820100804","820100805","820100802","820010081","820100803"
"59","820100901","820100904","820100905","820100902","820010091","820100903"
"60","820101001","0","0","0","820010101","0"
"61","820101101","820101104","820101105","820101102","820010111","820101103"
"62","820101201","820101204","820101205","820101202","820010121","820101203"
"63","820101301","820101304","820101305","820101302","820010131","820101303"
"64","820101401","820101404","820101405","820101402","820010141","820101403"
"65","820101501","820101504","820101505","820101502","820010151","820101503"
"66","820101601","820101604","820101605","820101602","820010161","820101603"
"67","820101701","820101704","820101705","820101702","820010171","820101703"
"68","820101801","820101804","820101805","820101802","820010181","820101803"
"69","820101901","820101904","820101905","820101902","820010191","820101903"
"70","820102001","0","0","0","820010201","0"
"71","820102101","820102104","820102105","820102102","820010211","820102103"
"72","820102201","820102204","820102205","820102202","820010221","820102203"
"73","820102301","820102304","820102305","820102302","820010231","820102303"
"74","820102401","820102404","820102405","820102402","820010241","820102403"
"75","820102501","820102504","820102505","820102502","820010251","820102503"
"76","820102601","820102604","820102605","820102602","820010261","820102603"
"77","820102701","820102704","820102705","820102702","820010271","820102703"
"78","820102801","820102804","820102805","820102802","820010281","820102803"
"79","820102901","820102904","820102905","820102902","820010291","820102903"
"80","820103001","0","0","0","820010301","0"
"81","820103101","820103104","820103105","820103102","820010311","820103103"
"82","820103201","820103204","820103205","820103202","820010321","820103203"
"83","820103301","820103304","820103305","820103302","820010331","820103303"
"84","820103401","820103404","820103405","820103402","820010341","820103403"
"85","820103501","820103504","820103505","820103502","820010351","820103503"
"86","820103601","820103604","820103605","820103602","820010361","820103603"
"87","820103701","820103704","820103705","820103702","820010371","820103703"
"88","820103801","820103804","820103805","820103802","820010381","820103803"
"89","820103901","820103904","820103905","820103902","820010391","820103903"
"90","820104001","0","0","0","820010401","0"
"91","820104101","820104104","820104105","820104102","820010411","820104103"
"92","820104201","820104204","820104205","820104202","820010421","820104203"
"93","820104301","820104304","820104305","820104302","820010431","820104303"
"94","820104401","820104404","820104405","820104402","820010441","820104403"
"95","820104501","820104504","820104505","820104502","820010451","820104503"
"96","820104601","820104604","820104605","820104602","820010461","820104603"
"97","820104701","820104704","820104705","820104702","820010471","820104703"
"98","820104801","820104804","820104805","820104802","820010481","820104803"
"99","820104901","820104904","820104905","820104902","820010491","820104903"
"100","820105001","0","0","0","820010501","0"
"101","830100101","830100104","830100105","830100102","830010011","830100103"
"102","830100201","830100204","830100205","830100202","830010021","830100203"
"103","830100301","830100304","830100305","830100302","830010031","830100303"
"104","830100401","830100404","830100405","830100402","830010041","830100403"
"105","830100501","830100504","830100505","830100502","830010051","830100503"
"106","830100601","830100604","830100605","830100602","830010061","830100603"
"107","830100701","830100704","830100705","830100702","830010071","830100703"
"108","830100801","830100804","830100805","830100802","830010081","830100803"
"109","830100901","830100904","830100905","830100902","830010091","830100903"
"110","830101001","0","0","0","830010101","0"
"111","830101101","830101104","830101105","830101102","830010111","830101103"
"112","830101201","830101204","830101205","830101202","830010121","830101203"
"113","830101301","830101304","830101305","830101302","830010131","830101303"
"114","830101401","830101404","830101405","830101402","830010141","830101403"
"115","830101501","830101504","830101505","830101502","830010151","830101503"
"116","830101601","830101604","830101605","830101602","830010161","830101603"
"117","830101701","830101704","830101705","830101702","830010171","830101703"
"118","830101801","830101804","830101805","830101802","830010181","830101803"
"119","830101901","830101904","830101905","830101902","830010191","830101903"
"120","830102001","0","0","0","830010201","0"
"121","830102101","830102104","830102105","830102102","830010211","830102103"
"122","830102201","830102204","830102205","830102202","830010221","830102203"
"123","830102301","830102304","830102305","830102302","830010231","830102303"
"124","830102401","830102404","830102405","830102402","830010241","830102403"
"125","830102501","830102504","830102505","830102502","830010251","830102503"
"126","830102601","830102604","830102605","830102602","830010261","830102603"
"127","830102701","830102704","830102705","830102702","830010271","830102703"
"128","830102801","830102804","830102805","830102802","830010281","830102803"
"129","830102901","830102904","830102905","830102902","830010291","830102903"
"130","830103001","0","0","0","830010301","0"
"131","830103101","830103104","830103105","830103102","830010311","830103103"
"132","830103201","830103204","830103205","830103202","830010321","830103203"
"133","830103301","830103304","830103305","830103302","830010331","830103303"
"134","830103401","830103404","830103405","830103402","830010341","830103403"
"135","830103501","830103504","830103505","830103502","830010351","830103503"
"136","830103601","830103604","830103605","830103602","830010361","830103603"
"137","830103701","830103704","830103705","830103702","830010371","830103703"
"138","830103801","830103804","830103805","830103802","830010381","830103803"
"139","830103901","830103904","830103905","830103902","830010391","830103903"
"140","830104001","0","0","0","830010401","0"
"141","830104101","830104104","830104105","830104102","830010411","830104103"
"142","830104201","830104204","830104205","830104202","830010421","830104203"
"143","830104301","830104304","830104305","830104302","830010431","830104303"
"144","830104401","830104404","830104405","830104402","830010441","830104403"
"145","830104501","830104504","830104505","830104502","830010451","830104503"
"146","830104601","830104604","830104605","830104602","830010461","830104603"
"147","830104701","830104704","830104705","830104702","830010471","830104703"
"148","830104801","830104804","830104805","830104802","830010481","830104803"
"149","830104901","830104904","830104905","830104902","830010491","830104903"
"150","830105001","0","0","0","830010501","0"
"151","840100101","840100104","840100105","840100102","840010011","840100103"
"152","840100201","840100204","840100205","840100202","840010021","840100203"
"153","840100301","840100304","840100305","840100302","840010031","840100303"
"154","840100401","840100404","840100405","840100402","840010041","840100403"
"155","840100501","840100504","840100505","840100502","840010051","840100503"
"156","840100601","840100604","840100605","840100602","840010061","840100603"
"157","840100701","840100704","840100705","840100702","840010071","840100703"
"158","840100801","840100804","840100805","840100802","840010081","840100803"
"159","840100901","840100904","840100905","840100902","840010091","840100903"
"160","840101001","0","0","0","840010101","0"
"161","840101101","840101104","840101105","840101102","840010111","840101103"
"162","840101201","840101204","840101205","840101202","840010121","840101203"
"163","840101301","840101304","840101305","840101302","840010131","840101303"
"164","840101401","840101404","840101405","840101402","840010141","840101403"
"165","840101501","840101504","840101505","840101502","840010151","840101503"
"166","840101601","840101604","840101605","840101602","840010161","840101603"
"167","840101701","840101704","840101705","840101702","840010171","840101703"
"168","840101801","840101804","840101805","840101802","840010181","840101803"
"169","840101901","840101904","840101905","840101902","840010191","840101903"
"170","840102001","0","0","0","840010201","0"
"171","840102101","840102104","840102105","840102102","840010211","840102103"
"172","840102201","840102204","840102205","840102202","840010221","840102203"
"173","840102301","840102304","840102305","840102302","840010231","840102303"
"174","840102401","840102404","840102405","840102402","840010241","840102403"
"175","840102501","840102504","840102505","840102502","840010251","840102503"
"176","840102601","840102604","840102605","840102602","840010261","840102603"
"177","840102701","840102704","840102705","840102702","840010271","840102703"
"178","840102801","840102804","840102805","840102802","840010281","840102803"
"179","840102901","840102904","840102905","840102902","840010291","840102903"
"180","840103001","0","0","0","840010301","0"
"181","840103101","840103104","840103105","840103102","840010311","840103103"
"182","840103201","840103204","840103205","840103202","840010321","840103203"
"183","840103301","840103304","840103305","840103302","840010331","840103303"
"184","840103401","840103404","840103405","840103402","840010341","840103403"
"185","840103501","840103504","840103505","840103502","840010351","840103503"
"186","840103601","840103604","840103605","840103602","840010361","840103603"
"187","840103701","840103704","840103705","840103702","840010371","840103703"
"188","840103801","840103804","840103805","840103802","840010381","840103803"
"189","840103901","840103904","840103905","840103902","840010391","840103903"
"190","840104001","0","0","0","840010401","0"
"191","840104101","840104104","840104105","840104102","840010411","840104103"
"192","840104201","840104204","840104205","840104202","840010421","840104203"
"193","840104301","840104304","840104305","840104302","840010431","840104303"
"194","840104401","840104404","840104405","840104402","840010441","840104403"
"195","840104501","840104504","840104505","840104502","840010451","840104503"
"196","840104601","840104604","840104605","840104602","840010461","840104603"
"197","840104701","840104704","840104705","840104702","840010471","840104703"
"198","840104801","840104804","840104805","840104802","840010481","840104803"
"199","840104901","840104904","840104905","840104902","840010491","840104903"
"200","840105001","0","0","0","840010501","0"
"201","850100101","850100104","850100105","850100102","850010011","850100103"
"202","850100201","850100204","850100205","850100202","850010021","850100203"
"203","850100301","850100304","850100305","850100302","850010031","850100303"
"204","850100401","850100404","850100405","850100402","850010041","850100403"
"205","850100501","850100504","850100505","850100502","850010051","850100503"
"206","850100601","850100604","850100605","850100602","850010061","850100603"
"207","850100701","850100704","850100705","850100702","850010071","850100703"
"208","850100801","850100804","850100805","850100802","850010081","850100803"
"209","850100901","850100904","850100905","850100902","850010091","850100903"
"210","850101001","0","0","0","850010101","0"
"211","850101101","850101104","850101105","850101102","850010111","850101103"
"212","850101201","850101204","850101205","850101202","850010121","850101203"
"213","850101301","850101304","850101305","850101302","850010131","850101303"
"214","850101401","850101404","850101405","850101402","850010141","850101403"
"215","850101501","850101504","850101505","850101502","850010151","850101503"
"216","850101601","850101604","850101605","850101602","850010161","850101603"
"217","850101701","850101704","850101705","850101702","850010171","850101703"
"218","850101801","850101804","850101805","850101802","850010181","850101803"
"219","850101901","850101904","850101905","850101902","850010191","850101903"
"220","850102001","0","0","0","850010201","0"
"221","850102101","850102104","850102105","850102102","850010211","850102103"
"222","850102201","850102204","850102205","850102202","850010221","850102203"
"223","850102301","850102304","850102305","850102302","850010231","850102303"
"224","850102401","850102404","850102405","850102402","850010241","850102403"
"225","850102501","850102504","850102505","850102502","850010251","850102503"
"226","850102601","850102604","850102605","850102602","850010261","850102603"
"227","850102701","850102704","850102705","850102702","850010271","850102703"
"228","850102801","850102804","850102805","850102802","850010281","850102803"
"229","850102901","850102904","850102905","850102902","850010291","850102903"
"230","850103001","0","0","0","850010301","0"
"231","850103101","850103104","850103105","850103102","850010311","850103103"
"232","850103201","850103204","850103205","850103202","850010321","850103203"
"233","850103301","850103304","850103305","850103302","850010331","850103303"
"234","850103401","850103404","850103405","850103402","850010341","850103403"
"235","850103501","850103504","850103505","850103502","850010351","850103503"
"236","850103601","850103604","850103605","850103602","850010361","850103603"
"237","850103701","850103704","850103705","850103702","850010371","850103703"
"238","850103801","850103804","850103805","850103802","850010381","850103803"
"239","850103901","850103904","850103905","850103902","850010391","850103903"
"240","850104001","0","0","0","850010401","0"
"241","850104101","850104104","850104105","850104102","850010411","850104103"
"242","850104201","850104204","850104205","850104202","850010421","850104203"
"243","850104301","850104304","850104305","850104302","850010431","850104303"
"244","850104401","850104404","850104405","850104402","850010441","850104403"
"245","850104501","850104504","850104505","850104502","850010451","850104503"
"246","850104601","850104604","850104605","850104602","850010461","850104603"
"247","850104701","850104704","850104705","850104702","850010471","850104703"
"248","850104801","850104804","850104805","850104802","850010481","850104803"
"249","850104901","850104904","850104905","850104902","850010491","850104903"
"250","850105001","0","0","0","850010501","0"
