18f1e81bdfe6aa072a765b488330158b449f590191d6ffe6db8d98ad257b84f7,5b29cf839baafb2603a9e93dbc1d6b859fa10dc9258f4afecde442a8d9860ac1,40789d594de32ca72bc860e80b2229c363c8a499e12cd4cc3316216893241b84,5db711b6630594537bf474e047bd903e1ec9af63d2391d8cd1f993027d685a3c,fe74105f26060472b16a59fd58509fd070e1348336e678dc036ce1c93c0991f7,8940d01d8af697001ad9a523cd0821f9c770966cf1d066e47d80774f3f5ef61a
"30","8","0","91002","99001097","180"
"1","15","1003","11001098","99001098","181"
"30","8","0","91002","99001098","182"
"1","15","1001","11001099","99001099","183"
"30","8","0","91002","99001099","184"
"1","15","1001","11001100","99001100","185"
"30","8","0","91002","99001100","186"
"1","15","1002","11001101","99001101","187"
"30","8","0","91002","99001101","188"
"1","15","1003","11001102","99001102","189"
"30","8","0","91002","99001102","190"
"1","15","1001","11001103","99001103","191"
"30","8","0","91002","99001103","192"
"1","15","1001","11001104","99001104","193"
"30","8","0","91002","99001104","194"
"1","15","1002","11001105","99001105","195"
"30","8","0","91002","99001105","196"
"1","15","1003","11001106","99001106","197"
"30","8","0","91002","99001106","198"
"1","15","1001","11001107","99001107","199"
"30","8","0","91002","99001107","200"
"1","15","1001","11001108","99001108","201"
"30","8","0","91002","99001108","202"
"1","15","1002","11001109","99001109","203"
"30","8","0","91002","99001109","204"
"1","15","1003","11001110","99001110","205"
"30","8","0","91002","99001110","206"
"1","15","1001","11001111","99001111","207"
"30","8","0","91002","99001111","208"
"1","15","1001","11001112","99001112","209"
"30","8","0","91002","99001112","210"
"1","15","1002","11001113","99001113","211"
"30","8","0","91002","99001113","212"
"1","15","1003","11001114","99001114","213"
"30","8","0","91002","99001114","214"
"1","15","1001","11001115","99001115","215"
"30","8","0","91002","99001115","216"
"1","15","1001","11001116","99001116","217"
"30","8","0","91002","99001116","218"
"1","15","1002","11001117","99001117","219"
"30","8","0","91002","99001117","220"
"1","15","1003","11001118","99001118","221"
"30","8","0","91002","99001118","222"
"1","15","1001","11001119","99001119","223"
"30","8","0","91002","99001119","224"
"1","15","1001","11001120","99001120","225"
"30","8","0","91002","99001120","226"
"1","15","1002","11001121","99001121","227"
"30","8","0","91002","99001121","228"
"1","15","1003","11001122","99001122","229"
"30","8","0","91002","99001122","230"
"1","15","1001","11001123","99001123","231"
"30","8","0","91002","99001123","232"
"1","15","1001","11001124","99001124","233"
"30","8","0","91002","99001124","234"
"1","15","1002","11001125","99001125","235"
"30","8","0","91002","99001125","236"
"1","15","1003","11001126","99001126","237"
"30","8","0","91002","99001126","238"
"1","15","1001","11001127","99001127","239"
"30","8","0","91002","99001127","240"
"1","15","1001","11001128","99001128","241"
"30","8","0","91002","99001128","242"
"1","15","1002","11001129","99001129","243"
"30","8","0","91002","99001129","244"
"1","15","1003","11001130","99001130","245"
"30","8","0","91002","99001130","246"
"1","15","1003","11001131","99001131","247"
"1","15","1001","11001132","99001132","248"
"30","8","0","91002","99001132","249"
"1","15","1001","11001133","99001133","250"
"30","8","0","91002","99001133","251"
"1","15","1002","11001134","99001134","252"
"30","8","0","91002","99001134","253"
"1","15","1003","11001135","99001135","254"
"30","8","0","91002","99001135","255"
"1","15","1001","11001136","99001136","256"
"30","8","0","91002","99001136","257"
"1","15","1001","11001137","99001137","258"
"30","8","0","91002","99001137","259"
"1","15","1002","11001138","99001138","260"
"30","8","0","91002","99001138","261"
"1","15","1003","11001139","99001139","262"
"30","8","0","91002","99001139","263"
"1","15","1003","11001140","99001140","264"
"1","15","1001","11001142","99001142","265"
"30","8","0","91002","99001142","266"
"1","15","1001","11001143","99001143","267"
"30","8","0","91002","99001143","268"
"1","15","1002","11001144","99001144","269"
"30","8","0","91002","99001144","270"
"1","15","1003","11001145","99001145","271"
"30","8","0","91002","99001145","272"
"0","15","1001","11001146","99001146","273"
"0","15","1002","11001147","99001147","274"
"1","15","1001","11001148","99001148","275"
"30","8","0","91002","99001148","276"
"1","15","1001","11001149","99001149","277"
"30","8","0","91002","99001149","278"
"1","15","1002","11001150","99001150","279"
"30","8","0","91002","99001150","280"
"1","15","1003","11001151","99001151","281"
"30","8","0","91002","99001151","282"
"1","15","1001","11001152","99001152","283"
"30","8","0","91002","99001152","284"
"1","15","1001","11001153","99001153","285"
"30","8","0","91002","99001153","286"
"1","15","1002","11001154","99001154","287"
"30","8","0","91002","99001154","288"
"1","15","1003","11001155","99001155","289"
"30","8","0","91002","99001155","290"
"1","15","1001","11001156","99001156","291"
"30","8","0","91002","99001156","292"
"1","15","1001","11001157","99001157","293"
"30","8","0","91002","99001157","294"
"1","15","1002","11001158","99001158","295"
"30","8","0","91002","99001158","296"
"1","15","1003","11001159","99001159","297"
"30","8","0","91002","99001159","298"
"1","15","1001","11001160","99001160","299"
"30","8","0","91002","99001160","300"
"1","15","1001","11001161","99001161","301"
"30","8","0","91002","99001161","302"
"1","15","1002","11001162","99001162","303"
"30","8","0","91002","99001162","304"
"1","15","1003","11001163","99001163","305"
"30","8","0","91002","99001163","306"
"1","15","1002","11001164","99001164","307"
"1","15","1003","11001165","99001165","308"
"1","15","1001","11001166","99001166","309"
"30","8","0","91002","99001166","310"
"1","15","1001","11001167","99001167","311"
"30","8","0","91002","99001167","312"
"1","15","1002","11001168","99001168","313"
"30","8","0","91002","99001168","314"
"1","15","1003","11001169","99001169","315"
"30","8","0","91002","99001169","316"
"1","15","1001","11001170","99001170","317"
"30","8","0","91002","99001170","318"
"1","15","1001","11001171","99001171","319"
"30","8","0","91002","99001171","320"
"1","15","1002","11001172","99001172","321"
"30","8","0","91002","99001172","322"
"1","15","1003","11001173","99001173","323"
"30","8","0","91002","99001173","324"
"1","15","1001","11001174","99001174","325"
"30","8","0","91002","99001174","326"
"1","15","1001","11001175","99001175","327"
"30","8","0","91002","99001175","328"
"1","15","1002","11001176","99001176","329"
"30","8","0","91002","99001176","330"
"1","15","1003","11001177","99001177","331"
"30","8","0","91002","99001177","332"
"1","15","1001","11001178","99001178","333"
"30","8","0","91002","99001178","334"
"1","15","1001","11001179","99001179","335"
"30","8","0","91002","99001179","336"
"1","15","1002","11001180","99001180","337"
"30","8","0","91002","99001180","338"
"1","15","1003","11001181","99001181","339"
"30","8","0","91002","99001181","340"
"1","15","1001","11001182","99001182","341"
"30","8","0","91002","99001182","342"
"1","15","1001","11001183","99001183","343"
"30","8","0","91002","99001183","344"
"1","15","1002","11001184","99001184","345"
"30","8","0","91002","99001184","346"
"1","15","1003","11001185","99001185","347"
"30","8","0","91002","99001185","348"
"1","15","1001","11001186","99001186","349"
"30","8","0","91002","99001186","350"
"1","15","1001","11001187","99001187","351"
"30","8","0","91002","99001187","352"
"1","15","1002","11001188","99001188","353"
"30","8","0","91002","99001188","354"
"1","15","1003","11001189","99001189","355"
"30","8","0","91002","99001189","356"
"1","15","1001","11001190","99001190","357"
"30","8","0","91002","99001190","358"
"1","15","1001","11001191","99001191","359"
"30","8","0","91002","99001191","360"
"1","15","1002","11001192","99001192","361"
"30","8","0","91002","99001192","362"
"1","15","1003","11001193","99001193","363"
"30","8","0","91002","99001193","364"
"1","15","1001","11001194","99001194","365"
"30","8","0","91002","99001194","366"
"1","15","1001","11001195","99001195","367"
"30","8","0","91002","99001195","368"
"1","15","1002","11001196","99001196","369"
"30","8","0","91002","99001196","370"
"1","15","1003","11001197","99001197","371"
"30","8","0","91002","99001197","372"
"1","15","1002","11001198","99001198","373"
"1","15","1003","11001199","99001199","374"
"1","15","1001","11001200","99001200","375"
"30","8","0","91002","99001200","376"
"1","15","1001","11001201","99001201","377"
"30","8","0","91002","99001201","378"
"1","15","1002","11001202","99001202","379"
"30","8","0","91002","99001202","380"
"1","15","1003","11001203","99001203","381"
"30","8","0","91002","99001203","382"
"1","15","1003","11001204","99001204","383"
"1","15","1001","11001205","99001205","384"
"30","8","0","91002","99001205","385"
"1","15","1001","11001206","99001206","386"
"30","8","0","91002","99001206","387"
"1","15","1002","11001207","99001207","388"
"30","8","0","91002","99001207","389"
"1","15","1003","11001208","99001208","390"
"30","8","0","91002","99001208","391"
"1","15","1001","11001209","99001209","392"
"30","8","0","91002","99001209","393"
"1","15","1001","11001210","99001210","394"
"30","8","0","91002","99001210","395"
"1","15","1002","11001211","99001211","396"
"30","8","0","91002","99001211","397"
"1","15","1003","11001212","99001212","398"
"30","8","0","91002","99001212","399"
"1","15","1001","11001213","99001213","400"
"30","8","0","91002","99001213","401"
"1","15","1001","11001214","99001214","402"
"30","8","0","91002","99001214","403"
"1","15","1002","11001215","99001215","404"
"30","8","0","91002","99001215","405"
"1","15","1003","11001216","99001216","406"
"30","8","0","91002","99001216","407"
"1","15","1001","11001217","99001217","408"
"30","8","0","91002","99001217","409"
"1","15","1001","11001218","99001218","410"
"30","8","0","91002","99001218","411"
"1","15","1002","11001219","99001219","412"
"30","8","0","91002","99001219","413"
"1","15","1003","11001220","99001220","414"
"30","8","0","91002","99001220","415"
"1","15","1001","11001221","99001221","416"
"30","8","0","91002","99001221","417"
"1","15","1001","11001222","99001222","418"
"30","8","0","91002","99001222","419"
"1","15","1002","11001223","99001223","420"
"30","8","0","91002","99001223","421"
"1","15","1003","11001224","99001224","422"
"30","8","0","91002","99001224","423"
"1","15","1001","11001225","99001225","424"
"30","8","0","91002","99001225","425"
"1","15","1001","11001226","99001226","426"
"30","8","0","91002","99001226","427"
"1","15","1002","11001227","99001227","428"
"30","8","0","91002","99001227","429"
"1","15","1003","11001228","99001228","430"
"30","8","0","91002","99001228","431"
"1","15","1001","11001229","99001229","432"
"30","8","0","91002","99001229","433"
"1","15","1001","11001230","99001230","434"
"30","8","0","91002","99001230","435"
"1","15","1002","11001231","99001231","436"
"30","8","0","91002","99001231","437"
"1","15","1003","11001232","99001232","438"
"30","8","0","91002","99001232","439"
"1","15","1001","11001233","99001233","440"
"30","8","0","91002","99001233","441"
"1","15","1001","11001234","99001234","442"
"30","8","0","91002","99001234","443"
"1","15","1002","11001235","99001235","444"
"30","8","0","91002","99001235","445"
"1","15","1003","11001236","99001236","446"
"30","8","0","91002","99001236","447"
"1","15","1001","11001237","99001237","448"
"30","8","0","91002","99001237","449"
"1","15","1001","11001238","99001238","450"
"30","8","0","91002","99001238","451"
"1","15","1002","11001239","99001239","452"
"30","8","0","91002","99001239","453"
"1","15","1003","11001240","99001240","454"
"30","8","0","91002","99001240","455"
"1","15","1001","11001241","99001241","456"
"30","8","0","91002","99001241","457"
"1","15","1001","11001242","99001242","458"
"30","8","0","91002","99001242","459"
"1","15","1002","11001243","99001243","460"
"30","8","0","91002","99001243","461"
"1","15","1003","11001244","99001244","462"
"30","8","0","91002","99001244","463"
"1","15","1001","11001245","99001245","464"
"30","8","0","91002","99001245","465"
"1","15","1001","11001246","99001246","466"
"30","8","0","91002","99001246","467"
"1","15","1002","11001247","99001247","468"
"30","8","0","91002","99001247","469"
"1","15","1003","11001248","99001248","470"
"30","8","0","91002","99001248","471"
"1","15","1003","11001249","99001249","472"
"1","15","1001","11001250","99001250","473"
"30","8","0","91002","99001250","474"
"1","15","1001","11001251","99001251","475"
"30","8","0","91002","99001251","476"
"1","15","1002","11001252","99001252","477"
"30","8","0","91002","99001252","478"
"1","15","1003","11001253","99001253","479"
"30","8","0","91002","99001253","480"
"1","15","1001","11001254","99001254","481"
"30","8","0","91002","99001254","482"
"1","15","1001","11001255","99001255","483"
"30","8","0","91002","99001255","484"
"1","15","1002","11001256","99001256","485"
"30","8","0","91002","99001256","486"
"1","15","1003","11001257","99001257","487"
"30","8","0","91002","99001257","488"
"1","15","1001","11001258","99001258","489"
"30","8","0","91002","99001258","490"
"1","15","1001","11001259","99001259","491"
"30","8","0","91002","99001259","492"
"1","15","1002","11001260","99001260","493"
"30","8","0","91002","99001260","494"
"1","15","1003","11001261","99001261","495"
"30","8","0","91002","99001261","496"
"1","15","1001","11001262","99001262","497"
"1","15","1001","11001263","99001263","498"
"1","15","1001","11001264","99001264","499"
"1","15","1002","11001265","99001265","500"
"1","15","1003","11001266","99001266","501"
"1","15","1001","11001267","99001267","502"
"30","8","0","91002","99001267","503"
"1","15","1001","11001268","99001268","504"
"30","8","0","91002","99001268","505"
"1","15","1002","11001269","99001269","506"
"30","8","0","91002","99001269","507"
"1","15","1003","11001270","99001270","508"
"30","8","0","91002","99001270","509"
"1","15","1003","11001271","99001271","510"
"1","15","1001","11001272","99001272","511"
"30","8","0","91002","99001272","512"
"1","15","1001","11001273","99001273","513"
"30","8","0","91002","99001273","514"
"1","15","1002","11001274","99001274","515"
"30","8","0","91002","99001274","516"
"1","15","1003","11001275","99001275","517"
"30","8","0","91002","99001275","518"
"1","15","1003","11001276","99001276","519"
"1","15","1001","11001277","99001277","520"
"30","8","0","91002","99001277","521"
"1","15","1001","11001278","99001278","522"
"30","8","0","91002","99001278","523"
"1","15","1002","11001279","99001279","524"
"30","8","0","91002","99001279","525"
"1","15","1003","11001280","99001280","526"
"30","8","0","91002","99001280","527"
"1","15","1001","11001281","99001281","528"
"30","8","0","91002","99001281","529"
"1","15","1001","11001282","99001282","530"
"30","8","0","91002","99001282","531"
"1","15","1002","11001283","99001283","532"
"30","8","0","91002","99001283","533"
"1","15","1003","11001284","99001284","534"
"30","8","0","91002","99001284","535"
"1","15","1003","11001285","99001285","536"
"1","15","1001","11001286","99001286","537"
"30","8","0","91002","99001286","538"
"1","15","1001","11001287","99001287","539"
"30","8","0","91002","99001287","540"
"1","15","1002","11001288","99001288","541"
"30","8","0","91002","99001288","542"
"1","15","1003","11001289","99001289","543"
"30","8","0","91002","99001289","544"
"1","15","1001","11001290","99001290","545"
"30","8","0","91002","99001290","546"
"1","15","1001","11001291","99001291","547"
"30","8","0","91002","99001291","548"
"1","15","1002","11001292","99001292","549"
"30","8","0","91002","99001292","550"
"1","15","1003","11001293","99001293","551"
"30","8","0","91002","99001293","552"
"1","15","1001","11001294","99001294","553"
"30","8","0","91002","99001294","554"
"1","15","1001","11001295","99001295","555"
"30","8","0","91002","99001295","556"
"1","15","1002","11001296","99001296","557"
"30","8","0","91002","99001296","558"
"1","15","1003","11001297","99001297","559"
"30","8","0","91002","99001297","560"
"1","15","1001","11001298","99001298","561"
"30","8","0","91002","99001298","562"
"1","15","1001","11001299","99001299","563"
"30","8","0","91002","99001299","564"
"1","15","1002","11001300","99001300","565"
"30","8","0","91002","99001300","566"
"1","15","1003","11001301","99001301","567"
"30","8","0","91002","99001301","568"
"1","15","1003","11001302","99001302","569"
"1","15","1003","11001303","99001303","570"
"1","15","1003","11001304","99001304","571"
"1","15","1001","11001305","99001305","572"
"30","8","0","91002","99001305","573"
"1","15","1001","11001306","99001306","574"
"30","8","0","91002","99001306","575"
"1","15","1002","11001307","99001307","576"
"30","8","0","91002","99001307","577"
"1","15","1003","11001308","99001308","578"
"30","8","0","91002","99001308","579"
"1","15","1001","11001309","99001309","580"
"30","8","0","91002","99001309","581"
"1","15","1001","11001310","99001310","582"
"30","8","0","91002","99001310","583"
"1","15","1002","11001311","99001311","584"
"30","8","0","91002","99001311","585"
"1","15","1003","11001312","99001312","586"
"30","8","0","91002","99001312","587"
"1","15","1003","11001313","99001313","588"
"1","15","1001","11001314","99001314","589"
"30","8","0","91002","99001314","590"
"1","15","1001","11001315","99001315","591"
"30","8","0","91002","99001315","592"
"1","15","1002","11001316","99001316","593"
"30","8","0","91002","99001316","594"
"1","15","1003","11001317","99001317","595"
"30","8","0","91002","99001317","596"
"1","15","1003","11001318","99001318","597"
"1","15","1001","11001319","99001319","598"
"30","8","0","91002","99001319","599"
"1","15","1001","11001320","99001320","600"
"30","8","0","91002","99001320","601"
"1","15","1002","11001321","99001321","602"
"30","8","0","91002","99001321","603"
"1","15","1003","11001322","99001322","604"
"30","8","0","91002","99001322","605"
"1","15","1003","11001323","99001323","606"
"1","15","1001","11001324","99001324","607"
"30","8","0","91002","99001324","608"
"1","15","1001","11001325","99001325","609"
"30","8","0","91002","99001325","610"
"1","15","1002","11001326","99001326","611"
"30","8","0","91002","99001326","612"
"1","15","1003","11001327","99001327","613"
"30","8","0","91002","99001327","614"
"1","15","1003","11001328","99001328","615"
"1","15","1001","11001329","99001329","616"
"30","8","0","91002","99001329","617"
"1","15","1001","11001330","99001330","618"
"30","8","0","91002","99001330","619"
"1","15","1002","11001331","99001331","620"
"30","8","0","91002","99001331","621"
"1","15","1003","11001332","99001332","622"
"30","8","0","91002","99001332","623"
"1","15","1001","11001333","99001333","624"
"30","8","0","91002","99001333","625"
"1","15","1001","11001334","99001334","626"
"30","8","0","91002","99001334","627"
"1","15","1002","11001335","99001335","628"
"30","8","0","91002","99001335","629"
"1","15","1003","11001336","99001336","630"
"30","8","0","91002","99001336","631"
"1","15","1002","11001337","99001337","632"
"1","15","1002","11001338","99001338","633"
"1","15","1003","11001339","99001339","634"
