0a7d2f617f14805ab1bf53788cb113b8c1cc5780d48d6a3768824d7e9226202b,dd5a556a8030e03a05fb8631d8d31f467a54bcfdf55cf4a76c066268e64f0e9d,f5a37be1d03ae303d4967b3cde4a155eaf3eb8ed9e1a7b4dfacd11b5a4ff5701,e741cbe2fe59347759f4924f8d38544c612ab68bbe25885792d1cfb6d450a2ad,9543b4d9cebca4c215ae86db40d17db7d63e46fa06d8e6105cc70f05d4ccc24a
"37","92407140","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"38","92407140","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"39","92407140","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"40","92407140","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"41","92407140","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"42","92407140","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"43","92407140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"44","92407210","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"45","92407210","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"46","92407210","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"47","92407210","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"48","92407210","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"49","92407210","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"50","92407210","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"51","92407210","戰鬥開始時，所有怪物特大幅度恢復自身的ＴＰ。","energy_recover","TP恢復"
"52","92407220","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"53","92407220","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"54","92407220","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"55","92407220","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"56","92407220","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"57","92407220","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"58","92407220","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"59","92407230","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"60","92407230","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"61","92407230","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"62","92407230","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"63","92407230","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"64","92407230","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"65","92407230","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"66","92407240","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"67","92407240","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"68","92407240","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"69","92407240","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"70","92407240","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"71","92407240","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"72","92407240","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"73","92407310","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"74","92407310","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"75","92407310","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"76","92407310","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"77","92407310","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"78","92407310","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"79","92407310","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"80","92407320","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"81","92407320","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"82","92407320","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"83","92407320","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"84","92407320","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"85","92407320","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"86","92407320","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"87","92407330","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"88","92407330","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"89","92407330","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"90","92407330","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"91","92407330","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"92","92407330","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"93","92407330","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"94","92407340","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"95","92407340","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"96","92407340","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"97","92407340","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"98","92407340","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"99","92407340","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"100","92407340","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"101","92408010","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"102","92408010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"103","92408010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"104","92408010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"105","92408010","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"106","92408020","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"107","92408020","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"108","92408020","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"109","92408020","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"110","92408020","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"111","92408030","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"112","92408030","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"113","92408030","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"114","92408030","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"115","92408030","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"116","92408110","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"117","92408110","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"118","92408110","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"119","92408110","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"120","92408110","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"121","92408110","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"122","92408110","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"123","92408120","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"124","92408120","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"125","92408120","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"126","92408120","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"127","92408120","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"128","92408120","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"129","92408120","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"130","92408130","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"131","92408130","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"132","92408130","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"133","92408130","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"134","92408130","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"135","92408130","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"136","92408130","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"137","92408140","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"138","92408140","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"139","92408140","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"140","92408140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"141","92408140","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"142","92408140","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"143","92408140","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"144","92408210","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"145","92408210","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"146","92408210","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"147","92408210","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"148","92408210","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"149","92408210","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"150","92408210","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"151","92408220","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"152","92408220","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"153","92408220","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"154","92408220","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"155","92408220","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"156","92408220","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"157","92408220","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"158","92408230","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"159","92408230","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"160","92408230","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"161","92408230","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"162","92408230","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"163","92408230","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"164","92408230","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"165","92408240","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"166","92408240","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"167","92408240","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"168","92408240","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"169","92408240","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"170","92408240","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"171","92408240","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"172","92408310","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"173","92408310","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"174","92408310","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"175","92408310","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"176","92408310","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"177","92408310","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"178","92408310","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"179","92408320","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"180","92408320","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"181","92408320","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"182","92408320","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"183","92408320","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"184","92408320","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"185","92408320","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"186","92408330","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"187","92408330","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"188","92408330","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"189","92408330","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"190","92408330","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"191","92408330","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"192","92408330","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"193","92408340","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","13","水屬性獎勵特大幅度提升"
"194","92408340","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"195","92408340","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"196","92408340","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"197","92408340","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"198","92408340","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"199","92408340","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","降低HP吸收"
"200","92409010","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
