28054748d08c6d6d94dec1bde9d5208269e5aad65224bb12ff6d3c98238b0589,9f9fae77a70716baed8e94c94a3f9d0aeb14bcc6c6c2c6f6cec0614ee4d52e84,a96ab51fc0d6f5631ee547b769d1f6a7afb65514ece05c368c3019d986c24185,0e08175ccd651a83cdf2f3a6f66dabd1e2725968b7f9d1d0adc1fad4b84ef3a3,9824f83f0f24ec18e94a69f7f58f4c2ddf5034eaed1d0c258e0dc3a87e0e5cd1,e2cb900635eced9b5c910910c09eecb143a9cfd565397f49f21ad780f8bfe417,e37c9d33b465b778ddd127fb134005f5e4d7526e982d88e243059324b909655e,f01065d780d32a9be688110ad893248c40568eb6fe37e140a30b745ca0a11aef,50646da23e9ec7ca517d753412dd9d9268ae38c50ad99db30f361d112c2700be,4694c8cca22441242f0f45210ae33b462f701eb8990cda661f878485b4e183fd,20e18e29b843e6e8f80983273c04b586b9678c0bf5d4356360f12bdc5ce6a78e,d6baf1f9cd57c3e367616bedcbaea92d3877c740eb44ddd67781dd6927c6ee22,d04d0df97c306d39430ea3f765c4c97de6e02b759ed39a848c45ebda5367d2b1,e26ac75952a935ab90fac50938305eb9dbc972d1bb950eae0b19d1903a239d3f,bad5ea04843934cfcad71742d1d8bb5019e6a12f01a8c7bef3dfa1d98ddd9c01,06b2ea14e24f35a8299bd96c2ad516c691ee8fbb1238e821703b7558d7c80839,814ca8ac4da3a06b43c9a61755099de38ef8e90ed95231fa733893a7167f685c,d872d66c9b835b125756d62258ac084191c16d19a6fc96fd265ba3f124183a31,5394f897985013c1331059088438ac675630b069f4966e7f6d9495ae821a06f9,b03f9313921d213016de4743f24cb7809cb9c2d085e2f1ead7114df0eaf1a601,3d34f8bcc5af47787f38742c85736eba2abf6daf1687b5af467a2c17dfe6d4c7,fe2576df85b38ea7ea8c315eef6cd2c65dce0c2669eb0154b21a5405279c5313,2e8a841062c7806e02afc8d5b6238a75d7348842ffa582741cfb7a472afc9907,e935ce3aee747143a403af4004b2bd04a28c11204fe7b721f5534a79ceeb28ab,5a3dfad7c788cfb5a1b5316223cc81d4c56c809dd7deaa98d0d7bdf933bc642d,280ff4f3517da8f3bbc7345b98be0d96ca9cac85c8f55a5b92036f6b1baa597c,142f9cdea87682d61ef00757ee4353499d81fc70ab10f43d6ec175b7c6443a67,f61fc796ed3480717e988c3d44fcac9ad53b705bf7f33e9cd55beb2f466b4f0b,b5a7e10660b517b097e92886b49e8e3939ff21f7f30725766f8b679bd0a078f9,bcdeb93e1f2909d81bca0b55cce8f5a8bfceae2d293592c3d93c9536198ca8a5,4cf25169c9ca18dbfca46a8b3c825a9bde16043f8b9ee9ff1f39214a0aae8108,c0f59cbbfea950f39e29f2023e8858a038a3f0b8c3a1cd71c7776c221e68cfad,cd517b0d68209394692cf324623bcd023f69f40dbeb7685bb798ac3675938c7e,68dea9f7a4e0a436ee1e707d00fef78fa4a1870ffada85538147e4ca8632bcb2,58585255cafa82a9a20d9031194d3aac9b324b77ec64cc25d6f07c39f9fd6b11,9ee75c219902ab72e989a946f801dfa246822963579c449b601c2e74a7336ec2,ce9bc576e2a799ce06296236993504069b6f23d5d6126fb581022c0d96d63acd,d925909d9021170e574bc14a6acbbb7502ece3ccaf3f53f377ac01f27cb01241,6f537f409ce3170487db871492f8c00751990bb970817a682cc7e1bdc8c1a8b0,2eb16b76c7fc5f96734f283263b0339ab0e86c9ec0441e2ed9f69b1fb41a0c11
"20","1","20","0","0","20","0","10","20","16","20","0","20","1563","620010020","0","10","20","20","20","20","13","20","20","200000006","20","0","20","0","30","186","200100","0","1","20","0","0","20","1","20"
"21","1","21","0","0","21","0","10","21","18","21","0","21","1784","620010021","0","10","21","21","21","21","15","21","21","200000006","21","0","21","0","30","206","200100","0","1","21","0","0","21","1","21"
"22","1","22","0","0","22","0","10","22","20","22","0","22","2005","620010022","0","10","22","22","22","22","17","22","22","200000006","22","0","22","0","30","225","200100","0","1","22","0","0","22","1","22"
"23","1","23","0","0","23","0","10","23","21","23","0","23","2225","620010023","0","10","23","23","23","23","18","23","23","200000006","23","0","23","0","30","245","200100","0","1","23","0","0","23","1","23"
"24","1","24","0","0","24","0","10","24","23","24","0","24","2446","620010024","0","10","24","24","24","24","20","24","24","200000006","24","0","24","0","30","264","200100","0","1","24","0","0","24","1","24"
"25","1","25","0","0","25","0","10","25","24","25","0","25","2701","620010025","0","10","25","25","25","25","21","25","25","200000006","25","0","25","0","30","267","200100","0","1","25","0","0","25","1","25"
"26","1","26","0","0","26","0","10","26","24","26","0","26","2956","620010026","0","10","26","26","26","26","21","26","26","200000006","26","0","26","0","30","269","200100","0","1","26","0","0","26","1","26"
"27","1","27","0","0","27","0","10","27","24","27","0","27","3211","620010027","0","10","27","27","27","27","21","27","27","200000006","27","0","27","0","30","289","200100","0","1","27","0","0","27","1","27"
"28","1","28","0","0","28","0","10","28","25","28","0","28","3466","620010028","0","10","28","28","28","28","21","28","28","200000006","28","0","28","0","30","309","200100","0","1","28","0","0","28","1","28"
"29","1","29","0","0","29","0","10","29","25","29","0","29","3721","620010029","0","10","29","29","29","29","22","29","29","200000006","29","0","29","0","30","330","200100","0","1","29","0","0","29","1","29"
"30","1","30","0","0","30","0","10","30","25","30","0","30","3976","620010030","0","10","30","30","30","30","22","30","30","200000006","30","0","30","0","30","350","200100","0","1","30","0","0","30","1","30"
"31","1","31","0","0","31","0","10","31","26","31","0","31","4232","620010031","0","10","31","31","31","31","22","31","31","200000006","31","0","31","0","30","370","200100","0","1","31","0","0","31","1","31"
"32","1","32","0","0","32","0","10","32","26","32","0","32","4487","620010032","0","10","32","32","32","32","22","32","32","200000006","32","0","32","0","30","390","200100","0","1","32","0","0","32","1","32"
"33","1","33","0","0","33","0","10","33","26","33","0","33","4742","620010033","0","10","33","33","33","33","22","33","33","200000006","33","0","33","0","30","410","200100","0","1","33","0","0","33","1","33"
"34","1","34","0","0","34","0","10","34","26","34","0","34","4997","620010034","0","10","34","34","34","34","23","34","34","200000006","34","0","34","0","30","431","200100","0","1","34","0","0","34","1","34"
"35","1","35","0","0","35","0","10","35","27","35","0","35","5252","620010035","0","10","35","35","35","35","23","35","35","200000006","35","0","35","0","30","451","200100","0","1","35","0","0","35","1","35"
"36","1","36","0","0","36","0","10","36","27","36","0","36","5507","620010036","0","10","36","36","36","36","23","36","36","200000006","36","0","36","0","30","471","200100","0","1","36","0","0","36","1","36"
"37","1","37","0","0","37","0","10","37","31","37","0","37","5667","620010037","0","10","37","37","37","37","27","37","37","200000006","37","0","37","0","30","516","200100","0","1","37","0","0","37","1","37"
"38","1","38","0","0","38","0","10","38","35","38","0","38","5826","620010038","0","10","38","38","38","38","31","38","38","200000006","38","0","38","0","30","562","200100","0","1","38","0","0","38","1","38"
"39","1","39","0","0","39","0","10","39","39","39","0","39","5986","620010039","0","10","39","39","39","39","35","39","39","200000006","39","0","39","0","30","607","200100","0","1","39","0","0","39","1","39"
"40","1","40","0","0","40","0","10","40","40","40","0","40","7437","620010040","0","10","40","40","40","40","36","40","40","200000006","40","0","40","0","30","712","200100","0","1","40","0","0","40","1","40"
"41","1","41","0","0","41","0","10","41","40","41","0","41","8888","620010041","0","10","41","41","41","41","36","41","41","200000006","41","0","41","0","30","816","200100","0","1","41","0","0","41","1","41"
"42","1","42","0","0","42","0","10","42","41","42","0","42","9321","620010042","0","10","42","42","42","42","36","42","42","200000006","42","0","42","0","30","913","200100","0","1","42","0","0","42","1","42"
"43","1","43","0","0","43","0","10","43","41","43","0","43","9754","620010043","0","10","43","43","43","43","36","43","43","200000006","43","0","43","0","30","1010","200100","0","1","43","0","0","43","1","43"
"44","1","44","0","0","44","0","10","44","45","44","0","44","10008","620010044","0","10","44","44","44","44","38","44","44","200000006","44","0","44","0","30","1079","200100","0","1","44","0","0","44","1","44"
"45","1","45","0","0","45","0","10","45","49","45","0","45","10263","620010045","0","10","45","45","45","45","41","45","45","200000006","45","0","45","0","30","1148","200100","0","1","45","0","0","45","1","45"
"46","1","46","0","0","46","0","10","46","53","46","0","46","10517","620010046","0","10","46","46","46","46","43","46","46","200000006","46","0","46","0","30","1217","200100","0","1","46","0","0","46","1","46"
"47","1","47","0","0","47","0","10","47","57","47","0","47","10771","620010047","0","10","47","47","47","47","45","47","47","200000006","47","0","47","0","30","1286","200100","0","1","47","0","0","47","1","47"
"48","1","48","0","0","48","0","10","48","61","48","0","48","11026","620010048","0","10","48","48","48","48","48","48","48","200000006","48","0","48","0","30","1355","200100","0","1","48","0","0","48","1","48"
"49","1","49","0","0","49","0","10","49","65","49","0","49","11280","620010049","0","10","49","49","49","49","50","49","49","200000006","49","0","49","0","30","1424","200100","0","1","49","0","0","49","1","49"
"50","1","50","0","0","50","0","10","50","69","50","0","50","11534","620010050","0","10","50","50","50","50","52","50","50","200000006","50","0","50","0","30","1493","200100","0","1","50","0","0","50","1","50"
"51","1","51","0","0","51","0","10","51","73","51","0","51","11789","620010051","0","10","51","51","51","51","55","51","51","200000006","51","0","51","0","30","1562","200100","0","1","51","0","0","51","1","51"
"52","1","52","0","0","52","0","10","52","77","52","0","52","12043","620010052","0","10","52","52","52","52","57","52","52","200000006","52","0","52","0","30","1632","200100","0","1","52","0","0","52","1","52"
"53","1","53","0","0","53","0","10","53","81","53","0","53","12297","620010053","0","10","53","53","53","53","59","53","53","200000006","53","0","53","0","30","1701","200100","0","1","53","0","0","53","1","53"
"54","1","54","0","0","54","0","10","54","85","54","0","54","12552","620010054","0","10","54","54","54","54","62","54","54","200000006","54","0","54","0","30","1770","200100","0","1","54","0","0","54","1","54"
"55","1","55","0","0","55","0","10","55","89","55","0","55","12806","620010055","0","10","55","55","55","55","64","55","55","200000006","55","0","55","0","30","1839","200100","0","1","55","0","0","55","1","55"
"56","1","56","0","0","56","0","10","56","93","56","0","56","13060","620010056","0","10","56","56","56","56","66","56","56","200000006","56","0","56","0","30","1908","200100","0","1","56","0","0","56","1","56"
"57","1","57","0","0","57","0","10","57","97","57","0","57","13315","620010057","0","10","57","57","57","57","69","57","57","200000006","57","0","57","0","30","1977","200100","0","1","57","0","0","57","1","57"
"58","1","58","0","0","58","0","10","58","101","58","0","58","13569","620010058","0","10","58","58","58","58","71","58","58","200000006","58","0","58","0","30","2046","200100","0","1","58","0","0","58","1","58"
"59","1","59","0","0","59","0","10","59","105","59","0","59","13823","620010059","0","10","59","59","59","59","73","59","59","200000006","59","0","59","0","30","2115","200100","0","1","59","0","0","59","1","59"
"60","1","60","0","0","60","0","10","60","109","60","0","60","14078","620010060","0","10","60","60","60","60","76","60","60","200000006","60","0","60","0","30","2184","200100","0","1","60","0","0","60","1","60"
"61","1","61","0","0","61","0","10","61","113","61","0","61","14332","620010061","0","10","61","61","61","61","78","61","61","200000006","61","0","61","0","30","2253","200100","0","1","61","0","0","61","1","61"
"62","1","62","0","0","62","0","10","62","113","62","0","62","15514","620010062","0","10","62","62","62","62","79","62","62","200000006","62","0","62","0","30","2280","200100","0","1","62","0","0","62","1","62"
"63","1","63","0","0","63","0","10","63","114","63","0","63","16696","620010063","0","10","63","63","63","63","79","63","63","200000006","63","0","63","0","30","2306","200100","0","1","63","0","0","63","1","63"
"64","1","64","0","0","64","0","10","64","114","64","0","64","17878","620010064","0","10","64","64","64","64","80","64","64","200000006","64","0","64","0","30","2333","200100","0","1","64","0","0","64","1","64"
"65","1","65","0","0","65","0","10","65","114","65","0","65","19060","620010065","0","10","65","65","65","65","81","65","65","200000006","65","0","65","0","30","2359","200100","0","1","65","0","0","65","1","65"
"66","1","66","0","0","66","0","10","66","115","66","0","66","20242","620010066","0","10","66","66","66","66","82","66","66","200000006","66","0","66","0","30","2386","200100","0","1","66","0","0","66","1","66"
"67","1","67","0","0","67","0","10","67","115","67","0","67","21425","620010067","0","10","67","67","67","67","82","67","67","200000006","67","0","67","0","30","2412","200100","0","1","67","0","0","67","1","67"
"68","1","68","0","0","68","0","10","68","115","68","0","68","22607","620010068","0","10","68","68","68","68","83","68","68","200000006","68","0","68","0","30","2439","200100","0","1","68","0","0","68","1","68"
"69","1","69","0","0","69","0","10","69","116","69","0","69","23789","620010069","0","10","69","69","69","69","84","69","69","200000006","69","0","69","0","30","2466","200100","0","1","69","0","0","69","1","69"
"70","1","70","0","0","70","0","10","70","116","70","0","70","24971","620010070","0","10","70","70","70","70","85","70","70","200000006","70","0","70","0","30","2492","200100","0","1","70","0","0","70","1","70"
"71","1","71","0","0","71","0","10","71","116","71","0","71","26153","620010071","0","10","71","71","71","71","85","71","71","200000006","71","0","71","0","30","2519","200100","0","1","71","0","0","71","1","71"
"1","1","1","0","0","1","0","10","1","8","1","0","1","924","620020001","0","10","1","1","1","1","10","1","1","200000001","1","0","1","0","30","108","200200","0","1","1","0","0","1","1","1"
"2","1","2","0","0","2","0","10","2","8","2","0","2","927","620020002","0","10","2","2","2","2","10","2","2","200000001","2","0","2","0","30","111","200200","0","1","2","0","0","2","1","2"
"3","1","3","0","0","3","0","10","3","8","3","0","3","930","620020003","0","10","3","3","3","3","10","3","3","200000001","3","0","3","0","30","114","200200","0","1","3","0","0","3","1","3"
"4","1","4","0","0","4","0","10","4","9","4","0","4","933","620020004","0","10","4","4","4","4","11","4","4","200000001","4","0","4","0","30","117","200200","0","1","4","0","0","4","1","4"
"5","1","5","0","0","5","0","10","5","9","5","0","5","936","620020005","0","10","5","5","5","5","11","5","5","200000001","5","0","5","0","30","120","200200","0","1","5","0","0","5","1","5"
"6","1","6","0","0","6","0","10","6","9","6","0","6","939","620020006","0","10","6","6","6","6","11","6","6","200000001","6","0","6","0","30","123","200200","0","1","6","0","0","6","1","6"
"7","1","7","0","0","7","0","10","7","10","7","0","7","942","620020007","0","10","7","7","7","7","12","7","7","200000001","7","0","7","0","30","126","200200","0","1","7","0","0","7","1","7"
"8","1","8","0","0","8","0","10","8","10","8","0","8","945","620020008","0","10","8","8","8","8","12","8","8","200000001","8","0","8","0","30","129","200200","0","1","8","0","0","8","1","8"
"9","1","9","0","0","9","0","10","9","10","9","0","9","948","620020009","0","10","9","9","9","9","12","9","9","200000001","9","0","9","0","30","132","200200","0","1","9","0","0","9","1","9"
"10","1","10","0","0","10","0","10","10","11","10","0","10","951","620020010","0","10","10","10","10","10","13","10","10","200000001","10","0","10","0","30","135","200200","0","1","10","0","0","10","1","10"
"11","1","11","0","0","11","0","10","11","11","11","0","11","954","620020011","0","10","11","11","11","11","13","11","11","200000001","11","0","11","0","30","138","200200","0","1","11","0","0","11","1","11"
"12","1","12","0","0","12","0","10","12","11","12","0","12","957","620020012","0","10","12","12","12","12","13","12","12","200000001","12","0","12","0","30","141","200200","0","1","12","0","0","12","1","12"
"13","1","13","0","0","13","0","10","13","12","13","0","13","960","620020013","0","10","13","13","13","13","14","13","13","200000001","13","0","13","0","30","144","200200","0","1","13","0","0","13","1","13"
"14","1","14","0","0","14","0","10","14","12","14","0","14","963","620020014","0","10","14","14","14","14","14","14","14","200000001","14","0","14","0","30","147","200200","0","1","14","0","0","14","1","14"
"15","1","15","0","0","15","0","10","15","13","15","0","15","966","620020015","0","10","15","15","15","15","15","15","15","200000001","15","0","15","0","30","151","200200","0","1","15","0","0","15","1","15"
"16","1","16","0","0","16","0","10","16","13","16","0","16","1322","620020016","0","10","16","16","16","16","15","16","16","200000001","16","0","16","0","30","175","200200","0","1","16","0","0","16","1","16"
"17","1","17","0","0","17","0","10","17","13","17","0","17","1678","620020017","0","10","17","17","17","17","15","17","17","200000001","17","0","17","0","30","199","200200","0","1","17","0","0","17","1","17"
"18","1","18","0","0","18","0","10","18","13","18","0","18","1884","620020018","0","10","18","18","18","18","15","18","18","200000001","18","0","18","0","30","207","200200","0","1","18","0","0","18","1","18"
"19","1","19","0","0","19","0","10","19","14","19","0","19","2090","620020019","0","10","19","19","19","19","16","19","19","200000001","19","0","19","0","30","215","200200","0","1","19","0","0","19","1","19"
"20","1","20","0","0","20","0","10","20","14","20","0","20","2296","620020020","0","10","20","20","20","20","16","20","20","200000001","20","0","20","0","30","223","200200","0","1","20","0","0","20","1","20"
"21","1","21","0","0","21","0","10","21","14","21","0","21","2377","620020021","0","10","21","21","21","21","17","21","21","200000001","21","0","21","0","30","237","200200","0","1","21","0","0","21","1","21"
"22","1","22","0","0","22","0","10","22","14","22","0","22","2458","620020022","0","10","22","22","22","22","17","22","22","200000001","22","0","22","0","30","251","200200","0","1","22","0","0","22","1","22"
"23","1","23","0","0","23","0","10","23","14","23","0","23","2658","620020023","0","10","23","23","23","23","17","23","23","200000001","23","0","23","0","30","251","200200","0","1","23","0","0","23","1","23"
"24","1","24","0","0","24","0","10","24","16","24","0","24","2829","620020024","0","10","24","24","24","24","19","24","24","200000001","24","0","24","0","30","268","200200","0","1","24","0","0","24","1","24"
"25","1","25","0","0","25","0","10","25","18","25","0","25","2999","620020025","0","10","25","25","25","25","21","25","25","200000001","25","0","25","0","30","285","200200","0","1","25","0","0","25","1","25"
"26","1","26","0","0","26","0","10","26","19","26","0","26","3170","620020026","0","10","26","26","26","26","24","26","26","200000001","26","0","26","0","30","302","200200","0","1","26","0","0","26","1","26"
"27","1","27","0","0","27","0","10","27","21","27","0","27","3340","620020027","0","10","27","27","27","27","26","27","27","200000001","27","0","27","0","30","319","200200","0","1","27","0","0","27","1","27"
"28","1","28","0","0","28","0","10","28","23","28","0","28","3511","620020028","0","10","28","28","28","28","28","28","28","200000001","28","0","28","0","30","336","200200","0","1","28","0","0","28","1","28"
"29","1","29","0","0","29","0","10","29","23","29","0","29","4632","620020029","0","10","29","29","29","29","29","29","29","200000001","29","0","29","0","30","380","200200","0","1","29","0","0","29","1","29"
"30","1","30","0","0","30","0","10","30","23","30","0","30","4717","620020030","0","10","30","30","30","30","29","30","30","200000001","30","0","30","0","30","412","200200","0","1","30","0","0","30","1","30"
"31","1","31","0","0","31","0","10","31","23","31","0","31","4802","620020031","0","10","31","31","31","31","28","31","31","200000001","31","0","31","0","30","443","200200","0","1","31","0","0","31","1","31"
"32","1","32","0","0","32","0","10","32","23","32","0","32","4887","620020032","0","10","32","32","32","32","28","32","32","200000001","32","0","32","0","30","432","200200","0","1","32","0","0","32","1","32"
"33","1","33","0","0","33","0","10","33","23","33","0","33","4972","620020033","0","10","33","33","33","33","28","33","33","200000001","33","0","33","0","30","420","200200","0","1","33","0","0","33","1","33"
"34","1","34","0","0","34","0","10","34","24","34","0","34","5985","620020034","0","10","34","34","34","34","28","34","34","200000001","34","0","34","0","30","499","200200","0","1","34","0","0","34","1","34"
"35","1","35","0","0","35","0","10","35","27","35","0","35","6241","620020035","0","10","35","35","35","35","32","35","35","200000001","35","0","35","0","30","525","200200","0","1","35","0","0","35","1","35"
"36","1","36","0","0","36","0","10","36","30","36","0","36","6497","620020036","0","10","36","36","36","36","36","36","36","200000001","36","0","36","0","30","550","200200","0","1","36","0","0","36","1","36"
"37","1","37","0","0","37","0","10","37","32","37","0","37","6752","620020037","0","10","37","37","37","37","39","37","37","200000001","37","0","37","0","30","576","200200","0","1","37","0","0","37","1","37"
"38","1","38","0","0","38","0","10","38","35","38","0","38","7008","620020038","0","10","38","38","38","38","43","38","38","200000001","38","0","38","0","30","601","200200","0","1","38","0","0","38","1","38"
"39","1","39","0","0","39","0","10","39","33","39","0","39","7387","620020039","0","10","39","39","39","39","42","39","39","200000001","39","0","39","0","30","671","200200","0","1","39","0","0","39","1","39"
"40","1","40","0","0","40","0","10","40","35","40","0","40","8119","620020040","0","10","40","40","40","40","44","40","40","200000001","40","0","40","0","30","679","200200","0","1","40","0","0","40","1","40"
"41","1","41","0","0","41","0","10","41","37","41","0","41","9635","620020041","0","10","41","41","41","41","46","41","41","200000001","41","0","41","0","30","729","200200","0","1","41","0","0","41","1","41"
"42","1","42","0","0","42","0","10","42","38","42","0","42","11151","620020042","0","10","42","42","42","42","47","42","42","200000001","42","0","42","0","30","778","200200","0","1","42","0","0","42","1","42"
"43","1","43","0","0","43","0","10","43","38","43","0","43","11476","620020043","0","10","43","43","43","43","47","43","43","200000001","43","0","43","0","30","790","200200","0","1","43","0","0","43","1","43"
"44","1","44","0","0","44","0","10","44","39","44","0","44","11802","620020044","0","10","44","44","44","44","47","44","44","200000001","44","0","44","0","30","802","200200","0","1","44","0","0","44","1","44"
"45","1","45","0","0","45","0","10","45","39","45","0","45","12127","620020045","0","10","45","45","45","45","47","45","45","200000001","45","0","45","0","30","814","200200","0","1","45","0","0","45","1","45"
"46","1","46","0","0","46","0","10","46","40","46","0","46","13833","620020046","0","10","46","46","46","46","48","46","46","200000001","46","0","46","0","30","971","200200","0","1","46","0","0","46","1","46"
"47","1","47","0","0","47","0","10","47","40","47","0","47","15539","620020047","0","10","47","47","47","47","49","47","47","200000001","47","0","47","0","30","1128","200200","0","1","47","0","0","47","1","47"
"48","1","48","0","0","48","0","10","48","41","48","0","48","17245","620020048","0","10","48","48","48","48","50","48","48","200000001","48","0","48","0","30","1284","200200","0","1","48","0","0","48","1","48"
