6d929391f340718719720516e8cb567ff148c1dd64d760d101125cc7c9692a0d,ca4e4d36e6f9062a0ee17ff0425b6f048629d8b2f02cc15adc8d31e93608bfaf,fd9e1e13dfde8d4f4105bb87ed967e0f681952e81593571b26f1f0d5cea6f963,9061940dd02854062dccfbd05bfa6d7288c3165301f338b34a012e94ce6a54d5,570b03b4c127a87da6c34585524ae8b574ee25bcbbda6d95b9a44ac6abd0d773,8ff54253d8bdcac5f07058fcddb227a972b03f91f8f4f5bf177227c0d2103bee,7cd1fc0cbd0d41e7339175a9496bf222f797f9d0b5974db15d1b824577a577fe,b41b028b9f70bec0aab4e7b2de0149a306e6272347e7427ff5b425394791b9a5
"-527","-137","145","2611","10","123","4","2"
"-379","35","295","2621","10","408","1","3"
"-299","103","192","2622","10","171","2","4"
"-138","-64","244","2623","10","342","6","5"
"-47","9","254","2701","10","224","5","6"
"131","-88","204","2781","10","253","8","7"
"89","23","139","2791","10","110","9","8"
"89","23","139","2801","10","110","10","9"
"275","42","249","2811","10","292","7","10"
"274","-120","151","2821","10","126","11","11"
"274","-120","151","2831","10","126","12","12"
"448","-17","316","2841","10","276","13","13"
"-292","-87","203","2901","11","158","1","1"
"-224","123","187","3011","11","256","2","2"
"-65","-80","225","3031","11","144","3","3"
"80","-84","214","3111","11","149","4","4"
"227","112","194","3131","11","201","5","5"
"159","-111","111","3141","11","161","6","6"
"159","-111","111","3151","11","161","7","7"
"307","-80","209","3171","11","166","8","8"
"-185","-106","206","3211","12","364","3","1"
"-304","34","277","3221","12","160","1","2"
"-107","45","275","3231","12","249","2","3"
"31","-46","233","3321","12","167","5","4"
"135","-122","130","3381","12","174","7","5"
"135","-122","130","3391","12","174","8","6"
"127","101","223","3431","12","244","4","7"
"254","-24","246","3441","12","235","6","8"
"303","-114","156","3461","12","167","9","9"
"303","-114","156","3471","12","167","10","10"
"338","152","94","3491","12","108","11","11"
"338","152","94","3501","12","108","12","12"
"-286","-48","270","3531","13","210","3","1"
"-310","144","103","3541","13","92","2","2"
"-152","-90","219","3551","13","228","3","3"
"-148","99","103","3561","13","94","4","4"
"-12","-157","71","3571","13","110","5","5"
"-5","-2","274","3581","13","209","1","6"
"141","-72","292","3691","13","219","6","7"
"146","143","104","3701","13","88","7","8"
"299","131","135","3741","13","160","8","9"
"299","131","135","3751","13","160","9","10"
"301","-82","268","3791","13","179","10","11"
"-470","6","286","3801","14","197","2","1"
"-520","-123","89","3811","14","134","3","2"
"-369","103","236","3821","14","204","1","3"
"-283","-74","241","3861","14","176","5","4"
"-151","-83","236","3891","14","156","6","5"
"-174","108","226","3911","14","219","4","6"
"-51","-130","96","3921","14","107","10","7"
"-5","50","251","3931","14","179","9","8"
"100","-106","102","3941","14","113","11","9"
"268","-41","317","3951","14","242","12","10"
"138","79","240","3961","14","209","7","11"
"138","79","240","3971","14","209","8","12"
"441","-125","93","4021","14","125","14","13"
"485","22","279","4031","14","219","13","14"
