ff89d6f63b3173132c638a2ada8b253be03896007bd9ed1156aedf1366cf3a33,baf0ae82c5319ee305871871a28c9190b94f296b32921f3facb501823cfd1b63,6d5a82c410e0f2ebe2c167c13966992ffa25c9bd6de52dcb0e6d355c8467bcd0,90c6847448ffebfe8c142df20ca1d6c500498e61d73be2848b69ef4a4ccdde16,0cf916bea170524099a3cc83aae001151e797121687fc01c2dae15c3478d99db,445bbbc8b4e60cf9801cba396187bb0d2006535ff34c92a61cb9fff1e91543bf,68ae6d342ed251ab4478bd098d7f89126ea53dcf6e1d4241a56065fd171f27f2,c3b66f9925456fcba5293d02caf997fe8cc802cfbc4091c16b876a70533dd0a3
"215","0","4","173","176","7","4","1941"
"236","77","5","292","204","7","5","1981"
"254","89","1","-472","209","8","1","2001"
"282","-77","2","-375","250","8","2","2031"
"223","110","3","-280","241","8","3","2051"
"270","-85","4","-148","243","8","4","2101"
"264","74","5","3","274","8","5","2131"
"302","-36","6","155","321","8","6","2171"
"277","82","7","283","199","8","7","2201"
"344","0","8","374","349","8","8","2271"
"301","-30","1","-275","240","9","1","2321"
"108","-115","2","-132","106","9","2","2361"
"108","-115","3","-132","106","9","3","2371"
"246","32","4","-73","202","9","4","2381"
"84","-140","5","-43","114","9","5","2411"
"84","-140","6","-43","114","9","6","2421"
"84","65","8","50","86","9","7","2461"
"84","65","9","50","86","9","8","2471"
"137","-110","10","80","185","9","9","2481"
"137","-110","11","80","185","9","10","2491"
"377","24","7","131","301","9","11","2521"
"305","-50","12","280","190","9","12","2531"
"145","-137","3","-527","123","10","1","2601"
"145","-137","4","-527","123","10","2","2611"
"295","35","1","-379","408","10","3","2621"
"192","103","2","-299","171","10","4","2622"
"244","-64","6","-138","342","10","5","2623"
"254","9","5","-47","224","10","6","2701"
"204","-88","8","131","253","10","7","2781"
"139","23","9","89","110","10","8","2791"
"139","23","10","89","110","10","9","2801"
"249","42","7","275","292","10","10","2811"
"151","-120","11","274","126","10","11","2821"
"151","-120","12","274","126","10","12","2831"
"316","-17","13","448","276","10","13","2841"
"203","-87","1","-292","158","11","1","2901"
"187","123","2","-224","256","11","2","3011"
"225","-80","3","-65","144","11","3","3031"
"214","-84","4","80","149","11","4","3111"
"194","112","5","227","201","11","5","3131"
"111","-111","6","159","161","11","6","3141"
"111","-111","7","159","161","11","7","3151"
"209","-80","8","307","166","11","8","3171"
"206","-106","3","-185","364","12","1","3211"
"277","34","1","-304","160","12","2","3221"
"275","45","2","-107","249","12","3","3231"
"233","-46","5","31","167","12","4","3321"
"130","-122","7","135","174","12","5","3381"
"130","-122","8","135","174","12","6","3391"
"223","101","4","127","244","12","7","3431"
"246","-24","6","254","235","12","8","3441"
"156","-114","9","303","167","12","9","3461"
"156","-114","10","303","167","12","10","3471"
"94","152","11","338","108","12","11","3491"
"94","152","12","338","108","12","12","3501"
"270","-48","3","-286","210","13","1","3531"
"103","144","2","-310","92","13","2","3541"
"219","-90","3","-152","228","13","3","3551"
"103","99","4","-148","94","13","4","3561"
"71","-157","5","-12","110","13","5","3571"
"274","-2","1","-5","209","13","6","3581"
"292","-72","6","141","219","13","7","3691"
"104","143","7","146","88","13","8","3701"
"135","131","8","299","160","13","9","3741"
"135","131","9","299","160","13","10","3751"
"268","-82","10","301","179","13","11","3791"
"286","6","2","-470","197","14","1","3801"
"89","-123","3","-520","134","14","2","3811"
"236","103","1","-369","204","14","3","3821"
"241","-74","5","-283","176","14","4","3861"
"236","-83","6","-151","156","14","5","3891"
"226","108","4","-174","219","14","6","3911"
"96","-130","10","-51","107","14","7","3921"
"251","50","9","-5","179","14","8","3931"
"102","-106","11","100","113","14","9","3941"
"317","-41","12","268","242","14","10","3951"
"240","79","7","138","209","14","11","3961"
"240","79","8","138","209","14","12","3971"
"93","-125","14","441","125","14","13","4021"
"279","22","13","485","219","14","14","4031"
