e07ea03563a2f6629ba63f3ce98614e0c1c68cc00a8e17ae5261b960386961c3,b44573c0bed67e55657fdf8c33a5298c68155e53fef3dc15adda81f05d214c50,acf0b04b7be9caaae621955da5cf47f9a72923a8bbc4ef91dc5b5ac7f609d62d,452a205d2ac0ae734062f99f4f30adcd345ddc29cc7c243526149048619aa699,383ee562f386893097ab5167a7d767191d9bc2745294995168d2663f65d96561,3eca17f0c060bb31d9984ec8931b40c5234ce59ab1bd323d7085b3c889bb8bfe,9e66727c5926294d20d9fb1e37cc791281457240d2f2807c69ace2ff44a73651,d2d92837259f232494600a827fadc3e68d45372e02c808e4d70ec5167b8a7f04,929f328b86f70cf5fe8745342127795f3fe7a62f053e7ad8cbbc25054818301a,299132c256e5295845e4078cceec50bd970d178b3aa840d25e3cd4fca4594f92,55fb7290c01c68c1523d3d667952075bc24783ff1a9ae2d2cadf9ebd27b86427
"","","","","cgg_idle_normal","105","0.2","105027","1","1","3"
"","","","","cgg_talk_joy3","105","0.2","105028","100211","1","3"
"","","","","10","105","0.2","105029","100211","1.4","12"
"","","","","0","105","","105030","3","","93"
"","","","","cgg_idle_def","105","0.2","105031","100211","1","3"
"cgg_idle_guts_anger","","1","0","cgg_talk_guts_anger","105","0.2","105032","105811","0","3"
"","","","","4","105","0.2","105033","105811","1.4","12"
"","","","","0","105","","105034","3","","93"
"","","","","cgg_idle_def","105","0.2","105035","105811","1","3"
"cgg_idle_guts2","","1","0","cgg_talk_guts2","105","0.2","105036","1","0","3"
"","","","","7","105","0.2","105037","1","1.4","12"
"","","","","0","105","","105038","3","","93"
"","","","","0","105","","105039","105027","","101"
"","","","","0.5","105","","105040","0","","22"
"1","","0","0","1","105","0.1","105041","1","1","6"
"1","","0","0","1","105","0.1","105042","100211","1","6"
"1","","0","0","1","105","0.1","105043","105811","1","6"
"","","","","0","105","","105044","0.1","","93"
"","","","","cgg_idle_normal","105","0","105045","1","1","3"
"","","","","cgg_idle_def","105","0","105046","100211","1","3"
"","","","","cgg_idle_def","105","0","105047","105811","1","3"
"-420","cgg_idle_normal","-230","0","1","106","160","106001","1","100","5"
"420","cgg_idle_def","-230","1","110911","106","1.6","106002","1","100","1"
"1","","1","0","1","106","0.1","106003","1","1","6"
"1","","1","0","1","106","0.1","106004","110911","1","6"
"","","","","0","106","","106005","0.2","","93"
"0","","","","vo_minigame_1007_top_talk_6_011","106","","106006","vo_minigame_1007","0","21"
"0","0","0","0","咦……騙人的吧，\n學長……你居然還沒\n完全收齊慈樂之音的\n周邊，太扯了吧。","106","0","106007","110911","5","11"
"","","","","cgg_idle_reaction2","106","0.2","106008","1","1","3"
"","","","","cgg_shock","106","0.2","106009","110911","0","3"
"","","","","0","106","","106010","1","","93"
"","","","","cgg_idle_bitter2","106","0.2","106011","110911","1","3"
"","","","","0","106","","106012","4.2","","93"
"cgg_idle_shock","","1","0","cgg_shock","106","0.2","106013","1","0","3"
"","","","","","106","","106014","106007","","91"
"0","","","","vo_minigame_1007_top_talk_6_012","106","","106015","vo_minigame_1007","0","21"
"0","0","0","0","請你差不多一點，\n既然有空悠哉地和\n一般美少女聊天，\n還不趕快繼續抽啊！","106","0","106016","110911","5","11"
"","","1","0","cgg_talk_tsun_pain","106","0.2","106017","110911","1","3"
"","","","","0","106","","106018","0.7","","93"
"cgg_idle_surprise2","","1","0","cgg_surprise2","106","0.2","106019","1","0","3"
"","","","","0","106","","106020","1.3","","93"
"","","1","0","cgg_talk_joy1_sad","106","0.2","106021","110911","1","3"
"","","","","0","106","","106022","3","","93"
"cgg_idle_guts_anger","","1","","cgg_talk_guts_anger","106","0.2","106023","110911","0","3"
"","","","","0","106","","106024","0.7","","93"
"cgg_idle_guts2","","1","0","cgg_talk_guts2","106","0.2","106025","1","0","3"
"","","","","","106","","106026","106016","","91"
"","","","","0","106","","106027","0.5","","93"
"","","","","cgg_idle_def","106","0.2","106028","110911","1","3"
"cgg_idle_doya","","1","0","cgg_talk_doya","106","0.2","106029","1","0","3"
"","","","","6","106","0.2","106030","1","1.4","12"
"","","","","0","106","","106031","3","","93"
"","","","","cgg_idle_normal","106","0.2","106032","1","1","3"
"cgg_idle_guts_anger","","1","0","cgg_talk_guts_anger","106","0.2","106033","110911","0","3"
"","","","","11","106","0.2","106034","110911","1.4","12"
"","","","","0","106","","106035","3","","93"
"","","","","cgg_idle_def","106","0.2","106036","110911","1","3"
"cgg_idle_surprise1","","1","0","cgg_surprise1","106","0.2","106037","1","0","3"
"","","","","4","106","0.2","106038","1","1.4","12"
"","","","","0","106","","106039","3","","93"
"","","","","cgg_idle_normal","106","0.2","106040","1","1","3"
"","","","","cgg_talk_joy3_blink","106","0.2","106041","110911","1","3"
"","","","","10","106","0.2","106042","110911","1.4","12"
"","","","","0","106","","106043","3","","93"
"","","","","0","106","","106044","106028","","101"
"","","","","0.5","106","","106045","0","","22"
"1","","0","0","1","106","0.1","106046","1","1","6"
"1","","0","0","1","106","0.1","106047","110911","1","6"
"","","","","0","106","","106048","0.1","","93"
"","","","","cgg_idle_normal","106","0","106049","1","1","3"
"","","","","cgg_idle_def","106","0","106050","110911","1","3"
"-420","cgg_idle_normal","-230","0","1","201","160","201001","1","100","5"
"420","cgg_idle_def","-230","1","100411","201","1.6","201002","1","100","1"
"1","","1","0","1","201","0.1","201003","1","1","6"
"1","","1","0","1","201","0.1","201004","100411","1","6"
"","","","","0","201","","201005","0.2","","93"
"0","","","","vo_minigame_1007_top_talk_7_013","201","","201006","vo_minigame_1007","0","21"
"0","0","0","0","那個那個，哥哥！\n你蒐集到差不多\n一半的周邊囉！\n只差一點了呢！","201","0","201007","100411","6","11"
"","","","","cgg_idle_reaction2","201","0.2","201008","1","1","3"
"","","","","cgg_talk_joy1_normal","201","0.2","201009","100411","1","3"
"","","","","0","201","","201010","1.3","","93"
"cgg_idle_doya","","1","0","cgg_talk_doya","201","0.2","201011","1","0","3"
"","","","","cgg_talk_surprise_kira","201","0.2","201012","100411","1","3"
"","","","","0","201","","201013","2.7","","93"
"cgg_idle_reaction1","","1","0.2","cgg_talk_handsup","201","0.2","201014","1","0","3"
"cgg_idle_guts","","1","0","cgg_talk_guts","201","0.2","201015","100411","0","3"
"","","","","","201","","201016","201007","","91"
"","","","","0","201","","201017","0.5","","93"
"","","","","cgg_idle_def","201","0.2","201018","100411","1","3"
"","","","","cgg_idle_surprise3","201","0.2","201019","1","1","3"
"","","","","6","201","0.2","201020","1","1.4","12"
"","","","","0","201","","201021","3","","93"
"","","","","cgg_idle_normal","201","0.2","201022","1","1","3"
"","","","","cgg_talk_surprise_kira","201","0.2","201023","100411","1","3"
"","","","","7","201","0.2","201024","100411","1.4","12"
"","","","","0","201","","201025","3","","93"
"","","","","cgg_idle_def","201","0.2","201026","100411","1","3"
"cgg_idle_reaction1","","1","0","cgg_talk_handsup","201","0.2","201027","1","0","3"
"","","","","11","201","0.2","201028","1","1.4","12"
"","","","","0","201","","201029","3","","93"
"","","","","cgg_idle_normal","201","0.2","201030","1","1","3"
"","","","","cgg_talk_joy1","201","0.2","201031","100411","1","3"
"","","","","10","201","0.2","201032","100411","1.4","12"
"","","","","0","201","","201033","3","","93"
"","","","","0","201","","201034","201018","","101"
"","","","","0.5","201","","201035","0","","22"
"1","","0","0","1","201","0.1","201036","1","1","6"
"1","","0","0","1","201","0.1","201037","100411","1","6"
"","","","","0","201","","201038","0.1","","93"
"","","","","cgg_idle_normal","201","0","201039","1","1","3"
"","","","","cgg_idle_def","201","0","201040","100411","1","3"
"-420","cgg_idle_normal","-230","0","1","202","160","202001","1","100","5"
"420","cgg_idle_def","-230","1","102011","202","1.6","202002","1","100","1"
"1","","1","0","1","202","0.1","202003","1","1","6"
"1","","1","0","1","202","0.1","202004","102011","1","6"
"","","","","0","202","","202005","0.2","","93"
"0","","","","vo_minigame_1007_top_talk_8_014","202","","202006","vo_minigame_1007","0","21"
"0","0","0","0","好厲害喔～♪\n真想看看\n全部收齊的樣子～♪","202","0","202007","102011","4","11"
"","","","","cgg_idle_reaction1","202","0.2","202008","1","1","3"
"","","","","cgg_talk_joy3","202","0.2","202009","102011","1","3"
"","","","","0","202","","202010","2","","93"
"","","","","cgg_idle_nod","202","0.2","202011","1","1","3"
"","","","","cgg_talk_wish","202","0.2","202012","102011","1","3"
"","","","","","202","","202013","202007","","91"
"","","","","0","202","","202014","0.5","","93"
"","","","","cgg_idle_def","202","0.2","202015","102011","1","3"
"","","","","cgg_idle_reaction3","202","0.2","202016","1","1","3"
"","","","","6","202","0.2","202017","1","1.4","12"
"","","","","0","202","","202018","3","","93"
"","","","","cgg_idle_normal","202","0.2","202019","1","1","3"
"","","","","cgg_talk_joy1_normal","202","0.2","202020","102011","1","3"
"","","","","11","202","0.2","202021","102011","1.4","12"
"","","","","0","202","","202022","3","","93"
"","","","","cgg_idle_def","202","0.2","202023","102011","1","3"
"cgg_idle_guts2","","1","0","cgg_talk_guts2","202","0.2","202024","1","0","3"
"","","","","11","202","0.2","202025","1","1.4","12"
"","","","","0","202","","202026","3","","93"
"","","","","cgg_idle_normal","202","0.2","202027","1","1","3"
"","","","","cgg_talk_joy3","202","0.2","202028","102011","1","3"
"","","","","7","202","0.2","202029","102011","1.4","12"
"","","","","0","202","","202030","3","","93"
"","","","","0","202","","202031","202015","","101"
"","","","","0.5","202","","202032","0","","22"
"1","","0","0","1","202","0.1","202033","1","1","6"
"1","","0","0","1","202","0.1","202034","102011","1","6"
"","","","","0","202","","202035","0.1","","93"
"","","","","cgg_idle_normal","202","0","202036","1","1","3"
"","","","","cgg_idle_def","202","0","202037","102011","1","3"
"-420","cgg_idle_normal","-230","0","1","203","160","203001","1","100","5"
"420","cgg_idle_def","-230","1","103611","203","1.6","203002","1","100","1"
"1","","1","0","1","203","0.1","203003","1","1","6"
"1","","1","0","1","203","0.1","203004","103611","1","6"
"","","","","0","203","","203005","0.2","","93"
"0","","","","vo_minigame_1007_top_talk_9_015","203","","203006","vo_minigame_1007","0","21"
"0","0","0","0","只差一點了呢。\n要是全部集齊，\n我會誇獎你的。\n……請你加油。","203","0","203007","103611","6","11"
"cgg_idle_arm_crossed","","1","0","cgg_talk_arm_crossed","203","0.2","203008","1","0","3"
"","","","","cgg_talk_normal","203","0.2","203009","103611","1","3"
"","","","","0","203","","203010","1.9","","93"
"","","","","cgg_idle_surprise1","203","0.2","203011","1","1","3"
"","","","","cgg_talk_joy3_blink","203","0.2","203012","103611","1","3"
"","","","","0","203","","203013","3.1","","93"
"cgg_idle_guts2","","1","0","cgg_talk_guts2","203","0.2","203014","1","0","3"
"","","","","cgg_talk_surprise_dere","203","0.2","203015","103611","1","3"
"","","","","","203","","203016","203007","","91"
"","","","","0","203","","203017","0.5","","93"
"","","","","cgg_idle_def","203","0.2","203018","103611","1","3"
"cgg_idle_nod","","1","0","cgg_talk_nod","203","0.2","203019","1","0","3"
"","","","","6","203","0.2","203020","1","1.4","12"
"","","","","0","203","","203021","3","","93"
"","","","","cgg_idle_normal","203","0.2","203022","1","1","3"
"","","","","cgg_talk_joy1","203","0.2","203023","103611","1","3"
"","","","","10","203","0.2","203024","103611","1.4","12"
"","","","","0","203","","203025","3","","93"
"","","","","cgg_idle_def","203","0.2","203026","103611","1","3"
"cgg_idle_guts1","","1","0","cgg_talk_guts1","203","0.2","203027","1","0","3"
"","","","","4","203","0.2","203028","1","1.4","12"
"","","","","0","203","","203029","3","","93"
"","","","","cgg_idle_normal","203","0.2","203030","1","1","3"
"","","","","cgg_talk_joy3_dere","203","0.2","203031","103611","1","3"
"","","","","7","203","0.2","203032","103611","1.4","12"
"","","","","0","203","","203033","3","","93"
"","","","","0","203","","203034","203018","","101"
"","","","","0.5","203","","203035","0","","22"
"1","","0","0","1","203","0.1","203036","1","1","6"
"1","","0","0","1","203","0.1","203037","103611","1","6"
"","","","","0","203","","203038","0.1","","93"
"","","","","cgg_idle_normal","203","0","203039","1","1","3"
"","","","","cgg_idle_def","203","0","203040","103611","1","3"
"-420","cgg_idle_normal","-230","0","1","204","160","204001","1","100","5"
"420","cgg_idle_def","-230","1","102811","204","1.6","204002","1","100","1"
"1","","1","0","1","204","0.1","204003","1","1","6"
"1","","1","0","1","204","0.1","204004","102811","1","6"
"","","","","0","204","","204005","0.2","","93"
"0","","","","vo_minigame_1007_top_talk_10_016","204","","204006","vo_minigame_1007","0","21"
"0","0","0","0","你蒐集到這麼多\n周邊了？真厲害……\n我要不要\n也來試試呢？","204","0","204007","102811","6","11"
"cgg_idle_doya","","1","0","cgg_talk_doya","204","0.2","204008","1","0","3"
"cgg_talk_surprise1","","1","0","cgg_surprise","204","0.2","204009","102811","0","3"
"","","","","0","204","","204010","2.5","","93"
"","","","","cgg_idle_reaction5","204","0.2","204011","1","1","3"
"","","","","cgg_talk_bitter","204","0.2","204012","102811","1","3"
"","","","","","204","","204013","204007","","91"
"","","","","0","204","","204014","0.5","","93"
"","","","","cgg_idle_def","204","0.2","204015","102811","1","3"
"cgg_idle_doya","","1","0","cgg_talk_doya","204","0.2","204016","1","0","3"
"","","","","6","204","0.2","204017","1","1.4","12"
"","","","","0","204","","204018","3","","93"
"","","","","cgg_idle_normal","204","0.2","204019","1","1","3"
