972abc504891c044190d32133a9f49c72b861fbd2cfbb3692bb672b2932668f1,ba0d08a805a258564c40253c415ee6ffd85671bbdad831e52f920338e4633231,0d328b8f75964401ba962e8f80e1265d030ccd9358329b86e6b9087d7ecd6796,ddacf813e010efa5c04fc9377fab31db483bf55128f7a763e130a92e21610ae8,8c8c80338e781f69bef7c1e04c4dbe6d35d38a21dd8e19b524bf69fe40eb5221,12cd61dd1c1d4bd5f0b38f3c4909ba5f54cd49eaf26e897aeadc4e330e1195d7,4aed103bd1629dbf329c29145279ed4be74b9fc8cf7d41098bfb9ae781900779,421bcd03a1fbd4ad0f9452f9143d3a5fa9aace7371d0b642439ae6628f7d3c78,fa5a647b2a55a4f713424c26512c7c5314ba20cd702e2413b566af762e66144b,8df99ad2373586b547db04b330519a0c9b1cae493562d3e127add23f5790ef90,a1249472ec8e6f4ba8c6942de6a41857f7ff4d0b3cfc03f5f56fa68476ba8b32
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0104","1044","1"
"1","0.5","0","119931","4","0","0","11","把所有人都\n變成好吃的布丁喲～♪","1045","1"
"","","","4","","","","93","1","1046","1"
"psy_miyako_fight_loop","","1","119931","0","0.2","0.2","3","psy_miyako_fight_in","1047","1"
"psy_item00_handsup_loop","","1","1","0","0.2","0.2","3","psy_item00_handsup","1048","1"
"","","","1.5","","","","93","","1049","1"
"","","","1045","","","","91","","1050","1"
"","","","0","","","","22","0","1051","1"
"-300","psy_miyako_start","-200","1","100","1.7","0","1","119931","2001","2"
"300","psy_walk","-220","1","100","1.7","1","1","106011","2002","2"
"0","","1","1","0","1","","31","11","2003","2"
"-300","psy_smoke_start","-200","1","101","1.7","0","5","1","2004","2"
"2","","0","106011","-220","","","2","185","2005","2"
"","","","2","","","","93","","2006","2"
"psy_kyaru_talk_arm_crossed_loop","","1","106011","0","0.2","0","3","psy_kyaru_talk_arm_crossed","2007","2"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0305","2008","2"
"1","0.5","0","106011","5","0","0","11","喂，你，\n幫我隨便挑些適合\n帶給貪吃佩可的點心……","2009","2"
"","","","0","","","","91","","2010","2"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0306","2011","2"
"","","","106011","1","0.2","","3","psy_talk_sad","2012","2"
"1","0.5","0","106011","7","0","0","11","呃，居然不在。\n聽說那傢伙在這邊工作\n我才來的……話說根本沒人在嘛，\n真是粗心的店家呢。","2013","2"
"","","","4","","","","93","1","2014","2"
"","","","106011","1","0.2","","3","psy_talk_sad","2015","2"
"","","","2013","","","","91","","2016","2"
"","","","106011","1","0.2","","3","psy_idle_sad","2017","2"
"psy_miyako_thinking4","","1","119931","0","0.2","0.2","3","psy_miyako_appear","2018","2"
"psy_smoke_start","","0","1","0","0","0","3","psy_smoke_appear","2019","2"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0301","2020","2"
"1","1","0","119931","4","0","0","11","布丁……布丁……\n要製作究極的布丁好難喲……\n好想要能夠讓人靈光一閃的契機……","2021","2"
"","","","1","","","","93","1","2022","2"
"psy_idle_surprise2","","1","106011","0","0.2","0.2","3","psy_surprise","2023","2"
"","","","2021","","","","91","","2024","2"
"","","","0","","","","22","0","2025","2"
"","","","119931","1","0.2","","3","psy_miyako_idle_thinking","2026","2"
"","","","106011","1","0.2","","3","psy_talk_surprise2","2027","2"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0307","2028","2"
"1","0.5","0","106011","6","0","0","11","呀啊！？\n妳突然冒出來是幹什麼呀！","2029","2"
"","","","0","","","","91","","2030","2"
"","","","106011","1","0.2","","3","psy_idle_surprise2","2031","2"
"","","","119931","1","0.2","","3","psy_miyako_anger1","2032","2"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0302","2033","2"
"1","1","0","119931","4","0","0","11","擅自進來的人是妳喲，\n宮子沒有錯。\n不要妨礙宮子來的……嗯？\n妳……","2034","2"
"","","","8","","","","93","1","2035","2"
"","","","119931","1","0.2","","3","psy_miyako_thinking2","2036","2"
"","","","2034","","","","91","","2037","2"
"","","","0","","","","22","0","2038","2"
"","","","106011","1","0.2","","3","psy_talk_sad","2039","2"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0308","2040","2"
"1","0.5","0","106011","9","0","0","11","幹、幹什麼……","2041","2"
"","","","0","","","","91","","2042","2"
"","","","106011","1","0.2","","3","psy_idle_sad","2043","2"
"","","","119931","1","0.2","","3","psy_miyako_run","2044","2"
"2","","0","119931","-200","","","2","0","2045","2"
"","","","2","","","","93","","2046","2"
"","","","119931","1","0.2","","3","psy_miyako_thinking2","2047","2"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0303","2048","2"
"1","1","0","119931","5","0","0","11","嗯嗯嗯嗯嗯……\n總覺得妳很美味來的……","2049","2"
"","","","0","","","","91","","2050","2"
"","","","0","","","","22","0","2051","2"
"","","","0.5","","","","93","","2052","2"
"","","","106011","1","0.2","","3","psy_talk_sad","2053","2"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0309","2054","2"
"1","0.5","0","106011","4","0","0","11","啥？","2055","2"
"","","","0","","","","91","","2056","2"
"","","","106011","1","0.2","","3","psy_idle_sad","2057","2"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0304","2058","2"
"1","0.5","0","119931","5","0","0","11","人家要把妳變成布丁喲～～！！","2059","2"
"","","","0.5","","","","93","1","2060","2"
"psy_miyako_attack_loop","","1","119931","0","0.2","0","3","psy_miyako_attack_in","2061","2"
"","","","0.2","","","","93","1","2062","2"
"psy_idle_surprise2","","1","106011","0","0.2","0.2","3","psy_surprise","2063","2"
"","","","2059","","","","91","","2064","2"
"","","","0","","","","22","0","2065","2"
"","","","106011","1","0.2","","3","psy_talk_surprise2","2066","2"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0310","2067","2"
"1","0.5","0","106011","7","0","0","11","搞、搞什麼呀這間店～～！！","2068","2"
"","","","0","","","","91","","2069","2"
"","","","106011","","","","4","0","2070","2"
"","","","106011","1","0.2","","3","psy_run_shy","2071","2"
"","","","119931","1","0.2","","3","psy_miyako_attack_loop_move","2072","2"
"3","","0","106011","-220","","","2","1000","2073","2"
"5","","0","119931","-220","","","2","1000","2074","2"
"","","","3.5","","","","93","","2075","2"
"","","","0","","","","22","0","2076","2"
"","","","0","","","","91","","2077","2"
"-250","psy_miyako_gasagoso_B","-150","1","100","1.65","1","1","119931","3001","3"
"340","psy_walk","-180","1","100","1.7","1","1","105511","3002","3"
"0","","1","1","0","1","","31","11","3003","3"
"-300","psy_smoke_start","-220","1","101","1.7","0","5","1","3004","3"
"2","","0","105511","-180","","","2","225","3005","3"
"","","","2","","","","93","","3006","3"
"","","","105511","1","0.2","","3","psy_talk_wish","3007","3"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0203","3008","3"
"1","0.5","0","105511","7","0","0","11","這、這裡就是前輩工作的地方吧？","3009","3"
"","","","0","","","","91","","3010","3"
"psy_ayumi_kyoro_loop","","1","105511","0","0.2","0","3","psy_ayumi_kyoro_in","3011","3"
"","","","1.8","","","","93","","3012","3"
"","","","105511","1","0.2","","3","psy_talk_joy1","3013","3"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0204","3014","3"
"1","0.5","0","105511","6","0","0","11","哇～好多看起來很美味的甜點\n擺在那邊呢……前輩做的甜點\n是不是也在裡面呢？","3015","3"
"","","","0","","","","91","","3016","3"
"","","","105511","1","0.2","","3","psy_talk_call","3017","3"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0205","3018","3"
"1","0.5","0","105511","7","0","0","11","那個……請給我一份這個甜點。\n那個～不好意思～\n沒聽到我的聲音嗎？","3019","3"
"","","","3","","","","93","1","3020","3"
"1","0","0","119931","0.8","0","0","12","5","3021","3"
"","","","119931","","","","4","0","3022","3"
"","","","119931","1","0","","3","psy_miyako_idle_thinking","3023","3"
"","","","1.5","","","","93","1","3024","3"
"","","","119931","","","","4","1","3025","3"
"","","","119931","1","0","","3","psy_miyako_gasagoso_B","3026","3"
"","","","0.5","","","","93","1","3027","3"
"","","","105511","1","0.2","","3","psy_talk_sad","3028","3"
"","","","3019","","","","91","","3029","3"
"","","","105511","1","0.2","","3","psy_talk_wish","3030","3"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0206","3031","3"
"1","0.5","0","105511","6","0","0","11","總、總之我把錢放在這裡了，\n再見！","3032","3"
"","","","2","","","","93","1","3033","3"
"","","","105511","1","0.2","","3","psy_gasagoso_B2","3034","3"
"","","","1","","","","93","1","3035","3"
"psy_idle_normal","","1","105511","0","0.2","0.2","3","psy_pekori","3036","3"
"","","","3032","","","","91","","3037","3"
"","","","105511","","","","4","0","3038","3"
"","","","105511","1","0.2","","3","psy_run","3039","3"
"3","","0","105511","-180","","","2","1000","3040","3"
"","","","3","","","","93","","3041","3"
"","","","0.5","","","","93","","3042","3"
"","","","119931","1","0","","3","psy_miyako_idle_thinking","3043","3"
"","","","2","","","","93","","3044","3"
"","","","119931","","","","4","0","3045","3"
"","","","119931","1","0.2","","3","psy_miyako_run","3046","3"
"2","","0","119931","-165","","","2","0","3047","3"
"","","","2","","","","93","","3048","3"
"","","","119931","1","0.2","","3","psy_miyako_thinking4","3049","3"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0201","3050","3"
"1","0.5","0","119931","4","0","0","11","……？\n不知不覺出現了錢幣喲！\n剛才明明沒看到來的！\n好可怕！該不會有幽靈吧？","3051","3"
"","","","4","","","","93","1","3052","3"
"","","","119931","1","0.2","","3","psy_miyako_panic1","3053","3"
"","","","3051","","","","91","","3054","3"
"","","","0","","","","22","0","3055","3"
"psy_miyako_surprise2_loop","","1","119931","0","0.2","0","3","psy_miyako_surprise2_in","3056","3"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0202","3057","3"
"1","1","0","119931","4","0","0","11","……！\n突然想到了布丁的靈感喲！\n不過腦海中浮現出的臉，宮子沒有印象。\n這傢伙…………是誰來的？","3058","3"
"","","","4","","","","93","1","3059","3"
"","","","119931","1","0.2","","3","psy_miyako_thinking4","3060","3"
"","","","3058","","","","91","","3061","3"
"","","","0","","","","22","0","3062","3"
"","","","1","","","","93","","3063","3"
"","","","0","","","","91","","3064","3"
"-300","psy_miyako_start","-200","1","100","1.7","0","1","119931","4001","4"
"300","psy_walk","-220","1","100","1.7","1","1","107131","4002","4"
"0","","1","1","0","1","","31","11","4003","4"
"-300","psy_smoke_start","-200","1","101","1.7","0","5","1","4004","4"
"2","","0","107131","-220","","","2","185","4005","4"
"","","","2","","","","93","","4006","4"
"psy_talk_doya_loop","","1","107131","0","0.2","0.2","3","psy_talk_doya","4007","4"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0405","4008","4"
"1","0.5","0","107131","6","0","0","11","聽說這間店蔚為話題，\n克莉絲提娜我便來拜訪了唷☆","4009","4"
"","","","0","","","","91","","4010","4"
"","","","107131","1","0.2","","3","psy_idle_doya","4011","4"
"","","","107131","1","0.2","","3","psy_talk_sad","4012","4"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0406","4013","4"
"1","0.5","0","107131","6","0","0","11","……嗯？這不是沒人在嗎？\n難得我來替慈樂之音\n買點慰勞品。\n喂，有沒有人在啊？","4014","4"
"","","","6","","","","93","1","4015","4"
"","","","107131","1","0.2","","3","psy_talk_call","4016","4"
"","","","4014","","","","91","","4017","4"
"","","","107131","1","0.2","","3","psy_idle_arm_crossed","4018","4"
"psy_miyako_talk_joy1","","1","119931","0","0","0.2","3","psy_miyako_appear","4019","4"
"psy_smoke_start","","0","1","0","0","0","3","psy_smoke_appear","4020","4"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0401","4021","4"
"1","0.5","0","119931","5","0","0","11","啊！妳是！\n給人家巨大布丁的傢伙來的！\n又要送布丁給宮子了嗎？","4022","4"
"","","","0","","","","91","","4023","4"
"","","","0","","","","22","0","4024","4"
"","","","119931","1","0.2","","3","psy_miyako_idle","4025","4"
"","","","107131","1","0.2","","3","psy_talk_normal","4026","4"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0407","4027","4"
"1","0.5","0","107131","6","0","0","11","妳是……哦，之前\n在聖誕節有碰過面呢。\n今天我不是聖誕老人，\n而是作為客人過來的。","4028","4"
"","","","0","","","","91","","4029","4"
"","","","107131","1","0.2","","3","psy_idle_normal","4030","4"
"","","","119931","1","0.2","","3","psy_miyako_sad1","4031","4"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0402","4032","4"
"1","0.5","0","119931","4","0","0","11","人家沒空理不給布丁的人喲。\n老奶奶也不在家，\n快滾吧。","4033","4"
"","","","5","","","","93","1","4034","4"
"","","","119931","1","0.2","","3","psy_miyako_talk4","4035","4"
"","","","4033","","","","91","","4036","4"
"","","","0","","","","22","0","4037","4"
"","","","119931","1","0.2","","3","psy_miyako_idle2","4038","4"
"psy_ahaha_loop","","1","107131","0","0.2","0.2","3","psy_ahaha_in","4039","4"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0408","4040","4"
"1","0.5","0","107131","5","0","0","11","哈哈哈！\n對我克莉絲提娜竟然如此\n口無遮攔。真是有趣☆","4041","4"
"","","","1.7","","","","93","1","4042","4"
"","","","107131","1","0.2","","3","psy_talk_joy1","4043","4"
"","","","4041","","","","91","","4044","4"
"psy_talk_doya_loop","","1","107131","0","0.2","0.2","3","psy_talk_doya","4045","4"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0409","4046","4"
"1","0.5","0","107131","6","0","0","11","這下無論如何我都要\n買到妳的甜點了。","4047","4"
"","","","0","","","","91","","4048","4"
"","","","107131","1","0.2","","3","psy_idle_wish","4049","4"
"","","","119931","1","0.2","","3","psy_miyako_panic1","4050","4"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0403","4051","4"
"1","0.5","0","119931","5","0","0","11","為什麼會變成這樣！？\n趕快回去來的！","4052","4"
"","","","0","","","","91","","4053","4"
"","","","0","","","","22","0","4054","4"
"","","","119931","1","0.2","","3","psy_miyako_idle_panic","4055","4"
"psy_cris_approach_loop","","1","107131","0","0.2","0","3","psy_cris_approach_in","4056","4"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0410","4057","4"
"1","0.5","0","107131","7","0","0","11","哦？這不是有\n做到一半的布丁嗎？\n嗯……親手製作的慰勞品\n應該也蠻讓人高興的吧。","4058","4"
"","","","4","","","","93","1","4059","4"
"psy_talk_arm_crossed_loop","","1","107131","0","0.2","0","3","psy_talk_arm_crossed","4060","4"
"","","","4058","","","","91","","4061","4"
"","","","107131","1","0.2","","3","psy_talk_joy1","4062","4"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0411","4063","4"
"1","0.5","0","107131","5","0","0","11","好！我就來做布丁吧！\n妳也來幫忙，\n還我聖誕節的人情吧。","4064","4"
"","","","0","","","","91","","4065","4"
"","","","107131","1","0.2","","3","psy_idle_joy1","4066","4"
"","","","119931","1","0.2","","3","psy_miyako_anger2","4067","4"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0404","4068","4"
"1","0.5","0","119931","6","0","0","11","為、為什麼會變成那樣──！？","4069","4"
"","","","4","","","","93","","4070","4"
"","","","0","","","","91","","4071","4"
"-300","psy_miyako_start","-200","1","100","1.7","0","1","119931","5001","5"
"300","psy_walk","-220","1","100","1.7","1","1","104931","5002","5"
"0","","1","1","0","1","","31","11","5003","5"
"-300","psy_smoke_start","-200","1","101","1.7","0","5","1","5004","5"
"2","","0","104931","-220","","","2","185","5005","5"
"","","","2","","","","93","","5006","5"
"","","","104931","1","0.2","","3","psy_talk_wish","5007","5"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0504","5008","5"
"1","0.5","0","104931","5","0","0","11","弟弟和璃乃\n就是在這間甜點店幫忙吧！\n弟弟！姐姐來找你了唷！！","5009","5"
"","","","4.3","","","","93","1","5010","5"
"","","","104931","1","0.2","","3","psy_talk_joy1","5011","5"
"","","","5009","","","","91","","5012","5"
"","","","104931","1","0.2","","3","psy_idle_joy1","5013","5"
"psy_miyako_talk3","","1","119931","0","0","0.2","3","psy_miyako_appear","5014","5"
"psy_smoke_start","","0","1","0","0","0","3","psy_smoke_appear","5015","5"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0501","5016","5"
"1","0.5","0","119931","5","0","0","11","吵死了喲。\n突然喊什麼喊啊？","5017","5"
"","","","0","","","","91","","5018","5"
"","","","0","","","","22","0","5019","5"
"","","","119931","1","0.2","","3","psy_miyako_idle","5020","5"
"","","","104931","1","0.2","","3","psy_talk_joy1","5021","5"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0505","5022","5"
"1","0.5","0","104931","6","0","0","11","啊！妳就是宮子吧？\n我有聽璃乃提過妳！\n初次見面，我是弟弟的姐姐唷！","5023","5"
"","","","4","","","","93","","5024","5"
"","","","104931","1","0.2","","3","psy_talk_wish","5025","5"
"","","","5023","","","","91","","5026","5"
"","","","0","","","","91","","5027","5"
"","","","104931","1","0.2","","3","psy_idle_wish","5028","5"
"","","","119931","1","0.2","","3","psy_miyako_anger3","5029","5"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0502","5030","5"
"1","0.5","0","119931","4","0","0","11","妳是不是那傢伙的姐姐\n都與人家無關喲。\n宮子正在忙著做布丁喲。","5031","5"
"","","","5","","","","93","1","5032","5"
"psy_miyako_arm_crossed_loop","","1]","119931","0","0.2","0","3","psy_miyako_arm_crossed_in","5033","5"
"","","","5031","","","","91","","5034","5"
"","","","0","","","","22","0","5035","5"
"","","","119931","1","0.2","","3","psy_miyako_arm_crossed_idle","5036","5"
"","","","104931","1","0.2","","3","psy_talk_wish","5037","5"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0506","5038","5"
"1","0.5","0","104931","7","0","0","11","第一次遇到這種無所謂的反應，\n姐姐還是有點受傷的！\n畢竟愛的相反\n聽說就是漠不關心呢！","5039","5"
"","","","0","","","","91","","5040","5"
"","","","104931","1","0.2","","3","psy_talk_joy2","5041","5"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0507","5042","5"
"1","0.5","0","104931","7","0","0","11","好～！\n我現在馬上來向宮子獻上\n關於弟弟與姐姐，\n愛與命運交織的故事吧！","5043","5"
"","","","0","","","","91","","5044","5"
"","","","104931","1","0.2","","3","psy_talk_memory","5045","5"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0508","5046","5"
"1","0.5","0","104931","8","0","0","11","首先從命運的相遇聽我娓娓道來……","5047","5"
"","","","0","","","","91","","5048","5"
"","","","104931","1","0.2","","3","psy_idle_memory","5049","5"
"","","","119931","1","0.2","","3","psy_miyako_sad1","5050","5"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0503","5051","5"
"1","0.5","0","119931","5","0","0","11","（好像有什麼開始了……\n因為很麻煩宮子要消失……）","5052","5"
"","","","0","","","","91","","5053","5"
"","","","0","","","","22","0","5054","5"
"","","","119931","0","0.2","","3","psy_miyako_hide","5055","5"
"psy_smoke_start","","0","1","0","0","0","3","psy_smoke_hide","5056","5"
"","","","2","","","","93","","5057","5"
"","","","0","","","","91","","5058","5"
"-300","psy_miyako_idle_thinking","-200","1","100","1.7","1","1","119931","6001","6"
"300","psy_walk","-220","1","100","1.7","1","1","103131","6002","6"
"0","","1","1","0","1","","31","11","6003","6"
"0","0","0","119931","2","0","0","12","17","6004","6"
"2","","0","103131","-220","","","2","185","6005","6"
"","","","2","","","","93","","6006","6"
"","","","103131","1","0.2","","3","psy_talk_wish","6007","6"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0605","6008","6"
"1","0.5","0","103131","4","0","0","11","午安，\n我聽說宮子在甜點店幫忙，\n就過來看看了。","6009","6"
"","","","0","","","","91","","6010","6"
"","","","103131","1","0.2","","3","psy_idle_wish","6011","6"
"","","","119931","","","","4","0","6012","6"
"psy_miyako_talk_joy2","","1","119931","0","0.2","0.2","3","psy_miyako_surprise2_in","6013","6"
"","","","1","","","","93","","6014","6"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0601","6015","6"
"1","0.5","0","119931","5","0","0","11","忍！妳來得正好！\n宮子現在遇到了一點麻煩喲！","6016","6"
"","","","3","","","","93","1","6017","6"
"","","","119931","1","0.2","","3","psy_miyako_talk2","6018","6"
"","","","6016","","","","91","","6019","6"
"","","","0","","","","22","0","6020","6"
"","","","119931","1","0.2","","3","psy_miyako_idle_sad","6021","6"
"","","","103131","1","0.2","","3","psy_talk_sad","6022","6"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0606","6023","6"
"1","0.5","0","103131","6","0","0","11","怎麼了嗎？\n啊，難道妳把要賣的布丁\n不小心吃掉了嗎？\n那麼我們一起道歉吧。","6024","6"
"","","","0","","","","91","","6025","6"
"","","","103131","1","0.2","","3","psy_idle_sad","6026","6"
"","","","119931","1","0.2","","3","psy_miyako_panic3","6027","6"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0602","6028","6"
"1","0.5","0","119931","3","0","0","11","不是啦！宮子現在打算做出\n究極的布丁喲！\n不過，想不到什麼\n好點子……","6029","6"
"","","","5.5","","","","93","1","6030","6"
"","","","119931","1","0.2","","3","psy_miyako_sad2","6031","6"
"","","","6029","","","","91","","6032","6"
"","","","0","","","","22","0","6033","6"
"","","","119931","1","0.2","","3","psy_miyako_idle_sad","6034","6"
"psy_talk_surprise1","","1","103131","0","0.2","0.2","3","psy_surprise","6035","6"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0607","6036","6"
"1","0.5","0","103131","6","0","0","11","宮子……自己……\n做布丁……","6037","6"
"","","","0","","","","91","","6038","6"
"","","","103131","1","0.2","","3","psy_idle_surprise1","6039","6"
"","","","119931","1","0.2","","3","psy_miyako_talk2","6040","6"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0603","6041","6"
"1","0.5","0","119931","5","0","0","11","妳怎麼了？","6042","6"
"","","","0","","","","91","","6043","6"
"","","","0","","","","22","0","6044","6"
"","","","119931","1","0.2","","3","psy_miyako_idle","6045","6"
"","","","103131","1","0.2","","3","psy_talk_joy1","6046","6"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0608","6047","6"
"1","0.5","0","103131","5","0","0","11","呵呵，不，沒事。\n雖然不知道我能不能派上用場，\n我會盡全力幫忙的。","6048","6"
"","","","4","","","","93","1","6049","6"
"","","","103131","1","0.2","","3","psy_talk_wish","6050","6"
"","","","6048","","","","91","","6051","6"
"","","","103131","1","0.2","","3","psy_idle_wish","6052","6"
"","","","119931","1","0.2","","3","psy_miyako_joy1","6053","6"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0604","6054","6"
"1","0.5","0","119931","5","0","0","11","謝謝妳喲！\n只要忍跟宮子一起就是最強的！\n絕對能夠做出\n好吃的布丁喲！","6055","6"
"","","","5","","","","93","1","6056","6"
"psy_miyako_guts1_loop","","1","119931","0","0.2","0","3","psy_miyako_guts1_in","6057","6"
"","","","6055","","","","91","","6058","6"
"","","","0","","","","22","0","6059","6"
"","","","1.5","","","","93","","6060","6"
"","","","0","","","","91","","6061","6"
"-200","psy_miyako_idle","-200","1","100","1.7","0","1","119931","7001","7"
"125","psy_fairy_idle","-220","1","100","1.7","0","5","1","7002","7"
"0","","1","1","0","1","","31","11","7003","7"
"","","","2","","","","93","","7004","7"
"","","","1","1","0.2","","3","psy_fairy_talk","7005","7"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_9902","7006","7"
"1","0.5","0","1","3","0","0","11","啾啾！","7007","7"
"","","","0","","","","91","","7008","7"
