6d94274c14b4d897d1d04c84e1c7eae5cf17ba29a9fdd4d2dcb23b8a8e8eda96,d99c0cf50dfe26ffa9d45e784b2bbdfb77bab959e74a32464120e0503cd38cb6,e7eb7a2d9f1d03f2bd84ae3d4cad2f47245f2c24165f8b1015a9932884ff1758,a6adc01f15a9fa8c758cbfdc94abc7538a7873001c8ff422d5b141196b57a3b9,04b8950d29c867b7bb42079722b7c1b0b29658dfdb2dcf053a09bad169f214e1,a1d8e3a029c8995b7c65563db92acd2dced48381edae1f7f1939c8be47cc91e5,0f4bed934a3a72723ccaaa2b8e59da40a854a0b9e3c1692e9fbe949c7519a64a,1e8e8c5e8e3c523703fc909b6d7d65f91ead6e05caddc6af1bd95b92ef77cdae,8d7143aa7f5ca934b8a616b31aa53fae4f12f82a386e7018af2a7b87ed7345fd,74a5f065e32107087ffd89a919436c4cd220799e082e5e38175a0709d27c69d5,0abcce5a381eb9e76bf5458e59017b0b59b28dc31129999d90b9406ddccde0a4
"2","0","2","30","192","輪胎（中）","0","3","20302","2030200","0"
"3","0","2","30","307","輪胎（中）","0","3","20303","2030300","0"
"1","0","2","15","100","輪胎（小）","0","4","20401","2040100","0"
"2","0","2","15","160","輪胎（小）","0","4","20402","2040200","0"
"3","0","2","15","256","輪胎（小）","0","4","20403","2040300","0"
"1","4","3","1","0","加農砲","0","1","30101","3010100","125"
"1","5","3","1","0","加農砲","0","1","30101","3010101","195"
"1","6","3","1","0","加農砲","0","1","30101","3010102","234"
"2","4","3","1","0","加農砲","0","1","30102","3010200","200"
"2","5","3","1","0","加農砲","0","1","30102","3010201","313"
"2","6","3","1","0","加農砲","0","1","30102","3010202","375"
"3","4","3","1","0","加農砲","0","1","30103","3010300","320"
"3","5","3","1","0","加農砲","0","1","30103","3010301","500"
"3","6","3","1","0","加農砲","0","1","30103","3010302","600"
"1","6","3","1","0","刨刀","0","2","30201","3020100","75"
"1","7","3","1","0","刨刀","0","2","30201","3020101","112"
"1","8","3","1","0","刨刀","0","2","30201","3020102","135"
"2","6","3","1","0","刨刀","0","2","30202","3020200","120"
"2","7","3","1","0","刨刀","0","2","30202","3020201","180"
"2","8","3","1","0","刨刀","0","2","30202","3020202","216"
"3","6","3","1","0","刨刀","0","2","30203","3020300","192"
"3","7","3","1","0","刨刀","0","2","30203","3020301","288"
"3","8","3","1","0","刨刀","0","2","30203","3020302","345"
"1","5","3","1","0","鑽頭","0","3","30301","3030100","72"
"1","6","3","1","0","鑽頭","0","3","30301","3030101","108"
"1","7","3","1","0","鑽頭","0","3","30301","3030102","129"
"2","5","3","1","0","鑽頭","0","3","30302","3030200","115"
"2","6","3","1","0","鑽頭","0","3","30302","3030201","172"
"2","7","3","1","0","鑽頭","0","3","30302","3030202","207"
"3","5","3","1","0","鑽頭","0","3","30303","3030300","184"
"3","6","3","1","0","鑽頭","0","3","30303","3030301","276"
"3","7","3","1","0","鑽頭","0","3","30303","3030302","331"
"1","6","3","1","0","槌子","0","4","30401","3040100","101"
"1","7","3","1","0","槌子","0","4","30401","3040101","139"
"1","8","3","1","0","槌子","0","4","30401","3040102","177"
"2","6","3","1","0","槌子","0","4","30402","3040200","162"
"2","7","3","1","0","槌子","0","4","30402","3040201","222"
"2","8","3","1","0","槌子","0","4","30402","3040202","283"
"3","6","3","1","0","槌子","0","4","30403","3040300","259"
"3","7","3","1","0","槌子","0","4","30403","3040301","356"
"3","8","3","1","0","槌子","0","4","30403","3040302","453"
"1","5","3","1","0","霰彈槍","0","5","30501","3050100","157"
"1","6","3","1","0","霰彈槍","0","5","30501","3050101","216"
"1","7","3","1","0","霰彈槍","0","5","30501","3050102","275"
"2","5","3","1","0","霰彈槍","0","5","30502","3050200","252"
"2","6","3","1","0","霰彈槍","0","5","30502","3050201","346"
"2","7","3","1","0","霰彈槍","0","5","30502","3050202","441"
"3","5","3","1","0","霰彈槍","0","5","30503","3050300","403"
"3","6","3","1","0","霰彈槍","0","5","30503","3050301","554"
"3","7","3","1","0","霰彈槍","0","5","30503","3050302","705"
"1","3","4","1","100","升降機","0","1","40101","4010100","0"
"1","4","4","1","125","升降機","0","1","40101","4010101","0"
"1","5","4","1","150","升降機","0","1","40101","4010102","0"
"2","3","4","1","160","升降機","0","1","40102","4010200","0"
"2","4","4","1","200","升降機","0","1","40102","4010201","0"
"2","5","4","1","240","升降機","0","1","40102","4010202","0"
"3","3","4","1","256","升降機","0","1","40103","4010300","0"
"3","4","4","1","320","升降機","0","1","40103","4010301","0"
"3","5","4","1","384","升降機","0","1","40103","4010302","0"
"1","2","4","1","125","鉤子","0","2","40201","4020100","0"
"1","3","4","1","156","鉤子","0","2","40201","4020101","0"
"1","4","4","1","188","鉤子","0","2","40201","4020102","0"
"2","2","4","1","200","鉤子","0","2","40202","4020200","0"
"2","3","4","1","250","鉤子","0","2","40202","4020201","0"
"2","4","4","1","300","鉤子","0","2","40202","4020202","0"
"3","2","4","1","320","鉤子","0","2","40203","4020300","0"
"3","3","4","1","400","鉤子","0","2","40203","4020301","0"
"3","4","4","1","480","鉤子","0","2","40203","4020302","0"
"1","1","4","1","150","推進器","0","3","40301","4030100","0"
"1","2","4","1","188","推進器","0","3","40301","4030101","0"
"1","3","4","1","225","推進器","0","3","40301","4030102","0"
"2","1","4","1","240","推進器","0","3","40302","4030200","0"
"2","2","4","1","300","推進器","0","3","40302","4030201","0"
"2","3","4","1","360","推進器","0","3","40302","4030202","0"
"3","1","4","1","384","推進器","0","3","40303","4030300","0"
"3","2","4","1","480","推進器","0","3","40303","4030301","0"
"3","3","4","1","576","推進器","0","3","40303","4030302","0"
