c4f11169c503c583dbb7f3287afdf28005fc536973d4e0ebad572f3379e576da,fd3d765a571bc27b482463b017883fdeb3e6f14dc4f0591e8a7862fb71f0e6b6,f2a7cd5cc732bc8176d55e7f4228af4b46855b95eba2ed41301d87dfc348a32a,e41b3cf9f8846d0bfdce1eaef521a6d6bb5410243a7d9e97f6ef749e93c9098a,6ecb7f53def7c3ee436523eb790629f23b4869aa4c2c4873110020b138ec39f9,02c05234c6005badff0e889e77aa2cbac493ac61bc6ca65390f86ea02371ad12,e89f647ac83350f31d8a9cf722d3dfc18ac789b4e555857e6d9b3349e633f912,bf3b3e5f8ca2d274dde316171fd6f378657a7a37fb06a8a2c4f993b2b261a4b8,054706ab94dfbeffc691ffa780a125a1f5145e6fef53a73bc930dac51b0eb2be,f140bf29a88b701c39c41e1bd559b14ec2387e2d2e6b3a7629f05f2ac590e6c3
"2300001","6001","6002","9360","33","6003","3","700","3","2"
"2300002","6004","6005","9360","33","6006","5","700","3","2"
"2300003","6007","6008","9360","33","6009","7","700","3","2"
"2300004","6010","6011","9360","33","6012","3","700","3","2"
"2300005","6013","6014","9360","33","6015","5","700","3","2"
"2300006","6016","6017","9360","33","6018","7","700","3","2"
"2300007","6019","6020","9360","33","6021","3","700","3","2"
"2300008","6022","6023","9360","33","6024","5","700","3","2"
"2300009","6025","6026","9360","33","6027","7","700","3","2"
"2300010","6028","6029","9360","33","6030","3","700","3","2"
"2300011","6031","6032","9360","33","6033","5","700","3","2"
"2300012","6034","6035","9360","33","6036","7","700","3","2"
"2300013","6037","6038","9360","33","6039","3","700","3","2"
"2300014","6040","6041","9360","33","6042","5","700","3","2"
"2300015","6043","6044","9360","33","6045","7","700","3","2"
"2300016","6046","6047","9360","33","6048","3","700","3","2"
"2300017","6049","6050","9360","33","6051","5","700","3","2"
"2300018","6052","6053","9360","33","6054","7","700","3","2"
"2300019","6055","6056","10590","34","6057","3","575","3","2"
"2300020","6058","6059","10590","34","6060","5","575","3","2"
"2300021","6061","6062","10590","34","6063","7","575","3","2"
"2300022","6064","6065","10590","34","6066","3","575","3","2"
"2300023","6067","6068","10590","34","6069","5","575","3","2"
"2300024","6070","6071","10590","34","6072","7","575","3","2"
"2300025","6073","6074","10590","34","6075","3","575","3","2"
"2300026","6076","6077","10590","34","6078","5","575","3","2"
"2300027","6079","6080","10590","34","6081","7","575","3","2"
"2300028","6082","6083","10590","34","6084","3","575","3","2"
"2300029","6085","6086","10590","34","6087","5","575","3","2"
"2300030","6088","6089","10590","34","6090","7","575","3","2"
"3100001","7001","7002","14280","39","7003","1","340","1","3"
"3100002","7004","7005","14280","39","7006","1","340","1","3"
"3100003","7007","7008","14280","39","7009","1","340","1","3"
"3100004","7010","7011","14280","39","7012","1","340","1","3"
"3100005","7013","7014","14280","39","7015","1","340","1","3"
"3100006","7016","7017","14280","39","7018","1","340","1","3"
"3100007","7019","7020","13050","36","7021","1","375","1","3"
"3100008","7022","7023","13050","36","7024","1","375","1","3"
"3100009","7025","7026","13050","36","7027","1","375","1","3"
"3100010","7028","7029","13050","36","7030","1","375","1","3"
"3200001","8001","8002","14280","41","8003","1","340","2","3"
"3200002","8004","8005","14280","41","8006","1","340","2","3"
"3200003","8007","8008","14280","41","8009","1","340","2","3"
"3200004","8010","8011","14280","41","8012","1","340","2","3"
"3200005","8013","8014","14280","41","8015","1","340","2","3"
"3200006","8016","8017","14280","41","8018","1","340","2","3"
"3200007","8019","8020","14280","41","8021","1","340","2","3"
"3200008","8022","8023","14280","41","8024","1","340","2","3"
"3200009","8025","8026","14280","41","8027","1","340","2","3"
"3200010","8028","8029","14280","41","8030","1","340","2","3"
"3200011","8031","8032","14280","41","8033","1","340","2","3"
"3200012","8034","8035","14280","41","8036","1","340","2","3"
"3200013","8037","8038","13050","38","8039","1","375","2","3"
"3200014","8040","8041","13050","38","8042","1","375","2","3"
"3200015","8043","8044","13050","38","8045","1","375","2","3"
"3200016","8046","8047","13050","38","8048","1","375","2","3"
"3200017","8049","8050","13050","38","8051","1","375","2","3"
"3200018","8052","8053","13050","38","8054","1","375","2","3"
"3200019","8055","8056","13050","38","8057","1","375","2","3"
"3200020","8058","8059","13050","38","8060","1","375","2","3"
"3300001","9001","9002","14280","40","9003","1","340","3","3"
"3300002","9004","9005","14280","40","9006","1","340","3","3"
"3300003","9007","9008","14280","40","9009","1","340","3","3"
"3300004","9010","9011","14280","40","9012","1","340","3","3"
"3300005","9013","9014","14280","40","9015","1","340","3","3"
"3300006","9016","9017","14280","40","9018","1","340","3","3"
"3300007","9019","9020","14280","40","9021","1","340","3","3"
"3300008","9022","9023","14280","40","9024","1","340","3","3"
"3300009","9025","9026","14280","40","9027","1","340","3","3"
"3300010","9028","9029","14280","40","9030","1","340","3","3"
"3300011","9031","9032","14280","40","9033","1","340","3","3"
"3300012","9034","9035","14280","40","9036","1","340","3","3"
"3300013","9037","9038","14280","40","9039","1","340","3","3"
"3300014","9040","9041","14280","40","9042","1","340","3","3"
"3300015","9043","9044","14280","40","9045","1","340","3","3"
"3300016","9046","9047","14280","40","9048","1","340","3","3"
"3300017","9049","9050","14280","40","9051","1","340","3","3"
"3300018","9052","9053","14280","40","9054","1","340","3","3"
"3300019","9055","9056","13050","39","9057","1","375","3","3"
"3300020","9058","9059","13050","39","9060","1","375","3","3"
"3300021","9061","9062","13050","39","9063","1","375","3","3"
"3300022","9064","9065","13050","39","9066","1","375","3","3"
"3300023","9067","9068","13050","39","9069","1","375","3","3"
"3300024","9070","9071","13050","39","9072","1","375","3","3"
"3300025","9073","9074","13050","39","9075","1","375","3","3"
"3300026","9076","9077","13050","39","9078","1","375","3","3"
"3300027","9079","9080","13050","39","9081","1","375","3","3"
"3300028","9082","9083","13050","39","9084","1","375","3","3"
"3300029","9085","9086","13050","39","9087","1","375","3","3"
"3300030","9088","9089","13050","39","9090","1","375","3","3"
