1f1ad7d40a895fcabb8e75108ef9beb5155e3538c5bf653f45673aaa3262ef78,9fb922d3a780f63d659948cc372108fdcc6eedd0ecd5f2cad068627f4e22e787,f7617bcfada302c75b07307e84c13643a4eb788357e733579e0bc61e339f5440,6d74c1b123ed778d306369c552af55127521f6a25da54c942735d095e6791a2d,e9eabc6b40354134a347e86b1b1546dbb2857d61526283733639bfcda55a37dd,3caad5fe1fab2fdb2c79d55600b86087dcd994e4c5b6df61acf550afe9af22b0,d9b5ab876d847d8575b6900433380a5e2c2eded7051822114af79923bc46b832,87be6007cdcf855cd3ed42801001e31097752303890828a42efddde4f3dcd2ea
"1","52023","1","【料理】第1次投擲骰子一定會丟出「6」，第2次一定會丟出「3」","0","33","1","0"
"1","52024","1","【料理】下次移動時多前進3格","0","34","1","0"
"1","52025","10","【料理】移動時可以跳過「里程格」及「寶物格」。","0","35","2","0"
"1","52027","1","【料理】骰子只會丟出「5」","0","36","1","0"
"1","52028","1","【料理】投擲的骰子\n只會丟出「1、2」。","0","37","1","0"
"3","1","99","取得最大n里程","0","1001","1","0"
"3","2","99","重新擲1次骰子","0","1002","1","0"
"3","3","99","重新擲1次骰子_有效回合2","0","1003","1","0"
"3","1001","126501","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","0","11001","1","0"
"3","1002","105301","【夥伴】取得最大1000里程","0","11002","1","0"
"3","1003","126401","【夥伴】取得1個料理","0","11003","1","0"
"3","1004","100501","【夥伴】重新擲1次骰子","0","11004","1","0"
"3","1005","101301","【夥伴】重新擲2次骰子","0","11005","1","0"
"3","1006","104301","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","0","11006","1","0"
"3","1007","102701","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","0","11007","1","0"
"3","1008","100901","【夥伴】追加投擲骰子直到數字合計為7以上","0","11008","1","0"
"3","1009","105101","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","0","11009","1","0"
"3","1010","101801","【夥伴】取得最大1000里程","0","11010","1","0"
"3","1011","129701","【夥伴】可以選擇使用骰子的正面或背面","0","11011","1","0"
"3","1012","101601","【夥伴】重新擲1次骰子","0","11012","1","0"
"3","1013","105601","【夥伴】重新擲2次骰子","0","11013","1","0"
"3","1014","102001","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","0","11014","1","0"
"3","1015","129601","【夥伴】追加投擲骰子直到數字合計為7以上","0","11015","1","0"
"3","1016","100401","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","0","11016","1","0"
"3","1017","127701","【夥伴】骰子擲出偶數時，多前進1格。","0","11017","1","0"
"3","1018","127801","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","0","11018","1","0"
"3","1019","104801","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","0","11019","1","0"
"3","1020","104701","【夥伴】重新擲2次骰子","0","11020","1","0"
"3","1021","105001","【夥伴】追加投擲骰子直到數字合計為7以上","0","11021","1","0"
"3","1022","103201","【夥伴】取得最大2000里程","0","11022","1","0"
"3","1023","130901","【夥伴】取得1張抽獎券","0","11023","1","0"
"3","1024","102501","【夥伴】取得1個料理","0","11024","1","0"
