994b41774621e7e86deb37dc5f7c5994e02f4c331fd8552280c99d89b130f7b8,70abe84a71c7a7eafdd39fbceba820e1e4eee5786ac1bad018f7ef6eef4322de,86714060986f2caf77d9fc035216b53fa42d7b0f45b1d70bd7b6aeae638eaa3f,d9386f6648e875b0d28e29c1e2b66d7522af3f2332e04f97230310552a676297,3907d9f8e25d2ffd689763a4a02a696f219ebace4b9a711efd313a3b936ad125,4e33acbe6617e82d4018c3a250b8aeda37ea1214a6e6b959e64995d0a855c138,ca6c4e25a88930d541fedb03a1ff825475f71587f39bc0388e798bf97eee2474,82c410a60829cafe4b9641a6544a539fccb3b486ee55dc6761ad6ca290d621f1,8f9b809635521e4ee6bfa58b672d1ee14ed31120da72ed2a48a531265a3f45bb
"100411","11","33","0","33","1004","累積獲得33個★","100400011","4101"
"100412","12","36","1","36","1004","累積獲得36個★","100400012","4101"
"100413","13","39","0","39","1004","累積獲得39個★","100400013","4101"
"100414","14","42","0","42","1004","累積獲得42個★","100400014","4101"
"100415","15","45","1","45","1004","累積獲得45個★","100400015","4101"
"100416","16","48","0","48","1004","累積獲得48個★","100400016","4101"
"100417","17","51","1","51","1004","累積獲得51個★","100400017","4101"
"100418","18","54","0","54","1004","累積獲得54個★","100400018","4101"
"100501","1","3","0","3","1005","累積獲得3個★","100500001","4101"
"100502","2","6","0","6","1005","累積獲得6個★","100500002","4101"
"100503","3","9","1","9","1005","累積獲得9個★","100500003","4101"
"100504","4","12","0","12","1005","累積獲得12個★","100500004","4101"
"100505","5","15","0","15","1005","累積獲得15個★","100500005","4101"
"100506","6","18","0","18","1005","累積獲得18個★","100500006","4101"
"100507","7","21","1","21","1005","累積獲得21個★","100500007","4101"
"100508","8","24","0","24","1005","累積獲得24個★","100500008","4101"
"100509","9","27","1","27","1005","累積獲得27個★","100500009","4101"
"100510","10","30","0","30","1005","累積獲得30個★","100500010","4101"
"100511","11","33","0","33","1005","累積獲得33個★","100500011","4101"
"100512","12","36","1","36","1005","累積獲得36個★","100500012","4101"
"100513","13","39","0","39","1005","累積獲得39個★","100500013","4101"
"100514","14","42","0","42","1005","累積獲得42個★","100500014","4101"
"100515","15","45","1","45","1005","累積獲得45個★","100500015","4101"
"100516","16","48","0","48","1005","累積獲得48個★","100500016","4101"
"100517","17","51","1","51","1005","累積獲得51個★","100500017","4101"
"100518","18","54","0","54","1005","累積獲得54個★","100500018","4101"
"100601","1","3","0","3","1006","累積獲得3個★","100600001","4101"
"100602","2","6","0","6","1006","累積獲得6個★","100600002","4101"
"100603","3","9","1","9","1006","累積獲得9個★","100600003","4101"
"100604","4","12","0","12","1006","累積獲得12個★","100600004","4101"
"100605","5","15","0","15","1006","累積獲得15個★","100600005","4101"
"100606","6","18","0","18","1006","累積獲得18個★","100600006","4101"
"100607","7","21","1","21","1006","累積獲得21個★","100600007","4101"
"100608","8","24","0","24","1006","累積獲得24個★","100600008","4101"
"100609","9","27","1","27","1006","累積獲得27個★","100600009","4101"
"100610","10","30","0","30","1006","累積獲得30個★","100600010","4101"
"100611","11","33","0","33","1006","累積獲得33個★","100600011","4101"
"100612","12","36","1","36","1006","累積獲得36個★","100600012","4101"
"100613","13","39","0","39","1006","累積獲得39個★","100600013","4101"
"100614","14","42","0","42","1006","累積獲得42個★","100600014","4101"
"100615","15","45","1","45","1006","累積獲得45個★","100600015","4101"
"100616","16","48","0","48","1006","累積獲得48個★","100600016","4101"
"100617","17","51","1","51","1006","累積獲得51個★","100600017","4101"
"100618","18","54","0","54","1006","累積獲得54個★","100600018","4101"
