c022af91236a341819de13a579ec4564c82b4d65770320e9183e8889079512b2,1d142ef80e9d9472f2f46fc0a1aa9faee7ca88ba74c3c2e6df6ba5446a02183a,1fdbaa658f9dd55c96ebe52d04b60e8c729b336738adbb765d6f02d38893d7e7,5dec13fa451ac3cacc38d5acc023798ede715049ac9634a11c43c9792e2847dc,490a0f9dcf0cd7e81387336b8281891314c9c500f78b161e79a92e607b338766
"降低HP吸收","500000405","75000004","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","500000406","75000004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","500000501","75000005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","500000502","75000005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","500000503","75000005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","500000504","75000005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","500000505","75000005","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","500000506","75000005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","500000601","75000006","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","500000602","75000006","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","500000603","75000006","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","500000604","75000006","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","500000605","75000006","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","500000606","75000006","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","500000701","75000007","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","500000702","75000007","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","500000703","75000007","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","500000704","75000007","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","500000705","75000007","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","500000706","75000007","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","500000801","75000008","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","500000802","75000008","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","500000803","75000008","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","500000804","75000008","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","500000805","75000008","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","500000806","75000008","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","500000901","75000009","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","500000902","75000009","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","500000903","75000009","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","500000904","75000009","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","500000905","75000009","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","500000906","75000009","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","500001001","75000010","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","500001002","75000010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","500001003","75000010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","500001004","75000010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","500001005","75000010","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","500001006","75000010","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","500001101","75000011","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","500001102","75000011","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","500001103","75000011","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","500001104","75000011","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","500001105","75000011","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","500001106","75000011","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","boss_tp_down_cut"
"傷害值衰減","500001201","75000012","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","500001202","75000012","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","500001203","75000012","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","500001204","75000012","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","500001205","75000012","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","500001206","75000012","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","601000101","76010001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","601000102","76010001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","601000103","76010001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","601000104","76010001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","601000105","76010001","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","601000106","76010001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","601000201","76010002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","601000202","76010002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","601000203","76010002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","601000204","76010002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","601000205","76010002","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","601000206","76010002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","601000301","76010003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","601000302","76010003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","601000303","76010003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","601000304","76010003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","601000305","76010003","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","601000306","76010003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","601000401","76010004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","601000402","76010004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","601000403","76010004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","601000404","76010004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","601000405","76010004","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","601000406","76010004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","601000501","76010005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","601000502","76010005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","601000503","76010005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","601000504","76010005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","601000505","76010005","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","601000506","76010005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","602000101","76020001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","602000102","76020001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","602000103","76020001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","602000104","76020001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","602000105","76020001","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","602000106","76020001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","boss_tp_down_cut"
"傷害值衰減","602000201","76020002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","602000202","76020002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","602000203","76020002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","602000204","76020002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","602000205","76020002","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","602000206","76020002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","boss_tp_down_cut"
"傷害值衰減","602000301","76020003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","602000302","76020003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","602000303","76020003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","602000304","76020003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","602000305","76020003","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","602000306","76020003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","boss_tp_down_cut"
"傷害值衰減","602000401","76020004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","602000402","76020004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","602000403","76020004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","602000404","76020004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","602000405","76020004","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","602000406","76020004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","boss_tp_down_cut"
"傷害值衰減","602000501","76020005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","602000502","76020005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","602000503","76020005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","602000504","76020005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","602000505","76020005","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","602000506","76020005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","boss_tp_down_cut"
"全屬性獎勵特大幅度提升","603000101","76030001","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","33"
"傷害值衰減","603000102","76030001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","603000103","76030001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","603000104","76030001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","603000105","76030001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"減少降低TP","603000106","76030001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"全屬性獎勵特大幅度提升","603000201","76030002","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","33"
"傷害值衰減","603000202","76030002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","603000203","76030002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","603000204","76030002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","603000205","76030002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"減少降低TP","603000206","76030002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"全屬性獎勵特大幅度提升","603000301","76030003","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","33"
"傷害值衰減","603000302","76030003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","603000303","76030003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","603000304","76030003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","603000305","76030003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"減少降低TP","603000306","76030003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"全屬性獎勵特大幅度提升","603000401","76030004","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","33"
"傷害值衰減","603000402","76030004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","603000403","76030004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","603000404","76030004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","603000405","76030004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"減少降低TP","603000406","76030004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"全屬性獎勵特大幅度提升","603000501","76030005","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","33"
"傷害值衰減","603000502","76030005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","603000503","76030005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","603000504","76030005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","603000505","76030005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"減少降低TP","603000506","76030005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
