92d593dbd7788fca0f2b3ce943843c3a747607cef14fe80f3be88e5d6ce0f95e,b023012dae889ff6590ea28587d25b6cbca002ced9537dd7c3e31cc0cf1d6808,9b96f5499df0ea5b58d8d38ec9bbe801157e79918fdc58bd3492a6f6903e54eb,341cbd214871ae572a3bd6198d1c55dbc09ae57edbffb3d465a9cc14ed2640ea,a7ce6cfb58aa31ccb2361f27f6068ac9ccb4181935891deb6b5ca63c59f5c311
"追加2隻闇影","add_shadow","追加靜流（夏日）與克莉絲提娜的闇影。","18","74001303"
"Boss UB強化","boss_ub_enhance","Boss怪物的必殺技會受到強化。","19","74001304"
"開始時恢復TP","energy_recover","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","20","74001304"
"Boss魔法傷害降低","boss_magic_cut","戰鬥開始時，Boss怪物的魔法傷害為減少70%的狀態。","21","74001304"
"追加2隻闇影","add_shadow","追加靜流（夏日）與克莉絲提娜的闇影。","22","74001304"
"戰鬥時間限制","limit_time","戰鬥時間變成60秒。","23","74001305"
"Boss UB強化","boss_ub_enhance","Boss怪物的必殺技會受到強化。","24","74001305"
"開始時恢復TP","energy_recover","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","25","74001305"
"Boss魔法傷害降低","boss_magic_cut","戰鬥開始時，Boss怪物的魔法傷害為減少100%的狀態。","26","74001305"
"追加2隻闇影","add_shadow","追加靜流（夏日）與克莉絲提娜的闇影。","27","74001305"
"Boss物理傷害降低","boss_physics_cut","戰鬥開始時，Boss怪物的物理傷害為減少20%的狀態。","28","74001401"
"Boss物理傷害降低","boss_physics_cut","戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","29","74001402"
"追加1隻闇影","add_shadow","追加空花（大江戶）的闇影。","30","74001402"
"開始時恢復TP","energy_recover","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","31","74001403"
"Boss物理傷害降低","boss_physics_cut","戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","32","74001403"
"追加2隻闇影","add_shadow","追加空花（大江戶）與似似花的闇影。","33","74001403"
"Boss UB強化","boss_ub_enhance","Boss怪物的必殺技會受到強化。","34","74001404"
"開始時恢復TP","energy_recover","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","35","74001404"
"Boss物理傷害降低","boss_physics_cut","戰鬥開始時，Boss怪物的物理傷害為減少70%的狀態。","36","74001404"
"追加2隻闇影","add_shadow","追加空花（大江戶）與似似花的闇影。","37","74001404"
"戰鬥時間限制","limit_time","戰鬥時間變成60秒。","38","74001405"
"Boss UB強化","boss_ub_enhance","Boss怪物的必殺技會受到強化。","39","74001405"
"開始時恢復TP","energy_recover","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","40","74001405"
"Boss物理傷害降低","boss_physics_cut","戰鬥開始時，Boss怪物的物理傷害為減少100%的狀態。","41","74001405"
"追加2隻闇影","add_shadow","追加空花（大江戶）與似似花的闇影。","42","74001405"
"開始時提升攻擊力","boss_atk_up","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","43","74001502"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","44","74001503"
"開始時提升攻擊力","boss_atk_up","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","45","74001503"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","46","74001504"
"Boss UB強化","boss_ub_enhance","Boss怪物的必殺技會受到強化。","47","74001504"
"開始時提升攻擊力","boss_atk_up","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","48","74001504"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","49","74001505"
"降低角色的最大HP","max_hp_down","隊伍角色的最大HP降低20%。","50","74001505"
"Boss UB強化","boss_ub_enhance","Boss怪物的必殺技會受到強化。","51","74001505"
"開始時提升攻擊力","boss_atk_up","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","52","74001505"
"追加1隻闇影","add_shadow","追加花凜的闇影。","53","74002102"
"強化闇影","star6_shadow","對宮子、優花梨、步未的闇影追加專用裝備。","54","74002103"
"追加1隻闇影","add_shadow","追加花凜的闇影。","55","74002103"
"強化闇影","star6_shadow","宮子、優花梨、步未的闇影變成★6。","56","74002104"
"追加1隻闇影","add_shadow","追加花凜的闇影。","57","74002104"
"提升闇影物理攻擊力","boss_atk_up","所有闇影的物理攻擊力大幅度提升。","58","74002105"
"強化闇影","star6_shadow","宮子、優花梨、步未的闇影變成★6。","59","74002105"
"追加1隻闇影","add_shadow","追加花凜的闇影。","60","74002105"
"追加1隻闇影","add_shadow","追加嘉夜（解放者）的闇影。","61","74002202"
"強化闇影","star6_shadow","對紡希（萬聖節）、真陽（聖誕節）、深月、霞（魔法少女）的闇影追加專用裝備。","62","74002203"
"追加1隻闇影","add_shadow","追加嘉夜（解放者）的闇影。","63","74002203"
"強化闇影","star6_shadow","深月的闇影變成★6。對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備。","64","74002204"
"追加1隻闇影","add_shadow","追加嘉夜（解放者）的闇影。","65","74002204"
"提升闇影魔法防禦力","boss_magic_def_up","所有闇影的魔法防禦力大幅度提升。","66","74002205"
"強化闇影","star6_shadow","對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備，且深月的闇影變成★6。","67","74002205"
"追加1隻闇影","add_shadow","追加嘉夜（解放者）的闇影。","68","74002205"
"追加1隻闇影","add_shadow","追加望的闇影。","69","74002302"
"追加2隻闇影","add_shadow","追加望與凱留（公主）的闇影。","70","74002303"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","71","74002304"
"強化闇影","star6_shadow","望的闇影變成★6。對凱留（公主）的闇影追加專用裝備。","72","74002304"
"追加2隻闇影","add_shadow","追加望與凱留（公主）的闇影。","73","74002304"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","74","74002305"
"開始時提升物理防禦力","boss_def_up","戰鬥開始時，Boss怪物特大幅度提升敵人全體的物理防禦力。","75","74002305"
"開始時提升魔法防禦力","boss_magic_def_up","戰鬥開始時，Boss怪物特大幅度提升敵人全體的魔法防禦力。","76","74002305"
"強化闇影","star6_shadow","望的闇影變成★6。對凱留（公主）的闇影追加專用裝備。","77","74002305"
"追加2隻闇影","add_shadow","追加望與凱留（公主）的闇影。","78","74002305"
"追加1隻闇影","add_shadow","追加綾音的闇影。","79","74002402"
"追加2隻闇影","add_shadow","追加綾音與貪吃佩可（夏日）的闇影。","80","74002403"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","81","74002404"
"強化闇影","star6_shadow","綾音與貪吃佩可（夏日）的闇影變成★6。","82","74002404"
"追加2隻闇影","add_shadow","追加綾音與貪吃佩可（夏日）的闇影。","83","74002404"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","84","74002405"
"開始時提升物理防禦力","boss_def_up","戰鬥開始時，Boss怪物特大幅度提升敵人全體的物理防禦力。","85","74002405"
"開始時提升魔法防禦力","boss_magic_def_up","戰鬥開始時，Boss怪物特大幅度提升敵人全體的魔法防禦力。","86","74002405"
"強化闇影","star6_shadow","綾音與貪吃佩可（夏日）的闇影變成★6。","87","74002405"
"追加2隻闇影","add_shadow","追加綾音與貪吃佩可（夏日）的闇影。","88","74002405"
"戰鬥時間限制","limit_time","戰鬥時間變成70秒。","89","74002502"
"戰鬥時間限制","limit_time","戰鬥時間變成60秒。","90","74002503"
"戰鬥時間限制","limit_time","戰鬥時間變成60秒。","91","74002504"
"Boss UB強化","boss_ub_enhance","Boss怪物的必殺技會受到強化。","92","74002504"
"戰鬥時間限制","limit_time","戰鬥時間變成45秒。","93","74002505"
"Boss UB強化","boss_ub_enhance","Boss怪物的必殺技會受到強化。","94","74002505"
"強化闇影","star6_shadow","對霞、初音、優衣（公主）的闇影追加專用裝備。","95","74003102"
"追加1隻闇影","add_shadow","追加雪的闇影。","96","74003103"
"強化闇影","star6_shadow","初音、雪的闇影變成★6。","97","74003103"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","98","74003104"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","99","74003105"
"闇影提升最大HP","max_hp_up","所有闇影的最大HP大幅度提升。","100","74003105"
"追加1隻怪物","add_shadow","追加詛咒‧遠古遺物。","101","74003202"
"強化闇影","star6_shadow","碧的闇影變成★6。","102","74003203"
"開始時魔法傷害降低","boss_magic_cut","戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少50%的狀態。","103","74003204"
"強化怪物","boss_ub_enhance","強化詛咒‧遠古遺物的技能。","104","74003204"
"開始時魔法傷害降低","boss_magic_cut","戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少75%的狀態。","105","74003205"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","106","74003205"
"追加1隻怪物","add_shadow","追加治癒‧遠古遺物。","107","74003302"
"強化闇影","star6_shadow","對凱留（新年）的闇影追加專用裝備。","108","74003303"
"開始時物理傷害降低","boss_physics_cut","戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少50%的狀態。","109","74003304"
"強化怪物","boss_ub_enhance","強化治癒‧遠古遺物的技能。","110","74003304"
"開始時物理傷害降低","boss_physics_cut","戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少75%的狀態。","111","74003305"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","112","74003305"
"提升Boss物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","113","74003402"
"提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","114","74003402"
"戰鬥時間限制","limit_time","戰鬥時間變成70秒。","115","74003403"
"提升Boss物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","116","74003403"
"提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","117","74003403"
"戰鬥時間限制","limit_time","戰鬥時間變成70秒。","118","74003404"
"Boss UB強化","boss_ub_enhance","Boss怪物的必殺技會受到強化。","119","74003404"
"減少降低Boss TP","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少100%的狀態。","120","74003404"
"提升Boss物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","121","74003404"
"提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","122","74003404"
"戰鬥時間限制","limit_time","戰鬥時間變成50秒。","123","74003405"
"Boss UB強化","boss_ub_enhance","Boss怪物的必殺技會受到強化。","124","74003405"
"減少降低Boss TP","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少100%的狀態。","125","74003405"
"提升Boss物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","126","74003405"
"提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","127","74003405"
"提升Boss物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","128","74003502"
"提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","129","74003502"
"提升Boss物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","130","74003503"
"提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","131","74003503"
"追加1隻怪物","add_shadow","追加露娜聚光燈。","132","74003504"
"提升Boss物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","133","74003504"
"提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","134","74003504"
"追加1隻闇影","add_shadow","追加霸瞳皇帝的闇影。","135","74003505"
"提升Boss物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","136","74003505"
"提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","137","74003505"
"強化闇影","star6_shadow","對祈梨、咲戀、依里、優妮的闇影追加專用裝備。","138","74004102"
"追加1隻闇影","add_shadow","追加咲戀（夏日）的闇影。","139","74004103"
"強化闇影","star6_shadow","咲戀、依里的闇影變成★6。","140","74004103"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","141","74004104"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","142","74004105"
"闇影提升最大HP","max_hp_up","所有闇影的最大HP大幅度提升。","143","74004105"
"追加1隻怪物","add_shadow","追加守護‧遠古遺物。","144","74004202"
"強化闇影","star6_shadow","對似似花（新年）的闇影追加專用裝備。","145","74004203"
"強化怪物","boss_ub_enhance","強化守護‧遠古遺物的技能。","146","74004204"
"開始時恢復HP","hp_recover","戰鬥開始時，守護‧遠古遺物將特大幅度恢復我方全體的HP。","147","74004204"
"開始時恢復HP","hp_recover","戰鬥開始時，守護‧遠古遺物將特大幅度恢復我方全體的HP。","148","74004205"
"開始時賦予持續恢復TP","energy_recover","戰鬥開始時，守護‧遠古遺物將賦予我方全體持續恢復TP的狀態。","149","74004205"
"追加1隻怪物","add_shadow","追加戰鬥‧遠古遺物。","150","74004302"
"強化闇影","star6_shadow","莉瑪的闇影變成★6。","151","74004303"
"強化怪物","boss_ub_enhance","強化戰鬥‧遠古遺物的技能。","152","74004304"
"開始時展開提升行動速度領域","boss_haste","戰鬥開始時，戰鬥‧遠古遺物將展開特大幅度提升我方全體行動速度的領域。","153","74004305"
"降低角色的最大HP","max_hp_down","隊伍角色的最大HP降低20%。","154","74004402"
"戰鬥時間限制","limit_time","戰鬥時間變成75秒。","155","74004403"
"降低角色的最大HP","max_hp_down","隊伍角色的最大HP降低20%。","156","74004403"
"戰鬥時間限制","limit_time","戰鬥時間變成75秒。","157","74004404"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","158","74004404"
"降低角色的最大HP","max_hp_down","隊伍角色的最大HP降低20%。","159","74004404"
"戰鬥時間限制","limit_time","戰鬥時間變成60秒。","160","74004405"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","161","74004405"
"降低角色的最大HP","max_hp_down","隊伍角色的最大HP降低20%。","162","74004405"
"降低角色的最大HP","max_hp_down","隊伍角色的最大HP降低20%。","163","74004502"
"BossUB、技能強化","boss_ub_enhance","Boss怪物的必殺技與技能會受到強化。","164","74004503"
"減少降低Boss TP","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","165","74004503"
"降低角色的最大HP","max_hp_down","隊伍角色的最大HP降低20%。","166","74004503"
"追加1隻怪物","add_shadow","追加露娜聚光燈。","167","74004504"
"減少降低Boss TP","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","168","74004504"
"降低角色的最大HP","max_hp_down","隊伍角色的最大HP降低20%。","169","74004504"
"追加1隻闇影","add_shadow","追加綾音的闇影。","170","74004505"
"減少降低Boss TP","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","171","74004505"
"降低角色的最大HP","max_hp_down","隊伍角色的最大HP降低20%。","172","74004505"
"強化闇影","star6_shadow","對莉瑪、嘉夜、祈梨、咲戀（夏日）的闇影追加專用裝備。","173","74005102"
"強化闇影","star6_shadow","莉瑪、嘉夜、祈梨的闇影變成★6。","174","74005103"
"物理傷害降低","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","175","74005103"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","176","74005104"
"物理傷害降低","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","177","74005104"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","178","74005105"
"物理傷害降低","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少100％的狀態。","179","74005105"
"強化闇影","star6_shadow","對宮子、怜（新年）、優花梨、初音、美咲（萬聖節）的闇影追加專用裝備。","180","74005202"
"強化闇影","star6_shadow","宮子、怜（新年）、優花梨、初音的闇影變成★6。","181","74005203"
"魔法傷害降低","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","182","74005203"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","183","74005204"
"魔法傷害降低","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","184","74005204"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","185","74005205"
"魔法傷害降低","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少100％的狀態。","186","74005205"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","187","74005301"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","188","74005301"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","189","74005301"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","190","74005301"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","191","74005301"
"追加怪物","add_shadow","追加軟泥怪、雷雲長老。","192","74005302"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","193","74005302"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","194","74005302"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","195","74005302"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","196","74005302"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","197","74005302"
"追加怪物","add_shadow","追加優花梨、帆稀（新年）。","198","74005303"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","199","74005303"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","200","74005303"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","201","74005303"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","202","74005303"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","203","74005303"
"追加怪物","add_shadow","追加露娜聚光燈。","204","74005304"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","205","74005304"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","206","74005304"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","207","74005304"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","208","74005304"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","209","74005304"
"戰鬥時間限制","limit_time","戰鬥時間變成60秒。","210","74005305"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","211","74005305"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","212","74005305"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","213","74005305"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","214","74005305"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","215","74005305"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","216","74005401"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","217","74005401"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","218","74005401"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","219","74005401"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","220","74005401"
"追加怪物","add_shadow","追加岩龜暴君、鬼燈螢。","221","74005402"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","222","74005402"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","223","74005402"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","224","74005402"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","225","74005402"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","226","74005402"
"追加怪物","add_shadow","追加靜流（黑暗）、可可蘿（夏日）。","227","74005403"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","228","74005403"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","229","74005403"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","230","74005403"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","231","74005403"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","232","74005403"
"追加怪物","add_shadow","追加露娜聚光燈。","233","74005404"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","234","74005404"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","235","74005404"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","236","74005404"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","237","74005404"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","238","74005404"
"戰鬥時間限制","limit_time","戰鬥時間變成60秒。","239","74005405"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","240","74005405"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","241","74005405"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","242","74005405"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","243","74005405"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","244","74005405"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","245","74005501"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","246","74005501"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","247","74005501"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","248","74005501"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","249","74005501"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","250","74005501"
"追加怪物","add_shadow","追加魔像、烏帕魯帕。","251","74005502"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","252","74005502"
