963bbf40bada998d54729877a1bc6f734ad2c0385823ee5724b2ed26afa53494,2824ad6c04d7d2666f214ef468acede1f1b1db180311716de962ff85e41f9d7a,67ff2eafb0460652f028146c77914a76d6d0ff57e815ef14290dd02347a05845,4e8e6a33b3c9faf65930cfa4e80eef824f73be8d7ec36b57fd99e1fcf6cd8e7a,9fcb604fabd7c602010dfbcfe46502259c4b5970dc9555a9ac31c0078f413309,7f66fa3b9cc0656b5f0f361e1162fbd320b0d1a9389afbd4b068023270a14fa8,c90fb3df014154a94e297106112caabc0114c7a42ddbf0d4e5caf552fb60aa1e,0815ea014d534d9b00ccbd00b3ff4051d5efc302c2e285f9d3d30cd7b8cf095d,a72bfb42152748847ceeaf097e70b38a50fec99838620ad48a07af5e136c5693,705b8c6f553bc0176c8f9ccf2f64104aca058bbdb5ff1cf9d95e799be7fe7f3b,ef9701d41e73b17a49c838f2eb4eb223736ff466579288e5d4d29bc00341ccf1,80e5eeb27a01acfb8a9c1be990e1f1b1dbb04efd8860aba7ccd80b6892b43544,e84bf47b7e6785a08b0c029499a83bf1c2991a45d89725b2a0531a5666c333e5
"20011","2030/04/19 15:00:00","0","0","0","2021/05/26 16:00:00","5034","0","2019/07/01 16:00:00","10011","1,8","0","0"
"20012","2030/04/19 15:00:00","0","0","0","2021/06/25 16:00:00","402","0","2019/07/17 16:00:00","10012","1","-5","0"
"20013","2030/04/19 15:00:00","0","0","0","2021/07/26 16:00:00","22","0","2019/08/01 16:00:00","10013","1,9","-5","0"
"20014","2030/04/19 15:00:00","0","0","0","2021/08/26 16:00:00","2174","0","2019/09/03 16:00:00","10015","1","-8","0"
"20015","2030/04/19 15:00:00","0","0","0","2021/09/24 16:00:00","2222","0","2019/11/01 16:00:00","10019","1,10","3","0"
"20016","2030/04/19 15:00:00","0","0","0","2021/10/26 16:00:00","6040","0","2019/12/02 16:00:00","10021","1,11","0","0"
"20017","2030/04/19 15:00:00","0","0","0","2021/11/25 15:00:00","6481","0","2020/01/02 16:00:00","10023","1","-4","0"
"20018","2030/04/19 15:00:00","0","0","0","2021/12/24 16:00:00","8134","0","2020/02/04 16:00:00","10025","1,12","0","0"
"20019","2030/04/19 15:00:00","0","0","0","2022/01/26 16:00:00","3420","0","2020/03/02 16:00:00","10027","1","-2","0"
"20020","2030/04/19 15:00:00","0","0","0","2022/02/22 16:00:00","5283","0","2020/04/01 16:00:00","10029","1,13","-5","0"
"20021","2030/04/19 15:00:00","0","0","0","2022/03/25 16:00:00","1311","0","2020/05/05 16:00:00","10031","1,14","-4","0"
"20022","2030/04/19 15:00:00","0","0","0","2022/04/25 16:00:00","6055","0","2020/06/03 16:00:00","10033","1,15","-7","0"
"20023","2030/04/19 15:00:00","0","0","0","2022/05/25 16:00:00","2022","0","2020/07/02 16:00:00","10038","1","-5","0"
"20024","2030/04/19 15:00:00","0","0","0","2022/06/24 16:00:00","6011","0","2020/08/03 16:00:00","10040","1","-10","0"
"20025","2030/04/19 15:00:00","0","0","0","2022/07/26 16:00:00","5221","0","2020/09/04 16:00:00","10042","1,16","-5","0"
"20026","2030/04/19 15:00:00","0","0","0","2022/08/26 16:00:00","3040","0","2020/11/02 16:00:00","10044","1,17","10","0"
"20027","2030/04/19 15:00:00","0","0","0","2022/09/23 16:00:00","6120","0","2020/12/04 16:00:00","10046","1,18","10","0"
"20028","2030/04/19 15:00:00","0","0","0","2022/10/26 16:00:00","5033","0","2020/12/31 16:00:00","10048","1","-5","0"
"20029","2030/04/19 15:00:00","0","0","0","2022/11/25 16:00:00","5151","0","2021/02/01 16:00:00","10050","1,19","0","0"
"20030","2030/04/19 15:00:00","0","0","0","2022/12/25 16:00:00","6056","0","2021/03/02 16:00:00","10052","1","-8","0"
"20031","2030/04/19 15:00:00","0","0","0","2023/01/24 16:00:00","3351","0","2021/04/01 16:00:00","10054","1,20","0","0"
"20032","2030/04/19 15:00:00","0","0","0","2023/02/23 16:00:00","2191","0","2021/05/04 16:00:00","10056","1,21","0","0"
"20033","2030/04/19 15:00:00","0","0","0","2023/03/24 16:00:00","1122","0","2021/06/02 16:00:00","10058","1,22","0","0"
"20034","2030/04/19 15:00:00","0","20033","0","2023/03/24 16:00:00","1123","0","2021/06/12 16:00:00","10059","1,22","0","0"
"20035","2030/04/19 15:00:00","0","0","0","2023/04/25 16:00:00","2194","0","2021/07/05 16:00:00","10061","1,23","12","0"
"20036","2030/04/19 15:00:00","0","0","0","2023/05/26 16:00:00","5010","0","2021/08/02 16:00:00","10064","1","0","0"
"20037","2030/04/19 15:00:00","0","0","0","2023/06/26 16:00:00","144","0","2021/09/01 16:00:00","10066","1","0","0"
"20038","2030/04/19 15:00:00","0","0","0","2023/07/26 16:00:00","121","0","2021/10/01 16:00:00","10068","1,24","0","0"
"20039","2030/04/19 15:00:00","0","0","0","2023/08/25 16:00:00","394","0","2021/11/01 16:00:00","10070","1","0","0"
"20040","2030/04/19 15:00:00","0","0","0","2023/09/25 16:00:00","1082","0","2021/12/02 16:00:00","10072","1,25","0","0"
"20041","2030/04/19 15:00:00","0","0","0","2023/10/25 16:00:00","181","0","2022/01/03 16:00:00","10074","1","0","0"
"20042","2030/04/19 15:00:00","0","0","0","2023/11/24 16:00:00","5084","0","2022/02/01 16:00:00","10076","1,26","0","0"
"20043","2030/04/19 15:00:00","0","0","0","2023/12/26 16:00:00","6054","0","2022/03/01 16:00:00","10078","1","0","0"
"20044","2030/04/19 15:00:00","0","0","0","2024/01/26 16:00:00","6381","0","2022/04/01 16:00:00","10080","1,27","0","0"
"20045","2030/04/19 15:00:00","0","0","0","2024/02/23 16:00:00","2193","0","2022/05/02 16:00:00","10082","1,28","0","0"
"20046","2030/04/19 15:00:00","0","0","0","2024/03/26 16:00:00","8163","0","2022/06/01 16:00:00","10084","1","0","0"
"20047","2030/04/19 15:00:00","0","20046","0","2024/03/26 16:00:00","8164","0","2022/06/08 16:00:00","10085","1,29","0","0"
"20048","2030/04/19 15:00:00","0","0","0","2024/04/25 16:00:00","2201","0","2022/07/01 16:00:00","10088","1","0","0"
"20049","2030/04/19 15:00:00","0","0","0","2024/05/26 16:00:00","430","0","2022/08/01 16:00:00","10090","1","0","0"
"20050","2030/04/19 15:00:00","0","0","0","2024/07/26 16:00:00","351","0","2022/09/01 16:00:00","10092","1","0","0"
"20051","2030/04/19 15:00:00","0","0","0","2024/08/26 16:00:00","392","0","2022/10/02 16:00:00","10094","1,30","0","0"
"20052","2030/04/19 15:00:00","0","0","0","2024/10/26 16:00:00","3402","0","2022/11/01 16:00:00","10096","1,31","0","0"
"20053","2030/04/19 15:00:00","0","0","0","2024/11/26 16:00:00","8132","0","2022/12/01 16:00:00","10098","1,32","0","0"
"20054","2030/04/19 15:00:00","0","0","0","2024/12/26 16:00:00","6057","0","2023/01/02 16:00:00","10100","1","0","0"
"20055","2030/04/19 15:00:00","0","0","0","2025/01/26 16:00:00","5200","0","2023/02/01 16:00:00","10102","1,33","0","0"
"20056","2030/04/19 15:00:00","0","0","0","2025/02/26 16:00:00","3479","0","2023/03/01 16:00:00","10104","1","0","0"
"20057","2030/04/19 15:00:00","0","0","0","2025/03/26 16:00:00","5033","0","2023/04/01 16:00:00","10106","1,34","0","0"
"20058","2030/04/19 15:00:00","0","0","0","2025/04/26 16:00:00","7213","0","2023/05/01 16:00:00","10108","1,35","-10","0"
