33207f0558e844a9369055db2e67a6415992b479b30b0e5f6671c6689aa94643,a1e6504347f9524f1b664bd9d3f97bc8b475af000fb7b83eb9151a8bd69a4620,efafa338d9463c5f068e5ae257d7285622aee42e350fc56e3b69391f959bd5d8,f472e09b8d0e83cbcead33113701614d38e9242ce0a9cd365496d6df1e34f80a,2bc4c88939c9439d0cc638cd87daa12a2aaa2de1dfd51f84ce5d1ae849856730,c1e14099239c3a3f9270096663f3dcf52703356f37b7f7414eb98f8d385bb733,25d8584bc37067012c3fc0e52ce86615c711c0d0c29fe8254919630480aa15e9,e2b9259e0dfa69b0354c65f5456b403b47ecd4176564d820afdd4a17019373f0,a5e0584a75c812ab7104a98f0d7b434ae053890a7026811696fc02b4e2098d42,679ed21a7d0c0e9f75deb4a425b9338540fd5eb8f5782c7f812c71682b139004,a722e039105ac135bc8fd583674db63ac05697d24ab6f80967c75e1c974d2e40
"106011","0","0","有這麼多啊……\n這種東西會讓人\n不由自主地\n想全部收齊呢。","101","101018","11","0","0","0","5"
"1","0.2","","cgg_idle_reaction1","101","101019","3","","","","1"
"106011","0.2","","cgg_talk_surprise1","101","101020","3","","","","1"
"2.1","","","0","101","101021","93","","","",""
"1","0.2","","cgg_idle_nod","101","101022","3","","","","1"
"106011","0.2","","cgg_talk_bitter","101","101023","3","","","","1"
"101018","","","","101","101024","91","","","",""
"0.5","","","0","101","101025","93","","","",""
"1","0.2","","cgg_idle_normal","101","101026","3","","","","1"
"106011","0.2","","cgg_idle_def","101","101027","3","","","","1"
"105811","0.2","","cgg_idle_joy2","101","101028","3","","","","1"
"105811","0.2","","10","101","101029","12","","","","1.4"
"3","","","0","101","101030","93","","","",""
"105811","0.2","","cgg_idle_def","101","101031","3","","","","1"
"106011","0.2","","cgg_talk_surprise_dere","101","101032","3","","","","1"
"106011","0.2","","8","101","101033","12","","","","1.4"
"3","","","0","101","101034","93","","","",""
"106011","0.2","","cgg_idle_def","101","101035","3","","","","1"
"1","0.2","","cgg_surprise1","101","101036","3","1","0","cgg_idle_surprise1","0"
"1","0.2","","4","101","101037","12","","","","1.4"
"3","","","0","101","101038","93","","","",""
"101026","","","0","101","101039","101","","","",""
"0","","","0.5","101","101040","22","","","",""
"1","0.1","","1","101","101041","6","0","0","1","1"
"105811","0.1","","1","101","101042","6","0","0","1","1"
"106011","0.1","","1","101","101043","6","0","0","1","1"
"0.1","","","0","101","101044","93","","","",""
"1","0","","cgg_idle_normal","101","101045","3","","","","1"
"105811","0","","cgg_idle_def","101","101046","3","","","","1"
"106011","0","","cgg_idle_def","101","101047","3","","","","1"
"1","160","cgg_idle_normal","1","102","102001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","105911","102","102002","1","-230","1","375","100"
"1","1.6","cgg_idle_def","106411","102","102003","1","-230","1","490","101"
"1","0.1","","1","102","102004","6","1","0","1","1"
"105911","0.1","","1","102","102005","6","1","0","1","1"
"106411","0.1","","1","102","102006","6","1","0","1","1"
"0.2","","","0","102","102007","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_2_003","102","102008","21","","","0","0"
"105911","0","0","我們抵達\n演唱會會場了，\n這裡非常大，\n非常開闊呢……","102","102009","11","0","0","0","5"
"1","0.2","","cgg_idle_surprise1","102","102010","3","","","","1"
"105911","0.2","","cgg_lookup","102","102011","3","","","","0"
"2.6","","","0","102","102012","93","","","",""
"105911","0.2","","cgg_talk_wish_surprise","102","102013","3","","","","1"
"102009","","","","102","102014","91","","","",""
"105911","0.4","","cgg_idle_def","102","102015","3","","","","1"
"vo_minigame_1007","","","vo_minigame_1007_top_talk_2_004","102","102016","21","","","0","0"
"106411","0","0","慈樂之音的演唱會……\n呵呵，真令人期待呢。\n啊，我可以\n去看一下周邊嗎？","102","102017","11","0","0","0","4"
"1","0.2","","cgg_idle_reaction1","102","102018","3","","","","1"
"106411","0.2","","cgg_talk_surprise1","102","102019","3","","","","1"
"2.6","","","0","102","102020","93","","","",""
"1","0.2","","cgg_talk_nod","102","102021","3","1","0","cgg_idle_nod","0"
"106411","0.2","","cgg_talk_joy3_blink","102","102022","3","","","","1"
"3.2","","","0","102","102023","93","","","",""
"1","0.2","","cgg_idle_reaction5","102","102024","3","","","","1"
"106411","0.2","","cgg_talk_normal","102","102025","3","","","","1"
"102017","","","","102","102026","91","","","",""
"0.5","","","0","102","102027","93","","","",""
"106411","0.2","","cgg_idle_def","102","102028","3","","","","1"
"1","0.2","","cgg_idle_normal","102","102029","3","","","","1"
"105911","0.2","","cgg_talk_joy3_blink","102","102030","3","","","","1"
"105911","0.2","","10","102","102031","12","","","","1.4"
"3","","","0","102","102032","93","","","",""
"105911","0.2","","cgg_idle_def","102","102033","3","","","","1"
"106411","0.2","","cgg_talk_joy1","102","102034","3","","","","1"
"106411","0.2","","11","102","102035","12","","","","1.4"
"3","","","0","102","102036","93","","","",""
"106411","0.2","","cgg_idle_def","102","102037","3","","","","1"
"1","0.2","","cgg_idle_surprise3","102","102038","3","","","","1"
"1","0.2","","6","102","102039","12","","","","1.4"
"3","","","0","102","102040","93","","","",""
"102029","","","0","102","102041","101","","","",""
"0","","","0.5","102","102042","22","","","",""
"1","0.1","","1","102","102043","6","0","0","1","1"
"105911","0.1","","1","102","102044","6","0","0","1","1"
"106411","0.1","","1","102","102045","6","0","0","1","1"
"0.1","","","0","102","102046","93","","","",""
"1","0","","cgg_idle_normal","102","102047","3","","","","1"
"105911","0","","cgg_idle_def","102","102048","3","","","","1"
"106411","0","","cgg_idle_def","102","102049","3","","","","1"
"1","160","cgg_idle_normal","1","103","103001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","100211","103","103002","1","-230","1","375","100"
"1","1.6","cgg_idle_def","100111","103","103003","1","-230","1","490","101"
"1","0.1","","1","103","103004","6","1","0","1","1"
"100211","0.1","","1","103","103005","6","1","0","1","1"
"100111","0.1","","1","103","103006","6","1","0","1","1"
"0.2","","","0","103","103007","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_3_005","103","103008","21","","","0","0"
"100211","0","0","下次會抽到什麼呢？\n讓人很期待呢，\n日和。","103","103009","11","0","0","0","5"
"1","0.2","","cgg_idle_surprise1","103","103010","3","","","","1"
"100211","0.2","","cgg_talk_wish","103","103011","3","","","","1"
"2.4","","","0","103","103012","93","","","",""
"100211","0.2","","cgg_talk_joy3","103","103013","3","","","","1"
"103009","","","","103","103014","91","","","",""
"100211","0.2","","cgg_idle_def","103","103015","3","","","","1"
"vo_minigame_1007","","","vo_minigame_1007_top_talk_3_006","103","103016","21","","","0","0"
"100111","0","0","就是說啊，優衣！\n好～\n來盡情地抽吧～！\n轉轉轉～♪","103","103017","11","0","0","0","4"
"1","0.2","","cgg_idle_reaction5","103","103018","3","","","","1"
"100111","0.2","","cgg_talk_joy1","103","103019","3","","","","1"
"2.5","","","0","103","103020","93","","","",""
"100111","0.2","","cgg_talk_guts_NoBlink","103","103021","3","1","0","cgg_idle_guts","0"
"4","","","0","103","103022","93","","","",""
"1","0.2","","cgg_joy","103","103023","3","1","0.2","cgg_idle_reaction3","0"
"100111","0.2","","cgg_talk_joy2","103","103024","3","","","","1"
"103017","","","","103","103025","91","","","",""
"0.7","","","0","103","103026","93","","","",""
"1","0.2","","cgg_idle_normal","103","103027","3","","","","1"
"100111","0.2","","cgg_idle_def","103","103028","3","","","","1"
"100211","0.2","","cgg_idle_bitter3","103","103029","3","","","","1"
"100211","0.2","","1","103","103030","12","","","","1.4"
"3","","","0","103","103031","93","","","",""
"100211","0.2","","cgg_idle_def","103","103032","3","","","","1"
"1","0.2","","cgg_talk_handsup","103","103033","3","1","0.2","cgg_idle_reaction1","0"
"1","0.2","","10","103","103034","12","","","","1.4"
"3","","","0","103","103035","93","","","",""
"1","0.2","","cgg_idle_normal","103","103036","3","","","","1"
"100111","0.2","","cgg_idle_joy3","103","103037","3","","","","1"
"100111","0.2","","6","103","103038","12","","","","1.4"
"3","","","0","103","103039","93","","","",""
"103028","","","0","103","103040","101","","","",""
"0","","","0.5","103","103041","22","","","",""
"1","0.1","","1","103","103042","6","0","0","1","1"
"100211","0.1","","1","103","103043","6","0","0","1","1"
"100111","0.1","","1","103","103044","6","0","0","1","1"
"0.1","","","0","103","103045","93","","","",""
"1","0","","cgg_idle_normal","103","103046","3","","","","1"
"100211","0","","cgg_idle_def","103","103047","3","","","","1"
"100111","0","","cgg_idle_def","103","103048","3","","","","1"
"1","160","cgg_idle_normal","1","104","104001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","100111","104","104002","1","-230","1","375","100"
"1","1.6","cgg_idle_def","100311","104","104003","1","-230","1","490","101"
"1","0.1","","1","104","104004","6","1","0","1","1"
"100111","0.1","","1","104","104005","6","1","0","1","1"
"100311","0.1","","1","104","104006","6","1","0","1","1"
"0.2","","","0","104","104007","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_4_007","104","104008","21","","","0","0"
"100111","0","0","那個那個～怜，\n我可以再抽一次嗎？","104","104009","11","0","0","0","4"
"1","0.2","","cgg_idle_reaction2","104","104010","3","","","","1"
"100111","0.2","","cgg_talk_joy3_dere","104","104011","3","","","","1"
"2.7","","","0","104","104012","93","","","",""
"1","0.2","","cgg_talk_guts2","104","104013","3","1","0","cgg_idle_guts2","0"
"100111","0.2","","cgg_talk_normal_dere2","104","104014","3","","","","1"
"104009","","","","104","104015","91","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_4_008","104","104016","21","","","0","0"
"100311","0","0","不可以喔，日和。\n因為接下來輪到我了。\n……呵呵，這意外地\n令人著迷呢。","104","104017","11","0","0","0","5"
"1","0.2","","cgg_idle_reaction2","104","104018","3","","","","1"
"100311","0.2","","cgg_No","104","104019","3","1","0","cgg_idle_def","0"
"0.8","","","0","104","104020","93","","","",""
"100111","0.2","","cgg_idle_surprise2","104","104021","3","","","","1"
"0.9","","","0","104","104022","93","","","",""
"1","0.2","","cgg_surprise2","104","104023","3","1","0","cgg_idle_surprise2","0"
"100311","0.2","","cgg_talk_arm_crossed2","104","104024","3","1","0","cgg_idle_arm_crossed2","0"
"2.5","","","0","104","104025","93","","","",""
"100311","0.2","","cgg_idle_bitter","104","104026","3","","","","1"
"2","","","0","104","104027","93","","","",""
"1","0.2","","cgg_talk_nod","104","104028","3","1","0","cgg_idle_nod","0"
"104017","","","","104","104029","91","","","",""
"0.5","","","0","104","104030","93","","","",""
"100311","0.2","","cgg_idle_def","104","104031","3","","","","1"
"1","0.2","","cgg_idle_normal","104","104032","3","","","","1"
"100111","0.2","","cgg_idle_anger","104","104033","3","","","","1"
"100111","0.2","","17","104","104034","12","","","","1.4"
"3","","","0","104","104035","93","","","",""
"100111","0.2","","cgg_idle_def","104","104036","3","","","","1"
"100311","0.2","","cgg_idle_bitter4","104","104037","3","","","","1"
"100311","0.2","","2","104","104038","12","","","","1.4"
"3","","","0","104","104039","93","","","",""
"100311","0.2","","cgg_idle_def","104","104040","3","","","","1"
"1","0.2","","cgg_idle_surprise2","104","104041","3","","","","1"
"1","0.2","","1","104","104042","12","","","","1.4"
"3","","","0","104","104043","93","","","",""
"104032","","","0","104","104044","101","","","",""
"0","","","0.5","104","104045","22","","","",""
"1","0.1","","1","104","104046","6","0","0","1","1"
"100111","0.1","","1","104","104047","6","0","0","1","1"
"100311","0.1","","1","104","104048","6","0","0","1","1"
"0.1","","","0","104","104049","93","","","",""
"1","0","","cgg_idle_normal","104","104050","3","","","","1"
"100111","0","","cgg_idle_def","104","104051","3","","","","1"
"100311","0","","cgg_idle_def","104","104052","3","","","","1"
"1","160","cgg_idle_normal","1","105","105001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","100211","105","105002","1","-230","1","375","100"
"1","1.6","cgg_idle_def","105811","105","105003","1","-230","1","490","101"
"1","0.1","","1","105","105004","6","1","0","1","1"
"100211","0.1","","1","105","105005","6","1","0","1","1"
"105811","0.1","","1","105","105006","6","1","0","1","1"
"0.2","","","0","105","105007","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_5_009","105","105008","21","","","0","0"
"100211","0","0","因為周邊有很多種類，\n在集齊所有種類之前，\n我們要加油喔！","105","105009","11","0","0","0","6"
"1","0.2","","cgg_idle_reaction1","105","105010","3","","","","1"
"100211","0.2","","cgg_talk_normal","105","105011","3","","","","1"
"2.4","","","0","105","105012","93","","","",""
"100211","0.2","","cgg_talk_joy3","105","105013","3","","","","1"
"1.1","","","0","105","105014","93","","","",""
"1","0.2","","cgg_talk_handsup","105","105015","3","1","0.2","cgg_idle_reaction1","0"
"105009","","","","105","105016","91","","","",""
"100211","0.2","","cgg_idle_def","105","105017","3","","","","1"
"vo_minigame_1007","","","vo_minigame_1007_top_talk_5_010","105","105018","21","","","0","0"
"105811","0","0","蒐集到的周邊能裝飾\n在櫃子上，之後再來\n仔細鑑賞喔♪\n太讚了吧☆","105","105019","11","0","0","0","6"
"1","0.2","","cgg_talk_arm_crossed","105","105020","3","0","0","cgg_idle_arm_crossed","0"
"105811","0.2","","cgg_talk_joy1","105","105021","3","","","","1"
"5","","","0","105","105022","93","","","",""
"1","0.2","","cgg_talk_guts2","105","105023","3","1","0","cgg_idle_guts2","0"
"105811","0.2","","cgg_jump_def_N","105","105024","3","1","0.2","cgg_idle_def","0"
"105019","","","","105","105025","91","","","",""
"0.5","","","0","105","105026","93","","","",""
"1","0.2","","cgg_idle_normal","105","105027","3","","","","1"
"100211","0.2","","cgg_talk_joy3","105","105028","3","","","","1"
"100211","0.2","","10","105","105029","12","","","","1.4"
"3","","","0","105","105030","93","","","",""
"100211","0.2","","cgg_idle_def","105","105031","3","","","","1"
"105811","0.2","","cgg_talk_guts_anger","105","105032","3","1","0","cgg_idle_guts_anger","0"
"105811","0.2","","4","105","105033","12","","","","1.4"
"3","","","0","105","105034","93","","","",""
"105811","0.2","","cgg_idle_def","105","105035","3","","","","1"
"1","0.2","","cgg_talk_guts2","105","105036","3","1","0","cgg_idle_guts2","0"
"1","0.2","","7","105","105037","12","","","","1.4"
"3","","","0","105","105038","93","","","",""
"105027","","","0","105","105039","101","","","",""
"0","","","0.5","105","105040","22","","","",""
"1","0.1","","1","105","105041","6","0","0","1","1"
"100211","0.1","","1","105","105042","6","0","0","1","1"
"105811","0.1","","1","105","105043","6","0","0","1","1"
"0.1","","","0","105","105044","93","","","",""
"1","0","","cgg_idle_normal","105","105045","3","","","","1"
"100211","0","","cgg_idle_def","105","105046","3","","","","1"
"105811","0","","cgg_idle_def","105","105047","3","","","","1"
"1","160","cgg_idle_normal","1","106","106001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","110911","106","106002","1","-230","1","420","100"
"1","0.1","","1","106","106003","6","1","0","1","1"
"110911","0.1","","1","106","106004","6","1","0","1","1"
"0.2","","","0","106","106005","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_6_011","106","106006","21","","","0","0"
"110911","0","0","咦……騙人的吧，\n學長……你居然還沒\n完全收齊慈樂之音的\n周邊，太扯了吧。","106","106007","11","0","0","0","5"
"1","0.2","","cgg_idle_reaction2","106","106008","3","","","","1"
"110911","0.2","","cgg_shock","106","106009","3","","","","0"
"1","","","0","106","106010","93","","","",""
"110911","0.2","","cgg_idle_bitter2","106","106011","3","","","","1"
"4.2","","","0","106","106012","93","","","",""
"1","0.2","","cgg_shock","106","106013","3","1","0","cgg_idle_shock","0"
"106007","","","","106","106014","91","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_6_012","106","106015","21","","","0","0"
"110911","0","0","請你差不多一點，\n既然有空悠哉地和\n一般美少女聊天，\n還不趕快繼續抽啊！","106","106016","11","0","0","0","5"
"110911","0.2","","cgg_talk_tsun_pain","106","106017","3","1","0","","1"
"0.7","","","0","106","106018","93","","","",""
"1","0.2","","cgg_surprise2","106","106019","3","1","0","cgg_idle_surprise2","0"
"1.3","","","0","106","106020","93","","","",""
"110911","0.2","","cgg_talk_joy1_sad","106","106021","3","1","0","","1"
"3","","","0","106","106022","93","","","",""
"110911","0.2","","cgg_talk_guts_anger","106","106023","3","1","","cgg_idle_guts_anger","0"
"0.7","","","0","106","106024","93","","","",""
"1","0.2","","cgg_talk_guts2","106","106025","3","1","0","cgg_idle_guts2","0"
"106016","","","","106","106026","91","","","",""
"0.5","","","0","106","106027","93","","","",""
"110911","0.2","","cgg_idle_def","106","106028","3","","","","1"
"1","0.2","","cgg_talk_doya","106","106029","3","1","0","cgg_idle_doya","0"
"1","0.2","","6","106","106030","12","","","","1.4"
"3","","","0","106","106031","93","","","",""
"1","0.2","","cgg_idle_normal","106","106032","3","","","","1"
"110911","0.2","","cgg_talk_guts_anger","106","106033","3","1","0","cgg_idle_guts_anger","0"
"110911","0.2","","11","106","106034","12","","","","1.4"
"3","","","0","106","106035","93","","","",""
"110911","0.2","","cgg_idle_def","106","106036","3","","","","1"
"1","0.2","","cgg_surprise1","106","106037","3","1","0","cgg_idle_surprise1","0"
"1","0.2","","4","106","106038","12","","","","1.4"
"3","","","0","106","106039","93","","","",""
"1","0.2","","cgg_idle_normal","106","106040","3","","","","1"
"110911","0.2","","cgg_talk_joy3_blink","106","106041","3","","","","1"
"110911","0.2","","10","106","106042","12","","","","1.4"
"3","","","0","106","106043","93","","","",""
"106028","","","0","106","106044","101","","","",""
"0","","","0.5","106","106045","22","","","",""
"1","0.1","","1","106","106046","6","0","0","1","1"
"110911","0.1","","1","106","106047","6","0","0","1","1"
"0.1","","","0","106","106048","93","","","",""
"1","0","","cgg_idle_normal","106","106049","3","","","","1"
"110911","0","","cgg_idle_def","106","106050","3","","","","1"
"1","160","cgg_idle_normal","1","201","201001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","100411","201","201002","1","-230","1","420","100"
"1","0.1","","1","201","201003","6","1","0","1","1"
"100411","0.1","","1","201","201004","6","1","0","1","1"
"0.2","","","0","201","201005","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_7_013","201","201006","21","","","0","0"
"100411","0","0","那個那個，哥哥！\n你蒐集到差不多\n一半的周邊囉！\n只差一點了呢！","201","201007","11","0","0","0","6"
"1","0.2","","cgg_idle_reaction2","201","201008","3","","","","1"
"100411","0.2","","cgg_talk_joy1_normal","201","201009","3","","","","1"
"1.3","","","0","201","201010","93","","","",""
"1","0.2","","cgg_talk_doya","201","201011","3","1","0","cgg_idle_doya","0"
"100411","0.2","","cgg_talk_surprise_kira","201","201012","3","","","","1"
"2.7","","","0","201","201013","93","","","",""
"1","0.2","","cgg_talk_handsup","201","201014","3","1","0.2","cgg_idle_reaction1","0"
"100411","0.2","","cgg_talk_guts","201","201015","3","1","0","cgg_idle_guts","0"
"201007","","","","201","201016","91","","","",""
"0.5","","","0","201","201017","93","","","",""
"100411","0.2","","cgg_idle_def","201","201018","3","","","","1"
"1","0.2","","cgg_idle_surprise3","201","201019","3","","","","1"
"1","0.2","","6","201","201020","12","","","","1.4"
"3","","","0","201","201021","93","","","",""
"1","0.2","","cgg_idle_normal","201","201022","3","","","","1"
"100411","0.2","","cgg_talk_surprise_kira","201","201023","3","","","","1"
"100411","0.2","","7","201","201024","12","","","","1.4"
"3","","","0","201","201025","93","","","",""
"100411","0.2","","cgg_idle_def","201","201026","3","","","","1"
"1","0.2","","cgg_talk_handsup","201","201027","3","1","0","cgg_idle_reaction1","0"
"1","0.2","","11","201","201028","12","","","","1.4"
"3","","","0","201","201029","93","","","",""
"1","0.2","","cgg_idle_normal","201","201030","3","","","","1"
"100411","0.2","","cgg_talk_joy1","201","201031","3","","","","1"
"100411","0.2","","10","201","201032","12","","","","1.4"
"3","","","0","201","201033","93","","","",""
"201018","","","0","201","201034","101","","","",""
"0","","","0.5","201","201035","22","","","",""
"1","0.1","","1","201","201036","6","0","0","1","1"
"100411","0.1","","1","201","201037","6","0","0","1","1"
"0.1","","","0","201","201038","93","","","",""
"1","0","","cgg_idle_normal","201","201039","3","","","","1"
"100411","0","","cgg_idle_def","201","201040","3","","","","1"
"1","160","cgg_idle_normal","1","202","202001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","102011","202","202002","1","-230","1","420","100"
"1","0.1","","1","202","202003","6","1","0","1","1"
"102011","0.1","","1","202","202004","6","1","0","1","1"
"0.2","","","0","202","202005","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_8_014","202","202006","21","","","0","0"
"102011","0","0","好厲害喔～♪\n真想看看\n全部收齊的樣子～♪","202","202007","11","0","0","0","4"
"1","0.2","","cgg_idle_reaction1","202","202008","3","","","","1"
"102011","0.2","","cgg_talk_joy3","202","202009","3","","","","1"
"2","","","0","202","202010","93","","","",""
"1","0.2","","cgg_idle_nod","202","202011","3","","","","1"
"102011","0.2","","cgg_talk_wish","202","202012","3","","","","1"
"202007","","","","202","202013","91","","","",""
"0.5","","","0","202","202014","93","","","",""
"102011","0.2","","cgg_idle_def","202","202015","3","","","","1"
"1","0.2","","cgg_idle_reaction3","202","202016","3","","","","1"
"1","0.2","","6","202","202017","12","","","","1.4"
"3","","","0","202","202018","93","","","",""
"1","0.2","","cgg_idle_normal","202","202019","3","","","","1"
"102011","0.2","","cgg_talk_joy1_normal","202","202020","3","","","","1"
"102011","0.2","","11","202","202021","12","","","","1.4"
"3","","","0","202","202022","93","","","",""
"102011","0.2","","cgg_idle_def","202","202023","3","","","","1"
"1","0.2","","cgg_talk_guts2","202","202024","3","1","0","cgg_idle_guts2","0"
"1","0.2","","11","202","202025","12","","","","1.4"
"3","","","0","202","202026","93","","","",""
"1","0.2","","cgg_idle_normal","202","202027","3","","","","1"
"102011","0.2","","cgg_talk_joy3","202","202028","3","","","","1"
"102011","0.2","","7","202","202029","12","","","","1.4"
"3","","","0","202","202030","93","","","",""
"202015","","","0","202","202031","101","","","",""
"0","","","0.5","202","202032","22","","","",""
"1","0.1","","1","202","202033","6","0","0","1","1"
"102011","0.1","","1","202","202034","6","0","0","1","1"
"0.1","","","0","202","202035","93","","","",""
"1","0","","cgg_idle_normal","202","202036","3","","","","1"
"102011","0","","cgg_idle_def","202","202037","3","","","","1"
"1","160","cgg_idle_normal","1","203","203001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","103611","203","203002","1","-230","1","420","100"
"1","0.1","","1","203","203003","6","1","0","1","1"
"103611","0.1","","1","203","203004","6","1","0","1","1"
"0.2","","","0","203","203005","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_9_015","203","203006","21","","","0","0"
"103611","0","0","只差一點了呢。\n要是全部集齊，\n我會誇獎你的。\n……請你加油。","203","203007","11","0","0","0","6"
"1","0.2","","cgg_talk_arm_crossed","203","203008","3","1","0","cgg_idle_arm_crossed","0"
"103611","0.2","","cgg_talk_normal","203","203009","3","","","","1"
"1.9","","","0","203","203010","93","","","",""
"1","0.2","","cgg_idle_surprise1","203","203011","3","","","","1"
"103611","0.2","","cgg_talk_joy3_blink","203","203012","3","","","","1"
"3.1","","","0","203","203013","93","","","",""
"1","0.2","","cgg_talk_guts2","203","203014","3","1","0","cgg_idle_guts2","0"
"103611","0.2","","cgg_talk_surprise_dere","203","203015","3","","","","1"
"203007","","","","203","203016","91","","","",""
"0.5","","","0","203","203017","93","","","",""
"103611","0.2","","cgg_idle_def","203","203018","3","","","","1"
"1","0.2","","cgg_talk_nod","203","203019","3","1","0","cgg_idle_nod","0"
"1","0.2","","6","203","203020","12","","","","1.4"
"3","","","0","203","203021","93","","","",""
"1","0.2","","cgg_idle_normal","203","203022","3","","","","1"
"103611","0.2","","cgg_talk_joy1","203","203023","3","","","","1"
"103611","0.2","","10","203","203024","12","","","","1.4"
"3","","","0","203","203025","93","","","",""
"103611","0.2","","cgg_idle_def","203","203026","3","","","","1"
"1","0.2","","cgg_talk_guts1","203","203027","3","1","0","cgg_idle_guts1","0"
"1","0.2","","4","203","203028","12","","","","1.4"
"3","","","0","203","203029","93","","","",""
"1","0.2","","cgg_idle_normal","203","203030","3","","","","1"
"103611","0.2","","cgg_talk_joy3_dere","203","203031","3","","","","1"
"103611","0.2","","7","203","203032","12","","","","1.4"
"3","","","0","203","203033","93","","","",""
"203018","","","0","203","203034","101","","","",""
"0","","","0.5","203","203035","22","","","",""
"1","0.1","","1","203","203036","6","0","0","1","1"
"103611","0.1","","1","203","203037","6","0","0","1","1"
"0.1","","","0","203","203038","93","","","",""
"1","0","","cgg_idle_normal","203","203039","3","","","","1"
"103611","0","","cgg_idle_def","203","203040","3","","","","1"
"1","160","cgg_idle_normal","1","204","204001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","102811","204","204002","1","-230","1","420","100"
"1","0.1","","1","204","204003","6","1","0","1","1"
"102811","0.1","","1","204","204004","6","1","0","1","1"
"0.2","","","0","204","204005","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_10_016","204","204006","21","","","0","0"
"102811","0","0","你蒐集到這麼多\n周邊了？真厲害……\n我要不要\n也來試試呢？","204","204007","11","0","0","0","6"
"1","0.2","","cgg_talk_doya","204","204008","3","1","0","cgg_idle_doya","0"
"102811","0.2","","cgg_surprise","204","204009","3","1","0","cgg_talk_surprise1","0"
"2.5","","","0","204","204010","93","","","",""
"1","0.2","","cgg_idle_reaction5","204","204011","3","","","","1"
"102811","0.2","","cgg_talk_bitter","204","204012","3","","","","1"
"204007","","","","204","204013","91","","","",""
"0.5","","","0","204","204014","93","","","",""
"102811","0.2","","cgg_idle_def","204","204015","3","","","","1"
"1","0.2","","cgg_talk_doya","204","204016","3","1","0","cgg_idle_doya","0"
"1","0.2","","6","204","204017","12","","","","1.4"
"3","","","0","204","204018","93","","","",""
"1","0.2","","cgg_idle_normal","204","204019","3","","","","1"
