49203030dd474877c984298a460b497774d02af9abf19530901a4ff552d80cd2,9175ad17ec403a61347b8a5d8dd22136d0291a5b0b9d4213acc04ab52c63858c,ab2bc6754b20b83f2f0dc4c0f0e0fc4d1e08b73a79367b89aa41f5c54fb8192f,a77430cbad0ab6a9f9c4443aff5c1faa41348d43c5b0dc45db1c3801f7859ae8,80cf2ca2dc446316b966dd96680c8bcc23aa665311ef1097c6114276a6517880,76bedcef9be822c9151c005b1b28906bb54d13c7c13a73c49e04799b6761eca5
"85","10103101","1","1","0","10103112"
"86","10103","2","3","505036","5076005"
"88","10108","2","3","501911","5108002"
"89","10104","2","3","500133","5104003"
"90","10105","2","3","501451","5078004"
"93","10110","2","3","501931","5110005"
"94","10111","2","3","500013","5111005"
"95","10107","2","3","501463","5080005"
"96","10109101","1","1","0","10109105"
"97","10109102","1","1","0","10109108"
"98","10109103","1","1","0","10109111"
"99","10109","2","3","501160","5082002"
"100","10109","2","3","501031","5082004"
"101","10109","2","3","501483","5082005"
"103","10112","2","3","500368","5084001"
"104","10112","2","3","510306","5084002"
"105","10112","2","3","500039","5084003"
"106","10113","2","3","500368","5085002"
"107","10113","2","3","510203","5085003"
"108","10113","2","3","500272","5085004"
"109","10113","2","3","501501","5085005"
"110","10110101","1","2","0","1011001"
"111","20037101","1","1","0","20037112"
"112","20037","2","3","501291","5066005"
"113","10115","2","3","501810","5088005"
"114","10114","2","3","500016","5114000"
"115","10114","2","3","501952","5114003"
"116","20038","2","3","501341","5068001"
"117","10117","2","3","501541","5090002"
"121","20039","2","3","501353","5070004"
"122","20039","2","3","500016","5070005"
"123","10116","2","3","500837","5116004"
"124","10119","2","3","501031","5092001"
"125","10119","2","3","501551","5092004"
"126","10118","2","3","500133","5118002"
"127","10118","2","3","500810","5118003"
"128","10118","2","3","500133","5118007"
"129","20040","2","3","501364","5072004"
"130","20040","2","3","501365","5072006"
"132","10124","2","3","501614","5124003"
"133","20041","2","3","501383","5074001"
"135","10121","2","3","501593","5094001"
"136","10122","2","3","502003","5122000"
"137","10122","2","3","502015","5122002"
"138","10123","2","3","501613","5096002"
"139","20042","2","3","505036","5076005"
"140","20043","2","3","501451","5078004"
"141","10125","2","3","501031","5098000"
"143","10127","2","3","500837","5100003"
"144","20044","2","3","501463","5080005"
"145","10128","2","3","502063","5128001"
"146","10129","2","3","501873","5102002"
"147","20045101","1","1","0","20045105"
"148","20045102","1","1","0","20045108"
"149","20045103","1","1","0","20045111"
"150","20045","2","3","501160","5082002"
"151","20045","2","3","501031","5082004"
"152","20045","2","3","501483","5082005"
"153","20046","2","3","500368","5084001"
"154","20046","2","3","510306","5084002"
"155","20046","2","3","500039","5084003"
"156","20047","2","3","500368","5085002"
"157","20047","2","3","510203","5085003"
"158","20047","2","3","500272","5085004"
"159","20047","2","3","501501","5085005"
"160","10130","2","3","500016","5130001"
"161","10130","2","3","500133","5130007"
"162","10131","2","3","500133","5104003"
"163","10136","2","3","500143","5136002"
"164","10136","2","3","500175","5136004"
"165","10137","2","3","501622","5137002"
"166","10137","2","3","500133","5137005"
"167","20048","2","3","501810","5088005"
"168","10134","2","3","500554","5134007"
"169","10135","2","3","501911","5108002"
"170","10138","2","3","501931","5110005"
"171","10139","2","3","500013","5111005"
"172","20049","2","3","501541","5090002"
"173","10138101","1","2","0","1013801"
"174","10141","2","3","500016","5114000"
"175","10141","2","3","501952","5114003"
"180","10140","2","3","502224","5140002"
"181","20050","2","3","501031","5092001"
"182","20050","2","3","501551","5092004"
"183","10142","2","3","501683","5142001"
"184","10143","2","3","500837","5116004"
"185","10145","2","3","500133","5118002"
"186","10145","2","3","500810","5118003"
"187","10145","2","3","500133","5118007"
"188","20051","2","3","501593","5094001"
"189","20052","2","3","501613","5096002"
"1014601","10146","2","3","502283","5146001"
"1014901","10149","2","3","502003","5122000"
"1014902","10149","2","3","502015","5122002"
"1015101","10151","2","3","501614","5124003"
"1015401","10154","2","3","502373","5154007"
"1015601","10156","2","3","502074","5156001"
"1015602","10156","2","3","502394","5156002"
"1015701","10157","2","3","502063","5128001"
"1015801","10158","2","3","500880","5158003"
"1015901","10159","2","3","500016","5130001"
"1015902","10159","2","3","500133","5130007"
"1016301","10163","2","3","500554","5134007"
"1016401","10164","2","3","500143","5136002"
"1016402","10164","2","3","500175","5136004"
"1016501","10165","2","3","501622","5137002"
"1016502","10165","2","3","500133","5137005"
"1016601","10166","2","3","502224","5140002"
"1016701","10167","2","3","501683","5142001"
"1016901","10169","2","3","502283","5146001"
"1017301","10173","2","3","502373","5154007"
"1017601","10176","2","3","502074","5156001"
"1017602","10176","2","3","502394","5156002"
"1017701","10177","2","3","500880","5158003"
"2005301","20053","2","3","501031","5098000"
"2005401","20054","2","3","500837","5100003"
"2005501","20055","2","3","501873","5102002"
"2005601","20056","2","3","500133","5104003"
"2005801","20058","2","3","501911","5108002"
"2005901","20059","2","3","501931","5110005"
"2006001","20060","2","3","500013","5111005"
"2006101","20061","2","3","500016","5114000"
"2006102","20061","2","3","501952","5114003"
"2006201","20062","2","3","500837","5116004"
"2006301","20063","2","3","500133","5118002"
"2006302","20063","2","3","500810","5118003"
"2006303","20063","2","3","500133","5118007"
"2006501","20065","2","3","502003","5122000"
"2006502","20065","2","3","502015","5122002"
"2006601","20066","2","3","501614","5124003"
"2006701","20067","2","3","500143","5136002"
"2006702","20067","2","3","500175","5136004"
"2006801","20068","2","3","501622","5137002"
"2006802","20068","2","3","500133","5137005"
"2007001","20070","2","3","502063","5128001"
"2007101","20071","2","3","500016","5130001"
"2007102","20071","2","3","500133","5130007"
"2007301","20073","2","3","500554","5134007"
"2007401","20074","2","3","502224","5140002"
"2007501","20075","2","3","501683","5142001"
"2007701","20077","2","3","502283","5146001"
