1082d8cdabc77f4a52c5c4924c319c44afc53ed0f959196efd74dab3c4b99e63,f54b646a7220e0881b86cef5eac54ef887c05d18e851705fba32f395eb47c8aa,4ac73e76b22b27362e4e5124df960be1044c38c6afe34307484c5008ab68d8ce,5cbbd11a26d2295770a48072156c552199936adfd6479bcb2d076024f8ce555c,3b9324d8c5274d5d68d3ad3c4509eceaa7994f47e47e3f35a23e37d4a707eea9,5657ec3b63e0f760834b7573b96208e2dc573c47ee3c0bcfd4aba13104bec3b3,cc1c7ab7ddb2a81c33025e747fb37665c7850429b8778bc242d37841097b47df,d45d20ff7968e76d9b41458aa4fbaacea07b1af9990956421ee8c8fa596ef960,15bb538f6be0f11aa5e4733877b429efdc2218faced64ad0659ef8d566c28fca,d0e5464835007b4d0c5d490d522238569f210094c7b0fb559ba9160beb137398,d67b38be696b7cfa6180a7940606aa67a399c7c0a8a8cf2d0150d627891f0b78
"3","0.5","1024","1","119931","0","0","0","你也想幫忙嗎？\n那就去真陽那邊\n帶很多蛋和牛奶回來吧！\n材料越多越好喲！","11","1"
"","","1025","","2","","","","1","93","1"
"1","","1026","","119931","","0.2","","psy_miyako_talk_joy2","3","1"
"","","1027","","1024","","","","","91","1"
"","","1028","","0","","","","0","22","1"
"1","","1029","","119931","","0.2","","psy_miyako_idle","3","1"
"","","1030","","2","","","","1","4","1"
"0","","1031","psy_fairy_run","2","1","0.2","0","psy_fairy_run_in","3","1"
"","","1032","","1.3","","","","","93","1"
"-220","","1033","1","2","0","","","1000","2","1"
"","","1034","","2","","","","","93","1"
"0","","1035","psy_miyako_doya_loop","119931","1","0.2","0.2","psy_miyako_doya_in","3","1"
"0","","1036","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0103","21","1"
"4","0.5","1037","1","119931","0","0","0","你也來幫宮子的忙！\n麻煩的事情全部都\n交給你喲！","11","1"
"","","1038","","0","","","","","91","1"
"","","1039","","0","","","","0","22","1"
"1","0","1040","0","1","0","0","0","11","12","1"
"0","","1041","psy_item00_idle_guts","1","1","0.2","0.2","psy_item00_talk_guts","3","1"
"","","1042","","2","","","","","93","1"
"1","","1043","","119931","","0.2","","psy_miyako_talk_joy2","3","1"
"0","","1044","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0104","21","1"
"4","0.5","1045","1","119931","0","0","0","把所有人都\n變成好吃的布丁喲～♪","11","1"
"","","1046","","4","","","","1","93","1"
"0","","1047","psy_miyako_fight_loop","119931","1","0.2","0.2","psy_miyako_fight_in","3","1"
"0","","1048","psy_item00_handsup_loop","1","1","0.2","0.2","psy_item00_handsup","3","1"
"","","1049","","1.5","","","","","93","1"
"","","1050","","1045","","","","","91","1"
"","","1051","","0","","","","0","22","1"
"100","psy_miyako_start","2001","-300","1","-200","1.7","0","119931","1","2"
"100","psy_walk","2002","300","1","-220","1.7","1","106011","1","2"
"0","","2003","0","1","1","1","","11","31","2"
"101","psy_smoke_start","2004","-300","1","-200","1.7","0","1","5","2"
"-220","","2005","2","106011","0","","","185","2","2"
"","","2006","","2","","","","","93","2"
"0","","2007","psy_kyaru_talk_arm_crossed_loop","106011","1","0.2","0","psy_kyaru_talk_arm_crossed","3","2"
"0","","2008","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0305","21","2"
"5","0.5","2009","1","106011","0","0","0","喂，你，\n幫我隨便挑些適合\n帶給貪吃佩可的點心……","11","2"
"","","2010","","0","","","","","91","2"
"0","","2011","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0306","21","2"
"1","","2012","","106011","","0.2","","psy_talk_sad","3","2"
"7","0.5","2013","1","106011","0","0","0","呃，居然不在。\n聽說那傢伙在這邊工作\n我才來的……話說根本沒人在嘛，\n真是粗心的店家呢。","11","2"
"","","2014","","4","","","","1","93","2"
"1","","2015","","106011","","0.2","","psy_talk_sad","3","2"
"","","2016","","2013","","","","","91","2"
"1","","2017","","106011","","0.2","","psy_idle_sad","3","2"
"0","","2018","psy_miyako_thinking4","119931","1","0.2","0.2","psy_miyako_appear","3","2"
"0","","2019","psy_smoke_start","1","0","0","0","psy_smoke_appear","3","2"
"0","","2020","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0301","21","2"
"4","1","2021","1","119931","0","0","0","布丁……布丁……\n要製作究極的布丁好難喲……\n好想要能夠讓人靈光一閃的契機……","11","2"
"","","2022","","1","","","","1","93","2"
"0","","2023","psy_idle_surprise2","106011","1","0.2","0.2","psy_surprise","3","2"
"","","2024","","2021","","","","","91","2"
"","","2025","","0","","","","0","22","2"
"1","","2026","","119931","","0.2","","psy_miyako_idle_thinking","3","2"
"1","","2027","","106011","","0.2","","psy_talk_surprise2","3","2"
"0","","2028","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0307","21","2"
"6","0.5","2029","1","106011","0","0","0","呀啊！？\n妳突然冒出來是幹什麼呀！","11","2"
"","","2030","","0","","","","","91","2"
"1","","2031","","106011","","0.2","","psy_idle_surprise2","3","2"
"1","","2032","","119931","","0.2","","psy_miyako_anger1","3","2"
"0","","2033","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0302","21","2"
"4","1","2034","1","119931","0","0","0","擅自進來的人是妳喲，\n宮子沒有錯。\n不要妨礙宮子來的……嗯？\n妳……","11","2"
"","","2035","","8","","","","1","93","2"
"1","","2036","","119931","","0.2","","psy_miyako_thinking2","3","2"
"","","2037","","2034","","","","","91","2"
"","","2038","","0","","","","0","22","2"
"1","","2039","","106011","","0.2","","psy_talk_sad","3","2"
"0","","2040","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0308","21","2"
"9","0.5","2041","1","106011","0","0","0","幹、幹什麼……","11","2"
"","","2042","","0","","","","","91","2"
"1","","2043","","106011","","0.2","","psy_idle_sad","3","2"
"1","","2044","","119931","","0.2","","psy_miyako_run","3","2"
"-200","","2045","2","119931","0","","","0","2","2"
"","","2046","","2","","","","","93","2"
"1","","2047","","119931","","0.2","","psy_miyako_thinking2","3","2"
"0","","2048","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0303","21","2"
"5","1","2049","1","119931","0","0","0","嗯嗯嗯嗯嗯……\n總覺得妳很美味來的……","11","2"
"","","2050","","0","","","","","91","2"
"","","2051","","0","","","","0","22","2"
"","","2052","","0.5","","","","","93","2"
"1","","2053","","106011","","0.2","","psy_talk_sad","3","2"
"0","","2054","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0309","21","2"
"4","0.5","2055","1","106011","0","0","0","啥？","11","2"
"","","2056","","0","","","","","91","2"
"1","","2057","","106011","","0.2","","psy_idle_sad","3","2"
"0","","2058","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0304","21","2"
"5","0.5","2059","1","119931","0","0","0","人家要把妳變成布丁喲～～！！","11","2"
"","","2060","","0.5","","","","1","93","2"
"0","","2061","psy_miyako_attack_loop","119931","1","0.2","0","psy_miyako_attack_in","3","2"
"","","2062","","0.2","","","","1","93","2"
"0","","2063","psy_idle_surprise2","106011","1","0.2","0.2","psy_surprise","3","2"
"","","2064","","2059","","","","","91","2"
"","","2065","","0","","","","0","22","2"
"1","","2066","","106011","","0.2","","psy_talk_surprise2","3","2"
"0","","2067","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0310","21","2"
"7","0.5","2068","1","106011","0","0","0","搞、搞什麼呀這間店～～！！","11","2"
"","","2069","","0","","","","","91","2"
"","","2070","","106011","","","","0","4","2"
"1","","2071","","106011","","0.2","","psy_run_shy","3","2"
"1","","2072","","119931","","0.2","","psy_miyako_attack_loop_move","3","2"
"-220","","2073","3","106011","0","","","1000","2","2"
"-220","","2074","5","119931","0","","","1000","2","2"
"","","2075","","3.5","","","","","93","2"
"","","2076","","0","","","","0","22","2"
"","","2077","","0","","","","","91","2"
"100","psy_miyako_gasagoso_B","3001","-250","1","-150","1.65","1","119931","1","3"
"100","psy_walk","3002","340","1","-180","1.7","1","105511","1","3"
"0","","3003","0","1","1","1","","11","31","3"
"101","psy_smoke_start","3004","-300","1","-220","1.7","0","1","5","3"
"-180","","3005","2","105511","0","","","225","2","3"
"","","3006","","2","","","","","93","3"
"1","","3007","","105511","","0.2","","psy_talk_wish","3","3"
"0","","3008","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0203","21","3"
"7","0.5","3009","1","105511","0","0","0","這、這裡就是前輩工作的地方吧？","11","3"
"","","3010","","0","","","","","91","3"
"0","","3011","psy_ayumi_kyoro_loop","105511","1","0.2","0","psy_ayumi_kyoro_in","3","3"
"","","3012","","1.8","","","","","93","3"
"1","","3013","","105511","","0.2","","psy_talk_joy1","3","3"
"0","","3014","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0204","21","3"
"6","0.5","3015","1","105511","0","0","0","哇～好多看起來很美味的甜點\n擺在那邊呢……前輩做的甜點\n是不是也在裡面呢？","11","3"
"","","3016","","0","","","","","91","3"
"1","","3017","","105511","","0.2","","psy_talk_call","3","3"
"0","","3018","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0205","21","3"
"7","0.5","3019","1","105511","0","0","0","那個……請給我一份這個甜點。\n那個～不好意思～\n沒聽到我的聲音嗎？","11","3"
"","","3020","","3","","","","1","93","3"
"0.8","0","3021","1","119931","0","0","0","5","12","3"
"","","3022","","119931","","","","0","4","3"
"1","","3023","","119931","","0","","psy_miyako_idle_thinking","3","3"
"","","3024","","1.5","","","","1","93","3"
"","","3025","","119931","","","","1","4","3"
"1","","3026","","119931","","0","","psy_miyako_gasagoso_B","3","3"
"","","3027","","0.5","","","","1","93","3"
"1","","3028","","105511","","0.2","","psy_talk_sad","3","3"
"","","3029","","3019","","","","","91","3"
"1","","3030","","105511","","0.2","","psy_talk_wish","3","3"
"0","","3031","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0206","21","3"
"6","0.5","3032","1","105511","0","0","0","總、總之我把錢放在這裡了，\n再見！","11","3"
"","","3033","","2","","","","1","93","3"
"1","","3034","","105511","","0.2","","psy_gasagoso_B2","3","3"
"","","3035","","1","","","","1","93","3"
"0","","3036","psy_idle_normal","105511","1","0.2","0.2","psy_pekori","3","3"
"","","3037","","3032","","","","","91","3"
"","","3038","","105511","","","","0","4","3"
"1","","3039","","105511","","0.2","","psy_run","3","3"
"-180","","3040","3","105511","0","","","1000","2","3"
"","","3041","","3","","","","","93","3"
"","","3042","","0.5","","","","","93","3"
"1","","3043","","119931","","0","","psy_miyako_idle_thinking","3","3"
"","","3044","","2","","","","","93","3"
"","","3045","","119931","","","","0","4","3"
"1","","3046","","119931","","0.2","","psy_miyako_run","3","3"
"-165","","3047","2","119931","0","","","0","2","3"
"","","3048","","2","","","","","93","3"
"1","","3049","","119931","","0.2","","psy_miyako_thinking4","3","3"
"0","","3050","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0201","21","3"
"4","0.5","3051","1","119931","0","0","0","……？\n不知不覺出現了錢幣喲！\n剛才明明沒看到來的！\n好可怕！該不會有幽靈吧？","11","3"
"","","3052","","4","","","","1","93","3"
"1","","3053","","119931","","0.2","","psy_miyako_panic1","3","3"
"","","3054","","3051","","","","","91","3"
"","","3055","","0","","","","0","22","3"
"0","","3056","psy_miyako_surprise2_loop","119931","1","0.2","0","psy_miyako_surprise2_in","3","3"
"0","","3057","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0202","21","3"
"4","1","3058","1","119931","0","0","0","……！\n突然想到了布丁的靈感喲！\n不過腦海中浮現出的臉，宮子沒有印象。\n這傢伙…………是誰來的？","11","3"
"","","3059","","4","","","","1","93","3"
"1","","3060","","119931","","0.2","","psy_miyako_thinking4","3","3"
"","","3061","","3058","","","","","91","3"
"","","3062","","0","","","","0","22","3"
"","","3063","","1","","","","","93","3"
"","","3064","","0","","","","","91","3"
"100","psy_miyako_start","4001","-300","1","-200","1.7","0","119931","1","4"
"100","psy_walk","4002","300","1","-220","1.7","1","107131","1","4"
"0","","4003","0","1","1","1","","11","31","4"
"101","psy_smoke_start","4004","-300","1","-200","1.7","0","1","5","4"
"-220","","4005","2","107131","0","","","185","2","4"
"","","4006","","2","","","","","93","4"
"0","","4007","psy_talk_doya_loop","107131","1","0.2","0.2","psy_talk_doya","3","4"
"0","","4008","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0405","21","4"
"6","0.5","4009","1","107131","0","0","0","聽說這間店蔚為話題，\n克莉絲提娜我便來拜訪了唷☆","11","4"
"","","4010","","0","","","","","91","4"
"1","","4011","","107131","","0.2","","psy_idle_doya","3","4"
"1","","4012","","107131","","0.2","","psy_talk_sad","3","4"
"0","","4013","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0406","21","4"
"6","0.5","4014","1","107131","0","0","0","……嗯？這不是沒人在嗎？\n難得我來替慈樂之音\n買點慰勞品。\n喂，有沒有人在啊？","11","4"
"","","4015","","6","","","","1","93","4"
"1","","4016","","107131","","0.2","","psy_talk_call","3","4"
"","","4017","","4014","","","","","91","4"
"1","","4018","","107131","","0.2","","psy_idle_arm_crossed","3","4"
"0","","4019","psy_miyako_talk_joy1","119931","1","0","0.2","psy_miyako_appear","3","4"
"0","","4020","psy_smoke_start","1","0","0","0","psy_smoke_appear","3","4"
"0","","4021","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0401","21","4"
"5","0.5","4022","1","119931","0","0","0","啊！妳是！\n給人家巨大布丁的傢伙來的！\n又要送布丁給宮子了嗎？","11","4"
"","","4023","","0","","","","","91","4"
"","","4024","","0","","","","0","22","4"
"1","","4025","","119931","","0.2","","psy_miyako_idle","3","4"
"1","","4026","","107131","","0.2","","psy_talk_normal","3","4"
"0","","4027","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0407","21","4"
"6","0.5","4028","1","107131","0","0","0","妳是……哦，之前\n在聖誕節有碰過面呢。\n今天我不是聖誕老人，\n而是作為客人過來的。","11","4"
"","","4029","","0","","","","","91","4"
"1","","4030","","107131","","0.2","","psy_idle_normal","3","4"
"1","","4031","","119931","","0.2","","psy_miyako_sad1","3","4"
"0","","4032","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0402","21","4"
"4","0.5","4033","1","119931","0","0","0","人家沒空理不給布丁的人喲。\n老奶奶也不在家，\n快滾吧。","11","4"
"","","4034","","5","","","","1","93","4"
"1","","4035","","119931","","0.2","","psy_miyako_talk4","3","4"
"","","4036","","4033","","","","","91","4"
"","","4037","","0","","","","0","22","4"
"1","","4038","","119931","","0.2","","psy_miyako_idle2","3","4"
"0","","4039","psy_ahaha_loop","107131","1","0.2","0.2","psy_ahaha_in","3","4"
"0","","4040","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0408","21","4"
"5","0.5","4041","1","107131","0","0","0","哈哈哈！\n對我克莉絲提娜竟然如此\n口無遮攔。真是有趣☆","11","4"
"","","4042","","1.7","","","","1","93","4"
"1","","4043","","107131","","0.2","","psy_talk_joy1","3","4"
"","","4044","","4041","","","","","91","4"
"0","","4045","psy_talk_doya_loop","107131","1","0.2","0.2","psy_talk_doya","3","4"
"0","","4046","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0409","21","4"
"6","0.5","4047","1","107131","0","0","0","這下無論如何我都要\n買到妳的甜點了。","11","4"
"","","4048","","0","","","","","91","4"
"1","","4049","","107131","","0.2","","psy_idle_wish","3","4"
"1","","4050","","119931","","0.2","","psy_miyako_panic1","3","4"
"0","","4051","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0403","21","4"
"5","0.5","4052","1","119931","0","0","0","為什麼會變成這樣！？\n趕快回去來的！","11","4"
"","","4053","","0","","","","","91","4"
"","","4054","","0","","","","0","22","4"
"1","","4055","","119931","","0.2","","psy_miyako_idle_panic","3","4"
"0","","4056","psy_cris_approach_loop","107131","1","0.2","0","psy_cris_approach_in","3","4"
"0","","4057","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0410","21","4"
"7","0.5","4058","1","107131","0","0","0","哦？這不是有\n做到一半的布丁嗎？\n嗯……親手製作的慰勞品\n應該也蠻讓人高興的吧。","11","4"
"","","4059","","4","","","","1","93","4"
"0","","4060","psy_talk_arm_crossed_loop","107131","1","0.2","0","psy_talk_arm_crossed","3","4"
"","","4061","","4058","","","","","91","4"
"1","","4062","","107131","","0.2","","psy_talk_joy1","3","4"
"0","","4063","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0411","21","4"
"5","0.5","4064","1","107131","0","0","0","好！我就來做布丁吧！\n妳也來幫忙，\n還我聖誕節的人情吧。","11","4"
"","","4065","","0","","","","","91","4"
"1","","4066","","107131","","0.2","","psy_idle_joy1","3","4"
"1","","4067","","119931","","0.2","","psy_miyako_anger2","3","4"
"0","","4068","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0404","21","4"
"6","0.5","4069","1","119931","0","0","0","為、為什麼會變成那樣──！？","11","4"
"","","4070","","4","","","","","93","4"
"","","4071","","0","","","","","91","4"
"100","psy_miyako_start","5001","-300","1","-200","1.7","0","119931","1","5"
"100","psy_walk","5002","300","1","-220","1.7","1","104931","1","5"
"0","","5003","0","1","1","1","","11","31","5"
"101","psy_smoke_start","5004","-300","1","-200","1.7","0","1","5","5"
"-220","","5005","2","104931","0","","","185","2","5"
"","","5006","","2","","","","","93","5"
"1","","5007","","104931","","0.2","","psy_talk_wish","3","5"
"0","","5008","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0504","21","5"
"5","0.5","5009","1","104931","0","0","0","弟弟和璃乃\n就是在這間甜點店幫忙吧！\n弟弟！姐姐來找你了唷！！","11","5"
"","","5010","","4.3","","","","1","93","5"
"1","","5011","","104931","","0.2","","psy_talk_joy1","3","5"
"","","5012","","5009","","","","","91","5"
"1","","5013","","104931","","0.2","","psy_idle_joy1","3","5"
"0","","5014","psy_miyako_talk3","119931","1","0","0.2","psy_miyako_appear","3","5"
"0","","5015","psy_smoke_start","1","0","0","0","psy_smoke_appear","3","5"
"0","","5016","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0501","21","5"
"5","0.5","5017","1","119931","0","0","0","吵死了喲。\n突然喊什麼喊啊？","11","5"
"","","5018","","0","","","","","91","5"
"","","5019","","0","","","","0","22","5"
"1","","5020","","119931","","0.2","","psy_miyako_idle","3","5"
"1","","5021","","104931","","0.2","","psy_talk_joy1","3","5"
"0","","5022","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0505","21","5"
"6","0.5","5023","1","104931","0","0","0","啊！妳就是宮子吧？\n我有聽璃乃提過妳！\n初次見面，我是弟弟的姐姐唷！","11","5"
"","","5024","","4","","","","","93","5"
"1","","5025","","104931","","0.2","","psy_talk_wish","3","5"
"","","5026","","5023","","","","","91","5"
"","","5027","","0","","","","","91","5"
"1","","5028","","104931","","0.2","","psy_idle_wish","3","5"
"1","","5029","","119931","","0.2","","psy_miyako_anger3","3","5"
"0","","5030","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0502","21","5"
"4","0.5","5031","1","119931","0","0","0","妳是不是那傢伙的姐姐\n都與人家無關喲。\n宮子正在忙著做布丁喲。","11","5"
"","","5032","","5","","","","1","93","5"
"0","","5033","psy_miyako_arm_crossed_loop","119931","1]","0.2","0","psy_miyako_arm_crossed_in","3","5"
"","","5034","","5031","","","","","91","5"
"","","5035","","0","","","","0","22","5"
"1","","5036","","119931","","0.2","","psy_miyako_arm_crossed_idle","3","5"
"1","","5037","","104931","","0.2","","psy_talk_wish","3","5"
"0","","5038","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0506","21","5"
"7","0.5","5039","1","104931","0","0","0","第一次遇到這種無所謂的反應，\n姐姐還是有點受傷的！\n畢竟愛的相反\n聽說就是漠不關心呢！","11","5"
"","","5040","","0","","","","","91","5"
"1","","5041","","104931","","0.2","","psy_talk_joy2","3","5"
"0","","5042","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0507","21","5"
"7","0.5","5043","1","104931","0","0","0","好～！\n我現在馬上來向宮子獻上\n關於弟弟與姐姐，\n愛與命運交織的故事吧！","11","5"
"","","5044","","0","","","","","91","5"
"1","","5045","","104931","","0.2","","psy_talk_memory","3","5"
"0","","5046","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0508","21","5"
"8","0.5","5047","1","104931","0","0","0","首先從命運的相遇聽我娓娓道來……","11","5"
"","","5048","","0","","","","","91","5"
"1","","5049","","104931","","0.2","","psy_idle_memory","3","5"
"1","","5050","","119931","","0.2","","psy_miyako_sad1","3","5"
"0","","5051","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0503","21","5"
"5","0.5","5052","1","119931","0","0","0","（好像有什麼開始了……\n因為很麻煩宮子要消失……）","11","5"
"","","5053","","0","","","","","91","5"
"","","5054","","0","","","","0","22","5"
"0","","5055","","119931","","0.2","","psy_miyako_hide","3","5"
"0","","5056","psy_smoke_start","1","0","0","0","psy_smoke_hide","3","5"
"","","5057","","2","","","","","93","5"
"","","5058","","0","","","","","91","5"
"100","psy_miyako_idle_thinking","6001","-300","1","-200","1.7","1","119931","1","6"
"100","psy_walk","6002","300","1","-220","1.7","1","103131","1","6"
"0","","6003","0","1","1","1","","11","31","6"
"2","0","6004","0","119931","0","0","0","17","12","6"
"-220","","6005","2","103131","0","","","185","2","6"
"","","6006","","2","","","","","93","6"
"1","","6007","","103131","","0.2","","psy_talk_wish","3","6"
"0","","6008","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0605","21","6"
"4","0.5","6009","1","103131","0","0","0","午安，\n我聽說宮子在甜點店幫忙，\n就過來看看了。","11","6"
"","","6010","","0","","","","","91","6"
"1","","6011","","103131","","0.2","","psy_idle_wish","3","6"
"","","6012","","119931","","","","0","4","6"
"0","","6013","psy_miyako_talk_joy2","119931","1","0.2","0.2","psy_miyako_surprise2_in","3","6"
"","","6014","","1","","","","","93","6"
"0","","6015","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0601","21","6"
"5","0.5","6016","1","119931","0","0","0","忍！妳來得正好！\n宮子現在遇到了一點麻煩喲！","11","6"
"","","6017","","3","","","","1","93","6"
"1","","6018","","119931","","0.2","","psy_miyako_talk2","3","6"
"","","6019","","6016","","","","","91","6"
"","","6020","","0","","","","0","22","6"
"1","","6021","","119931","","0.2","","psy_miyako_idle_sad","3","6"
"1","","6022","","103131","","0.2","","psy_talk_sad","3","6"
"0","","6023","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0606","21","6"
"6","0.5","6024","1","103131","0","0","0","怎麼了嗎？\n啊，難道妳把要賣的布丁\n不小心吃掉了嗎？\n那麼我們一起道歉吧。","11","6"
"","","6025","","0","","","","","91","6"
"1","","6026","","103131","","0.2","","psy_idle_sad","3","6"
"1","","6027","","119931","","0.2","","psy_miyako_panic3","3","6"
"0","","6028","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0602","21","6"
"3","0.5","6029","1","119931","0","0","0","不是啦！宮子現在打算做出\n究極的布丁喲！\n不過，想不到什麼\n好點子……","11","6"
"","","6030","","5.5","","","","1","93","6"
"1","","6031","","119931","","0.2","","psy_miyako_sad2","3","6"
"","","6032","","6029","","","","","91","6"
"","","6033","","0","","","","0","22","6"
"1","","6034","","119931","","0.2","","psy_miyako_idle_sad","3","6"
"0","","6035","psy_talk_surprise1","103131","1","0.2","0.2","psy_surprise","3","6"
"0","","6036","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0607","21","6"
"6","0.5","6037","1","103131","0","0","0","宮子……自己……\n做布丁……","11","6"
"","","6038","","0","","","","","91","6"
"1","","6039","","103131","","0.2","","psy_idle_surprise1","3","6"
"1","","6040","","119931","","0.2","","psy_miyako_talk2","3","6"
"0","","6041","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0603","21","6"
"5","0.5","6042","1","119931","0","0","0","妳怎麼了？","11","6"
"","","6043","","0","","","","","91","6"
"","","6044","","0","","","","0","22","6"
"1","","6045","","119931","","0.2","","psy_miyako_idle","3","6"
"1","","6046","","103131","","0.2","","psy_talk_joy1","3","6"
"0","","6047","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0608","21","6"
"5","0.5","6048","1","103131","0","0","0","呵呵，不，沒事。\n雖然不知道我能不能派上用場，\n我會盡全力幫忙的。","11","6"
"","","6049","","4","","","","1","93","6"
"1","","6050","","103131","","0.2","","psy_talk_wish","3","6"
"","","6051","","6048","","","","","91","6"
"1","","6052","","103131","","0.2","","psy_idle_wish","3","6"
"1","","6053","","119931","","0.2","","psy_miyako_joy1","3","6"
"0","","6054","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0604","21","6"
"5","0.5","6055","1","119931","0","0","0","謝謝妳喲！\n只要忍跟宮子一起就是最強的！\n絕對能夠做出\n好吃的布丁喲！","11","6"
"","","6056","","5","","","","1","93","6"
"0","","6057","psy_miyako_guts1_loop","119931","1","0.2","0","psy_miyako_guts1_in","3","6"
"","","6058","","6055","","","","","91","6"
"","","6059","","0","","","","0","22","6"
"","","6060","","1.5","","","","","93","6"
"","","6061","","0","","","","","91","6"
"100","psy_miyako_idle","7001","-200","1","-200","1.7","0","119931","1","7"
"100","psy_fairy_idle","7002","125","1","-220","1.7","0","1","5","7"
"0","","7003","0","1","1","1","","11","31","7"
"","","7004","","2","","","","","93","7"
"1","","7005","","1","","0.2","","psy_fairy_talk","3","7"
"0","","7006","0","vo_minigame_1008","","","","vo_minigame_1008_drama_9902","21","7"
"3","0.5","7007","1","1","0","0","0","啾啾！","11","7"
"","","7008","","0","","","","","91","7"
