4bb6640967267c2c5c556e8965d87557d67e57ffc658847119f453f1594b5692,3181e540be620273e560659e91a05c5d417d96cbb05299055d35f1dfa676acd8,b1f2fb2cdf08c93b3de759f3c404511661f98dea9c181c7538173166bd35d680,52a80bae11dcbc5ded79baaa548501813acfaa3e237b935ace204db30b5b69bc,fe04acf0298b8d8914017326f36d1f8fc38c79b189145bc4b00d34e2f851bd62,f794c3592b78011f3eb373bd396f0b23b4aa0b26604109a703e05c512ab7573e,753e8cc5984f30c3bc738f013df2e9ecba59a6faf01bf59af244db9a82e11363,4d3ab3345d16a103986f8e3ab52ebc97a44405c84ac7b48be3b316d446f219a6,dec0a7f131e6c9c4ff945ad6a635ad8193b153f2a40dd6fce11c5b4005db67ca,07fe9ac7b1666281603cdba40c7970cb73e1f1be2d869862f3f6d3300da79705,0eb0d17cf6f58273186e33e5617c48949a9d64196b89e205f48bd80f497657e0
"2","90","","2","31","1","","1","60","1080002","8"
"啊，藤蔓纏住\n腳的觸感\n真叫人受不了～～！","10","","104531","11","","","0","0","1080003","8"
"","","","0","91","","","","","1080004","8"
"105831","100","0","2","1","0.9","05_idle","-35","-195","1090001","9"
"302102","1000","0","2","1","1.2","302102_idle","-30","150","1090002","9"
"15","150","","102","31","1","","1","50","1090003","9"
"16","150","","103","31","1","","1","400","1090004","9"
"112531","100","0","1","1","1.3","01_uek_cmn_idol_def_N","-25","-160","1100001","10"
"112431","100","1","1","1","1.3","01_uek_cmn_idol_def_N","-5","-40","1100002","10"
"112631","100","1","1","1","1.3","01_uek_cmn_idol_def_N","20","125","1100003","10"
"01_uek_talk_surprise2","1","","112631","3","","","0","","1100004","10"
"嗚呀……！\n腳下變成了雲朵，\n這是怎麼回事！？","10","","112631","11","","","0","0","1100005","10"
"","","","0","91","","","","","1100006","10"
"01_uek_cmn_idol_def_N","1","","112631","3","0.2","","0","","1100007","10"
"01_uek_talk_joy1","1","","112431","3","","","","","1100008","10"
"有一種不可思議的\n觸感呢～\n軟綿綿的耶♪","10","","112431","11","","","0","0","1100009","10"
"","","","0","91","","","","","1100010","10"
"01_uek_cmn_idol_def_N","1","","112431","3","0.2","","","","1100011","10"
"01_uek_talk_normal","1","","112531","3","","","","","1100012","10"
"雖然好像不會掉下去\n……不過還是邊注意\n腳下邊前進吧。","10","","112531","11","","","0","0","1100013","10"
"","","","0","91","","","","","1100014","10"
"01_uek_cmn_idol_def_N","1","","112531","3","0.2","","","","1100015","10"
"","","","0","91","","","","","1100016","10"
"104731","100","0","1","1","1.3","03_uek_cmn_idol_def_N","-20","-135","1110001","11"
"107131","100","1","1","1","1.3","03_uek_cmn_idol_def_N","5","100","1110002","11"
"03_uek_11_jun","0","","104731","3","0","","1","03_uek_11_jun_loop","1110003","11"
"03_uek_11_chris","0","0.2","107131","3","0","","1","03_uek_cmn_idol_def_N","1110004","11"
"唔，視野一片白……\n小克莉絲，\n妳要小心！","10","","104731","11","","","0","","1110005","11"
"","","","0","91","","","","","1110006","11"
"哈哈哈，鎧甲的重量\n讓妳沉下去囉團長☆\n嘿咻，釣到大魚了！","10","","107131","11","","","0","0","1110007","11"
"","","","1.5","93","","","","","1110008","11"
"-135","0","","104731","2","","","1","1.5","1110009","11"
"","","","1110007","91","","","","","1110010","11"
"101031","100","0","1","1","1.3","03_uek_cmn_idol_def_N","-20","-120","1120001","12"
"101431","100","1","1","1","1.3","03_uek_cmn_idol_def_N","-5","10","1120002","12"
"03_uek_talk_joy1","1","","101031","3","","","0","","1120003","12"
"好可愛的雲呀，\n真想一起\n帶回去啊♪","10","","101031","11","","","0","0","1120004","12"
"","","","0","91","","","","","1120005","12"
"03_uek_cmn_idol_def_N","1","","101031","3","0.2","","0","","1120006","12"
"03_uek_talk_normal","1","","101431","3","","","0","","1120007","12"
"再怎麼說\n那未免也\n太困難了吧……？","10","","101431","11","","","0","0","1120008","12"
"","","","0","91","","","","","1120009","12"
"03_uek_cmn_idol_def_N","1","","101431","3","0.2","","0","","1120010","12"
"105831","100","0","1","1","1.3","01_uek_cmn_idol_def_N","-45","-165","1130001","13"
"105931","100","0","1","1","1.3","01_uek_cmn_idol_def_N","-20","-45","1130002","13"
"106031","100","1","1","1","1.3","01_uek_cmn_idol_def_N","-5","120","1130003","13"
"01_uek_talk_normal","1","","105931","3","","","1","","1130004","13"
"已經爬到滿高的\n地方來了呢……","10","","105931","11","","","0","0","1130005","13"
"","","","0","91","","","","","1130006","13"
"01_uek_13_kokkoro","0","","105931","3","0.2","","1","01_uek_cmn_idol_def_N","1130007","13"
"01_uek_13_kyaru","0","","106031","3","","","1","01_uek_13_kyaru_loop","1130008","13"
"根本完全\n看不見頂端啊！\n到底有多高啊！","10","","106031","11","","","0","0","1130009","13"
"","","","0","91","","","","","1130010","13"
"01_uek_13_peco_loop","1","","105831","3","","","0","","1130011","13"
"有什麼關係嘛。\n運動後吃的東西\n會格外美味哦☆","10","","105831","11","","","0","0","1130012","13"
"","","","0","91","","","","","1130013","13"
"104031","100","0","1","1","1.3","03_uek_cmn_idol_def_N","-25","-86","1140001","14"
"1","0","","1","31","1","","1","250","1140002","14"
"03_uek_14_aoi","0","","104031","3","","","1","03_uek_14_aoi_loop","1140003","14"
"嗚嗚，這風是\n對邊緣人的\n猛烈排擠嗎！？","10","","104031","11","","","0","0","1140004","14"
"100731","100","0","1","1","1.3","03_uek_cmn_idol_def_N","-20","-75","1150001","15"
"103131","100","1","1","1","1.3","03_uek_15_father","10","65","1150002","15"
"03_uek_15_miyako","1","","100731","3","","","0","","1150003","15"
"天上好舒服哦～\n這就是所謂的\n幸福到快升天嗎？","10","","100731","11","","","0","0","1150004","15"
"","","","0","91","","","","","1150005","15"
"03_uek_15_father","1","","103131","3","","","0","","1150006","15"
"小鬼妳也是嗎？\n本大爺的身體也\n變得好輕啊！","10","","103131","11","","","0","0","1150007","15"
"","","","0","91","","","","","1150008","15"
"03_uek_talk_normal","1","","103131","3","","","0","","1150009","15"
"宮子\n妳可不能\n真的升天哦……？","10","","103131","11","","","0","0","1150010","15"
"","","","0","91","","","","","1150011","15"
"03_uek_cmn_idol_def_N","1","","103131","3","0.2","","0","","1150012","15"
"112431","100","0","1","1","1.3","01_uek_cmn_idol_def_N","-45","-110","1160001","16"
"105831","100","1","1","1","1.3","01_uek_cmn_idol_def_N","-15","40","1160002","16"
"105931","100","1","1","1","1.3","01_uek_cmn_idol_def_N","10","140","1160003","16"
"01_uek_01_kokkoro","0","","105931","3","","","0","01_uek_cmn_idol_def_N","1160004","16"
"01_uek_01_uduki","0","","112431","3","","","1","01_uek_cmn_idol_def_N","1160005","16"
"01_uek_01_peko","0","","105831","3","","","1","01_uek_cmn_idol_def_N","1160006","16"
"","","","0","91","","","","","1160007","16"
"01_uek_talk_normal","1","","105931","3","","","1","","1160008","16"
"卯月小姐。前路似乎\n還很漫長，\n您不休息沒問題嗎？","10","","105931","11","","","0","0","1160009","16"
"","","","0","91","","","","","1160010","16"
"01_uek_cmn_idol_def_N","1","","105931","3","","","1","","1160011","16"
"01_uek_talk_joy1","1","","112431","3","","","","","1160012","16"
"嗯，沒問題！\n我很樂在其中，\n太讚了吧☆","10","","112431","11","","","0","0","1160013","16"
"","","","1.5","93","","","","","1160014","16"
"01_uek_16_uduki","0","","112431","3","0.2","","1","01_uek_16_uduki_loop","1160015","16"
"","","","1160013","91","","","","","1160016","16"
"01_uek_talk_joy1","1","","105831","3","","","","","1160017","16"
"妳很有活力呢！\n卯月，我們\n一起加油吧～☆","10","","105831","11","","","0","0","1160018","16"
"","","","2.2","93","","","","","1160019","16"
"01_uek_16_peco","0","","105831","3","0.2","","1","01_uek_16_uduki_loop","1160020","16"
"","","","1160018","91","","","","","1160021","16"
"102331","300","1","1","1","1.3","03_uek_cmn_idol_def_N","10","150","1170001","17"
"102131","100","0","1","1","1.3","03_uek_cmn_idol_def_N","-15","-100","1170002","17"
"3","20","","3","31","0","","1.3","10","1170003","17"
"03_uek_17_ayane","0","0.2","102331","3","0.2","","1","03_uek_17_ayane_loop","1170004","17"
"03_uek_cmn_pose05","0","","102131","3","0.2","","1","03_uek_cmn_idol_def_N","1170005","17"
"1","","","3","32","","","","","1170006","17"
"妳看妳看！\n我用雲做出了\n噗吉哦～！","10","","102331","11","","","0","0","1170007","17"
"","","","0","91","","","","","1170008","17"
"03_uek_talk_joy1","1","","102131","3","0.2","","","","1170009","17"
"哇，好厲害～！\n我也想\n做點什麼呢……♪","10","","102131","11","","","0","0","1170010","17"
"","","","0","91","","","","","1170011","17"
"03_uek_cmn_idol_def_N","1","","102131","3","0.2","","","","1170012","17"
"112631","100","0","1","1","1.3","01_uek_cmn_idol_def_N","45","229","1180001","18"
"105831","110","0","1","1","1.3","01_uek_cmn_idol_def_N","20","170","1180002","18"
"105931","100","0","1","1","1.3","01_uek_cmn_idol_def_N","-10","-85","1180003","18"
"01_uek_18_mio","0","","112631","3","","","1","01_uek_18_mio_loop","1180004","18"
"已經爬了很高呢～\n來看看底下的\n景色吧！","10","","112631","11","","","0","0","1180005","18"
"","","","0","91","","","","","1180006","18"
"01_uek_18_mio","0","","105831","3","","","1","01_uek_18_mio_loop","1180007","18"
"是啊！\n嗯，我看看…\n唔，哇哇哇哇！","10","","105831","11","","","0","0","1180008","18"
"","","","3","93","","","","","1180009","18"
"170","5","","105831","2","","","1","2","1180010","18"
"","","","1180008","91","","","","","1180011","18"
"01_uek_18_kokkoro","0","","105931","3","","","1","01_uek_cmn_idol_def_N","1180012","18"
"呵呵，兩位\n嬉嬉鬧鬧的，\n好像很開心呢。","10","","105931","11","","","0","0","1180013","18"
"101231","100","0","1","1","1.3","02_uek_19_hatsune","110","402","1190001","19"
"103831","100","0","1","1","1.3","02_uek_talk_surprise2","30","166","1190002","19"
"02_uek_talk_surprise2","1","","103831","3","0.2","","0","","1190003","19"
"啊！姊姊！\n在這種地方睡著\n很危險的！","10","","103831","11","","","0","0","1190004","19"
"","","","0","91","","","","","1190005","19"
"我好像聽到了\n小栞的聲音……\n呼嚕……☆","10","","101231","11","","","0","0","1190006","19"
"105831","100","0","2","1","0.9","05_idle","-35","-195","1200001","20"
"304602","1000","0","2","1","1.4","304602_idle","30","150","1200002","20"
"17","150","","102","31","1","","1","50","1200003","20"
"18","150","","103","31","1","","1","400","1200004","20"
"105931","110","0","1","1","1.3","01_uek_21_kokkoro_loop","25","185","1210001","21"
"112531","120","0","1","1","1.3","01_uek_21_rin_loop","-5","65","1210002","21"
"106031","100","0","1","1","1.3","01_uek_cmn_idol_def_N","-35","-140","1210003","21"
"風吹得好舒服呢。\n像在溫柔地對我們\n輕聲呢喃一樣。","10","","105931","11","","","0","0","1210004","21"
"","","","0","91","","","","","1210005","21"
"說不定蒼風有什麼話\n想對向上邁進的\n我們說呢……","10","","112531","11","","","0","0","1210006","21"
"","","","0","91","","","","","1210007","21"
"01_uek_21_kyaru","0","","106031","3","","","1","01_uek_cmn_idol_def_N","1210008","21"
"……妳們好像\n在奇妙的地方\n同步了呢。","10","","106031","11","","","0","0","1210009","21"
"","","","0","91","","","","","1210010","21"
"105831","100","0","1","1","1.3","01_uek_cmn_idol_def_N","40","180","1220001","22"
"4","420","","4","31","1","","1.3","250","1220002","22"
"01_uek_cmn_pose03","1","","105831","3","0.2","","","","1220003","22"
"像飯糰的雲\n會是什麼味道呢\n……流口水☆","10","","105831","11","","","0","0","1220004","22"
"","","","0","91","","","","","1220005","22"
"105231","100","0","1","1","1.3","03_uek_cmn_idol_def_N","5","33","1230001","23"
"102631","1010","0","1","1","1.3","03_uek_23_rin","40","200","1230002","23"
"103331","100","0","1","1","1.3","03_uek_cmn_idol_def_N","-25","-110","1230003","23"
"5","220","","5","31","1","","1","32","1230004","23"
"03_uek_23_rin","1","","102631","3","0.2","","","","1230005","23"
"這朵雲軟綿綿的\n好舒服～\n好像能睡得很熟～","10","","102631","11","","","0","0","1230006","23"
"","","","0","91","","","","","1230007","23"
"1100","40","","102631","2","","","0","45","1230008","23"
"1120","32","","5","33","","","0","45","1230009","23"
"03_uek_cmn_pose04","1","","105231","3","0.2","","","","1230010","23"
"03_uek_talk_surprise2","1","","103331","3","0.2","","","","1230011","23"
"鈴睡在上面的\n那朵雲飄走了！\n怎、怎麼辦！","10","","105231","11","","","0","0","1230012","23"
"","","","0","91","","","","","1230013","23"
"乾草比這\n更軟的啦！\n快點回來啦！","10","","103331","11","","","0","0","1230014","23"
"","","","0","91","","","","","1230015","23"
"105531","10","0","1","1","1.3","03_uek_24_ayumi","-45","-240","1240001","24"
"03_uek_24_ayumi","1","","105531","3","","","0","","1240002","24"
"啊，\n前輩在那裡，\n盯……………","10","","105531","11","","","0","0","1240003","24"
"103631","100","1","1","1","1.3","03_uek_cmn_idol_def_N","15","175","1250001","25"
"100431","100","0","1","1","1.3","03_uek_cmn_idol_def_N","-10","-36","1250002","25"
"102031","100","0","1","1","1.3","03_uek_cmn_idol_def_N","-45","-158","1250003","25"
"03_uek_cmn_pose06","1","","102031","3","","","0","","1250004","25"
"在天上玩耍\n真的很舒服呢。\n嚕啦啦～♪","10","","102031","11","","","0","0","1250005","25"
"","","","0","91","","","","","1250006","25"
"03_uek_25_misogi","0","","100431","3","","","1","03_uek_25_misogi_loop","1250007","25"
"對啊！鏡華也\n這樣覺得吧？\n……哇！","10","","100431","11","","","0","0","1250008","25"
"03_uek_25_kyouka","1","","103631","3","","","0","03_uek_25_kyouka_loop","1250009","25"
"","","","0","91","","","","","1250010","25"
"慢著，禊！\n掉下去會很危險，\n妳不要嚇我啦！","10","","103631","11","","","0","0","1250011","25"
"","","","0","91","","","","","1250012","25"
"104831","100","0","1","1","1.3","01_uek_cmn_idol_def_N","-43","-179","1270001","27"
"104631","100","0","1","1","1.3","01_uek_27_tamaki_loop","-14","0","1270002","27"
"103231","100","1","1","1","1.3","01_uek_cmn_idol_def_N","24","200","1270003","27"
"呼呼……\n到、到極限了喵……\n我想回去喵……","10","","104631","11","","","0","0","1270004","27"
"","","","0","91","","","","","1270005","27"
"01_uek_cmn_pose02","0","","104831","3","","","1","01_uek_talk_normal","1270006","27"
"步行只要有效率地\n分配體力，\n這點程度不算什麼。","10","","104831","11","","","0","0","1270007","27"
"","","","0","91","","","","","1270008","27"
"01_uek_cmn_idol_def_N","1","","104831","3","0.3","","0","","1270009","27"
"01_uek_27_akino_loop","1","","103231","3","","","0","","1270010","27"
"喔――呵呵呵！\n風景真不錯！\n之後景色真讓人期待","10","","103231","11","","","0","0","1270011","27"
"102931","110","0","1","1","1.3","04_uek_cmn_idol_def_N","-10","0","1280001","28"
"104231","120","0","1","1","1.3","04_uek_cmn_idol_def_N","-30","-120","1280002","28"
"105431","100","0","1","1","1.3","04_uek_cmn_idol_def_N","10","120","1280003","28"
"6","35","","6","31","0","","1.3","10","1280004","28"
"9","-85","","6","31","0","","1.3","-10","1280005","28"
"10","155","","6","31","0","","1.3","30","1280006","28"
"04_uek_28_nozomi","1","","102931","3","0.2","","","","1280007","28"
"04_uek_28_chika","1","","104231","3","0.2","","","","1280008","28"
"04_uek_28_tsumugi","1","","105431","3","0.2","","","","1280009","28"
"1","","","6","32","","","","","1280010","28"
"1","","","9","32","","","","","1280011","28"
"1","","","10","32","","","","","1280012","28"
"就算在天空上\n慈樂之音也要…\n站上舞台！","10","","102931","11","","","0","0","1280013","28"
"","","","0","91","","","","","1280014","28"
"風吹得真舒服……！\n精靈們好像\n也很開心！","10","","104231","11","","","0","0","1280015","28"
"","","","0","91","","","","","1280016","28"
"太棒了呢！\n就一路嗨到\n安可吧！","10","","105431","11","","","0","0","1280017","28"
"","","","0","91","","","","","1280018","28"
"101531","100","0","1","1","1.3","03_uek_cmn_idol_def_N","-10","-40","1290001","29"
"101831","100","1","1","1","1.3","03_uek_cmn_idol_def_N","10","95","1290002","29"
"03_uek_talk_joy1","1","","101831","3","","","0","","1290003","29"
"真是宜人的地方呢，\n要不要在遠足的時候\n帶學生們來這裡呢？","10","","101831","11","","","0","0","1290004","29"
"","","","0","91","","","","","1290005","29"
"03_uek_cmn_idol_def_N","1","","101831","3","0.3","","0","","1290006","29"
"03_uek_talk_joy1","1","","101531","3","0.3","","0","","1290007","29"
"哎呀哎呀～那還真想\n讓村裡的孩子們\n也一起來呢～","10","","101531","11","","","0","0","1290008","29"
"","","","0","91","","","","","1290009","29"
"03_uek_cmn_idol_def_N","1","","101531","3","0.3","","0","","1290010","29"
"105831","100","0","2","1","0.9","05_idle","-35","-195","1300001","30"
"307505","1000","0","2","1","1.5","307505_idle","-50","150","1300002","30"
"19","150","","102","31","1","","1","50","1300003","30"
"20","150","","103","31","1","","1","400","1300004","30"
"307505_awake","0","","307505","3","0","","1","307505_idle","1300005","30"
"105831","110","0","1","1","1.3","01_uek_cmn_idol_def_N","10","140","1310001","31"
"105931","110","0","1","1","1.3","01_uek_cmn_idol_def_N","0","20","1310002","31"
"106031","110","0","1","1","1.3","01_uek_26_kyaru_loop","-55","-200","1310003","31"
"","","","1","93","","","","","1310004","31"
"1","","","105831","4","","","","","1310005","31"
"01_uek_cmn_pose04","1","","105831","3","0","","","","1310006","31"
"妳們快看！\n是星星的世界！\n好棒的景色呢☆","10","","105831","11","","","","","1310007","31"
"","","","2.3","93","","","","","1310008","31"
"01_uek_cmn_idol_def_N","0","","105831","3","0.2","","0","","1310009","31"
"","","","1310007","91","","","","","1310010","31"
"01_uek_cmn_idol_def_N","1","","105831","3","0.2","","0","","1310011","31"
"01_uek_talk_normal","1","","105931","3","","","","","1310012","31"
"真的是\n很棒的地方呢，\n我們好好享受吧。","10","","105931","11","","","","","1310013","31"
"","","","0","91","","","","","1310014","31"
"01_uek_cmn_idol_def_N","1","","105931","3","0.2","","","","1310015","31"
"妳們也太冷靜了吧！\n這一切都\n太奇怪了吧……！","10","","106031","11","","","","","1310016","31"
"104531","100","1","1","1","1.3","02_uek_32_kuka_loop","91","255","1320001","32"
"105331","100","0","1","1","1.3","02_uek_cmn_idol_def_N","-29","-97","1320002","32"
"103031","100","0","1","1","1.3","02_uek_cmn_idol_def_N","0","50","1320003","32"
"02_uek_32_kuka","0","","104531","3","0.5","","0","","1320004","32"
"02_uek_cmn_shock_def_N","0","","105331","3","0.5","","1","02_uek_talk_surprise2","1320005","32"
"02_uek_cmn_shock_def_N","0","","103031","3","0.5","","1","02_uek_talk_surprise2","1320006","32"
"","","","0","91","","","","","1320007","32"
"02_uek_talk_surprise2","1","","103031","3","0.5","","0","","1320008","32"
"好不容易找到的\n空花\n又要飛走了！","10","","103031","11","","","0","0","1320009","32"
"","","","0","91","","","","","1320010","32"
"02_uek_talk_surprise2","1","","105331","3","0.5","","0","","1320011","32"
"她果然\n很開心的樣子！？","10","","105331","11","","","0","0","1320012","32"
"100831","100","1","1","1","1.3","02_uek_cmn_idol_def_N","0","0","1330001","33"
"7","-120","","7","31","1","","1.3","130","1330002","33"
"02_uek_33_yuki","0","","100831","3","0.2","","1","02_uek_33_yuki_loop","1330003","33"
"沐浴在星星的\n光輝之下，讓我\n顯得更加美麗了…","10","","100831","11","","","0","0","1330004","33"
"","","","0","91","","","","","1330005","33"
"100931","110","1","1","1","1.3","02_uek_cmn_idol_def_N","0","10","1340001","34"
"101331","110","1","1","1","1.3","02_uek_cmn_idol_def_N","10","180","1340002","34"
"","","","1","93","","","","","1340003","34"
"02_uek_cmn_pose01","1","0.2","101331","3","0.2","","1","02_uek_cmn_idol_def_N","1340004","34"
"來到宇宙啦！\n人家超嗨\n爆嗨的啦！","10","","101331","11","","","0","0","1340005","34"
"","","","0","91","","","","","1340006","34"
"02_uek_34_anna","0","0","100931","3","0.2","","1","02_uek_34_anna_loop","1340007","34"
"呵呵呵……我強烈地\n感受到星星之力了！\n覺醒的時刻近了…！","10","","100931","11","","","0","0","1340008","34"
"100231","100","1","1","1","1.3","01_uek_cmn_idol_def_N","-60","-200","1350001","35"
"100331","100","1","1","1","1.3","01_uek_cmn_idol_def_N","10","0","1350002","35"
"100131","100","1","1","1","1.3","01_uek_cmn_idol_def_N","20","200","1350003","35"
"8","0","","8","31","1","","1","270","1350004","35"
"01_uek_35_yui","0","0.2","100231","3","0.2","","1","01_uek_35_yui_loop","1350005","35"
"01_uek_35_rei","0","0.2","100331","3","0.2","","1","01_uek_35_rei_loop","1350006","35"
"01_uek_cmn_pose03","1","","100131","3","0.2","","","","1350007","35"
"快看，是流星…！\n大家一起\n許願吧！","10","","100231","11","","","0","0","1350008","35"
"","","","0","91","","","","","1350009","35"
"嗯，是呀。\n這個情境\n很適合我們呢。","10","","100331","11","","","0","0","1350010","35"
"","","","0","91","","","","","1350011","35"
"贊成！\n那麼我要許……\n嗯、嗯……！","10","","100131","11","","","0","0","1350012","35"
"","","","0","91","","","","","1350013","35"
"102531","110","0","1","1","1.3","03_uek_cmn_idol_def_N","5","105","1360001","36"
