7705d3a77ebf9cdaf916e01067e1e1eb0acbbbfb306f07f1895c155bd6842373,26bc5224f2e0e36222e20f8e97c9a2b6942fe63cefca19f81ac7c1b2089b1cd3,71c150f2c67dd2397a185ff367206aa04b1584e6c0fd99087cdf46733c8bb24b,d81f0d061d74b4dd3636d18de59b1fe126645a22dbef5c273b6ab0bbf925db35,fde37983b4f79b81a98ab645e0a54987bd18729a9bcbe343bbe9ad5900daa214,821c331732043285ac9245dd71d0752ade1da85246ac20e881c13953cac9890f,0df43ce518a38ca35c1b5c9e9d8ad1150dd463607858e1d644a865fa50d920cb,657727ce398f03c5c7199c958f4d1a450b791e3fbd4c959cb28953c10c6c9d69,7facc7d8d5bf106adf5b108e813d11227d4dc0b6064cd7aaf41bf690c3689399,da4b2acf9c3de96d972f593747fdc216432748411e21a80e8f23a5978159ccbc,6de9b953aec96e7a688d53d01e0ec230d5411f08e4a012b3b6ec6c17010ce92f,0ecac4d8bc552e78c6e865476ed8ae211a986882eec658c1ade18a5ac688d727,8c117f669f8f1cc2e5b4e738b005ebd5b43a3a5535f2b2cd9ebf0a732d42f93d,c49176eb3cf8d0664af369b6222948b476539e8baeeb3fc7cbf8b6eec1c2a2fd,7d66f4e95e0b52e90a8ffa3bc6d10e76463bdb0661f942bc1a741bcc57f6d505,3fcd26c7c8984fca3b24a4434674b1a1bc5cb72e48ae590b8e6a2b91dea4a28b
"10205","0","10205501","bgm_MC257","10205201","0","90","100199","0","0","bgm_MC257","3","115001","100199","343","Boss戰（SPECIAL＋）"
"10206","610206101","10206101","bgm_MC264_NoIntro","0","5206006","90","81020601","0","5206301","bgm_MC264","1","113001","81020601","90","Boss戰（SCENARIO）"
"10206","0","10206201","bgm_MC264_NoIntro","10206101","0","90","81020601","0","0","bgm_MC264","2","114001","81020601","255","Boss戰（SPECIAL）"
"10206","0","10206501","bgm_MC264_NoIntro","10206201","0","90","81020601","0","0","bgm_MC264","3","115001","81020601","346","Boss戰（SPECIAL＋）"
"10207","610207101","10207101","bgm_MC270","0","5207006","90","81020701","0","5207301","bgm_MC270","1","113001","81020701","90","Boss戰（SCENARIO）"
"10207","0","10207201","bgm_MC270","10207101","0","90","81020701","0","0","bgm_MC270","2","114001","81020701","255","Boss戰（SPECIAL）"
"10207","0","10207501","bgm_MC270","10207201","0","90","81020701","0","0","bgm_MC270","3","115001","81020701","349","Boss戰（SPECIAL＋）"
"10208","610208101","10208101","bgm_MC283","0","5208006","90","81020801","0","5208301","bgm_MC283","1","113001","81020801","90","Boss戰（SCENARIO）"
"10208","0","10208201","bgm_MC283","10208101","0","90","81020801","0","0","bgm_MC283","2","114001","81020801","255","Boss戰（SPECIAL）"
"10208","0","10208501","bgm_MC283","10208201","0","90","81020801","0","0","bgm_MC283","3","115001","81020801","352","Boss戰（SPECIAL＋）"
"10209","610209101","10209101","bgm_MC203","0","5209006","90","103603","0","5209301","bgm_MC203","1","113001","103603","90","Boss戰（SCENARIO）"
"10209","0","10209201","bgm_MC203","10209101","0","90","103603","0","0","bgm_MC203","2","114001","103603","255","Boss戰（SPECIAL）"
"10209","0","10209501","bgm_MC203","10209201","0","90","103603","0","0","bgm_MC203","3","115001","103603","355","Boss戰（SPECIAL＋）"
"10210","610210101","10210101","bgm_MC179A","0","5210005","90","103363","0","5210301","bgm_MC179A","1","113001","103363","90","Boss戰（SCENARIO）"
"10210","0","10210201","bgm_MC179A","10210101","0","90","103363","0","0","bgm_MC179A","2","114001","103363","255","Boss戰（SPECIAL）"
"10210","0","10210501","bgm_MC179A","10210201","0","90","103363","0","0","bgm_MC179A","3","115001","103363","358","Boss戰（SPECIAL＋）"
"10211","610211101","10211101","bgm_M641","0","5211006","90","81008002","0","5211301","bgm_M641","1","113001","81008002","90","Boss戰（SCENARIO）"
"10211","0","10211201","bgm_M641","10211101","0","90","81008002","0","0","bgm_M641","2","114001","81008002","255","Boss戰（SPECIAL）"
"10211","0","10211501","bgm_M641","10211201","0","90","81008002","0","0","bgm_M641","3","115001","81008002","361","Boss戰（SPECIAL＋）"
"10212","610212101","10212101","bgm_MC243_Short","0","5212006","90","81021201","0","5212301","bgm_MC243","1","113001","81021201","90","Boss戰（SCENARIO）"
"10212","0","10212201","bgm_MC243_Short","10212101","0","90","81021201","0","0","bgm_MC243","2","114001","81021201","255","Boss戰（SPECIAL）"
"10212","0","10212501","bgm_MC243_Short","10212201","0","90","81021201","0","0","bgm_MC243","3","115001","81021201","364","Boss戰（SPECIAL＋）"
"10213","610213101","10213101","bgm_MC295A","0","5213005","90","100003","0","5213301","bgm_MC295A","1","113002","100003","90","前篇Boss戰（SCENARIO）"
"10213","610213151","10213151","bgm_MC320","0","5213012","90","81021302","2026/06/13 16:00:00","5213311","bgm_MC320","1","113002","81021302","90","後篇Boss戰（SCENARIO）"
"10213","0","10213201","bgm_MC295A","10213101","0","90","100003","0","0","bgm_MC295A","2","114002","100003","255","前篇Boss戰（SPECIAL）"
"10213","0","10213251","bgm_MC320","10213151","0","90","81021302","2026/06/13 16:00:00","0","bgm_MC320","2","114002","81021302","255","後篇Boss戰（SPECIAL）"
"10213","0","10213501","bgm_MC295A","10213201","0","90","100003","0","0","bgm_MC295A","3","115001","100003","367","前篇Boss戰（SPECIAL+）"
"10213","0","10213551","bgm_MC320","10213251","0","90","81021302","2026/06/13 16:00:00","0","bgm_MC320","3","115001","81021302","367","後篇Boss戰（SPECIAL+）"
"10214","610214101","10214101","bgm_MC081_Yamato","0","5214005","90","102996","0","5214301","bgm_MC081","1","113003","102996","90","Boss戰（SCENARIO）"
"10214","0","10214201","bgm_MC081_Yamato","10214101","0","90","102996","0","0","bgm_MC081","2","114003","102996","255","Boss戰（SPECIAL）"
"10214","0","10214501","bgm_MC081_Yamato","10214201","0","90","102996","0","0","bgm_MC081","3","115003","102996","370","Boss戰（SPECIAL＋）"
"10215","610215101","10215101","bgm_MC203","0","5215006","90","101243","0","5215301","bgm_MC203","1","113003","101243","90","Boss戰（SCENARIO）"
"10215","0","10215201","bgm_MC203","10215101","0","90","101243","0","0","bgm_MC203","2","114003","101243","255","Boss戰（SPECIAL）"
"10215","0","10215501","bgm_MC203","10215201","0","90","101243","0","0","bgm_MC203","3","115003","101243","373","Boss戰（SPECIAL＋）"
