a3efbd341c65ac896222d40c76811c992b09a57b969bdfd77b2b09e65e1f714a,0afe4611dad8c3b969b139a575eea46b846b866e3955e5df7ba1720eaae5ef53,a2ae410c9b6d765bf6b32ad75a0a54e9eac9366158ebb85f2d3d43d3a4c404cc,db7c0939972a06392d4381cc704f353c7fdf72a7306f10e7d0b1745da0ba1a8d,23f97d660a79e479e6a522d3e078926f986ab3c3440a49ca679a653240f05fad,e8cfbb4d82c3a06368d52641c8568766b511c9b427146ee0b60e8df8e1948ee0,974df1901f0e443c0fa0015cb586ce9cc4e49921a0201e95f7386cdd5c5f1f56,6b0280557289f3a1de1df641fddf92389b6ef5e6529412e98c30bf1960d26b2b
"-252","6","222","240","1741","1","-11","1"
"-19","6","311","245","1761","2","-96","2"
"-46","6","261","221","1771","3","95","3"
"152","6","166","237","1781","4","83","4"
"227","6","183","229","1782","5","-100","5"
"-249","7","223","183","1811","1","-46","1"
"-159","7","337","247","1881","2","54","2"
"30","7","202","191","1921","3","-70","3"
"173","7","176","215","1941","4","0","4"
"292","7","204","236","1981","5","77","5"
"-472","8","209","254","2001","1","89","1"
"-375","8","250","282","2031","2","-77","2"
"-280","8","241","223","2051","3","110","3"
"-148","8","243","270","2101","4","-85","4"
"3","8","274","264","2131","5","74","5"
"155","8","321","302","2171","6","-36","6"
"283","8","199","277","2201","7","82","7"
"374","8","349","344","2271","8","0","8"
"-275","9","240","301","2321","1","-30","1"
"-132","9","106","108","2361","2","-115","2"
"-132","9","106","108","2371","3","-115","3"
"-73","9","202","246","2381","4","32","4"
"-43","9","114","84","2411","5","-140","5"
"-43","9","114","84","2421","6","-140","6"
"50","9","86","84","2461","7","65","8"
"50","9","86","84","2471","8","65","9"
"80","9","185","137","2481","9","-110","10"
"80","9","185","137","2491","10","-110","11"
"131","9","301","377","2521","11","24","7"
"280","9","190","305","2531","12","-50","12"
"-527","10","123","145","2601","1","-137","3"
"-527","10","123","145","2611","2","-137","4"
"-379","10","408","295","2621","3","35","1"
"-299","10","171","192","2622","4","103","2"
"-138","10","342","244","2623","5","-64","6"
"-47","10","224","254","2701","6","9","5"
"131","10","253","204","2781","7","-88","8"
"89","10","110","139","2791","8","23","9"
"89","10","110","139","2801","9","23","10"
"275","10","292","249","2811","10","42","7"
"274","10","126","151","2821","11","-120","11"
"274","10","126","151","2831","12","-120","12"
"448","10","276","316","2841","13","-17","13"
"-292","11","158","203","2901","1","-87","1"
"-224","11","256","187","3011","2","123","2"
"-65","11","144","225","3031","3","-80","3"
"80","11","149","214","3111","4","-84","4"
"227","11","201","194","3131","5","112","5"
"159","11","161","111","3141","6","-111","6"
"159","11","161","111","3151","7","-111","7"
"307","11","166","209","3171","8","-80","8"
"-185","12","364","206","3211","1","-106","3"
"-304","12","160","277","3221","2","34","1"
"-107","12","249","275","3231","3","45","2"
"31","12","167","233","3321","4","-46","5"
"135","12","174","130","3381","5","-122","7"
"135","12","174","130","3391","6","-122","8"
"127","12","244","223","3431","7","101","4"
"254","12","235","246","3441","8","-24","6"
"303","12","167","156","3461","9","-114","9"
"303","12","167","156","3471","10","-114","10"
"338","12","108","94","3491","11","152","11"
"338","12","108","94","3501","12","152","12"
"-286","13","210","270","3531","1","-48","3"
"-310","13","92","103","3541","2","144","2"
"-152","13","228","219","3551","3","-90","3"
"-148","13","94","103","3561","4","99","4"
"-12","13","110","71","3571","5","-157","5"
"-5","13","209","274","3581","6","-2","1"
"141","13","219","292","3691","7","-72","6"
"146","13","88","104","3701","8","143","7"
"299","13","160","135","3741","9","131","8"
"299","13","160","135","3751","10","131","9"
"301","13","179","268","3791","11","-82","10"
"-470","14","197","286","3801","1","6","2"
"-520","14","134","89","3811","2","-123","3"
"-369","14","204","236","3821","3","103","1"
"-283","14","176","241","3861","4","-74","5"
"-151","14","156","236","3891","5","-83","6"
"-174","14","219","226","3911","6","108","4"
"-51","14","107","96","3921","7","-130","10"
"-5","14","179","251","3931","8","50","9"
"100","14","113","102","3941","9","-106","11"
"268","14","242","317","3951","10","-41","12"
"138","14","209","240","3961","11","79","7"
"138","14","209","240","3971","12","79","8"
"441","14","125","93","4021","13","-125","14"
"485","14","219","279","4031","14","22","13"
