4e0288ba137d141031d7a55d054cbd1ff11e705290cccc498032de8dcb5221b1,8a410e2431500fa6ba8143ce5a092bb39fcaacbd0d4b64396caf7d1960a83970,a3d5f61209b5c1c8b148828acef9d09398a440b21773780160730b171f573fc7,a668afa7d58737dd54c4062bfbf42923c0cc1be25182c4b54148c5facfb94db4,3ea7651900dbf017713cf5cbc16de3fff86a26a29495515248876e814cc38e7d,42ab549d258241cea4661301fd6151ec51a46a4b75df6d8f613de160e1661142,f0cad9107c6795ee152f9882053bb59b046be3521bbf1b9eebbbba47e46bdebb,e2d8e72d6e237a70179c038f6fe211b336847bc52c6ec2ff5ce4a8a26419a616,68f2e02748c4f4df650edf1b4e4455f7c99da0deccb7baf328970758da2b453a,b8869e6455984070462c2f58c47f5df8ebbb9c6b32dae80147e4f530462db19d,bc2eaec74bfa2becab1b225987ea34f6742e7c58b0126ed785e54aa8dd4f76f0,b39e8ae1f1272c4ad3b702b7b2b0c2fe7b725234af390b95c0b9bf276827a0ba,5c0ad312c358a24c4199f57444566dd5f84825bb1637d6b57698f185af444b54,140e104b7379c4cc975f803b8b5012db77d993338df5796c8087c0139a4f051b,da1fa682b93bd3be7e05a94bed8a9bc40035c1772c413be2df8092515f52425e,1e70fe92152e482d67136e301d27e223bdf58857a14e262092d67995051a8c00
"9","102801","4","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","43","精靈族","10","堀江由衣","經營、茶會","A","咲戀","經營育幼院的庶民派溫柔大小姐","156","17","0","咲戀育幼院"
"4","102901","24","總有一天要讓世界上所有的人成為我的粉絲！\n在成為超級偶像的那天之前，\n還請你繼續支持我喔♪","40","人族","1","日笠陽子","看舞台劇，跳舞","B","望","能歌善舞的超人氣偶像","157","17","0","慈樂之音"
"15","103001","31","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","51","人族","8","佐藤聡美","忍法開發","O","妮諾","東國的神祕，請告訴我！","163","16","0","純白之翼 蘭德索爾分部"
"7","103101","22","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","42","魔族","12","大坪由佳","占卜","AB","忍","擅長占卜的靈能少女","157","18","0","惡魔偽王國軍"
"12","103201","12","只要跟本小姐在一起，\n就絕不會讓你煩惱錢的事情！","45","人族","3","松嵜麗","慈善事業","AB","秋乃","目標成為頂尖商人的元氣大小姐","157","18","0","墨丘利財團"
"11","103301","3","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","35","人族","3","新田恵海","相聲","B","真陽","令大家歡笑的歡樂牧場主人","142","20","0","伊麗莎白牧場"
"12","103401","16","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","55","精靈族","3","今井麻美","隨意逛街","A","優花梨","既純情又放心不下的成熟女性","164","22","0","墨丘利財團"
"5","103601","2","test","21","精靈族","2","小倉唯","讀書","A","鏡華","端莊正直的嬌小優等生","118","8","0","小小甜心"
"8","103701","11","test","43","人族","8","茅原実里","劍術、戲弄長輩","A","智","重情義愛捉弄人的劍術少女","149","13","0","王宮騎士團"
"11","103801","3","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","40","獸人族","11","小清水亜美","讀書、散步","A","栞","喜愛讀書的體弱少女","153","14","0","伊麗莎白牧場"
"6","104001","6","在交到新朋友之前……\n就先在BB團\n進行特訓吧！","44","精靈族","6","花澤香菜","交朋友的想像訓練","AB","碧","嚮往「朋友」的精靈之森女孩","158","13","0","森林守衛"
"4","104201","3","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","46","人族","6","福原綾香","各種樂器","O","千歌","守護人們而歌唱的唱喚士少女","163","17","0","慈樂之音"
"10","104301","9","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","54","獸人族","8","小松未可子","做點心","O","真琴","不輸男人的狂野義氣少女","168","17","0","哞哞自衛隊"
"7","104401","5","test","50","魔族","5","丹下桜","征服世界","A","伊莉亞","曾經支配黑夜的最強吸血鬼","172","??","0","惡魔偽王國軍"
"15","104501","19","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","49","人族","11","長妻樹里","閱讀小說","AB","空花","最愛妄想！其實是個害羞少女","157","18","0","純白之翼 蘭德索爾分部"
"12","104601","1","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","48","獸人族","3","沼倉愛美","與貓咪玩耍","AB","珠希","鋤強扶弱的貓娘","158","19","0","墨丘利財團"
"8","104701","25","？？？","50","人族","10","川澄綾子","格鬥技、入浴","A","純","看不見面容的沉著女騎士","171","25","0","王宮騎士團"
"12","104801","11","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","49","人族","11","田所あずさ","傭兵等等的打工","O","美冬","公事私事都效率至上的傭兵少女","163","20","0","墨丘利財團"
"3","104901","24","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","54","人族","10","生天目仁美","所有家事","O","靜流","姐姐會照顧你的呦！","168","18","0","拉比林斯"
"14","105001","3","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","22","魔族","1","久野美咲","閱讀流行雜誌、蒐集化妝品","A","美咲","稍微有點差距的少女戀情","120","11","0","月光學院"
"13","105101","7","雖然我是個科學家，\n但平常也有在醫治病人哦。\n生病的時候就讓我來幫你看診吧。","53","人族","3","三石琴乃","研究、實驗","A","深月","興趣是實驗的危險科學家","166","27","0","暮光流星群"
"11","105201","14","我是個很平凡、隨處可見的女孩子喔！\n除、除了外表之外……","100","獸人族","3","徳井青空","理毛、聊天","A","莉瑪","少女心的毛茸茸生物","150","17","0","伊麗莎白牧場"
"15","105301","28","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","33","人族","7","辻あゆみ","逛點心店","A","莫妮卡","外表與內心都是孩子的異國軍人","140","17","0","純白之翼 蘭德索爾分部"
"4","105401","7","test","45","人族","9","木戸衣吹","裁縫","AB","紡希","最愛時尚的可愛女孩","153","14","0","慈樂之音"
"15","105501","7","test","43","精靈族","4","大関英里","觀察","O","步未","何時都會一見鍾情，純情少女","155","16","0","純白之翼 蘭德索爾分部"
"13","105601","11","test","54","人族","7","佐藤利奈","釣魚","B","流夏","散發人情味的帥氣「大姐頭」","167","25","0","暮光流星群"
"","105701","10","我呢，想要成為獨當一面的騎空士。\n有朝一日變成像父親那樣的騎空士，\n旅行直到天空的盡頭。這是我的夢想喔！","45","人族","3","金元寿子","冒險、聊天","O","吉塔","夢想前往天空冒險的騎空士少女","156","17","0","？？？"
"1","105801","31","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","46","人族","3","M・A・O","邊走邊吃、料理","O","貪吃佩可","元氣滿點的空腹少女","156","17","0","美食殿堂"
"1","105901","11","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","35","精靈族","5","伊藤美来","冥想、養育動植物","B","可可蘿","仰慕主人，小小嚮導","140","11","0","美食殿堂"
"1","106001","2","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","39","獸人族","9","立花理香","和貓咪玩耍","A","凱留","倒在路旁的謎之貓耳魔法師","152","14","0","美食殿堂"
"","106101","11","沒關係的，即使……只有我一個人。不要緊的，反正我已經習慣了","40","人族","8","潘めぐみ","冒險、回憶故事","O","矛依未","徬徨的謎樣少女","148","16","0","？？？"
"","106301","17","","42","精靈族","6","優木かな","蒐集漂亮的葉子","O","亞里莎","目標成為森林守護者的精靈族少女","155","15","0","？？？"
"1","106401","14","","???","龍人族","12","近藤玲奈","讀書、伸展運動","B","雪菲","失去記憶的龍人族少女","147","14","0","美食殿堂"
"17","106501","25","","???","龍人族","6","小市眞琴","格鬥技","B","嘉夜","專門用拳頭來交朋友的打手龍少女","156","16","0","龍族巢穴"
"17","106601","29","","???","龍人族","9","藤田茜","遊戲","AB","祈梨","嘴上功夫一流的廢材龍娘","145","13","0","龍族巢穴"
"17","106701","17","","???","龍人族","4","大西沙織","繪畫、讀書","O","帆稀","面帶詭譎的笑容看透一切的臥龍首領。","168","25","0","龍族巢穴"
"3","106801","25","","??","人族","7","沢城みゆき","觀察人類","AB","拉比林斯達","祕密結社拉比林斯的「迷宮女王」","160","25","0","拉比林斯"
"","106901","1","","??","獸人族","7","蒼井翔太","占卜、支配","AB","霸瞳皇帝","謎團重重的蘭德索爾之主","166","29","0","？？？"
"","107001","24","","??","精靈族","3","井口裕香","模仿、藝術欣賞","O","似似花","隱居在研究所，相當文靜的大姊姊","149","24","0","？？？"
"8","107101","7","","??","人族","2","たかはし智秋","和強敵之間的競爭","O","克莉絲提娜","自視甚高的王宮騎士團副團長","165","27","0","王宮騎士團"
"1","107501","31","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","46","人族","3","M・A・O","邊走邊吃、料理","O","貪吃佩可（夏日）","元氣滿點的空腹少女","156","17","0","美食殿堂"
"1","107601","11","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","35","精靈族","5","伊藤美来","冥想、養育動植物","B","可可蘿（夏日）","仰慕主人，小小嚮導","140","11","0","美食殿堂"
"9","107701","12","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","43","人族","12","悠木碧","服侍","O","鈴莓（夏日）","為了大小姐而努力的冒失女僕","154","15","0","咲戀育幼院"
"1","107801","2","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","39","獸人族","9","立花理香","和貓咪玩耍","A","凱留（夏日）","倒在路旁的謎之貓耳魔法師","152","14","0","美食殿堂"
"12","107901","1","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","48","獸人族","3","沼倉愛美","與貓咪玩耍","AB","珠希（夏日）","鋤強扶弱的貓娘","158","19","0","墨丘利財團"
"12","108001","11","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","49","人族","11","田所あずさ","傭兵等等的打工","O","美冬（夏日）","公事私事都效率至上的傭兵少女","163","20","0","墨丘利財團"
"7","108101","22","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","42","魔族","12","大坪由佳","占卜","AB","忍（萬聖節）","擅長占卜的靈能少女","157","18","0","惡魔偽王國軍"
"7","108201","23","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","32","魔族","1","雨宮天","吃布丁","B","宮子（萬聖節）","最愛布丁的幽靈少女","130","14","0","惡魔偽王國軍"
"14","108301","3","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","22","魔族","1","久野美咲","閱讀流行雜誌、蒐集化妝品","A","美咲（萬聖節）","稍微有點差距的少女戀情","120","11","0","月光學院"
"4","108401","3","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","46","人族","6","福原綾香","各種樂器","O","千歌（聖誕節）","守護人們而歌唱的唱喚士少女","163","17","0","慈樂之音"
"9","108501","9","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","40","人族","6","植田佳奈","看戲、扮家家酒","B","胡桃（聖誕節）","愛哭又膽小，令人想去保護的女孩","150","12","0","咲戀育幼院"
"9","108601","10","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","38","人族","5","芹澤優","能在房間裡玩的遊戲","B","綾音（聖誕節）","永遠跟噗吉在一起！","148","14","0","咲戀育幼院"
"2","108701","27","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","44","獸人族","8","東山奈央","助人、打氣加油","A","日和（新年）","最愛幫助別人！　正向思考的格鬥少女","155","16","0","破曉之星"
"2","108801","5","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","47","人族","4","種田梨沙","料理、觀察人類","O","優衣（新年）","擅長支援戰鬥，心地善良的少女","158","17","0","破曉之星"
"2","108901","12","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","46","魔族","1","早見沙織","讀書、騎馬、茶","B","怜（新年）","冷酷又率直的劍士","163","18","0","破曉之星"
"13","109001","30","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","43","魔族","7","橋本ちなみ","實驗、裁縫、料理","B","惠理子（情人節）","專情於命中注定對象的少女","154","16","0","暮光流星群"
"3","109101","24","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","54","人族","10","生天目仁美","所有家事","O","靜流（情人節）","姐姐會照顧你的呦！","168","18","0","拉比林斯"
"","109201","1","我是安！總之算是馬納歷亞王國的\n第一公主…不過別太拘謹，\n如果能輕鬆地和我變成好朋友的話，我會很開心的！","55","人族","12","日笠陽子","讀書","AB","安","和英靈締結契約的馬納歷亞天才公主","156","17","0","？？？"
"","109301","4","我叫做露！正在就讀\n馬納歷亞魔法學院。你也願意成為\n露的好朋友嗎？","45","人族","2","こやまきみこ","吃飯，睡覺","O","露","馬納歷亞魔法學院新生","144","16","0","？？？"
"","109401","3","我是古蕾婭。同時繼承了\n龍與人的血統…\n那個…請、請多指教","67","半人半龍","11","福原綾香","鋼琴","B","古蕾婭","擁有超越人類力量的善良龍人公主","167","17","0","？？？"
"15","109501","19","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","49","人族","11","長妻樹里","閱讀小說","AB","空花（大江戶）","最愛妄想！其實是個害羞少女","157","18","0","純白之翼 蘭德索爾分部"
"15","109601","31","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","51","人族","8","佐藤聡美","忍法開發","O","妮諾（大江戶）","東國的神祕，請告訴我！","163","16","0","純白之翼 蘭德索爾分部"
"","109701","2","","??","鬼族","2","水瀬いのり","戲劇欣賞、詩和散文","?","雷姆","有如鬼助的萬能妹妹女僕","154","17","0","？？？"
"","109801","2","","??","鬼族","2","村川梨衣","讀書","?","拉姆","毒舌系魔鬼姐姐女僕","154","17","0","？？？"
"","109901","23","","??","半妖精族","9","高橋李依","幫帕克梳理毛髮、念書","?","愛蜜莉雅","穩重成熟的銀髮半妖精","164","??","0","？？？"
"14","110001","10","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","48","魔族","4","上坂すみれ","時尚","O","鈴奈（夏日）","天真浪漫的人氣超級名模","167","17","0","月光學院"
"14","110101","14","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","52","魔族","8","伊藤静","看戀愛小說、戀愛劇、戀愛漫畫","B","伊緒（夏日）","魅惑眾多男性的純潔女老師","162","23","0","月光學院"
"14","110201","3","","22","魔族","1","久野美咲","閱讀流行雜誌、蒐集化妝品","A","美咲（夏日）","稍微有點差距的少女戀情","120","11","0","月光學院"
"9","110301","4","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","43","精靈族","10","堀江由衣","經營、茶會","A","咲戀（夏日）","經營育幼院的庶民派溫柔大小姐","156","17","0","咲戀育幼院"
"10","110401","9","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","54","獸人族","8","小松未可子","做點心","O","真琴（夏日）","不輸男人的狂野義氣少女","168","17","0","哞哞自衛隊"
"10","110501","7","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","53","獸人族","7","高森奈津美","跳舞、空手道","A","香織（夏日）","隨時都「船到橋頭自然直」的天真少女","158","17","0","哞哞自衛隊"
"10","110601","22","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","42","獸人族","9","内田真礼","幻想、蒐集玩偶","O","真步（夏日）","真步真步王國的公主","155","16","0","哞哞自衛隊"
"6","110701","6","","44","精靈族","6","花澤香菜","交朋友的想像訓練","AB","碧（插班生）","嚮往「朋友」的精靈之森女孩","158","13","0","森林守衛"
"16","110801","7","","42","精靈族","8","種﨑敦美","飛鏢","O","克蘿依","生長在市區的陰暗系精靈族","154","17","0","聖德蕾莎女子學院（好朋友社）"
"16","110901","15","","46","人族","9","佐倉綾音","跳舞、卡拉OK","O","琪愛兒","天生自由奔放的失禮現代小孩","156","16","0","聖德蕾莎女子學院（好朋友社）"
"16","111001","28","","36","人族","2","小原好美","讀書","O","優妮","沉睡於書庫的小小賢人","142","18","0","聖德蕾莎女子學院（好朋友社）"
"5","111101","2","","21","精靈族","2","小倉唯","讀書","A","鏡華（萬聖節）","端莊正直的嬌小優等生","118","8","0","小小甜心"
"5","111201","10","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","27","人族","8","諸星すみれ","惡作劇、探險","O","禊（萬聖節）","愛好冒險的搗蛋鬼","128","9","0","小小甜心"
"5","111301","3","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","21","獸人族","4","日高里菜","蒐集可愛的東西","O","美美（萬聖節）","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","117","10","0","小小甜心"
"","111401","8","","28","人族","1","小倉唯","找「朋友」之事","?","露娜","到處找人做朋友的死靈術師少女","142","??","0","？？？"
"8","111501","7","","??","人族","2","たかはし智秋","和強敵之間的競爭","O","克莉絲提娜（聖誕節）","自視甚高的王宮騎士團副團長","165","27","0","王宮騎士團"
"4","111601","24","","40","人族","1","日笠陽子","看舞台劇，跳舞","B","望（聖誕節）","能歌善舞的超人氣偶像","157","17","0","慈樂之音"
"7","111701","5","","50","魔族","5","丹下桜","征服世界","A","伊莉亞（聖誕節）","曾經支配黑夜的最強吸血鬼","172","??","0","惡魔偽王國軍"
"1","111801","31","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","46","人族","3","M・A・O","邊走邊吃、料理","O","貪吃佩可（新年）","元氣滿點的空腹少女","156","17","0","美食殿堂"
"1","111901","11","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","35","精靈族","5","伊藤美来","冥想、養育動植物","B","可可蘿（新年）","仰慕主人，小小嚮導","140","11","0","美食殿堂"
"1","112001","2","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","39","獸人族","9","立花理香","和貓咪玩耍","A","凱留（新年）","倒在路旁的謎之貓耳魔法師","152","14","0","美食殿堂"
"9","112101","12","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","43","人族","12","悠木碧","服侍","O","鈴莓（新年）","為了大小姐而努力的冒失女僕","154","15","0","咲戀育幼院"
"10","112201","3","","41","獸人族","11","水瀬いのり","讀書、推理","AB","霞（魔法少女）","頭腦聰明的美少女名偵探","152","15","0","哞哞自衛隊"
"11","112301","3","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","40","獸人族","11","小清水亜美","讀書、散步","A","栞（魔法少女）","喜愛讀書的體弱少女","153","14","0","伊麗莎白牧場"
"100","112401","24","","45","人族","4","大橋彩香","與好友長談","O","卯月（NGs）","燦爛的笑容！　夢想成為偶像的女孩","159","17","0","new generations"
"100","112501","10","","44","人族","8","福原綾香","遛狗","B","凜（NGs）","冷酷又美麗的「蒼藍劍士」","165","15","0","new generations"
"100","112601","1","","46","人族","12","原紗友里","購物","B","未央（NGs）","目標成為超級巨星的活力女孩☆☆★","161","15","0","new generations"
"11","112701","1","","42","獸人族","1","小岩井ことり","紅豆麵包","B","鈴（遊俠）","視玩樂與睡眠為第一的懶惰少女","144","17","0","伊麗莎白牧場"
"11","112801","3","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","35","人族","3","新田恵海","相聲","B","真陽（遊俠）","令大家歡笑的歡樂牧場主人","142","20","0","伊麗莎白牧場"
"3","112901","25","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","44","人族","8","阿澄佳奈","裁縫","A","璃乃（奇幻）","親人又多話的妹系少女","156","15","0","拉比林斯"
