f56aa6d4bc1104387d7a9ef96757ed0ba2918a6ff473fec44750176501d983b9,3758cca1f2fda75c5d8e169e73a80d06dbfd99e6054ce53160fbd370bf50f2cb,3a8b488ae92ffc648765230cc1416b9ba3facbd3fc25461e88e044aa1da4a5cd,5749cc9c40b7c7734389d03948c1871d7d8401cc04835041315e01a0c3faa1c2,e4273c66a739c190399280d09a920390ee758d5c622f42faf10f46540f3051d7,03c9f8e8eb53322bcb61c75a330c515b1f19d0bbf90dbfcbb3fac5bb784beacb,0f4ff75ec9d1b1fcbc0e11dc06ac1a6ed255a1c0f0d3c56798f3e11cbfcf970a,26b72874f5eb935817a80b53748ed33429ba2a700833fb4155e4641c6fb56719,91290533c7fe318f29842a9a687affb224a635861adcdb4046086090eff99a6d,22b1a23577d2184f7264c063f02fc8ecf2203284ec8befe51a76376e1c68a154,b907dbccb142de477384a35380a2eae66921b54ca03a1474cf81bf82e8b95684,52d15f62586d45f4df7a7b14b72f443152d63fa2b7f3198b42a02a16ba0b3398
"31001301","3003","3","2023/04/24 15:59:59","5000000","0","對幻影男爵造成500萬累積傷害","2023/04/17 16:00:00","31001301","7004","30","1001"
"31001302","3003","3","2023/04/24 15:59:59","7500000","0","對幻影男爵造成750萬累積傷害","2023/04/17 16:00:00","31001302","7004","30","1001"
"31001303","3003","3","2023/04/24 15:59:59","10000000","0","對幻影男爵造成1000萬累積傷害","2023/04/17 16:00:00","31001303","7004","30","1001"
"31001311","3003","3","2023/04/24 15:59:59","1","2500000","在1場戰鬥中對幻影男爵造成250萬傷害","2023/04/17 16:00:00","31001311","7005","31","1001"
"31001312","3003","3","2023/04/24 15:59:59","1","5000000","在1場戰鬥中對幻影男爵造成500萬傷害","2023/04/17 16:00:00","31001312","7005","31","1001"
"31001401","3004","3","2023/04/24 15:59:59","5000000","0","對天塔帕斯造成500萬累積傷害","2023/04/17 16:00:00","31001401","7004","40","1001"
"31001402","3004","3","2023/04/24 15:59:59","7500000","0","對天塔帕斯造成750萬累積傷害","2023/04/17 16:00:00","31001402","7004","40","1001"
"31001403","3004","3","2023/04/24 15:59:59","10000000","0","對天塔帕斯造成1000萬累積傷害","2023/04/17 16:00:00","31001403","7004","40","1001"
"31001411","3004","3","2023/04/24 15:59:59","1","2500000","在1場戰鬥中對天塔帕斯造成250萬傷害","2023/04/17 16:00:00","31001411","7005","41","1001"
"31001412","3004","3","2023/04/24 15:59:59","1","5000000","在1場戰鬥中對天塔帕斯造成500萬傷害","2023/04/17 16:00:00","31001412","7005","41","1001"
"31002101","3005","3","2023/04/24 15:59:59","5000000","0","對豪紳造成500萬累積傷害","2023/04/17 16:00:00","31002101","7004","10","1002"
"31002102","3005","3","2023/04/24 15:59:59","7500000","0","對豪紳造成750萬累積傷害","2023/04/17 16:00:00","31002102","7004","10","1002"
"31002103","3005","3","2023/04/24 15:59:59","10000000","0","對豪紳造成1000萬累積傷害","2023/04/17 16:00:00","31002103","7004","10","1002"
"31002104","3005","3","2023/04/24 15:59:59","110000000","0","對豪紳造成1億1000萬累積傷害","2023/04/17 16:00:00","31002104","7004","10","1002"
"31002111","3005","3","2023/04/24 15:59:59","1","2500000","在1場戰鬥中對豪紳造成250萬傷害","2023/04/17 16:00:00","31002111","7005","11","1002"
"31002112","3005","3","2023/04/24 15:59:59","1","5000000","在1場戰鬥中對豪紳造成500萬傷害","2023/04/17 16:00:00","31002112","7005","11","1002"
"31002113","3005","3","2023/04/24 15:59:59","1","22000000","在1場戰鬥中對豪紳造成2200萬傷害","2023/04/17 16:00:00","31002113","7005","11","1002"
"31003101","3006","3","2023/04/24 15:59:59","5000000","0","對阿爾瑪＆奧拉姆造成500萬累積傷害","2023/04/17 16:00:00","31003101","7004","10","1003"
"31003102","3006","3","2023/04/24 15:59:59","7500000","0","對阿爾瑪＆奧拉姆造成750萬累積傷害","2023/04/17 16:00:00","31003102","7004","10","1003"
"31003103","3006","3","2023/04/24 15:59:59","10000000","0","對阿爾瑪＆奧拉姆造成1000萬累積傷害","2023/04/17 16:00:00","31003103","7004","10","1003"
"31003104","3006","3","2023/04/24 15:59:59","100000000","0","對阿爾瑪＆奧拉姆造成1億累積傷害","2023/04/17 16:00:00","31003104","7004","10","1003"
"31003111","3006","3","2023/04/24 15:59:59","1","2500000","在1場戰鬥中對阿爾瑪＆奧拉姆造成250萬傷害","2023/04/17 16:00:00","31003111","7005","11","1003"
"31003112","3006","3","2023/04/24 15:59:59","1","5000000","在1場戰鬥中對阿爾瑪＆奧拉姆造成500萬傷害","2023/04/17 16:00:00","31003112","7005","11","1003"
"31003113","3006","3","2023/04/24 15:59:59","1","20000000","在1場戰鬥中對阿爾瑪＆奧拉姆造成2000萬傷害","2023/04/17 16:00:00","31003113","7005","11","1003"
"31003201","3007","3","2023/04/24 15:59:59","5000000","0","對好朋友X＆無名的藝術造成500萬累積傷害","2023/04/17 16:00:00","31003201","7004","20","1003"
"31003202","3007","3","2023/04/24 15:59:59","7500000","0","對好朋友X＆無名的藝術造成750萬累積傷害","2023/04/17 16:00:00","31003202","7004","20","1003"
"31003203","3007","3","2023/04/24 15:59:59","10000000","0","對好朋友X＆無名的藝術造成1000萬累積傷害","2023/04/17 16:00:00","31003203","7004","20","1003"
"31003204","3007","3","2023/04/24 15:59:59","120000000","0","對好朋友X＆無名的藝術造成1億2000萬累積傷害","2023/04/17 16:00:00","31003204","7004","20","1003"
"31003211","3007","3","2023/04/24 15:59:59","1","2500000","在1場戰鬥中對好朋友X＆無名的藝術造成250萬傷害","2023/04/17 16:00:00","31003211","7005","21","1003"
"31003212","3007","3","2023/04/24 15:59:59","1","5000000","在1場戰鬥中對好朋友X＆無名的藝術造成500萬傷害","2023/04/17 16:00:00","31003212","7005","21","1003"
"31003213","3007","3","2023/04/24 15:59:59","1","24000000","在1場戰鬥中對好朋友X＆無名的藝術造成2400萬傷害","2023/04/17 16:00:00","31003213","7005","21","1003"
