77fef636374fa56ab510f31e8a59a81e2c6f1857bb31d2dc5c5cf58cf392134d,860712fffbafb35a2a093d75b977ccf8a1faf16449b822d5cd3051a0637e09fe,f7830416f5ee6ce2d6cabb7e6f9319d97d9e38cb903a9a10a87cbb5795716cb2,8119e1869836407202c94bccd5fd77010300168229fc298d74adbde3ec6e8fe4,d0b513738eb4b5584cb556fa2103f5f821275e5802fecf9cd0da3dc3debc77f8
"1052","72","2","0","235"
"1052","73","3","0","236"
"1052","74","4","0","237"
"1052","75","5","0","238"
"1053","76","1","0","240"
"1053","77","2","0","241"
"1053","78","3","0","242"
"1053","79","4","0","243"
"1053","80","5","0","244"
"1054","81","1","0","246"
"1054","82","2","0","247"
"1054","83","3","0","248"
"1054","84","4","0","249"
"1054","85","5","0","250"
"1055","86","1","0","252"
"1055","87","2","0","253"
"1055","88","3","0","254"
"1055","89","4","0","255"
"1055","90","5","0","256"
"1056","91","1","0","258"
"1056","92","2","0","259"
"1056","93","3","0","260"
"1056","94","4","0","261"
"1056","95","5","0","262"
"1057","96","1","0","264"
"1057","97","2","0","265"
"1057","98","3","0","266"
"1057","99","4","0","267"
"1057","100","5","0","268"
"1058","101","1","0","270"
"1058","102","2","0","271"
"1058","103","3","0","272"
"1058","104","4","0","273"
"1058","105","5","0","274"
"1059","106","1","0","276"
"1059","107","2","0","277"
"1059","108","3","0","278"
"1059","109","4","0","279"
"1060","111","1","0","282"
"1060","112","2","0","283"
"1060","113","3","0","284"
"1060","114","4","0","285"
"1061","116","1","0","288"
"1061","117","2","0","289"
"1061","118","3","0","290"
"1061","119","4","0","291"
"1063","121","1","0","294"
"1063","122","2","0","295"
"1063","123","3","0","296"
"1063","124","4","0","297"
"1064","125","1","0","299"
"1064","126","2","0","300"
"1064","127","3","0","301"
"1064","128","4","0","302"
"1065","129","1","0","304"
"1065","130","2","0","305"
"1065","131","3","0","306"
"1065","132","4","0","307"
"1066","133","1","0","308"
"1066","134","2","0","310"
"1066","135","3","0","311"
"1066","136","4","0","312"
"1067","137","1","0","313"
"1067","138","2","0","315"
"1067","139","3","0","316"
"1067","140","4","0","317"
"1068","141","1","0","318"
"1068","142","2","0","320"
"1068","143","3","0","321"
"1068","144","4","0","322"
"1069","145","1","0","323"
"1069","146","2","0","325"
"1069","147","3","0","326"
"1069","148","4","0","327"
"1070","149","1","0","328"
"1070","150","2","0","330"
"1070","151","3","0","331"
"1070","152","4","0","332"
"1071","153","1","0","333"
"1071","154","2","0","335"
"1071","155","3","0","336"
"1071","156","4","0","337"
"1072","157","1","0","338"
"1072","158","2","0","340"
"1072","159","3","0","341"
"1072","160","4","0","342"
"1073","161","1","0","343"
"1073","162","2","0","345"
"1073","163","3","0","346"
"1073","164","4","0","347"
"1074","165","1","0","348"
"1074","166","2","0","350"
"1074","167","3","0","351"
"1074","168","4","0","352"
"1075","169","1","0","353"
"1075","170","2","0","355"
"1075","171","3","0","356"
"1075","172","4","0","357"
"1076","173","1","0","358"
"1076","174","2","0","360"
"1076","175","3","0","361"
"1076","176","4","0","362"
"1077","177","1","0","363"
"1077","178","2","0","365"
"1077","179","3","0","366"
"1077","180","4","0","367"
"1078","181","1","0","368"
"1078","182","2","0","370"
"1078","183","3","0","371"
"1078","184","4","0","372"
"1079","185","1","0","373"
"1079","186","2","0","375"
"1079","187","3","0","376"
"1079","188","4","0","377"
"1080","189","1","0","378"
"1080","190","2","0","380"
"1080","191","3","0","381"
"1080","192","4","0","382"
"1081","193","1","0","383"
"1081","194","2","0","385"
"1081","195","3","0","386"
"1081","196","4","0","387"
"1082","197","1","0","388"
"1082","198","2","0","390"
"1082","199","3","0","391"
"1082","200","4","0","392"
"1083","201","1","0","393"
"1083","202","2","0","395"
"1083","203","3","0","396"
"1083","204","4","0","397"
"1084","205","1","0","398"
"1084","206","2","0","400"
"1084","207","3","0","401"
"1084","208","4","0","402"
"1085","209","1","0","403"
"1085","210","2","0","405"
"1085","211","3","0","406"
"1085","212","4","0","407"
"1086","213","1","0","408"
"1086","214","2","0","410"
"1086","215","3","0","411"
"1086","216","4","0","412"
"1087","217","1","0","413"
"1087","218","2","0","415"
"1087","219","3","0","416"
"1087","220","4","0","417"
"1088","221","1","0","418"
"1088","222","2","0","420"
"1088","223","3","0","421"
"1088","224","4","0","422"
"1089","225","1","0","423"
"1089","226","2","0","425"
"1089","227","3","0","426"
"1089","228","4","0","427"
