dcf907ffda1ab7df9ee44f444e9841cd569c34ae72d328559d9a1fadf6828cde,dc24a80f10c243d461f03734aba5b4e1c572694734b590bc90f3ded7a267cff6,b7fd266bc09a8856460baa2e68abdee1a2e114476b8b7a538c5e2160ad97ba8d,b9734ed12a9b901d639763d87537c218dda6d8322ad4b3a320a452cf66e2ba45,38cd74a207b444ec63e405b55526c2260fa4d2b771c0b49a27eab793f09f5c9d,7f88be969242ef2584bd760606a80c24f595984e987807786b3137343d6d47bd,80c370894d05471d348b5bee7a1c13eed13c82a1faacd5583617487f9f786755,d9384b7ce1cfbaeb343453faf69c220d289095d4ccb2bbaa54cde9e04173f726,16970bc68fae004fa8704bfe811c44f669f31b15835c5446cf3598d61243699e,e1cada6c448a64111058cf22b2cf63203c9ebc73830e11b1c144ea0e9e0fff2d,0b76e9da4a996bc45d063fc2ed1fe0d3c09962b04561fe8409a483e51b047ba8,ae4eb04801d72fba1ffd26a5e7532d73d0114efb946569f267bf3ddb51938d0e,f7c0bbc56a279daf5488d166f0c0362354572f176e96a3d8f443f5be4b7eeaa1,982fd9506d4b66beef470ff58e7abc45bd101d2424dceb814c000ec00ecc5f57,f74b8a8aabc920928a6b42f2059d228015cc68086da56297ebcb37fd3a1da764,4e4e36448a0adf14b695c5a543c865dc302a8b48b55f9c576be2b38142cf3037,b588ca17cb4f74442033443da8879d0d91ba591156c5d4dac09cec412c53add7,a44a8a9966f36ced4b9423e35a54f1aeb30a5c54f49f7de7ce1c1c38746a50f6,be5e024034d08dc08c4b8d80eb64ad6fa4201b0fbad5d8239fdfb01fcd8374c0,86d17c6a5f0b3a54e9e7f8b9ab6ee9e10d50c76e583ab0882b43487f74dc21d1,f227d409492555932311c008bdf4f3d45f8db655495ca89952b5a8318ce6d20f,21bded07036f4a41ca6c0effba03ff61106dfa6d3a7d43e849235b1a5ebf2651,d1ad48d14eee12275f9022ff2e828e88407bee5bdec9ae2a70f64976deb5b22a,a89bd3a5d6ccd6c06cd4604fd0470f48b107eeb642dc71e54626b772ab494881,75cfa08c0ce2c8a0ecbf2e6c266eb1ae090d297a9e96e585646add1300c4ef61,1b2d4683c8a368e0440663568a05363418dbd90a58ee8c0ff5f17eb1bbbb0070,c05b2363fdf5073d321fbafd58c2825f74e82d688b10ee1463eeb5abe232d00a,2f90859c7a42ca0eb0d7a92ab3aa14036d0a46d32a7002aa34addc4db7330ab5,2f09ca28325f764ab885b1008ba66327e854a3cf839b2ee65405cc84811bd3a9,31cda6053f56b29f231eb797af036236091b11b1f1ed10d94a2ff98b493f2016,25197edec11c08b02f3e6da63d5d2073d6fc63dffe2df262793c7bbde4e456a6,60efe700c4591ce58149901121e09158dad304bc1f64fd6d348a98f93c4ba9d5,80cbf300181682c2a22c2bcfb77d0e93e2d08754c69bcd0c0225c301237af901,52b9382ba53f51c18dc565286abec55b86e9e246017c9941d54e898531baae9d,a110735c1054f1b3ef907d8b3b6733398097a413f7718927202656bc53ac674d,232e50a510f4497fcc818015e51f8e3e78e5ffc91418c9277796e748c22a7403,42b868b173f8418479b7ec76156f79ece80bbee1fdff2b6e4572d57115e0781e,ce1ea3ab1fdd0b7be83bbcffa9e6aee86d1d8c8fe89ed805ee5ac47dddf84cb3,9023b0ede5e9b5a3dbecce5ab81e9ecaffddf35dcde4a047757deb426858ff9f
"30","1004109","10120104","1012","0.06","2","1004107","3","0","1004106","2.5","10120105","1004108","0","1004207","710121","3","1004206","401040941","1001303","2","2","-1","401040921","2.5","11","1004208","401040931","10120101","401040951","100000","10120102","1004210","10120103","1","1004209","12","1004110","401040911"
"31","1004104","10130104","1013","0.03","1","1004102","1.5","0","1004101","1.3","10130105","1004103","0","1004202","710011","1","1004201","401040991","1001301","1","1","1","401040971","1.3","1","1004203","401040981","10130101","401041001","100000","10130102","1004205","10130103","1","1004204","2","1004105","401040961"
"32","1004109","10130104","1013","0.03","1","1004107","1.5","0","1004106","1.3","10130105","1004108","0","1004207","710011","1","1004206","401040991","1001303","1","1","3","401040971","1.3","2","1004208","401040981","10130101","401041001","100000","10130102","1004210","10130103","1","1004209","2","1004110","401040961"
"33","1004104","10130104","1013","0.06","1.4","1004102","2","0","1004101","1.8","10130105","1004103","0","1004202","710011","2","1004201","401041041","1001303","2","1.4","10","401041021","1.8","4","1004203","401041031","10130101","401041051","100000","10130102","1004205","10130103","1","1004204","5","1004105","401041011"
"34","1004109","10130104","1013","0.06","2","1004107","3","0","1004106","2.5","10130105","1004108","0","1004207","710011","3","1004206","401041091","1001303","2","2","-1","401041071","2.5","11","1004208","401041081","10130101","401041101","100000","10130102","1004210","10130103","1","1004209","12","1004110","401041061"
"35","1004104","10140104","1014","0.03","1","1004102","1.5","0","1004101","1.3","10140105","1004103","0","1004202","710021","1","1004201","401041141","1001301","1","1","1","401041121","1.3","1","1004203","401041131","10140101","401041151","100000","10140102","1004205","10140103","1","1004204","2","1004105","401041111"
"36","1004109","10140104","1014","0.03","1","1004107","1.5","0","1004106","1.3","10140105","1004108","0","1004207","710021","1","1004206","401041141","1001303","1","1","3","401041121","1.3","2","1004208","401041131","10140101","401041151","100000","10140102","1004210","10140103","1","1004209","2","1004110","401041111"
"37","1004104","10140104","1014","0.06","1.4","1004102","2","0","1004101","1.8","10140105","1004103","0","1004202","710021","2","1004201","401041191","1001303","2","1.4","10","401041171","1.8","4","1004203","401041181","10140101","401041201","100000","10140102","1004205","10140103","1","1004204","5","1004105","401041161"
"38","1004109","10140104","1014","0.06","2","1004107","3","0","1004106","2.5","10140105","1004108","0","1004207","710021","3","1004206","401041241","1001303","2","2","-1","401041221","2.5","11","1004208","401041231","10140101","401041251","100000","10140102","1004210","10140103","1","1004209","12","1004110","401041211"
"39","1004104","10150104","1015","0.03","1","1004102","1.5","0","1004101","1.3","10150105","1004103","0","1004202","710031","1","1004201","401041291","1001301","1","1","1","401041271","1.3","1","1004203","401041281","10150101","401041301","100000","10150102","1004205","10150103","1","1004204","2","1004105","401041261"
"40","1004109","10150104","1015","0.03","1","1004107","1.5","0","1004106","1.3","10150105","1004108","0","1004207","710031","1","1004206","401041291","1001303","1","1","3","401041271","1.3","2","1004208","401041281","10150101","401041301","100000","10150102","1004210","10150103","1","1004209","2","1004110","401041261"
"41","1004104","10150104","1015","0.06","1.4","1004102","2","0","1004101","1.8","10150105","1004103","0","1004202","710031","2","1004201","401041341","1001303","2","1.4","10","401041321","1.8","4","1004203","401041331","10150101","401041351","100000","10150102","1004205","10150103","1","1004204","5","1004105","401041311"
"42","1004109","10150104","1015","0.06","2","1004107","3","0","1004106","2.5","10150105","1004108","0","1004207","710031","3","1004206","401041391","1001303","2","2","-1","401041371","2.5","11","1004208","401041381","10150101","401041401","100000","10150102","1004210","10150103","1","1004209","12","1004110","401041361"
"43","1004104","10160104","1016","0.03","1","1004102","1.5","0","1004101","1.3","10160105","1004103","0","1004202","710041","1","1004201","401041441","1001301","1","1","1","401041421","1.3","1","1004203","401041431","10160101","401041451","100000","10160102","1004205","10160103","1","1004204","2","1004105","401041411"
"44","1004109","10160104","1016","0.03","1","1004107","1.5","0","1004106","1.3","10160105","1004108","0","1004207","710041","1","1004206","401041441","1001303","1","1","3","401041421","1.3","2","1004208","401041431","10160101","401041451","100000","10160102","1004210","10160103","1","1004209","2","1004110","401041411"
"45","1004109","10160104","1016","0.06","1.4","1004107","2","0","1004106","1.8","10160105","1004108","0","1004207","710041","2","1004206","401041491","1001303","2","1.4","10","401041471","1.8","4","1004208","401041481","10160101","401041501","100000","10160102","1004210","10160103","1","1004209","5","1004110","401041461"
"46","1004109","10160104","1016","0.06","2","1004107","3","0","1004106","2.5","10160105","1004108","0","1004207","710041","3","1004206","401041541","1001303","2","2","-1","401041521","2.5","11","1004208","401041531","10160101","401041551","100000","10160102","1004210","10160103","1","1004209","12","1004110","401041511"
"47","1004104","10170104","1017","0.03","1","1004102","1.5","0","1004101","1.3","10170105","1004103","0","1004202","710051","1","1004201","401041741","1001301","1","1","1","401041721","1.3","1","1004203","401041731","10170101","401041751","100000","10170102","1004205","10170103","1","1004204","2","1004105","401041711"
"48","1004109","10170104","1017","0.03","1","1004107","1.5","0","1004106","1.3","10170105","1004108","0","1004207","710051","1","1004206","401041741","1001303","1","1","3","401041721","1.3","2","1004208","401041731","10170101","401041751","100000","10170102","1004210","10170103","1","1004209","2","1004110","401041711"
"49","1004109","10170104","1017","0.06","1.4","1004107","2","0","1004106","1.8","10170105","1004108","0","1004207","710051","2","1004206","401041791","1001303","2","1.4","10","401041771","1.8","4","1004208","401041781","10170101","401041801","100000","10170102","1004210","10170103","1","1004209","5","1004110","401041761"
"50","1004109","10170104","1017","0.06","2","1004107","3","0","1004106","2.5","10170105","1004108","0","1004207","710051","3","1004206","401041841","1001303","2","2","-1","401041821","2.5","11","1004208","401041831","10170101","401041851","100000","10170102","1004210","10170103","1","1004209","12","1004110","401041811"
"51","1004104","10180104","1018","0.03","1","1004102","1.5","0","1004101","1.3","10180105","1004103","0","1004202","710061","1","1004201","401041891","1001301","1","1","1","401041871","1.3","1","1004203","401041881","10180101","401041901","100000","10180102","1004205","10180103","1","1004204","2","1004105","401041861"
"52","1004109","10180104","1018","0.03","1","1004107","1.5","0","1004106","1.3","10180105","1004108","0","1004207","710061","1","1004206","401041891","1001303","1","1","3","401041871","1.3","2","1004208","401041881","10180101","401041901","100000","10180102","1004210","10180103","1","1004209","2","1004110","401041861"
"53","1004109","10180104","1018","0.06","1.4","1004107","2","0","1004106","1.8","10180105","1004108","0","1004207","710061","2","1004206","401041941","1001303","2","1.4","10","401041921","1.8","4","1004208","401041931","10180101","401041951","100000","10180102","1004210","10180103","1","1004209","5","1004110","401041911"
"54","1004109","10180104","1018","0.06","2","1004107","3","0","1004106","2.5","10180105","1004108","0","1004207","710061","3","1004206","401041991","1001303","2","2","-1","401041971","2.5","11","1004208","401041981","10180101","401042001","100000","10180102","1004210","10180103","1","1004209","12","1004110","401041961"
"55","1004104","10190104","1019","0.03","1","1004102","1.5","0","1004101","1.3","10190105","1004103","0","1004202","710071","1","1004201","401042191","1001301","1","1","1","401042171","1.3","1","1004203","401042181","10190101","401042201","1000000","10190102","1004205","10190103","1","1004204","2","1004105","401042161"
"56","1004109","10190104","1019","0.03","1","1004107","1.5","0","1004106","1.3","10190105","1004108","0","1004207","710071","1","1004206","401042191","1001303","1","1","3","401042171","1.3","2","1004208","401042181","10190101","401042201","1000000","10190102","1004210","10190103","1","1004209","2","1004110","401042161"
"57","1004109","10190104","1019","0.06","1.4","1004107","2","0","1004106","1.8","10190105","1004108","0","1004207","710071","2","1004206","401042241","1001303","2","1.4","10","401042221","1.8","4","1004208","401042231","10190101","401042251","1000000","10190102","1004210","10190103","1","1004209","5","1004110","401042211"
"58","1004109","10190104","1019","0.06","2","1004107","3","0","1004106","2.5","10190105","1004108","0","1004207","710071","3","1004206","401042291","1001303","2","2","-1","401042271","2.5","11","1004208","401042281","10190101","401042301","1000000","10190102","1004210","10190103","1","1004209","12","1004110","401042261"
"59","1004104","10200104","1020","0.03","1","1004102","1.5","0","1004101","1.3","10200105","1004103","0","1004202","710081","1","1004201","401042491","1001301","1","1","1","401042471","1.3","1","1004203","401042481","10200101","401042501","1000000","10200102","1004205","10200103","1","1004204","2","1004105","401042461"
"60","1004109","10200104","1020","0.03","1","1004107","1.5","0","1004106","1.3","10200105","1004108","0","1004207","710081","1","1004206","401042491","1001303","1","1","3","401042471","1.3","2","1004208","401042481","10200101","401042501","1000000","10200102","1004210","10200103","1","1004209","2","1004110","401042461"
"61","1004109","10200104","1020","0.06","1.4","1004107","2","0","1004106","1.8","10200105","1004108","0","1004207","710081","2","1004206","401042541","1001303","2","1.4","10","401042521","1.8","4","1004208","401042531","10200101","401042551","1000000","10200102","1004210","10200103","1","1004209","5","1004110","401042511"
"62","1004109","10200104","1020","0.06","2","1004107","3","0","1004106","2.5","10200105","1004108","0","1004207","710081","3","1004206","401042591","1001303","2","2","-1","401042571","2.5","11","1004208","401042581","10200101","401042601","1000000","10200102","1004210","10200103","1","1004209","12","1004110","401042561"
"63","1004104","10210104","1021","0.03","1.2","1004102","1.5","0","1004101","1.4","10210105","1004103","0","1004202","710091","1","1004201","401042791","1001301","1","1.2","1","401042771","1.3","1","1004203","401042781","10210101","401042801","1000000","10210102","1004205","10210103","1","1004204","2","1004105","401042761"
"64","1004109","10210104","1021","0.03","1.2","1004107","1.5","0","1004106","1.4","10210105","1004108","0","1004207","710091","1","1004206","401042791","1001303","1","1.2","3","401042771","1.3","2","1004208","401042781","10210101","401042801","1000000","10210102","1004210","10210103","1","1004209","2","1004110","401042761"
"65","1004109","10210104","1021","0.06","1.6","1004107","2","0","1004106","1.9","10210105","1004108","0","1004207","710091","2","1004206","401042841","1001303","2","1.6","10","401042821","1.8","4","1004208","401042831","10210101","401042851","1000000","10210102","1004210","10210103","1","1004209","5","1004110","401042811"
"66","1004109","10210104","1021","0.06","2","1004107","2.6","0","1004106","2.4","10210105","1004108","0","1004207","710091","3","1004206","401042891","1001303","2","2","-1","401042871","2.4","11","1004208","401042881","10210101","401042901","1000000","10210102","1004210","10210103","1","1004209","12","1004110","401042861"
"67","1004104","10220104","1022","0.03","1.2","1004102","1.5","0","1004101","1.4","10220105","1004103","0","1004202","710101","1","1004201","401043141","1001301","1","1.2","1","401043121","1.3","1","1004203","401043131","10220101","401043151","1000000","10220102","1004205","10220103","1","1004204","2","1004105","401043111"
"68","1004109","10220104","1022","0.03","1.2","1004107","1.5","0","1004106","1.4","10220105","1004108","0","1004207","710101","1","1004206","401043141","1001303","1","1.2","3","401043121","1.3","2","1004208","401043131","10220101","401043151","1000000","10220102","1004210","10220103","1","1004209","2","1004110","401043111"
"69","1004109","10220104","1022","0.06","1.6","1004107","2","0","1004106","1.9","10220105","1004108","0","1004207","710101","2","1004206","401043191","1001303","2","1.6","10","401043171","1.8","4","1004208","401043181","10220101","401043201","1000000","10220102","1004210","10220103","1","1004209","5","1004110","401043161"
"70","1004109","10220104","1022","0.06","2","1004107","2.6","0","1004106","2.4","10220105","1004108","0","1004207","710101","3","1004206","401043241","1001303","2","2","-1","401043221","2.4","11","1004208","401043231","10220101","401043251","1000000","10220102","1004210","10220103","1","1004209","12","1004110","401043211"
"71","1004104","10230104","1023","0.03","1.2","1004102","1.5","0","1004101","1.4","10230105","1004103","0","1004202","710111","1","1004201","401043491","1001301","1","1.2","1","401043471","1.3","1","1004203","401043481","10230101","401043501","1000000","10230102","1004205","10230103","1","1004204","2","1004105","401043461"
"72","1004109","10230104","1023","0.03","1.2","1004107","1.5","0","1004106","1.4","10230105","1004108","0","1004207","710111","1","1004206","401043491","1001303","1","1.2","3","401043471","1.3","2","1004208","401043481","10230101","401043501","1000000","10230102","1004210","10230103","1","1004209","2","1004110","401043461"
"73","1004109","10230104","1023","0.06","1.6","1004107","2","0","1004106","1.9","10230105","1004108","0","1004207","710111","2","1004206","401043541","1001303","2","1.6","10","401043521","1.8","4","1004208","401043531","10230101","401043551","1000000","10230102","1004210","10230103","1","1004209","5","1004110","401043511"
"74","1004109","10230104","1023","0.06","2","1004107","2.6","0","1004106","2.4","10230105","1004108","0","1004207","710111","3","1004206","401043591","1001303","2","2","-1","401043571","2.4","11","1004208","401043581","10230101","401043601","1000000","10230102","1004210","10230103","1","1004209","12","1004110","401043561"
"75","1004104","10240104","1024","0.03","1.2","1004102","1.5","0","1004101","1.4","10240105","1004103","0","1004202","710121","1","1004201","401043791","1001301","1","1.2","1","401043771","1.3","1","1004203","401043781","10240101","401043801","1000000","10240102","1004205","10240103","1","1004204","1","1004105","401043761"
"76","1004109","10240104","1024","0.03","1.2","1004107","1.5","0","1004106","1.4","10240105","1004108","0","1004207","710121","1","1004206","401043791","1001303","1","1.2","3","401043771","1.3","2","1004208","401043781","10240101","401043801","1000000","10240102","1004210","10240103","1","1004209","1","1004110","401043761"
"77","1004109","10240104","1024","0.06","1.6","1004107","2","0","1004106","1.9","10240105","1004108","0","1004207","710121","2","1004206","401043841","1001303","2","1.6","10","401043821","1.8","4","1004208","401043831","10240101","401043851","1000000","10240102","1004210","10240103","1","1004209","4","1004110","401043811"
"78","1004109","10240104","1024","0.06","2","1004107","2.6","0","1004106","2.4","10240105","1004108","0","1004207","710121","3","1004206","401043891","1001303","2","2","34","401043871","2.4","11","1004208","401043881","10240101","401043901","1000000","10240102","1004210","10240103","1","1004209","11","1004110","401043861"
"79","1004109","10240104","1024","0.06","3.5","1004107","4","0","1004106","3.8","10240105","1004108","0","1004207","710121","4","1004206","401043941","1001303","2","3.5","-1","401043921","3.7","35","1004208","401043931","10240101","401043951","1000000","10240102","1004210","10240103","1","1004209","35","1004110","401043911"
