21f772a600462a3975dd3799730c9c90a8b0c2e4adc217be0764ba59c141a9de,67a05ea10b08274785f7df470c05a8a54c6cae69dba2fca31ac1cf4ecc36b04b,08798652d1146494fcebc188046353aaeebc6f94869f5bf3f7c821d7f3d380d3
"111301","11130101","1"
"111401","11140101","5"
"111501","11150101","2"
"111601","11160101","2"
"111701","11170101","2"
"111801","11180101","4"
"111901","11190101","4"
"112001","11200101","5"
"112101","11210101","4"
"112201","11220101","4"
"112301","11230101","4"
"112401","11240101","4"
"112501","11250101","2"
"112601","11260101","1"
"112701","11270101","3"
"112801","11280101","3"
"112901","11290101","3"
"113001","11300101","3"
"113101","11310101","2"
"113201","11320101","2"
"113301","11330101","2"
"113401","11340101","2"
"113501","11350101","2"
"113601","11360101","1"
"113701","11370101","4"
"113801","11380101","4"
"113901","11390101","5"
"114001","11400101","5"
"114101","11410101","5"
"114201","11420101","4"
"114301","11430101","4"
"114401","11440101","4"
"114501","11450101","4"
"114601","11460101","4"
"114701","11470101","1"
"115001","11500101","3"
"115501","11550101","3"
"115601","11560101","3"
"115701","11570101","2"
"115801","11580101","4"
"115901","11590101","4"
"116001","11600101","4"
"116201","11620101","3"
"116301","11630101","3"
"116401","11640101","3"
"116501","11650101","1"
"116601","11660101","3"
"116701","11670101","1"
"116801","11680101","1"
"116901","11690101","1"
"117001","11700101","2"
"117101","11710101","2"
"117201","11720101","2"
"117301","11730101","2"
"117401","11740101","2"
"117501","11750101","5"
"117601","11760101","4"
"117701","11770101","1"
"117801","11780101","1"
"117901","11790101","5"
"118001","11800101","4"
"118101","11810101","5"
"118201","11820101","5"
"118501","11850101","3"
"118601","11860101","4"
"119001","11900101","5"
"119101","11910101","5"
"119201","11920101","3"
"119301","11930101","4"
"119901","11990101","2"
"120001","12000101","5"
"120701","12070101","4"
"120801","12080101","2"
"120901","12090101","5"
"121001","12100101","4"
"121101","12110101","4"
"121201","12120101","4"
"121301","12130101","4"
"121401","12140101","5"
"121501","12150101","5"
"121601","12160101","5"
"121901","12190101","2"
"122001","12200101","2"
"122101","12210101","3"
"122201","12220101","3"
"122301","12230101","5"
"122401","12240101","2"
"122501","12250101","2"
"122601","12260101","2"
"122701","12270101","2"
"122801","12280101","1"
"122901","12290101","2"
"123001","12300101","4"
"123101","12310101","3"
"123201","12320101","3"
"123301","12330101","2"
"123501","12350101","5"
"123601","12360101","1"
"123701","12370101","1"
"123801","12380101","3"
"123901","12390101","1"
"124001","12400101","3"
"124101","12410101","3"
"124201","12420101","4"
"124501","12450101","1"
"124601","12460101","4"
"124701","12470101","5"
"124801","12480101","4"
"124901","12490101","4"
"125001","12500101","4"
"125101","12510101","3"
"125201","12520101","3"
"125301","12530101","3"
"125401","12540101","3"
"125501","12550101","5"
"125601","12560101","5"
"125701","12570101","5"
"125801","12580101","5"
"126001","12600101","5"
"126101","12610101","5"
"126201","12620101","3"
"126301","12630101","3"
"126401","12640101","4"
"126501","12650101","4"
"126601","12660101","2"
"126701","12670101","1"
"126801","12680101","2"
"126901","12690101","2"
"127001","12700101","2"
"127101","12710101","5"
"127201","12720101","1"
"127301","12730101","4"
"127501","12750101","1"
"127601","12760101","2"
"127701","12770101","1"
"127801","12780101","1"
"127901","12790101","2"
"128001","12800101","4"
"128301","12830101","1"
"128401","12840101","4"
"128501","12850101","1"
"128701","12870101","1"
"128801","12880101","3"
"128901","12890101","4"
"129001","12900101","5"
"129301","12930101","2"
"129401","12940101","2"
"129501","12950101","2"
"129601","12960101","3"
"129701","12970101","1"
"129801","12980101","5"
"129901","12990101","5"
"130001","13000101","5"
"130101","13010101","3"
"130201","13020101","1"
"130701","13070101","3"
"130801","13080101","3"
"130901","13090101","4"
"131001","13100101","4"
"131101","13110101","1"
"131201","13120101","3"
"131601","13160101","2"
"131701","13170101","2"
"131801","13180101","5"
"131901","13190101","3"
"132001","13200101","5"
"132101","13210101","4"
"132201","13220101","2"
"132301","13230101","1"
"132401","13240101","4"
"132501","13250101","2"
"132801","13280101","1"
"132901","13290101","4"
"133001","13300101","5"
"133101","13310101","5"
"133201","13320101","4"
"133501","13350101","4"
"133601","13360101","5"
"133701","13370101","2"
"133801","13380101","5"
"133901","13390101","5"
"134001","13400101","3"
"134301","13430101","3"
"134401","13440101","3"
"134501","13450101","1"
"134601","13460101","4"
"134701","13470101","1"
"134801","13480101","4"
"134901","13490101","1"
"135001","13500101","3"
"135101","13510101","4"
"135201","13520101","3"
"135301","13530101","3"
"135401","13540101","4"
"135501","13550101","1"
"135601","13560101","3"
"135701","13570101","5"
"135801","13580101","2"
"135901","13590101","5"
"136001","13600101","1"
"136101","13610101","5"
"136201","13620101","1"
"136301","13630101","2"
"136401","13640101","1"
"136501","13650101","3"
"137101","13710101","2"
"137401","13740101","4"
"137601","13760101","3"
"137901","13790101","4"
"138001","13800101","2"
"138101","13810101","3"
"138201","13820101","4"
"170101","17010101","4"
"180101","18010101","1"
"180201","18020101","4"
"180301","18030101","3"
"180401","18040101","4"
"180501","18050101","3"
"180601","18060101","5"
"180701","18070101","4"
"180801","18080101","4"
"180901","18090101","1"
"181001","18100101","1"
"181101","18110101","4"
"181201","18120101","2"
"403101","40310101","5"
"403102","40310201","5"
"403103","40310301","5"
"404201","40420101","3"
"404205","40420501","3"
"407001","40700101","4"
"407701","40770101","2"
"407702","40770201","2"
"408401","40840101","2"
"408402","40840201","2"
"408403","40840301","2"
"418101","41810101","5"
"423301","42330101","2"
"423302","42330201","2"
"425801","42580101","5"
"425802","42580201","5"
"426201","42620101","3"
"426202","42620201","3"
"427101","42710101","5"
"430101","43010101","3"
"431901","43190101","3"
"433801","43380101","5"
"435601","43560101","3"
