f142a9b88cb66bef8e08e3bdc425c96489495e237a2a70e63262b89674a9b053,800e9d05514074e6df13402bef8346823e8623711879585373fa27736d6402bd,3e063e272af1c86905bc24587b04f906a29952f53e9e3c5faa50b54242b7122f,c089da5f07514100c8673943e1563aacf44cc93ca4ed058545e207ff99c7ed6a,e61fc97a788687a3292e3f42c1c9f92bf7e394ccf4ae404f50b454dc994310fe
"Boss怪物的必殺技會受到強化。","Boss UB強化","boss_ub_enhance","74001305","24"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP","energy_recover","74001305","25"
"戰鬥開始時，Boss怪物的魔法傷害為減少100%的狀態。","Boss魔法傷害降低","boss_magic_cut","74001305","26"
"追加靜流（夏日）與克莉絲提娜的闇影。","追加2隻闇影","add_shadow","74001305","27"
"戰鬥開始時，Boss怪物的物理傷害為減少20%的狀態。","Boss物理傷害降低","boss_physics_cut","74001401","28"
"戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","Boss物理傷害降低","boss_physics_cut","74001402","29"
"追加空花（大江戶）的闇影。","追加1隻闇影","add_shadow","74001402","30"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP","energy_recover","74001403","31"
"戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","Boss物理傷害降低","boss_physics_cut","74001403","32"
"追加空花（大江戶）與似似花的闇影。","追加2隻闇影","add_shadow","74001403","33"
"Boss怪物的必殺技會受到強化。","Boss UB強化","boss_ub_enhance","74001404","34"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP","energy_recover","74001404","35"
"戰鬥開始時，Boss怪物的物理傷害為減少70%的狀態。","Boss物理傷害降低","boss_physics_cut","74001404","36"
"追加空花（大江戶）與似似花的闇影。","追加2隻闇影","add_shadow","74001404","37"
"戰鬥時間變成60秒。","戰鬥時間限制","limit_time","74001405","38"
"Boss怪物的必殺技會受到強化。","Boss UB強化","boss_ub_enhance","74001405","39"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP","energy_recover","74001405","40"
"戰鬥開始時，Boss怪物的物理傷害為減少100%的狀態。","Boss物理傷害降低","boss_physics_cut","74001405","41"
"追加空花（大江戶）與似似花的闇影。","追加2隻闇影","add_shadow","74001405","42"
"戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","開始時提升攻擊力","boss_atk_up","74001502","43"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74001503","44"
"戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","開始時提升攻擊力","boss_atk_up","74001503","45"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74001504","46"
"Boss怪物的必殺技會受到強化。","Boss UB強化","boss_ub_enhance","74001504","47"
"戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","開始時提升攻擊力","boss_atk_up","74001504","48"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74001505","49"
"隊伍角色的最大HP降低20%。","降低角色的最大HP","max_hp_down","74001505","50"
"Boss怪物的必殺技會受到強化。","Boss UB強化","boss_ub_enhance","74001505","51"
"戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","開始時提升攻擊力","boss_atk_up","74001505","52"
"追加花凜的闇影。","追加1隻闇影","add_shadow","74002102","53"
"對宮子、優花梨、步未的闇影追加專用裝備。","強化闇影","star6_shadow","74002103","54"
"追加花凜的闇影。","追加1隻闇影","add_shadow","74002103","55"
"宮子、優花梨、步未的闇影變成★6。","強化闇影","star6_shadow","74002104","56"
"追加花凜的闇影。","追加1隻闇影","add_shadow","74002104","57"
"所有闇影的物理攻擊力大幅度提升。","提升闇影物理攻擊力","boss_atk_up","74002105","58"
"宮子、優花梨、步未的闇影變成★6。","強化闇影","star6_shadow","74002105","59"
"追加花凜的闇影。","追加1隻闇影","add_shadow","74002105","60"
"追加嘉夜（解放者）的闇影。","追加1隻闇影","add_shadow","74002202","61"
"對紡希（萬聖節）、真陽（聖誕節）、深月、霞（魔法少女）的闇影追加專用裝備。","強化闇影","star6_shadow","74002203","62"
"追加嘉夜（解放者）的闇影。","追加1隻闇影","add_shadow","74002203","63"
"深月的闇影變成★6。對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備。","強化闇影","star6_shadow","74002204","64"
"追加嘉夜（解放者）的闇影。","追加1隻闇影","add_shadow","74002204","65"
"所有闇影的魔法防禦力大幅度提升。","提升闇影魔法防禦力","boss_magic_def_up","74002205","66"
"對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備，且深月的闇影變成★6。","強化闇影","star6_shadow","74002205","67"
"追加嘉夜（解放者）的闇影。","追加1隻闇影","add_shadow","74002205","68"
"追加望的闇影。","追加1隻闇影","add_shadow","74002302","69"
"追加望與凱留（公主）的闇影。","追加2隻闇影","add_shadow","74002303","70"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74002304","71"
"望的闇影變成★6。對凱留（公主）的闇影追加專用裝備。","強化闇影","star6_shadow","74002304","72"
"追加望與凱留（公主）的闇影。","追加2隻闇影","add_shadow","74002304","73"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74002305","74"
"戰鬥開始時，Boss怪物特大幅度提升敵人全體的物理防禦力。","開始時提升物理防禦力","boss_def_up","74002305","75"
"戰鬥開始時，Boss怪物特大幅度提升敵人全體的魔法防禦力。","開始時提升魔法防禦力","boss_magic_def_up","74002305","76"
"望的闇影變成★6。對凱留（公主）的闇影追加專用裝備。","強化闇影","star6_shadow","74002305","77"
"追加望與凱留（公主）的闇影。","追加2隻闇影","add_shadow","74002305","78"
"追加綾音的闇影。","追加1隻闇影","add_shadow","74002402","79"
"追加綾音與貪吃佩可（夏日）的闇影。","追加2隻闇影","add_shadow","74002403","80"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74002404","81"
"綾音與貪吃佩可（夏日）的闇影變成★6。","強化闇影","star6_shadow","74002404","82"
"追加綾音與貪吃佩可（夏日）的闇影。","追加2隻闇影","add_shadow","74002404","83"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74002405","84"
"戰鬥開始時，Boss怪物特大幅度提升敵人全體的物理防禦力。","開始時提升物理防禦力","boss_def_up","74002405","85"
"戰鬥開始時，Boss怪物特大幅度提升敵人全體的魔法防禦力。","開始時提升魔法防禦力","boss_magic_def_up","74002405","86"
"綾音與貪吃佩可（夏日）的闇影變成★6。","強化闇影","star6_shadow","74002405","87"
"追加綾音與貪吃佩可（夏日）的闇影。","追加2隻闇影","add_shadow","74002405","88"
"戰鬥時間變成70秒。","戰鬥時間限制","limit_time","74002502","89"
"戰鬥時間變成60秒。","戰鬥時間限制","limit_time","74002503","90"
"戰鬥時間變成60秒。","戰鬥時間限制","limit_time","74002504","91"
"Boss怪物的必殺技會受到強化。","Boss UB強化","boss_ub_enhance","74002504","92"
"戰鬥時間變成45秒。","戰鬥時間限制","limit_time","74002505","93"
"Boss怪物的必殺技會受到強化。","Boss UB強化","boss_ub_enhance","74002505","94"
"對霞、初音、優衣（公主）的闇影追加專用裝備。","強化闇影","star6_shadow","74003102","95"
"追加雪的闇影。","追加1隻闇影","add_shadow","74003103","96"
"初音、雪的闇影變成★6。","強化闇影","star6_shadow","74003103","97"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74003104","98"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74003105","99"
"所有闇影的最大HP大幅度提升。","闇影提升最大HP","max_hp_up","74003105","100"
"追加詛咒‧遠古遺物。","追加1隻怪物","add_shadow","74003202","101"
"碧的闇影變成★6。","強化闇影","star6_shadow","74003203","102"
"戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少50%的狀態。","開始時魔法傷害降低","boss_magic_cut","74003204","103"
"強化詛咒‧遠古遺物的技能。","強化怪物","boss_ub_enhance","74003204","104"
"戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少75%的狀態。","開始時魔法傷害降低","boss_magic_cut","74003205","105"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74003205","106"
"追加治癒‧遠古遺物。","追加1隻怪物","add_shadow","74003302","107"
"對凱留（新年）的闇影追加專用裝備。","強化闇影","star6_shadow","74003303","108"
"戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少50%的狀態。","開始時物理傷害降低","boss_physics_cut","74003304","109"
"強化治癒‧遠古遺物的技能。","強化怪物","boss_ub_enhance","74003304","110"
"戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少75%的狀態。","開始時物理傷害降低","boss_physics_cut","74003305","111"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74003305","112"
"戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升Boss物理防禦力（不可降低）","boss_def_lower_limit","74003402","113"
"戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","74003402","114"
"戰鬥時間變成70秒。","戰鬥時間限制","limit_time","74003403","115"
"戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升Boss物理防禦力（不可降低）","boss_def_lower_limit","74003403","116"
"戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","74003403","117"
"戰鬥時間變成70秒。","戰鬥時間限制","limit_time","74003404","118"
"Boss怪物的必殺技會受到強化。","Boss UB強化","boss_ub_enhance","74003404","119"
"戰鬥開始時，Boss怪物的TP下降為減少100%的狀態。","減少降低Boss TP","boss_tp_down_cut","74003404","120"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升Boss物理防禦力（不可降低）","boss_def_lower_limit","74003404","121"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","74003404","122"
"戰鬥時間變成50秒。","戰鬥時間限制","limit_time","74003405","123"
"Boss怪物的必殺技會受到強化。","Boss UB強化","boss_ub_enhance","74003405","124"
"戰鬥開始時，Boss怪物的TP下降為減少100%的狀態。","減少降低Boss TP","boss_tp_down_cut","74003405","125"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升Boss物理防禦力（不可降低）","boss_def_lower_limit","74003405","126"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","74003405","127"
"戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升Boss物理防禦力（不可降低）","boss_def_lower_limit","74003502","128"
"戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","74003502","129"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升Boss物理防禦力（不可降低）","boss_def_lower_limit","74003503","130"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","74003503","131"
"追加露娜聚光燈。","追加1隻怪物","add_shadow","74003504","132"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升Boss物理防禦力（不可降低）","boss_def_lower_limit","74003504","133"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","74003504","134"
"追加霸瞳皇帝的闇影。","追加1隻闇影","add_shadow","74003505","135"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升Boss物理防禦力（不可降低）","boss_def_lower_limit","74003505","136"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit","74003505","137"
"對祈梨、咲戀、依里、優妮的闇影追加專用裝備。","強化闇影","star6_shadow","74004102","138"
"追加咲戀（夏日）的闇影。","追加1隻闇影","add_shadow","74004103","139"
"咲戀、依里的闇影變成★6。","強化闇影","star6_shadow","74004103","140"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74004104","141"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74004105","142"
"所有闇影的最大HP大幅度提升。","闇影提升最大HP","max_hp_up","74004105","143"
"追加守護‧遠古遺物。","追加1隻怪物","add_shadow","74004202","144"
"對似似花（新年）的闇影追加專用裝備。","強化闇影","star6_shadow","74004203","145"
"強化守護‧遠古遺物的技能。","強化怪物","boss_ub_enhance","74004204","146"
"戰鬥開始時，守護‧遠古遺物將特大幅度恢復我方全體的HP。","開始時恢復HP","hp_recover","74004204","147"
"戰鬥開始時，守護‧遠古遺物將特大幅度恢復我方全體的HP。","開始時恢復HP","hp_recover","74004205","148"
"戰鬥開始時，守護‧遠古遺物將賦予我方全體持續恢復TP的狀態。","開始時賦予持續恢復TP","energy_recover","74004205","149"
"追加戰鬥‧遠古遺物。","追加1隻怪物","add_shadow","74004302","150"
"莉瑪的闇影變成★6。","強化闇影","star6_shadow","74004303","151"
"強化戰鬥‧遠古遺物的技能。","強化怪物","boss_ub_enhance","74004304","152"
"戰鬥開始時，戰鬥‧遠古遺物將展開特大幅度提升我方全體行動速度的領域。","開始時展開提升行動速度領域","boss_haste","74004305","153"
"隊伍角色的最大HP降低20%。","降低角色的最大HP","max_hp_down","74004402","154"
"戰鬥時間變成75秒。","戰鬥時間限制","limit_time","74004403","155"
"隊伍角色的最大HP降低20%。","降低角色的最大HP","max_hp_down","74004403","156"
"戰鬥時間變成75秒。","戰鬥時間限制","limit_time","74004404","157"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74004404","158"
"隊伍角色的最大HP降低20%。","降低角色的最大HP","max_hp_down","74004404","159"
"戰鬥時間變成60秒。","戰鬥時間限制","limit_time","74004405","160"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74004405","161"
"隊伍角色的最大HP降低20%。","降低角色的最大HP","max_hp_down","74004405","162"
"隊伍角色的最大HP降低20%。","降低角色的最大HP","max_hp_down","74004502","163"
"Boss怪物的必殺技與技能會受到強化。","BossUB、技能強化","boss_ub_enhance","74004503","164"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","減少降低Boss TP","boss_tp_down_cut","74004503","165"
"隊伍角色的最大HP降低20%。","降低角色的最大HP","max_hp_down","74004503","166"
"追加露娜聚光燈。","追加1隻怪物","add_shadow","74004504","167"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","減少降低Boss TP","boss_tp_down_cut","74004504","168"
"隊伍角色的最大HP降低20%。","降低角色的最大HP","max_hp_down","74004504","169"
"追加綾音的闇影。","追加1隻闇影","add_shadow","74004505","170"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","減少降低Boss TP","boss_tp_down_cut","74004505","171"
"隊伍角色的最大HP降低20%。","降低角色的最大HP","max_hp_down","74004505","172"
"對莉瑪、嘉夜、祈梨、咲戀（夏日）的闇影追加專用裝備。","強化闇影","star6_shadow","74005102","173"
"莉瑪、嘉夜、祈梨的闇影變成★6。","強化闇影","star6_shadow","74005103","174"
"戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","物理傷害降低","boss_physics_cut","74005103","175"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74005104","176"
"戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","物理傷害降低","boss_physics_cut","74005104","177"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74005105","178"
"戰鬥開始時，所有怪物的物理傷害為減少100％的狀態。","物理傷害降低","boss_physics_cut","74005105","179"
"對宮子、怜（新年）、優花梨、初音、美咲（萬聖節）的闇影追加專用裝備。","強化闇影","star6_shadow","74005202","180"
"宮子、怜（新年）、優花梨、初音的闇影變成★6。","強化闇影","star6_shadow","74005203","181"
"戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","魔法傷害降低","boss_magic_cut","74005203","182"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74005204","183"
"戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","魔法傷害降低","boss_magic_cut","74005204","184"
"可以編組的角色變成4個。","編組角色人數限制","limit_chara_num","74005205","185"
"戰鬥開始時，所有怪物的魔法傷害為減少100％的狀態。","魔法傷害降低","boss_magic_cut","74005205","186"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","74005301","187"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升的上限","17","74005301","188"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","74005301","189"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","74005301","190"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","9","74005301","191"
"追加軟泥怪、雷雲長老。","追加怪物","add_shadow","74005302","192"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","74005302","193"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升的上限","17","74005302","194"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","74005302","195"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","74005302","196"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","9","74005302","197"
"追加優花梨、帆稀（新年）。","追加怪物","add_shadow","74005303","198"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","74005303","199"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升的上限","17","74005303","200"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","74005303","201"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","74005303","202"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","9","74005303","203"
"追加露娜聚光燈。","追加怪物","add_shadow","74005304","204"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","74005304","205"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升的上限","17","74005304","206"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","74005304","207"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","74005304","208"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","9","74005304","209"
"戰鬥時間變成60秒。","戰鬥時間限制","limit_time","74005305","210"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","74005305","211"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升的上限","17","74005305","212"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","74005305","213"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","74005305","214"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","9","74005305","215"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","74005401","216"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升的上限","17","74005401","217"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","74005401","218"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","74005401","219"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","9","74005401","220"
"追加岩龜暴君、鬼燈螢。","追加怪物","add_shadow","74005402","221"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","74005402","222"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升的上限","17","74005402","223"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","74005402","224"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","74005402","225"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","9","74005402","226"
"追加靜流（黑暗）、可可蘿（夏日）。","追加怪物","add_shadow","74005403","227"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","74005403","228"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升的上限","17","74005403","229"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","74005403","230"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","74005403","231"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","9","74005403","232"
"追加露娜聚光燈。","追加怪物","add_shadow","74005404","233"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","74005404","234"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升的上限","17","74005404","235"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","74005404","236"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","74005404","237"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","9","74005404","238"
"戰鬥時間變成60秒。","戰鬥時間限制","limit_time","74005405","239"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","74005405","240"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升的上限","17","74005405","241"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","74005405","242"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","74005405","243"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","9","74005405","244"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","74005501","245"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升的上限","17","74005501","246"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","74005501","247"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","74005501","248"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","9","74005501","249"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","74005501","250"
"追加魔像、烏帕魯帕。","追加怪物","add_shadow","74005502","251"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","74005502","252"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升的上限","17","74005502","253"
