fee2ee7dc7fc9a7c304e2c56508c9465c999318f269b469a010290eea9f9a2ce,a7d7f75851572a744b4fd6076f6e2cd19fc8130ea71d190fe1be6abb594a1299,351b2d0ea2a7f6c2375031797c0354b75f51629f5ef18e13b43029f9d00076a1,5151f206e53a718ff55056be439811a398242d845847e5e61ace2d4655711721,cfa3d5dbbabed28f95e03141a5a9902ac838e581f15f33c859796aa958f180bf,c354b47e75aa47bab02c5e7d1eb1a85b36ed0feddb22a7bad3245d31fa8fc987,13800286e62065d965612f91877a0ec48a2ddae3058ba9fd508ab15425d4da32,cc970ddc88d17b88cba9c4252c70bdd20808548520769b82911e87e699f970b7,a7cab29a43a2f99935c59deb02cd9bd0775fd7cfb6670440abebc0e0177c3b35,f1aa46c3c83f227a45d3bb8d47334cf9e50db8c8217ce307404f70e8d8851445,28ea9c862278945ca35550ccc1676e742100973e41de52850bd2b65746a27413,96501a1b0a529bef0d9d93d63e768e704e529b39e550251c27e1ae76f023c607,303c025899b7b6db1333f848382bc69a219b26b0ff54fa518bd21a9973ab4ae3
"普蕾西亞","2","1","20121001","0","提升COST上限３0％、\n提升移動速度15％。","提升COST上限跟移動速度","131511","0","0","201210","0","2222101"
"克蘿茜","2","1","20122001","0","提升攻擊力50％，\n戰鬥開始３秒內，提升攻擊速度20％。","提升攻擊力跟攻擊速度","126411","0","0","201220","0","2222201"
"萊拉耶爾","3","1","0","0","戰鬥開始３秒內，\n提升攻擊力３0％。","提升攻擊力","126511","0","0","201230","0","2222301"
"琳德","2","1","0","0","戰鬥開始３秒內，提升攻擊速度15％，\n然後提升攻擊力20％。","提升攻擊速度跟攻擊力","127711","0","0","201240","0","2222401"
"烏爾姆","2","1","0","0","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降20％。","降低自身的攻擊速度與敵人的攻擊力","127811","0","0","201250","0","2222501"
"庫露露","3","1","20126001","0","提升COST上限３0％、\n提升HP50％。","提升COST上限跟HP","130911","20126002","0","201260","0","0"
"安涅默涅","2","1","0","0","降低敵人的攻擊力跟攻擊速度15％。","降低對方的攻擊力跟攻擊速度","129611","0","0","201270","0","2222701"
"涅妃‧涅羅","3","1","0","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降３5％。","降低對方的移動速度","129711","0","0","201280","0","2222801"
"莉莉","2","1","20129001","0","提升攻擊力50％、\n提升移動速度20％。","提升攻擊力跟移動速度","131311","0","0","201290","0","2222901"
"琳德","2","1","0","0","戰鬥開始３秒內，提升攻擊速度20％，\n然後提升攻擊力50％。","提升攻擊速度跟攻擊力","127711","0","0","201300","0","2223001"
"貪吃佩可","2","1","20131001","0","提升最大HP50％。","提升最大HP","105811","0","0","201310","0","0"
"凱留","2","1","0","0","戰鬥開始３秒內，\n使敵人的移動速度下降25％。","降低敵方的移動速度","106011","0","0","201320","0","2223201"
"可可蘿","2","1","20133001","0","提升COST上限100％。","提升COST上限","105911","0","0","201330","0","0"
"雪菲","3","1","0","0","提升移動速度25％。","提升移動速度","106411","0","0","201340","0","2223401"
"莉莉","2","1","20135001","0","提升攻擊力50％、\n提升移動速度20％。","提升攻擊力跟移動速度","131311","0","0","201350","0","2223501"
"可璃亞","2","1","20136001","0","提升最大HP50％、\n提升移動速度20％。","提升最大HP跟移動速度","131411","0","0","201360","0","2223601"
"普蕾西亞","2","1","20137001","0","提升COST上限50％、\n提升移動速度20％。","提升COST上限跟移動速度","131511","0","0","201370","0","2223701"
"克蘿茜","2","1","20138001","0","提升攻擊力50％，\n戰鬥開始３秒內，提升攻擊速度25％。","提升攻擊力跟攻擊速度","126411","0","0","201380","0","2223801"
"萊拉耶爾","3","1","0","0","戰鬥開始３秒內，\n提升攻擊力３5％。","提升攻擊力","126511","0","0","201390","0","2223901"
"琳德","2","1","0","0","戰鬥開始３秒內，提升攻擊速度20％，\n然後提升攻擊力25％。","提升攻擊速度跟攻擊力","127711","0","0","201400","0","2224001"
"烏爾姆","2","1","0","0","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降25％。","降低自身的攻擊速度與敵人的攻擊力","127811","0","0","201410","0","2224101"
"庫露露","3","1","20142001","0","提升COST上限50％、\n提升HP50％。","提升COST上限跟HP","130911","20142002","0","201420","0","0"
"安涅默涅","2","1","0","0","降低敵人的攻擊力跟攻擊速度20％。","降低對方的攻擊力跟攻擊速度","129611","0","0","201430","0","2224301"
"涅妃‧涅羅","3","1","0","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降75％。","降低對方的移動速度","129711","0","0","201440","0","2224401"
"貪吃佩可","2","1","20145001","0","提升最大HP100％。","提升最大HP","105811","0","0","201450","0","0"
"可可蘿","2","1","20146001","0","提升COST上限100％。","提升COST上限","105911","0","0","201460","0","0"
"莉莉","2","1","20147001","0","提升攻擊力75％、\n提升移動速度３0％。","提升攻擊力跟移動速度","131311","0","0","201470","0","2224701"
"萊拉耶爾","3","1","0","0","戰鬥開始３秒內，\n提升攻擊力75％。","提升攻擊力","126511","0","0","201480","0","2224801"
"涅妃‧涅羅","3","1","0","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降90％。","降低對方的移動速度","129711","0","0","201490","0","2224901"
"貪吃佩可","2","1","20150001","0","提升最大HP200％。","提升最大HP","105811","0","0","201500","0","0"
