a633238be7fc51a6fb83521b366ce1cb999ac1c6fb3ad93937e6ede494c8f253,bfcf8ac886ccd1c6f60c2bdeeddd17bde3125a6da3d499a44bfcc13d64e69bc8,b897e801bbd12659edf1b233120f2e344defeba71b1edd2c0807923a3c74491c,a11597a9bb35a0451dd1c4abe0dd879ce0d504d7e463aafc5de292860d4f9fc4,378cb270ea56face5ec1579c8f0a3ad3281ed1feb376e950afc370ffbc307050,e46d2d6cbefd187639e6ba3b7619c3e75893bee64ce047f39cc7462e1548d994,3b8b5dced42b1cf2d32b2ec2530603786bee65f50d2213170adeda1a86ed628b,9a72168a0a3d7c68d02f9c99fa3603202eb17dc2a96ed24d1cb7409a3e80ca0a,5fcfeeb72956ca15c5bae123d95d46abaee374f1c8a818b2649d8c844c454ebd,318e621661beb1fac440fea49c072fefbfdcbe53de6da04b8ffdeb6a993690b1,2c2e7641288c61dbc8416b45fb86e83dbe4e9dc60a32744563e1a5f3ce55c07e,3d7ef3e6ee78a4477b38c71a9af494376d4646cdd055d0007c8ca1fee9f173f2
"0","0","0","vo_ske","0","7","2","0","0","vo_ske_0202","1005802","100580207"
"249","1.057","2","0","0","8","1","0","0","0","1005802","100580208"
"0","0","0","0","1.962","9","4","0","1","0","1005802","100580209"
"367","1.166","2","0","0","10","1","249","0","0","1005802","100580210"
"0","0","0","0","1.747","11","4","0","1","0","1005802","100580211"
"78","1.216","3","0","0","12","1","0","0","0","1005802","100580212"
"0","0","0","0","1.216","13","4","0","1","0","1005802","100580213"
"389","1.868","3","0","0","14","1","78","0","0","1005802","100580214"
"0","0","0","0","3.78","15","4","0","1","0","1005802","100580215"
"0","0","0","vo_ske","0","16","2","0","0","vo_ske_0203","1005802","100580216"
"252","0.655","4","0","0","17","1","0","0","0","1005802","100580217"
"0","0","0","0","1.632","18","4","0","1","0","1005802","100580218"
"366","1.586","4","0","0","19","1","252","0","0","1005802","100580219"
"0","0","0","0","2.357","20","4","0","1","0","1005802","100580220"
"366","0.386","4","0","0","21","1","366","0","0","1005802","100580221"
"0","0","0","0","0.386","22","4","0","1","0","1005802","100580222"
"0","0.872","5","0","0","23","1","0","0","0","1005802","100580223"
"0","0","0","0","3.189","24","4","0","1","0","1005802","100580224"
"0","0","0","vo_ske","0","25","2","0","0","vo_ske_0204","1005802","100580225"
"137","1.065","5","0","0","26","1","0","0","0","1005802","100580226"
"0","0","0","0","1.882","27","4","0","1","0","1005802","100580227"
"400","0.888","5","0","0","28","1","137","0","0","1005802","100580228"
"0","0","0","0","0.888","29","4","0","1","0","1005802","100580229"
"0","0.607","6","0","0","30","1","0","0","0","1005802","100580230"
"0","0","0","0","1.21","31","4","0","1","0","1005802","100580231"
"53","0.933","6","0","0","32","1","0","0","0","1005802","100580232"
"0","0","0","0","2.332","33","4","0","1","0","1005802","100580233"
"360","1.649","6","0","0","34","1","53","0","0","1005802","100580234"
"0","0","0","0","4.223","35","4","0","1","0","1005802","100580235"
"0","0","0","vo_ske","0","36","2","0","0","vo_ske_0205","1005802","100580236"
"81","0.349","7","0","0","37","1","0","0","0","1005802","100580237"
"0","0","0","0","1.46","38","4","0","1","0","1005802","100580238"
"350","1.532","7","0","0","39","1","81","0","0","1005802","100580239"
"0","0","0","0","2.11","40","4","0","1","0","1005802","100580240"
"350","0.341","7","0","0","41","1","350","0","0","1005802","100580241"
"0","0","0","0","0.341","42","4","0","1","0","1005802","100580242"
"0","1.202","8","0","0","43","1","0","0","0","1005802","100580243"
"0","0","0","0","3.101","44","4","0","1","0","1005802","100580244"
"0","0","0","vo_ske","0","45","2","0","0","vo_ske_0206","1005802","100580245"
"49","0.706","8","0","0","46","1","0","0","0","1005802","100580246"
"0","0","0","0","1.796","47","4","0","1","0","1005802","100580247"
"377","1.854","8","0","0","48","1","49","0","0","1005802","100580248"
"0","0","0","0","2.709","49","4","0","1","0","1005802","100580249"
"55","1.202","9","0","0","50","1","0","0","0","1005802","100580250"
"0","0","0","0","3.52","51","4","0","1","0","1005802","100580251"
"0","0","0","vo_ske","0","52","2","0","0","vo_ske_0207","1005802","100580252"
"100","0.754","9","0","0","53","1","55","0","0","1005802","100580253"
"0","0","0","0","1.291","54","4","0","1","0","1005802","100580254"
"350","0.505","9","0","0","55","1","100","0","0","1005802","100580255"
"0","0","0","0","2.624","56","4","0","1","0","1005802","100580256"
"0","0","0","vo_ske","0","57","2","0","0","vo_ske_0208","1005802","100580257"
"220","1.061","10","0","0","58","1","0","0","0","1005802","100580258"
"0","0","0","0","1.6","59","4","0","1","0","1005802","100580259"
"380","1.645","10","0","0","60","1","220","0","0","1005802","100580260"
"0","0","0","0","2.3","61","4","0","1","0","1005802","100580261"
"240","1.616","11","0","0","62","1","0","0","0","1005802","100580262"
"0","0","0","0","3.913","63","4","0","1","0","1005802","100580263"
"0","0","0","vo_ske","0","64","2","0","0","vo_ske_0209","1005802","100580264"
"128","1.258","12","0","0","65","1","0","0","0","1005802","100580265"
"0","0","0","0","3.579","66","4","0","1","0","1005802","100580266"
"0","0","0","vo_ske","0","67","2","0","0","vo_ske_0210","1005802","100580267"
"280","1.496","13","0","0","68","1","0","0","0","1005802","100580268"
"0","0","0","0","3.996","69","4","0","1","0","1005802","100580269"
"0","0","0","0","0.8","1","4","0","1","0","1005803","100580301"
"0","0","0","vo_ske","0","2","2","0","0","vo_ske_0301","1005803","100580302"
"160","1.797","1","0","0","3","1","0","0","0","1005803","100580303"
"0","0","0","0","2.514","4","4","0","1","0","1005803","100580304"
"339","0.612","1","0","0","5","1","160","0","0","1005803","100580305"
"0","0","0","0","0.612","6","4","0","1","0","1005803","100580306"
"163","0.464","2","0","0","7","1","0","0","0","1005803","100580307"
"0","0","0","0","0.889","8","4","0","1","0","1005803","100580308"
"163","1.164","2","0","0","9","1","163","0","0","1005803","100580309"
"0","0","0","0","2.59","10","4","0","1","0","1005803","100580310"
"0","0","0","vo_ske","0","11","2","0","0","vo_ske_0302","1005803","100580311"
"421","1.185","2","0","0","12","1","163","0","0","1005803","100580312"
"0","0","0","0","1.185","13","4","0","1","0","1005803","100580313"
"0","0.952","3","0","0","14","1","0","0","0","1005803","100580314"
"0","0","0","0","1.747","15","4","0","1","0","1005803","100580315"
"295","0.961","3","0","0","16","1","0","0","0","1005803","100580316"
"0","0","0","0","2.398","17","4","0","1","0","1005803","100580317"
"0","0","0","vo_ske","0","18","2","0","0","vo_ske_0303","1005803","100580318"
"150","1.401","4","0","0","19","1","0","0","0","1005803","100580319"
"0","0","0","0","1.935","20","4","0","1","0","1005803","100580320"
"356","1.288","4","0","0","21","1","150","0","0","1005803","100580321"
"0","0","0","0","2.418","22","4","0","1","0","1005803","100580322"
"0","0","0","vo_ske","0","23","2","0","0","vo_ske_0304","1005803","100580323"
"0","0.619","5","0","0","24","1","0","0","0","1005803","100580324"
"0","0","0","0","1.407","25","4","0","1","0","1005803","100580325"
"0","2.1","5","0","0","26","1","0","0","0","1005803","100580326"
"0","0","0","0","4.561","27","4","0","1","0","1005803","100580327"
"0","0","0","vo_ske","0","28","2","0","0","vo_ske_0305","1005803","100580328"
"318","2.309","5","0","0","29","1","0","0","0","1005803","100580329"
"0","0","0","0","3.378","30","4","0","1","0","1005803","100580330"
"101","0.664","6","0","0","31","1","0","0","0","1005803","100580331"
"0","0","0","0","1.555","32","4","0","1","0","1005803","100580332"
"366","1.706","6","0","0","33","1","101","0","0","1005803","100580333"
"0","0","0","0","4.399","34","4","0","1","0","1005803","100580334"
"0","0","0","vo_ske","0","35","2","0","0","vo_ske_0306","1005803","100580335"
"209","2.137","7","0","0","36","1","0","0","0","1005803","100580336"
"0","0","0","0","3.014","37","4","0","1","0","1005803","100580337"
"382","0.788","7","0","0","38","1","209","0","0","1005803","100580338"
"0","0","0","0","2.288","39","4","0","1","0","1005803","100580339"
"0","0","0","vo_ske","0","40","2","0","0","vo_ske_0307","1005803","100580340"
"290","2.054","8","0","0","41","1","0","0","0","1005803","100580341"
"0","0","0","0","2.931","42","4","0","1","0","1005803","100580342"
"410","0.801","8","0","0","43","1","290","0","0","1005803","100580343"
"0","0","0","0","1.48","44","4","0","1","0","1005803","100580344"
"347","2.75","9","0","0","45","1","0","0","0","1005803","100580345"
"0","0","0","0","5.052","46","4","0","1","0","1005803","100580346"
"0","0","0","vo_ske","0","47","2","0","0","vo_ske_0308","1005803","100580347"
"60","0.527","10","0","0","48","1","0","0","0","1005803","100580348"
"0","0","0","0","1.38","49","4","0","1","0","1005803","100580349"
"230","1.473","10","0","0","50","1","60","0","0","1005803","100580350"
"0","0","0","0","1.759","51","4","0","1","0","1005803","100580351"
"354","0.68","10","0","0","52","1","230","0","0","1005803","100580352"
"0","0","0","0","1.838","53","4","0","1","0","1005803","100580353"
"0","0","0","vo_ske","0","54","2","0","0","vo_ske_0309","1005803","100580354"
"71","0.477","11","0","0","55","1","0","0","0","1005803","100580355"
"0","0","0","0","1.108","56","4","0","1","0","1005803","100580356"
"323","2.144","11","0","0","57","1","71","0","0","1005803","100580357"
"0","0","0","0","3.802","58","4","0","1","0","1005803","100580358"
"0","0","0","vo_ske","0","59","2","0","0","vo_ske_0310","1005803","100580359"
"93","1.251","12","0","0","60","1","0","0","0","1005803","100580360"
"0","0","0","0","2.672","61","4","0","1","0","1005803","100580361"
"247","0.65","12","0","0","62","1","93","0","0","1005803","100580362"
"0","0","0","0","1.349","63","4","0","1","0","1005803","100580363"
"375","0.589","12","0","0","64","1","247","0","0","1005803","100580364"
"0","0","0","0","3.089","65","4","0","1","0","1005803","100580365"
"0","0","0","0","0.8","1","4","0","1","0","1005804","100580401"
"0","0","0","vo_ske","0","2","2","0","0","vo_ske_0401","1005804","100580402"
"186","1.769","1","0","0","3","1","0","0","0","1005804","100580403"
"0","0","0","0","3.723","4","4","0","1","0","1005804","100580404"
"0","0","0","vo_ske","0","5","2","0","0","vo_ske_0402","1005804","100580405"
"106","0.818","2","0","0","6","1","0","0","0","1005804","100580406"
"0","0","0","0","1.553","7","4","0","1","0","1005804","100580407"
"258","1.87","2","0","0","8","1","106","0","0","1005804","100580408"
"0","0","0","0","2.537","9","4","0","1","0","1005804","100580409"
"410","0.487","2","0","0","10","1","258","0","0","1005804","100580410"
"0","0","0","0","0.487","11","4","0","1","0","1005804","100580411"
"77","0.822","3","0","0","12","1","0","0","0","1005804","100580412"
"0","0","0","0","2.459","13","4","0","1","0","1005804","100580413"
"400","1.696","3","0","0","14","1","77","0","0","1005804","100580414"
"0","0","0","0","2.551","15","4","0","1","0","1005804","100580415"
"400","0.688","3","0","0","16","1","400","0","0","1005804","100580416"
"0","0","0","0","1.121","17","4","0","1","0","1005804","100580417"
"0","1.807","4","0","0","18","1","0","0","0","1005804","100580418"
"0","0","0","0","4.87","19","4","0","1","0","1005804","100580419"
"0","0","0","vo_ske","0","20","2","0","0","vo_ske_0403","1005804","100580420"
"93","0.78","4","0","0","21","1","0","0","0","1005804","100580421"
"0","0","0","0","2.288","22","4","0","1","0","1005804","100580422"
"324","1.497","4","0","0","23","1","93","0","0","1005804","100580423"
"0","0","0","0","3.177","24","4","0","1","0","1005804","100580424"
"0","0","0","vo_ske","0","25","2","0","0","vo_ske_0404","1005804","100580425"
"114","0.729","5","0","0","26","1","0","0","0","1005804","100580426"
"0","0","0","0","1.799","27","4","0","1","0","1005804","100580427"
"192","0.823","5","0","0","28","1","114","0","0","1005804","100580428"
"0","0","0","0","1.447","29","4","0","1","0","1005804","100580429"
"287","0.982","5","0","0","30","1","192","0","0","1005804","100580430"
"0","0","0","0","1.587","31","4","0","1","0","1005804","100580431"
"430","0.639","5","0","0","32","1","287","0","0","1005804","100580432"
"0","0","0","0","0.639","33","4","0","1","0","1005804","100580433"
"0","1.712","6","0","0","34","1","0","0","0","1005804","100580434"
"0","0","0","0","3.735","35","4","0","1","0","1005804","100580435"
"0","0","0","vo_ske","0","36","2","0","0","vo_ske_0405","1005804","100580436"
"201","0.793","6","0","0","37","1","0","0","0","1005804","100580437"
"0","0","0","0","2.073","38","4","0","1","0","1005804","100580438"
"201","0.405","6","0","0","39","1","201","0","0","1005804","100580439"
"0","0","0","0","1.081","40","4","0","1","0","1005804","100580440"
"293","0.962","6","0","0","41","1","201","0","0","1005804","100580441"
"0","0","0","0","3.994","42","4","0","1","0","1005804","100580442"
"0","0","0","vo_ske","0","43","2","0","0","vo_ske_0406","1005804","100580443"
"259","0.869","7","0","0","44","1","0","0","0","1005804","100580444"
"0","0","0","0","2.298","45","4","0","1","0","1005804","100580445"
"0","0","0","vo_ske","0","46","2","0","0","vo_ske_0407","1005804","100580446"
"389","1.07","7","0","0","47","1","259","0","0","1005804","100580447"
"0","0","0","0","2.401","48","4","0","1","0","1005804","100580448"
"0","0","0","vo_ske","0","49","2","0","0","vo_ske_0408","1005804","100580449"
"167","0.939","8","0","0","50","1","0","0","0","1005804","100580450"
"0","0","0","0","0.939","51","4","0","1","0","1005804","100580451"
"167","0.816","8","0","0","52","1","167","0","0","1005804","100580452"
"0","0","0","0","2.428","53","4","0","1","0","1005804","100580453"
"0","0","0","vo_ske","0","54","2","0","0","vo_ske_0409","1005804","100580454"
"211","0.626","8","0","0","55","1","167","0","0","1005804","100580455"
"0","0","0","0","1.776","56","4","0","1","0","1005804","100580456"
"390","1.439","8","0","0","57","1","211","0","0","1005804","100580457"
"0","0","0","0","1.439","58","4","0","1","0","1005804","100580458"
"60","0.447","9","0","0","59","1","0","0","0","1005804","100580459"
"0","0","0","0","2.012","60","4","0","1","0","1005804","100580460"
"0","0","0","vo_ske","0","61","2","0","0","vo_ske_0410","1005804","100580461"
"155","0.504","9","0","0","62","1","60","0","0","1005804","100580462"
"0","0","0","0","1.659","63","4","0","1","0","1005804","100580463"
"335","0.488","9","0","0","64","1","155","0","0","1005804","100580464"
"0","0","0","0","3.099","65","4","0","1","0","1005804","100580465"
"0","0","0","vo_ske","0","66","2","0","0","vo_ske_0411","1005804","100580466"
"93","0.743","10","0","0","67","1","0","0","0","1005804","100580467"
"0","0","0","0","1.683","68","4","0","1","0","1005804","100580468"
"319","2.16","10","0","0","69","1","93","0","0","1005804","100580469"
"0","0","0","0","3.689","70","4","0","1","0","1005804","100580470"
"284","1.846","11","0","0","71","1","0","0","0","1005804","100580471"
"0","0","0","0","4.239","72","4","0","1","0","1005804","100580472"
"0","0","0","vo_ske","0","73","2","0","0","vo_ske_0412","1005804","100580473"
"90","0.584","12","0","0","74","1","0","0","0","1005804","100580474"
"0","0","0","0","1.837","75","4","0","1","0","1005804","100580475"
"330","1.393","12","0","0","76","1","90","0","0","1005804","100580476"
"0","0","0","0","3.893","77","4","0","1","0","1005804","100580477"
"0","0","0","0","0.8","1","4","0","1","0","1005805","100580501"
"0","0","0","vo_ske","0","2","2","0","0","vo_ske_0501","1005805","100580502"
"136","1.013","1","0","0","3","1","0","0","0","1005805","100580503"
"0","0","0","0","1.598","4","4","0","1","0","1005805","100580504"
"399","1.062","1","0","0","5","1","136","0","0","1005805","100580505"
"0","0","0","0","2.428","6","4","0","1","0","1005805","100580506"
"0","0","0","vo_ske","0","7","2","0","0","vo_ske_0502","1005805","100580507"
"137","1.244","2","0","0","8","1","0","0","0","1005805","100580508"
"0","0","0","0","1.839","9","4","0","1","0","1005805","100580509"
"357","1.989","2","0","0","10","1","137","0","0","1005805","100580510"
"0","0","0","0","3.898","11","4","0","1","0","1005805","100580511"
"0","0","0","vo_ske","0","12","2","0","0","vo_ske_0503","1005805","100580512"
"220","1.43","3","0","0","13","1","0","0","0","1005805","100580513"
"0","0","0","0","1.915","14","4","0","1","0","1005805","100580514"
"365","0.906","3","0","0","15","1","220","0","0","1005805","100580515"
"0","0","0","0","2.75","16","4","0","1","0","1005805","100580516"
"0","0","0","vo_ske","0","17","2","0","0","vo_ske_0504","1005805","100580517"
"100","1.11","4","0","0","18","1","0","0","0","1005805","100580518"
"0","0","0","0","1.656","19","4","0","1","0","1005805","100580519"
"320","1.445","4","0","0","20","1","100","0","0","1005805","100580520"
"0","0","0","0","1.899","21","4","0","1","0","1005805","100580521"
"408","0.574","4","0","0","22","1","320","0","0","1005805","100580522"
"0","0","0","0","2.491","23","4","0","1","0","1005805","100580523"
"0","0","0","vo_ske","0","24","2","0","0","vo_ske_0505","1005805","100580524"
"167","1.192","5","0","0","25","1","0","0","0","1005805","100580525"
"0","0","0","0","1.943","26","4","0","1","0","1005805","100580526"
"316","0.864","5","0","0","27","1","167","0","0","1005805","100580527"
"0","0","0","0","1.47","28","4","0","1","0","1005805","100580528"
"376","0.713","5","0","0","29","1","316","0","0","1005805","100580529"
"0","0","0","0","3.073","30","4","0","1","0","1005805","100580530"
"0","0","0","vo_ske","0","31","2","0","0","vo_ske_0506","1005805","100580531"
"139","1.159","6","0","0","32","1","0","0","0","1005805","100580532"
"0","0","0","0","1.779","33","4","0","1","0","1005805","100580533"
"391","1.634","6","0","0","34","1","139","0","0","1005805","100580534"
"0","0","0","0","5.206","35","4","0","1","0","1005805","100580535"
"0","0","0","vo_ske","0","36","2","0","0","vo_ske_0507","1005805","100580536"
"202","1.363","7","0","0","37","1","0","0","0","1005805","100580537"
"0","0","0","0","2.334","38","4","0","1","0","1005805","100580538"
"343","1.128","7","0","0","39","1","202","0","0","1005805","100580539"
"0","0","0","0","3.267","40","4","0","1","0","1005805","100580540"
"0","0","0","vo_ske","0","41","2","0","0","vo_ske_0508","1005805","100580541"
"319","2.341","8","0","0","42","1","0","0","0","1005805","100580542"
"0","0","0","0","3.817","43","4","0","1","0","1005805","100580543"
"413","0.614","8","0","0","44","1","319","0","0","1005805","100580544"
"0","0","0","0","1.798","45","4","0","1","0","1005805","100580545"
"286","1.942","9","0","0","46","1","0","0","0","1005805","100580546"
"0","0","0","0","4.447","47","4","0","1","0","1005805","100580547"
"0","0","0","vo_ske","0","48","2","0","0","vo_ske_0509","1005805","100580548"
"95","0.441","10","0","0","49","1","0","0","0","1005805","100580549"
"0","0","0","0","1.691","50","4","0","1","0","1005805","100580550"
"382","2.177","10","0","0","51","1","95","0","0","1005805","100580551"
"0","0","0","0","4.215","52","4","0","1","0","1005805","100580552"
"0","0","0","vo_ske","0","53","2","0","0","vo_ske_0510","1005805","100580553"
"154","1.116","11","0","0","54","1","0","0","0","1005805","100580554"
"0","0","0","0","2.252","55","4","0","1","0","1005805","100580555"
"380","2.025","11","0","0","56","1","154","0","0","1005805","100580556"
"0","0","0","0","4.486","57","4","0","1","0","1005805","100580557"
"0","0","0","vo_ske","0","58","2","0","0","vo_ske_0511","1005805","100580558"
"93","0.473","12","0","0","59","1","0","0","0","1005805","100580559"
"0","0","0","0","1.015","60","4","0","1","0","1005805","100580560"
"164","0.759","12","0","0","61","1","93","0","0","1005805","100580561"
"0","0","0","0","2.172","62","4","0","1","0","1005805","100580562"
"362","2.606","13","0","0","63","1","0","0","0","1005805","100580563"
"0","0","0","0","5.313","64","4","0","1","0","1005805","100580564"
"0","0","0","vo_ske","0","65","2","0","0","vo_ske_0512","1005805","100580565"
"113","1.072","14","0","0","66","1","0","0","0","1005805","100580566"
"0","0","0","0","2.416","67","4","0","1","0","1005805","100580567"
"362","1.331","14","0","0","68","1","113","0","0","1005805","100580568"
"0","0","0","0","3.831","69","4","0","1","0","1005805","100580569"
"0","0","0","0","0.8","1","4","0","1","0","1005901","100590101"
"0","0","0","vo_ske","0","2","2","0","0","vo_ske_0601","1005901","100590102"
"320","1.86","1","0","0","3","1","0","0","0","1005901","100590103"
"0","0","0","0","2.5","4","4","0","1","0","1005901","100590104"
"380","1.2","1","0","0","5","1","320","0","0","1005901","100590105"
"0","0","0","0","3.1","6","4","0","1","0","1005901","100590106"
"0","0","0","vo_ske","0","7","2","0","0","vo_ske_0602","1005901","100590107"
"287","2.2","2","0","0","8","1","0","0","0","1005901","100590108"
"0","0","0","0","3.3","9","4","0","1","0","1005901","100590109"
"410","0.9","2","0","0","10","1","287","0","0","1005901","100590110"
"0","0","0","0","1.5","11","4","0","1","0","1005901","100590111"
"288","1.5","3","0","0","12","1","0","0","0","1005901","100590112"
"0","0","0","0","3.7","13","4","0","1","0","1005901","100590113"
"0","0","0","vo_ske","0","14","2","0","0","vo_ske_0603","1005901","100590114"
"410","1.5","3","0","0","15","1","288","0","0","1005901","100590115"
"0","0","0","0","1.5","16","4","0","1","0","1005901","100590116"
"87","0.3","4","0","0","17","1","0","0","0","1005901","100590117"
"0","0","0","0","1.5","18","4","0","1","0","1005901","100590118"
"246","0.8","4","0","0","19","1","87","0","0","1005901","100590119"
"0","0","0","0","1.5","20","4","0","1","0","1005901","100590120"
"378","1.9","4","0","0","21","1","246","0","0","1005901","100590121"
"0","0","0","0","4.5","22","4","0","1","0","1005901","100590122"
"0","0","0","vo_ske","0","23","2","0","0","vo_ske_0604","1005901","100590123"
"171","2.3","5","0","0","24","1","0","0","0","1005901","100590124"
"0","0","0","0","3.3","25","4","0","1","0","1005901","100590125"
"309","1.1","5","0","0","26","1","171","0","0","1005901","100590126"
"0","0","0","0","1.1","27","4","0","1","0","1005901","100590127"
"410","1.1","5","0","0","28","1","309","0","0","1005901","100590128"
"0","0","0","0","3.9","29","4","0","1","0","1005901","100590129"
"0","0","0","vo_ske","0","30","2","0","0","vo_ske_0605","1005901","100590130"
"52","0.5","6","0","0","31","1","0","0","0","1005901","100590131"
"0","0","0","0","1.7","32","4","0","1","0","1005901","100590132"
"109","1.2","6","0","0","33","1","52","0","0","1005901","100590133"
"0","0","0","0","1.9","34","4","0","1","0","1005901","100590134"
"292","0.9","6","0","0","35","1","109","0","0","1005901","100590135"
"0","0","0","0","2.6","36","4","0","1","0","1005901","100590136"
"0","0","0","vo_ske","0","37","2","0","0","vo_ske_0606","1005901","100590137"
"180","1.6","7","0","0","38","1","0","0","0","1005901","100590138"
"0","0","0","0","2","39","4","0","1","0","1005901","100590139"
"350","1","7","0","0","40","1","180","0","0","1005901","100590140"
"0","0","0","0","1","41","4","0","1","0","1005901","100590141"
"0","1.3","8","0","0","42","1","0","0","0","1005901","100590142"
"0","0","0","0","2.2","43","4","0","1","0","1005901","100590143"
"372","1.4","8","0","0","44","1","0","0","0","1005901","100590144"
"0","0","0","0","4","45","4","0","1","0","1005901","100590145"
"0","0","0","vo_ske","0","46","2","0","0","vo_ske_0607","1005901","100590146"
"130","1.1","9","0","0","47","1","0","0","0","1005901","100590147"
"0","0","0","0","1.8","48","4","0","1","0","1005901","100590148"
"253","1","9","0","0","49","1","130","0","0","1005901","100590149"
"0","0","0","0","2.3","50","4","0","1","0","1005901","100590150"
