4b187989f392c158b153eea61b605237c53eb9695d6ffdd7043f9ae1b568a4f6,4b0f67c54445af6c18b22ef1833f7c5074718e05454515e86fa40c5dec5aee50,7b8a1428b02148f439990086ce3d7b7b3187d17c14223188504b62e69b7c2934,d1d3bc3fe22bd33c472b6ca2999da13b77e2be16101048ee2e511c5f67624821,5300367fe9a285cd42b6e4b8514cad0e7b172de2ff00322b9420b65b258e76ad,71fef5ea03200b22e0f7455a0cbb502f60e022de762a768e7ee3194ec039ba12,b766375d450d90818c6a5a5ed84eca819061e476d3633ef914fb3a6bae3363ae,a94342563785e76f658f2bf57eb2ab9887f585abf0d100189ca5ba4957d85b0d,9af65c20640e6a1b8ca581354375d3d314fb275d574c3e3ad79074392b191f54
"1003","2","129","1000","讓火屬性的屬性等級提升到1000","20022","1","2015","2018"
"1003","2","129","1100","讓火屬性的屬性等級提升到1100","20022","1","2015","2019"
"1003","2","129","1200","讓火屬性的屬性等級提升到1200","20022","1","2015","2020"
"1003","2","129","1250","讓火屬性的屬性等級提升到1250","20022","1","2015","2021"
"1003","3","129","50","讓水屬性的屬性等級提升到50","20022","2","2001","3001"
"1003","3","129","100","讓水屬性的屬性等級提升到100","20022","2","2002","3002"
"1003","3","129","150","讓水屬性的屬性等級提升到150","20022","2","2003","3003"
"1003","3","129","200","讓水屬性的屬性等級提升到200","20022","2","2004","3004"
"1003","3","129","250","讓水屬性的屬性等級提升到250","20022","2","2005","3005"
"1003","3","129","300","讓水屬性的屬性等級提升到300","20022","2","2006","3006"
"1003","3","129","350","讓水屬性的屬性等級提升到350","20022","2","2007","3007"
"1003","3","129","400","讓水屬性的屬性等級提升到400","20022","2","2008","3008"
"1003","3","129","450","讓水屬性的屬性等級提升到450","20022","2","2009","3009"
"1003","3","129","500","讓水屬性的屬性等級提升到500","20022","2","2010","3010"
"1003","3","129","550","讓水屬性的屬性等級提升到550","20022","2","2006","3011"
"1003","3","129","600","讓水屬性的屬性等級提升到600","20022","2","2007","3012"
"1003","3","129","650","讓水屬性的屬性等級提升到650","20022","2","2008","3013"
"1003","3","129","700","讓水屬性的屬性等級提升到700","20022","2","2009","3014"
"1003","3","129","750","讓水屬性的屬性等級提升到750","20022","2","2010","3015"
"1003","3","129","800","讓水屬性的屬性等級提升到800","20022","2","2015","3016"
"1003","3","129","900","讓水屬性的屬性等級提升到900","20022","2","2015","3017"
"1003","3","129","1000","讓水屬性的屬性等級提升到1000","20022","2","2015","3018"
"1003","3","129","1100","讓水屬性的屬性等級提升到1100","20022","2","2015","3019"
"1003","3","129","1200","讓水屬性的屬性等級提升到1200","20022","2","2015","3020"
"1003","3","129","1250","讓水屬性的屬性等級提升到1250","20022","2","2015","3021"
"1003","4","129","50","讓風屬性的屬性等級提升到50","20022","3","2001","4001"
"1003","4","129","100","讓風屬性的屬性等級提升到100","20022","3","2002","4002"
"1003","4","129","150","讓風屬性的屬性等級提升到150","20022","3","2003","4003"
"1003","4","129","200","讓風屬性的屬性等級提升到200","20022","3","2004","4004"
"1003","4","129","250","讓風屬性的屬性等級提升到250","20022","3","2005","4005"
"1003","4","129","300","讓風屬性的屬性等級提升到300","20022","3","2006","4006"
"1003","4","129","350","讓風屬性的屬性等級提升到350","20022","3","2007","4007"
"1003","4","129","400","讓風屬性的屬性等級提升到400","20022","3","2008","4008"
"1003","4","129","450","讓風屬性的屬性等級提升到450","20022","3","2009","4009"
"1003","4","129","500","讓風屬性的屬性等級提升到500","20022","3","2010","4010"
"1003","4","129","550","讓風屬性的屬性等級提升到550","20022","3","2006","4011"
"1003","4","129","600","讓風屬性的屬性等級提升到600","20022","3","2007","4012"
"1003","4","129","650","讓風屬性的屬性等級提升到650","20022","3","2008","4013"
"1003","4","129","700","讓風屬性的屬性等級提升到700","20022","3","2009","4014"
"1003","4","129","750","讓風屬性的屬性等級提升到750","20022","3","2010","4015"
"1003","4","129","800","讓風屬性的屬性等級提升到800","20022","3","2015","4016"
"1003","4","129","900","讓風屬性的屬性等級提升到900","20022","3","2015","4017"
"1003","4","129","1000","讓風屬性的屬性等級提升到1000","20022","3","2015","4018"
"1003","4","129","1100","讓風屬性的屬性等級提升到1100","20022","3","2015","4019"
"1003","4","129","1200","讓風屬性的屬性等級提升到1200","20022","3","2015","4020"
"1003","4","129","1250","讓風屬性的屬性等級提升到1250","20022","3","2015","4021"
"1003","5","129","50","讓光屬性的屬性等級提升到50","20022","4","2001","5001"
"1003","5","129","100","讓光屬性的屬性等級提升到100","20022","4","2002","5002"
"1003","5","129","150","讓光屬性的屬性等級提升到150","20022","4","2003","5003"
"1003","5","129","200","讓光屬性的屬性等級提升到200","20022","4","2004","5004"
"1003","5","129","250","讓光屬性的屬性等級提升到250","20022","4","2005","5005"
"1003","5","129","300","讓光屬性的屬性等級提升到300","20022","4","2006","5006"
"1003","5","129","350","讓光屬性的屬性等級提升到350","20022","4","2007","5007"
"1003","5","129","400","讓光屬性的屬性等級提升到400","20022","4","2008","5008"
"1003","5","129","450","讓光屬性的屬性等級提升到450","20022","4","2009","5009"
"1003","5","129","500","讓光屬性的屬性等級提升到500","20022","4","2010","5010"
"1003","5","129","550","讓光屬性的屬性等級提升到550","20022","4","2006","5011"
"1003","5","129","600","讓光屬性的屬性等級提升到600","20022","4","2007","5012"
"1003","5","129","650","讓光屬性的屬性等級提升到650","20022","4","2008","5013"
"1003","5","129","700","讓光屬性的屬性等級提升到700","20022","4","2009","5014"
"1003","5","129","750","讓光屬性的屬性等級提升到750","20022","4","2010","5015"
"1003","5","129","800","讓光屬性的屬性等級提升到800","20022","4","2015","5016"
"1003","5","129","900","讓光屬性的屬性等級提升到900","20022","4","2015","5017"
"1003","5","129","1000","讓光屬性的屬性等級提升到1000","20022","4","2015","5018"
"1003","5","129","1100","讓光屬性的屬性等級提升到1100","20022","4","2015","5019"
"1003","5","129","1200","讓光屬性的屬性等級提升到1200","20022","4","2015","5020"
"1003","5","129","1250","讓光屬性的屬性等級提升到1250","20022","4","2015","5021"
"1003","6","129","50","讓闇屬性的屬性等級提升到50","20022","5","2001","6001"
"1003","6","129","100","讓闇屬性的屬性等級提升到100","20022","5","2002","6002"
"1003","6","129","150","讓闇屬性的屬性等級提升到150","20022","5","2003","6003"
"1003","6","129","200","讓闇屬性的屬性等級提升到200","20022","5","2004","6004"
"1003","6","129","250","讓闇屬性的屬性等級提升到250","20022","5","2005","6005"
"1003","6","129","300","讓闇屬性的屬性等級提升到300","20022","5","2006","6006"
"1003","6","129","350","讓闇屬性的屬性等級提升到350","20022","5","2007","6007"
"1003","6","129","400","讓闇屬性的屬性等級提升到400","20022","5","2008","6008"
"1003","6","129","450","讓闇屬性的屬性等級提升到450","20022","5","2009","6009"
"1003","6","129","500","讓闇屬性的屬性等級提升到500","20022","5","2010","6010"
"1003","6","129","550","讓闇屬性的屬性等級提升到550","20022","5","2006","6011"
"1003","6","129","600","讓闇屬性的屬性等級提升到600","20022","5","2007","6012"
"1003","6","129","650","讓闇屬性的屬性等級提升到650","20022","5","2008","6013"
"1003","6","129","700","讓闇屬性的屬性等級提升到700","20022","5","2009","6014"
"1003","6","129","750","讓闇屬性的屬性等級提升到750","20022","5","2010","6015"
"1003","6","129","800","讓闇屬性的屬性等級提升到800","20022","5","2015","6016"
"1003","6","129","900","讓闇屬性的屬性等級提升到900","20022","5","2015","6017"
"1003","6","129","1000","讓闇屬性的屬性等級提升到1000","20022","5","2015","6018"
"1003","6","129","1100","讓闇屬性的屬性等級提升到1100","20022","5","2015","6019"
"1003","6","129","1200","讓闇屬性的屬性等級提升到1200","20022","5","2015","6020"
"1003","6","129","1250","讓闇屬性的屬性等級提升到1250","20022","5","2015","6021"
"1004","7","129","10","完成強化10個節點","20023","0","7001","7001"
"1004","7","129","20","完成強化20個節點","20023","0","7002","7002"
"1004","7","129","30","完成強化30個節點","20023","0","7003","7003"
"1004","7","129","40","完成強化40個節點","20023","0","7004","7004"
"1004","7","129","50","完成強化50個節點","20023","0","7005","7005"
"1004","7","129","60","完成強化60個節點","20023","0","7006","7006"
"1004","7","129","70","完成強化70個節點","20023","0","7007","7007"
"1004","7","129","80","完成強化80個節點","20023","0","7008","7008"
"1004","7","129","90","完成強化90個節點","20023","0","7009","7009"
"1004","7","129","100","完成強化100個節點","20023","0","7010","7010"
"1004","7","129","110","完成強化110個節點","20023","0","7011","7011"
"1004","7","129","120","完成強化120個節點","20023","0","7012","7012"
"1004","7","129","130","完成強化130個節點","20023","0","7013","7013"
"1004","7","129","140","完成強化140個節點","20023","0","7014","7014"
"1004","7","129","150","完成強化150個節點","20023","0","7015","7015"
"1004","7","129","160","完成強化160個節點","20023","0","7016","7016"
"1004","7","129","170","完成強化170個節點","20023","0","7017","7017"
"1004","7","129","180","完成強化180個節點","20023","0","7018","7018"
"1004","7","129","190","完成強化190個節點","20023","0","7019","7019"
"1004","7","129","200","完成強化200個節點","20023","0","7020","7020"
"1004","7","129","210","完成強化210個節點","20023","0","7021","7021"
"1004","7","129","222","完成強化222個節點","20023","0","7022","7022"
"1004","7","129","250","完成強化250個節點","20023","0","7022","7023"
"1004","7","129","275","完成強化275個節點","20023","0","7022","7024"
"1004","7","129","300","完成強化300個節點","20023","0","7022","7025"
"1004","7","129","325","完成強化325個節點","20023","0","7022","7026"
"1004","7","129","350","完成強化350個節點","20023","0","7022","7027"
"1004","7","129","375","完成強化375個節點","20023","0","7022","7028"
"1004","7","129","400","完成強化400個節點","20023","0","7022","7029"
"1004","7","129","430","完成強化430個節點","20023","0","7022","7030"
"1004","7","129","500","完成強化500個節點","20023","0","7022","7031"
"1004","7","129","550","完成強化550個節點","20023","0","7022","7032"
"1004","7","129","600","完成強化600個節點","20023","0","7022","7033"
"1004","7","129","638","完成強化638個節點","20023","0","7022","7034"
"1004","7","129","700","完成強化700個節點","20023","0","7022","7035"
"1004","7","129","800","完成強化800個節點","20023","0","7022","7036"
"1004","7","129","846","完成強化846個節點","20023","0","7022","7037"
"1005","8","129","5","完成強化5個節點","20024","0","8001","8001"
"1005","8","129","10","完成強化10個節點","20024","0","8002","8002"
"1005","8","129","15","完成強化15個節點","20024","0","8003","8003"
"1005","8","129","20","完成強化20個節點","20024","0","8004","8004"
"1005","8","129","25","完成強化25個節點","20024","0","8005","8005"
"1005","8","129","33","完成強化33個節點","20024","0","8006","8006"
"1005","8","129","40","完成強化40個節點","20024","0","8007","8007"
"1005","8","129","50","完成強化50個節點","20024","0","8007","8008"
"1005","8","129","60","完成強化60個節點","20024","0","8007","8009"
"1005","8","129","66","完成強化66個節點","20024","0","8007","8010"
"1005","8","129","80","完成強化80個節點","20024","0","8007","8011"
"1005","8","129","90","完成強化90個節點","20024","0","8007","8012"
"1005","8","129","96","完成強化96個節點","20024","0","8007","8013"
"1005","8","129","110","完成強化110個節點","20024","0","8007","8014"
"1005","8","129","126","完成強化126個節點","20024","0","8007","8015"
"1005","8","129","140","完成強化140個節點","20024","0","8007","8016"
"1005","8","129","156","完成強化156個節點","20024","0","8007","8017"
"1012","9","129","4","讓４個攻擊者專精提升到等級１以上","20031","1","9001","9101"
"1012","9","129","4","讓４個攻擊者專精提升到等級２以上","20031","2","9002","9102"
"1012","9","129","4","讓４個攻擊者專精提升到等級３以上","20031","3","9003","9103"
"1012","9","129","4","讓４個攻擊者專精提升到等級４以上","20031","4","9004","9104"
"1012","9","129","4","讓４個攻擊者專精提升到等級５以上","20031","5","9005","9105"
"1012","9","129","4","讓４個攻擊者專精提升到等級６以上","20031","6","9006","9106"
"1012","9","129","4","讓４個攻擊者專精提升到等級７以上","20031","7","9007","9107"
"1012","9","129","4","讓４個攻擊者專精提升到等級８以上","20031","8","9008","9108"
"1012","9","129","4","讓４個攻擊者專精提升到等級９以上","20031","9","9009","9109"
"1012","9","129","4","讓４個攻擊者專精提升到等級10以上","20031","10","9010","9110"
"1012","10","129","4","讓４個破防者專精提升到等級１以上","20032","1","9001","9201"
"1012","10","129","4","讓４個破防者專精提升到等級２以上","20032","2","9002","9202"
"1012","10","129","4","讓４個破防者專精提升到等級３以上","20032","3","9003","9203"
"1012","10","129","4","讓４個破防者專精提升到等級４以上","20032","4","9004","9204"
"1012","10","129","4","讓４個破防者專精提升到等級５以上","20032","5","9005","9205"
"1012","10","129","4","讓４個破防者專精提升到等級６以上","20032","6","9006","9206"
"1012","10","129","4","讓４個破防者專精提升到等級７以上","20032","7","9007","9207"
"1012","10","129","4","讓４個破防者專精提升到等級８以上","20032","8","9008","9208"
"1012","10","129","4","讓４個破防者專精提升到等級９以上","20032","9","9009","9209"
"1012","10","129","4","讓４個破防者專精提升到等級10以上","20032","10","9010","9210"
"1012","11","129","4","讓４個增益者專精提升到等級１以上","20033","1","9001","9301"
"1012","11","129","4","讓４個增益者專精提升到等級２以上","20033","2","9002","9302"
"1012","11","129","4","讓４個增益者專精提升到等級３以上","20033","3","9003","9303"
"1012","11","129","4","讓４個增益者專精提升到等級４以上","20033","4","9004","9304"
"1012","11","129","4","讓４個增益者專精提升到等級５以上","20033","5","9005","9305"
"1012","11","129","4","讓４個增益者專精提升到等級６以上","20033","6","9006","9306"
"1012","11","129","4","讓４個增益者專精提升到等級７以上","20033","7","9007","9307"
"1012","11","129","4","讓４個增益者專精提升到等級８以上","20033","8","9008","9308"
"1012","11","129","4","讓４個增益者專精提升到等級９以上","20033","9","9009","9309"
"1012","11","129","4","讓４個增益者專精提升到等級10以上","20033","10","9010","9310"
"1012","12","129","4","讓４個減益者專精提升到等級１以上","20034","1","9001","9401"
"1012","12","129","4","讓４個減益者專精提升到等級２以上","20034","2","9002","9402"
"1012","12","129","4","讓４個減益者專精提升到等級３以上","20034","3","9003","9403"
"1012","12","129","4","讓４個減益者專精提升到等級４以上","20034","4","9004","9404"
"1012","12","129","4","讓４個減益者專精提升到等級５以上","20034","5","9005","9405"
"1012","12","129","4","讓４個減益者專精提升到等級６以上","20034","6","9006","9406"
"1012","12","129","4","讓４個減益者專精提升到等級７以上","20034","7","9007","9407"
"1012","12","129","4","讓４個減益者專精提升到等級８以上","20034","8","9008","9408"
"1012","12","129","4","讓４個減益者專精提升到等級９以上","20034","9","9009","9409"
"1012","12","129","4","讓４個減益者專精提升到等級10以上","20034","10","9010","9410"
"1012","13","129","4","讓４個增幅者專精提升到等級１以上","20035","1","9001","9501"
"1012","13","129","4","讓４個增幅者專精提升到等級２以上","20035","2","9002","9502"
"1012","13","129","4","讓４個增幅者專精提升到等級３以上","20035","3","9003","9503"
"1012","13","129","4","讓４個增幅者專精提升到等級４以上","20035","4","9004","9504"
"1012","13","129","4","讓４個增幅者專精提升到等級５以上","20035","5","9005","9505"
"1012","13","129","4","讓４個增幅者專精提升到等級６以上","20035","6","9006","9506"
"1012","13","129","4","讓４個增幅者專精提升到等級７以上","20035","7","9007","9507"
"1012","13","129","4","讓４個增幅者專精提升到等級８以上","20035","8","9008","9508"
"1012","13","129","4","讓４個增幅者專精提升到等級９以上","20035","9","9009","9509"
"1012","13","129","4","讓４個增幅者專精提升到等級10以上","20035","10","9010","9510"
"1012","14","129","4","讓４個治療者專精提升到等級１以上","20036","1","9001","9601"
"1012","14","129","4","讓４個治療者專精提升到等級２以上","20036","2","9002","9602"
"1012","14","129","4","讓４個治療者專精提升到等級３以上","20036","3","9003","9603"
"1012","14","129","4","讓４個治療者專精提升到等級４以上","20036","4","9004","9604"
"1012","14","129","4","讓４個治療者專精提升到等級５以上","20036","5","9005","9605"
"1012","14","129","4","讓４個治療者專精提升到等級６以上","20036","6","9006","9606"
"1012","14","129","4","讓４個治療者專精提升到等級７以上","20036","7","9007","9607"
"1012","14","129","4","讓４個治療者專精提升到等級８以上","20036","8","9008","9608"
"1012","14","129","4","讓４個治療者專精提升到等級９以上","20036","9","9009","9609"
"1012","14","129","4","讓４個治療者專精提升到等級10以上","20036","10","9010","9610"
"1012","15","129","4","讓４個掩護者專精提升到等級１以上","20037","1","9001","9701"
"1012","15","129","4","讓４個掩護者專精提升到等級２以上","20037","2","9002","9702"
"1012","15","129","4","讓４個掩護者專精提升到等級３以上","20037","3","9003","9703"
"1012","15","129","4","讓４個掩護者專精提升到等級４以上","20037","4","9004","9704"
"1012","15","129","4","讓４個掩護者專精提升到等級５以上","20037","5","9005","9705"
"1012","15","129","4","讓４個掩護者專精提升到等級６以上","20037","6","9006","9706"
"1012","15","129","4","讓４個掩護者專精提升到等級７以上","20037","7","9007","9707"
"1012","15","129","4","讓４個掩護者專精提升到等級８以上","20037","8","9008","9708"
"1012","15","129","4","讓４個掩護者專精提升到等級９以上","20037","9","9009","9709"
"1012","15","129","4","讓４個掩護者專精提升到等級10以上","20037","10","9010","9710"
"1012","16","129","4","讓４個妨礙者專精提升到等級１以上","20038","1","9001","9801"
"1012","16","129","4","讓４個妨礙者專精提升到等級２以上","20038","2","9002","9802"
"1012","16","129","4","讓４個妨礙者專精提升到等級３以上","20038","3","9003","9803"
"1012","16","129","4","讓４個妨礙者專精提升到等級４以上","20038","4","9004","9804"
"1012","16","129","4","讓４個妨礙者專精提升到等級５以上","20038","5","9005","9805"
"1012","16","129","4","讓４個妨礙者專精提升到等級６以上","20038","6","9006","9806"
"1012","16","129","4","讓４個妨礙者專精提升到等級７以上","20038","7","9007","9807"
"1012","16","129","4","讓４個妨礙者專精提升到等級８以上","20038","8","9008","9808"
"1012","16","129","4","讓４個妨礙者專精提升到等級９以上","20038","9","9009","9809"
"1012","16","129","4","讓４個妨礙者專精提升到等級10以上","20038","10","9010","9810"
