703c64118475f662a3f3a6cb1df6c8541354581b8323a2a31a1e46998564f1d0,194efee254ebca297bac721f4d86fbd4668dd3b7e2b26fb28107876749af231a,939dbab3b5c17e2fc708612dec60ce6ef8f22879dffc1b7554fa9cfe4e9dcb74,26fcde31b7e124ddda74729e474a88e8aa9328da211f903a3b3b4cd2907443a1,3fc0281943728e2c4dfd203516c6c061b0fe04cdfaa6ad542c4b8ca9ab2dc194,921f3494ee8a736aa9883b4e94a200ad26042bc109221c1e34d4069352b00a5e,93c8d819c7745f0c1f4a32cd443377d7e3abf081886e20f78724812dd0f4a962,5b3249259bc97d0424368cf517b97275393b26052fa55c9dfff6824fd32a3cc6,cbb84825853e051792f50c972b63c841af8aba477c0c8961b8eca3097bc8533d,d107e97beb0abb2daade0967200f1c53606125af737b71810edae2629c8a5b71,647b19bffcf32e2dde1cb6895ab3f85c0b090a0de83f5d48ffb8af9cd1f886c8
"memory_talk","0.2","102111","","1","61158","","5152061","","","3"
"vo_rag_6012","","vo_rag","0","0","61159","","5152061","","","21"
"既可愛又讓人充滿活力♪\n咲戀媽媽的體操好厲害♪","0","102111","1","8","61160","0","5152061","56","1","11"
"","","0","0","0","61161","","5152061","","","91"
"memory_talk","0.2","102111","","1","61162","","5152061","","","3"
"se_10058300_emotion_laugh","","se_10058300","","0","61163","","5152061","","","23"
"1","","11","","","61164","","5152061","","","32"
"sad_talk_normal","0.2","110311","","1","61165","","5152061","","","3"
"vo_rag_6013","","vo_rag","0","0","61166","","5152061","","","21"
"啊哈哈，\n看大家這麼開心，\n感覺不壞呢。","0","110311","1","7","61167","0","5152061","0","1","11"
"","","0","0","0","61168","","5152061","","","91"
"0","","11","","","61169","","5152061","","","32"
"0","","0","","","61170","","5152061","","","22"
"0","","0.1","","","61171","","5152061","","","93"
"wish_talk_joy_shy","0.2","110311","","1","61172","","5152061","","","3"
"smile2_joy","0.2","131911","sad_idle_joy","0","61173","","5152061","0","1","3"
"joy_idle","0.2","102311","","1","61174","","5152061","","","3"
"memory_idle","0.2","102111","","1","61175","","5152061","","","3"
"wish_idle_dere","0.2","107711","","1","61176","","5152061","","","3"
"cool_talk_dere2","0.2","122811","","1","61177","","5152061","","","3"
"anger_idle_normal2","0.2","122911","","1","61178","","5152061","","","3"
"sad_idle_dere","0.2","122711","","1","61179","","5152061","","","3"
"se_10058300_emotion_kids","","se_10058300","","0","61180","","5152061","","","23"
"9","0","110311","0","2","61181","0","5152061","0","0","12"
"7","0","131911","0","2","61182","0","5152061","0","0","12"
"10","0","102311","0","2","61183","0","5152061","0","0","12"
"6","0","102111","0","2","61184","0","5152061","0","0","12"
"0","","2.5","","","61185","","5152061","","","93"
"","","61187","","","61186","","5152061","","","101"
"bgm_MC173B","","bgm_MC173B","","","61187","","5152061","","","25"
"0","","0","","","61188","","5152061","","","22"
"107111","1.55","1","382","110","62001","doya_idle","5152062","1","-280","1"
"107611","1.5","1","145","105","62002","idle_normal","5152062","0","-210","1"
"131911","1.57","1","-22","107","62003","joy_idle_normal","5152062","0","-296","1"
"107511","1.57","1","-217","109","62004","wish_idle_joy","5152062","0","-311","1"
"107811","1.53","1","-440","108","62005","cool_idle","5152062","0","-255","1"
"131411","1.45","1","34","103","62006","idle_normal","5152062","0","-136","1"
"131311","1.45","1","-163","104","62007","riri_idle","5152062","0","-146","1"
"131511","1.45","1","-350","105","62008","sad_idle_surprise1","5152062","0","-166","1"
"5","1.5","5","-13","106","62009","empty","5152062","1","-235","5"
"11","1.5","1","145","110","62010","empty","5152062","0","-210","5"
"12","1.57","1","-22","110","62011","empty","5152062","0","-296","5"
"13","1.57","1","-217","110","62012","empty","5152062","0","-311","5"
"14","1.53","1","-440","110","62013","empty","5152062","0","-255","5"
"15","1.45","1","34","107","62014","empty","5152062","0","-136","5"
"16","1.45","1","-163","107","62015","empty","5152062","0","-146","5"
"17","1.45","1","-350","107","62016","empty","5152062","0","-166","5"
"210","","107111","","","62017","","5152062","","","13"
"207","","131911","","","62018","","5152062","","","13"
"209","","107511","","","62019","","5152062","","","13"
"205","","107611","","","62020","","5152062","","","13"
"208","","107811","","","62021","","5152062","","","13"
"203","","131411","","","62022","","5152062","","","13"
"204","","131311","","","62023","","5152062","","","13"
"205","","131511","","","62024","","5152062","","","13"
"1","1.57","1","-13","108","62025","empty","5152062","0","-235","5"
"2","1","2","382","210","62026","empty","5152062","0","11","5"
"1","1","1","0","0","62027","","5152062","","1","31"
"2","0","2","0","0","62028","","5152062","","1","31"
"12","0","12","0","0","62029","","5152062","","1","31"
"3","1","3","0","0","62030","","5152062","","1","31"
"","","0","","","62031","","5152062","","","91"
"telop_2","","3","","","62032","","5152062","","","37"
"0","","0","","0","62033","","5152062","","","102"
"0","","1","","","62034","","5152062","","","93"
"doya_talk","0.2","107111","","1","62035","","5152062","","","3"
"vo_rag_2001","","vo_rag","0","0","62036","","5152062","","","21"
"一大清早的，真虧妳們能聚集在此。","0","107111","1","9","62037","0","5152062","35","1","11"
"","","0","0","0","62038","","5152062","","","91"
"cool_in_joy","0.2","107111","cool_talk_joy","0","62039","","5152062","0","1","3"
"vo_rag_2002","","vo_rag","0","0","62040","","5152062","","","21"
"就來將我珍藏的體操\n傳授給妳們吧♪","0","107111","1","6","62041","0","5152062","35","1","11"
"","","0","0","0","62042","","5152062","","","91"
"cool_idle","0.2","107111","","1","62043","","5152062","","","3"
"gutsB_talk_anger","0.2","131311","","1","62044","","5152062","","","3"
"vo_rag_2003","","vo_rag","0","0","62045","","5152062","","","21"
"無論是何等激烈的體操……\n我都會努力跳完的……！","0","131311","1","10","62046","0","5152062","0","1","11"
"","","0","0","0","62047","","5152062","","","91"
"riri_idle","0.2","131311","","1","62048","","5152062","","","3"
"","","1","","","62049","","5152062","","","26"
"joy_talk_normal","0.2","107111","","1","62050","","5152062","","","3"
"idle_normal","0.2","131911","","1","62051","","5152062","","","3"
"idle_normal","0.2","107511","","1","62052","","5152062","","","3"
"idle_normal","0.2","107611","","1","62053","","5152062","","","3"
"idle_normal","0.2","107811","","1","62054","","5152062","","","3"
"idle_normal","0.2","131411","","1","62055","","5152062","","","3"
"idle_normal","0.2","131311","","1","62056","","5152062","","","3"
"idle_normal","0.2","131511","","1","62057","","5152062","","","3"
"vo_rag_2004","","vo_rag","0","0","62058","","5152062","","","21"
"那就開始囉。\n來，一二一二。\n手再高一點！","0","107111","1","8","62059","2","5152062","0","0","11"
"0","","1.1","0","0","62060","","5152062","","","93"
"bgm_MC175A","","bgm_MC175A","","","62061","","5152062","","","25"
"1","","2","","","62062","","5152062","","","32"
"clapping_in","0.2","107111","clapping_loop","0","62063","","5152062","0","1","3"
"idol_before_dance","0.2","131911","","0","62064","","5152062","","","3"
"idol_before_dance","0.2","107511","","0","62065","","5152062","","","3"
"idol_before_dance","0.2","107611","","0","62066","","5152062","","","3"
"idol_before_dance","0.2","107811","","0","62067","","5152062","","","3"
"idol_before_dance","0.2","131411","","0","62068","","5152062","","","3"
"idol_before_dance","0.2","131311","","0","62069","","5152062","","","3"
"idol_before_dance","0.2","131511","","0","62070","","5152062","","","3"
"","","0","","","62071","","5152062","","","91"
"1","","12","","","62072","","5152062","","","32"
"idol_danceF","0.2","131911","","1","62073","","5152062","","","3"
"idol_danceF","0.2","107511","","1","62074","","5152062","","","3"
"idol_danceF","0.2","107611","","1","62075","","5152062","","","3"
"idol_danceF","0.2","107811","","1","62076","","5152062","","","3"
"idol_danceB_in","0.2","131411","idol_danceB_loop","0","62077","","5152062","0","1","3"
"idol_danceB_in","0.2","131311","idol_danceB_loop","0","62078","","5152062","0","1","3"
"idol_danceB_in","0.2","131511","idol_danceB_loop","0","62079","","5152062","0","1","3"
"idol_danceF","0.2","12","","1","62080","","5152062","","","3"
"idol_danceF","0.2","13","","1","62081","","5152062","","","3"
"idol_danceF","0.2","11","","1","62082","","5152062","","","3"
"idol_danceF","0.2","14","","1","62083","","5152062","","","3"
"idol_danceB_loop","0.2","15","","1","62084","","5152062","","","3"
"idol_danceB_loop","0.2","16","","1","62085","","5152062","","","3"
"idol_danceB_loop","0.2","17","","1","62086","","5152062","","","3"
"0","","2.8","0","0","62087","","5152062","","","93"
"0","","0.1","0","0","62088","","5152062","","","93"
"pointing_in_anger","0.2","107111","pointing_loop_anger","0","62089","","5152062","0","1","3"
"0","","0.5","0","0","62090","","5152062","","","93"
"vo_rag_2005","","vo_rag","0","0","62091","","5152062","","","21"
"0204_in","0","2","","0","62092","","5152062","","","3"
"0","","2.5","","","62093","","5152062","","","93"
"0204_out","0","2","","0","62094","","5152062","","","3"
"0","","0.2","","","62095","","5152062","","","93"
"angry_loop","0.2","107111","","1","62096","","5152062","","","3"
"vo_rag_2006","","vo_rag","0","0","62097","","5152062","","","21"
"0205_in","0","2","","0","62098","","5152062","","","3"
"0","","2.2","","","62099","","5152062","","","93"
"0205_out","0","2","","0","62100","","5152062","","","3"
"0","","0.3","","","62101","","5152062","","","93"
"clapping_in_talk2","0.2","107111","clapping_loop_talk2","0","62102","","5152062","0","1","3"
"0","","2.1","","","62103","","5152062","","","93"
"out","","12","","","62104","","5152062","","","37"
"idol_poseF_in","0.1","131911","idol_poseF_loop","0","62105","","5152062","0","1","3"
"idol_poseF_in","0.1","107511","idol_poseF_loop","0","62106","","5152062","0","1","3"
"idol_poseF_in","0.1","107611","idol_poseF_loop","0","62107","","5152062","0","1","3"
"idol_poseF_in","0.1","107811","idol_poseF_loop","0","62108","","5152062","0","1","3"
"idol_poseB_in","0.1","131411","idol_poseB_loop","0","62109","","5152062","0","1","3"
"idol_poseB_in","0.1","131311","idol_poseB_loop","0","62110","","5152062","0","1","3"
"idol_poseB_in","0.1","131511","idol_poseB_loop","0","62111","","5152062","0","1","3"
"empty","0.2","12","","1","62112","","5152062","","","3"
"empty","0.2","13","","1","62113","","5152062","","","3"
"empty","0.2","11","","1","62114","","5152062","","","3"
"empty","0.2","14","","1","62115","","5152062","","","3"
"empty","0.2","15","","1","62116","","5152062","","","3"
"empty","0.2","16","","1","62117","","5152062","","","3"
"empty","0.2","17","","1","62118","","5152062","","","3"
"93","","107611","0.7","-206","62119","","5152062","","11","2"
"-13","","131911","0.7","-235","62120","","5152062","","11","2"
"-152","","107511","0.7","-248","62121","","5152062","","11","2"
"-277","","107811","0.7","-243","62122","","5152062","","11","2"
"8","","131411","0.7","-151","62123","","5152062","","11","2"
"-102","","131311","0.7","-154","62124","","5152062","","11","2"
"-222","","131511","0.7","-167","62125","","5152062","","11","2"
"0","","1.6","","","62126","","5152062","","","93"
"finish","","2","","","62127","","5152062","","","37"
"se_10058300_idle_finish","","se_10058300","","0","62128","","5152062","","","23"
"bgm_MC173B","0","bgm_MC173B","0.5","0.5","62129","","5152062","1","0","27"
"0","","0","","","62130","","5152062","","","93"
"clapping_end","0.1","107111","","0","62131","","5152062","","","3"
"0","","2","","","62132","","5152062","","","93"
"armcrossed_in","0.2","107111","armcrossed_talk","0","62133","","5152062","0","1","3"
"vo_rag_2007","","vo_rag","0","0","62134","","5152062","","","21"
"就樣就結束了！哼……漂亮☆\n偶像之路雖然艱辛，\n但是妳們想必能夠做到的吧。","0","107111","1","7","62135","0","5152062","35","1","11"
"","","0","0","0","62136","","5152062","","","91"
"armcrossed_idle","0.2","107111","","1","62137","","5152062","","","3"
"pack_in","0","5","pack_talk","0","62138","","5152062","0","1","3"
"se_10058300_pack_appear","","se_10058300","","0","62139","","5152062","","","23"
"idol_poseF_end_emilia_in","0.2","131911","idol_poseF_end_emilia_loop","0","62140","","5152062","0","1","3"
"0","","1","","","62141","","5152062","","","93"
"vo_rag_2008","","vo_rag","0","0","62142","","5152062","","","21"
"我說，莉雅，\n這個算是廣播體操嗎？","5","5","1","7","62143","0","5152062","24","1","11"
"","","0","0","0","62144","","5152062","","","91"
"0","","0","","","62145","","5152062","","","22"
"idol_poseF_end_emilia_loop_nervous","0.2","131911","","1","62146","","5152062","","","3"
"idol_poseF_end_emilia_nervous_in","0","1","idol_poseF_end_emilia_loop","0","62147","","5152062","0","1","3"
"pack_idle","0.2","5","","1","62148","","5152062","","","3"
"chris_laugh","0.2","107111","","1","62149","","5152062","","","3"
"se_10058300_emotion_idol","","se_10058300","","0","62150","","5152062","","","23"
"5","5","5","0","2","62151","0","5152062","5","0","12"
"10","0","107111","0","2","62152","0","5152062","0","0","12"
"0","","2.5","","","62153","","5152062","","","93"
"","","62155","","","62154","","5152062","","","101"
"bgm_MC173B","","bgm_MC173B","","","62155","","5152062","","","25"
"0","","0","","","62156","","5152062","","","22"
"131711","1.8","1","124","109","63001","ames_sit_idle","5152063","1","-215","1"
"132011","1.8","1","-119","108","63002","echidna_sit_thinking_idle","5152063","0","-215","1"
"1","1.8","1","-119","109","63003","empty","5152063","0","-215","5"
"209","","131711","","","63004","","5152063","","","13"
"208","","132011","","","63005","","5152063","","","13"
"1","1","1","0","0","63006","","5152063","","1.16","31"
"10","1","10","0","0","63007","","5152063","","1","31"
"5","0","5","0","0","63008","","5152063","","1","31"
"3","1","3","0","0","63009","","5152063","","1","31"
"0","","0","","","63010","","5152063","","","91"
"telop_3","","3","","","63011","","5152063","","","37"
"0","","0","","0","63012","","5152063","","","102"
"0","","1","","","63013","","5152063","","","93"
"echidna_sit_thinking_talk","0.2","132011","","1","63014","","5152063","","","3"
"vo_rag_5001","","vo_rag","0","0","63015","","5152063","","","21"
"在這個世界上，\n似乎有著只在「偶像」\n這種族間流傳的傳統體操呢。","-20","132011","1","7","63016","0","5152063","50","1","11"
"","","0","0","0","63017","","5152063","","","91"
"echidna_sit_talk","0.2","132011","","1","63018","","5152063","","","3"
"vo_rag_5002","","vo_rag","0","0","63019","","5152063","","","21"
"妳是富有知識的存在吧？\n能不能把那些動作\n也教給我呢？","-20","132011","1","8","63020","0","5152063","50","1","11"
"","","0","0","0","63021","","5152063","","","91"
"echidna_sit_idle","0.2","132011","","1","63022","","5152063","","","3"
"ames_yareyare_in","0.2","131711","ames_yareyare_talk","0","63023","","5152063","0","1","3"
"vo_rag_5003","","vo_rag","0","0","63024","","5152063","","","21"
"居然提出這麼麻煩的要求。","20","131711","1","6","63025","0","5152063","50","1","11"
"","","0","0","0","63026","","5152063","","","91"
"ames_sit_talk","0.2","131711","","1","63027","","5152063","","","3"
"vo_rag_5004","","vo_rag","0","0","63028","","5152063","","","21"
"雖然其中好像有很多誤解，\n不過就算了。","20","131711","1","7","63029","0","5152063","50","1","11"
"","","0","0","0","63030","","5152063","","","91"
"vo_rag_5005","","vo_rag","0","0","63031","","5152063","","","21"
"那麼，\n妳試著跟我做一樣的動作。","20","131711","1","7","63032","0","5152063","50","1","11"
"","","0","0","0","63033","","5152063","","","91"
"ames_sit_out","0.2","131711","idle_normal","0","63034","","5152063","0","1","3"
"0","","0.1","","","63035","","5152063","","","93"
"echidna_sit_out","0.2","132011","idle_normal","0","63036","","5152063","0","1","3"
"out","","10","","","63037","","5152063","","","37"
"0","","1","","","63038","","5152063","","","93"
"","","0","0","0","63039","","5152063","","","91"
"bgm_MC175A","","bgm_MC175A","","","63040","","5152063","","","25"
"1","","5","","","63041","","5152063","","","32"
"isekai_dance","0.2","131711","","1","63042","","5152063","","","3"
"0","","0.1","","","63043","","5152063","","","93"
"isekai_dance","0.2","132011","","1","63044","","5152063","","","3"
"vo_rag_5006","","vo_rag","0","0","63045","","5152063","","","21"
"來，一二一二、\n踏步踏步……","0","131711","1","7","63046","1.7","5152063","0","0","11"
"0","","7","","","63047","","5152063","","","93"
"","","0","0","0","63048","","5152063","","","91"
"vo_rag_5007","","vo_rag","0","0","63049","","5152063","","","21"
"一、二……一、二……\n呼、呼……\n今天就先、到此為止、吧……","0","132011","1","9","63050","0","5152063","0","1","11"
"0","","3.4","","","63051","","5152063","","","93"
"bgm_MC173B","0","bgm_MC173B","0.5","0.5","63052","","5152063","1","0","27"
"out","","5","","","63053","","5152063","","","37"
"tired_in","0","1","tired_talk","0","63054","","5152063","0","1","3"
"echidna_tired_in","0","132011","echidna_tired_talk","0","63055","","5152063","0","1","3"
"se_10058300_isekai_breath","","se_10058300","","0","63056","","5152063","","","23"
"0","","7.6","","","63057","","5152063","","","93"
"","","63050","0","0","63058","","5152063","","","91"
"tired_idle","0.2","1","","1","63059","","5152063","","","3"
"echidna_tired_idle","0.2","132011","","1","63060","","5152063","","","3"
"shock_in","0","131711","shock_talk","0","63061","","5152063","0","1","3"
"vo_rag_5008","","vo_rag","0","0","63062","","5152063","","","21"
"騙人的吧！才只做了\n一點點而已耶！","0","131711","1","7","63063","0","5152063","0","1","11"
"","","0","0","0","63064","","5152063","","","91"
"shock_to_surprise","0.2","131711","surprise_idle","0","63065","","5152063","","1","3"
"empty","0.2","1","","1","63066","","5152063","","","3"
