bee5355d1dc8b88af2b6ee900afc647f7f4bd58c6e5a8c2852c58c8660d4c3a1,fcf7429fbe169df2288b689369aaec40798360821dcb90e1677068eba0fed738,0da18068376a7793132b26533bea32178367a0d8f15cd2e4ee35085c305a261e,a3f1881e4ef52fc781b1bfb5ca60d346dd5a05d1436685dd2954e0080812b2f9,ffd47698d991fa1c2252c94c1c364993709b7abe242b18b28f2093774939218c
"7","戰鬥開始時，大幅度降低全體角色的物理防禦力。","降低物理防禦力","81001020","100102008"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001021","100102101"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001021","100102102"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001021","100102103"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001021","100102104"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001021","100102105"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001021","100102106"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001022","100102201"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001022","100102202"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001022","100102203"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001022","100102204"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001022","100102205"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001022","100102206"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001023","100102301"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001023","100102302"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001023","100102303"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001023","100102304"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001023","100102305"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001023","100102306"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001024","100102401"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001024","100102402"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001024","100102403"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001024","100102404"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001024","100102405"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001024","100102406"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001025","100102501"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001025","100102502"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001025","100102503"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001025","100102504"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001025","100102505"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001025","100102506"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001026","100102601"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001026","100102602"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001026","100102603"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001026","100102604"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001026","100102605"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001026","100102606"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001027","100102701"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001027","100102702"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001027","100102703"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001027","100102704"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001027","100102705"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001027","100102706"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001028","100102801"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001028","100102802"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001028","100102803"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001028","100102804"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001028","100102805"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001028","100102806"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001029","100102901"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001029","100102902"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001029","100102903"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001029","100102904"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001029","100102905"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001029","100102906"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001030","100103001"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001030","100103002"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001030","100103003"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001030","100103004"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001030","100103005"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001030","100103006"
"boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","減少TP下降","81001030","100103007"
"2","戰鬥開始時，特大幅度減少全體角色的HP回復量。","降低HP恢復量","81001030","100103008"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001031","100103101"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001031","100103102"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001031","100103103"
"boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001031","100103104"
"boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001031","100103105"
"9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","81001031","100103106"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001032","100103201"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001032","100103202"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001032","100103203"
"boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001032","100103204"
"boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001032","100103205"
"9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","81001032","100103206"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001033","100103301"
