286317b5e71e1fdbf29820a2c96588ddcd85fb732f8b65038b4ba1f390c6c7e4,bb717c071c1b4c6cb3ffa89b58db82d8661dfca7606d732eeeebae8ce7440627,0828c3a6d60b24f22336bcaff44ee1e7028f47b737047e2cd57f4def4e51ed99,18525f658d37cbba455a5b3c6ffb33fefe522eed38bc53cc69a26759ff01a8c0,84c82582bad477b2984b20e8e0adb647df2e858c80d422cb98abf3378676c023,1d075905652884ad36eac8b4bef04a7decc9eb0c41bed5d1763d9f2c9fd22c92,8e764655a1580273ef7ccae567aea7ca4f0f80ae7bb12acf11e27c178324267a,6e074fdfe49ab7e531a5495edbd206c1c8e6e43c47f37095826543e876509a77,744eb978c1b466f5aa782de4c92c1279cc97aa081182e968f383c4e8e0dd01c2,4005ca77c040606733f43de1214bad717dae4cb127c44465dcd188c409cb90ae,c82c4fd27d23e43c9845fb48163687c706708a2996ea9da565671ed9452da12c
"look_loop","look_in","0","","1000001","2001","0","0","3","120010016","1"
"","0","","","1.3","2001","","","93","120010017",""
"0","998","","","12","2101","0","0","31","121010001","1"
"0","997","","","14","2101","0","0","31","121010002","1"
"0","996","","","16","2101","0","0","31","121010003","1"
"","0","","","31000001","2101","","","32","121010004",""
"","0","","","31000002","2101","","","32","121010005",""
"1","0","","","0","2101","-1","0","121","121010006","0"
"","1","","","1","2101","","","35","121010007",""
"","1","","","3","2101","","","35","121010008",""
"","pointing","","","1000001","2101","0","0","3","121010009",""
"","0","","","1","2101","","","93","121010010",""
"1.47","100","","","505","2101","-1.47","0","121","121010011","2"
"","run_talk1","","","1000001","2101","1","0.2","3","121010012",""
"1","100","","","1000001","2101","-240","","2","121010013","0"
"","se_travel_treasure_cha_run","","","se_travel","2101","0","","23","121010014",""
"","0","","","1","2101","","","93","121010015",""
"0","998","","","11","2201","0","0","31","122010001","1"
"0","997","","","13","2201","0","0","31","122010002","1"
"0","996","","","15","2201","0","0","31","122010003","1"
"","0","","","31000001","2201","","","32","122010004",""
"","0","","","31000002","2201","","","32","122010005",""
"","1","","","1","2201","","","35","122010006",""
"","1","","","3","2201","","","35","122010007",""
"","pointing","","","1000001","2201","0","0","3","122010008",""
"","0","","","1","2201","","","93","122010009",""
"1.47","100","","","-505","2201","1.47","0","121","122010010","2"
"","run_talk1","","","1000001","2201","1","0.2","3","122010011",""
"1","100","","","1000001","2201","-240","","2","122010012","0"
"","se_travel_treasure_cha_run","","","se_travel","2201","0","","23","122010013",""
"","0","","","1","2201","","","93","122010014",""
"0","300000","","","300000","3000","345.4","0","31","130000001","1"
"","","","","0","3000","","","91","130000002",""
"1.05","1.05","","","1.05","3000","1.05","0","123","130000003","7.4"
"","wait","","","1000001","3000","0","0.2","3","130000004",""
"","1","","","2","3000","","","35","130000005",""
"","0","","","4.9","3000","","","93","130000006",""
"0.95","0.95","","","0.95","3000","0.95","0","123","130000007","0.4"
"","1","","","300000","3000","","","32","130000008",""
"","0","","","0.1","3000","","","93","130000009",""
"","0","","","2","3000","","","32","130000010",""
"","0","","","0.1","3000","","","93","130000011",""
"","1","","","996","3000","","","32","130000012",""
"","joy_from_wait","","","1000001","3000","0","0","3","130000013",""
"","0","","","1.9","3000","","","93","130000014",""
"","glad_from_joy","","","1000001","3000","0","0","3","130000015",""
"","0","","","1.5","3000","","","93","130000016",""
"","run_gatein","","","1000001","3000","1","0.2","3","130000017",""
"","se_travel_treasure_cha_run","","","se_travel","3000","","","23","130000018",""
"1","450","","","1000001","3000","-195","","2","130000019","0"
"","1","","","0.5","3000","","","93","130000020",""
"1","1","0","","1000001","3000","1","0.4","6","130000021","0"
"","0","","","0.4","3000","","","93","130000022",""
"","","","","1","3000","","","113","130000023",""
"0","300100","","","300100","3001","345.4","0","31","130010001","1"
"0","990001","","","990001","3001","345.4","1","31","130010002","1"
"","","","","0","3001","","","91","130010003",""
"1.05","1.05","","","1.05","3001","1.05","0","123","130010004","7.4"
"","wait","","","1000001","3001","0","0.2","3","130010005",""
"","1","","","2","3001","","","35","130010006",""
"","0","","","5.4","3001","","","93","130010007",""
"0.95","0.95","","","0.95","3001","0.95","0","123","130010008","0.4"
"","glad","","","1000001","3001","0","0.2","3","130010009",""
"","1","","","300100","3001","","","32","130010010",""
"","1","","","996","3001","","","32","130010011",""
"","0","","","0.1","3001","","","93","130010012",""
"","0","","","2","3001","","","32","130010013",""
"","0","","","3","3001","","","32","130010014",""
"","0","","","1.5","3001","","","93","130010015",""
"","joy","","","1000001","3001","0","0.2","3","130010016",""
"","0","","","1.7","3001","","","93","130010017",""
"","run_gatein","","","1000001","3001","1","0","3","130010018",""
"1","450","","","1000001","3001","-195","","2","130010019","0"
"","1","","","0.5","3001","","","93","130010020",""
"1","1","0","","1000001","3001","1","0.4","6","130010021","0"
"","0","","","0.4","3001","","","93","130010022",""
"","","","","1","3001","","","113","130010023",""
"0","300100","","","300100","3002","345.4","0","31","130020001","1"
"0","990002","","","990002","3002","345.4","1","31","130020002","1"
"","","","","0","3002","","","91","130020003",""
"1.05","1.05","","","1.05","3002","1.05","0","123","130020004","7.4"
"","wait","","","1000001","3002","0","0.2","3","130020005",""
"","1","","","2","3002","","","35","130020006",""
"","0","","","5.4","3002","","","93","130020007",""
"0.95","0.95","","","0.95","3002","0.95","0","123","130020008","0.4"
"","glad","","","1000001","3002","0","0.2","3","130020009",""
"","1","","","300100","3002","","","32","130020010",""
"","1","","","996","3002","","","32","130020011",""
"","0","","","0.1","3002","","","93","130020012",""
"","0","","","2","3002","","","32","130020013",""
"","0","","","3","3002","","","32","130020014",""
"","0","","","1.5","3002","","","93","130020015",""
"","joy","","","1000001","3002","0","0.2","3","130020016",""
"","0","","","1.7","3002","","","93","130020017",""
"","run_gatein","","","1000001","3002","1","0","3","130020018",""
"1","450","","","1000001","3002","-195","","2","130020019","0"
"","1","","","0.5","3002","","","93","130020020",""
"1","1","0","","1000001","3002","1","0.4","6","130020021","0"
"","0","","","0.4","3002","","","93","130020022",""
"","","","","1","3002","","","113","130020023",""
"0","6","","","6","3011","345.4","0","31","130110001","1"
"0","8","","","8","3011","345.4","0","31","130110002","1"
"0","301100","","","301100","3011","345.4","0","31","130110003","1"
"","","","","0","3011","","","91","130110004",""
"1.05","1.05","","","1.05","3011","1.05","0","123","130110005","7.4"
"","wait","","","1000001","3011","0","0.2","3","130110006",""
"","1","","","2","3011","","","35","130110007",""
"","0","","","4.9","3011","","","93","130110008",""
"0.95","0.95","","","0.95","3011","0.95","0","123","130110009","0.3"
"","se_travel_treasure_ghost_success","","","se_travel","3011","0","","23","130110010",""
"","1","","","8","3011","","","32","130110011",""
"","0","","","8","3011","","","35","130110012",""
"","1","","","6","3011","","","32","130110013",""
"","0","","","0.1","3011","","","93","130110014",""
"","0","","","2","3011","","","32","130110015",""
"","0","","","3","3011","","","32","130110016",""
"","dotEyes","","","1000001","3011","0","","3","130110017",""
"","0","","","0.87","3011","","","93","130110018",""
"","glad","","","1000001","3011","0","0.2","3","130110019",""
"","1","","","301100","3011","","","32","130110020",""
"","1","","","8","3011","","","35","130110021",""
"","0","","","0.6","3011","","","93","130110022",""
"","1","","","996","3011","","","32","130110023",""
"","0","","","0.5","3011","","","93","130110024",""
"","joy","","","1000001","3011","0","","3","130110025",""
"","0","","","1.67","3011","","","93","130110026",""
"","run_gatein","","","1000001","3011","1","0","3","130110027",""
"1","450","","","1000001","3011","-195","","2","130110028","0"
"","1","","","0.5","3011","","","93","130110029",""
"1","1","0","","1000001","3011","1","0.4","6","130110030","0"
"","0","","","0.4","3011","","","93","130110031",""
"","","","","1","3011","","","113","130110032",""
"","idle","","","1000001","3012","1","0.2","3","130120001",""
"0","13","","","301200","3012","0","0","31","130120002","1"
"0","14","","","101","3012","0","0","31","130120003","1"
"-150","16","","","301204","3012","260","0","31","130120004","1"
"0","17","","","301205","3012","0","0","31","130120005","1"
"0","18","","","6","3012","345.4","0","31","130120006","1"
"0","20","","","301201","3012","345.4","0","31","130120007","1"
"0","21","","","301202","3012","345.4","0","31","130120008","1"
"9340","3","0","round_monster_walk","1","3012","55","1","5","130120009","-234"
"","","","","0","3012","","","91","130120010",""
"1","1","0","","3","3012","1","0","6","130120011","0"
"0","345","0","","3","3012","-234","0","2","130120012","0"
"1.05","1.05","0","","1.05","3012","1.05","0","123","130120013","7.4"
"","wait","","","1000001","3012","0","0.2","3","130120014",""
"","1","","","2","3012","","","35","130120015",""
"0","15","","","301203","3012","0","0","31","130120016","1"
"9340","1000002","0","<weapon>_run","2","3012","57","0.89","1","130120017","-250"
"","0","","","4.3","3012","","","93","130120018",""
"0.95","0.95","","","0.95","3012","0.95","0","123","130120019","0.4"
"","1","","","21","3012","","","32","130120020",""
"","0","","","21","3012","","","35","130120021",""
"","se_travel_treasure_success_monster_helper_1","","","se_travel","3012","","","23","130120022",""
"","1","","","18","3012","","","32","130120023",""
"","0","","","0.1","3012","","","93","130120024",""
"","0","","","2","3012","","","32","130120025",""
"1","1","0","","3","3012","1","0.3","6","130120026","1"
"","1","","","13","3012","","","32","130120027",""
"","round_monster_appear","","","3","3012","0","","3","130120028",""
"","back","","","1000001","3012","0","","3","130120029",""
"","0","","","0.67","3012","","","93","130120030",""
"","round_monster_walk","","","3","3012","0","0.2","3","130120031",""
"1.4","220","","","3","3012","-234","","2","130120032","0"
"","1","","","20","3012","","","32","130120033",""
"","0","","","0.1","3012","","","93","130120034",""
"","0","","","18","3012","","","32","130120035",""
"","0","","","0.5","3012","","","93","130120036",""
"","1","","","1000002","3012","","","4","130120037",""
"0","1445","","","1000002","3012","-240","","2","130120038","0"
"","0","","","0.5","3012","","","93","130120039",""
"","round_monster_attack","","","3","3012","0","0.3","3","130120040",""
"","0","","","0.5","3012","","","93","130120041",""
"","1","","","17","3012","","","32","130120042",""
"","back_loop","","","1000001","3012","0","0.1","3","130120043",""
"","0","","","0.5","3012","","","93","130120044",""
"0","950","","","1000002","3012","-240","","2","130120045","0"
"0.16","650","","","1000002","3012","-240","","2","130120046","0"
"","<weapon>_run","","","1000002","3012","0","0.2","3","130120047",""
"","0","","","0.16","3012","","","93","130120048",""
"","<weapon>_attack_skipQuest","","","1000002","3012","0","0.2","3","130120049",""
"","0","","","0.1","3012","","","93","130120050",""
"0","280","","","3","3012","-234","","2","130120051","0"
"","1","","","3","3012","","","4","130120052",""
"","round_monster_die","","","3","3012","0","0.2","3","130120053",""
"","1","","","16","3012","","","32","130120054",""
"","0","","","0.5","3012","","","93","130120055",""
"0","20","","","1000001","3012","-240","","2","130120056","0"
"","back_origin","","","1000001","3012","0","0","3","130120057",""
"","surprise","","","1000001","3012","0","0.2","3","130120058",""
"","<weapon>_idle","","","1000002","3012","1","0.2","3","130120059",""
"","0","","","0.66","3012","","","93","130120060",""
"","1","","","15","3012","","","32","130120061",""
"","1","","","996","3012","","","32","130120062",""
"1","1","","","3","3012","1","0.6","6","130120063","0"
"","joy_short","","","1000001","3012","0","0.2","3","130120064",""
"","1","","","18","3012","","","32","130120065",""
"","0","","","0.02","3012","","","93","130120066",""
"","0","","","20","3012","","","32","130120067",""
"","0","","","21","3012","","","32","130120068",""
"","0","","","1.5","3012","","","93","130120069",""
"","smile","","","1000001","3012","0","0.2","3","130120070",""
"","<weapon>_run","","","1000002","3012","1","0","3","130120071",""
"","0","","","1000002","3012","","","4","130120072",""
"2","1500","","","1000002","3012","-250","","2","130120073","0"
"","0","","","1","3012","","","93","130120074",""
"1","1","","","1000002","3012","1","0.2","6","130120075","0"
"","run_gatein","","","1000001","3012","1","0.2","3","130120076",""
"1","360","","","1000001","3012","-200","","2","130120077","0"
"","0","","","0.5","3012","","","93","130120078",""
"1","1","","","1000001","3012","1","0.4","6","130120079","0"
"","0","","","0.4","3012","","","93","130120080",""
"","0","","","1","3012","","","113","130120081",""
"0","301300","","","301300","3013","345.4","0","31","130130001","1"
"","","","","0","3013","","","91","130130002",""
"","wait_gradeUp","","","1000001","3013","0","0.2","3","130130003",""
"","1","","","301300","3013","","","32","130130004",""
"","0","","","0.1","3013","","","93","130130005",""
"","0","","","2","3013","","","32","130130006",""
"","0","","","0.8","3013","","","93","130130007",""
"1.05","1.05","","","1.05","3013","1.05","0","123","130130008","0"
"","5","","","5","3013","0.5","","122","130130009",""
"","0","","","1.1","3013","","","93","130130010",""
"1.05","1.05","","","1.05","3013","1.05","0","123","130130011","0"
"","10","","","10","3013","0.5","","122","130130012",""
"","0","","","0.8","3013","","","93","130130013",""
"","glad","","","1000001","3013","0","0.2","3","130130014",""
"","0","","","0.1","3013","","","93","130130015",""
"0.907","0.907","","","0.907","3013","0.907","2","123","130130016","2"
"","0","","","0.3","3013","","","93","130130017",""
"","1","","","996","3013","","","32","130130018",""
"","0","","","0.5","3013","","","93","130130019",""
"","joy","","","1000001","3013","0","0.2","3","130130020",""
"","0","","","1.7","3013","","","93","130130021",""
"","run_gatein","","","1000001","3013","1","0","3","130130022",""
"1","450","","","1000001","3013","-195","","2","130130023","0"
"","1","","","0.5","3013","","","93","130130024",""
"1","1","0","","1000001","3013","1","0.4","6","130130025","0"
"","0","","","0.4","3013","","","93","130130026",""
"","","","","1","3013","","","113","130130027",""
"0","301400","","","301400","3014","345.4","0","31","130140001","1"
"","","","","0","3014","","","91","130140002",""
"1.05","1.05","","","1.05","3014","1.05","0","123","130140003","7.4"
"","wait","","","1000001","3014","0","0.2","3","130140004",""
"","1","","","301400","3014","","","32","130140005",""
"","0","","","0.1","3014","","","93","130140006",""
"","0","","","2","3014","","","32","130140007",""
"","0","","","3.4","3014","","","93","130140008",""
"0.95","0.95","","","0.95","3014","0.95","5","123","130140009","3.2"
"","0","","","1.6","3014","","","93","130140010",""
"","relief","","","1000001","3014","0","0.2","3","130140011",""
"","1","","","996","3014","","","32","130140012",""
"","0","","","1.7","3014","","","93","130140013",""
"","run_gatein","","","1000001","3014","1","0","3","130140014",""
"1","450","","","1000001","3014","-195","","2","130140015","0"
"","1","","","0.5","3014","","","93","130140016",""
"1","1","0","","1000001","3014","1","0.4","6","130140017","0"
"","0","","","0.4","3014","","","93","130140018",""
"","","","","1","3014","","","113","130140019",""
"0","301501","","","301501","3015","345.4","0","31","130150001","1"
"0","301500","","","301500","3015","345.4","1","31","130150002","1"
"","","","","0","3015","","","91","130150003",""
"1.05","1.05","","","1.05","3015","1.05","0","123","130150004","7.4"
"","wait_wakuwaku","","","1000001","3015","0","0.2","3","130150005",""
"","1","","","2","3015","","","35","130150006",""
"","0","","","5.4","3015","","","93","130150007",""
"0.95","0.95","","","0.95","3015","0.95","0","123","130150008","0.4"
"","glad","","","1000001","3015","0","0.2","3","130150009",""
"","1","","","301501","3015","","","32","130150010",""
"","1","","","996","3015","","","32","130150011",""
"","0","","","0.1","3015","","","93","130150012",""
"","0","","","2","3015","","","32","130150013",""
"","0","","","3","3015","","","32","130150014",""
"","0","","","1.5","3015","","","93","130150015",""
"","joy","","","1000001","3015","0","0.2","3","130150016",""
"","0","","","1.7","3015","","","93","130150017",""
"","run_gatein","","","1000001","3015","1","0","3","130150018",""
"1","450","","","1000001","3015","-195","","2","130150019","0"
"","1","","","0.5","3015","","","93","130150020",""
"1","1","0","","1000001","3015","1","0.4","6","130150021","0"
"","0","","","0.4","3015","","","93","130150022",""
"","","","","1","3015","","","113","130150023",""
"0","6","","","6","3016","345.4","0","31","130160001","1"
"0","8","","","8","3016","345.4","0","31","130160002","1"
"-80","301600","","","301600","3016","345.4","0","31","130160003","1"
"0","301601","","","301601","3016","345.4","0","31","130160004","1"
"0","990002","","","990002","3016","345.4","1","31","130160005","1"
"","","","","0","3016","","","91","130160006",""
"1.05","1.05","","","1.05","3016","1.05","0","123","130160007","7.4"
"","wait","","","1000001","3016","0","0.2","3","130160008",""
"","1","","","2","3016","","","35","130160009",""
"","0","","","5.4","3016","","","93","130160010",""
"0.95","0.95","","","0.95","3016","0.95","0","123","130160011","0.4"
"","1","","","8","3016","","","32","130160012",""
"","0","","","8","3016","","","35","130160013",""
"","1","","","301600","3016","","","32","130160014",""
"","1","","","6","3016","","","32","130160015",""
"","0","","","0.1","3016","","","93","130160016",""
"","0","","","2","3016","","","32","130160017",""
"","0","","","3","3016","","","32","130160018",""
"","glad","","","1000001","3016","0","0.1","3","130160019",""
"","se_travel_treasure_success_butterfly","","","se_travel","3016","0","","23","130160020",""
"","0","","","0.5","3016","","","93","130160021",""
"","1","","","8","3016","","","35","130160022",""
"","0","","","1.1","3016","","","93","130160023",""
"","1","","","301601","3016","","","32","130160024",""
"","1","","","996","3016","","","32","130160025",""
"","joy","","","1000001","3016","0","0.2","3","130160026",""
"","0","","","1.67","3016","","","93","130160027",""
"","run_gatein","","","1000001","3016","1","0","3","130160028",""
"","se_travel_treasure_cha_run","","","se_travel","3016","0","","23","130160029",""
"1","450","","","1000001","3016","-195","","2","130160030","0"
"","1","","","0.5","3016","","","93","130160031",""
"1","1","0","","1000001","3016","1","0.4","6","130160032","0"
"","0","","","0.4","3016","","","93","130160033",""
"","","","","1","3016","","","113","130160034",""
"0","310000","","","310000","3017","345.4","0","31","130170001","1"
"0","310001","","","310001","3017","0","0","31","130170002","1"
"0","301700","","","301700","3017","345.4","0","31","130170003","1"
"-115","301701","","","301701","3017","740","0","31","130170004","1"
"0","301702","","","301702","3017","345.4","0","31","130170005","1"
"0","301703","","","301703","3017","345.4","0","31","130170006","1"
"610","15","0","empty","5","3017","100","0.44","5","130170007","-235"
"610","16","0","empty","5","3017","55","0.44","5","130170008","-235"
"","","","","0","3017","","","91","130170009",""
"1.05","1.05","","","1.05","3017","1.05","0","123","130170010","7.4"
"","wait","","","1000001","3017","0","0.2","3","130170011",""
"","1","","","2","3017","","","35","130170012",""
"","0","","","5.4","3017","","","93","130170013",""
"0.95","0.95","","","0.95","3017","0.95","0","123","130170014","0.3"
"","1","","","310000","3017","","","32","130170015",""
"","1","","","310001","3017","","","32","130170016",""
"","0","","","0.2","3017","","","93","130170017",""
"","50","","","50","3017","0.6","","122","130170018",""
"","shock","","","1000001","3017","0","0.2","3","130170019",""
"","0","","","1.6","3017","","","93","130170020",""
"","1","","","301700","3017","","","32","130170021",""
"","0","","","1.2","3017","","","93","130170022",""
"","se_travel_treasure_croce_ui","","","se_travel","3017","0","","23","130170023",""
"","punch","","","15","3017","0","","3","130170024",""
"","punch_B","","","16","3017","0","","3","130170025",""
"","0","","","0.2","3017","","","93","130170026",""
"1.05","1.05","","","1.05","3017","1.05","11","123","130170027","0.1"
"","0","","","0.1","3017","","","93","130170028",""
"0.95","0.95","","","0.95","3017","0.95","0","123","130170029","0.3"
"","0","","","1","3017","","","93","130170030",""
"","se_travel_treasure_croce_door","","","se_travel","3017","0","","23","130170031",""
"","0","","","0.4","3017","","","93","130170032",""
"","1","","","301701","3017","","","32","130170033",""
"","0","","","0.9","3017","","","93","130170034",""
"1.05","1.05","","","1.05","3017","1.05","0","123","130170035","0"
"","75","","","75","3017","0.6","","122","130170036",""
"","1","","","301702","3017","","","32","130170037",""
"","0","","","0.4","3017","","","93","130170038",""
"","0","","","2","3017","","","32","130170039",""
"","0","","","310000","3017","","","32","130170040",""
"","0","","","0.4","3017","","","93","130170041",""
"0.95","0.95","","","0.95","3017","0.95","11","123","130170042","2"
"","0","","","0.2","3017","","","93","130170043",""
"","glad","","","1000001","3017","0","0.2","3","130170044",""
"","1","","","301703","3017","","","32","130170045",""
"","0","","","0.1","3017","","","93","130170046",""
"","1","","","996","3017","","","32","130170047",""
"","0","","","0.9","3017","","","93","130170048",""
"","joy","","","1000001","3017","0","0.2","3","130170049",""
"","0","","","1.7","3017","","","93","130170050",""
"","run_gatein","","","1000001","3017","1","0","3","130170051",""
"","se_travel_treasure_cha_run","","","se_travel","3017","","","23","130170052",""
"1","450","","","1000001","3017","-195","","2","130170053","0"
"","1","","","0.5","3017","","","93","130170054",""
"1","1","0","","1000001","3017","1","0.4","6","130170055","0"
"","0","","","0.4","3017","","","93","130170056",""
"","","","","1","3017","","","113","130170057",""
"0","310000","","","310000","3100","345.4","0","31","131000001","1"
"0","310001","","","310001","3100","0","0","31","131000002","1"
"","","","","0","3100","","","91","131000003",""
"1.05","1.05","","","1.05","3100","1.05","0","123","131000004","7.4"
"","wait","","","1000001","3100","0","0.2","3","131000005",""
"","1","","","2","3100","","","35","131000006",""
"","0","","","5.4","3100","","","93","131000007",""
"0.95","0.95","","","0.95","3100","0.95","0","123","131000008","0.3"
"","1","","","310000","3100","","","32","131000009",""
"","1","","","310001","3100","","","32","131000010",""
"","0","","","0.2","3100","","","93","131000011",""
"","50","","","50","3100","0.6","","122","131000012",""
"","shock","","","1000001","3100","0","0.2","3","131000013",""
"","0","","","1.6","3100","","","93","131000014",""
"","","","","2","3100","","","113","131000015",""
"0","6","","","6","3111","345.4","0","31","131110001","1"
"0","7","","","7","3111","345.4","0","31","131110002","1"
"0","8","","","8","3111","345.4","0","31","131110003","1"
"8000","13","0","appear","3","3111","55","1.3","5","131110004","0"
"","","","","0","3111","","","91","131110005",""
"1","1","0","","13","3111","1","0","6","131110006","0"
"0","95","","","13","3111","-250","","2","131110007","0"
"1.05","1.05","","","1.05","3111","1.05","0","123","131110008","7.4"
"","wait","","","1000001","3111","0","0.2","3","131110009",""
"","1","","","2","3111","","","35","131110010",""
"","0","","","4.9","3111","","","93","131110011",""
"0.95","0.95","","","0.95","3111","0.95","0","123","131110012","0.3"
"","se_travel_treasure_ghost_fail","","","se_travel","3111","0","","23","131110013",""
"","1","","","8","3111","","","32","131110014",""
"","0","","","8","3111","","","35","131110015",""
"","1","","","6","3111","","","32","131110016",""
"","0","","","0.1","3111","","","93","131110017",""
"","0","","","2","3111","","","32","131110018",""
"","0","","","3","3111","","","32","131110019",""
"","dotEyes","","","1000001","3111","0","","3","131110020",""
"","0","","","0.3","3111","","","93","131110021",""
"","appear","","","13","3111","0","","3","131110022",""
"1","1","0","","13","3111","1","0","6","131110023","1"
"","0","","","0.67","3111","","","93","131110024",""
"","shock_jump","","","1000001","3111","0","","3","131110025",""
"1","70","","","1000001","3111","-250","","2","131110026","0"
"","0","","","1.1","3111","","","93","131110027",""
"","escape","","","1000001","3111","1","","3","131110028",""
"1.2","-350","","","1000001","3111","-250","","2","131110029","0"
"","march","","","13","3111","0","","3","131110030",""
"","0","","","0.2","3111","","","93","131110031",""
"","1","","","7","3111","","","32","131110032",""
"","0","","","0.1","3111","","","93","131110033",""
"","0","","","6","3111","","","32","131110034",""
"","0","","","1.6","3111","","","93","131110035",""
"","","","","2","3111","","","113","131110036",""
"","idle","","","1000001","3112","1","0.2","3","131120001",""
"0","13","","","301200","3112","0","0","31","131120002","1"
"0","14","","","101","3112","0","0","31","131120003","1"
"0","15","","","301205","3112","0","0","31","131120004","1"
"-170","16","","","301206","3112","130","0","31","131120005","1"
"0","18","","","6","3112","345.4","0","31","131120006","1"
"0","20","","","301201","3112","345.4","0","31","131120007","1"
"0","21","","","301202","3112","345.4","0","31","131120008","1"
"9340","3","0","round_monster_walk","1","3112","55","1","5","131120009","-234"
"","","","","0","3112","","","91","131120010",""
"1","1","0","","3","3112","1","0","6","131120011","0"
"0","345","0","","3","3112","-234","0","2","131120012","0"
"1.05","1.05","0","","1.05","3112","1.05","0","123","131120013","7.4"
"","wait","","","1000001","3112","0","0.2","3","131120014",""
"","1","","","2","3112","","","35","131120015",""
"","0","","","4.3","3112","","","93","131120016",""
"0.95","0.95","","","0.95","3112","0.95","0","123","131120017","0.4"
"","1","","","21","3112","","","32","131120018",""
"","0","","","21","3112","","","35","131120019",""
"","se_travel_treasure_monster_failure","","","se_travel","3112","","","23","131120020",""
"","1","","","18","3112","","","32","131120021",""
"","0","","","0.1","3112","","","93","131120022",""
"","0","","","2","3112","","","32","131120023",""
"1","1","0","","3","3112","1","0.3","6","131120024","1"
"","1","","","13","3112","","","32","131120025",""
"","round_monster_appear","","","3","3112","0","","3","131120026",""
"","back","","","1000001","3112","0","","3","131120027",""
"","0","","","0.67","3112","","","93","131120028",""
"","round_monster_walk","","","3","3112","0","0.2","3","131120029",""
"1.4","220","0","","3","3112","-234","0","2","131120030","0"
"","1","","","20","3112","","","32","131120031",""
"","0","","","0.1","3112","","","93","131120032",""
"","0","","","18","3112","","","32","131120033",""
"","0","","","1","3112","","","93","131120034",""
"","round_monster_attack","","","3","3112","0","0.3","3","131120035",""
"","0","","","0.5","3112","","","93","131120036",""
"","1","","","15","3112","","","32","131120037",""
"","back_loop","","","1000001","3112","1","0.2","3","131120038",""
"","0","","","1","3112","","","93","131120039",""
"","1","","","16","3112","","","32","131120040",""
"","50","","","0","3112","0.5","","122","131120041",""
"0","40","","","1000001","3112","-250","","2","131120042","0"
"","shock_jump","","","1000001","3112","0","0","3","131120043",""
"","0","","","0.6","3112","","","93","131120044",""
