eb5053e1a3b746bdc15f87f802789ca8bee4ca508550cc811df4e2d326b92d5f,b81539cbb459bfc3deab0b2fcc3d33187b5d95f77292d89413a35fc9f97031d7,e6ed8a46228d9f28b4db5e7521da9891a9ee9bcbc5d85fbff1f4ee47c44e2561,e154d00d4ee18c0b70dac1d002f59461aa2cd84a0287c1da6008a423fb998234,7fcb370032aea23bfcbead741daa6de30c838020668bad8371bc8d38d4761bf4,8cbccb21eb41f59eeaf6935bfd66008917b79840226e95e5d9af378104b3d21f,86c5e9e3ec6d92e33d232cf1651c3bf0fcacae0887de17128310da3c68a2b878
"2","6","1","1","0","7","10"
"2","7","2","1","0","6","10"
"1","8","11","1","0","10","10"
"1","9","8","2","0","10","10"
"1","1","9","1","0","8","11"
"1","2","5","2","0","0","11"
"1","3","6","2","0","12","11"
"1","4","1","1","0","5","11"
"1","5","5","2","0","10","11"
"1","6","6","2","0","12","11"
"1","7","1","1","0","4","11"
"1","8","11","1","0","0","11"
"1","9","6","1","0","0","11"
"1","10","1","2","0","10","11"
"1","11","6","1","0","11","11"
"1","12","1","2","0","12","11"
"1","13","5","2","0","6","11"
"1","14","10","1","0","7","11"
"1","15","4","2","0","7","11"
"1","1","11","2","0","4","12"
"1","2","1","1","0","5","12"
"1","3","6","2","0","10","12"
"1","4","5","2","0","10","12"
"1","5","11","1","0","0","12"
"1","6","6","2","0","0","12"
"1","7","12","2","0","17","12"
"1","8","5","1","0","1","12"
"1","9","1","1","0","2","12"
"1","10","6","2","0","10","12"
"1","11","4","2","0","10","12"
"1","12","1","1","0","0","12"
"1","13","5","1","0","13","12"
"1","14","11","2","0","8","12"
"1","15","8","1","0","10","12"
"1","1","11","1","0","10","13"
"1","2","11","3","0","8","13"
"1","3","6","2","0","0","13"
"1","4","11","1","0","10","13"
"1","5","11","2","0","7","13"
"1","6","2","3","0","6","13"
"1","7","1","3","1500","0","13"
"3","8","11","1","0","5","13"
"1","9","5","3","0","10","13"
"1","10","1","2","0","4","13"
"1","11","1","1","0","4","13"
"1","12","6","3","0","6","13"
"1","13","4","1","0","6","13"
"3","14","9","1","0","10","13"
"1","15","8","3","0","10","13"
"1","16","4","1","0","6","13"
"1","17","1","3","0","0","13"
"1","18","8","2","0","8","13"
"1","1","11","1","0","0","14"
"2","2","2","1","0","13","14"
"1","3","11","3","0","10","14"
"1","4","1","1","0","10","14"
"2","5","4","1","0","10","14"
"1","6","11","2","0","0","14"
"1","7","1","2","0","0","14"
"1","8","1","1","0","10","14"
"1","9","12","3","0","12","14"
"1","10","12","3","0","12","14"
"1","11","5","3","0","0","14"
"1","12","5","1","0","12","14"
"2","13","10","1","0","6","14"
"1","14","11","1","0","10","14"
"3","15","10","1","0","6","14"
"1","16","11","1","0","10","14"
"3","17","2","1","0","6","14"
"2","18","10","1","0","6","14"
"1","19","11","1","0","4","14"
"1","20","8","2","0","10","14"
"3","21","8","1","0","4","14"
"1","1","12","2","0","10","15"
"1","2","12","1","0","12","15"
"1","3","11","3","0","12","15"
"1","4","11","1","0","6","15"
"1","5","12","2","0","12","15"
"1","6","5","2","0","0","15"
"1","7","11","1","0","12","15"
"1","8","1","1","0","0","15"
"1","9","5","1","0","0","15"
"2","10","12","1","0","12","15"
"1","11","11","3","0","0","15"
"1","12","12","3","0","11","15"
"1","13","1","2","0","9","15"
"1","14","1","1","0","12","15"
"1","15","12","1","0","0","15"
"1","16","12","1","0","9","15"
"1","17","11","2","0","4","15"
"3","18","11","1","0","4","15"
"1","19","5","2","0","12","15"
"1","20","12","2","0","0","15"
"1","21","12","2","0","7","15"
"3","22","12","1","0","12","15"
"3","23","1","1","0","7","15"
"1","24","4","3","0","0","15"
"3","25","4","1","0","10","15"
"1","26","8","2","0","0","15"
"1","27","11","1","0","0","15"
"1","28","11","2","0","0","15"
"1","1","6","1","0","0","16"
"1","2","11","2","0","10","16"
"1","3","12","3","0","0","16"
"1","4","4","2","0","0","16"
"1","5","6","1","0","12","16"
"1","6","6","1","0","0","16"
"1","7","4","2","0","4","16"
"1","8","5","3","0","4","16"
"1","9","1","3","0","0","16"
"1","10","12","1","0","17","16"
"1","11","11","2","0","0","16"
"1","12","1","3","0","10","16"
"1","13","11","2","0","11","16"
"1","14","11","3","0","0","16"
"1","15","12","1","0","12","16"
"1","16","11","1","0","10","16"
"1","17","11","1","0","10","16"
"1","18","6","1","0","6","16"
"1","19","11","2","0","6","16"
"1","20","1","3","0","8","16"
"1","21","5","3","0","8","16"
"1","22","4","1","0","9","16"
"1","23","11","1","0","10","16"
"1","1","11","1","0","4","17"
"3","2","4","1","0","10","17"
"1","3","11","1","0","4","17"
"1","4","1","1","0","0","17"
"2","5","1","1","0","10","17"
"1","6","11","2","0","4","17"
"2","7","1","1","0","10","17"
"1","8","11","2","0","4","17"
"1","9","1","3","0","0","17"
"2","10","8","1","0","10","17"
"1","11","12","1","0","12","17"
"1","12","11","3","0","4","17"
"3","13","1","1","0","4","17"
"1","14","11","1","0","10","17"
"2","15","1","1","0","0","17"
"2","16","11","1","0","4","17"
"2","17","8","1","0","7","17"
"1","18","11","1","0","0","17"
"3","19","2","1","0","6","17"
"1","20","10","1","0","10","17"
"1","21","11","2","0","10","17"
"1","22","8","3","0","7","17"
"1","1","11","1","0","4","18"
"2","2","5","1","0","13","18"
"1","3","4","1","0","10","18"
"1","4","4","2","0","10","18"
"1","5","11","3","0","10","18"
"3","6","5","1","0","7","18"
"1","7","11","1","0","10","18"
"1","8","4","3","0","10","18"
"1","9","11","2","0","10","18"
"3","10","5","1","0","6","18"
"1","11","11","1","0","10","18"
"1","12","11","2","0","10","18"
"1","13","4","3","0","10","18"
"2","14","5","1","0","8","18"
"2","15","6","1","0","6","18"
"1","16","10","3","0","0","18"
"1","17","10","2","0","0","18"
"1","18","10","1","0","0","18"
"2","19","10","1","0","7","18"
"1","20","8","1","0","10","18"
"1","21","11","1","0","10","18"
"2","22","2","1","0","9","18"
"2","1","13","1","0","0","19"
"2","2","4","1","0","8","19"
"2","3","8","1","0","0","19"
"2","1","14","1","0","10","20"
"2","2","8","1","0","0","20"
"2","1","15","1","0","13","21"
"2","1","15","1","0","0","22"
"2","2","13","1","0","0","22"
"2","1","42","1","0","0","23"
"2","2","72","1","0","0","23"
"2","1","43","1","0","0","24"
"2","1","44","1","0","0","25"
"2","1","45","1","0","0","26"
"2","1","46","1","0","0","27"
"2","1","47","1","0","0","28"
"2","1","14","1","0","0","29"
"1","1","15","1","0","0","30"
"1","2","8","2","0","0","30"
"1","3","10","1","0","13","30"
"1","4","10","2","0","13","30"
"1","5","12","2","0","9","30"
"1","6","72","1","0","6","30"
"2","7","2","1","0","8","30"
"2","8","13","1","0","0","30"
"1","1","4","1","0","8","31"
"1","2","1","2","0","0","31"
"1","3","10","1","0","6","31"
"1","4","4","2","0","0","31"
"1","5","9","1","0","7","31"
"1","6","1","2","0","0","31"
"1","1","10","1","0","6","32"
"1","2","10","2","0","13","32"
"1","3","1","3","0","0","32"
"1","4","2","2","0","11","32"
"1","5","2","1","0","8","32"
"1","6","1","3","0","0","32"
"1","7","72","3","0","7","32"
"1","1","6","3","0","0","33"
"3","2","10","1","0","13","33"
"1","3","3","3","0","3","33"
"3","4","72","1","0","0","33"
"1","5","12","3","0","2","33"
"2","1","4","1","0","6","34"
"1","2","5","1","0","7","34"
"1","3","1","2","0","0","34"
"1","4","12","2","0","8","34"
"1","5","1","1","0","0","34"
"2","6","15","1","0","0","34"
"2","1","8","1","0","0","35"
"2","2","72","1","0","10","35"
"2","3","13","1","0","0","35"
"2","1","4","1","0","0","36"
"1","2","6","1","0","6","36"
"1","3","1","1","0","0","36"
"1","4","72","2","0","10","36"
"1","5","9","2","0","0","36"
"2","6","2","2","0","7","36"
"2","1","8","1","0","7","37"
"1","2","4","1","0","0","37"
"1","3","5","2","0","0","37"
"2","4","13","1","0","6","37"
"2","1","13","1","0","10","38"
"1","2","5","1","0","8","38"
"1","3","6","2","0","7","38"
"1","4","1","1","0","0","38"
"1","5","9","2","0","7","38"
"1","6","15","2","0","13","38"
"2","7","8","1","0","0","38"
"2","1","4","1","0","6","39"
"1","2","6","1","0","13","39"
"1","3","72","2","0","10","39"
"2","4","13","1","0","6","39"
