16a363e2668d23508f504e9b5c49847551bd10460550b48b9e8fa3658718abe3,7054ae07499b368f93aceac1829039bf58c55fbbc3641546c4929db9ca9c5c75,4731fdc1f4b961c4ee27bd89c4e6ea2cfe72fcba95566c717587f86a1c61f2af,11a8561500b82c0327ac893334a7e8f78c5dc08e22ea198ac11fab09713fe1f9,cdf1f69b6096871acff121de4586523611dbdda8fb76bd99b36f48643d478efb,ac1e7c435dad87d389fd4c680d16fcdbfa411334161ade301584596eb8a6afcb,ace5c283107f49db4213b7ef7ccd0c0f5cd6d7d26991a87144cb8ff90414ae1f,cd08444b107eac188c4e9e5dcf971f18ef3598e2d25e8881ed1e3b4eb4a5add9,1cac1c491ceaae70c9547242626e24e7baa20736696083016093b39cf1539c8d
"7","100507","21","1005","21","累積獲得21個★","100500007","1","4101"
"8","100508","24","1005","24","累積獲得24個★","100500008","0","4101"
"9","100509","27","1005","27","累積獲得27個★","100500009","1","4101"
"10","100510","30","1005","30","累積獲得30個★","100500010","0","4101"
"11","100511","33","1005","33","累積獲得33個★","100500011","0","4101"
"12","100512","36","1005","36","累積獲得36個★","100500012","1","4101"
"13","100513","39","1005","39","累積獲得39個★","100500013","0","4101"
"14","100514","42","1005","42","累積獲得42個★","100500014","0","4101"
"15","100515","45","1005","45","累積獲得45個★","100500015","1","4101"
"16","100516","48","1005","48","累積獲得48個★","100500016","0","4101"
"17","100517","51","1005","51","累積獲得51個★","100500017","1","4101"
"18","100518","54","1005","54","累積獲得54個★","100500018","0","4101"
"1","100601","3","1006","3","累積獲得3個★","100600001","0","4101"
"2","100602","6","1006","6","累積獲得6個★","100600002","0","4101"
"3","100603","9","1006","9","累積獲得9個★","100600003","1","4101"
"4","100604","12","1006","12","累積獲得12個★","100600004","0","4101"
"5","100605","15","1006","15","累積獲得15個★","100600005","0","4101"
"6","100606","18","1006","18","累積獲得18個★","100600006","0","4101"
"7","100607","21","1006","21","累積獲得21個★","100600007","1","4101"
"8","100608","24","1006","24","累積獲得24個★","100600008","0","4101"
"9","100609","27","1006","27","累積獲得27個★","100600009","1","4101"
"10","100610","30","1006","30","累積獲得30個★","100600010","0","4101"
"11","100611","33","1006","33","累積獲得33個★","100600011","0","4101"
"12","100612","36","1006","36","累積獲得36個★","100600012","1","4101"
"13","100613","39","1006","39","累積獲得39個★","100600013","0","4101"
"14","100614","42","1006","42","累積獲得42個★","100600014","0","4101"
"15","100615","45","1006","45","累積獲得45個★","100600015","1","4101"
"16","100616","48","1006","48","累積獲得48個★","100600016","0","4101"
"17","100617","51","1006","51","累積獲得51個★","100600017","1","4101"
"18","100618","54","1006","54","累積獲得54個★","100600018","0","4101"
"1","100701","3","1007","3","累積獲得3個★","100700001","0","4101"
"2","100702","6","1007","6","累積獲得6個★","100700002","0","4101"
"3","100703","9","1007","9","累積獲得9個★","100700003","1","4101"
"4","100704","12","1007","12","累積獲得12個★","100700004","0","4101"
"5","100705","15","1007","15","累積獲得15個★","100700005","0","4101"
"6","100706","18","1007","18","累積獲得18個★","100700006","0","4101"
"7","100707","21","1007","21","累積獲得21個★","100700007","1","4101"
"8","100708","24","1007","24","累積獲得24個★","100700008","0","4101"
"9","100709","27","1007","27","累積獲得27個★","100700009","1","4101"
"10","100710","30","1007","30","累積獲得30個★","100700010","0","4101"
"11","100711","33","1007","33","累積獲得33個★","100700011","0","4101"
"12","100712","36","1007","36","累積獲得36個★","100700012","1","4101"
"13","100713","39","1007","39","累積獲得39個★","100700013","0","4101"
"14","100714","42","1007","42","累積獲得42個★","100700014","0","4101"
"15","100715","45","1007","45","累積獲得45個★","100700015","1","4101"
"16","100716","48","1007","48","累積獲得48個★","100700016","0","4101"
"17","100717","51","1007","51","累積獲得51個★","100700017","1","4101"
"18","100718","54","1007","54","累積獲得54個★","100700018","0","4101"
