b58488b89523d948d90bec3c5ca2b40625c9485d1488434235b27d6486efe911,85a0aabc580f2641cd39ef1cf195a0e8dd01cfca4f2c5b04d817e3630496381e,d7312bb0986ae24e8ce6fca5ecb8d0256d35b6f3ff0428a418c3eeae5980eb64,da9a6f84b2d0f8ef02cc09e0ad5fafe6e68a70975d40571cad2197cea546b68a,ac6ec827301036016f518055ec68dcfda0e9f0ee6aa75e36dfb7ed1e75930fb5,c4767686b398e3b0079ac7855558b06b3c103ba950e8c3f38622c4e55303747b,47416c9d4bd784c1e63aba6eacaff14065cb5f4989f5b77b386beaf2c0bcd05b,2993cebe8c07b2bbb469d076cfa4d4673db402a1eceba7196888bbd4f810a834,89819b2cfa33c9a48e14e1ccac7e2c2d28736b9401f80429abacc2574f3f3851,c84599157163c71a76373c8420e29f872ed22a2b7ba4bd2bc92e9c3d014f01b3,8ca90db42e0970293e6dd59a47459b6c728326088297745ab24ebc56cfe55246,2939c765bc8d21cd61e2375a9693fbbd752e6f14b37264f202b8e5503fcf353b,a26049f9e4c4e681d064336a354a1919dc501aa76680e13a6555ff8e4ab1108d,27cba17ee9a8ff28e1b641a4fff8c21e946278531941acf7b472801de96eb6e0,d0595a51a5b33f1e509205bfc0b43dd8960ecb6918fc3772fb2ccd65c3efc44b,7dc33b624a30ba56e6069611a91ba73c92139d12de2361e47e15d93da7d572cc
"阿澄佳奈","8","0","156","3","親人又多話的妹系少女","15","44","101101","璃乃","25","A","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","裁縫","人族","拉比林斯"
"大橋彩香","12","0","156","6","為了大家使用超能力的睡美人","17","46","101201","初音","24","A","我是初音！　是遇到麻煩的人的夥伴呦！\n有困擾時，隨時都可以跟我說喔♪\n會用我的超……魔，魔法來幫忙的！","和妹妹一起玩、回籠覺、午睡、早睡","精靈族","森林守衛"
"佳村はるか","8","0","166","13","宅宅暴走的魔法少女","18","55","101301","七七香","21","O","","讀書、魔法","魔族","暮光流星群"
"水瀬いのり","11","0","152","10","頭腦聰明的美少女名偵探","15","41","101401","霞","3","AB","test","讀書、推理","獸人族","哞哞自衛隊"
"國府田マリ子","9","0","165","6","充滿母性又溫柔，大家的「美里老師」","21","54","101501","美里","5","O","test","製作繪本","精靈族","森林守衛"
"上坂すみれ","4","0","167","14","天真浪漫的人氣超級名模","18","48","101601","鈴奈","10","O","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","時尚","魔族","月光學院"
"高森奈津美","7","0","158","10","隨時都「船到橋頭自然直」的天真少女","19","53","101701","香織","7","A","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","跳舞、空手道","獸人族","哞哞自衛隊"
"伊藤静","8","0","162","14","魅惑眾多男性的純潔女老師","23","52","101801","伊緒","14","B","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","看戀愛小說、戀愛劇、戀愛漫畫","魔族","月光學院"
"日高里菜","4","0","117","5","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","10","21","102001","美美","3","O","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","蒐集可愛的東西","獸人族","小小甜心"
"植田佳奈","6","0","150","9","愛哭又膽小，令人想去保護的女孩","12","40","102101","胡桃","9","B","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","看戲、扮家家酒","人族","咲戀育幼院"
"原紗友里","11","0","150","7","怕生的任性女孩","13","40","102201","依里","22","O","那、那個……這、這種時候，\n該說什麼才好啊……\n嗚嗚，為什麼我不能好好說話呢。","所有遊戲","魔族","惡魔偽王國軍"
"芹澤優","5","0","148","9","永遠跟噗吉在一起！","14","38","102301","綾音","10","B","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","能在房間裡玩的遊戲","人族","咲戀育幼院"
"悠木碧","12","0","154","9","為了大小姐而努力的冒失女僕","15","43","102501","鈴莓","12","O","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","服侍","人族","咲戀育幼院"
"小岩井ことり","1","0","144","11","視玩樂與睡眠為第一的懶惰少女","17","42","102601","鈴","1","B","test","紅豆麵包","獸人族","伊麗莎白牧場"
"橋本ちなみ","7","0","154","13","專情於命中注定對象的少女","16","43","102701","惠理子","30","B","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","實驗、裁縫、料理","魔族","暮光流星群"
"堀江由衣","10","0","156","9","經營育幼院的庶民派溫柔大小姐","17","43","102801","咲戀","4","A","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","經營、茶會","精靈族","咲戀育幼院"
"日笠陽子","1","0","157","4","能歌善舞的超人氣偶像","17","40","102901","望","24","B","總有一天要讓世界上所有的人成為我的粉絲！\n在成為超級偶像的那天之前，\n還請你繼續支持我喔♪","看舞台劇，跳舞","人族","慈樂之音"
"佐藤聡美","8","0","163","15","東國的神祕，請告訴我！","16","51","103001","妮諾","31","O","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","忍法開發","人族","純白之翼 蘭德索爾分部"
"大坪由佳","12","0","157","7","擅長占卜的靈能少女","18","42","103101","忍","22","AB","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","占卜","魔族","惡魔偽王國軍"
"松嵜麗","3","0","157","12","目標成為頂尖商人的元氣大小姐","18","45","103201","秋乃","12","AB","只要跟本小姐在一起，\n就絕不會讓你煩惱錢的事情！","慈善事業","人族","墨丘利財團"
"新田恵海","3","0","142","11","令大家歡笑的歡樂牧場主人","20","35","103301","真陽","3","B","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","相聲","人族","伊麗莎白牧場"
"今井麻美","3","0","164","12","既純情又放心不下的成熟女性","22","55","103401","優花梨","16","A","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","隨意逛街","精靈族","墨丘利財團"
"小倉唯","2","0","118","5","端莊正直的嬌小優等生","8","21","103601","鏡華","2","A","test","讀書","精靈族","小小甜心"
"茅原実里","8","0","149","8","重情義愛捉弄人的劍術少女","13","43","103701","智","11","A","test","劍術、戲弄長輩","人族","王宮騎士團"
"小清水亜美","11","0","153","11","喜愛讀書的體弱少女","14","40","103801","栞","3","A","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","讀書、散步","獸人族","伊麗莎白牧場"
"花澤香菜","6","0","158","6","嚮往「朋友」的精靈之森女孩","13","44","104001","碧","6","AB","在交到新朋友之前……\n就先在BB團\n進行特訓吧！","交朋友的想像訓練","精靈族","森林守衛"
"福原綾香","6","0","163","4","守護人們而歌唱的唱喚士少女","17","46","104201","千歌","3","O","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","各種樂器","人族","慈樂之音"
"小松未可子","8","0","168","10","不輸男人的狂野義氣少女","17","54","104301","真琴","9","O","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","做點心","獸人族","哞哞自衛隊"
"丹下桜","5","0","172","7","曾經支配黑夜的最強吸血鬼","??","50","104401","伊莉亞","5","A","test","征服世界","魔族","惡魔偽王國軍"
"長妻樹里","11","0","157","15","最愛妄想！其實是個害羞少女","18","49","104501","空花","19","AB","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","閱讀小說","人族","純白之翼 蘭德索爾分部"
"沼倉愛美","3","0","158","12","鋤強扶弱的貓娘","18","48","104601","珠希","1","AB","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","與貓咪玩耍","獸人族","墨丘利財團"
"川澄綾子","10","0","171","8","看不見面容的沉著女騎士","25","50","104701","純","25","A","？？？","格鬥技、入浴","人族","王宮騎士團"
"田所あずさ","11","0","163","12","公事私事都效率至上的傭兵少女","20","49","104801","美冬","11","O","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","傭兵等等的打工","人族","墨丘利財團"
"生天目仁美","10","0","168","3","姐姐會照顧你的呦！","18","54","104901","靜流","24","O","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","所有家事","人族","拉比林斯"
"久野美咲","1","0","120","14","稍微有點差距的少女戀情","11","22","105001","美咲","3","A","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","閱讀流行雜誌、蒐集化妝品","魔族","月光學院"
"三石琴乃","3","0","166","13","興趣是實驗的危險科學家","27","53","105101","深月","7","A","雖然我是個科學家，\n但平常也有在醫治病人哦。\n生病的時候就讓我來幫你看診吧。","研究、實驗","人族","暮光流星群"
"徳井青空","3","0","150","11","少女心的毛茸茸生物","18","100","105201","莉瑪","14","A","我是個很平凡、隨處可見的女孩子喔！\n除、除了外表之外……","理毛、聊天","獸人族","伊麗莎白牧場"
"辻あゆみ","7","0","140","15","外表與內心都是孩子的異國軍人","18","33","105301","莫妮卡","28","A","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","逛點心店","人族","純白之翼 蘭德索爾分部"
"木戸衣吹","9","0","153","4","最愛時尚的可愛女孩","14","45","105401","紡希","7","AB","test","裁縫","人族","慈樂之音"
"大関英里","4","0","155","15","何時都會一見鍾情，純情少女","16","43","105501","步未","7","O","test","觀察","精靈族","純白之翼 蘭德索爾分部"
"佐藤利奈","7","0","167","13","散發人情味的帥氣「大姐頭」","25","54","105601","流夏","11","B","test","釣魚","人族","暮光流星群"
"金元寿子","3","0","156","","夢想前往天空冒險的騎空士少女","17","45","105701","吉塔","10","O","我呢，想要成為獨當一面的騎空士。\n有朝一日變成像父親那樣的騎空士，\n旅行直到天空的盡頭。這是我的夢想喔！","冒險、聊天","人族","？？？"
"M・A・O","3","0","156","1","元氣滿點的空腹少女","17","46","105801","貪吃佩可","31","O","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","邊走邊吃、料理","人族","美食殿堂"
"伊藤美来","5","0","140","1","仰慕主人，小小嚮導","11","35","105901","可可蘿","11","B","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","冥想、養育動植物","精靈族","美食殿堂"
"立花理香","9","0","152","1","倒在路旁的謎之貓耳魔法師","14","39","106001","凱留","2","A","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","和貓咪玩耍","獸人族","美食殿堂"
"潘めぐみ","8","0","148","","徬徨的謎樣少女","16","40","106101","矛依未","11","O","沒關係的，即使……只有我一個人。不要緊的，反正我已經習慣了","冒險、回憶故事","人族","？？？"
"優木かな","6","0","155","","目標成為森林守護者的精靈族少女","15","42","106301","亞里莎","17","O","","蒐集漂亮的葉子","精靈族","？？？"
"近藤玲奈","12","0","147","1","失去記憶的龍人族少女","14","???","106401","雪菲","14","B","","讀書、伸展運動","龍人族","美食殿堂"
"小市眞琴","6","0","156","17","專門用拳頭來交朋友的打手龍少女","16","???","106501","嘉夜","25","B","","格鬥技","龍人族","龍族巢穴"
"藤田茜","9","0","145","17","嘴上功夫一流的廢材龍娘","13","???","106601","祈梨","29","AB","","遊戲","龍人族","龍族巢穴"
"大西沙織","4","0","168","17","面帶詭譎的笑容看透一切的臥龍首領。","25","???","106701","帆稀","17","O","","繪畫、讀書","龍人族","龍族巢穴"
"沢城みゆき","7","0","160","3","祕密結社拉比林斯的「迷宮女王」","25","??","106801","拉比林斯達","25","AB","","觀察人類","人族","拉比林斯"
"蒼井翔太","7","0","166","","謎團重重的蘭德索爾之主","29","??","106901","霸瞳皇帝","1","AB","","占卜、支配","獸人族","？？？"
"井口裕香","3","0","149","","隱居在研究所，相當文靜的大姊姊","24","??","107001","似似花","24","O","","模仿、藝術欣賞","精靈族","？？？"
"たかはし智秋","2","0","165","8","自視甚高的王宮騎士團副團長","27","??","107101","克莉絲提娜","7","O","","和強敵之間的競爭","人族","王宮騎士團"
"M・A・O","3","0","156","1","元氣滿點的空腹少女","17","46","107501","貪吃佩可（夏日）","31","O","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","邊走邊吃、料理","人族","美食殿堂"
"伊藤美来","5","0","140","1","仰慕主人，小小嚮導","11","35","107601","可可蘿（夏日）","11","B","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","冥想、養育動植物","精靈族","美食殿堂"
"悠木碧","12","0","154","9","為了大小姐而努力的冒失女僕","15","43","107701","鈴莓（夏日）","12","O","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","服侍","人族","咲戀育幼院"
"立花理香","9","0","152","1","倒在路旁的謎之貓耳魔法師","14","39","107801","凱留（夏日）","2","A","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","和貓咪玩耍","獸人族","美食殿堂"
"沼倉愛美","3","0","158","12","鋤強扶弱的貓娘","18","48","107901","珠希（夏日）","1","AB","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","與貓咪玩耍","獸人族","墨丘利財團"
"田所あずさ","11","0","163","12","公事私事都效率至上的傭兵少女","20","49","108001","美冬（夏日）","11","O","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","傭兵等等的打工","人族","墨丘利財團"
"大坪由佳","12","0","157","7","擅長占卜的靈能少女","18","42","108101","忍（萬聖節）","22","AB","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","占卜","魔族","惡魔偽王國軍"
"雨宮天","1","0","130","7","最愛布丁的幽靈少女","14","32","108201","宮子（萬聖節）","23","B","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","吃布丁","魔族","惡魔偽王國軍"
"久野美咲","1","0","120","14","稍微有點差距的少女戀情","11","22","108301","美咲（萬聖節）","3","A","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","閱讀流行雜誌、蒐集化妝品","魔族","月光學院"
"福原綾香","6","0","163","4","守護人們而歌唱的唱喚士少女","17","46","108401","千歌（聖誕節）","3","O","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","各種樂器","人族","慈樂之音"
"植田佳奈","6","0","150","9","愛哭又膽小，令人想去保護的女孩","12","40","108501","胡桃（聖誕節）","9","B","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","看戲、扮家家酒","人族","咲戀育幼院"
"芹澤優","5","0","148","9","永遠跟噗吉在一起！","14","38","108601","綾音（聖誕節）","10","B","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","能在房間裡玩的遊戲","人族","咲戀育幼院"
"東山奈央","8","0","155","2","最愛幫助別人！　正向思考的格鬥少女","16","44","108701","日和（新年）","27","A","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","助人、打氣加油","獸人族","破曉之星"
"種田梨沙","4","0","158","2","擅長支援戰鬥，心地善良的少女","17","47","108801","優衣（新年）","5","O","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","料理、觀察人類","人族","破曉之星"
"早見沙織","1","0","163","2","冷酷又率直的劍士","18","46","108901","怜（新年）","12","B","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","讀書、騎馬、茶","魔族","破曉之星"
"橋本ちなみ","7","0","154","13","專情於命中注定對象的少女","16","43","109001","惠理子（情人節）","30","B","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","實驗、裁縫、料理","魔族","暮光流星群"
"生天目仁美","10","0","168","3","姐姐會照顧你的呦！","18","54","109101","靜流（情人節）","24","O","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","所有家事","人族","拉比林斯"
"日笠陽子","12","0","156","","和英靈締結契約的馬納歷亞天才公主","17","55","109201","安","1","AB","我是安！總之算是馬納歷亞王國的\n第一公主…不過別太拘謹，\n如果能輕鬆地和我變成好朋友的話，我會很開心的！","讀書","人族","？？？"
"こやまきみこ","2","0","144","","馬納歷亞魔法學院新生","15","45","109301","露","4","O","我叫做露！正在就讀\n馬納歷亞魔法學院。你也願意成為\n露的好朋友嗎？","吃飯，睡覺","人族","？？？"
"福原綾香","11","0","167","","擁有超越人類力量的善良龍人公主","17","67","109401","古蕾婭","3","B","我是古蕾婭。同時繼承了\n龍與人的血統…\n那個…請、請多指教","鋼琴","半人半龍","？？？"
"長妻樹里","11","0","157","15","最愛妄想！其實是個害羞少女","18","49","109501","空花（大江戶）","19","AB","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","閱讀小說","人族","純白之翼 蘭德索爾分部"
"佐藤聡美","8","0","163","15","東國的神祕，請告訴我！","16","51","109601","妮諾（大江戶）","31","O","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","忍法開發","人族","純白之翼 蘭德索爾分部"
"水瀬いのり","2","0","154","","有如鬼助的萬能妹妹女僕","17","??","109701","雷姆","2","?","","戲劇欣賞、詩和散文","鬼族","？？？"
"村川梨衣","2","0","154","","毒舌系魔鬼姐姐女僕","17","??","109801","拉姆","2","?","","讀書","鬼族","？？？"
"高橋李依","9","0","164","","穩重成熟的銀髮半妖精","114","??","109901","愛蜜莉雅","23","?","","幫帕克梳理毛髮、念書","半妖精族","？？？"
"上坂すみれ","4","0","167","14","天真浪漫的人氣超級名模","18","48","110001","鈴奈（夏日）","10","O","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","時尚","魔族","月光學院"
"伊藤静","8","0","162","14","魅惑眾多男性的純潔女老師","23","52","110101","伊緒（夏日）","14","B","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","看戀愛小說、戀愛劇、戀愛漫畫","魔族","月光學院"
"久野美咲","1","0","120","14","稍微有點差距的少女戀情","11","22","110201","美咲（夏日）","3","A","","閱讀流行雜誌、蒐集化妝品","魔族","月光學院"
"堀江由衣","10","0","156","9","經營育幼院的庶民派溫柔大小姐","17","43","110301","咲戀（夏日）","4","A","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","經營、茶會","精靈族","咲戀育幼院"
"小松未可子","8","0","168","10","不輸男人的狂野義氣少女","17","54","110401","真琴（夏日）","9","O","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","做點心","獸人族","哞哞自衛隊"
"高森奈津美","7","0","158","10","隨時都「船到橋頭自然直」的天真少女","19","53","110501","香織（夏日）","7","A","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","跳舞、空手道","獸人族","哞哞自衛隊"
"内田真礼","9","0","155","10","真步真步王國的公主","16","42","110601","真步（夏日）","22","O","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","幻想、蒐集玩偶","獸人族","哞哞自衛隊"
"花澤香菜","6","0","158","6","嚮往「朋友」的精靈之森女孩","13","44","110701","碧（插班生）","6","AB","","交朋友的想像訓練","精靈族","森林守衛"
"種﨑敦美","8","0","154","16","生長在市區的陰暗系精靈族","17","42","110801","克蘿依","7","O","","飛鏢","精靈族","聖德蕾莎女子學院（好朋友社）"
"佐倉綾音","9","0","156","16","天生自由奔放的失禮現代小孩","16","46","110901","琪愛兒","15","O","","跳舞、卡拉OK","人族","聖德蕾莎女子學院（好朋友社）"
"小原好美","2","0","142","16","沉睡於書庫的小小賢人","18","36","111001","優妮","28","O","","讀書","人族","聖德蕾莎女子學院（好朋友社）"
"小倉唯","2","0","118","5","端莊正直的嬌小優等生","8","21","111101","鏡華（萬聖節）","2","A","","讀書","精靈族","小小甜心"
"諸星すみれ","8","0","128","5","愛好冒險的搗蛋鬼","9","27","111201","禊（萬聖節）","10","O","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","惡作劇、探險","人族","小小甜心"
"日高里菜","4","0","117","5","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","10","21","111301","美美（萬聖節）","3","O","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","蒐集可愛的東西","獸人族","小小甜心"
"小倉唯","?","0","142","","到處找人做朋友的死靈術師少女","??","28","111401","露娜","?","?","","找「朋友」之事","人族","？？？"
"たかはし智秋","2","0","165","8","自視甚高的王宮騎士團副團長","27","??","111501","克莉絲提娜（聖誕節）","7","O","","和強敵之間的競爭","人族","王宮騎士團"
"日笠陽子","1","0","157","4","能歌善舞的超人氣偶像","17","40","111601","望（聖誕節）","24","B","","看舞台劇，跳舞","人族","慈樂之音"
"丹下桜","5","0","172","7","曾經支配黑夜的最強吸血鬼","??","50","111701","伊莉亞（聖誕節）","5","A","","征服世界","魔族","惡魔偽王國軍"
"M・A・O","3","0","156","1","元氣滿點的空腹少女","17","46","111801","貪吃佩可（新年）","31","O","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","邊走邊吃、料理","人族","美食殿堂"
"伊藤美来","5","0","140","1","仰慕主人，小小嚮導","11","35","111901","可可蘿（新年）","11","B","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","冥想、養育動植物","精靈族","美食殿堂"
"立花理香","9","0","152","1","倒在路旁的謎之貓耳魔法師","14","39","112001","凱留（新年）","2","A","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","和貓咪玩耍","獸人族","美食殿堂"
"悠木碧","12","0","154","9","為了大小姐而努力的冒失女僕","15","43","112101","鈴莓（新年）","12","O","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","服侍","人族","咲戀育幼院"
"水瀬いのり","11","0","152","10","頭腦聰明的美少女名偵探","15","41","112201","霞（魔法少女）","3","AB","","讀書、推理","獸人族","哞哞自衛隊"
"小清水亜美","11","0","153","11","喜愛讀書的體弱少女","14","40","112301","栞（魔法少女）","3","A","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","讀書、散步","獸人族","伊麗莎白牧場"
"大橋彩香","4","0","159","100","燦爛的笑容！　夢想成為偶像的女孩","17","45","112401","卯月（NGs）","24","O","","與好友長談","人族","new generations"
"福原綾香","8","0","165","100","冷酷又美麗的「蒼藍劍士」","15","44","112501","凜（NGs）","10","B","","遛狗","人族","new generations"
"原紗友里","12","0","161","100","目標成為超級巨星的活力女孩☆☆★","15","46","112601","未央（NGs）","1","B","","購物","人族","new generations"
"小岩井ことり","1","0","144","11","視玩樂與睡眠為第一的懶惰少女","17","42","112701","鈴（遊俠）","1","B","","紅豆麵包","獸人族","伊麗莎白牧場"
"新田恵海","3","0","142","11","令大家歡笑的歡樂牧場主人","20","35","112801","真陽（遊俠）","3","B","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","相聲","人族","伊麗莎白牧場"
