6da3e1d9005a8d47780a8901f6e847fa3cbb6d91e578a7425f99e1bef4cbbf21,1f366ac12f925cd6270f7598883ba8a6ff3724c9dbca7b920e9897d26c755da1,946ac056dc01a37bee96c81c39524fdf651ebb3e78561b9f4c6af21c11981cd5,147a5ab1ffd562d9e5be7c26221b79894746db03583eb7211eed5915034c5ce0,320ef441864aa40cd0c3bdb6e59259ab3bdf0d3027d19eb5b94eabcd8588711c,4f21d26611e4d1ce7dca82c1a39da08ed19858e394d966dc0909ea0d7bd09ae1,1536607a0d1fdf670fb8cf556ca9fab571e90905534df32d53105f1274e83038,73a9168ac5d0a17a01524d166074dfbfd2f6eebb9b896427b3dfc246f5b62aae,ea302252ff6e6420438d7daafd19d27d94635836dd2a074287c3d74ae5c5bc8f,9d13075fce20cfa951db4cda26ed6f9e7d2ad95190cfc3c38d7562c3966b8922,5ab474723082a5313d6d4c2bddb57eea6468c5a344b8c040e64d148b6be9b699
"","0","311","","","","0","103110039","","91",""
"","<weapon>_run","311","0","1","","1001001","103110040","","3","0"
"","<weapon>_run","311","0","1","","1001002","103110041","","3","0"
"","<weapon>_run","311","0","1","","1001003","103110042","","3","0"
"","<weapon>_run","311","0","1","","1001004","103110043","","3","0"
"","<weapon>_run","311","0","1","","1001005","103110044","","3","0"
"","950","311","0","-240","3","1001001","103110045","","2",""
"","880","311","0","-165","3","1001002","103110046","","2",""
"","810","311","0","-255","3","1001003","103110047","","2",""
"","740","311","0","-165","3","1001004","103110048","","2",""
"","670","311","0","-240","3","1001005","103110049","","2",""
"","950","311","0","-240","3","1001001","103110050","","33",""
"","880","311","0","-165","3","1001002","103110051","","33",""
"","810","311","0","-255","3","1001003","103110052","","33",""
"","740","311","0","-165","3","1001004","103110053","","33",""
"","670","311","0","-240","3","1001005","103110054","","33",""
"","<weapon>_run","311","0","1","","1002001","103110055","","3","0"
"","<weapon>_run","311","0","1","","1002002","103110056","","3","0"
"","<weapon>_run","311","0","1","","1002003","103110057","","3","0"
"","<weapon>_run","311","0","1","","1002004","103110058","","3","0"
"","<weapon>_run","311","0","1","","1002005","103110059","","3","0"
"","700","311","0","-60","3","1002001","103110060","","2",""
"","630","311","0","15","3","1002002","103110061","","2",""
"","560","311","0","-75","3","1002003","103110062","","2",""
"","490","311","0","15","3","1002004","103110063","","2",""
"","420","311","0","-60","3","1002005","103110064","","2",""
"","700","311","0","-60","3","1002001","103110065","","33",""
"","630","311","0","15","3","1002002","103110066","","33",""
"","560","311","0","-75","3","1002003","103110067","","33",""
"","490","311","0","15","3","1002004","103110068","","33",""
"","420","311","0","-60","3","1002005","103110069","","33",""
"","<weapon>_run","311","0","1","","1003001","103110070","","3","0"
"","<weapon>_run","311","0","1","","1003002","103110071","","3","0"
"","<weapon>_run","311","0","1","","1003003","103110072","","3","0"
"","<weapon>_run","311","0","1","","1003004","103110073","","3","0"
"","<weapon>_run","311","0","1","","1003005","103110074","","3","0"
"","450","311","0","-250","3","1003001","103110075","","2",""
"","380","311","0","-175","3","1003002","103110076","","2",""
"","310","311","0","-265","3","1003003","103110077","","2",""
"","240","311","0","-175","3","1003004","103110078","","2",""
"","170","311","0","-250","3","1003005","103110079","","2",""
"","450","311","0","-250","3","1003001","103110080","","33",""
"","380","311","0","-175","3","1003002","103110081","","33",""
"","310","311","0","-265","3","1003003","103110082","","33",""
"","240","311","0","-175","3","1003004","103110083","","33",""
"","170","311","0","-250","3","1003005","103110084","","33",""
"","1","311","","","","10020","103110085","","32",""
"","0","311","","","","2.5","103110086","","93",""
"","1","311","","","","10031","103110087","","32",""
"","0","311","","","","0.4","103110088","","93",""
"","0","311","","","","0","103110089","","91",""
