7ee2ea518414cabe4f1695b9e79b84880529b625956b9c91d47a210b438e7e6d,9737c81ef2ff90a261194d3a53adb16982f6e8565f04247d134e0225659286e6,06ae61f915175c4ffba104a177bb7f371f74e4f967e51b1e775baf92f48b0919,cd273afa7b7b386a727e86d6bc66d09e1df742632be7b774925bd10b507dcb60,c21ccab1161a47bc30a69770eb8f87f47dd71f6f4ed004d3a8912b19e9cbf1e3,daf306a34ace89a3d8f501919648948136c6b734c143c0bd80627baf58bac9b4,5e0b880110a802d71413d1e56e6e08f7574a3dfc221b86b8ea05de323c819fc6,fe3c91c4d9d2d23f6bf6b3777e380cb79e7849cd77c9b2ec8996a2bdfe10b5ec,40af350e7f1d34051840c579907d89e05413883dfb339e0aba93379b69826bca,cd7f88b37921a6e58adc7c370a0f226968f6a4aaeceec5dcea833f7242cf0ecd,e514b1532cd7b0a199dc9a04d7214009fb8af4f2e7e5852ebd7fc346aae85166
"13056","","0","91","0","","13","","","","0"
"13057","","","3","1","","13","","0.4","joy_idle_look_shy_precia2","3"
"13058","","","3","1","","13","","0.2","clear_talk2_look","2"
"13059","","0","21","0","","13","","","vo_asb_1528","vo_asb"
"13060","1","1","11","10","0","13","0","0","哥哥你，\n並不是針對結果，\n而是看到我們努力的過程，\n稱讚了我們的付出……","2"
"13061","","0","91","0","","13","","","","0"
"13062","","","3","1","","13","","0.2","wish_talk_Ex3","1"
"13063","","","3","1","","13","","0.3","joy_idle_look_shy_precia","3"
"13064","1","clear_wish_talk_joy_look","3","0","","13","0","0.2","talk2ToWish_look","2"
"13065","","0","21","0","","13","","","vo_asb_1529","vo_asb"
"13066","1","1","11","10","0","13","0","0","……謝謝！","1"
"13067","","0","91","0","","13","","","","0"
"13068","","","3","1","","13","","0.2","idle_look_shy_riri","1"
"13069","","","3","1","","13","","0.2","idle_look_shy","2"
"13070","1","doya_talk_precia","3","0","","13","0","0.2","doya_in_precia","3"
"13071","","0","21","0","","13","","","vo_asb_1530","vo_asb"
"13072","1","1","11","10","0","13","0","0","自信滿滿的，\n冒險記。","3"
"13073","","0","91","0","","13","","","","0"
"13074","","","3","1","","13","","0.4","idle_look_normal_precia","3"
"13075","","","3","1","","13","","0.2","riri_talk_look_shy","1"
"13076","","0","21","0","","13","","","vo_asb_1531","vo_asb"
"13077","1","1","11","10","0","13","0","0","誠如您看到的，\n我們還是如此的笨拙不成熟……","1"
"13078","","0","91","0","","13","","","","0"
"13079","","","3","1","","13","","0.2","riri_idle_look_normal_shy","1"
"13080","","","3","1","","13","","0.2","clear_talk3_look","2"
"13081","","0","21","0","","13","","","vo_asb_1532","vo_asb"
"13082","1","1","11","10","0","13","0","0","但多虧有哥哥\n像這樣溫暖地守護我們，\n我才能繼續追逐夢想，\n想成為了不起的冒險者。","2"
"13083","","0","91","0","","13","","","","0"
"13084","","","3","1","","13","","0.2","clear_wish_talk_joy_look","2"
"13085","","0","21","0","","13","","","vo_asb_1533","vo_asb"
"13086","1","1","11","10","0","13","0","0","哥哥。\n從今以後，也請你繼續\n待在【幻變少女】身旁喔。","2"
"13087","","0","91","0","","13","","","","0"
"13088","","","3","1","","13","","0.2","clear_wish_idle_look","2"
"13089","1","joy_idle_look_shy_precia2","3","0","","13","0.2","0.1","agree","3"
"13090","","0","21","0","","13","","","vo_asb_1534","vo_asb"
"13091","1","1","11","10","0","13","0","0","請多指教。","3"
"13092","","0","91","0","","13","","","","0"
"13093","1","idle_look_shy_riri","3","0","","13","0.2","0.2","bow_riri","1"
"13094","","0","21","0","","13","","","vo_asb_1535","vo_asb"
"13095","1","1","11","10","0","13","0","0","請多多指教……！","1"
"13096","","0","91","0","","13","","","","0"
"13097","","","101","","","13","","","","13098"
"13098","0","1","6","1","","13","0","0.3","1","1"
"13099","0","1","6","1","","13","0","0.3","1","2"
"13100","0","1","6","1","","13","0","0.3","1","3"
"13101","0","1","6","1","","13","0","0.3","1","0"
"13102","1","0.3","2","-230","","13","","","-130","1"
"13103","1","0.3","2","-255","","13","","","-290","2"
"13104","1","0.3","2","-245","","13","","","120","3"
"13105","1","0.3","2","0","","13","","","-100","0"
"13106","","","22","","","13","","","0","0"
"13107","","","35","","","13","","","1","100"
"13108","1","0.3","33","0","","13","","","-100","100"
"13109","","","93","","","13","","","0","0.4"
"13110","","","32","","","13","","","0","100"
"22001","-250","30","5","52","surprise_idle_normal2_precia","22","0","2.2","1","3"
"22002","0","1","6","1","","22","0","0","1","1"
"22003","0","50","5","29","black","22","0","1","0","0"
"22004","0","1","6","1","","22","0","0","1","0"
"22005","","","91","","","22","","","","0"
"22006","1","1","6","1","","22","0","0.2","1","1"
"22007","1","1","6","1","","22","0","0.2","1","0"
"22008","2","0.3","2","-250","","22","","","-20","1"
"22009","2","0.3","2","0","","22","","","0","0"
"22010","","","93","","","22","","","0","0.6"
"22011","","0","21","0","","22","","","vo_asb_0221","vo_asb"
"22012","1","1","11","10","0","22","0","0","坐墊。\n餅乾。\n吃了好多。","1"
"22013","","0","91","0","","22","","","","0"
"22014","","","3","1","","22","","0.3","talk_surprise_precia","1"
"22015","","0","21","0","","22","","","vo_asb_0222","vo_asb"
"22016","1","1","11","10","0","22","0","0","鈴莓。\n好像，\n會做各式各樣。","1"
"22017","","0","91","0","","22","","","","0"
"22018","","","3","1","","22","","0.3","think_idle_precia","1"
"22019","","0","21","0","","22","","","vo_asb_0223","vo_asb"
"22020","1","1","11","10","0","22","0","0","像是，坐墊鬆餅。\n之類的？","1"
"22021","","0","91","0","","22","","","","0"
"22022","","","3","1","","22","","0.3","think_idle_dere_precia","1"
"22023","","0","21","0","","22","","","vo_asb_0224","vo_asb"
"22024","1","1","11","10","0","22","0","0","像是，坐墊馬芬蛋糕。\n之類的？","1"
"22025","","0","91","0","","22","","","","0"
"22026","","","3","1","","22","","0.3","think_idle_angerR","1"
"22027","","0","21","0","","22","","","vo_asb_0225","vo_asb"
"22028","1","1","11","10","0","22","0","0","像是，坐墊肉包子……\n之類的……（吞口水)","1"
"22029","","0","91","0","","22","","","","0"
"22030","1","speak1_light_precia","3","0","","22","0","0.1","thinkToSpeak_precia","1"
"22031","","0","21","0","","22","","","vo_asb_0226","vo_asb"
"22032","1","1","11","10","0","22","0","0","鈴莓。\n我要挖角她。\n來幻變少女。","1"
"22033","","0","91","0","","22","","","","0"
"22034","","","101","","","22","","","","22035"
"22035","0","1","6","1","","22","0","0.3","1","1"
"22036","0","1","6","1","","22","0","0.3","1","0"
"22037","1","0.3","2","-250","","22","","","-120","1"
"22038","1","0.3","2","0","","22","","","-100","0"
"22039","","","22","","","22","","","0","0"
"22040","","","93","","","22","","","0","0.4"
"32001","-230","20","5","52","riri_idle_look","32","0","2.2","1","1"
"32002","-255","-140","5","58","clear_book_read","32","0","2.2","2","2"
"32003","-245","270","5","55","joy_idle_precia","32","1","2.2","3","3"
"32004","0","1","6","1","","32","0","0","1","1"
"32005","0","1","6","1","","32","0","0","1","2"
"32006","0","1","6","1","","32","0","0","1","3"
"32007","0","50","5","29","black","32","0","1","0","0"
"32008","0","1","6","1","","32","0","0","1","0"
"32009","","","91","","","32","","","","0"
"32010","1","1","6","1","","32","0","0.2","1","1"
"32011","1","1","6","1","","32","0","0.2","1","2"
"32012","1","1","6","1","","32","0","0.2","1","3"
"32013","1","1","6","1","","32","0","0.2","1","0"
"32014","2","0.3","2","-230","","32","","","-30","1"
"32015","2","0.3","2","-255","","32","","","-190","2"
"32016","2","0.3","2","-245","","32","","","220","3"
"32017","2","0.3","2","0","","32","","","0","0"
"32018","","","93","","","32","","","0","0.6"
"32019","","","3","1","","32","","0.2","clear_book_talk","2"
"32020","","0","21","0","","32","","","vo_asb_0321","vo_asb"
"32021","1","1","11","10","0","32","0","0","這幅牛的畫，\n未免畫得太好了吧！？","2"
"32022","","0","91","0","","32","","","","0"
"32023","","","3","1","","32","","0.4","clear_book_idle","2"
"32024","","","3","1","","32","","0.2","riri_talk_look","1"
"32025","","0","21","0","","32","","","vo_asb_0322","vo_asb"
"32026","1","1","11","10","0","32","0","0","這是普蕾西亞畫的。\n因為她是天才呢。","1"
"32027","","0","91","0","","32","","","","0"
"32028","","","3","1","","32","","0.2","riri_idle_look","1"
"32029","1","clear_talk2_noShy","3","0","","32","0","0.1","clear_bookToTalk2","2"
"32030","","0","21","0","","32","","","vo_asb_0323","vo_asb"
"32031","1","1","11","10","0","32","0","0","話說回來，我和莉莉兩人，\n一直做不好「手插腰」，\n真陽小姐為了教我們，\n苦戰一番的時候也……","2"
"32032","","0","91","0","","32","","","","0"
"32033","1","idle_talkjoy2","3","0","","32","0","0.1","talk2ToIdle_talkjoy2","2"
"32034","","","3","1","","32","","0.2","sad_talk_joy2R","1"
"32035","","0","21","0","","32","","","vo_asb_0324","vo_asb"
"32036","1","1","11","10","0","32","0","0","是，只有普蕾西亞\n一次就合格了吧。\n從我們這些外行人的眼中看來，\n也是非常完美的「手插腰」。","1"
"32037","","0","91","0","","32","","","","0"
"32038","","","3","1","","32","","0.2","sad_idle_normal_riri","1"
"32039","","","3","1","","32","","0.2","idle","2"
"32040","","","3","1","","32","","0.3","talk_precia","3"
"32041","","0","21","0","","32","","","vo_asb_0325","vo_asb"
"32042","1","1","11","10","0","32","0","0","想看嗎？","3"
"32043","","0","91","0","","32","","","","0"
"32044","","","3","1","","32","","0.3","joy_idle_precia","3"
"32045","","","3","1","","32","","0.2","guts2_talk_riri","1"
"32046","","","3","1","","32","","0.2","clear_hope_talk","2"
"32047","","0","21","0","","32","","","vo_asb_0326","vo_asb"
"32048","1","1","11","10","0","32","0","0","當然的。","1"
"32049","","0","91","0","","32","","","","0"
"32050","","","3","1","","32","","0.2","guts2_idle_riri","1"
"32051","","","3","1","","32","","0.2","clear_hope_idle","2"
"32052","1","cool_idle","3","0","","32","0","0.2","cool_in","3"
"32053","","0","21","0","","32","","","vo_asb_0327","vo_asb"
"32054","1","1","11","10","0","32","0","0","插腰。","3"
"32055","","0","91","0","","32","","","","0"
"32056","1","cool_idle_doya","3","0","","32","0.1","0.2","cool_idle_doya_in","3"
"32057","","","3","1","","32","","0.2","guts2_idle_joy_riri","1"
"32058","","","3","1","","32","","0.2","clear_hope_joy","2"
"32059","","0","21","0","","32","","","vo_asb_0328","vo_asb"
"32060","1","1","11","10","0","32","-22","-85","哇～♪","1"
"32061","","0","91","0","","32","","","","0"
"32062","","","101","","","32","","","","32063"
"32063","0","1","6","1","","32","0","0.3","1","1"
"32064","0","1","6","1","","32","0","0.3","1","2"
"32065","0","1","6","1","","32","0","0.3","1","3"
"32066","0","1","6","1","","32","0","0.3","1","0"
"32067","1","0.3","2","-230","","32","","","-130","1"
"32068","1","0.3","2","-255","","32","","","-290","2"
"32069","1","0.3","2","-245","","32","","","120","3"
"32070","1","0.3","2","0","","32","","","-100","0"
"32071","","","22","","","32","","","0","0"
"32072","","","93","","","32","","","0","0.4"
"42001","-250","30","5","52","clear_wish_talk_joy_noShy","42","0","2.2","1","2"
"42002","0","1","6","1","","42","0","0","1","1"
"42003","0","50","5","29","black","42","0","1","0","0"
"42004","0","1","6","1","","42","0","0","1","0"
"42005","","","91","","","42","","","","0"
"42006","1","1","6","1","","42","0","0.2","1","1"
"42007","1","1","6","1","","42","0","0.2","1","0"
"42008","2","0.3","2","-250","","42","","","-20","1"
"42009","2","0.3","2","0","","42","","","0","0"
"42010","","","93","","","42","","","0","0.6"
"42011","","0","21","0","","42","","","vo_asb_0421","vo_asb"
"42012","1","1","11","10","0","42","0","0","鈴小姐模仿真陽小姐，\n模仿得非常到位。","1"
"42013","","0","91","0","","42","","","","0"
"42014","","","3","1","","42","","0.1","clear_talk_normal","1"
"42015","","0","21","0","","42","","","vo_asb_0422","vo_asb"
"42016","1","1","11","10","0","42","0","0","在公會久待，\n關係深厚的成員之間，\n要像那樣子互相模仿，\n似乎也會變得容易呢……","1"
"42017","","0","91","0","","42","","","","0"
"42018","1","clear_kohon_loop","3","0","","42","0","0.2","clear_kohon_in","1"
"42019","","0","21","0","","42","","","vo_asb_0423","vo_asb"
"42020","1","1","11","10","0","42","0","0","…………\n……咳咳。","1"
"42021","","0","91","0","","42","","","","0"
"42022","1","clear_speak2_talk","3","0","","42","0","0.2","clear_imitation_in","1"
"42023","","0","21","0","","42","","","vo_asb_0424","vo_asb"
"42024","1","1","11","10","0","42","0","0","兄、兄長大人。兄長大人……？\n哥、哥，哥……哥。\n…………","1"
"42025","","0","91","0","","42","","","","0"
"42026","1","clear_surprise_talk_red","3","0","","42","0","0.3","clear_surprise_in_red","1"
"42027","","0","21","0","","42","","","vo_asb_0425","vo_asb"
"42028","1","1","11","10","0","42","0","0","……啊！\n只是要模仿公會成員而已，\n我真是的，為什麼會臉紅……！","1"
"42029","","0","91","0","","42","","","","0"
"42030","","","3","1","","42","","0.2","clear_wish_talk_pain_red","1"
"42031","","0","21","0","","42","","","vo_asb_0426","vo_asb"
"42032","1","1","11","10","0","42","0","0","從各方面來說，我都還差得遠呢……！","1"
"42033","","0","91","0","","42","","","","0"
"42034","","","101","","","42","","","","42035"
"42035","0","1","6","1","","42","0","0.3","1","1"
"42036","0","1","6","1","","42","0","0.3","1","0"
"42037","1","0.3","2","-250","","42","","","-120","1"
"42038","1","0.3","2","0","","42","","","-100","0"
"42039","","","22","","","42","","","0","0"
"42040","","","93","","","42","","","0","0.4"
"52001","-243","70","5","55","dance_riri","52","0","2.2","1","1"
"52002","-245","320","5","52","dance_clear","52","1","2.2","2","2"
"52003","-255","-90","5","58","dance_precia","52","0","2.2","3","3"
"52004","0","1","6","1","","52","0","0","1","1"
"52005","0","1","6","1","","52","0","0","1","2"
"52006","0","1","6","1","","52","0","0","1","3"
"52007","0","50","5","29","black","52","0","1","0","0"
"52008","0","1","6","1","","52","0","0","1","0"
"52009","","","91","","","52","","","","0"
"52010","","","3","0","","52","","0.1","dance_riri","1"
"52011","1","idle","3","0","","52","0","0.1","dance_clear","2"
"52012","1","idle_precia","3","0","","52","0","0.1","dance_precia","3"
"52013","1","1","6","1","","52","0","0.2","1","1"
"52014","1","1","6","1","","52","0","0.2","1","2"
"52015","1","1","6","1","","52","0","0.2","1","3"
"52016","1","1","6","1","","52","0","0.2","1","0"
"52017","2","0.3","2","-243","","52","","","-30","1"
"52018","2","0.3","2","-245","","52","","","220","2"
"52019","2","0.3","2","-255","","52","","","-190","3"
"52020","2","0.3","2","0","","52","","","0","0"
"52021","","","93","","","52","","","0","0.6"
"52022","","0","21","0","","52","","","vo_asb_0521","vo_asb"
"52023","0","0","11","11","0.15","52","0","0","快、快、慢。","3"
"52024","","0","91","0","","52","","","","0"
"52025","","0","21","0","","52","","","vo_asb_0522","vo_asb"
"52026","0","0","11","10","0.75","52","0","0","旋轉、停，旋轉、停，\n快、快、慢！","1"
"52027","","","91","","","52","","","","52010"
"52028","","","3","1","","52","","0.1","idle","1"
"52029","","","93","","","52","","","0","0.2"
"52030","1","talk_joy","3","0","","52","0.2","0.1","smile_riri","1"
"52031","","0","21","0","","52","","","vo_asb_0523","vo_asb"
"52032","1","1","11","10","0","52","0","0","……呵呵呵，有了這個口號，\n我們三人的步調，\n就很不可思議地同步了呢。","1"
"52033","","","91","","","52","","","","0"
"52034","","","3","1","","52","","0.2","riri_idle","1"
"52035","","","3","1","","52","","0.2","clear_talk2_noShy","2"
"52036","","0","21","0","","52","","","vo_asb_0524","vo_asb"
"52037","1","1","11","10","0","52","0","0","是啊。所以在那之後，\n我們也很常用這個口號呢。\n像是要合力搬起重物時，\n或是三人要一起做體操時。","2"
"52038","","0","91","0","","52","","","","0"
"52039","1","idle","3","0","","52","0","0.2","talk2ToIdle","2"
"52040","","","3","1","","52","","0.2","riri_talk","1"
"52041","","0","21","0","","52","","","vo_asb_0525","vo_asb"
"52042","1","1","11","10","0","52","0","0","其他還有，戰鬥訓練中要配合步調時，\n還有走夜路要避開魔物的時候！","1"
"52043","","0","91","0","","52","","","","0"
"52044","","","3","1","","52","","0.2","riri_idle_look","1"
"52045","","","3","1","","52","","0.2","idle_talkjoy2","2"
"52046","","","3","1","","52","","0.3","talk_precia","3"
"52047","","0","21","0","","52","","","vo_asb_0526","vo_asb"
"52048","1","1","11","10","0","52","0","0","實用性，\n太高了。","3"
"52049","","0","91","0","","52","","","","0"
"52050","","","101","","","52","","","","52051"
"52051","0","1","6","1","","52","0","0.3","1","1"
"52052","0","1","6","1","","52","0","0.3","1","2"
"52053","0","1","6","1","","52","0","0.3","1","3"
"52054","0","1","6","1","","52","0","0.3","1","0"
"52055","1","0.3","2","-230","","52","","","-130","1"
"52056","1","0.3","2","-245","","52","","","120","2"
"52057","1","0.3","2","-255","","52","","","-290","3"
"52058","1","0.3","2","0","","52","","","-100","0"
"52059","","","22","","","52","","","0","0"
"52060","","","93","","","52","","","0","0.4"
"62001","-250","30","5","52","talk_joy","62","0","2.2","1","1"
"62002","0","1","6","1","","62","0","0","1","1"
"62003","0","50","5","29","black","62","0","1","0","0"
"62004","0","1","6","1","","62","0","0","1","0"
"62005","","","91","","","62","","","","0"
"62006","1","1","6","1","","62","0","0.2","1","1"
"62007","1","1","6","1","","62","0","0.2","1","0"
"62008","2","0.3","2","-250","","62","","","-20","1"
"62009","2","0.3","2","0","","62","","","0","0"
"62010","","","93","","","62","","","0","0.6"
"62011","","0","21","0","","62","","","vo_asb_0621","vo_asb"
"62012","1","1","11","10","0","62","0","0","演唱會結束後，\n慈樂之音的成員們來拜訪了。","1"
"62013","","0","91","0","","62","","","","0"
"62014","","","3","1","","62","","0.2","wish_talk_joyR_riri","1"
"62015","","0","21","0","","62","","","vo_asb_0622","vo_asb"
"62016","1","1","11","10","0","62","0","0","她們說「絕對要再一起跳舞」，\n還把手疊在我們的手上……","1"
"62017","","0","91","0","","62","","","","0"
"62018","","","3","1","","62","","0.3","memoly_talk_joy","1"
"62019","","0","21","0","","62","","","vo_asb_0623","vo_asb"
"62020","1","1","11","10","0","62","0","0","她們三位實在是又可愛又耀眼，\n我已經是，\n頭暈目眩了……","1"
"62021","","0","91","0","","62","","","","0"
"62022","","","3","1","","62","","0.2","sad_talk2_dere","1"
"62023","","0","21","0","","62","","","vo_asb_0624","vo_asb"
"62024","1","1","11","10","0","62","0","0","其實，與她們相疊的這隻手，\n我從那天以來一次都沒有洗過。","1"
"62025","","0","91","0","","62","","","","0"
"62026","","","3","1","","62","","0.3","wish_talk_nervous_riri","1"
"62027","","0","21","0","","62","","","vo_asb_0625","vo_asb"
"62028","1","1","11","10","0","62","0","0","雖然也不是沒感覺到\n璃亞用有點傻眼的視線\n看著我……\n但至少讓我再等半天……！","1"
"62029","","0","91","0","","62","","","","0"
"62030","","","101","","","62","","","","62031"
"62031","0","1","6","1","","62","0","0.3","1","1"
"62032","0","1","6","1","","62","0","0.3","1","0"
"62033","1","0.3","2","-250","","62","","","-120","1"
"62034","1","0.3","2","0","","62","","","-100","0"
"62035","","","22","","","62","","","0","0"
"62036","","","93","","","62","","","0","0.4"
"72001","-250","30","5","52","idle","72","0","2.2","1","2"
"72002","0","1","6","1","","72","0","0","1","1"
"72003","0","50","5","29","black","72","0","1","0","0"
"72004","0","1","6","1","","72","0","0","1","0"
"72005","","","91","","","72","","","","0"
"72006","1","1","6","1","","72","0","0.2","1","1"
"72007","1","1","6","1","","72","0","0.2","1","0"
"72008","2","0.3","2","-250","","72","","","-20","1"
"72009","2","0.3","2","0","","72","","","0","0"
"72010","","","93","","","72","","","0","0.6"
"72011","","","3","1","","72","","0.2","clear_talk_normal","1"
"72012","","0","21","0","","72","","","vo_asb_0721","vo_asb"
"72013","1","1","11","10","0","72","0","0","碧小姐好像很害羞。\n但不是有這樣的說法嗎？\n有共同話題的人，\n彼此更容易敞開心扉。","1"
"72014","","0","91","0","","72","","","","0"
"72015","","","3","1","","72","","0.2","clear_kohon_talk_surprise","1"
"72016","","0","21","0","","72","","","vo_asb_0722","vo_asb"
"72017","1","1","11","10","0","72","0","0","我的直覺是對的呢。\n雖然不像碧小姐那麼了解，\n但我也喜歡花草。\n我有種感覺，能跟這個人變得很要好。","1"
"72018","","0","91","0","","72","","","","0"
"72019","","","3","1","","72","","0.2","clear_talk2_noShy","1"
"72020","","0","21","0","","72","","","vo_asb_0723","vo_asb"
"72021","1","1","11","10","0","72","0","0","所以我啊，\n鼓起勇氣說出口了！\n「能跟妳當朋友嗎？」這句話。","1"
"72022","","0","91","0","","72","","","","0"
"72023","1","clear_wish_talk_joy","3","0","","72","0","0.2","talk2ToWish","1"
"72024","","0","21","0","","72","","","vo_asb_0724","vo_asb"
"72025","1","1","11","10","0","72","0","0","然後碧小姐她，\n臉就變得紅通通的，\n「嗯嗯！」地點頭如搗蒜。\n我當時心想，成功了！","1"
"72026","","0","91","0","","72","","","","0"
"72027","","","3","1","","72","","0.2","clear_talk2_nervous","1"
"72028","","0","21","0","","72","","","vo_asb_0725","vo_asb"
"72029","1","1","11","10","0","72","0","0","……但接下來，\n她說需要一點時間心理準備。\n而她的心理準備，\n可能會花上300年左右……","1"
"72030","","0","91","0","","72","","","","0"
"72031","1","clear_kohon_loop_shy","3","0","","72","0","0.2","talk2ToKohon","1"
"72032","","0","21","0","","72","","","vo_asb_0726","vo_asb"
