8373d38af189572810bf30c2b137b0bb4da09f9550a987997070759ec3a08564,fdbfd0af27442aeb0e914ba7d6fe759e4c262b0d9fdb13c2452d0f1fb0c0a3fb,bcead57832fe046e7ff220030e7e929d3f599f85e08851eaa43d9a034e93bd65,a2db653688e75cf3d7f9b0b9802a6275780b602ba0321a3461319b003720ceec,9c6894da6fa9a21154469ff4034898184d0293a89db51aae5a0d2f979c3a959c,50fff968f40c5fee07f01c2b4612e191b1efe7a4b9472bad67ddc366e31f9012,a8699900d8ddd9889bc69eb22b997b2801424f8181e20af05d4815cd430ff016,dc8dd384eb9b9838594a06cfd014cd252935d0b1ebce70b325e3284aa4b19019,68e4c3a18a9bdc4fadea95e92682d4c359fbe546024dc7db440b1fceb8e7a399,1799f38a78c6ed1ca11c112893575a2943ce6510e22d8e2e21504cd9b9ee4acf,ccb23d65dae604934a42329d7e80e932cc79463205059eed9af21d50606cb06b
"sjr_talk_idle","","19","122611","3","19007","","0.2","","1",""
"sjr_talk_fun","1","19","122411","3","19008","","0.2","sjr_talk_swing_joy2","0","0"
"vo_minigame_1010_top_talk_2_009","","19","vo_minigame_1010","21","19009","","","0","0",""
"那當然！\n這麼有趣的事\n不好好享受\n就太浪費啦──！","0","19","122411","11","19010","0.5","0","1","7","0"
"","","19","0","91","19011","","","","",""
"sjr_talk_idle","","19","122411","3","19012","","0.2","","1",""
"sjr_talk_laugh","","19","122611","3","19013","","0.2","","1",""
"vo_minigame_1010_top_talk_2_010","","19","vo_minigame_1010","21","19014","","","0","0",""
"妳說得對。\n呵呵，我也\n要向日和\n學習才行……！","0","19","122611","11","19015","0.5","0","1","7","0"
"","","19","0","91","19016","","","","",""
"sjr_talk_idle","","19","122611","3","19017","","0.2","","1",""
"122611","-194","20","1","1","20001","sjr_talk_idle","1.65","72","100","1"
"122411","-194","20","1","1","20002","sjr_talk_idle","1.65","-72","100","0"
"sjr_talk_guts2","1","20","122411","3","20003","","0.2","sjr_talk_guts2_loop","0","0"
"vo_minigame_1010_top_talk_2_011","","20","vo_minigame_1010","21","20004","","","0","0",""
"優衣！\n妳剛剛好厲害喔！\n我根本追不上妳──","0","20","122411","11","20005","0.5","0","1","6","0"
"","","20","0","91","20006","","","","",""
"sjr_talk_idle","","20","122411","3","20007","","0.2","","1",""
"sjr_talk_mouth_hidden_dere_guru","1","20","122611","3","20008","","0.2","sjr_talk_mouth_hidden_guru","0","0"
"vo_minigame_1010_top_talk_2_012","","20","vo_minigame_1010","21","20009","","","0","0",""
"埋首於奔跑之中，\n總覺得\n心情變好了……\n呵呵，呵呵呵……","0","20","122611","11","20010","0.5","0","1","5","0"
"","","20","0","91","20011","","","","",""
"sjr_talk_shock","1","20","122411","3","20012","","0.2","sjr_talk_shock_loop","0","0"
"vo_minigame_1010_top_talk_2_013","","20","vo_minigame_1010","21","20013","","","0","0",""
"哇──！？\n優衣！？\n妳眼睛在轉喔──！？","0","20","122411","11","20014","0.5","0","1","15","0"
"","","20","0","91","20015","","","","",""
"sjr_talk_idle","","20","122611","3","20016","","0.2","","1",""
"sjr_talk_idle","","20","122411","3","20017","","0.2","","1",""
"122611","-194","21","1","1","21001","sjr_talk_idle","1.65","72","100","1"
"122411","-194","21","1","1","21002","sjr_talk_idle","1.65","-72","100","0"
"sjr_talk_worry_sad","","21","122611","3","21003","","0.2","","1",""
"vo_minigame_1010_top_talk_2_014","","21","vo_minigame_1010","21","21004","","","0","0",""
"日和，妳一直在跑，\n不要緊吧？\n不好好補充水分\n不行喔？","0","21","122611","11","21005","0.5","0","1","6","0"
"","","21","0","91","21006","","","","",""
"sjr_talk_idle","","21","122611","3","21007","","0.2","","1",""
"sjr_talk_laugh_guts","0","21","122411","3","21008","","0.2","sjr_talk_guts2_joy_loop","0","0"
"vo_minigame_1010_top_talk_2_015","","21","vo_minigame_1010","21","21009","","","0","0",""
"妳真愛操心呢，\n優衣──\n啊，不然我們一起\n去吃刨冰吧──♪","0","21","122411","11","21010","0.5","0","1","5","0"
"","","21","0","91","21011","","","","",""
"sjr_talk_idle","","21","122411","3","21012","","0.2","","1",""
"122511","-194","22","1","1","22001","sjr_talk_idle","1.65","72","100","1"
"122411","-194","22","1","1","22002","sjr_talk_idle","1.65","-72","100","0"
"sjr_talk_arm_crossed_normal","1","22","122511","3","22003","","0.2","sjr_talk_arm_crossed_normal_loop","0","0"
"vo_minigame_1010_top_talk_2_016","","22","vo_minigame_1010","21","22004","","","0","0",""
"就算對手是日和，\n我也沒打算輸喔。","0","22","122511","11","22005","0.5","0","1","5","0"
"","","22","0","91","22006","","","","",""
"sjr_talk_idle","","22","122511","3","22007","","0.2","","1",""
"sjr_talk_guts","1","22","122411","3","22008","","0.2","sjr_talk_guts_loop","0","0"
"vo_minigame_1010_top_talk_2_017","","22","vo_minigame_1010","21","22009","","","0","0",""
"對手是怜的話，\n我也會\n火力全開喔！","0","22","122411","11","22010","0.5","0","1","6","0"
"","","22","0","91","22011","","","","",""
"sjr_talk_idle","","22","122411","3","22012","","0.2","","1",""
"122511","-194","23","1","1","23001","sjr_talk_idle","1.65","72","100","1"
"122411","-194","23","1","1","23002","sjr_talk_idle","1.65","-72","100","0"
"sjr_talk_fun_eieio","1","23","122411","3","23003","","0.2","sjr_talk_eieio_loop","0","0"
"vo_minigame_1010_top_talk_2_018","","23","vo_minigame_1010","21","23004","","","0","0",""
"夏天就是要吃刨冰！\n糖漿……是全都加的\n禁忌口味喔！","0","23","122411","11","23005","0.5","0","1","5","0"
"","","23","0","91","23006","","","","",""
"sjr_talk_idle","","23","122411","3","23007","","0.2","","1",""
"sjr_talk_mouth_hidden_sad","","23","122511","3","23008","","0.2","","1",""
"vo_minigame_1010_top_talk_2_019","","23","vo_minigame_1010","21","23009","","","0","0",""
"老是吃那麼\n冰的東西……\n到時要是跑不動，\n我可不管喔？","0","23","122511","11","23010","0.5","0","1","6","0"
"","","23","0","91","23011","","","","",""
"sjr_talk_idle","","23","122511","3","23012","","0.2","","1",""
"sjr_talk_arm_opened_joy_guru","1","23","122411","3","23013","","0.2","sjr_talk_arm_opened_guru","0","0"
"vo_minigame_1010_top_talk_2_020","","23","vo_minigame_1010","21","23014","","","0","0",""
"沒事沒事♪\n……咦？\n好像一陣頭痛，\n好痛痛痛痛──！？","0","23","122411","11","23015","0.5","0","1","4","0"
"","","23","0","91","23016","","","","",""
"sjr_talk_idle","","23","122411","3","23017","","0.2","","1",""
"122511","-194","24","1","1","24001","sjr_talk_idle","1.65","72","100","1"
"122411","-194","24","1","1","24002","sjr_talk_idle","1.65","-72","100","0"
"sjr_talk_mouth_hidden_sad","","24","122411","3","24003","","0.2","","1",""
"vo_minigame_1010_top_talk_2_021","","24","vo_minigame_1010","21","24004","","","0","0",""
"優衣不要緊吧～？\n希望她別跌倒\n就好了……","0","24","122411","11","24005","1","0","1","5","0"
"","","24","0","91","24006","","","","",""
"sjr_talk_idle","","24","122411","3","24007","","0.2","","1",""
"sjr_talk_arm_crossed_normal_joy","0","24","122511","3","24008","","0.2","sjr_talk_arm_crossed_joy_loop","0","0"
"vo_minigame_1010_top_talk_2_022","","24","vo_minigame_1010","21","24009","","","0","0",""
"不必擔心。\n優衣已經變強了。\n搞不好反倒是\n我們會輸呢。","0","24","122511","11","24010","0.5","0","1","4","0"
"","","24","0","91","24011","","","","",""
"sjr_talk_idle","","24","122511","3","24012","","0.2","","1",""
"sjr_talk_laugh","","24","122411","3","24013","","0.2","","1",""
"vo_minigame_1010_top_talk_2_023","","24","vo_minigame_1010","21","24014","","","0","0",""
"欸嘿嘿，說得也是！\n好期待能一起\n跑步喔──♪","0","24","122411","11","24015","0.5","0","1","6","0"
"","","24","0","91","24016","","","","",""
"sjr_talk_idle","","24","122411","3","24017","","0.2","","1",""
